ParlaMint-NO_2003-04-02.ana.ud2020e28	The representative of May Hansen will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e441	Now this with the private schools has come up many times. It is not a bet – it is a rule-based arrangement that the Stortinget has established, and any government that had been sitting in the offices had to follow the rules, or then you had to change the rules. I'm going to make proposals to change the funding of private schools, change the funding system. Because it's not ideal, the system we have today, but the system we have makes you have to follow the rules, and the fact that these private schools got more, is related to the fact that it was used more in public schools. However, it is not cut in quality development. However, we have targeted the use of funds in a number of ways, including: we have invested much more in continuing training of teachers. When I entered the department, I was told that these quality development funds were first not used specifically, and second, they were actually not used up. I'll make sure that the funds are used up, because they are used specifically where we need an effort, for example. in the case of continuing training of teachers in Norwegian and mathematics. So when reference is made to media headlines: I'm not surprised about Giske's policy on the basis of media headlines, but the media headline about Oslo School yesterday is amazing, because Oslo Municipality is a municipality where there is growth in the school budgets, as far as I recall, of 250 million. kr, in addition to wage and price increases. Then to deal with a suggestion where the Education Association has checked where it was cut without checking where it was going is a little bad basis for policy-making.
ParlaMint-NO_2003-04-02.ana.ud2020e448	Let's move on to the next main question.
ParlaMint-NO_2003-04-02.ana.ud2020e451	I have a question for the Minister of Culture. The Convention for the Protection of Cultural Property in the Armed Conflict, the Hague Convention, was adopted in The Hague in May 1954. The Hague Convention entered into force in August 1956. The UNESCO Convention for the Protection of World Cultural and Natural Heritage was adopted in November 1972 by the UNESCO General Conference in Paris and the UNESCO Convention was ratified by Norway on 12 May 1977. Both conventions are binding on Norway. The Hague Convention provides for strong restrictions on the location of defence facilities in the vicinity of cultural memories. The Riksantikvaren, who is responsible for Norway's compliance with the Convention, has opposed the location of the Defence Command at Akershu's fastening. The Riksantikvarn has expressed his primary desire for a different location. How will the Council of State secure Akershu's fastening if the Chief Defence Officer's command is moved there?
ParlaMint-NO_2003-04-02.ana.ud2020e461	This is a question that is not actually on my table, so I suggest that the Council of State that is responsible for the matter be allowed to answer, namely Kristin Krohn Devold.
ParlaMint-NO_2003-04-02.ana.ud2020e466	It's up to the state councils to decide. But time is running out.
ParlaMint-NO_2003-04-02.ana.ud2020e469	I have to answer quickly. The Hague Convention applies, of course, to this government. The Hague Convention and all other international conventions of that type are administered by the Ministry of Foreign Affairs. The Ministry of Foreign Affairs has carried out an assessment of the site for new buildings at Akershus in relation to the Hague Convention and has concluded that it does not conflict with the Hague Convention. Having said that, I can also add that the current location of the Ministry of Defence is actually more problematic in relation to the Hague Convention than the plot found for new buildings. I would also like to say that the dialogue between the Ministry of Defence and the Riksantikvar is very good. It has taken a great deal of time to plan this newly built project in order to have as close a dialogue as possible with the Riksantik product. For the whole purpose of a location at Akershus is to beat two flies in a taste by both having a new integrated defense department where military management and political management are sitting in the same house, and taking care of the old buildings at Akershus. The Riksantikvaren has agreed with me on one thing in particular, namely that precisely because the defense today is those who use the buildings of Akershus, it will be a far greater threat to the buildings of Akershus that the defense is pulling out than that the defence is there and takes care of the buildings and takes care of the entire Akershus area, as it deserves, with the cultural historical values that lie there. This case itself, to which reference is made, is thoroughly assessed for consistency, and there will be a regulatory plan for the construction project to be launched at a public hearing. We're doing everything we can to make sure that all of the problems that can arise are properly addressed. There is also a background for the Ministry of Defence to decide that the Integrated New Ministry of Defence should move into existing premises at Akershus in order to allow the other case, the new building case, to take the necessary time.
ParlaMint-NO_2003-04-02.ana.ud2020e476	I thank the Council of State for the answer. I have to say it is a little striking that the Minister of Culture will not go into this matter, as it also concerns relevant cultural memory protection. Having said that, I will also refer to cases in Afghanistan and in the ongoing conflict in Iraq, where cultural memories are located near military installations and where this has consequences. We also know that due to strong wishes from the Ministry of Defence regarding the position of the Defence Command on Akershu's fastening, the Riksantikvaren has taken up a dialogue. We are also aware that there is a good dialogue, and that the defense has reduced its building volume somewhat to satisfy the architectural and material usage of the Riksantik product. How will the Council of State ensure the cultural values of Akershu's fastening by placing military installations?
ParlaMint-NO_2003-04-02.ana.ud2020e483	I'm very pleased with this question. In my past, I have been the Municipal Council for Urban Development in Oslo, and my heart burns very strongly for the cultural historical values we have in this city. I was then characterised by the Progress Party as a pure SV. In this case, I think it might be considered praise. The whole point of taking care of Akershus is that here lies Oslo's roots. Here we have our three defense museums. Here we have the Institute for Defense Studies. We have Skolerenteret, Stabsskole, Defence College, and we have a number of cultural events. All of this we want to bring together, and we want to ensure the maintenance of these amazing buildings, and we do that only if the Defense maintains its presence there. We are very interested in complying with the Hague Convention, and I said instead that the current location is actually more problematic than the new one. So I just hope that everyone who is occupied with these cultural-historical buildings can now begin to engage in all that we can do with the new location, not least increase the visibility of the population of Oslo.
ParlaMint-NO_2003-04-02.ana.ud2020e490	There will be two follow-up questions – first Per Ove Wide.
ParlaMint-NO_2003-04-02.ana.ud2020e493	Unlike the Council of State, I am not as sure that this newly built at Akershus will be positive for Akershus. On 10 March, I wrote a letter to the Council of State asking for feedback, which I have not yet received, and where I refer to an attached agreement between the State v/ Ministry of Defence and the Municipality of Oslo that says that it is not allowed to reconstruct or make changes at Akershus. It might be interesting to hear if the council has anything to say to it today. If that's right, the Storting has made a wrong decision. Furthermore, the Progress Party believes that co-location at Akershus instead of Huseby is a pointless entrepreneur. It has been pointed out from some teams and not least from the Defence's largest trade union, the Joint Organisation of the Order, that there is a huge gap in the development of Akershus, and that it is not about DKK 1⁄2 billion, but about NOK 11⁄2 billion. Then it would be completely pointless to do something.
ParlaMint-NO_2003-04-02.ana.ud2020e502	I would first like to say that the answer to the question I received from the representative, Width, was sent on fax yesterday back to Width, so there must be somewhere in this house. If you're not going to get a copy of me afterwards. I would also like to thank you for the question that was raised in writing, and now repeated orally, relating to this agreement with the Municipality of Oslo. Here is the reality that there have been a number of deviations from this agreement since it was concluded as a framework agreement in 1967. Therefore, the City Council for Economic and Urban Development in the Municipality of Oslo and the Ministry of Defence agreed in a meeting to clarify the whole issue of the agreement, including whether it should be amended or terminated. Nothing in the contact between the Enterprise and Urban Development Agency and the Ministry of Defence suggests that there are issues related to this agreement that prevent the new building from being realised. So to the numbers, I don't have more speaking time now, but I can just say that it indicates that BFO also needs a little bit more math training.
ParlaMint-NO_2003-04-02.ana.ud2020e511	Leif Lund - for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e514	When the Workers' Party and the government parties agreed on the defence policy settlement in the spring session last year, the Integrated Department was one of the areas we agreed on. The Workers' Party was satisfied with that then, and we are pleased that the Council of State now assures the Storting that the costs of the construction do not differ significantly from what it was previously informed about. I expect the State Council to continue to keep Stortinget informed not only about the economic aspects of the Integrated Department, but also about other issues, including employee participation in the reorganisation process and the organisational challenges associated with the major organisational changes that the Defence is currently undergoing.
ParlaMint-NO_2003-04-02.ana.ud2020e521	I think Leif Lund here points to something very important. With the enormous dramatic reorganisations the defence goes through, the contact with the trade unions is extremely important, that all processes take place in transparency, and that it is informed. It's clear that going down 5,000 men on the crew and halving the defense team in numbers doesn't happen without pain. The size has decided it. We follow up loyally. But it is not right that the cost framework for the new built cracks. On the contrary, what I replied to the committee last June was that this was within an economic framework of 515 million. NOK 80 pst. safety, i.e. 530 million. 2003-krona. The estimates we have today do not differ significantly from this. But I would like to repeat that it is an estimate, because here we have procedures for quality assurance externally and a number of such issues to be implemented before sending it to the Stortinget for a decision. That's why we move into existing temporary premises. It has almost no costs, and then we get the procedure we need, with regard to the new building, by getting a separate case to Stortingen to the autumn.
ParlaMint-NO_2003-04-02.ana.ud2020e529	Let's move on to the next main question.
ParlaMint-NO_2003-04-02.ana.ud2020e532	I want to ask the minister of the church a question. The Church is important to very many people in our country. We see this when people gather for worship around words and sacrament and for church acts in both joy and sorrow. We are many who want this open and inclusive church, and are happy that many people know a relationship of ownership of their local church. The church meeting last autumn was unusually clear when it spoke of the Church's economy, and underlined the link between the local economy and the Church's economy. About 70 pst. of the Church's budget are municipal funds. I want to draw attention to the church buildings and ask: What long-term strategy does the government have to stop the decay that characterizes many of the country's church buildings?
ParlaMint-NO_2003-04-02.ana.ud2020e541	I have also been told that there is some lack in church buildings around, and sometimes when I read newspapers and hear some comments from here, I have the impression that the churches started to flake in October last year, and that before that everything was just fine. Now a real effort has been made to clarify the amount of money we are talking about when it is necessary to take care of the protective churches we have. The Riksantikvar says there are unpaid tasks here for almost $3 billion, maybe even more. So we have to sit down and think, what do we have to do to get this done? What is sad is that taking care of the churches is actually the responsibility of the municipalities. The local authorities have done so in part, not in good economic times either. So we actually have to sit down and think about what we're going to do to get the municipalities to take that responsibility. The state may also need to consider how to protect certain special churches in order to preserve them. But I want a system where we don't take from the municipalities the responsibility they have to keep their churches in claim. We have to come back with a plane. He's not really real yet, because it's not that long since I got to talk on the table in relation to the size of the manga. Then we're going to have to have a dialogue with the Storting about how we can jointly take care of the church buildings we have.
ParlaMint-NO_2003-04-02.ana.ud2020e550	The Riksantikvar estimates that 750 churches need about 20 minutes. DKK 3.5 billion. Then we have between 900 and 1,000 more churches, where you estimate a maintenance need of $4 billion to stop the accelerating destruction of these. It's formidable numbers. Nor do I believe that the churches started to flake last year, and I don't want to blame the government in any way, even though the local economy has actually become more difficult in the last two years than it has been in many years. That's not the point. I ask the question, because I guess it takes up the minister of the church: how do you think in the long term that this formidable task can be solved?
ParlaMint-NO_2003-04-02.ana.ud2020e557	I cannot give a concrete answer to that today, because I have just started the work. We haven't discussed it in the government yet. But when we're done with the work, we come back to Stortinget. That we are forced to think in the long term, I am completely in agreement with the representative in. I hope that we can have a dialogue with Stortinget on how we will facilitate the maintenance of these churches. I am, as I said, not finished with the job, and therefore I cannot give the representative a long-term plan today.
ParlaMint-NO_2003-04-02.ana.ud2020e564	There will be follow-up questions – Magnhild Melting Group Kleppa.
ParlaMint-NO_2003-04-02.ana.ud2020e567	If the Government chooses to strengthen the Church, both in terms of construction and in terms of staffing, which the municipalities are now forced to do, and which goes beyond the Church locally, the Government must make some choices. Now, their own figures show that those who lit over 350,000 kroner received NOK 6000 in tax bills, while those who charge less and less received a few hundred bills. Then I know that the government is hurting over 20 million. kr that was cut to the General Council. It did the parties that had several billion dollars for the municipalities, where the council would have had more. Will the State Council now give priority to the Community in the future? Will she commit herself to the elderly, to the schools and to the churches, or will she sound about the Right's warning of the extra 14 billion dollars in treasures?
ParlaMint-NO_2003-04-02.ana.ud2020e574	The President seems to have been easy to move away from the main question, but it's relevant anyway, so be good, Councillor Reply Haugland.
ParlaMint-NO_2003-04-02.ana.ud2020e577	Now, I didn't mean to mention these 20 million that Magnhild Meltveit Kleppa helped cut this time, but since she did it herself, it was also a choice for the Center Party: are we going to go in to hold them, because we don't get multiple billions for our community economy? It didn't get the Center Party, and I believe it to the extent that Magnhild Meltveit Kleppa knew they weren't going to get either. So it was a choice the Center Party also did. What I am pleased about the debate we have now had on the church economy is that we have been given an understanding in the whole of the Great Britain that this is important. I also believe that the local economy is important here. For this reason, part of my latest reports have been that we give priority to the local economy. Then we get to the budget that we put forward, where one will see his clear speech. I don't think we should do this, but I think that most people understand the priorities of the Christian People's Party in relation to the budget for next year.
ParlaMint-NO_2003-04-02.ana.ud2020e584	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e587	The signals from industry and the construction industry during the day are very discouraging. There's a growth in unemployment, also in the construction industry. Would it not be reasonable, then, for the Council of State to expedite its assessment of the provision of exceptional State grants for the maintenance of church buildings, not directly to the municipalities, but as a government direct grant scheme for the maintenance of our churches? It would not be natural for this to be taken into account in the government's discussions on the revised national budget, because it is actually now that we have available resources to do maintenance work. The state has, as everyone knows, good money. Then it is better to builders, among others. may also maintain churches in addition to school buildings and others, rather than passively receiving leave.
ParlaMint-NO_2003-04-02.ana.ud2020e593	Carl I. Hagen's score is pretty clear, and I think the government is going to address some of these issues in the revised national budget, because we're also concerned about unemployment. Each construction industry, if any, should start up, becomes a discussion. The answer comes when the revision is presented. But we're not done by the department yet when it comes to how we're going to deal with the construction industry in relation to our church buildings. I think we need some more time on that. But I expect that what is presented in the revision will show that we want to bet on the construction sector in relation to unemployment, but I can't be any more concrete now.
ParlaMint-NO_2003-04-02.ana.ud2020e598	The time for the oral questioning procedure is running out. We're going to the ordinary Question Time.
ParlaMint-NO_2003-04-02.ana.ud2020e603	There will be some changes to the questionnaire, and the President refers to the corrected overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Olav Gunnar Ballo to the Minister for Foreign Affairs, is postponed until the next Question Time, when the Minister for Foreign Affairs has left. Question 10, from the representative Steinar Bastesen to the Minister for Fisheries, is moved and answered at the request of the Council of State to answer question 19, i.e. at the end of the Questionnaire. Question 15, from the representative of Tor-Arne Stroem to the Minister for Transport, will be taken up by the representative of Bjørgulf Froyn. Question 18, from the representative of Øyvind Korsberg to the Minister for the Environment, falls because the questioner is not present.
ParlaMint-NO_2003-04-02.ana.ud2020e629	This question has been raised.
ParlaMint-NO_2003-04-02.ana.ud2020e635	I would like to ask the Minister for the Church and Culture the following questions: ‘During the examination of the budget for the autumn of 2002, the Stortinget Ministry asked to contribute to the direct transmission of programmes in the NRK and that the text percentage be 50 pst by 31 December 2005. of all Norwegian-speaking programmes, both pre-produced and direct. Can the Council of State indicate how far this work has come?’
ParlaMint-NO_2003-04-02.ana.ud2020e644	As a public broadcaster, it is important that the NRK also offers hearing impairments. NRK texts today on average around 60 pst. of total transmission time. Texting direct entries is difficult and requires advanced technology. For several years, the NRK has worked with SINTEF to develop a technology that can turn to text. I have been informed by the NRK that SINTEF does not seem to be able to deliver a satisfactory system by 2005. The NRK, together with TV 2, has been in discussions with IBM and the company NST at Voss about an alternative system. IBM will not even develop a Norwegian version of its ViaVoice system, because the Norwegian market is so small. NST at Voss, based on IBM's technology, has developed a system for use within defined areas, but it's still not good enough. While waiting for a good enough number of text systems, the NRK has completed a keyboard subtitles system in April. The system will be tested before summer. This may affect hearing loss, but will not be an adequate system for subtitling debates and rapid exchange of words. It says that a comprehensive development effort to achieve a qualitatively sound system for this purpose. We will follow up on this work.
ParlaMint-NO_2003-04-02.ana.ud2020e657	I thank the Council of State for your answer. I found it positive to record that the Council of State was genuinely committed to the problem. In 2001, the Council of State replied in a reply to me that this was interesting, and that it would follow up. No confirm her some things within the technological area that we actually know, but we also know that, among other things. In England they've come further than it seems that there's room for it here in Norway. So she said it's going to be a test drive before summer. We also know that this will cost funds. The Minister of Culture has our crystals in playhouses about the local economy. I am so bold to remember that the Storting in four points has said something very clear about subtitling, where it is also said that we want it to be seen by state resources to adapt the technology we have abroad to Norwegian conditions. Then I am so bold to ask the Minister of Culture whether this will be followed up, either in the revised or in the budget of the House.
ParlaMint-NO_2003-04-02.ana.ud2020e666	That's what I think the asker knows I'm not going to answer.
ParlaMint-NO_2003-04-02.ana.ud2020e671	That was a short and straightforward answer. I notice that during the spontaneous Question Time she followed up earlier promises within the local economy. But it'll be the Council of State's choice. We have over 600 000 Nordics that we characterize as hearing aids. I think there are many who attend both the NRK and the Council of State in this matter. At least that's how far we're going. We know that among the 600,000, there is a lot of children who are hearing impaired. What I'm familiar with now is that many of the children's programs – there are children's TVs, there are movies, there are travel programs – have gone without text, because resources were inserted to text other applications. Is it acceptable for the Council of State that there are many thousands of young people who are simply reducing their supply? Can the Council of State consider taking an initiative to correct what has now become negative for the young?
ParlaMint-NO_2003-04-02.ana.ud2020e680	The fact that there has been a rotation of the way the funds are used is unknown to me, but I can of course bring up this with both the NRK lead and the TV 2 lead if that is the case. I didn't think it was a good turn, either, if a person has deliberately spent more money on the crop programme than on the children's programme. Otherwise, I'd like to stress that we're following this up. We've come up with something short in terms of technology, but it's not the same thing as giving up. We're assuming that we're also getting good technological solutions in the long term. It's important that what we do in the end is of good quality, instead of getting half-good solutions.
ParlaMint-NO_2003-04-02.ana.ud2020e690	I will ask the Minister of Justice the following questions: ‘It turns out that several contact agencies operate an unusual form of marketing, in which they advertise women with three months’ ‘right of exchange’. The media mention that Thailand's embassy recently had to stop a Norwegian when he was about to pick up the 12th woman to the country. What does the Council of State do to protect these women?’
ParlaMint-NO_2003-04-02.ana.ud2020e699	More and more women come to the country through family reunification on the basis of marriage. Marriage may in some cases have been transmitted via the Internet or through a marriage agency, as referred to in the question asked by the representative of Bekkelem Orheim. We are aware that an increasing proportion of these women are also subjected to violence and abuse by their spouse and must seek refuge in the crisis centres. In some cases, we find examples of one and the same man picking up many women who are soon being replaced with new ones. We have taken measures to ensure that these women receive the best possible treatment in cases where they are addressed to the police. All police districts were given a family violence coordinator from 1 July to help police districts deal with all such matters with a high level of professionalism, no matter to which police district the victims address. The problems in some cases are that the police come to know about these matters in retrospect. In addition, these are very complex issues, which require individual treatment. However, I would like to consider several measures. This applies, inter alia, to: the proposal to allow foreign authorities to obtain information from the criminal record so that women seeking family reunification with their spouse may be warned against marrying that husband. Per. Today, the alienation authorities do not have the authority to reject an application for family reunification because there is information or suspicion that Norwegian citizens have mistreated their former spouse. However, a legal committee set up to review the Foreign Affairs Act will look at these issues in more detail. The legislative committee will deliver its opinion at the end of 2003. However, I am sceptical about implementing measures based solely on regulating such activities. In many cases, the police will not be aware that an offence can or will be committed. Regulatory measures could therefore provide false security and thus have no or limited effect on what is intended, namely to prevent these women from being subjected to degrading treatment or serious crime of violence. Therefore, in addition to any legal regulation, information material should be developed in the relevant languages, where women are informed of their rights and the functioning of the ancillary public service in Norway. One possibility could be to distribute the information material in connection with the application for residence in Norway. In the context of the work on a new action plan, ‘Violence against women’, these actions will be assessed. There we will also consider further measures to protect this group of women, as presented in the representative’s questions.
ParlaMint-NO_2003-04-02.ana.ud2020e719	I thank the Council of State for the answer, which I see as positive. I understand that the Council of State has to wait for the sample before he gets rid of all the individual parts of it, but I interpret the answer positively compared to the fact that he is willing to also come up with perhaps a little controversial measures to stop this unworthy traffic of women from poor countries. We know that Sweden has come a little bit on the way. They've tried out a certificate of good conduct, which has been able to give women information about the man they're going to marry. My clear question to the Council of State is whether he is willing to use the law if necessary, so that we guarantee these girls good legal certainty. We can't use the law as an excuse to not do anything for these young girls. The most important thing must be to give them protection, and if necessary by a law, I believe that government and greatness need to do so. This is a new business, which has confronted us with problems with which we have been unknown, and therefore I hope that the Council of State will be offensive in the time that comes in this particular area.
ParlaMint-NO_2003-04-02.ana.ud2020e726	The representative and I have the same commitment. We're going to use the law where it's consistent. That's what I said in the main reply, and it's quite understood, as it's been interpreted. I am also familiar with the Swedish system, and there are just such measures that will be updated in connection with entering the criminal record, so that information can be provided in cases where a person has been previously punished for violence. The other side of this is information. We have suggested this in connection with another measure, which unfortunately is related to this, namely trafficking, where, in addition to legal regulation, we also use information measures. I agree with the representative that in situations where marriage is made on this basis, we need to strengthen legal certainty for women who are subjected to abuse. I have previously answered questions to myself in Stortinget that the Swedish scheme is one of the measures that we want to include in the job of this legislative committee that I have referred to in my main response. We have a new challenge, and we have to meet it.
ParlaMint-NO_2003-04-02.ana.ud2020e735	Quite briefly, it sounds like the Minister of Justice and I agree with you on this point. I can at least promise that on behalf of the Workers' Party we will follow developments in this field very closely and take care of what the Minister of Justice does when he has got his position on the table and will present concrete proposals to the Stortinget.
ParlaMint-NO_2003-04-02.ana.ud2020e740	No one dies of being liberal. I started the action plan against violence in society, which also had some of these aspects, and it was passed on by Minister of Justice Hanne Harlem. I gave her credit for that, and it was quite natural to take up the thread. As politicians, we sometimes have to see that we actually stand together in matters, and then we do. Then we can use our political creativity to become capable political craftsmen to help those who need it. And there I feel that the representative and I are on the same track half.
ParlaMint-NO_2003-04-02.ana.ud2020e748	‘In the covering letter of the Association of Forestry and the Ministry of Justice for the Exploration of the Law of Landing in the magazine Skogerieeren nr. 3 it is encouraged to ‘continue and contribute to the rescue of the Tomtefestelaw’. The proposal of the Workers' Party is described as a ‘ran of private property in the districts’. It is also claimed that by replying ‘you will contribute to the law not changing, and that you as a fastener will not suffer great financial loss!’. Does the Council of State believe that such a wording and such cooperation with interested parties ensure a neutral investigation?’
ParlaMint-NO_2003-04-02.ana.ud2020e755	I would first like to stress that the covering letter to which the representative Storberget refers has not been prepared by or in any way clarified with the Ministry of Justice. The Norwegian Forestry Association has prepared the covering letter on its own initiative and the letter was not presented to the Ministry until it was sent out. The Ministry of Justice therefore does not include the contents of the letter. The reason why the Ministry of Justice logo is printed on the letter is due to an error in the printing process, according to the Association of Forestry. The logo should have been printed on the questionnaire itself drawn up by the Ministry and not on the covering letter drawn up by the Association of Forestry. The department was first made aware of this error after the letter and questionnaire had been sent. The Ministry has therefore had no opportunity to correct the error. I regret that the letter thus wrongly gives the impression that the Ministry of Justice is in favour of the content of the letter. I would like to stress that the Department is taking a great deal of distance from the angle chosen by the Association of Forests in its covering letter. It has always been a clear prerequisite for the study to be conducted in a neutral manner in order to ensure optimal knowledge of the facts about the effect of the Law on Landings § 15. This is also the reason why the Ministry has chosen to cooperate both with the landowners’ side and with the parties’ side. The forestry association has stated that in the next issue of the forest owner they will explain the error that has been made, and that they will complain to the Ministry of Justice about what has been done by them.
ParlaMint-NO_2003-04-02.ana.ud2020e766	I thank you for your answer and am pleased that the Minister of Justice and the Ministry of Justice have this position on this covering letter. I have to admit that it seems to me that this was the case. This case and this survey are of exceptional importance in terms of the job to be done by the Ministry and the Stortinget for the autumn compared to the 350 000 feasters of recreational and residential areas in Norway. What is so stupid about this broadcast and the cooperation that the Ministry of Justice has started with stakeholders is – and it shows this to the full – that you can get such an impact page. Now the damage has already happened, by the fact that the Forest Society has so strongly marked what is the intention of the study. Is the Ministry of Justice going to do something extraordinary to remedy this damage, to ensure that the investigation and the basic material are neutralised?
ParlaMint-NO_2003-04-02.ana.ud2020e773	Now the Ministry of Justice is already acquitted in the newspaper Østlandingen, with the appropriate comment from the representative of Storberget. Let me quote: ‘The Ministry of Foreign Affairs — A very regrettable error. The Ministry of Justice does not support our industrial policy text, says Bjørn Lauritzen of the Association of Forests.’ It is fair and reasonable to react to what is, and I expect the representative to read the Eastland, just as the Council of State does, but let us now base the good intention. In order to achieve the goals that the representative Storberget and I agree on, namely that we will get a case out as soon as possible, we do not just cooperate with the Forest Society. We cooperate with the League of Bonds, the League of Plots and the Alliance of Public Opinions. The survey will be conducted in a proper way, and we expect the answers to be indicative. The Department will then make its political assessment. I find that those who have abused our logo, as they say, by «a technical defect», have laid themselves flat for us, and then we follow the slogan that when you have apologized in a duly strong way, the matter has been taken note of by us.
ParlaMint-NO_2003-04-02.ana.ud2020e787	I read Eastlanden as actively as Solan Gundersen. I'm born and raised with newspapers, so I'm familiar with this. But what's at the heart of the matter here is that it doesn't have to do with any excuse to the Ministry of Justice. The question is about the legal process and the basic work that we are going to do in Stortingen until the fall will be a sufficient excuse for the many parties around Norway who now experience completely unfair results from the law on the land. That's the excuse I'm afraid is going to be too bad. Now I saw to my delight in the World Gang the other day that the chairman of the Judicial Committee goes out and says that he supports the proposal to phase out the Santa Claus system. It might be interesting to end this by asking the State Council of the Ministry of Justice if it is such that the Government has now decided to support the proposal to phase out the scheme, as the chairman of the Judicial Committee and right-wing representative Trond Helleland give signals about in the world's time.
ParlaMint-NO_2003-04-02.ana.ud2020e796	This case has a factual core and a polemic core. The real core is that the Storting would quickly have an evaluation. That's what Stortinget gets. They also want lawbreakers. That's what Stortinget gets. The polemic core is hardly the representative of Storberget completely unknown. He himself in the good cause's service has been sharp in Poland, and that's his right as an active politician. He has to assume that the Ministry of Justice is able to sort between polemics, whether they now represent the Forest Society or that it is the representative of Storberget. It's the way we have an independent obligation to deal with the leaders of the Storting, and we're going to do that. Then Stortinget gets back the material that they ordered, and that I have commented and agreed to in proper rounds in this house, not long ago. Then we meet with the solutions that will be put on the table then.
ParlaMint-NO_2003-04-02.ana.ud2020e806	«For women in acute crisis, there are now 50 crisis centres and special police reception apparatus where they can contact. Men in crisis have few places to turn. The only offer many violent men get, they receive under atonement. There are few offers to men besides the whole country. What will the Council of State do to make available the available information, better known, and what will the Council of State do to strengthen and develop the existing and limited offer to men to apply to the whole country?’
ParlaMint-NO_2003-04-02.ana.ud2020e813	It is an important task for the Ministry of Justice, in cooperation with other central and local authorities, to further develop the offer of violent men. In addition to the offer offered by Alternatives to Violence – ATV – in Oslo, Langesund and Drammen, there are four treatment options for violent men in Norway. The offer is located by the following institutions: project Sinnemestering at the Brøset in TrondheimInstitutt for Clinical Sexology and the Therapy Family Violence Project at the Family Protection Office in Moldova other regional centres of competence for prison, security and judicial psychiatry In addition, the Ministry of Children and Family in September 2002 established the first Men’s Resource Centre in Norway – REFORM. The Centre shall focus on men’s problems and opportunities and shall be a place to go for men in crisis, sorrow and difficulty. The main activities of the Centre include: the creation and operation of resource groups for men in different situations of life, psychological and legal guidance and counselling in the event of divorce and child sharing. REFORM is initially established as a three-year project. The Ministry of Justice, in cooperation with the Ministry of Children and Family Affairs and the Ministry of Health, has granted a crisis grant of NOK 1610 000 to Alternatives to Violence in 2003. The grant is a continuation of the ‘crisis grant’ of NOK 800 000 granted in 2002. The award was given because the Ministry considers the work of Alternative to Violence to be very important in developing the skills to help better men who are motivated to get out of violence. In addition to direct support for Alternatives to Violence to spread competences at national level, an additional 1.5 million has been allocated to the Ministry of Justice budget for 2003. D to the sensory programme aimed at violent men. In cooperation with the Ministry of Children and Family Affairs, the Ministry of Social Affairs and the Ministry of Health, the Ministry of Justice will draw up a new action plan for violence against women during 2003. An important area of action in the new action plan will be measures related to the development of a nationwide offer in the field of violence treatment and sensitisation, as the Swedish Government has also asked for in the budget budget. S. No 4 for 2002-2003.
ParlaMint-NO_2003-04-02.ana.ud2020e841	I thank you for your answer. There are eloquent confessions about men and violence: Family violence against women, children and other men may amount to 100,000 cases per day in Norway. of the suicides by men.88 pst. of those who commit suicide between the ages of 20 and 24, men.73 pst. of all admissions to paediatric psychiatric clinics are boys.75 pst. of those who are killed in an accident aged 15 to 24 years are boys. Men have drug problems to an enhanced degree. The victims are many, including those who commit crime. There are a number of firefighting measures for women. Will not a commitment to prevention and provision to men be of greater value to victims, who are often women, but also to these men, than to fire extinguishers, often in later prisons?
ParlaMint-NO_2003-04-02.ana.ud2020e875	Unfortunately, it is an area in which we must both prevent, operate firefighting and repair. We have to put all the measures in place at the same time and keep those thoughts clear in our heads. Because we've been lying behind, we had to start with firefighting and measures against women. Then we have acknowledged, among other things. through Alternatives to Violence's work, that it's possible, if you get to the right time and way, to help very many men who don't master their problems. That's the background of the answer I've given, which is also in the representative's commitment, as I see it. I share the view that this offer must be developed. It will just be a crucial point in the new action plan on violence in society, how we are going to achieve men, but also the children living in these societies. Then we'll be able to look at how the skills we have are to be further developed. We have now secured the basics of Alternatives to Violence. Then we will see how this measure can be used further and how other measures can also be used. I share the representative's view that we can also do a job here by being in front and not just having to run a fire extinguisher. So we need to think about all of the thoughts in the context.
ParlaMint-NO_2003-04-02.ana.ud2020e882	==References== 95 pst. of the Norwegian captive population are men. There are probably many reasons for this, but I will not be bombastically drawing any conclusions. However, it turns out that many of the prisoners lack basic literacy skills. It is a sad failing statement to society that these men should learn basic reading and writing skills in prisons. A headline in the newspaper yesterday refers to studies where boys make it weaker in 90 p.m. by the subjects, than the girls. An OECD report concludes that at least 20 pst. of all Norwegian 15-year-old boys in Norway are functional illiterates. After finishing primary school, girls who choose health and social education get 1 100 hours per day. years in human-related subjects, while boys who choose technical subjects receive zero hours in human-related subjects. Could later criminal behaviour be a result of the type of training background Norwegian boys get compared to choosing a communication subject? And what can the Council of State possibly do with this?
