ParlaMint-NO_2003-03-27.ana.ud1262e69	The representative, Inge Ryan, will make a private proposal.
ParlaMint-NO_2003-03-27.ana.ud1262e662	It's going to be line change.
ParlaMint-NO_2003-03-27.ana.ud1262e665	How is it possible that the representative Brother Yngve Rahm can be satisfied with this setting, when the whole county he comes from, is concerned about the future of the industry and feels this as a political betrayal, after, among other things. The representative Rahm and Prime Minister Bondevik have contributed to creating great expectations in the area? And what comes from the fact that the representative Rahm is clinging to SV in this setting - SV, which is resisting everything called gas to Grenland? And how can the representative Rahm tell the industry and the entire population of Telemark that this was the best he could do, when he knows it's not true? For there is a proposal from the Labour Party in the vote, a proposal that would secure both gas and money for the industry in Grenland now. And how dare the representative Rahm take responsibility for leading the industry in Grenland into a new uncertain future again? It does not help the industry in Grenland to argue with old road projects that had large exceedances. Rahm says in his post that neither the Stoltenberg government nor the Jagland government have investigated the matter. No, it's Bondevik's government that has submitted this message. And I think it's alarming that when the government sends a message, it's the government parties who say that this is not good enough, so we can't accept this.
ParlaMint-NO_2003-03-27.ana.ud1262e672	There was a lot of interesting rhetoric in this, but there's not much more than rhetoric. I have been prepared in my own right that Gunn Olsen would take part in this debate, based on the newspaper talk of fraud and I don't know what words you choose to use. How can Rahm take responsibility for leading industry into new uncertainty? The settlement that exists is not a postponement, it is the beginning of a process, and it is not the Workers' Party at the moment. When we talk about creating uncertainty, I would say that Gunn Olsen speaks uncertainty and pessimism into the market, at a time when we need the opposite. It's a responsibility that I can't share. I also want to send a message to the industry in Grenland that we want to take their situation seriously. We're clarifying that we want gas to Grenland and that we're going to co-finance it, but we can't do that without getting this properly figured out. I am pleased that Gunn Olsen now acknowledges that the investigations have not been carried out, either by Stoltenberg or by Jagland. But when she refers to the Bondevik government, she also overlooks the fact that this is no proposition. It's a big message. And there's a kind of document that Gunn Olsen also sees differently. With regard to the signals from Telemark, I am very interested to register a notice in the newspaper Varden, where it is said that the Telemark Gassforum is satisfied. I record that the managers of the industry go out to Varden and say that this is a good basis to continue working on. Because, as they say, investigations had to be carried out in any case. But investigations don't mean postponement. What we're doing now is we're also starting the process to the delight of Grenland.
ParlaMint-NO_2003-03-27.ana.ud1262e684	When the representative, Brother Yngve Rahm, in his reply to the previous line, says that this may be the beginning, I would say that it may also be the beginning of the end of the Norwegian industry. In the process from the Committee on Energy and the Environment started its work and until today, there have been many input and opinions. There has been a lot of good work done by industry and by different local communities to produce their projects, and there are many good ideas and projects at times in many places in the country. Border is such an area. Many people, both in industry and among the local population – and also many politicians – believe this. In Telemarksavia on 15 February, the title ‘Bondevik will pay for gas pipes’ is replaced by the title ‘Bondevik will pay for gas pipes’. Let me quote from the article: ‘Because at the press conference yesterday, Bondevik actually went beyond what is stated in the government’s own gas report, saying that the state has had to take account of the gas pipeline. There has been a process since that notification was made. Among other things, there are ominous signals coming from the industry. It has probably also affected Bondevik," says Rahm." Why will not the Christian People's Party follow the promises made by the Prime Minister? Why won't Brother Yngve Rahm stand by the promises he has made to the media in the area to which I refer? And why will the Christian People's Party overrun Norwegian industry, Norwegian industrial workplaces and local and national value creation?
ParlaMint-NO_2003-03-27.ana.ud1262e700	I feel very comfortable with the agreement that is being treated today. I do that because we can stand firm in relation to the fact that we are sure that we will pass the matter on. The Progress Party has not contributed to this. That's why there's too many rhetorical points from the Progress Party, when you give the impression that they want to be involved and create values. They sit outside of any majority, and probably there's a conscious policy. I also reiterated to the representative of Vaksdal that this was more for the sake of the party marking itself. With regard to Kjell Magne Bondevik’s — the Prime Minister’s — statements after the visit to Grenland, what lies in the setting is that we are going to be part of and co-finance infrastructure, a direct and concrete follow-up to Bondevik’s opinion. It is entirely in line with what the Prime Minister said in Telemark during his visit there. But let me say something about the premises that the Progress Party is putting in for what they describe as a joyous day. The party of progress has been talking about a happy day in Stortinget before, they. They talked about it in connection with FATIMA, and they talked about it in connection with IT Fornebu. Now they're talking about it in connection with Grenland. Neither FATIMA nor IT Fornebu was sufficiently determined, but it was a joyous day for the Progress Party. And now we see how it works. A day of joy with the eyes of the Christian People's Party is that – I would say to the Party of Advancement – when we present to the Stortinget, to the industry and to the communities projects that hold water, and which are firmly anchored both economically and organisationally. I note that the Progress Party will not contribute to this. Then we can get a new IT fornebu. We don't want to be in on that.
ParlaMint-NO_2003-03-27.ana.ud1262e709	It'll be wild when you have to blame Stoltenberg and Jagland for failing politics in your own party. One might wonder why one didn't owe a little bit to Bratteli, Nordli and Gerhardsen too, but I'll leave that to me. SV's representatives have been up today and said what they think about gas. These are the conciliators of the representative Rahm. The same representative said in the paper that this was the best result you could achieve. The border environment has every reason to feel today's treatment of the gas message as a betrayal. When Brother Yngve wanted nothing to happen, he set down a gas committee. That's the government's message we're handling today. That the chairman of the committee can then make himself say that today it starts, I think I'm overconfident at my own government. I expected the government parties to do what the committee leader said to the fatherland friend that they should do, that they should become concrete during committee proceedings. They have chosen not to be. I can only interpret it in one way, that they believe that the government has done such a bad job in the preliminary work that there is no basis for going further. I'm sorry. We believe that there has actually been such a thorough investigation that the time has come to get started, both for the workplaces and to the greatest extent for the environment.
ParlaMint-NO_2003-03-27.ana.ud1262e718	The President would point out that other representatives should be mentioned by full name.
ParlaMint-NO_2003-03-27.ana.ud1262e721	When the Government presents a big message, it challenges the Storting to put it into practice and to help translate the big message into practical policy. It has nothing to do with the distrust of the Government. It's on the contrary with trust to do. When the government parties in the agreement, where the Central Party and SV also set up, continue the intention of the Government's Storing Message, then there is a trust statement to the Government. Rolf Terje Klungland again points out that this has been completed. I hope we do not leave the hall today without actually knowing what state investigations you refer to. The Labour Party cannot answer that question. The Party of Presidents cannot answer that question. But the state is going to co-invest, and then we have to know. We don't want projects that go wrong. We want projects that are firmly anchored in economic calculations. So the reference to Jagland and Stoltenberg had as their starting point a confirmation that there are actually no investigations. It was not done by any of the two governments. It has not been done so far by the Bondevik Government either, because they have not had the mandates they need to go on, but we are now giving it up so that we can get it in place. And that's the background for me to say with great boldness, we're in the process. But I note that the Workers' Party is not involved, and they may not have been initially prepared to do so. There were three issues: they promised 3 billion blanks right above the table without any investigations. You should have a state company without the opportunity to assess whether that was the right way to do it. In addition, the gas power question was introduced into the Storting at the end of the treatment. It was known that this challenged the Stortinget and created uncertainty about the projects. You should know that. That is why the Labour Party's strategy was wrong. And the government parties, together with the SV and supported by the Center Party, had to take responsibility for getting this right, so it got a majority in the committee.
ParlaMint-NO_2003-03-27.ana.ud1262e730	The cord shift is over.
ParlaMint-NO_2003-03-27.ana.ud1262e733	The resources held by Norway from natural gas form a significant part of national wealth and must be managed in a long-term perspective. It is expected that Norway will be able to produce natural gas for nearly 100 years and that its output will be well above today’s level. For the Centre Party, the objective is to maximise the value of natural gas resources within an environmentally sound framework. They shall also contribute to ensuring well-being and employment. It is therefore necessary to put in place a comprehensive policy that takes account of the interests we have as a major gas exporter, while at the same time enabling us to take advantage of the benefits that natural gas spent on land in Norway could bring locally, regionally and nationally. Norway is a significant producer of gas, and per Today, we are exporting most of it to the continent and to the United Kingdom as raw materials. It is right to use more of the domestic gas and get a bigger value. National policies aimed at the domestic use of natural gas must be based on: 1st@item: inlistbox Natural gas resources shall benefit the whole country.2. The competitive advantages we derive from the use of natural gas nationally, such as proximity to resources and potential sites for CO2 landfills, shall be exploited.3. The use of natural gas in Norway shall take into account the environment both nationally and globally and shall be within our obligations regarding greenhouse gas emissions. We believe that the processing of gas on Norwegian continental shelf as far as possible should take place in Norway. It must further invest in the future and environmentally friendly gas industry on land in Norway. More gas should be used both as a raw material and as an energy source in industry. The centre batch has, as a clear condition for the use of the gas, to contribute to proper environmental development. We will not contribute to the construction of gaseous power plants. We will provide support for technology development, so that we can build gas power plants with CO2 cleaning in the long term. When the industry can replace coal, coke and oil with gas, it is important environmental progress. Access to gas can contribute to the modernisation and expansion of important industrial enterprises. We also want it to provide a basis for new businesses. The party considers that the State must contribute funds to development work in order to increase the scope of application of gas and to develop technology with CO2 management. It is also necessary to mobilise State funds for the implementation of large infrastructure projects, such as the laying of pipes and the establishment of LNG and CNG transport facilities. We believe it is right to set up an innovation company in Grenland, and that this should come into operation as soon as possible, preferably in 2004. The error made in the last budgetary settlement, when the Government and the Advance Party cut the funds for environmental research, needs to be corrected with increased appropriations for research into the environmentally friendly use of gas. In the energy sector, we want gas to replace oil more extensively for heating purposes. Transition from fuel oil to gas results in significant reductions in national greenhouse gas emissions. On the other hand, we do not want gas to replace more environmentally friendly energy carriers, such as new renewable energy. All the time, transition to less polluting energy must be worked on. It is therefore necessary to invest in increased use of gas in the transport sector as this brings clear environmental benefits. This applies in particular to maritime transport and to the operation of vehicles in urban areas. The centre party considers gas as a transitional fuel on the road to the ‘hydrogen society’. In urban areas, the reduction in emissions of NOx, CO2 and particulate matter in relation to the use of diesel means much to the local air quality. Buses in Bergen consist of the so-called handkerchief test. We also believe that funds should be earmarked over the state budget for the construction of new LNG gas ferries over a decade. It turns out that this is a very effective way to reduce Norwegian NOx emissions. The extra costs of building gas ferries should be compensated for by grants — it would not be sufficient just to provide guarantees, as proposed by a majority. The construction of gas ferries can, as an additional effect, give important assignments to the Norwegian shipbuilding industry. On previous occasions it has been mentioned that Norwegian competence in this area is high and it is important to maintain and further develop it. I have previously said that the Senterpartiet wants State involvement in the construction of infrastructure for the transport of gas. More areas in the country should have access to gas. We believe that this should be done by the state entering as a joint owner in the installations. We have also made a clear demand that the State should not contribute to subsidising the transport of gas to gaseous power plants. The centre party has chosen to join the gas settlement between the government parties and SV. We wanted the majority, as the Central Party has agreed, to be able to say even more clearly that the state should contribute to the construction of infrastructure. Suffering if we know that there is still a lot of investigation work to design the specific projects, the state should be able to say an obligating yes to entering as a joint venturer in pipelines. Nevertheless, it is irresponsible to do as the Workers' Party proposes here, simply to grant NOK 3 billion to a state investment company without setting environmental conditions. The working party has simply declared itself out of the possibility of entering into a broad settlement and has unfortunately placed itself at the heart of a corner – without any influence on this matter. The deal is the best one could achieve a majority for. The centre party believes that the area currently being pointed out for the construction of pipelines is the Grenland area, and possibly Eastfold. The gas is needed for industrial use in the area. Here we find the largest industrial cluster in the country that is involved in the industrial use of gas. A gas pipeline to Grenland can be built without the simultaneous construction of gas power stations. We hope that the plans for gas pipelines to Grenland will be ready by the spring of 2004, in line with the agreement. The construction of large gas pipelines will only be profitable when there is provision for significant quantities of natural gas within a geographically defined area. In areas of the country where there is only a reserve for minor quantities of gas, provision should be made for supplies such as LNG and CNG. It must also be possible for the State to enter into such facilities as a contributor or joint owner. We have noticed that the Government wants to add the management of natural gas grant funds to Enova. This is something that we see both advantages and disadvantages. On the one hand, it is good that an agency has an overview of the State aid resources used in the energy field. On the other hand, we are somewhat concerned that the heavy investment in the use of gas should take away attention from the work of getting more new renewable energy. Gas is a fossil energy carrier that will end in a few years. The renewable energy can be enjoyed indefinitely. A short time ago it was said that hydrogen is future – and will always be. The opinion was that there was little to bet on. It has gradually proved to be wrong. Hydrogen will be one of the major energy carriers in the transport sector and in the energy sector in the future. However, it assumes that we can produce it from renewable energy sources or from natural gas without CO2 emissions. It is therefore appropriate to establish a major national hydrogen programme promoting research and development related to hydrogen. I guess that's the majority for that, too. At the end of the message, a section on green certificates is included. It is important to understand that not only does this have to be linked to electricity, but it also needs to be considered to include heat. It is also the Swedish people who are concerned about it. I am pleased that a joint committee asks the Government to submit a proposal for a Swedish-Norwegian compulsory green certificate market since spring 2004.
ParlaMint-NO_2003-03-27.ana.ud1262e784	It's going to be line change.
ParlaMint-NO_2003-03-27.ana.ud1262e787	My home country, Nord-Trøndelag, is in a difficult situation. Nord-Trøndelag is an agricultural group with 24-25 pst. employment is linked to agriculture. We are seriously concerned by the ongoing WTO negotiations. One third of the county is affected by the fact that the reduced employer’s fee is likely to disappear. Two major industrial giants face major challenges and a number of small and medium-sized enterprises are liquidated. There are serious concerns about the employment situation in a district such as Nord-Trøndelag, and that should also concern the Centre Party. There is one major project that is being promoted in a positive sense – there is gas in Trondheimsfjorden, there is the construction of a thermal power plant on Forests, and there are branch pipes for industrial development in important areas of the Nord-Trøndelagen, which will mean investments in the billions class. And this big project has a very big uproar at local level. Most parties would say that this is very important to get implemented. The Vice-President of the Christian People's Party is one of the front fighters, the Right is in the torch for it, and the Center Party in the North Throne Team is perhaps the most enthusiastic. Kolbjørn Almlid, former Vice President of the Centre Party, is a front figure, the current Vice President of the Centre Party, Lars Peder Breck, is a front figure – they say that now we have to put the thermal power plant in Forest, the future of Nord-Trøndelag depends on that project. Let me ask: what is it that Inger Enger has understood that the Center Party in the North Trondelag obviously has not understood anything of, of which Kolbjørn Almlid obviously has not understood anything, and by which the current Vice President of the Center Party, Lars Peder Breck, obviously cannot have understood?
ParlaMint-NO_2003-03-27.ana.ud1262e796	I'm not underestimating the Nord-Trøndelag Centerpartie. But there are different views in the Center Party, and we live with that very well. And I almost have to be allowed to say that I hope they do in the Workers' Party, too, because I am aware that there are also very divided opinions about gas power plants. I hope they will live well with that, and that maybe the environmental side there can eventually get more influence. The programme of the Centre Party is quite clear in this area. And the Central Party National Assembly, which was fourteen days ago, where Breck also joined the opinion, was quite clear that we want industrial use of gas, but we don't want gas for power generation without CO2 being removed. Then it's quite right, as Bjarne Håkon Hanssen said, that agriculture is very important to the whole country, and especially to the counties like the North Throne Team. There is a need for an offensive for agriculture, and I would like the Workers' Party and the Centre to be able to stand together on an offensive to ensure that this country has clean food, of good quality. Then Forest is also okay for us, if there is only CO2 handling at this gas power plant that they want to build there.
ParlaMint-NO_2003-03-27.ana.ud1262e808	SV, the Government Party and the Center Party are positive for further industrial development in Grenland, we are positive for the gas supply industry. They have access to them now, but they may increase their volume if there is a new project point in itself. So both the government party, SV and the central party are positive for that. Note that some games are running hard because Grenland needs to be a gas plant. The Progress Party and the Workers' Party representatives place great emphasis on the need for an infrastructure for Grenland so that one can build a gas power station there as quickly as possible. In this way, they sign up for possible reconciliation with us, because they're pushing for a policy that's good to flag, but that's not going to get multiples here. This SV seems a bit strange. I am also a little surprised that the central party before the national meeting, and not least after the national meeting, had a debate about what the party actually means about gas power. So my question to the Center Party is related to the pipe that I perceive a wish for Grenland: Is it impossible for the Center Party to go for a gas power plant at the other end, or is it an opening for it after the national meeting?
ParlaMint-NO_2003-03-27.ana.ud1262e817	I am so pleased that the representatives from the various parties are engaged in the Central Party national meeting – we need to stay around a little. It is quite right that the Central Party national meeting fourteen days ago adopted a clear statement that it is an objective to use more gas for domestic valuation. We're losing a lot of industrial jobs for the time being, and so the Center Party, like what has been said before, doesn't mean that we can't live by just cutting our hair on each other. We also need to produce food and industrial products. In order to maintain and create industrial jobs, it is necessary to use the advantages we have in Norway, and we know that gas is one of the advantages. Both in the SV and in the Centre Party, we are concerned about this with natural gas and climate emissions. However, it should be fully possible for the State to enter as a partner of infrastructure on condition that the necessary environmental requirements are at the bottom. Langeland was particularly concerned with Grenland, which has a large industrial environment with, among other things, a lot of petrochemical industry — and there are 6,000 jobs there. Gas Forum Grenland has explained that existing industry and planned production expansions need so much gas that this defends the construction of pipelines without gas power plants at the other end. It is that part of the Central Party that supports it, both in its decision of the National Assembly and in what has been said here today.
ParlaMint-NO_2003-03-27.ana.ud1262e828	Several have not asked for the word for a line.
ParlaMint-NO_2003-03-27.ana.ud1262e831	The left is pleased that the government party has had a holistic and forward-looking gas settlement with the Socialist Left that provides the basis for the rational and sustainable use and processing of natural gas. The left has also always believed that energy policy must be part of a holistic environmental policy. This is simply an industrial and industrial policy issue, but also an environmental policy issue. Norway is a country that is blessed by nature with large power resources in the form of hydropower. This energy has been important to develop Norway into an industrial community and has contributed to creating well-being that we all enjoy. Norwegian energy use is also at the tip of the world, and there is little doubt that we have put ourselves on an energy consumption that is well above what can be characterized as resilient. As most people have recorded, the imbalance between supply and demand in the power market has led to a certain price rise. Norway has to build gas power plants to secure domestic industrial supplies of cheap power, says the Workers' Party and the LO, while at the same time being at the top of the world when it comes to CO2 emissions. Anyone who wants to take the environmental challenges seriously understands that these are among the biggest environmental problems we have. That is why I am pleased to note that the environmental perspective has been given a good and central place in this message, and that environmental organisations today go out and praise this agreement. Left is not anti-gas for industrial purposes - opposite. On the other hand, we are disunity in the Labour Party and the Progress Party's line of building infrastructure on the state's account – without doing anything for the benefit, need and demand of this infrastructure. Gas used correctly in the areas where it's from nature's point of view, it's positive, but we probably have to have a nuanced view of this, and we have to take time to figure it out. The left is opposed to the construction of gas power plants in Norway based on impure technology. The left wants instead to contribute to the development of Norwegian gas power technology without CO2 emissions. This message also states that building gas power plants without new technology with zero CO2 emissions is completely out of date. Such a technology effort is both good environmental policy and good industrial policy. At the same time, the Left will work to cost emissions from any gas power plant, in line with other greenhouse gas emissions. It may either happen through a continuous CO2 charge or through a national allowance system without the allocation of free allowances. The left is pleased that a single Norwegian-Swedish mandatory green certificate market will be attached. This will provide a stable and sustainable framework for renewable energy. The plural setting also contains a clear message for the Government to establish support schemes for the construction of gas ferries in Norway. The size requires an expanded State investment guarantee, adequate supply conditions and mandatory concession conditions, so that fleets dare to invest in gas-fuelled ferries. This means the left is positive. In particular, I would like to emphasise that investment in gas ferries for the Halhjem-Sandvikevåg link is the project which has the greatest environmental impact and which is perhaps the closest to being realised. The plans have come very far. For decades we have built up a good environment of expertise in the use of natural gas. The left is pleased that a person is now gathering to further develop these environments of competence. We must have the goal of being at the top of the world when it comes to technology and product development. This is also about securing valuable, forward-looking jobs. Left is pleased that one in the message adds a wager on the development of energy solutions based on hydrogen. Hydrogen and fuel cell technologies can respond to many of our environmental and energy policy challenges in the future, especially in the transport sector. For the left, it's a clear goal that we should bet on the most environmentally friendly energy. Energy solution based on hydrogen is forward-looking, and of course we support the plurality when it wants to downgrade a selection that will provide a setting for a national hydrogen program. Finally, of course, we support all the proposals that the Right Party and the Christian People's Party are behind.
ParlaMint-NO_2003-03-27.ana.ud1262e854	Once we have received this message for processing in Stortinget, it is time to ask questions about the use of gas. Are we going to continue to send the gas in pipeline to Europe, or are we going to start using it in Norway? After all, we are entering a time when gas is the most important investment factor for us in Norway — when the oil is said to be stepped down. Natural gas has not been a priority task, either for this government or for the governments that have been before it. We have sent the gas from us. What we've experienced about this gas is that it has to be burned. The question is, where should it be burned? Is it to be burned in Norway, or is it to be burned in Europe? If it's burned in Europe, we're importing the flow. If it is burned in Norway, we can export the stream – to put it a little simple. There are several ways to use gas. We can use it for fuel in ships, we can use it in households, and we can use it in cars. We can even use gas to feed fish farming. All these ways of using gas are beneficial for Norway — and it is beneficial for the environment. How long are we going to experience that 10 pst? is the world’s fishing catch used to feed fish in the rich part of the world? For it is he who can afford to pay for it! To get 1 kilogram of pellets, it takes up to 3.5 kg of raw fish, and 1 kilogram of pellets today yields 1 kilogram of salmon – ‘roughly’ set. When we experience that natural gas, for example: can be used to feed fish, we are on the right track. Research has to be continued so that we can use the gas in other forms than just to burn it up. When the Coastal Party says a little about power plants and the power plant situation – that is what is the hottest thing in the debate – it is clear that we believe that the construction of gas power plants in Norway needs to be discussed further. We hear from this speaker that it is old technology that is used, but the only way that technology can be developed in the future is to put it into practice and continue it. Today we can pump down to the oil wells below the sea bed the exhaust gases that may be dangerous. We have ships today that exploit oil wells that have little commercial value. We have to pump seawater into the oil wells to get more oil out. Why not use the gas that we get from the gas power plants? The exhaust gas that we emit can be used. Per. Today we don't have streaming, and we don't have a power crisis, because we import electricity from Europe to a large extent. We import polluting coal power, and we also import nuclear power to cover the power supply in Norway. I've told you in the past that we need a two-price system on power. When I grew up – in 1958 we got power on the hole I grew up on – we had a two-price system on the electricity. We had over-consumption, and we had normal consumption. But it was removed, and people could use as much power as they just wanted. Why not introduce a two-price system on stream, as proposed by SV? There would be nothing wrong with introducing a two-price system – a normal consumption and an over-consumption. We have to get there that we can save on the current while meeting our needs. I think it is timely that we discuss the use of gas and how we should behave in the future.
ParlaMint-NO_2003-03-27.ana.ud1262e871	Every day, there are messages about corporations flagging out, shutting down, permitting or revoking people. The number of bankruptcies last year was the highest in ten years. In the last year, the number of unemployed persons has increased by 25 pst, 75 of them lose their jobs every day, and the long-term unemployment rate has increased by over 40 pst. Unfortunately, this seems to be just the beginning. Studies carried out among member companies in TBL show that more than 50 pst. of which they consider moving out the whole or part of their production, and even more advertise downstaffing. Similar studies carried out in competing NHOs show the same. Today, Stortinget had the chance to do something to reverse this trend. But once again, multiples in this room choose to be a passive spectator for development. The majority seem to be aware that it is better to export our raw materials and allow others to take the value creation than to try to further process some of this resource themselves. Today, I export 99 pst. of the gas. One of the world's finest, purest and most valuable raw materials sends us out of the country, and with that we also send out the processing. With it we export jobs and large values in lost processing. By turning the gas into electricity, double a value. Using this electricity, e.g. to create metal, trebles a value of the gas. This is going to be the metal, for example. used for automobiles, the value of the raw gas becomes six-fold. This extra value will be exported today. But gas is not just an important energy source. He's also an important raw material. This raw material has almost untouchable uses. Very much of what we surround us with for the day, is produced from gas. The flakes are made of gas. The cover on our cell phones is made of gas. In fact, on the Tent Credit, they make bioproteins of gas. This is again used for fish feed, which is used to cook the gas. At the Museum of Oil in Stavanger you can see a bite of gas. In the future, one can in other words eat gas-produced food with gas-fired teeth. Norway is without comparison the largest gas producer in Western Europe. We have over 40 pst. of the gas resources in this area. We are the largest gas supplier to France, we are the largest gas supplier to Germany, and we will soon become the largest supplier to England. Nevertheless, the majority in this room have no ambitions about how we should use this natural resource here in the country. The majority have no visions for future, no plans for Norwegian gas to create jobs and values in Norway, only abroad. The first gas storage message in Norway was processed in this room over 20 years ago. She wasn't followed up by the previous Bondevik government. The Stoltenberg Government presented a concrete action plan for the use of gas in Norway in connection with the 2001 budget. He didn't take a decision about Stortinget, just asked for a new message. When this message is received by Stortinget, you do not take this position either, just asking for new layouts. Therefore I say, Kill me, Lord King, but not with more dispensations! Now it's time for action. The desire for new distributions now can only mean two things: either the message has been so small that there has been no basis for making decisions based on it, or the majority do not want to make such decisions. We have to be able to establish that both of them are true. There is little willingness in the Government or in the bulk of the population to do more than to be a passive auditor to export the gas and the value creation from Norway. This winter it has been a major focus on the energy situation in Norway. Lookups of empty magazines, high prices and threats of disconnection and rationalization have been daily. Now the danger is over. The crisis has just been cancelled. We were afraid of the gong this time too. But without abnormal rainfalls from now on to the fall, the situation is even worse next winter. And every year that goes by, we become more and more vulnerable and increasingly dependent on imports from abroad. The energy crisis we've seen in winter will be the rule rather than the exception for years to come, if we don't do anything drastic. There has been a large majority that is not going to do. I saw an interview with the energy minister in December, inviting us all to take the wish for wet and mild weather in the evening prayer. It is probably a good enough measure, but in addition we should have measures to make ourselves more independent from weather gods, and increase domestic use of gas could have been such a measure. In all other European countries, gas is perceived as a pure energy source; in Norway, importing coal and nuclear power from Poland and Russia is more environmentally friendly. Understand who it is who wills! Today, we had the chance to do something, both with the energy situation and with regard to creating new jobs. That chance left the plural.
ParlaMint-NO_2003-03-27.ana.ud1262e892	I guess that's really what it's called gas, when someone eats gas-produced food with gas biscuit.
ParlaMint-NO_2003-03-27.ana.ud1262e895	In this country, we have a long tradition of being a supplier of raw materials, and our management of the gas resources from the base thus merges into the range of examples of this, with a few honourable exceptions. It is not for nothing that these exceptions are built around the landing sites, and especially Kårstø in Rogaland. We have a long-term country, with low population density and widespread industry, and therefore it has not been profitable to make major investments in gas transport infrastructure for the domestic use of natural gas. The government has shown ambitions to increase the value creation by using the gas for domestic purposes by submitting this message to the Storting. It is in itself affordable, and there has also been a great deal of attention to the content of the notification and its treatment by the Stortinge. Examples of the domestic use of natural gas show that the benefit is both at the environmental level and at the purely business level. Examples include enterprises and major institutions that have moved from oil to gas. Natural gas is known as the least polluting fossil energy source. Therefore, it is also positive that the framework conditions for gas ferries should be assessed. Norway is a young gas nation and, as a result, there is a great need for increased competence in the use of natural gas. It is therefore positive to propose the establishment of a national centre of excellence for end-user technology in Haugaland, which is the region where domestic gas use has the longest traditions and the greatest extent. This centre shall be responsible for the information, advice, training and practical application of gas to the end-user. Preparations for the establishment of this Centre of Competence are already well under way and it is important that the Centre be assigned national tasks. The establishment of this Centre, by 1 January 2004 at the latest, has received unanimous political support and it is important that, in its future allocation of national tasks, the State will also contribute in this way to the economic foundation. The creation of a state-owned innovation company for green gas technology in Grenland is also an important contribution to both empowerment and product development within the Government's commitment to increasing the value of our domestic gas resources. Today’s debate has largely focused on the willingness to build infrastructure that allows more parts of the country to use the gas. I understand the impatience, but I don't understand the ease of dealing with numbers that some people operate with – whether it's three billion or five billion. In our eagerness to lay the basis for the creation of values based on domestic natural gas by building up an industrial infrastructure, it must be allowed to use our heads in a responsible policy. The work to be done now to produce different alternatives — profitability assessments and funding options — must necessarily be part of the process. Unfortunately, we have enough examples of the use of government crowns that have not responded to expectations regarding results. This has become a burden on the state budget and on taxpayers. That is something we must be able to avoid in this case.
