ParlaMint-NO_2003-12-08-2.ana.ud1416e52	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-12-08-2.ana.ud1416e405	One thing is that people freeze because they save on power. Worse than that, people can freeze in their heels because the power's going to be gone. When thousands of households in the East have no electricity, even several days after the storm has passed, we can be happy that we actually have quite mild outside. There is no obvious now just before Christmas. Decoupling due to rigid to strong spherical is unacceptable. If the Council of State has a different view of recent times, I look forward to him explaining what meteorological diagnosis he will make of what has been. Governments may also like to elaborate on how often they believe that these types of weather phenomena should be taken into account. My question to the Council of State is: What kind of action does he plan to take quickly to stimulate the network companies to make the necessary investments, necessary maintenance and preparedness so that one does not become powerless for several days after having had rigid to strong culverts?
ParlaMint-NO_2003-12-08-2.ana.ud1416e414	I want to show that the weather situation we had, especially in Hedmark, was quite unique. Fortunately, there are many years between each time we experience our husband. We have seen that those who are working to get the power supply have made a brave effort. They worked the night and day to get this done. But we have also seen the extent and extent of these damage. It's never going to be possible to guard 100 pst. against such a situation. But the important thing is that we have a preparedness for most weather situations. It is intended that the Norwegian central network, the regional network and the distribution network should have it today. I would like to confirm that we are going to go through this situation to see if the experience we have gained in the light of what has happened these days gives rise to increased demands on the network companies. The network companies have an approved budget. Within that budget, they shall ensure both the upgrading and maintenance of the network and its robustness in all normal weather conditions. It also involves harvest and winter storms.
ParlaMint-NO_2003-12-08-2.ana.ud1416e421	Several have not asked for the word for a line. Several have not asked for the floor for case No. Four and five. [[See page 1021]]
ParlaMint-NO_2003-12-08-2.ana.ud1416e439	No one has asked for the floor. [[See page 1021]]
ParlaMint-NO_2003-12-08-2.ana.ud1416e447	Then we go to voting on case No. 1 to 6 on today's map.
ParlaMint-NO_2003-12-08-2.ana.ud1416e454	During the debate, 42 proposals were put forward. It's the proposals No 1, 30-40 and 42, by Hallgeir H. Langeland, on behalf of the Socialist Left, proposal No. 2, by Rolf Terje Klungland on behalf of the Workers' Party, the Progress Party and the Centre Party, 3 and 4, by Rolf Terje Klungland on behalf of the Workers' Party, the Socialist Left Party and the Central Party, 5-7, by Rolf Terje Klungland on behalf of the Labour Party and the Progress Party, proposal No. 8, by Rolf Terje Klungland on behalf of the Workers' Party and the Socialist Left Party 9 and 10, by Øyvind Vaksdal, on behalf of the Progressive Party, the Socialist Left Party and the Central Party, on proposal No. 11, by Øyvind Vaksdal, on behalf of the Progress Party and the Socialist Left, the proposals No. 12-14, by Hallgeir H. Langeland on behalf of the Socialist Left Party and the Central Party, 15-29, by Mr Voksdal, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on proposal No. 41, from Inger S. Enger on behalf of the Centre Party Proposals Nos. 1–41 is included in the vote on pages 66 to 71, proposal No. 42 is distributed in the seats of the representatives in the hall. Proposal No. 41, from the Center Party, is addressed to voting. The proposal reads as follows: ‘The Government asks the Government to exempt Høyanger aluminium works from the increase in the mark-up on the network tariff from 0,3 to 0,8 ør/kWh, as this is the only aluminium works that will be affected by this increase in charges.’ The Progress Party has announced its support for the proposal.
ParlaMint-NO_2003-12-08-2.ana.ud1416e506	Proposals Nos. 1 and 30–40, from the Socialist Left Party, are addressed to voting. Proposal No. 1 sounds:
ParlaMint-NO_2003-12-08-2.ana.ud1416e1815	Proposal No. 42, from the Socialist Left Party, is addressed to voting. The proposal reads as follows: ‘The Council asks the Government to submit proposals for the continuation of the restoration of Steinvikholm in the context of the 2005 State Budget.’ The Central Party and the Progressive Party have announced their support for the proposal.
ParlaMint-NO_2003-12-08-2.ana.ud1416e1834	Proposals Nos. 15–29, from the Party of Advancement, shall be taken up for voting. Proposal No. 15 sounds: ‘The Government requests the immediate opening of drilling in already granted licences in the Lofoten area.’ Proposal No. 16 sounds: ‘The Government requests the immediate opening of drilling in already granted licences in the Barents Sea.’ Proposal No. 17 sounds: ‘The Government is asked to refrain from introducing petroleum-free zones in the northern regions’.» Proposal No. 18 sounds: ‘The Government asks the Government to set up an energy and petroleum research fund of 10 billion. krona, where the yield is used for technological research to improve the degree of extraction, the economy and the safety of the continental shelf, as well as other relevant energy research projects.’;» Proposal No. 19 reads: ‘The Government asks the Government to ensure that the review of the Overall Plan reduces the concession treatment time for large and small hydroelectric power plants.’ Proposal No. 20 sounds: ‘The Government asks the Government to submit proposals for technology neutral support schemes for increased hydropower generation’. Proposal No. 21 sounds: ‘The decision asks the Government to reconsider previously rejected hydroelectric power deployments and to promote its own case to the Stortinget.’ Proposal No. 22 sounds: ‘The Government asks the Government to ensure that gas power plants in Norway are subject to the same environmental conditions as others in the EEA territory.’ Proposal No. 23 sounds: ‘The Government asks the Government to draw up new financial support legislation based on equal criteria for voluntary environmental protection organisations and to promote this as a matter of its own before considering next year’s budget.’ Proposal No. 24 sounds: ‘The Government asks the Government to ensure that environmental protection organisations that actively encourage or deliberately violate the law in order to demonstrate against legal decisions lose all financial State aid.’ Proposal No. 25 sounds: ‘The Government asks the Government to work in international forums to establish its own International Environmental Special Court under the auspices of the International Court of Justice in The Hague.’ Proposal No. 26 sounds: ‘The Government is asked to promote the necessary measures to reduce conflicts in the establishment of national parks, protection areas and the like.’ Proposal No. 27 sounds: ‘The decision asks the Government to stop the launch of new protection processes and to carry out an impact assessment of the protection implemented.’ Proposal No. 28 sounds: ‘The Government asks the Government to promote a review of the objectives and use of the adopted and planned protection of Svalbard in order to secure the future of business.’ Proposal No. 29 sounds: ‘The Government asks the Government to bring forward a case with a view to increasing the rate of replacement of the Norwegian car park.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e1923	Proposals Nos. 12–14, from the Socialist Left Party and the Centre Party, is addressed to voting. Proposal No. 12 sounds: "The extension projects on the Norwegian continental shelf The Grand Council agrees that the King may authorise projects on the Norwegian continental shelf in 2004 under the following conditions:1. The project must not have any principal or social aspects of importance.2. Upper limit of total investments per year project represents 5 billion. kroner.3. Each project must demonstrate acceptable socio-economic viability and be reasonably robust against changes in oil and natural gas price developments.4. There must be ad hoc cover for investments under cap. 2440 Direct economic involvement of the State in the petroleum industry.» Proposal No. 13 sounds: ‘The decision asks the Government to carry out an independent analysis of the capital needs of ENOVA in the context of the evaluation of ENOVA, to give the trigger effect so far, and to assess the setting of more ambitious national targets for the conversion of the energy market in Norway until 2010.’» Proposal No. 14 sounds: ‘The Government is asking the Government to launch a pledged pilot project for the replacement of old polluting wood stoves, if necessary. come back with concrete proposals in the revised budget for 2004.»
ParlaMint-NO_2003-12-08-2.ana.ud1416e1961	Proposal No. 11, from the Progress Party and the Socialist Left Party, is addressed to voting. The proposal reads as follows: ‘The Government asks the Government every two years to draw up its own monitoring report on the ‘Energy State of the Kingdom’.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e1976	Proposals Nos. 9 and 10, from the Party of Advancement, the Socialist Left Party and the Central Party, are taken up for voting. Proposal No. 9 sounds: ‘The Government asks the Government to make proposals during 2004 for a significant business fund for Saudi and Odda to compensate for the disadvantages suffered.’ Proposal No. 10 sounds: ‘The Government is asked to carry out an evaluation of the organisation and functioning of the SNO. It is notified back to Stortinget since the budget proposal for the autumn 2004.’;»
ParlaMint-NO_2003-12-08-2.ana.ud1416e1998	Proposal No. 8, from the Workers' Party and the Socialist Left Party, to voting. The proposal reads as follows: ‘The Government asks the Government to return to Stortinget in an appropriate way with a plan to strengthen the rights of all persons through the acquisition and organisation of several areas of particular national, regional or local value, and to contribute to the protection and protection of important open-air areas in and around cities and agglomerations.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e2013	Proposals Nos. 5-7, from the Workers' Party and the Advance Party, is addressed to voting. Proposal No. 5 sounds: ‘The Government is asked to take the initiative of the Energy Authority of the Nordic countries working together on actions to ensure the Nordic energy balance and ensure the better functioning of the power market.’ Proposal No. 6 sounds: ‘The Government asks the Government to ensure that Statenet as a transmission system operator has the means to enable them to secure the power supply during critical periods.’ Proposal No. 7 sounds: ‘The Government asks the Government to signal long-term and predictability of the tax exemption for recovered energy in order to trigger investment in this area.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e2040	Proposals Nos. 3 and 4, from the Workers' Party, the Socialist Left Party and the Centre Party, are taken up for voting. Proposal No. 3 sounds: ‘The Government asks the Government to promote its own case on the design of the new electricity tax model in business as soon as possible and by 1 April 2004 at the latest.’ Proposal No. 4 sounds: ‘The Government is asking for an assessment of the possibility of using CO2 from separation from gas treatment plants and gas power generation in the context of the oil and gas notification for spring 2004 as pressure support for increased extraction rates from the North Sea oil and gas fields.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e2062	Proposal No. 2, from the Workers' Party, the Advance Party and the Centre Party, to voting. The proposal reads as follows: ‘The Government asks the Government to simplify the concession rules for the construction of small, mini and micro power plants.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e2078	We shall then vote on the motion for a resolution.
ParlaMint-NO_2003-12-08-2.ana.ud1416e3297	The President shall draw attention to a correction to the proposal for a decision, as set out by the Chairman of the Committee. It's about cap. 1800. Here, the appropriate amount under item 1 Operating expenditure shall be 106 339 000, while the correct amount under item 72 Investment Fund for climate action in the Baltic Sea region shall be 410000. The Progress Party, the Socialist Left Party and the Center Party have announced that they want to vote against the vote.
ParlaMint-NO_2003-12-08-2.ana.ud1416e4967	Here again, the Socialist Left Party, the Progressive Party and the Centre have announced that they want to vote against the vote.
ParlaMint-NO_2003-12-08-2.ana.ud1416e5900	Three proposals have been put forward during the debate. It's proposal No 1, by Ingvild Vaggen Malvik on behalf of the Socialist Left Party and the Central Party, proposal No. 2 by Mr Voksdal, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 3, from Ingvild Vaggen Malvik on behalf of the Socialist Left Party Proposal No. 3, from the Socialist Left Party, taken up to voting. The proposal reads as follows: ‘The government asks the Government to set a low upper limit for the fixed link in the electricity grid to stimulate power saving and improve social distribution.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e5927	It is then put to the vote on proposal No. 2nd from the Progress Party. The proposal reads as follows: ‘The Government is asking for a review of the NVE’s regulatory framework with regard to the approval of the annual income frameworks of the network companies, in order to improve the accuracy of the cost-effectiveness and to impose stricter cost-control and efficiency requirements. The review shall be carried out by 1 April 2004 at the latest.»
ParlaMint-NO_2003-12-08-2.ana.ud1416e5944	It is then put to the vote on proposal No. 1, from the Socialist Left Party and the Center Party. The proposal reads as follows: ‘The Government is asking the Government to consider introducing a template for determining the fixed link in the network line related to the actual power demand of the individual subscriber.’
ParlaMint-NO_2003-12-08-2.ana.ud1416e6014	There is no record.
