ParlaMint-NO_2003-03-26.ana.ud1942e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e430	I would like to thank the Prime Minister for the initiative he is taking to get such a review, and in this context I would also like to remind you that when these food make-up directives went through the Storting, an agreement was reached between the Consumer Council and each of the major chains in the food industry to try to keep both nitrite, nitrate and azo dyes out of the Norwegian food market. If that agreement has been successful, it would be easy to go back to the old Norwegian legislation, which provides consumers with a higher level of protection than has been stated in the legislation since the directives were implemented in Norway. Will the Prime Minister in that context also go through it, and as soon as possible ensure that Norwegian consumers receive the same level of protection as Danish consumers now have against these substances, which can be carcinogenic?
ParlaMint-NO_2003-03-26.ana.ud1942e435	Let me start by saying, which may also be a little interesting in this context, that since the judgment of the Court of Justice of the European Union is the starting point for this debate, Norway actually supported Denmark's case before the European Court of Justice. So we've expressed through it a positive interest in the same intentions that Denmark here has. It is clear that if our study of this matter and the judgment now provide the basis for going further, the way of attacking it as the representative Heidi Sørensen now mentioned will be of the things we can assess. We have had the same intention as Denmark, we have supported their case before the European Court of Justice. We originally asked for derogations for these directives. We didn't get that. That is why they had to be implemented. But now that it's dropped an interesting verdict, we'll study if it gives us a basis for resuming it.
ParlaMint-NO_2003-03-26.ana.ud1942e442	Øystein Hedstrom – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e445	The Food Mining Directive was supported by the Labour Party, the Right Party and the Advance Party here in Stortinget, and it was under the express condition that some means of control were to be put in place to ensure that this would not have adverse health impacts and effects on the population. It is gratifying to record that Denmark has now been implemented. And as I interpret the comments the Prime Minister has made, you will follow up on this further. And if the final conclusion is that there can be direct parallels between the conditions in Denmark and Norway, will he and the Government insist that we get exactly the same rules for this and then set limits on the content of nitrite and nitrate in food products, also imported into Norway, despite the fact that the importers today say they will stick to the old legislation?
ParlaMint-NO_2003-03-26.ana.ud1942e452	I also see the contributions of the representative Hedstrøm as a support for us to study whether there are clear parallels between the situation in Denmark following the judgment of the Court of Justice of the European Union and the situation in Norway. Norway asked in 1998 to continue its national legislation in this area when EU legislation allowed the addition of nitrates and nitrite higher than was permitted at the time in Norway. The Commission rejected this. I understood that the Progress Party in itself had no desire to change the legislation, but because this was an EU directive that we did not get a derogation from, the Progress Party went in to implement it in Norwegian legislation. If this judgment now establishes a new case law in this area, I understand that there will be broad agreement that we should follow up and take the consequences.
ParlaMint-NO_2003-03-26.ana.ud1942e459	Morten Lund, last follow-up question.
ParlaMint-NO_2003-03-26.ana.ud1942e462	I can confirm that the Central Party and the Christian People's Party were in charge of this matter, which was dealt with before Christmas in 2000. It was an urgent procedure, but we then got the professional objections, and they were the same as the Danes have. We used the Danish arguments, but the majority in Stortinget did not want us to run this case. Now the Danes have run it for us, and it has been confirmed that environmental and health concerns can sometimes be so strong that they can be used to reserve themselves against EU directives. And that was part of the basis, I assume, because the Christian People's Party in its time agreed to the EEA agreement: some directives we can reserve against. I think it must be particularly important in this context that the Christian People's Party in government is now active. And it sounds like there's more than the central part of the opposition on the Stortinget that wants the government to be active in this. I think there's reason to mark this as a victory for what the Christian People's Party and the Center Party stood for in 2000.
ParlaMint-NO_2003-03-26.ana.ud1942e469	Now, of course, I stand here primarily as a spokesman for the entire government, as Prime Minister. But since Morten Lund mentioned the Christian People's Party in particular, and I did it myself in a previous answer: it is true that our party in connection with our accession to the EEA Agreement, underlined that Norway has an independent right to assess directives. If they are considered to have serious consequences for our country, we must be willing to oppose them. For its part, the Christian People's Party has done so in opposition to the Food Mining Directive, which we are now discussing. But we have also shown that we can do it in position, for the Christian People's Party and the Left's representatives in government, including the Prime Minister, took this one in the government's treatment of the patent directive, which, in our opinion, may have adverse consequences. Now I think everyone in the Government will be interested in studying the judgment of the European Court of Justice on the Food Mining Directive and to be able to follow it up.
ParlaMint-NO_2003-03-26.ana.ud1942e478	Let's go to the next main question.
ParlaMint-NO_2003-03-26.ana.ud1942e481	I would like to ask a question to the Minister for Social Affairs. The Minister of Social Affairs has a great deal of faith in the outsourcing of care for the elderly. More and more reports of negative experiences in tendering for older people are now coming from abroad. Majoring candidate Ingjerd Schou wrote a reading in 2001 where she presented the municipality of Farum in Denmark as a brilliant example of how a municipality should be organised. Now the municipality of Farum is under the administration of the Danish government. The rapporteur, who is also hailed in the newspaper post, has been removed from his post and is under police investigation. Does the Minister for Social Affairs think that there is still reason to take inspiration from the municipality of Farum?
ParlaMint-NO_2003-03-26.ana.ud1942e494	What I believe at least is that the government puts quality in the care of the elderly on the agenda, and that competition is an instrument for focusing on the quality of care for the elderly. We have received very good quality in the care of the elderly, but it is very close enough. We've built out for 30 billion dollars. We've got new nursing homes and homes. The guarantee of exclusive space will also be present when we complete the construction in 2005 and the joiners go home. What I and the Government have been concerned about is to notify the Storting that we will now have attention to the content of the care for the elderly, and in particular that it is not just a matter of getting a hospitalization, but that you should actually also know what is contained. I understand the representative so that dedicating to Farum is stupid, especially now, when the matter is under investigation. There has also been no judgment in the matter. But my experience is – despite everything around Farum – that competition is not an end in itself, but an instrument for focusing on what the content of care for the elderly is actually supposed to be. The aim is to increase quality and improve resource use. Research abroad, and so far also experience at home, shows that perhaps the most important thing about outsourcing is the process – regardless of who gets the offer to run, whether it's public, whether it's private, or whether it's non-profit institutions. So we are forced to define the needs of the users, the content of the services, and the scope of the services. At the same time, municipalities are given the opportunity to communicate what they can expect from the service they actually receive.
ParlaMint-NO_2003-03-26.ana.ud1942e508	I thank you for your answer. I have read it as a big-time candidate, Ingerd Schou, wrote in the Upper Smaalen Tuesday, May 29, 2001. It's a tribute, from a to a, to the municipality of Farum. She quotes the rapporteur with patos. He says, ‘The only thing that cannot be privatised is the royal house, the Folketing, the government and the courts.’ Otherwise everything is brilliant in Farum. Here you're really going to get your inspiration. So it turns out in retrospect that everything goes wrong in Farum. The entire municipality is now under the administration of the Danish government. But you're not going to learn anything from that. There is nothing Social Minister Injerd Schou will learn from what has happened in Farum. You have to forget Farum as an example, find new examples and move on. For it is to be privatised, it is to be put out of competition. Is this not irresponsible as an experiment with Norwegian elderly people in the care of the elderly?
ParlaMint-NO_2003-03-26.ana.ud1942e528	I am a little surprised that the representative Bjarne Håkon Hanssen mentions it as an experiment to be concerned with quality in the care of the elderly. A lot of things have gone wrong in the Farum municipality. I do not know the content of the claim in relation to legal proceedings etc. The point is that we can learn from many municipalities that have just looked at the content of care for the elderly and how quality should be. It is more irresponsible not to focus on the content of care for the elderly. So it will no longer be possible in 2003 just to get a hospitalized place when you are not told what the actual content of care for the elderly is. Competition is produced by the representative, as I see it, as a goal. I'm concerned about it as an instrument. It is the seventh and final content of the service to be received by the individual, which is important. In addition, it is also important to say that older people are everywhere, not just in homes.
ParlaMint-NO_2003-03-26.ana.ud1942e535	There will be follow-up questions – Karin Andersen.
ParlaMint-NO_2003-03-26.ana.ud1942e538	Then I will challenge the Council of State to start talking about the quality, which she is concerned about. How will the Council of State define quality? I expect the Council of State to talk about organisation – and that is what SV agrees with. But it's also about having enough people, i.e. someone who can help you when you're about to die, eat, get up -- all the important things -- or comfort you when you're scared. So this is about having enough money to hire enough people. Governments have previously used the municipality of Farum as an example, which has proved to be very bad. Now you're using another example, the municipality of Nakka, which is also going to be very good. The special thing about the municipality of Nakka is – if you look at the price they put on those who need the least care and care – that if you had used that price in Norwegian municipalities, you would have gone far beyond what is the average price in Norway. So these were the ones that were going to cost at least. Does the Council agree that there is a link between the quality we get, what it costs, and the number of people there to care for?
ParlaMint-NO_2003-03-26.ana.ud1942e548	The representative, Karin Andersen, addresses many issues. I want to answer the very last one first. There is no need to drive expensive and bad. The Elder Plan has provided 12,000 more annual work to the care sector. The government has also been clear in relation to the local economy, without us taking the budgetary procedure here. There's more to the municipalities. With regard to the representative's challenge of what quality means, I would say that means, among other things. personnel. That's why the government has invested 110 million. kr for recruitment measures. We have proposed 44 million. kr just for the qualification of unskilled and immigrants. We're continuing to recruit from the interior. But it's about a lot more, it's about leadership. That is why we also have a project together with the Local Governments' Central Association, where 6 000 managers in the care sector get a decentralised school offer. In addition, it is not least about funding and the law in the care of the elderly. This is presented to Stortinget in the quality notification for the first half of 2003.
ParlaMint-NO_2003-03-26.ana.ud1942e557	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e560	The fight against competitive outsourcing and alternative forms of operation and the way in which it is argued is reasonably evident in this case here. History, including in Norway, has shown that in the case of public supply, they have been in part very poor and very poor. I just want to refer to yesterday's lookup in the VG about Alta municipality, where a night nurse is alone with responsibility for four hospitals and over 300 patients. In this context, it is quite clear that we need to think anew in the care of the elderly. We need more actors now, precisely because the quality of elderly care needs to improve. If the individual is to have a good enough offer, we need more players. In this respect, I would like to ask the Minister for Social Affairs whether she will review what has happened in Alta with regard to the staff that is there, and also whether she will ensure that there will be a further outsourcing of competition, precisely in view of the fact that patients will receive the best possible offer.
ParlaMint-NO_2003-03-26.ana.ud1942e567	There were two questions. First to Alta municipality: I have been in contact with Alta municipality. I have also been in contact with the supervisory authorities in Finnmark. Alta Municipality has – subject to my right memory – five hospitals. At night, there are three help nurses. There's one nurse in the back. The municipality manns up when there are special needs of patients and the medical officer can be used. The special situation mentioned in the VG, I'm not going into any more detail. There is no supervisory complaint in relation to the operation of the care of elderly people in the municipality of Alta. In fact, I assume that the municipality cleans up itself. When it comes to outsourcing, I want to say that I think it is important that we look at different operating modes. I see outsourcing as an instrument, just to get what I call an order competence. In fact, there I think Norwegian municipalities need more competence. We will also discuss it in the big news of quality in care for the elderly, not only in relation to private care for the elderly, but also in relation to all that is public.
ParlaMint-NO_2003-03-26.ana.ud1942e576	Reidar Sandal – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e579	The Minister for Social Affairs has expressed several concerns about the postponement of older people’s care. The last time she did it was a few minutes ago. Governments have often placed responsibility for the problems in the care of the elderly on their spokesmen and advisers in our municipalities. The actual situation is that very many municipalities have too little money. As a result, older people get too poor care. My question to the Council of State Schou will therefore be: does the Minister of Social Affairs Uroar believe that our municipalities have such poor financial conditions that it affects the quality and extent of the supply of older people?
ParlaMint-NO_2003-03-26.ana.ud1942e586	What concerns me is that there are still too many individual cases and that there are supervisory reports that show that we in Norway do not have enough provision in the care of the elderly. It creates uncertainty for those to receive the service, but it also creates uncertainty for those to whom it belongs. I have said in a previous post that it is important to have a good municipal economy, which can give priority to care for the elderly. But it is also a priority. And the experience I have so far is that where rapporteurs and advisers are involved in defining the quality of care for the elderly, there are actually even more opportunities to do so. There is so far no basis for saying that the richest municipalities have the best provision of care for the elderly. It's actually about a process, about a prioritisation, about organisation and management, but of course also about staffing. But the contents of that crew are also important.
ParlaMint-NO_2003-03-26.ana.ud1942e594	Ola D. Lukewarm – for follow-up questions.
ParlaMint-NO_2003-03-26.ana.ud1942e597	The Council of State referred to all the positive developments, including: for the construction of nursing homes and nursing homes. I think that's reason to remind you that last year at these times we needed 9,400 housing units. The government’s response to that need was that it should be built 2,000. The majority of the population added something, so that now it is built 5,000 housing units with state support. But we in the Center Party thought that all of these 9,400 housing units should be built, so that the capacity was at least somewhat safer. So this is the question of quality and qualification requirements. In a matter that is now in Stortinget, the Government is in favour of a derogation from professional requirements when recruiting staff in the municipalities. This is very worrying. If this requirement is waived vis-à-vis municipalities, there is at least no possibility of making such a claim against private operators in respect of care services. Is this consistent with strengthening the quality and qualification requirements of the service? Does the Council of State consider that private enterprises based on making money in the care sector are able to operate better than public activities, without harming residents and caregivers?
ParlaMint-NO_2003-03-26.ana.ud1942e608	There is nothing in the supervisory reports that suggests that private provision is lower than that of the public in the health sector. I hope I am not going to understand the representative Joy to that it is the Stortingen who is going to set the qualification requirements in relation to who it is that will provide the services in the care of the elderly. I assume that the municipalities are actually able to do the task of defining what skills you need, because it also needs to be based on the need for care for the elderly. And there are, as we know, older people – despite the fact that some people want to have manning standards – just as different as the rest of us.
ParlaMint-NO_2003-03-26.ana.ud1942e613	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_2003-03-26.ana.ud1942e618	There will be a few changes in the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 9, from the representative Steinar Bastesen to the Minister for Oil and Energy, will be answered by the Minister for Food and Trade, who will direct him. Question 18, from the representative of Øyvind Korsberg to the Minister for the Environment, is postponed until the next Question Time when the Council of State has left.
ParlaMint-NO_2003-03-26.ana.ud1942e633	I would like to ask the Minister for Agriculture the following questions: ‘In very many municipalities, such as: Åsnes in Hedmark, there are many old forested and seater arches that when they were built had an important function in the day's operation. Today these do not have this function, but to use them for other activities/recreational purposes, such as: tourism, or being disbursed from the main property, is very difficult. Does the Council see that another use of these would benefit the districts in a very positive way, and would he be involved in such a change?’
ParlaMint-NO_2003-03-26.ana.ud1942e642	With the developments we see in traditional agriculture and forestry, it is natural to consider an increased bet on the opportunities of the out-field. In order to achieve the highest possible area yield and a satisfactory development in many communities, it is important to look at the entire resource base of a property in the context. I would like to make it possible for the activity and employment of Norwegian out-of-country industries to be increased by allowing people with a sense of initiative and good ideas to take advantage of their creativity and new ways. Furthermore, I would like to work towards a liberal and flexible regulatory framework that is suitable for the emergence of capable people who will develop different types of offers that today's consumers demand. In the future, I will work to create a broader policy platform for the exploitation of land and other additional industries in agriculture, including agriculture. to avoid that well-meaning actions from one team are not suffocated by regulations from other teams. This will also apply specifically to this matter, the possibility of exploiting existing building stock in connection with farm use for commercial purposes. This will be a cost-effective and environmentally friendly way of developing the necessary overnight offers for the sale of off-road products, such as: hunting and fishing, while ensuring that the building stock is maintained and maintained. For other experiences, there may also be a need for modest outland settlements. In principle, resources such as this should lie with the agricultural property and be included as part of the total nutritional basis thereon. In this context, there should be specific reasons for disfellowshipping such resources. However, this needs to be considered in a concrete way, and there may also be medium-term solutions to allow for long-term leases. I believe that the main challenge to better facilitate the outreach industries is to coordinate the law that regulates resource management and development in the outreach. In particular, the Law on Planning and Buildings needs to be adapted to new needs and provide better levers for those who want to invest in a continuing livelihood in Building Norway after a sharp decline in income from both traditional agriculture and traditional forestry. There needs to be a greater acceptance that some out-land settlements are the necessary means of operating in modern agriculture. The Plan Act is now known for its revision. In this process, the Ministry of Agriculture will pay particular attention to these issues.
ParlaMint-NO_2003-03-26.ana.ud1942e653	I thank the Council of State for an exciting and positive response. I'm only going to make an additional comment, because I think this was very good. As the Council of State says, in the time of old-fashioned forestry and farming, it was often in the forest from – let's say – two to four weeks, and then there was a need for forestry. The infrastructure was completely different, and they used horses instead of machines. Then there was a real need for this. But time has gone by, evolution has happened, so that now there is a completely different need for forestry than it was then. So the need has been greatly reduced. As I said, I'm very pleased with the answer from the Council of State, and I'm excited to look forward to the development that's going to take place here.
ParlaMint-NO_2003-03-26.ana.ud1942e662	The President will assume that the Council of State is also satisfied with the answer.
ParlaMint-NO_2003-03-26.ana.ud1942e665	I can confirm that it was also meant to be an exciting and positive response, and is in this way satisfied with this dialogue.
ParlaMint-NO_2003-03-26.ana.ud1942e673	I have the following questions for the Minister of Health: «According to Evening Post 18 March d.o.b. are cut in the number of posts of the Institute for Public Health in the process of weakening the preparedness for infection in the country. At the same time, the new fatal respiratory disease SARS is now reported. Can the Council of States confirm that we still have a good and satisfactory preparedness for infection protection in the country?’
ParlaMint-NO_2003-03-26.ana.ud1942e682	The protection of infectious diseases is based on the principle of responsibility in the Health Protection Act. The person responsible for a service under normal conditions is also responsible for preparedness and emergency planning. In the evening post of 18 March 2003, it was announced that a cut in the number of posts at the Public Health Institute is in the process of weakening the preparedness for infection in the country. This isn't right. The budget cuts in the Institute for Public Health will primarily hit the lowest priority tasks in each unit. The Foundation will redispatch its resources so that the main functions will have sufficient staff at all times. I have received a clear confirmation from the Institute for Public Health that the Institute is able to deploy the resources needed to meet the SARS emergency response, and I can confirm that we still have a good and satisfactory infection preparedness. Infectious preparedness is good in Norway because, among other things: has a network of competent infectious and health care professionals in each municipality and cooperating municipal food surveillance network of hospitals with qualified doctors and other personnel network of the medical microbiological department well informed, healthy and well-vaccinated population National Advisory Committee on Pandemic Influenza, led by the National Social and Health Directorate with a good monitoring system, good competence and good contacts at national and international level; Infectious preparedness has been strengthened in recent years. The vulnerability selection, the anthrax in the United States, and the Dent-o-Sept case have led to a greater commitment to infectious disease protection. I would like to mention in particular that a field epidemiological group is established at the Institute for Public Health and that the Institute has invested in new advanced laboratory equipment to detect relevant infectious agents more quickly. In addition, the Swedish Institute for Public Health has strengthened cooperation with the WHO, the EU and neighbouring regions of Russia.
ParlaMint-NO_2003-03-26.ana.ud1942e712	I thank the Council of State for the answer, which confirms that we still have a good and satisfactory preparedness for infection protection in the country, also in relation to the epidemic of SARS. This has also been confirmed by the Public Health Institute in meeting with the Social Committee. Although the epidemic SARS does not require treatment in specially built isolates, I would like to ask the Minister of Health about the general situation of special isolate in Norwegian hospitals. Do we have a sufficient number? And do we have specialty isolates at all public hospitals with medical wards?
ParlaMint-NO_2003-03-26.ana.ud1942e719	It is a well-known case that the situation with regard to isolate capacity in Norwegian hospitals is worse than we would like. It has been pointed out, among other things. by the Health Authority. In relation to this challenge, I have focused on this in relation to hospital investment in general and hospital development in particular, so that we can gradually get a better capacity for isolates than we have today.
ParlaMint-NO_2003-03-26.ana.ud1942e726	I thank the Health Minister again for the answer, and I note that our hospitals have too little capacity in the case of specialist isolates. That was something I knew, but I wanted it confirmed. It's very important that we get this in place as soon as possible. I don't have any additional questions.
ParlaMint-NO_2003-03-26.ana.ud1942e733	The Council of State does not have any additional response.
ParlaMint-NO_2003-03-26.ana.ud1942e741	I will ask the following questions to the Minister for Development: ‘Agriculture in developing countries is important in order to provide citizens with wealth growth and secure access to food and to reduce solitude. So now we have less than 1 pst. development aid was useful in stimulating agricultural development. The Council of State will contribute to the achievement of the target of up to 15 pst. by the assistance is directed towards developing countries’ agriculture?’
ParlaMint-NO_2003-03-26.ana.ud1942e750	Agriculture is a key instrument for achieving the UN’s first Millennium Goal: halving the proportion of extremely poor and starving by 2015. Increased spending on agricultural development in developing countries means increasing the emphasis on food security and a way out of poverty. For poor people in rural areas, agriculture means both food and income opportunities. However, this field has been too low a priority to date. However, it is not correct that only 1 pst. assistance has gone to agricultural development and food security. The importance of increased investment in this field is the background for me to set up an external advisory group last year to come up with proposals on how to strengthen agricultural development through development cooperation. The committee has now presented its report. The proposals involve much more than increased use of money, but one of the proposals is to introduce a target of 15 pst. of Norwegian aid to agricultural development. A consultation of the Advisory Group's report has just been carried out. Consultation has included private organisations in the fields of development, environment and agriculture, as well as ministries and NORAD. I have not yet seen all the hearing opinions and have therefore not taken a decision on the details of the report. However, I have already concluded on this direction. We need to be clearer about promoting agricultural development in our aid planning and in our dialogue with developing countries, and we need to increase efforts. How much and with what concrete means will I come back to once the hearing opinions have been reviewed, and we have dealt with the matter. At the Johannesburg Summit, the Prime Minister announced an increase in aid efforts in the so-called WEHAB areas, water, energy, health, agriculture and biodiversity, of which Norway handles health separately. It was added up to 375 million. kr for the next three years. An increase in agricultural consumption will also have to be seen in such a context. In the budget proposal for next year, the Storting will be briefed on how the Government will follow up the report of the Advisory Group on Aid and Agriculture.
ParlaMint-NO_2003-03-26.ana.ud1942e765	I thank you for a positive response, which I interpret as a clear support for the objective of this internal selection to focus more on getting a higher support rate when it comes to the development of agriculture. It is well known that health, education and competences and other important areas have been highly focused on Norwegian development aid. But I also feel that one should give priority to such basic needs as food in order to reduce so much and not least poverty, as the WHO has an offensive objective of halving on a world-wide basis over the next ten to twelve years. I feel that one hits it very well by streamlining and enabling developing countries to produce more of this food and energy itself. Then it's likely to reach the population that needs it.
ParlaMint-NO_2003-03-26.ana.ud1942e772	It is absolutely right that our starting point is to get a stronger bet, as the sample also recommends, but we will then come back to how much, and whether we want a percentage goal and to this extent. As far as the significance of this is concerned, there is absolutely no doubt. Unfortunately, the whole field of agricultural and food security has been neglected in recent years, both by national authorities in developing countries and by international development actors. It's unfortunate. We need to get analytical capacity to respond to that. In any case, we ask ourselves whether such factors have been involved in the famine we have seen in southern Africa and in the Horn of Africa, and whether there are also structural reasons for the lack of agricultural intervention. We will also, together with international actors, test and analyse this. At least there is no doubt that we on the Norwegian side have a clear intention.
ParlaMint-NO_2003-03-26.ana.ud1942e779	I thank you again for your answer. In this second article, I would like to ask for more specific objectives in this initiative. Is it the instrument that can be as effective as possible that will be analysed? Is there advisory, research, research, loan arrangements, mechanisation and use of retired resource personnel, e.g. in Norway, which can help with professional advice that can be of great benefit, will it be analysed? There are a lot of tools that can be available in a relatively decisive way. Norway as an agricultural country has marked itself by being in the first place on a world-wide basis in many of these areas, and I believe that both capacity and quality are present. Will the Council of State think in these paths?
ParlaMint-NO_2003-03-26.ana.ud1942e786	I have reviewed the selection setting, and it basically includes almost all the tools that the representative Gedrem has in mind. It concerns both specific agricultural-related measures in the field of guidance and economic, financial, e.g.: loan arrangements and credit arrangements. It also applies to enhanced capacity and competence in the Norwegian system, i.e. personnel, in order to manage this. But it is also a matter that the representative mentioned, which is not being discussed, and that is mechanization. You're not interested in that part of the mechanism. I think we have some bad experiences with that in some countries in the past. The non-mentioned representative, who is very central to the selection process, is to ensure better markets locally, regionally, nationally and internationally for agricultural products. This is strongly linked to agricultural production and growth potential. You put a lot of emphasis on that, so you're going to get a whole angle of incidence, and you're going to look at all of these tools.
ParlaMint-NO_2003-03-26.ana.ud1942e796	I would like to ask the following questions to the Minister for Development: «In the ordinary Question Time of the Storting 19 March at the latest. the Minister for Foreign Affairs acknowledged that in WTO service negotiations Norway has requested South Africa and seven other developing countries to open their education sector to foreign companies. The South African Minister for Education has reacted strongly to the Norwegian requirement. How does this request correspond to the Minister for Development's opinion in regular Question Time on 5 March. that ‘Norway has generally not imposed normal negotiating requirements on developing countries’?’
ParlaMint-NO_2003-03-26.ana.ud1942e805	In the Foreign Minister's reply in the ordinary Question Time of Storting on 19 March. on questions from the representative, Bjørlo Lysbakken, it appeared that, in all requests to developing countries, Norway refers to the objectives of the GATS negotiations in the mandate of the WTO Ministerial Conference in Doha and the provisions of the Service Agreement on how to safeguard the interests of developing countries. It is shown, among others: to Article IV of the GATS, which states that ‘the increasing participation of developing countries in world trade should be facilitated, inter alia. by strengthening the capacity of their domestic service sector and its efficiency and competitiveness’;» This is an integral part of Norway’s requests to developing countries, which therefore contains an important element of cooperation. So we're using a different approach to developing countries than to developed countries. This was also the reason for my answer in the Questionnaire on 5 March. In addition, in the bilateral meetings with South Africa, where the requests were discussed, we have invited South Africa to dialogue and cooperation. In retrospect, we have recorded that the South African Minister of Education has issued a critical opinion on the inclusion of the education sector in the GATS negotiations. As the Minister for Foreign Affairs said in the ordinary Question Time of 19 March, if South Africa in the negotiations indicates that they do not want to include higher education – and it is only higher education that we are talking about here in the negotiations – Norway will not pursue this further. I would also like to stress again what I said in the Questionnaire on 5 March, namely that it is entirely up to the developing countries themselves whether they will accept commitments in the service negotiations or not.
ParlaMint-NO_2003-03-26.ana.ud1942e821	I thank you for your answer. It is unfortunately difficult to say anything other than that at least for me it was possible to understand the Council of State differently three weeks ago than what I am doing now based on what was said today. I find it regrettable that the Government has resorted to a practice that makes it impossible for the opposition on the Storting to have verified the breaches of information we get from the Government, and that we should rely on getting this information, as in this case, through the political debate in other countries. I would like to ask the Minister for Development whether it is such that the request that has therefore been submitted to South Africa, which has been confirmed by the Norwegian Government team, is not to be understood as an ordinary negotiating requirement.
ParlaMint-NO_2003-03-26.ana.ud1942e830	As I said in my reply just now, there are two important issues relating to South Africa and the request to developing countries. The first is the reference to Article IV of the GATS, which deals in particular with the participation of developing countries, and where reference is made to strengthening capacity in their own service sector. The second is about the bilateral meetings we have had with developing countries and with South Africa on how this request is to be understood. These two conditions mean that, in our context, we have taken a different approach to developing countries than to industrialised countries. I also said that, and that was also the reason for my answer in the Questionnaire on March 5.
ParlaMint-NO_2003-03-26.ana.ud1942e835	I thank you again for the answer. It is possible that I am thin, but I still have some problems understanding the difference in the normal negotiating requirements that are imposed on some countries, and negotiating requirements that are not quite as normal, that are imposed on countries like South Africa. Norway is one of four countries that have asked for unrestricted access to the education sector in South Africa. Some other requirements promoted by Norway have become known through leaks to the press, for example: Norway wishes to liberalise the telecommunications sector in Bangladesh and the oil sector in Angola. If I understand the Minister for Development correctly, one must assume that what has driven Norway to do so is not, for example. Telenor is heavy inside Bangladesh and Statoil in Angola, but there are reasons for development. Is there also a need for development and Norway's unselfish desire to help South Africa behind the proposal to open up the education sector in that free trade country?
ParlaMint-NO_2003-03-26.ana.ud1942e844	I propose that the representative, Bjørlo Lysbakken, address the Minister for Foreign Affairs, who is constitutionally responsible for the questions relating to other aspects of the service negotiations. Just the developmental part of the question I will answer. It is not a question of full opening of the education sector. These are higher education and are not requirements for privatisation in relation to the public sector. This is not about the Norwegian public sector. I have underlined this to the representative Bjørlo Lysbakken before. I'm not going to use unparliamentary expressions, but it's tempting to talk about drowsiness, since the representative himself referred to this. So we've highlighted this earlier. Of course, in this context, when we invite to cooperation, as we do with reference to Article IV of the GATS Agreement and what we have done in bilateral meetings, we will try to make a positive contribution to the development of the education sector in South Africa. That is what is intended and the background to the Norwegian position. But, as I said, this is once again all the way up to South Africa. If they don't want such cooperation, it's up to them. Then, of course, we'll have to take the consequences of that.
ParlaMint-NO_2003-03-26.ana.ud1942e857	I will ask the Minister for Oil and Energy the following questions: ‘In the Mongstad plant, there are many works from, among others: Poland as Statoil is responsible for the development. It was stated in the NRK that they did not know what salaries they subcontracted to their employees, nor did they have the right to see them. These practices are reminiscent of the social dumping of foreign workers. Will the Council of State take initiatives towards Statoil in order to achieve openness in working conditions?’
ParlaMint-NO_2003-03-26.ana.ud1942e866	As far as I have gained experience, the question from the representative Frøiland is based on the Statoil project for the construction of a petrol desulphurisation plant in Mongstad. About half of this work is done by Norwegian workers, while about half of it is done by Norwegian workers. 7 pst. out of the scope of work is outsourced to workers outside the EEA territory, more specifically a group of Polish workers from a subsidiary of a Norwegian supplier. In order to absorb labour outside the EEA territory, workers under the Foreign Affairs Act must have a work permit in Norway. In the Foreign Affairs Act, it is a prerequisite for the approval of such a work permit that the terms and conditions of the employees shall not: ‘are worse than under the applicable collective agreement, regulation or otherwise normal to the place and profession concerned’. Statoil states that in its contractual terms and conditions they have accepted these claims and that the company has received written confirmation from Main Contractor Aker Kværner that these matters have been continued in concluded agreements with its subcontractors. I have also been informed that the contract format and the use of fixed prices and unit prices for the works performed normally restrict the parties’ access to pay information for the workers concerned. In the light of the attention given to this matter, Aker Kværner, as the main contractor, has obtained further documentation from the company in question, which is a subcontractor. According to Statoil, this information confirms that the salary level is set on the basis of current collective bargaining agreements, and this should be documented at the hourly wage level of the relevant employee groups. Based on this evidence, Statoil shows that, as far as they can see, no evidence has been found to support the claim of social dumping. Statoil further points out that it is an express requirement of the company to comply with the applicable provisions in all its activities and that the same requirement also applies in relation to its subcontractors. I have received signals that, as a result of the attention given to this specific case, Statoil now assesses measures that can better ensure the company's right to supervision and verification, among other things. the pay terms and conditions in relation to future contracts.
ParlaMint-NO_2003-03-26.ana.ud1942e882	I thank you for the answer, which I think is positive. It was a startling feature, I would say, on the Dagsrevy, where employees would not or could not – I don't know – say what they had in pay, because they felt that there would be a representative here if they said something. The Council of State here refers to the Foreign Affairs Act, and that is the problem, that it is not a management board that controls the compliance of UDI with its decisions and regulations. That's the problem. Nor do Norwegian trustees who are normally in good contact with them come into a position when it comes to foreign labour, because in the large projects they are also foreign employers, and they do not have Norwegian trustees. It is clear that it is difficult to see, and therefore it is absolutely necessary that Statoil, who is the main supplier, knows what they are paying.
