ParlaMint-NO_2003-04-08-lower.ana.ud760e31	The representative, Øystein Hedstrom, will make a private bill.
ParlaMint-NO_2003-04-08-lower.ana.ud760e580	All workers with the exception of waiters currently have a legal right to smoke-free work. The big dilemma of the smokers is that their choice, their ‘freedom’ to smoke, limits the same right of non-smokers to their own choice. As fully as it must be a human right to smoke, it must be a human right to avoid being exposed to tobacco smoke from others. I am very concerned that the Progress Party chooses to listen to the National Association of Technical Entrepreneurs, which consists of members living by producing and installing ventilation systems, rather than listening to professionals and countless research reports, both domestic and foreign, which show that smoke destroys people's health and kills people, despite ventilation facilities. Estimates from Ireland and England show that every five pub and nightclub workers will die of heart attack as a result of passive smoking. At the same time, they are particularly exposed to cancer of the cervix, breast cancer, lung cancer and cancer of the urinary bladder. Annually, between 300 and 500 people die from passive smoking in Norway. The figure is higher than the annual number of fatalities in road accidents. Smoke-free serving sites are important for improving the working environment. A U.S. study shows that the health of food service professionals was significantly improved already four weeks after the introduction of smoking bans at catering sites in California. In today’s Norway, 120,000 asthmatics and about 300,000 with lung diseases, COLS, major problems going out to restaurants and smoking sites. Smoke-free serving sites will improve the availability of large sections of the Norwegian population. It's in to go to the cafe. Maybe we should take a little walk? Party smoking in cafes and restaurants today recruits many new smokers. The ban on outdoor smoking will contribute to the reduction of party-related smoking among young people, including long-term smoking. Since 1989, the number of people dying of COLS has increased by 59 pst. The increase among women is on severe 89 pst. Calculations show that these patients have more than 50 pst. more hospitalisation than the rest of the population. In addition, they have more than twice as many sick days. The government and the majority indicate that they take public pleasure seriously. Tobacco’s adverse health effects are so well documented that health authorities would have failed greatly if they had not addressed the problems. Similar bans have been implemented in several states in the United States, Canada and Australia. In the European context, Norway is a leading country in the protection against tobacco damage. We're gonna be proud of that. If we look at Sweden, they have formulated a similar objective. We welcome the Swedes after.
ParlaMint-NO_2003-04-08-lower.ana.ud760e597	I'm glad that John I. Alvheim himself said that he questioned honest political motives, because that's what he did in his speech when he said that the government had fundamentalist motives behind his proposal. He himself stressed that passive smoking is dangerous. Then it is to me a great paradox that the Party of Advances, which calls itself a Party of Freedom, in the same way as the Right, is unable to see that the concept of freedom has a limit, that is, where freedom goes beyond others, or affects the freedom of others. It should have been such an obvious child lesson from the Youth Course of the Advance Party that it should have been on its back. When one then is surprised that the Right emphasizes the perfectly obvious fact, I would say that it is more surprising that one here occupies this particular feature alone in the Odelsting, without being able to make any better argument than actually producing the political motives of others. So to this so-called paradox that the employees of this industry have smoking rooms, and that the guests are not allowed to have it. I myself have been employed in that industry. I have to say that the big paradox is that in my job today I have the opportunity to choose not to expose myself to passive smoking. Of course, I can go into the smoking room next to the cooking restaurant and expose myself to passive smoking, but I can choose not to. The big paradox is that the Progress Party believes it is absolutely right that my former colleagues should not have that choice. It might say something about the view of employees in this industry – which I do not think is worth it.
ParlaMint-NO_2003-04-08-lower.ana.ud760e604	It was a funny ending from the representative, Höie. The representative Höie doesn't take into account is that the smoking room that he referred to, where he can go in and get a smoke, is said to have to be banned, because it's part of the restaurant. This problem includes, inter alia: Hoie claims, that the smoking room has to be removed according to the law that's here, because it's part of a serving room. The employees actually have to go through it when they're going to clean up. In fact, it has to be said to be forbidden under the new law. It's going to be interesting to see if the Storting will now impose rules other than that on others. The reason I took the floor was that Knut Storberget's representative asked me a few questions. What we're responding to is the possibility of imposing periodic penalty payments. Firstly, we believe that according to today's legislation we have the opportunities to do so. You can report restaurants that break the prohibition contained in the law, and in this way use the services that have the possibility to do so. to make a fine. What the proposition adds up to is, for example, that the Social and Health Directorate is given the opportunity to impose periodic penalty payments, even if there is also an opportunity to appeal the decision to the Market Council. The part that we've reacted to is the principle of this. We believe that we already have sufficient legislation on the follow-up to the smoking ban. When the police, as stated in the proposition, have not followed up these matters in a good enough way, I think the department can actually give its instructions to the police as to whether they should follow up the individual criminal cases, if you think this is as big a problem as it seems to the representative of Storberget. As far as the Minister of Social Affairs is concerned, she was able to say that the Advance Party is trying to imagine to the Norwegian people that smoking is healthy. No, if you've been involved, and if you've been involved in the debate, you know we're not. I have actually stopped smoking because I know it is harmful, and that is also why I want as much as possible to stop smoking and to start smoking as little as possible. But for those who are signed, there is also a bit of freedom for the individual in principle – at least as long as we can have ventilation systems and devices that make the indoor air of such a nature that it is not the adverse effects that it is claimed to be. Then I think I've caught up with the questions that were asked. In conclusion, yes, I hope the representative of Bjarne Håkon Hanssen is right that restaurants and bars will not go bankrupt as a result of the law. Unfortunately, I fear the opposite and also refer to information from Australia, among other things. a number of bingo halls were closed or went bankrupt as a result of a ban on smoking. But I hope the representative of Bjarne Håkon Hanssen gets right – unfortunately something just history will show. With regard to the fact that the Youth Course of the Advance Party should have been held, whether it be by smoking, it is interesting that the Young Right does not actually support the law.
ParlaMint-NO_2003-04-08-lower.ana.ud760e621	The representative Alvheim is questioning my motives when I say that the consideration of the employees is a very important argument for this proposal. I'll take note of that. But I have actually sat face to face with representatives from the Association of Hotel and Restaurant Workers, and they have asked me the following question: Do you have a single good argument that our profession should not be entitled to a smoke-free working environment, which all other professional groups have, when our profession is actually one of the highest incidences of cancer? I have found no such argument, and I have not heard any such argument in this debate. That is the basis for me today to comply with a health and safety requirement from the trade union movement, with the LO and the Hotel and Restaurant workers' association at the head. They say this is the most important improvement in the working environment they've ever had. Then the Progress Party talks about the freedom of the individual. And there are important liberal ideas that I think are very many in this room share. But the liberal ideas also have a very important value: the limit of freedom. Passive smoking and the fight against passive smoking are about freedom – yes, as long as you do not harm others. This is about restricting freedom, because it does damage to others. So the representative Alvheim says it's dangerous to live. But we're talking here about a legal product, which, if used properly over a long enough period of time, will kill half of its consumers. Tobacco is without comparison the individual product that is most dangerous to health, and if we had previously known about the adverse effects of using tobacco, it would probably never have been legalized. It's the only product you get sick and die of if you use it as prescribed. I do not believe that we can seriously compare the health damage caused by tobacco smoke with, for example. traffic pollution. Comparative measurements of the total air content of particles have shown that the particle content of a restaurant environment is about 11 times higher than that of a heavily trafficked street. This is about taking the consequences of knowledge about health consequences. There's hardly any area where we know so much about the consequences, and where we can do something that has so much significant effect with so far simple handles. Then I think it's a health policy duty to act, and I'm very grateful that such a large majority in the United Kingdom ends up with this important and historic resolution.
ParlaMint-NO_2003-04-08-lower.ana.ud760e634	Drawing motives in doubt: Yes, I do, in fact, with full consideration, and I mean to have good reason to do so. I said in my speech that the freedom of the individual goes so far as to avoid harming other people. And we sincerely believe that technical solutions can be found to the problem we are discussing here. Then I would like to challenge the Minister of Health on something that the representative Bastesen brought up. This concerns our home care staff, who must also have a smoke-free environment according to this case. Should it be possible for help workers in the home and home care services to refuse to provide services to patients around the homes who smoke? Is that gonna be a consequence? I would like a clear and unambiguous answer to that question.
ParlaMint-NO_2003-04-08-lower.ana.ud760e641	Harald T. Nesvik has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2003-04-08-lower.ana.ud760e644	I just forgot to say in my post that we will support the proposal of the Central Party, which is being evaluated after three years.
ParlaMint-NO_2003-04-08-lower.ana.ud760e649	The representative Alvheim makes a point that the Progress Party is actually committed to limiting the freedom not to harm others. That's a starting point I share. But then I can't stick with him when he points out in the next round that this is going to happen using different technical solutions. For 15 years we have had a tobacco-injury law prohibiting smoking in public places. The progress party fought against it with beaks and claws and used the characteristics I have previously referred to. Now that's the law they're fighting for. Over the 15 years, we have lived with the exception of restaurants and patios. We have lived with intermediate solutions on the division of premises into smoke-free zones and smoking zones, and we have lived with ventilation as a solution, and with ventilation requirements in recent years. The point is, we've learned that it doesn't work. So the alternative of the Advance Party has been tried, and the majority rejects it. So the question of smoking in private homes. Both the representative Bastesen and the representative Alvheim made a mistake here by suggesting that the smoking law applies in private homes. It does not apply in private homes. There is nothing in the decision that Odelstinget is going to take today that influences the legal situation in relation to workers working in the care service. On the other hand, the Working Environment Act applies to those who are the same as to everyone else. In this context, it is clear that for workers who fall ill with smoke, employers should provide facilities to avoid, as far as possible, working in smoke-filled working environments. In my opinion, it is a general consideration in relation to the sick and nursing old that they receive the treatment, the help and care they require. There is an obligation for the municipality to facilitate. I believe that it must be possible to find practical solutions in order to comply with the employment environment law for employees, but also to ensure the overall consideration that they need the help they need.
ParlaMint-NO_2003-04-08-lower.ana.ud760e661	Several have not asked for the floor on case No. 1st@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2003-04-08-lower.ana.ud760e669	The odelsting should then go to voting.
ParlaMint-NO_2003-04-08-lower.ana.ud760e676	In the course of the debate, five proposals have been put forward. It's proposal No 1, by Olav Gunnar Ballo on behalf of the Socialist Left Party and the Central Party proposals No. 2-4, by Harald T. Nesvik on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 5, from Ola D. Incense on behalf of the Centre Party Proposal No. 5, from the Center Party, it's like: ‘The Grand Duchy asks the Government that Law No. 9 March 1973 No. 14 on protection against tobacco damage and in particular Section 6 of the Act will be evaluated no later than three years after the amendments to Section 6 enter into force.» [[Tobacco Damage Act]] This proposal will be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_2003-04-08-lower.ana.ud760e743	There is an aberrant proposal, No. 2nd from the Progress Party. The proposal reads as follows: ‘In Act No. 2 June 1989 No. 27 on the marketing of alcoholic beverages, etc. Paragraphs 1 to 7a shall be replaced by the following:
ParlaMint-NO_2003-04-08-lower.ana.ud760e816	The Socialist Left Party and the Center Party have announced their opposition.
ParlaMint-NO_2003-04-08-lower.ana.ud760e870	There is an aberrant proposal, No. 1, from the Socialist Left Party and the Center Party. The proposal reads as follows: ‘In Act No. 2 June 1989 No. 27 on the marketing of alcoholic beverages, etc. The following shall be amended as follows:Section 4-1, second paragraph, shall be replaced by the following:Only alcoholic beverages supplied by a person who has a manufacturing, wholesale or sales authorisation, unless it is possible to make his own made drink based on § 4-2, third paragraph.§ 4-2, new third paragraph, shall be replaced by:The authorization may be extended to the manufacture of beer and wine which have not been fortified with alcohol, for the purpose of making a donation in his own establishment. The provisions of Chapters 1 and 4 of the Law shall apply as far as they apply.’
ParlaMint-NO_2003-04-08-lower.ana.ud760e917	There is an aberrant proposal, No. 1, from the Socialist Left Party and the Center Party. The proposal reads as follows: ‘Sections 4 to 5 new second sentence shall be replaced by the following:
ParlaMint-NO_2003-04-08-lower.ana.ud760e998	The party of progress has announced their opposition.
ParlaMint-NO_2003-04-08-lower.ana.ud760e1010	We've come to II. The President will first vote on proposal No. 3, from the Progress Party. The proposal reads as follows: «Ot.prp. No 23 not accepted.’ [[2002-2003]]
ParlaMint-NO_2003-04-08-lower.ana.ud760e1027	I voted incorrectly, I should have voted in favour of the proposal.
ParlaMint-NO_2003-04-08-lower.ana.ud760e1034	The proposals of the Progress Party are therefore 62 to 13 votes not accepted.
ParlaMint-NO_2003-04-08-lower.ana.ud760e1077	There is an alternative, subsidiary proposal, No. 4th from the Progress Party. The proposal reads as follows: «In Law No. 9 March 1973 No. 14 on protection against tobacco damage, the second paragraph of Section 6 is replaced by the following:If, within an area, there are several premises having the same purpose, smoking may be permitted for up to half of these. Smoke-free rooms must not be less or less standard-compliant than premises where smoking is permitted. Smoking may not be allowed in serving places. This does not apply to separate smoking rooms for employees or guests. Where food and/or drink are served, and where the conditions allow for on-site digestion are used, the place shall mean the place where the food and/or drink is served.’»
ParlaMint-NO_2003-04-08-lower.ana.ud760e1132	The party of progress has announced their opposition.
ParlaMint-NO_2003-04-08-lower.ana.ud760e1159	It is voted over the title of the law and the law as a whole. The President has understood that the Progress Party wants to vote against.
ParlaMint-NO_2003-04-08-lower.ana.ud760e1173	The Law Decision will be sent to the Lamentation.
