ParlaMint-NO_2003-01-28.ana.ud921e37	President-in-Office Jørgen Kosmo, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-01-28.ana.ud921e421	Now we in this country get over 2 billion dollars a year in tolls, which finance partly road projects, partly collective projects, various measures for soft road users, etc. It's not just the Labour Party's claim that the 150 million this year and the 100 million last year that the Progress Party got more into it, do not solve a tenth of what they're going to solve with tolls. The second is that it has not been given that the projects we are dealing with here, after a local treatment, would be among the priorities. So the fussing of the Progress Party to get rid of the bombs, that's to exaggerate an alternative that can't in any way seem to be able to get multiples in this house. You will be amazed to see when this goes through today, whether or not the Progress Party will go to the option of stopping the project, as neither will the Progress Party get multiples for it. They try to get a possible twist all the time, but they don't get multiples for anything. So it doesn't help the people in Tønsberg that the Progress Party makes a suggestion here in the hall and is downgraded. It's not going to be real, it's going to be symbol. We haven't seen an absolute thank-you, we've been evaluating it all along. But we actually think that when people locally address their own problems and come up with a way to finance projects that they think they can live with – and they have had a proper political treatment locally – it's quite natural that we support this plurality. And we have certainly not seen any roof. So when it's about public speaking, we have choices in this country. The most important thing is that the information, which parts of mine, comes up with choices. We can't have popularism as an additional democracy in all possible cases.
ParlaMint-NO_2003-01-28.ana.ud921e432	The fact that the Workers' Party and SV consider this matter differently is not surprising. On the other hand, it is part of the position that I perceive as more surprising and more disappointing, which I would like to be allowed to ask about, and which I hope I can get a positive clarification on. The road to be built falls under the somewhat unfortunate exception of the new Law on Planning and Building, which allows it to be exempted from impact assessment. It is such that the trasé choice of this ring road determines whether it will conflict with a wetland area protected by the International Ramsar Convention, which can be compared to the UNESCO World Heritage List. Similarly, the Ramsar list contains the main wetlands and habitats for birds in the world. We asked the Council of State a question and got a good and wise answer, where the Council of State stressed that further plan work had to look for solutions that would leave the wetlands around Tønsberg untouched. It is therefore disappointing to me in this context that the Workers' Party could not agree with SV to take that responsibility. There may be a lot of people who think it sounds a little bit small, but it's not. It's about how we manage our international environmental responsibility. Environmental damage is not adopted in a ‘big sludge’. Biodiversity is bit by bit. This is a decision that can take a little bit of biodiversity in the Tønsberg area. I hope that the Workers' Party will be involved in guiding this way so that it is not affected.
ParlaMint-NO_2003-01-28.ana.ud921e441	Now all the authorities involved have said that it is not necessary to re-examine the ring road, even after the new legislation, because he has so far been distributed enough on all the bows and edges. We are content with the work that we have done, and it is good that the order for it to be built is laid to rest. I have great respect for SV and not least for Sørensen's environmental exposure. We in the Working Party are also concerned with the environment, but we are happy to follow the rules and restrictions that are adopted and will not extend them. I think in many ways that SV asks for this option, we should stretch them, that one has to go a little beyond the limits. The Labour Party is satisfied with the Council's response. It is still confident that the assessment of this Ramsar area will be part of the distribution programme established by the county as a responsible authority after the draft has been submitted to the Ministry of the Environment. We think they have good competence, and that this is done in a sufficiently good way. But there's a lot of things, and we've had several of them to deal with here in the hall, that's what the representative Sørensen also thinks, with boundary surfaces to that type of area. And then we'll separate enough layers, because we think it's good enough if we stay within the bounds, while SV will go a little bit further. So I must unfortunately disappoint the representative. We cannot go beyond what we have done in the setting.
ParlaMint-NO_2003-01-28.ana.ud921e454	Several have not asked for the word for a line.
ParlaMint-NO_2003-01-28.ana.ud921e457	Right-wing supports the Government's proposals regarding the Tønsberg package. The Tønsberg package is a cooperation project between the municipalities of Tønsberg, Nøtterøy and Tjøme. The project includes new main roads, measures for public transport, pedestrian and cycle routes and environmental and safety measures. The Tønsberg package is divided into two phases. In the first phase, new Rv 311 Ringweg east-west Kjelle–Kilen, walking and cycling route Rv 308 Kjøpmannskjær–The end of the world and immediate action to improve the accessibility of the Central Hospital in Westfold. Other projects and actions shall be clarified through an impact assessment at the end of 2004. This will form the basis for the priority to be given to phase 2 and which the Storting will receive. The Tønsberg package has a cost framework of $2.6 billion in 2002. The Vestfold County Municipality and the three municipalities concerned have joined this scheme. The Tønsberg area has major traffic problems. In the area it lives approx. 40000 people, and the trade area of Tønsberg accounts for approx. Eighty thousand people. It is therefore important for us to improve the accessibility and ensure that more of the traffic goes beyond the centre. I would also like to point to Kanalbrua, with an annual traffic of 40 000 cars. This exceeds the capacity of the bridge and the neighbouring road network. While improving the development of the road network, it will also be important to improve collective action. We expect that there will be increased priority in phase 2. The State contribution to Phase 2 of the Tønsberg package must be assessed on the basis of the framework and Vestfold priorities for the roll-out of the national transport plan.
ParlaMint-NO_2003-01-28.ana.ud921e484	It's going to be line change.
ParlaMint-NO_2003-01-28.ana.ud921e487	On 22 January the Committee received letters from the Council of State stating: «In line with St.melding's leadership. No 26 Better public transport will contribute to the financing of the transport system in urban areas, depending on a greater commitment by local authorities to prioritisation of public transport, and will use instruments to mitigate the need for car use and increase the promotion of public transport. [[2001-2002]] This will also be taken into account in relation to Tønsberg.’» I believe that this is wisely written. I also believe that it must be quite obvious to everyone in Tønsberg why the state share of this project is so low, when you see how low public transport is prioritised in phase 1. I would like to ask the Right if they do not agree with me that this is very wise policy towards a city area. And if the Right agrees with me that the Council of State is acting wisely towards Tønsberg, why can't the Right itself be able to write similar things in the committee?
ParlaMint-NO_2003-01-28.ana.ud921e499	We support what the Council of State has come up with. Collective traffic is important for the Right as well. What is important to us in relation to this package is that we have a comprehensive solution, that traffic conditions must first be put in place. What we also point to in our committee's comments is that in phase 2, priority should be given to public transport. It's now to be verified, and then we'll see what the municipalities come up with. Right doesn't want to go into detail to the degrees that maybe SV does in relation to this package, because we know that the local involvement is the largest. The State contributes 5 pst. We think it is important for local authorities to assess their needs and priorities. That's why we support the package as it is now, and then we'll see when phase 2 comes. We have given a signal that priority should be given to collective solutions.
ParlaMint-NO_2003-01-28.ana.ud921e508	Several have not asked for the word for a line.
ParlaMint-NO_2003-01-28.ana.ud921e511	In the national transport plan, transport rates already amount to DKK 1.2 billion in losses. In addition, we had the promises in the Sem statement that would provide a lift in the field of transportation. It's also gone. Based on these small appropriations in recent years, I understand why the other parties want to set up bombs everywhere in Norway. Road investment is too small and road capital is reduced annually in the world's richest country. Then today's authorities steal to one of the world's oldest tricks, that's to tax the passersby even more. At all times, road traffic has had to pay either to highwaymen, cities or states. Today, Norway must be the most keen in this area ever in history. In total, with taxes, revenues and VAT on car charges, we are now up to over 40 billion kroner – a total of 20 Tønsberg packages per. years. The Tønsberg package will not receive many smears of these funds; they will remain in the treasury. Instead, it is once again the roadfarers who have to bleed and pay almost the whole package. The traffic situation in the Tønsberg area is characterised by many decades of government emergency. Traffic volumes have increased year after year, without the necessary extension measures being taken on the road network. This has led to an ever worse situation with regard to road safety, the environment, the transport economy and accessibility. Already in 1962, the Road Directorate submitted plans for a four-field road from Nøtterøy through Tønsberg up to the E18. This should be built by 1980, said the Road Directorate at the time – that's forty years ago. The Progress Party aligns itself with the Ministry’s priorities and will therefore be involved in the development of the main road system in the Tønsberg region, as proposed by the Ministry. However, the Progress Party proposes that national road development should be financed in the usual way by budgetary appropriations, without tolls. And then finally, I want to make our proposal, which is included in the setting on page 4.
ParlaMint-NO_2003-01-28.ana.ud921e526	The representative has addressed the proposal to which he referred. It's going to be line change.
ParlaMint-NO_2003-01-28.ana.ud921e531	Only since we started 1 October in the fall, we have been dealing with the Ryfylkepaket, the Bergenprogramm, the Svinesund connection and now the Tønsbergpaket. There are quite a number of billions to go, among other things. to the road. If the Labour Party did not give a number to the Government for this, it would therefore be voted against these projects – but there would not have been a multiple for more money! So in many ways, I feel that the Progress Party can flag because the Labour Party takes responsibility and takes care that there is more money to go, which local authorities support, in part, to come up with extraordinary ways. It would be fair to ask the representative from the Progress Party what the Progress Party would have done if the Labour Party voted against and the result was not a bomb, no more money. So now we have an election campaign leading us, and then it's interesting to ask the representative from the Progress Party about what I took up in a reply: will the Progress Party go in to stop this project? Should they stop demanding the money, should they stop expanding, should nothing happen? What kind of help is it to the people of Tønsberg? If the Progress Party has plans to take it up as well, as they have done with other projects, it would be very good for people in the area to know it now before the election, that the Progress Party should actually just sit and see that it gets worse and worse to live in Tønsberg, stay in Tønsberg and drive in Tønsberg.
ParlaMint-NO_2003-01-28.ana.ud921e538	The Labour Party takes responsibility – that’s like what we usually hear. But who really takes responsibility? Yes, it is the Progress Party. We have clearly said, why should we place so much money in foreign funds and shares? So far, we have lost over DKK 100 billion. What could we not have done in terms of infrastructure here in Norway? We could even have built railways, airports, roads – wherever possible – if we just used the fraction of what we put into shares in foreign companies. This is what the Progress Party has done in its national transport plan. That's where we've put money. We've specified the path for the path, where we're going to put the money, and where we're going to take it from. We've said we're going to take something from the foreign budget, and we're going to increase where we take it domestically. So we've taken responsibility, and we've pointed out where we're going to expand. Right now, we're saying no to a bomb. We think that's right, because when we take 40 billion kroner every year from the taxpayers and the drivers, I honestly think they're going to have a little bit more left than they get today. We haven't said that $40 billion should go back to the road sector, we haven't, but a few billion more could use this country. Then the Workers' Party is concerned that we will stop this project. Not at all! We have put the money into the national transport plan. We also put it into our budget every year. So we have the money – or rather, the whole country, Norway, probably has the money. It's just the will of the other political parties to carry out the expansion that we need.
ParlaMint-NO_2003-01-28.ana.ud921e545	There is one thing I wonder a little about when I read the comments of the Advance Party in the setting, and when I now hear the post of the representative Thore A. Nistad. Is it just cliché-like rhetoric, or is there a lack of local knowledge that makes the Progress Party write and say that the traffic situation in the Tønsberg area is marked by the absence of many decades from state authorities? It's pretty far from the whole truth in Tønsberg. There are, however, several shelf metres of plans for the construction and construction of roads in the Tønsberg district. But a lot of the problem has been that you have never been able to agree locally on what to build and where to build, and also who would pay the plant. For almost 40 years, we've been discussing it. But no new road system has been built. It was also easy to agree on who should pay the fee. But to take responsibility for deciding what and where to build was not able to do so before the autumn of 2000. The matter was speeded up. And today the matter is being dealt with in Stortinget. My question to the Progress Party is: When we ignore the disagreement on how this is to be financed, I want to know whether the Progress Party is now fully behind the plans for a new main road system in the Tønsberg area, as the Transport Committee is now in favour, and as a political majority of the local authorities in Tønsberg, Nøtterøy, Tjøme and the County Council in Vestfold have done. That's what the Progress Party writes in the configuration. I want to know if the Progress Party really believes this, or whether we will still hear another story locally.
ParlaMint-NO_2003-01-28.ana.ud921e552	Of course, the Progress Party will expand. We've been saying that every year. Then I just want to repeat something I said – which the representative obviously did not hear, or perhaps would not hear – in my post. I said that already in 1962 – 1962! – provided the Road Directorate with plans for the four-field road from Nøtterøy through Tønsberg and up to E18. This should be built by 1980, said the Road Directorate at the time – and that was 40 years ago! So you could have come a long way in Tønsberg already if you had done something out of the plans that the Road Directorate had, but probably stranded it on the politicians of the day, who either wouldn't grant the money, or who put chains in the wheels for those who had planned it.
ParlaMint-NO_2003-01-28.ana.ud921e557	I am pleased that the Progress Party together with SV will be involved in rejecting the Tønsberg package, because I believe it is an old-fashioned road project that it is not right that we should go in and finance. I record that I often agree with the Progress Party in transport matters. We have rejected up to several road projects together. But when I was going to make a small count, I found out that the Progress Party has voted against more road projects than SV has done in this period. Today you will vote against the Tønsberg package, you have voted against the Bergen programme – we actually voted in favour of that. You voted against the Ryfylke package. Pinadø – I voted for it too, me. Then you voted against E6 in Eastfold and E39 Øysand-Thamshamn. The last one I also voted for, given. You have voted against more roads than we have had the stomach to do here in Stortinget. I have to say, I think it's a bit tense of the Progress Party, whose rhetoric is going to be the very most paved party in this country, to make itself so totally dependent on the Workers' Party. You know they're responsible, they don't fail, right? They're in favour, they're in favour. You have depended on the Workers' Party today to get built roads in Tønsberg, you depended on the Workers' Party to get built road in Bergen, in Ryfylke, E6 in Østfold, etc. But for me, it's nice that someone wants to join in and say no. I'm not particularly happy with all these bombs, me either, and I'm not happy in all the ways. But that we're going to end up and vote so much together, must be a paradox for the Progress Party. For me, the result is desired, but the Progress Party must achieve exactly the opposite of what they want.
ParlaMint-NO_2003-01-28.ana.ud921e567	The President considers that the statement should be addressed to the President and not be a dialogue between the representatives.
ParlaMint-NO_2003-01-28.ana.ud921e570	I never stop wondering about SV. Either they can't read or they can't hear. Well, they want to interpret it their way. We would never reject the Tønsberg package! We've never rejected the Ryfylke package. We've never rejected a single road package, we. We have proposed – and voted in favour – all the road packages that have been presented here, plus many, many more. That's the way we're going to finance this, which is the difference. I am fully aware that SV understands this, but they would rather say something else. They're just going to say that, I think the voters are able to see through what SV says, anyway. So it's the way of financing that's the difference. There's nothing SV wants. They don't want a way at all, so where people are going to drive to get there is a mystery to me. But it's got to be SV's problem. We have said quite clearly – in the national transport plan, in our budgets, in all the contributions we have here, and in all our proposals – that we will finance it through the state budget, because we have enough money. That's what's the difference between us and SV. We are fully in favour of the Tønsberg package – 100 pst. But it has to be paid from here.
ParlaMint-NO_2003-01-28.ana.ud921e581	The cord shift is over.
ParlaMint-NO_2003-01-28.ana.ud921e584	I got a little bored, I, when I got the Tønsberg package, because I think we've seen a development towards more exciting projects, not least from the big cities, from places that at least will be among the big cities – and I understand that Tønsberg will. The Tønsberg package is an old-fashioned road package. You build a road – and then you think about spending a little collectively in the future. Before Christmas we had a more exciting problem. Then we'll deal with the Bergen program. There were problems and many dilemmas there too, but what the politicians did locally in Bergen – and I think it stands for all the world’s respect – was to crush some goals for what one would achieve with the Bergen programme. Point 1 would dampen traffic growth. Furthermore, urban development would provide less transport needs. A greater proportion of traffic growth was to be shifted to public transport, the environmental impact of traffic was to be reduced, the centre was to be protected from increased traffic growth, a coherent walking and cycling network was to be established – and fewer road accidents would occur. All of these were goals that showed that they were thinking about a whole society, that they were thinking about more things than just building a project that was important, and that they were thinking the collective share as an important part of the total. In the Tønsberg package, no such objectives have been set. That's why it's old-fashioned. It is an old-fashioned way of thinking, which does not solve the challenges facing Tønsberg – and many other cities. It illustrates the situation quite well that only 100 million. kr of a total framework of SEK 2.6 billion will go to public transport measures. The main measure of the Tønsberg package is the construction of a ring road around the centre of Tønsberg, between Kile and Kjelle. This will be a temporary improvement in the conditions at the centre of Tønsberg, there shall be no protruding under the chair. But it doesn't meet the main challenges of the Tønsberg Center. 70 pst. the traffic in the area has its centre of gravity. Better road accessibility towards the centre means that the expected traffic growth, against which there is no measure in the Tønsberg package, will eat up this gain quite quickly – and then you are at the starting point. This illustrates the lack of a holistic approach that I believe we saw the germ – and the beginning of – in the Bergen programme, but that has not been followed up in the Tønsberg package. The ring road shall not be subject to impact assessment. I believe that this is an unwise decision. It ends up in the category of what I call a little unfortunate projects, which can go under an exception to the new Planning and Building Act because it was part of a municipal plan before the new Planning and Building Act was adopted. In this category, some projects have been ported, and this has often led to a high level of conflict. It is not true that this project has been investigated in the past, up and down, back and up – it has been within previous plans. To illustrate how little it is figured out: the choice of trasé is not finally understood. And when the trasé choice is not finally made, it is also difficult to say something about what the new planning and building law would take into account: consequences of interference with nature and the environment. It is therefore unfortunate that this should not be determined. The new loophole will then form the basis for the further impact assessment. A narrow path and a significant improvement in car performance is a very difficult one, which may decide which collective measures might come out as profitable in the new impact assessment. The fact that we do not include this loophole in the overall impact study makes it more difficult for us to see the overall, good transport solutions, as we tried to do in connection with the Bergen programme. Having said that, I would like to say that I am, after all, happy that the Council of State is in favour of such a small proportion of the funding of this old-fashioned road package for Tønsberg. 5 pst. I think it's a good thing to say about how you politically assess how good this really is. It's easy to make a comparison with the Bergen program here, which had over 40 pst. State share, but also a significantly higher collective share. I am pleased that the Council of State so clearly writes that in phase 2 it will be important to look at the priority of public transport. I am pleased that a very broad majority of the committee has also said so. A majority, from Right to Left, writes that ‘this majority therefore believes that collective action must be given increased priority in phase 2’. I'm glad you've at least done it. I am also pleased that the Council of State assumes that the wetlands around Tønsberg will not be destroyed by the trasé selection on the new ring road, which is not consistently determined. Although I would have liked it to have been included in a comprehensive impact assessment, it is certainly good that the Council of State puts this pressure on the process that is now going to take place locally. We have an important lead for the Ramsar areas, namely that they should have a border zone. It is clear from the Ministry of the Environment when they are set up that they should have it. There is no good solution either for the Ramsar areas or for others who are concerned with preserving the diversity of nature, that we should use the boundaries of the protection area itself as a limit to where we can pave the way. But I interpreted the council there that these are things she has insight into and is concerned about taking care of. We will reject the Tønsberg package as it is now available. This does not mean that we will reject any new measures on the road side. Tønsberg needs action. You have e.g. the need for a new channel crossing. But it's important that you think completely, and you haven't done that in connection with the Tønsberg package. Road construction, which generates new traffic, is being used without taking any measures to reduce traffic growth or increase collective proportions. Finally, I would like to say that Tønsberg has a past. Tønsberg was one of the environmental cities in what we called the TP10 program. Tønsberg was to become the bicycle town and profile itself like the bicycle town. It's not so bad to ride in Tønsberg, for those who have tried it. Tønsberg really had the opportunity, I just have to say, to become both a bicycle city, a collective city and an environmental city. I think it is a pity that Tønsberg scraped this away with this Tønsberg package and instead chose to become a car village. A greater commitment to public transport is the only thing that can bring lasting improvements to conditions in the Tønsberg centre. That is why, on behalf of SV, I would like to say that, at the vote today, we are going to vote against the proposal to approve the Tønsberg package.
ParlaMint-NO_2003-01-28.ana.ud921e616	It's going to be line change.
ParlaMint-NO_2003-01-28.ana.ud921e619	The representative Sørensen has spoken in several different lines earlier today about what she thinks has been wise opinions, and whether what she thinks has been paradoxical. I expect that the representative Sørensen has presented to us now is within the group of wise opinions. For my part, I have to say that the paradoxes were what I heard most about. Let me limit my paradoxes to some of what was said. Here SV moves into the principle thinking that ends with the Tønsberg package, as they imagine it as an offer to the population of these three municipalities primarily, will be an airlock, and that's a bad offer. It is also a paradox when the problems are as serious in the area as they are and which has led to the final responsibility of the political authorities after many years. It is also a paradox when SV rejects the Tønsberg package on a principle basis, with the consequence that collective action is absolutely nothing of it. One thing is to be dissatisfied with what exists, but what SV does with its proposal, is that there will be zero bets on public transport. It must be a paradox. It can't be anything special to ride around Tønsberg in the summer and tell us what you stand for to solve the problems. The last thing I have to say is, maybe it was humorous, but I think I heard that the representative Sørensen thinks that 5 pst. State contributions are too high for such a poor project. It was also a bit of a message to the population.
ParlaMint-NO_2003-01-28.ana.ud921e630	I have to be honest enough to admit that I am not always able to take Frönn's points immediately. To the end, I want to say that in terms of these 5 percent, SV has written in an annotation form, and I repeated that here, that we are satisfied with it, given that there are some things going to happen, that you put pressure on Tønsberg to get more public transport in the next phase. I think that's good. I do not think there are any more paradoxes between the Workers' Party and SV in this case than that we disagree with the assessment whether this is good or bad for Tønsberg. SV in Tønsberg believes this is bad for the Tønsberg area. The Workers' Party in Tønsberg believes that this is good for the Tønsberg area. I don't think the paradox is worse than that. We consider it differently and respect that the Workers' Party has a different attitude. We think this is an old-fashioned road package. It's completely missing. If it's that way to get 100 million. kr to public transport, I have to go in to grant NOK 2.5 billion to a road that will exacerbate the situation of public transport, I think the choice will be quite simple.
ParlaMint-NO_2003-01-28.ana.ud921e639	It is quite interesting to hear SV's type of history writing and SV's concern and analysis of traffic development in Tønsberg when the party's proposal for a solution is only even more plans, new postponements, narrower roads and more public transport. Locally it is called in Tønsberg that SV is really too bomb, but towards a new road. They say they want to use the tolls to subsidize the cyclists and buses and not build new roads. On the other hand, in the opinion of the Committee on Transport, SV writes in its comments that they do not ‘reject the need for action on the road’. ‘Tønsberg needs to get cars out of the centre, and there is a need for new channel crossing’, says SV. My questions will then be: How does SV think that you should lead the huge and growing heavy traffic that is currently going in the middle of the whole day, another way without building the bypass that is now proposed in the first part of the project? What's wrong with building a double-run tunnel when we know about what huge quantities of so-called dangerous goods must be transported today through popular city streets? It's just words when you, as SV is trying on here, just ask for another rematch for a rag that we've already discussed for more than 25 years, because you don't get as many bus files in the first stage of construction as SV could imagine. Isn't it time to start building the new road system that will give way to a much better collective offer, and not just keep talking about and just make new shelf meters with plans?
ParlaMint-NO_2003-01-28.ana.ud921e646	There has never been any doubt in my mind that the enthusiasm for building the road in the Right, not least in the Westfold Right, has been great. That being said, there are some of us who have a slightly wider commitment than just having to put the spade in the ground and get the built-up road now. There are some of us who think that we should see traffic in a slightly wider perspective, that we should include both urban planning and even thinking a little bit collectively, also how many bus files we are allowed to build. If it is that the representative thought there was a difference between what SV meant locally, and what SV meant centrally, I can rest assured that we are fully in line, locally and centrally, on this issue. We believe that we have been willing, and we have been brave locally in relation to this, because there has been no hurrah me hello, we are delighted to have the bombing at the centre of Tønsberg. But SV locally has been brave enough to say that we could have gone for a bombing if there was a larger collective share. So do we. But let me also say that there are needs on the road too. But when you come up with a plan where you can't see these things in context, it becomes a problem. I agree with the representative in relation to heavy transport. It's a problem with the Esso Slagentangen. We should have got a different solution than the one we have now. But the Tønsberg package is not a complete plan. It does not qualify for the bombardment it is set up for, nor does it provide long-term, good environmental solutions.
ParlaMint-NO_2003-01-28.ana.ud921e653	In any case, the timber mountain package is called a spice layer. Not least there are representatives in this room who called it a fissure layer. That's the kind of spice layer you can compare to if you agree to split at dinner, and you have to pay for everything yourself, except for the coffee, not a very good spice layer, but I think it's Tønsberg's people who are going to bucket here. There have been many debates in Tønsberg on the matter, and the only thing that has actually been agreed on is that the state's share should have been considerably higher. At least the community, both Tønsberg and the surrounding municipalities, has agreed on this. Here I see it as if SV central and SV locally are on a collision course. The question is then: Should we listen to Tønsberg SV about a wish for a higher share from the state, or should we listen to what SV says here today?
ParlaMint-NO_2003-01-28.ana.ud921e660	I fully share the representative's description of this split layer, but it is such that Tønsberg SV and SV at Stortinget are fully in line here. Tønsberg SV does not want high government shares for a project they are against! They didn't want this ring road. However, Tønsberg SV wants a larger state contribution to a Tønsberg package that looks different, where there has been a much larger investment in public transport. It is clear that Tønsberg SV wants it. I also wish we could get more money for public transport in Tønsberg. There might be someone in this room who doesn't want to, but I think most of us would have wanted us to have gotten to that. But what we've said is that it's good that the Council of State puts pressure on Tønsberg further, because I think it's important that Tønsberg's local politicians think through, that if they had come up with a greater collective share, they might have stood stronger and had better arguments when they fought for a greater state share. It is important to work further towards phase 2 that we think in those paths to get more government money for public transport in Tønsberg. I promise we will do that every day we have occasion to do it. They're going to do that in Tønsberg, and we're going to do that here in Stortinget.
ParlaMint-NO_2003-01-28.ana.ud921e666	So the chord change is over.
ParlaMint-NO_2003-01-28.ana.ud921e669	It is gratifying that today the Stortinge will adopt a plan for financing important and absolutely necessary projects and actions in the Tønsberg area, a long-term long-term solution. Although the committee is not unanimous, it is a large majority who have supported the Government and local government in Nøtterøy, Tjøme and Tønsberg as well as the Vestfold County Municipality, all of which have agreed to the toll financing of the Tønsberg package. I would like to begin by commending the local political authorities, who, by being willing to finance tolls, show that they are taking responsibility for solving the major traffic challenges that exist in this neighbourhood, after many years of investigation and expectation. There is no secret that the resistance to toll financing is high in the area. I am not surprised, therefore, that both the anti-bombing action committee and the Progress Party are very pleased about their positions. But what if the alternative is that the major traffic problems in the Tønsberg area remain unresolved for a long time to come? I think, after all, that the resistance to bombing means less to people than the desire for better traffic solutions. In my opinion, the Progress Party, which is a principal opponent of toll financing, throws its eyes on people by giving the impression that it is realistic to get to the Tønsberg package in the near future without the use of toll financing. For the Christian People's Party, it has been important to take account of the local decisions taken on the occasion of the case. We are aware that the municipalities and county council would have wanted a greater state share than 5 pst. We understand that. At the same time, however, we note that the local authorities have nevertheless sought the same conclusion that a majority in the Committee has agreed to. The Christian People's Party's aim is for more people to choose collective forms of transport. We are therefore pleased that a large majority of the Committee, with the exception of the Progress Party, believes that collective action must be given greater priority in phase 2 of the Tønsberg package. Good and well-functioning collective services can help to mitigate the expected growth of traffic and the challenges such growth will bring about in the coming period. Strengthening public transport is one of the main areas of activity of the Cooperative Government. I believe that the Socialist Left Party is bombing when they claim that the Tønsberg package does not address the main transport and environmental problems in the Tønsberg area. Public transport shall be provided and the majority of the Committee shall be involved in order to consider the possibility of establishing a parking facility on the outskirts of urban centres for further carriage by bus. The Committee also points out that the parking policy at the centre has to be assessed. This shows a willingness to bet on collective solutions in front of the car. At the same time, I would like to make a point when it is claimed that predictions for increased traffic growth are often swallowed raw, without reflecting on whether it is possible to put in place measures to slow down or stop traffic growth. There is, of course, a broad political consensus that car traffic needs to be reduced and that more people need to travel collectively. Then it is a little strange that the same politicians often argue as if a sharp increase in car use is inevitable. The car is still going to be an important means of transport, and we need to conduct a responsible policy that also takes the drivers seriously. The Christian People's Party has a vision that no one will be killed or seriously injured in traffic. This zero vision is an ambitious goal, but when we see what suffering traffic accidents create for those who are directly affected, and not least the relatives, it is necessary to set clear and high targets. The Christian People's Party will bet widely to achieve this goal. We want more controls and more police on the roads. We want measures that affect the attitudes and behaviour of road users, and we want to promote the use of the safest means of delivery. At the same time, physical measures such as improving road safety must be of high priority. The latter is an important reason why the Christian People’s Party welcomes the Tønsberg package. The Ministry of Transport writes in its proposal that expected traffic growth from a 10- to 15-year perspective would lead to an increase in accident risk in the absence of significant improvements in transport systems. These are the signals we have to take seriously. Perhaps the biggest challenge in transport policy is to ensure that people can move safely in traffic. Nor can we run from that responsibility in the Tønsberg area. I would like to congratulate the people of Tønsberg and Tjøme and Nøtterøy on the fact that the major traffic problems facing the area are now being addressed by a majority on the Stortinget. All road users, both soft and hard, will have much left for what is paid in tolls. Improving traffic management, improving road safety and improving the environment are some of the key features of the Tønsberg package. The municipalities of Tønsberg, Tjøme and Nøtterøy will now have a more comprehensive transport system, and transit traffic will be reduced in the Tønsberg centre and in other local centres. The action package will lift the entire Tønsberg area. It will be a better place to live and work and become more attractive as a business. I hope the toll won't ruin the joy of getting all this.
ParlaMint-NO_2003-01-28.ana.ud921e692	It's going to be line change.
ParlaMint-NO_2003-01-28.ana.ud921e695	I heard the representative Holten's satisfaction that local authorities wanted to finance tolls, and that the local authorities took the overall responsibility for the traffic management in Tønsberg. Does this mean that the Christian People’s Party believes that the State has been running away from its responsibility as a total levy of car-related taxes in the responsibility they should normally have had for road development? Does the Christian People's Party also believe that in the long run it is the local authorities that should guide road development in Norway?
ParlaMint-NO_2003-01-28.ana.ud921e702	I can quickly agree with the representative, Vidar Andersen, that it is the responsibility of the local authorities to develop a practical and good solution for their local environment, including in terms of road development. It must be clear that the Stortinget takes the kind of decisions that go on tolls and road development in the neighbourhoods, after close cooperation and in agreement with the decisions taken locally, as well as in this case. So there is a clear political majority in these three municipalities and in the county council on the basis that the majority now ceases to realize a desire to achieve a well-functioning practical solution for the Tønsberg area. In this way I understand that the representative also touched on the question of who is going to pay. So we've gone into the solution models that are available from local teams in this project, and we think that's the right way to work here in Stortinget.
ParlaMint-NO_2003-01-28.ana.ud921e711	Several have not asked for the word for a line.
