ParlaMint-NO_2003-05-14.ana.ud917e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2003-05-14.ana.ud917e541	As I said, we're not going to do anything about child welfare right now. Child protection is a universal system. It is a good system, and it is of great importance, not least to the poorest, those who need the most predictable income. There have also been discussions about this in the past, for example. in the Longva Committee. At that time it was also found that one did not want to propose this. I also know that it would be very difficult to choose, for example. to tax or to test the benefit of the child. It is nice that the representative is satisfied with the answer.
ParlaMint-NO_2003-05-14.ana.ud917e550	There will be follow-up questions – Ågot Valle.
ParlaMint-NO_2003-05-14.ana.ud917e553	The representative, Eirin Fallet, was concerned that changes to the rules on contributions have shown that very many people face major economic difficulties. I am very happy that the Workers' Party is also starting to see it later on. There are new tones from them, because this scheme we now have is based on the message from the labor party government. Among other things, a cost model was introduced as if children were an asset to be appreciated — and a very low price — among others. Because you're assuming the standard budget of SIFO. It turns out that this budget does not allow for leisure activities or books in secondary schools, etc., and does not take into account large variations in living standards, so that young people do not have the opportunity to participate in the standard of living of both parents. In addition, a conflict fee has been introduced. Does the Council see that these are elements of the basic rules on contributions that need to be changed?
ParlaMint-NO_2003-05-14.ana.ud917e562	I would first like to say that when the Stoltenberg government presented proposals for new rules on contributions in the Stortinget, this was adopted in Stortinget by a broad majority. What I now follow up as the State Council is completely identical to what the Stortinget decided. In fact, the legislation itself was presented to the Stortinget with different consequences. Of course, I can't stand here and say that I'm going to do about what the Storting has actually decided. Later today, however, we are going to have a meeting with my entire committee, where we are going to review the contributions legislation and the changes that have been made in relation to people who have applied for changes in contributions. The head of the works must also be present. The reality is that it's too early to know how this turns out. At the meeting later today, the President of the State Agency will state that we will need more thorough analysis of the changes that are coming, before we can actually say how this will turn out.
ParlaMint-NO_2003-05-14.ana.ud917e571	The time for the oral questioning procedure is running out. We're going to the ordinary Question Time.
ParlaMint-NO_2003-05-14.ana.ud917e576	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 3, from the representative Sylvia Brustad to the Minister for Agriculture, lapses because the questioner is not present. Question 4, from the representative of Carsten Dybevig to the Minister of Justice, will be answered by the Minister of Agriculture on behalf of the Minister of Justice, who has been removed. Question 8, from the representative of Ranveig Frøiland to the Minister for Oil and Energy, will be taken up by the representative of Tore Nordtun. The question will be answered by the Minister for Economic Affairs and Trade, who will address it. Question 9, from the representative of Rolf Terje Klungland to the Minister for Oil and Energy, is postponed until the next Question Time, when the Council of State has left. Question 10, from the representative of Øyvind Vaksdal to the Minister for Oil and Energy, will be answered by the Minister for the Environment on behalf of the Minister for Oil and Energy, who has been removed. At the request of the Minister for the Environment, this question is moved and answered before question 24, to be answered by the same Council of State. Question 11, from the representative Olav Gunnar Ballo to the Minister for Education and Research, will be answered by the Minister for Fisheries on behalf of the Minister for Education and Research, who has been removed. Question 12, from the representative of Elsa Scarbøvik to the Minister for Education and Research, has been withdrawn. Question 13, from Rolf Rekvamm to the Minister for Education and Research, will be answered by the Minister for Fisheries on behalf of the Minister for Education and Research, who has been away. Question 21, from the representative Signe Øye to the Minister for Local and Regional Affairs, is moved and answered at the request of the Council of State to answer question 26, i.e. at the end of the Questionnaire. Question 25, from the representative Berit Brørby to the Minister for the Environment, has been withdrawn.
ParlaMint-NO_2003-05-14.ana.ud917e607	I will ask the Minister for Finance the following questions: «In an interview in Stavanger Aftenblad 28 April d.o.b. The customs district manager of Rogaland states that new tasks have been given to her in connection with the reorganization of the establishment. It shall ‘work on the adaptation of Customs to any EU membership’. On what basis can the Government give priority to such a task, and has other government agencies also been given the same task for their activities?’
ParlaMint-NO_2003-05-14.ana.ud917e616	The essay in Stavanger Aftenblad – and therefore the question from the representative Magnhild Meltveit Kleppa – is based on a misunderstanding. The customs duty rate wants to focus more on Norway’s relationship with the EU, i.e. on EU-related work tasks. Existence of the EU and Norway pose important and difficult customs challenges in terms of competence, control and other means. The forthcoming enlargement of the EU will increase these challenges for Norway. Strengthening the country's relationship with the EU, including: Thus, through the EEA Agreement, customs is purely justified and has nothing to do with any future Norwegian EU membership.
ParlaMint-NO_2003-05-14.ana.ud917e623	It is alarming, I think, that a central person in the customs department can express himself that way, whether this is a misunderstanding. So it says that the customs district manager ‘returns to the Customs and Charges Directorate of Oslo, where she was formerly the head of audit. Now she is to work on the adaptation of Customs to any Norwegian EU membership’. Then she is quoted directly: ‘It’s an exciting task. Norway becoming an EU member will have a major impact on Customs. I will look at how we can best prepare for it." She has already finished in Rogaland and has taken up her new duties. Then I believe that the Minister of Finance will agree with me that there is a need for clarification of the task, so that there will be no further misunderstandings in the customs office.
ParlaMint-NO_2003-05-14.ana.ud917e638	I think you'll have a bad life if you get shocked every time a representative of public businesses, politicians or others gets misinterpreted in an interview. I'm going to recommend a slightly relaxed attitude to it, because it happens, and it's happened to us all. This representative of the Customs Authority is also mistaken. There's no need to dramatize it. In the special task she has now received, it says: ‘The main tasks shall be the work of the Customs Service on Norway’s relationship with the EU’ – and it says, ‘Mv’. It doesn't mean a further connection in the direction of membership, but that means related problems. It is a fact that I believe the representative and I fully agree that the European Union exists and that Norway is outside. It creates certain work tasks and challenges that require special investigation, and we have chosen here a representative of one of our best customs offices to carry out this task.
ParlaMint-NO_2003-05-14.ana.ud917e650	The President would point out that the ‘related problems’ are an unnecessary negative expression, it tends to be called adjacent glory.
ParlaMint-NO_2003-05-14.ana.ud917e653	I share the finance minister's view of the fact that we can all be misunderstood, and I am pleased with his comforting answer. I thought it was close enough to have freshened in memory the commitment that was from many added to the customs tariff in 1994, and the warnings that they came with in relation to the changes that membership could entail. It is such that, after Schengen, and with the current border trade, there is a great deal of unrest in many areas – including mine – in relation to their customs framework and the Customs Authority’s ability to give priority to whether ports or airports are now free of customs duties at certain times. It also applies to the reorganisation that one in Egersund, in a special way, is exposed to these days. I assume that the Minister of Finance is pleased that the Storting will follow closely what is happening in the customs office.
ParlaMint-NO_2003-05-14.ana.ud917e664	I can confirm that I am pleased, and I also believe the representative of Meltveit Kleppa and I agree on one thing, namely to fight for each of our views on EU membership. But it does neither the Minister of Finance nor the Right Vice-Chairman through Tollvesenet, to say it like that – that fight can well be said to have been blown off, if it had ever been there. But the representative is in a very important area. We are in the process of reorganising Customs now – a process that started in the autumn of 2001 – with a view to organising, among other things. by customs offices, customs offices and dispatch points, i.e. a location of personnel that is more adapted to the challenges we face. Much has been done with regard to border trade and cross-border activities of a legal and illegal nature in recent years, and the Customs Authority will now update its organisational structure accordingly. I think the rogaland representative will be pleased with the resolution that will be published in the revised national budget tomorrow.
ParlaMint-NO_2003-05-14.ana.ud917e679	I have the following questions for the Minister of Culture and the Church: ‘The east folds are in fourth place in games per game. person. Of a total of 574 million. kr from county of Norwegian Typings game [[without extra]] Will the Ministry consider whether gambling revenue can become one of the criteria for award?’»
ParlaMint-NO_2003-05-14.ana.ud917e688	The law on gambling, etc. of 28 August 1992 No 103 in Section 10 it is decided that the excess in Norwegian Typing should be distributed for the purposes of sport, culture and research. From 2005 on, sport and culture will still have half of the excess. This year, there were 1,050 million. kr left for sport and culture, and 600 million. kr for research. The funds for 2003 were distributed in accordance with the laws of the Council of State on 25 April. It was set at 525 million. kr to sports facilities in municipalities. Of these, 495 was million. kr broken down into frameworks for the counties. The distribution between municipalities is calculated on the basis of certain criteria to which the Stortinget has previously joined, most recently when managing St.meld. No 14 for 1999-2000, Sports life as amended. The system of gambling agents for facilities for sports and physical activity is based on application. This means that the most important criteria are related to the applications that have been submitted and that have been accepted. Local authorities have given priority to the applications, while the county decides on the distribution. There were approved applications this year for 1,275 million. kr. Applications are distributed among ordinary new plants, the rehabilitation of existing plants and community facilities. All counties receive a similar percentage of applications for rehabilitation and large community facilities. For smaller neighbourhoods, the number of people aged between 6 and 19 is calculated. For ordinary new plants, a three criterion applies: approved application amount, 50 pst., number of inhabitants, 25 pst. and construction coverage, 25 pst. The criterion is intended to contribute to the allocation of gambling funds for construction purposes in relation to local needs. The incentive scheme is application-based and there is no link between the amount of money being played in each state or municipality. This has been the case since the gaming media regimes were introduced in 1948. Such a system is now, the needs of sport are expressed through the applications that come, combined with the local authorities' priorities, which govern the distribution of funds, and the way in which the department it is still going to be.
ParlaMint-NO_2003-05-14.ana.ud917e709	I thank the Council of State for the answer. I have now received a description of the legislation in force and a support post for it, and nevertheless there is little or no connection between the amount it is being played for in each state, and what is being returned to the individual state. Statistically, it is the central East, Uppland and South-Trendelag that get little back. These are areas with high population density and high plant density. It is logical, then, that where there is a higher population density, there is also a need for more facilities. If, for example: Eastfold had got the same thing back as North Tronde Team, they would have gotten 40 million. kr more. Does not the Council of State think that, on the basis of a principle of fairness, there should be greater consistency between the individual state and that which goes back to the individual state, and that new criteria for this should be considered? You have good projects in all the counties, and even if you have a complicated and detailed code, this results in sports that do not all seem to be as pleasant.
ParlaMint-NO_2003-05-14.ana.ud917e718	I've never felt that there's been any connection between how much is being played in a state and how much sports activity there is in a state. Of course, we have to distribute the funds depending on where the need is greater, and it is the municipalities and the state that know best. They search, and they get funds for the agreed criteria that the Storting has agreed to. When it comes to the question in relation to the people's area, I am summed up in what the questioner said. It's one of the areas we've said we should give priority, no matter how much it's played for, but depending on what the need is. Folketing requires more paths because more ones are needed. The number of inhabitants aged between 16 and 19 is also one of the criteria for these areas. It's quite natural that we take in, but there's no connection between how much people play, and how eager they are on the sports track -- unfortunately, maybe, but that's the way it is.
ParlaMint-NO_2003-05-14.ana.ud917e725	I thank the Council of State for the answer. I record that, at least in Eastfold, they work in sports to get a larger share back. You have a lot of good projects, and you want a fairer distribution through a redistribution. It would be a powerful stimulus to the environment if you got there. Does not the Council of State feel that this is a view that can also stimulate sport in individual states?
ParlaMint-NO_2003-05-14.ana.ud917e732	I don't think there's any connection between the sports activity in each state and how much people play. On the contrary, I don't think the state should compete to play the most to get the most money, it would be a negative effect, I'll actually say. But to work to get a bigger part, states just have to do, but then it has to depend on the kind of project they have, and not how much people play. I actually thought it was a negative criterion the representative asked to be added. Positive criteria, such as population density, activities and priorities in the municipality, must be pursued. But I finally remind you that the criteria that we distribute the funds for are agreed by the Storting, and I stick to the rules that we have.
ParlaMint-NO_2003-05-14.ana.ud917e749	This question falls away.
ParlaMint-NO_2003-05-14.ana.ud917e756	This question, from Carsten Dybevig to the Minister of Justice, will be answered by the Minister of Agriculture on behalf of the Minister of Justice.
ParlaMint-NO_2003-05-14.ana.ud917e759	I want to ask the Council of State the following questions: ‘In Karmsund District Court, a person was released from the police’s claim of money laundering, served after extensive drug sales. The person could present sufficient unregistered winning vouchers from the odds and Norsk Rikstototo to the district court. According to information provided by Haugesunds Avis and other sources, there is a market for the sale of unregistered winning vouchers in Norway. What will the Council of State do to prevent this kind of money laundering?’
ParlaMint-NO_2003-05-14.ana.ud917e768	Without going into the details of the judgment referred to in the question, I can inform you that the court's assessment of evidence takes into account the statements made by the actor that the receipts from the winnings that were charged did not originate from his own gambling business, but were obtained from other players. The Court finds that there is insufficient evidence to this effect. Therefore, the claim of withdrawal of money was not taken as a consequence. However, it is a fact that it can be played on, for example, today. the odds and horse games without the player in question being registered. This allows the winner to appear anonymous to the authorities. This means that today there is a situation in which gambling receipts can be traded illegally and serve as evidence of income that is actually the result of criminal offences. There is reason to look at this situation. First of all, there may be a need for better legislation and regulation to reduce the use of unregistered games, thereby killing the turnover of anonymous winning vouchers. Legislative responsibility falls within the scope of other departments, including the Ministry of Finance. In this context, I mention that the Government has just presented Ot.prp. No 72 for 2002-2003 with proposals for new anti-laundering legislation. The bill opens the door for the King to lay down rules for the new law to apply to gambling activities. If this provision is adopted by the Stortinget, it would be natural for the Government to start drafting regulations that address gambling activities such as those mentioned in the judgment. Registration of players and other measures may be relevant to prevent the movement of receipts.
ParlaMint-NO_2003-05-14.ana.ud917e781	I thank you for your answer. It was an answer that was actually very good. It's the way it's obvious today that there's a hole in the law that makes it actually possible, as the Council of State says, to do money laundering. In Norway we are very capable, I would say, in relation to Ot.prp. No 72, to try to detect and combat money laundering. Norway shall be one of the world’s leading countries in combating money laundering. And when we know that money laundering represents approx. 5 pst. of the world economy, this is a major problem. I would like to thank the Council once again for wanting to draw up regulations and register players in Norwegian Typing. That, I think, will be a clear advantage in the future when it comes to combating money laundering of unregistered tips.
ParlaMint-NO_2003-05-14.ana.ud917e790	I share the views expressed by the representative here. I think it's important that we in the future increase the effort where we think there may be opportunities for money laundering. There are not so many areas where you can suddenly stand on the street with a large portion of money without there being a fairly good overview of where they came from. One of those areas is just being able to win big horse games. That's why there's also reason to follow this closely. Let me say, since we are in the situation that it is the Minister of Agriculture who is the Council of State for the Minister of Justice and who also has a special responsibility for this area, that in the case of games on horses, trade on horses – we have recently had notices on the introduction of horses, where we operate with completely different numbers in connection with receipts and the basis for value added tax than that for which the horse was purchased abroad, etc. – this is an area that we need to go into more. We're working on a plan of measures to look at these things. We have to get clear lines for when a horse is nourished, operate with open receipts with name and all this going on, and a boundary line for what's hobby, which we know many are hiding under in this area. I'm going to be careful to make claims that it's worse than it is, but at least there's a basis for suspecting that there's some things going on here that we need to create a tighter code for.
ParlaMint-NO_2003-05-14.ana.ud917e799	The President understands that the Minister of Agriculture, as the Council of State for Justice, chooses to bet on that horse.
ParlaMint-NO_2003-05-14.ana.ud917e802	I just want to say that with today's electronic development, the systems already facilitate registered gambling. The only way to overcome the phenomenon of money laundering is to ban unregistered gambling. There is already a requirement in the tax return that a person is obliged to report losses of gambling. The disadvantage for the individual player will be minimal if you come up with a prescription from the Government, and that will solve the problem that we've seen about a case in Karmsund District Court. Here we can hit two flies in one taste.
ParlaMint-NO_2003-05-14.ana.ud917e807	I share these points of view. This is well worth taking into account the work the Government is going to do in this field, and I will ensure that the Minister of Justice also gets these points of view into his work together with the Minister of Finance and the Government for other matters related to the legislation in this area. I think the government, like the representative, shares the belief that we need to invest a lot of resources to get money laundering alive, and we're going to promise to follow it up.
ParlaMint-NO_2003-05-14.ana.ud917e815	I will be allowed to ask the Minister of Health the following questions: ‘In the press release of the Social and Health Directorate dated 6 May this year, it appears that as many as 1000 Norwegian patients may be infected with hepatitis C virus by transfusion before 1993. What measures, besides requiring patients to report for control, will the Council of State take?’
ParlaMint-NO_2003-05-14.ana.ud917e824	I am serious about the report from the Social and Health Directorate that up to 1 000 Norwegian patients may be infected with hepatitis C virus by transfusion before 1993. After discussions with the directorate, I have found it right to initiate an independent review of the whole matter. As an immediate measure, the Public Health Institute has recommended that those who have had blood before 1994 go to their doctor for a test. The Social and Health Directorate has been asked to send letters to all blood establishments to identify what has been done to detect possible infected people, and to help us find a procedure to track those who have not been identified before. I would like to highlight a little bit of the background because I want an independent review. The number of cases of hepatitis C in Norway has been estimated to be about 0.7 pst. by the population. The disease can be via blood, from mother to child, and by sexual intercourse. The disease usually passes without symptoms, and most become chronic vectors. The most serious sequelae are cirrhosis of the liver and, in a few cases, liver cancer. In 1989 a separate hepatitis C test was developed. It became available in Norway from the beginning of 1990. This test was very little specific and had a false-positive rate of up to 75 pst. three out of four tested with positive findings are not infected, however. From November 1991, the so-called 2nd generation test was launched. This could detect hepatitis C for the first time with a high level of safety. Treatment for liver disease due to hepatitis C was limited in the 1990s to a strict diet regimen and common precautions for hygiene. A slightly more effective treatment with drugs was introduced only in the mid- and late 1990s in Norway. Drug treatment is even today long-term, from six up to 12 months, with a not insignificant risk of side effects. Although testing early in the 1990s was very little specific and produced many false-positive results, the Health Directorate nevertheless required testing for hepatitis C antibodies in a circular from May 1990. The testing requirement included all new donors and was subsequently extended to annual testing. From the beginning of 1993, all losses were controlled for hepatitis C. In a circular dated 7 May 1999, the requirement for testing was further strengthened as a result of improved laboratory techniques. In the same circular from May 1990 from the Health Directorate, it was recommended that the hospitals’ blood banks visited all donors who had received blood from donors who were subsequently tested for hepatitis C positive. The reason why this came as a request and not as a requirement may have been that the available tests were not specific and that the treatment offer was not developed. The only systematic follow-up we have found so far was that all the bleeders who had received blood were offered follow-up. Recommendations were made on testing and exclusion criteria for hepatitis C and blood donation. At some point, however, the detection of possible recipients of the virus should have been delayed, so that one could have made sure that all the patients concerned had received adequate treatment as soon as treatment was introduced. That such detection was not initiated is critical. This is the background that I want an independent review of the case. The report will provide a basis for assessing different types of follow-up by public authorities.
ParlaMint-NO_2003-05-14.ana.ud917e848	I thank the Council of State for the answer. As usual, the Minister of Health is quick to respond to things to be checked out, and I am satisfied with that. My first supplementary question, of several, is as follows: Why is this case coming up today, ten years after 1993? I don't think it was satisfactory, what was said on the part of the Minister of Health when it came to following these patients. Do you know with any certainty that as much as 1000 patients can be infected, and who is responsible for it?
ParlaMint-NO_2003-05-14.ana.ud917e855	As my answer showed, there has been a call to report to get a test for those who have had blood before 1994. In addition, detection measures are in place to identify those concerned. How many it could be, you just have an estimate. The question of why this comes up now, I can only answer so far – before this review has been carried out – that I became aware of this in connection with the creation of this TV program «Fire Point». That's the basis of my knowledge, and I haven't had any knowledge of this before. I believe that the review to be carried out should further answer and clarify that question, so that the necessary follow-up can be done in relation to those responsible. Something more than that I don't want to say at this point.
ParlaMint-NO_2003-05-14.ana.ud917e864	I thank you again for the answer. I think it is legally late to initiate investigations ten years later as to whether someone is infected or not. And that the starting point for the health minister's knowledge of this is going to be a TV program, testifying to the low credibility of the system at the highest level. Hepatitis is not a banal childhood disease. The disease can cause serious liver damage, resulting in death, after a relatively long and painful development of disease. I want to assure myself here and now from the Minister of Health that the patients who had to be found and have been diagnosed with a serious disease of this virus are getting a better settlement than the patients who were exposed to the Dent-O-Sept brush were given. I would like an answer from the Minister of Health to that, and that he assures me that this will happen.
ParlaMint-NO_2003-05-14.ana.ud917e873	I fully agree with the representative Alvheim that it is clearly critical that these conditions became known now, and that they became known through the media in this way. I have to deal with that that's how I've been told. I acted immediately – and I mean in an adequate way – when I was told. Then the representative asked Alvheim for compensation in relation to those who had to be charged with this through the public health service. What I can say in general about it is that, as far as it has happened, the usual compensation scheme will apply to these patients, and it will be assessed in the usual way by Norwegian Patient Injury Compensation.
ParlaMint-NO_2003-05-14.ana.ud917e883	I also have a question for the Minister of Health, and it concerns the maternity wards: «The budget is at the end of the budget. S. No 11 for 2002–03, the Government was required to submit to the Stortinget a financing mechanism for its birthplaces. This applies, inter alia, to: birthplace of the Rjukan in Telemark. When will the Council of State present this matter to the Stortinge?’
ParlaMint-NO_2003-05-14.ana.ud917e892	The Social Committee has asked the Ministry to clarify the responsibilities of the feeding rooms in Innst. S. No 300 for 2000-2001. The Storting has also asked the Government to review the funding of the maternity wards and come back to Stortinget with this, in the Budget-Inst. S. No 11 for 2002-2003, Decision XII. That Decision stated that the operation of the approved official food establishments shall be the responsibility, professional and financial responsibility of the undertakings. The government will in the next St.prp. No 1 for 2003-2004 a comprehensive proposal on the responsibilities and operation of feeding centres. The reason for this is that there has been an overall process in relation to the financing of the specialist healthcare service. The Hagen Committee has been at the hearing this winter, and it is natural for me to present the follow-up to the financial instruments taken together in the context of the 2004 State budget. This also includes the review of the funding of the maternity wards. However, I will now insist that I add up to a further decentralised food supply, in line with the leaders of the Storting. In this context, I refer to the inter-pelling debate on 8 May, where a central theme was the decentralisation of the service provision and the interaction between the primary health service and the specialist health service. The debate showed a broad political consensus on developing decentralised actions, such as: birthplaces. As far as funding is concerned, I refer to the presentation of next year's budget.
ParlaMint-NO_2003-05-14.ana.ud917e903	I thank the Council of State for an answer that I really think was positive. I am glad that the Council of State makes it clear that he still wants to work for us to have a decentralised food supply. When I address this question, of course, it's because those who are responsible for the operation of the feeding-rooms are worried about their future and their economic base. The majority in Stortinget have said that they consider the maternity wards to be part of the specialist health service, and thus placed under the responsibility of the enterprises. We see that the municipalities can no longer have anything to do with this operation of the feeding rooms. They may be impatient, but when the Council of State now says so clearly that he will come back to the Storting in the autumn budget, I hope it can be reassuring for those who run the feeding rooms.
ParlaMint-NO_2003-05-14.ana.ud917e910	I hope so, too. In the extension of this, let me add that I have stressed to the regional health companies in the 2003 directorial letter that the operation of feeding places is part of the specialist health service, and so part of the responsibility of regional health companies. For the smaller maternity wards, I have assumed that regional health establishments will find appropriate cooperation solutions with primary health services, primarily related to the municipal tasks of midwives in health centres and in maternity control.
ParlaMint-NO_2003-05-14.ana.ud917e915	I just want to thank you for the answer. As I said, I am pleased that the Minister and I agree that we are still going to have feeding rooms, and that it must be a responsibility for regional health companies.
ParlaMint-NO_2003-05-14.ana.ud917e925	I will ask the Minister for Health the following questions: ‘In the municipality of Asker, an activity building was started in 1995 for people with psychiatric disorders, in cooperation with the 1st and 2nd line services. Blakstad Hospital has had two trades at the house that have worked very well against the users and as a supervisor for other employees. Health East has decided to withdraw these posts from the Activity House. bad finances. Does the Council of State consider it appropriate to downgrade such well-functioning cooperation between the specialist health service and the primary municipality?’
ParlaMint-NO_2003-05-14.ana.ud917e934	In the governance papers of regional health enterprises, the Health Ministry’s assumptions and expectations about specialist health services in general, and mental health in particular, are clearly explained. The provision to people with mental health disorders shall be strengthened in its entirety, and the funds allocated to regional health businesses through the Roadmap for mental health shall be used for the purpose for which they have been granted. I would like to make it clear that this does not just mean that regional health businesses need to realise an increase in activity in order to achieve the objectives of the Road Safety Plan. There is also a central premise in the plan and in the governance documents to strengthen cooperation between health companies and municipalities. A good interaction between first- and second-line services is a fundamental prerequisite for patients to experience an overall offer and good continuity of treatment. Interaction must bear the character of equivalent professional cooperation where both parties contribute valuable and equivalent knowledge. I would also like to point out that the specialist healthcare service has a statutory responsibility to provide advice and guidance to the primary health service, and I assume that health care companies are responsible for it. Although the legislation defines limits on the responsibilities of municipalities and enterprises, it will in practice always be grey areas. I have asked all healthcare companies to contribute to this zone becoming a cooperation zone, not a conflict zone. Of course, this can be done in different ways. In the Roadmap for Mental Health, a significant effort has been made to strengthen the decentralised specialist healthcare system through the establishment of several district psychiatric centres. This so-called DPS model is intended to serve as a specialist healthcare service, but is intended to overcome the grey areas through extensive cooperation with the primary health service. This work is ongoing throughout the country, also in the Asker region. The cooperation that has been established through the Aktivshuset in Asker Municipality is a model that, according to the representative, Höglund seems to have worked well, and I therefore asked Health East to explain the starting point of this case. According to Health East, the Aktivshuset in Asker, known by the representative Højlund, was established in 1995 in cooperation between Blakstad Hospital and Asker Municipality. The aim was to stimulate the municipality to establish a daily service. Later, the municipality has also incorporated a day centre for the physically disabled in this activity house. The house is a municipal responsibility, while the health company is responsible for guidance and treatment. I assume that the borderline between the responsibility of the specialist health service and the primary health service in such cases is not always as simple. However, the health undertaking must continue to ensure that the Activity House receives good support from the specialist health service, and both the municipality and the health undertaking must contribute to good cooperation relations. I also assume that the health company and the municipality will also find appropriate cooperation models for the future. As I am briefed on the matter, it is so absolutely not taken into account to deprioritise the cooperation between the health company and the municipality. For my part, I will follow up this in my governance dialogue with Health East.
ParlaMint-NO_2003-05-14.ana.ud917e951	I thank the Council of State for the answer and I appreciate the fact that we will try to work together here. The decision, which was announced to the municipality, came forward without a dialogue in advance, and was probably disappointing in relation to the Council of State here sketching. Governments also outlined a strengthening of psychiatry provision in general. The municipalities have taken over much of this in recent years, and there is, of course, some uncertainty in the municipalities. The cooperation between the specialist health service and the municipalities is, as I see it, very necessary and provides security in the offer. Psychiatric patients have a life situation that can fluctuate, so users can experience many different situations in a year. The security provided by such qualifications in an activity building should be of interest to the specialist health service, not least in preventing and ensuring the avoidance of, for example: unnecessary insertions.
ParlaMint-NO_2003-05-14.ana.ud917e960	Let me fully agree with the representative of Høglund that a good dialogue between the specialist health service and the primary health service, between the health company on the one hand and the municipality on the other hand, is important, and I strongly stress to health companies that it is also desirable and necessary in the development of a comprehensive service provision for users/patients. The stability that can be achieved in these services is also important, not least for this patient group. I trust that forms of cooperation and support can be found professionally at the Aktivshuset as a municipal offer in the future. And as I said in my first answer, I'll follow up on it.
ParlaMint-NO_2003-05-14.ana.ud917e967	I thank the Council of State for the answer, and I hope that you will do so and find a solution for these positions. There may be a lot to say for the heaviest users of the Activity House, for whom the professional organisation is important. As far as I can see, the Health East decision also applies to more municipalities than Askers, so there is a fundamental issue to how much specialist health service should be directly involved in the activities of municipalities. But here I appreciate the wish of the Council of State that it is the concern of the users who are the important thing, and that appropriate forms of cooperation are found without much maintaining what is basically the responsibility of the municipality, and what is the responsibility of the specialist health service. It must be the offer given, which must be the decisive one.
ParlaMint-NO_2003-05-14.ana.ud917e974	I share these intentions. Of course, I don't want to go into and discuss individual positions, but basically and legally, health companies have a clear responsibility to cooperate with, guide and support primary health services. To a large extent, I think that's what this is about.
ParlaMint-NO_2003-05-14.ana.ud917e982	This question, from the representative of Ranveig Frøiland to the Minister for Oil and Energy, will be raised by the representative of Tore Nordtun. The question will be answered by the Minister for Economic Affairs and Trade, who will address it.
ParlaMint-NO_2003-05-14.ana.ud917e985	I have the following questions for the Minister: ‘State power is required to sell ownership parts resulting from acquisitions made by the company. Sals are imposed on the basis of size and competition, although Statekraft is the third largest in the Nordic market. Both Vattenfall and Fortum are bigger. They also have a greater share of Swedish and Finnish production capacity than is the property of Statekraft in Norway. How do you think the Council of State we can get a power company in Norway that can compete with the Nordics, when the authority prevents State power from expanding?’
ParlaMint-NO_2003-05-14.ana.ud917e994	First of all, I would like to stress that the competitiveness of Statkraft will depend on many factors. A fundamental prerequisite is the company's ability to operate economically. This is not only affected by the size of the company and its potential for further purchases. The acquisition of power plants by the State in recent years has been treated in accordance with the distribution of competences established by the Competition Act and provided for in the treatment of St.prp. No 51 for 2000-2001, in the position of the Energy and Environment Committee on the injection of deposit capital and increased loan and guarantee frameworks for Statkraft SF. In a competitive context, it is a fundamental principle that private and public actors should be treated equally by applying the same standards. Competition supervision shall deal with the individual cases dealt with under the law. The Ministry of Labour and Administration is an appeal body. These are fundamental principles — especially in the implementation of the distinction between the regulatory role and the ownership role. State power is therefore not discriminated against in comparison with other actors subject to Norwegian competition law. And Statkraft is therefore subject to Norwegian competition law. As the owner of Statkraft, I will always be concerned that the company can operate economically and that it can be competitive. But I must of course also, in my own practice, assume that the company will operate within the framework of, among other things. the Competition Act. The answer to the original representative Frøiland's question is therefore that Statkraft has the same opportunities, and I would say exactly the same opportunities, as any other company to develop within the framework of Norwegian rules and laws adopted by this assembly.
ParlaMint-NO_2003-05-14.ana.ud917e1007	I thank the Council of State for the answer. The answer was as much as expected. But I also expected to see this in a slightly larger perspective now, when the Nordic power market has expanded and we have a Nordic power exchange and, in part, a European power exchange. State power competes with the other state and semi-state companies also in the Nordic region. If we are to follow up State power with what has also been said in the Stortinget, and from the point of view of which the Stortinget has given State power, that it is going to be a large, heavy, tonal energy company based on hydropower production not only in the Nordic countries but also in Europe, does the Council not see that the competition law we now have narrowed within Norway's borders with regard to this industry will prevent State power from being a large international energy company?
ParlaMint-NO_2003-05-14.ana.ud917e1014	There is no doubt that there is a conflict of interest between the size of a market and competition law. It is clear that if you allowed Statkraft to buy all Norwegian hydropower, it would maximize the potential goal for Nordtun to achieve the highest possible State power. But we know what would happen to the prices of Norwegian consumers and Norwegian industry. Already, there are significant signals from Norwegian industry related to the fact that we have an actor that is already as large as it is. Nor is it true, as Nordtun says, that the Storting has used formulations on ‘large’ and ‘heavy’ or actors in Europe. What Stortinget has said is that Statkraft must be given the opportunity to develop in a Nordic perspective. They have done so, and they have made large purchases of power plants both in terms of hydropower and, in fact, nuclear power stations, in Sweden, for example, as we have large holdings in Southern power. There is no doubt that the industrial freedom State power has had will continue, and we have no intention of anything else. But to weaken competition law to further increase State power in Norway, I don't think on behalf of consumers is a good idea.
