ParlaMint-NO_2003-01-09.ana.ud1137e91	The representative of Åslaug Haga will make a private proposal.
ParlaMint-NO_2003-01-09.ana.ud1137e402	Just a little follow-up to my first line. I believe in the will of the Council of State to increase the proportion of women in the university and higher education sectors, and especially in top positions. At least there should be no sleeping cushion that we are currently internationally well located, and I have not understood the Council of State this way either. My question in the previous line was related, among other things. informal networks may be linked to recruitment procedures and recruitment. It is stated in the notice that if this is the case, it is a willingness to use positive specific treatment. Then I'm just going to confirm, although there's a minority in the committee that points to it with the recruitment process, that the Council of State is open to go in and see if that's the case that the notification itself describes as deprioritising women in more informal contexts. Then I am concerned and will stress that one should not – and I did not see the Council of State as such – leave responsibility to the institutions in this area, but of course we should not deprive them of the responsibility to follow up. So that's not enough on purpose. I imagine that one here – as I said in my first line – says something about ‘this we will’, ‘this we shall’, and that one has a claim on the institutions for objectives. We had a discussion earlier, last year, about representation in corporate governance, and there I realized that there were some people who thought it should be left to business, while the government's conclusion was, I understood that one would actually go along with some demands. I also expect in this area that we can come up with something more comprehensive that also includes concrete expressions of the positive will that I perceive everyone has.
ParlaMint-NO_2003-01-09.ana.ud1137e411	When I said that we were well off with other countries, it was more that we were better off. That was more to illustrate how bad things are in other countries, because there's really a low proportion of women in top positions, in scientific positions. As far as comparison with business is concerned, in my opinion, it is not quite accurate. Business is private time and has its own set of democratic rules. There is a difference between the decision by the State on the possible conduct of business with positive special treatment and the decision by the State of its own institutions. It's something else. In this way, I personally think it is more legitimate that the state governs its own institutions. That is what we have done in the field of higher education, and we have gone to quite radical steps compared to other countries, which I was in for. In terms of positive treatment at different levels, it may be divisible into two. Personally, I think what is called moderate quota, namely that you prefer the underrepresented sex on other equal terms, almost a matter of course today if you are faced with managements and working sticks that are very homogeneously composed, and where you need more diversity. A positive treatment involving the prioritisation of the underrepresented sex, even though less skilled, is, of course, a much more drastic measure, which must be extremely careful and have very good reasons for doing so. That, too, has to be assessed on a case-by-case basis. I am, as I say, willing to go deeper into these issues in the field of university and higher education, and also willing to assess instruments. I also have a dialogue with the sector about how they themselves can implement measures on the staff side to recruit more women, but I am not prepared here and now to conclude with exactly what kind of measures it should be.
ParlaMint-NO_2003-01-09.ana.ud1137e422	Continuity and the ability to choose research as a career path are important for recruiting – i.e. those who are encouraged to start a doctorate see that there is a career path within the system, and that there is an opportunity to move from scholarship to postdoctoral position and, if necessary, to a permanent position. The minority in the committee writes a good deal about this in relation to postdoctoral positions. Establishing several post-doctoral positions is an important matter, just to catch up with several of those who are completing their doctorate, and get them into a position. We are also concerned that the postdoctoral position should be of longer duration than today. The most common thing today is a two-year scholarship as a postdoctor, and then maybe one can get it extended. We are committed to seeing whether this should not be extended to four years as a general rule, and also closely linked to the professional environments of the institute, at the faculty, just to ensure that there will be an overall responsibility within the faculty/institution. My question to the Council of State will then be: is it not important to ensure a career and secure recruitment to extend the length of post-doctoral status to four years? Because it's just around the postdoctoral position the bend has been the largest, getting the opportunity for a position from one is finished with the doctorate, until one can get a firm position. So extending the length to four years, wouldn't it be an important matter for the Council of State – consider, go in, make recommendations – so that we get this continuity and this opportunity to plan a career?
ParlaMint-NO_2003-01-09.ana.ud1137e433	I have noticed the small discussion that has been here in the Chamber about these minority comments and the majority view of them, and I have then noticed with interest that there is no real disagreement about the substance there and the thoughts that you make here, but there may be a little other reason why you have divorced layers. I think that a part of what is written about the training of researchers, how to make it more attractive, how to make research a more attractive career path, how to integrate the courses of education and research, so to speak, at the institutions, is exciting – I think it is very exciting in those comments. In the case of postdocs, the annual target period is usually from two to four years, mainly related to research, but also here institutions are free to add postdocs for four years with one year of compulsory education. So that's possible. The new thing that we have to get used to is that we have given institutions greater freedom, that they have greater freedom, and that they are supposed to use and manage this freedom and take responsibility. It's a difficult balance, of course, both for us and for them, but I think that's the regime we all have to try to make friends with, and here they have a freedom.
ParlaMint-NO_2003-01-09.ana.ud1137e441	Several have not asked for the floor on case No. 1st@item: inlistbox That means that the representatives have brought the matter safely to port, and we can at least not talk about any abdominal landing here. [[Fotation, see page 1534]]
ParlaMint-NO_2003-01-09.ana.ud1137e459	No one has asked for the floor. [[See page 1535]]
ParlaMint-NO_2003-01-09.ana.ud1137e477	No one has asked for the floor. [[See page 1535]]
ParlaMint-NO_2003-01-09.ana.ud1137e495	No one has asked for the floor. [[See page 1535]]
ParlaMint-NO_2003-01-09.ana.ud1137e513	We now come to a whole series of proposals, even the proposal in case No. 10, which is linked up to the Innst. O. No 49 on the introduction of an index price-based system for the placing on the market of medicinal products. The party of progress was opposed to the introduction of this system, and I have taken the floor to clarify some of the voting order here, because the committee's position will differ from that of the majority in these matters. This means, among other things: that the proposal on file No. 5, which is about to come back with an evaluation of the index price system, including the blueprint system, the Progress Party will vote against, as a result of a later proposal that better captures what we think. There will be some of these cases here, which makes voting a little difficult, because if one is adopted, it will be difficult to address – I kept saying – the original and the position of the committee, because there is already a proposal adopted in the Grand Chamber. So I don't know if you want to look at what's going on in the voting order here, or how to implement this voting, but the Progress Party will at least vote against proposal No. 5th@item: inlistbox I don't know if I can get permission to give an explanation of vote on the other proposals as well, because here we have the same general position. We will vote against the proposal in case No. 5, as a result of our own proposal, which is the proposal in substance. 10th@item: inlistbox We will also vote against the proposal in case No. 6, because we have another proposal, the proposal in case No. 7, which we will vote in favour, and we will vote against the proposal in case No. 8 and for the proposal in case No. 9th@item: inlistbox
ParlaMint-NO_2003-01-09.ana.ud1137e518	Then we have received a explanation of vote from the Progress Party. Several have not asked for the floor on case No. 5th@item: inlistbox [[See page 1535]]
ParlaMint-NO_2003-01-09.ana.ud1137e538	No one has asked for the floor. [[See page 1535]]
ParlaMint-NO_2003-01-09.ana.ud1137e556	No one has asked for the floor. [[See page 1535]]
ParlaMint-NO_2003-01-09.ana.ud1137e574	No one has asked for the floor. [[Fotation, see page 1536]]
ParlaMint-NO_2003-01-09.ana.ud1137e592	No one has asked for the floor. [[Fotation, see page 1536]]
ParlaMint-NO_2003-01-09.ana.ud1137e610	No one has asked for the floor. [[Fotation, see page 1536]]
ParlaMint-NO_2003-01-09.ana.ud1137e631	The interpellation is based on an article appearing in the Evening Post on 1 November 2002. Here are figures presented by Professor Dag Bratlid at NTNU in Trondheim. He has made calculations that cause some of the image of a poor health care system to be demolished. Bratlid says to Aftenposten on 1 November 2002: ‘Increasing inefficiency, constant or even declining access to new patients and re-use of old patients is a better diagnosis of the current hospital system.’ He also says, ‘You can turn the health debate around and say that medically speaking, it may be more appropriate to lower the level of activity. Politicians are committed to continuing a high level of activity. If it means checking patients even more times than now, it is asked whether this is a reasonable use of health resources.’ Bratlid’s reports have left the national hospital figures behind, looking in particular at each department at St. Olav’s Hospital in Trondheim. The figures were presented in Economic Forum No. 8 2002, and they have also been presented in two articles in the journal of the Norwegian Medical Association. The number of hospital contacts per person is described here. patients increased from 2 in 1999 to 2.5 in 2001. The increased capacity of the hospital was therefore used to treat the same patients several times. In summary, hospitals are characterised by an inefficiencies in which more and more health workers are treating fewer and fewer patients at an increasing cost. The report I have described states that the lack of cooperation between the hospitals and the doctors outside the hospitals, at the medical offices where people live, is a major reason for the large increase in controls at the hospitals. It is also suggested that the number of checks in relation to the number of initial studies is not something that can be entrusted to individual health professionals, but that, instead, general guidelines should be established as to whether the checks should be carried out in hospitals or in doctors where people live. Furthermore, it is emphasised that the system for financing hospitals has an important part of the blame for the situation described. It is suggested that the funds allocated to hospitals should be more closely linked to the number of patients actually treated and not to the number of times each individual is treated. The figures presented in the survey show that while at St. Olav’s Hospital, that is to say the regional hospital in Trondheim, 373 doctors were employed in 1995, the number increased to 509 in 2001, which means an increase of 36.7 pst. Similarly, in the same period, the number of pleasures increased from 1,596 to 2,067, which is an increase of buttons 30 pst. In the same period, the number of newly treated patients fell from 8 700 in 1996 to 3 900 in 2001, i.e. a total of 55.5 pst. Outpatients showed no dramatic change, with 75,500 newly treated patients in 1996 and 74,400 in 2001. But the fact that there was no dramatic change in those numbers while there has been a dramatic change in the number of employees is in itself cause for concern. So there was no increase here either, despite significant increases in resource availability. Other research environments have also shown that resource use, particularly towards the hospital sector, is not optimal. Professor Kjell Haug of the Department of Social Medicine, Institute of Societal Medicine at the University of Bergen, is the editor of a book published at a National Conference on Health Economics in May 2001 in Bergen. In an interview with Aftenposten on 7 May 2001, Haug stated that if more money is allocated to the treatment system now, it will probably benefit already priority areas. Haug points out in the interview that long waiting lists, health cows and crowded corridors are about priorities and organisation. More money, says Haug, is not the solution. He also expresses the fact that general practitioners are in a key position in the healthcare system. According to Haug, increased availability of general practitioners and improved continuity in the medical patient relationship will lead to more problems being solved by the primary doctor. This, in turn, will solve the need for specialist treatment. What I want to add here is that we have a fixed medical system that was put in place about the time Haug spoke this out, and which even better today enables us to have patients treated at the primary level, because the coverage rate has increased in the case of primary health care. We all know that the different healthcare companies are struggling with the strained economy. So what I've said here may appear paradoxical, since it's an argument for using the funds differently and not necessarily in the form of increased appropriations for hospitals. Of course, I am aware that there will be short-term problems that hospitals will have to solve, which are also about money. But in a more long-term perspective, I believe that what I've drawn out here is important to bring with it, and it's important to set up the healthcare system in such a way that you get out of the mess you've ended up in in many ways, which is made visible through the two reports I've mentioned. I feel that a central issue relating to the hospital economy will be: how can economic instruments be created for better resource use than today, so that the groups that should be given priority will also be? At the heart of that discussion will be the future financing mechanism for hospitals. As you know, the government has set up a selection to look at the financing of hospitals. The selection is led by Professor Terje Hagen. I expect that the Minister of Health in his reply will refer to the work of the sample. However, in view of the high cost of hospitals, it is necessary that both population and government have a dynamic relationship with developments in the hospital sector, since the ring-fence of poor financial management will be high. Another key question is: to what extent can the development of healthcare services be disconnected from political governance without the policy being determined by either corruption or government? In the State budget, we have seen a number of possible structural changes to hospitals in the direction of health businesses and descriptions of them. It is obvious that some of the changes are in line with both what the Storing has decided and what the Government has proposed. But we also see trends where, at least as a wholesaler, there is an unpleasant sense of being a spectator of what is happening, more than a premiscuous supplier. We see that there should be possible and quite significant changes to the emergency services. We had a discussion in the Storting about changes in neonatal care, where initially a development that could go on those changes, so far without the Storting being drawn to a general level. Now, the Storting will be, because the government is sending out a message about the newborn care and we get a discussion in connection with it. We've seen a change in the very content of the hospital functions. These may include emergency preparedness, the specialist functions to be covered by each hospital and at all places of decentralised or centralised specialist services. What we also see is a very big difference in the offers related to the specialist coverage, and it can be demonstrated that in some regions there may be a use of specialists in the multiple of the other regions. In any case, the differences between individual municipalities can be very large and very large depending on the extent to which patients live from hospitals. This is, of course, a development that has not taken place through political governance, but in many ways through a much more market-adapted healthcare system where users are given access depending on the proximity of services and how easily they are available. Signals about changes in the decentralised supply such as hospitalisation sites, ambulances for specialists or dialysis and cellular toxicity treatment have also come as a consequence of poor economy, where the measures could in many ways have been suitable for reducing expenditure growth, because they occur close to patients. The cost of travel is reduced, and in this way overall the social economy can be better exploited. These are things that can happen so far without the Storting having thought it would happen, but because health companies see themselves having to or earning it. The most dramatic, however, is in my and SV's view the constant messages we get within the psychiatry. Last night I received a message from Eastfold about a reduction in the offer at some of the district psychiatric centers with sanctuaries. It's, as far as I know, five district psychiatric centers in Eastfold, and it was about not being open on weekends, and that patients might be moved to other institutions, which could be quite dramatic for the patient group we're talking about. This is happening in parallel with an escalating plan for the psychiatry. I would like to conclude by saying that there are two key answers to the questions I have raised. One is the need to look at a new funding system with a different device, where it needs to be stimulated to the right use of resources at the right level. Some form of framework funding must be at the bottom of requirements for performance in terms of processing capacity. The second is that it is necessary to have a national overall health plan which provides guidance for health businesses and imposes obligations in respect of follow-up, both for health businesses, and in turn also for government and enlargement.
ParlaMint-NO_2003-01-09.ana.ud1137e696	Let me first commend the representative Ballo for the initiative he has taken through this interpellation, which I feel has the intention that the Stortinget should be more involved in discussing the premises for health policy, which I, as the Council of State, feel is an important matter for me too. There's a lot happening in these days in the organisation of our hospitals. It is in line with the expectations expressed in this room for the reform. But the changes don't happen in a political vacuum. It is a prerequisite and a requirement for regional and local health establishments to carry out their activities in accordance with the guidelines adopted by the Stortinget. I believe that practices to date provide good points of view for this basic assumption to be fulfilled. I interpret the representative of Ballo to that he is concerned that the health service with the hospital reform is subject to weak political governance and control. I can assure Agent Ballo that that is not the case. The political responsibility is now clearly assigned to me as the responsible State Council. It's a responsibility I take very seriously, including the constitutional responsibility of the business model. That means that the central, overall decisions are subject to the treatment of the owner. Within this framework, it is essential to succeed in providing the local environment with the necessary space to perform its tasks. Small governance is not overarching political governance and should not be the pattern at this stage of health care development. Regional health enterprises are responsible for ensuring the necessary specialist health services for the population in the future. In order to ensure this in the longer term, enterprises need to meet their future needs, i.e.: meet the epidemiological, demographic and medical technological developments. It presupposes that regional health enterprises draw up strategic plans for the overall design of the service provision, operational conversions and structural measures in the region. In order to provide the Storting with the best possible basis for discussing the development of the specialist health service, I have set up a cooperation with regional health companies to make an annual report to the Ministry by regional health companies. I am aiming for this plan material to be included in the St.prp. No 1st@item: During the current month, the Ministry of Health will assess whether formalised documents from regional health establishments should be issued as part of this work, including what should be included in the status reporting. To me, this new planning and notification system is an important instrument for a comprehensive national and political governance of the specialist healthcare service and a long way from meeting the mandate of the representative of Ballo. I share the opinion of the representative of Ballo that the resources should be used in the best possible way. Thus, it is an objective that patient treatment should take place at the right level, with the proper use of available resources and competences. The availability and proximity of patients should be emphasised. This means that hospital treatment should be limited to cases where there is a need for hospital competence and infrastructure. Patients who can be treated at a second level, i.e. in the primary health service or in the specialist outside the hospital, care shall be taken outside the hospital. The so-called LEON principle is old and used, but should perhaps be followed up even more. Good use of resources and follow-up to developments and changes in healthcare often require conversion. There may be demanding processes, especially at the local level. It is important that local views and assessments are expressed and listened to, but special interests should not prevent transformation that provides good and holistic solutions for the benefit of society and users. Overall development has resulted in treatment and interventions traditionally linked to hospitals, to a greater extent than to date outside hospitals, either in the primary health service or at an intermediate level such as: in hospital, up-to-date nursing homes or so-called semi-interline services. We now have several measures under test, not least on the basis of initiatives taken by the representative, Mr Ballo, both as a representative for big business and in other contexts. I particularly mention dialysis and cancer treatment with cell poisons, because these two measures show how modern technology enables the specialised treatment to be decentralised with full support and monitoring from the leading specialists in a university hospital, many miles away. Such an approach is supported by the decision taken by the Stortinget just before Christmas, where the Government was asked to prepare for the transfer of the funding of sick transport from the Riksstrøgdeverket to regional health businesses. We will come back to this when we follow up the position of the Finance Committee, the Hagen Committee, to Stortinget. We must recognise that so far there have been no adapted arrangements in relation to the organisation and funding of so-called grey-zone patients, i.e. patients who need treatment at a level between hospital and primary health services. The current financing mechanism and the division of financial responsibilities may, in some cases, prevent rational processing solutions. As you know, we are now carrying out several attempts to gain experience, including as a contribution to the future funding mechanism. It is necessary, in particular because medical options change rapidly, and what was only possible yesterday in a hospital is also available outside hospitals, while introducing new forms of treatment. Technically, it is possible to cut the time that patients have to stay in the hospital, but patients also need time to recover, both after emergency incidents and planned interventions. It has not been given that this should happen exclusively in hospitals, but we need to ensure good offers also for such situations. For the time being, several such actions are being financed as interim solutions, until the issue of organisation and financing of operations is permanently clarified. I see the development of a district medical centre as an interesting perspective to ensure a specialist health service at the lowest effective level. The Finance Committee, the Hagen Committee, gave its position just before Christmas. The setting also addresses this question. The work of the committee will provide an important basis for the Ministry's proposal for a future financing scheme for the specialist health service. I fully agree with the premises outlined by the representative Ballo for the future design of the scheme. Then the representative of Ballo refers to an article in the Evening Post on 1 November last year based on a study at St. Olav's Hospital describing a development of the use of resources in hospitals that may indicate that costs have increased more than treatment capacity and that hospitals are engaged in ‘re-use’ of patients to increase their income. I have registered this claim and will make some comments. It is important to follow up and to ask whether the various health professionals can confirm that established procedures are good and cost-effective and that there is a development in line with the knowledge acquired. This has been followed up in my governance message to regional health businesses for 2003. The article claims that there have not been any more new patients, but that the number of hospital contacts and the number of checks per person. patients have increased. It is suggested that many of these contacts and controls are unnecessary and that hospitals ‘recirculate’ patients, and that there may be economic incentives to do so, including: the financing system. The same material was previously presented in the journal of the Norwegian Medical Association in February 2002. The conclusions were somewhat more reserved, and it was clarified that care should be taken to generalise the development of one hospital to the rest of the country. Sintef Unimed is now working on an independent re-analysis of the data on which those articles are based, and Sintef Unimed questions whether there is a basis for conclusions on the re-use of patients. It is important that the professional analyses are carried out with sufficient thoroughness, but it is equally important that there is sufficient urgency to identify measures to improve the use of resources in healthcare. There are many possible reasons why individual patients have multiple contacts with a hospital. This may include, inter alia: due to multiple preparatory contacts prior to insertion, altered organisation of treatment with multiple and shorter stays over one longer continuous stay, as part of the efficiency of operations and reduction of overcoatings and corridors. Early discharge may be defended if followed by more frequent outpatient checks. At the same time, the number of older people, in particular the group over 80, has increased. This group has a major need and consumption of hospital services. There may also be a lack of provision of primary health services or insufficient cooperation between first- and second-line services as a reason for many to be controlled in hospitals. However, with the development of the fixed medical system, I believe that it should be more limited. At the same time, we know that there are great differences between hospitals. It depends on several things, for example: undue number of outpatient controls, unnecessary follow-up checks, lack of transfer of patients to prescribers, etc. However, better monitoring is needed before safe conclusions are drawn. The Ministry of Health will take the initiative to monitor, on the basis of the differences, the extent to which ‘real’ patients are being treated in hospitals and the patients that can be followed up, in whole or in part, at a different level than in hospitals. The increase in the activity of the somatic hospitals we have seen in recent years has been weaker than the significant increase in hospital budgets. This development has now stopped and is about to turn around. There have also been large differences in cost levels between hospitals. This indicates that there is a significant potential for further efficiencies in the specialist healthcare service. It is one of the challenges of hospital reform. It is the government's clear ambition to increase the efficiency of specialist health services, so that you get healthier for each krona, while at the same time improving the quality of services. For this reason, we have put in place a prerequisite for significant pressure for efficiency improvement in 2003, a prerequisite to which the Storting agreed in the current year's budget. This means looking at both the structure and the implementation of the operating arrangements from different sides. This may lead to changes in patient provision. But I attach great importance to following up what has been said in the budget, that the overall patient offer should be a continuation of the high level we have in 2002. Regional health enterprises have been given greater autonomy in the exercise of overall management and governance by law on health enterprises and by the statutes. This applies both to the ownership function and to the responsibility within its own region. Although health care companies have been given a great deal of operational autonomy, I would like to refer to what I have said in this room earlier. Health enterprises are not exempted from health policy priorities. They are not exempted from the decisions taken by the Stortinget and, of course, from the budgetary requirements adopted by the Stortinget.
ParlaMint-NO_2003-01-09.ana.ud1137e741	I would like to thank the Minister of Health for his answer. I actually don't see it as a matter of fact that the Minister of Health is a counterparty here in relation to the ideas that I have outlined, but I think we are facing a development where there are important choices that must be made in the years that come, in terms of what kind of health care we want in Norway. And it's not a matter of course what kind of choice the different parties will make. One can choose to bet that the weight of healthcare is to be done through an increasingly specialised healthcare system, where we are to have very top-heavy professional environments, and where the costs will necessarily be very high as a consequence. In some areas, it is obvious that Norway will be both in the forefront and in the heavy professional environments. In some areas, the Storting has also decided that we should have it. For example, we've said something about stem cell research, and we're going to have good, heavy disciplines there, just like a majority election has done in relation to the Biotechnology Act. But – and that’s an important but – if we’re not concerned with the general disease spectrum in the population, how we get the best out of helping them, it means that a clean and isolated focus on very specialised disciplines makes us help less, because most disorders are, after all, I don’t want to use the word banal disorders, but it’s relatively simple suffering that can be remedied by relatively simple means. This means that you can do much to help the individual who lives with his or her relatives, and you can do it with a reasonable use of resources. That is why it has always been important for us — it has been important for me, and it has been important for SV — to strengthen the basis for healthcare, because it makes it much easier, even when we recognise that services should be further developed on that basis, to reach where it is to be more specialised. But it's like building a house – if you start with the roof and the walls and are not occupied with the ground wall, it goes wrong. What I'm registering, and which I'm happy to register, is that many of those thoughts also have the Minister of Health. I also register it with regard to the funding system in the hospitals. I think we should have what we've been talking about, which is an overall national health plan in some form. You can give it the concept of different content, or you can have different approaches to it, but I see the outlines that we're starting to put it in place when the Storting is presented to health companies' thoughts. The government will present it, as far as I understand, annually in connection with the state budget, and then part of it also begins to come into place. However, I would like to ask whether it should in some way be enshrined in the Health Enterprises Act itself. But we'll have an opportunity to come back to that. I would otherwise like to follow the rest of the debate here today with excitement.
ParlaMint-NO_2003-01-09.ana.ud1137e754	I agree with Mr Ballo that we are faced with important health policy choices, even though we also have some very important road choices that we now need to take the consequences of, follow up and give a real chance to work. I am, like the representative Ballo, concerned that there are forces in medical technology that allow treatments that previously had to be done in hospitals and by specialists to be done at a lower level. A popular example is the treatment of diabetes, which to some extent is decentralized to the individual patient. What's important is that we have a health service that also captures the decentralizing features of the subjects and subjects, and that opens up these possibilities. There is no objective of transporting as many patients as possible to as few central treatment institutions as possible. In fact, it is an objective to provide quality good treatment as close as possible to individual living, a treatment that is professionally sound and economically sound. I want it to be an important premise when we tackle the design of the funding system in the future. I have noted the Social and Health Directorate's report from last autumn on the development of a district medical centre as an important and exciting perspective that we will continue to work with. In conclusion, let me just touch on the issue of political governance. I think we need to live up to the notion that controlling the details of the operation and controlling the details in the way hospitals and services are conducted is good political governance. Good political governance is to take the overall road choices, and it is to follow up and make sure that it actually happens in practice as one has determined. It's also meeting the challenge that comes from the subjects. Too much of the health care management before the health reform and the hospital reform was introduced is marked by the fact that it is the subjects that have managed, and that it is the specialists that have happened to have in a hospital, which has been largely decisive for the activity pattern that the hospital has received. It is also not a desirable development, and it is also a challenge in relation to overall governance and priority.
ParlaMint-NO_2003-01-09.ana.ud1137e763	The interpellation is based on an article in the Evening Post where, among other things, it was claimed that the costs in our hospital have increased more than the treatment capacity. The interpellence also addresses the question of whether health businesses are actually implementing a health policy across what the Storting has adopted. Both of these issues are very central to the debate on health policy at all times. In a SINTEF report on medical interventions and activities presented, among others: in the Address Paper of 30 April 2001, it was found that the number of medical staff in somatic hospitals had increased by over 40 pst. from 1992 to 2000. At the same time, 10 pst had been treated. fewer patients, i.e. significantly fewer patients per year. play. One could talk about a fall in productivity. Of course, the causes are complex, including: increased specialisation, clearer working time agreements, more time for professional immersion, etc. There is therefore no basis for drawing such studies too far. We have implemented and launched a health reform that was just based on the fact that the health funds we grant should focus as much as possible on the treatment of patients, i.e. the most effective use of appropriations for health purposes. And the reform helped improve the quality of specialist healthcare and decision-making as close as possible to employees and patients. Statistics for treated patients show that much of the activity is due to patients admitted to control. It may be possible to ask whether all these checks are strictly medically justified. Otherwise, I would like to stress that health professionals should follow closely the lead of the Storting, whether in the field of psychiatry, food supply or treatment, which should be carried out in close interaction with primary health services, etc. It is not that any health company can sabotage the will of the Storting or the Government. It is therefore necessary that the Minister of Health at all times follow closely the dispositions of health businesses and intervene whose prerequisites are broken. I am very pleased with the assurances given by the Council of State and with the practices that I have so far seen in this area. Our new system for the organisation of hospitals and the other specialist health services gives great powers to health companies, but within the framework of the Stortinge constantly withdraws. I'm going to end up talking about the lines that the Council of State put in its contribution drew up in relation to financing decentralised health services, which the interpellant also had in mind in its contribution.
ParlaMint-NO_2003-01-09.ana.ud1137e778	I expect this is a debate that the President appreciates to follow. There's a very interesting debate this interpellation is drawing up. We now have one year of experience with state ownership of hospitals. With the experience we have had during this year, I am very pleased with the answer given by the Minister of Health, among others. with regard to the further development and improvement of reporting back to the Storting. The companies have a great responsibility, and they must also have great freedom. If not, the management system will not come up. Of course, health businesses are not exempt from health policy priorities and not least from the annual budgetary guidelines. The transparency that businesses seek also means that models and proposals are aired with the outside world, without necessarily becoming final decisions. This is positive. But we also need to see the question in the light of the management system that we have adopted just a little over a year ago. Before that, the county councils were hospital owners. This meant that 19 independent health policy guidelines were developed at county level, while coordination was at regional level, and the government gave its leadership. Now, political responsibility is located in one place – at the Council of State. I believe that this means that over time, citizens will receive a more equivalent health provision and will be significantly more assured that health policy priorities are in place. But, in my view, the representative Ballo's question opens up two new basic issues: where does the boundary between what businesses should be able to decide, and when should the Government and the Government be involved? And what is the scope of enterprise if the Storting adopts objectives and priorities that do not rise financially, or even worse: goes beyond other decisions taken by the same bodies? Those questions we have to answer ourselves. To the first question, where the decision-making authority of the undertakings is at its limit, it is most close to referring to the leaders on the basis of which the law is based. I would like to refer to the comments made by the majority on Section 16 of the Health Business Act. Here it says that the majority ‘have taken note of the fact that the State exercises its ownership control at the business meeting. This means that regional undertakings work under the authority of their owners in the current operation and thus have a high level of responsibility and significant authority.’» When looking further at the criteria for the issues to be dealt with by the business meeting, the same majority presents the example of hospital closure. It implies that the Government has initially placed the list high on which matters are to be brought before the Enterprise Meeting. This brings us directly to question No. 2: What happens when the Biggest Guide doesn't go up financially, or is it cracking? In my opinion, the answer is that this is a development that we are responsible for not happening. We have chosen to organise the companies in the way we have done, just to avoid hospitals being run through the Stortinges Question Time. Therefore, this is a good opportunity to ask ourselves the question: Have we managed to keep to this goal?
ParlaMint-NO_2003-01-09.ana.ud1137e800	It is both positive and right that the members of the Social Committee closely monitor the implementation of the hospital reform and ensure that national health policy priorities are followed up by corporate governance. However, both I and my party are particularly concerned about the economic situation in which businesses have come into, as we have recorded a significant operating deficit for 2002, a deficit that will only accelerate in 2003, with the consequences that it may have for patient treatment in the current year of operation. In this context, I refer you to the proposal made by the Progress Party in December in Stortinget, where the party proposed an additional budget of EUR 2 billion in 2002 to cover the operating deficit of health businesses in 2002. Unfortunately, this proposal did not receive a majority. Nor did the party represented by the interpellant support this proposal. I do not share the interpellant’s claim that hospitals are engaged in ‘re-use’ of patients to increase their income. I am also sceptical about the article in the Evening Post of 1 November 2002 that criticises the use of the resources of hospitals in relation to the follow-up of formerly admitted patients. It is true that to some extent hospitals follow up complicated cases after very short hospitalisations in order to provide patients with safety and good professional follow-up, which cannot always be done by primary health services. On the other hand, I agree with the inter-pellant that enterprises should use the total treatment capacity, that private specialists should be used much more, and that cell poisoning and dialysis treatment outside hospitals should be used more widely. Here I believe that the Minister of Health, as a general meeting of the Boards of Directors, must be able to influence in the right direction. A problem that health businesses have and will only strengthen in the future is the difficulty of having pre-treated patients outsourced at the hospital level for proper continued treatment and care in the primary municipalities. We still have a significant shortage of hospitals and rehabilitation facilities in the municipalities, and this is an area that needs to be given greater attention by the social committee in the time to come. In the opinion of the Progress Party, it should now be seriously assessed whether the primary health service should also become a State responsibility. I think it would provide a larger whole in the treatment chain and a more effective use of the total capacity on both the treatment side and the rehabilitation side. Finally, I would like to point out that hospitals are now operating according to a business model, where corporate governance thus has a great deal of freedom to organise and manage operations, with full responsibility for facilitating a fair distribution of health services to benefit all Norwegian citizens. It is then important that we do not receive a detailed management from Stortinget, as we did with county operational responsibility.
ParlaMint-NO_2003-01-09.ana.ud1137e815	The Christian People's Party will give tribute to the representative Olav Gunnar Ballo, who in his interpellation asks questions as to whether the increased appropriations for our hospitals have led to a corresponding increase in treatment capacity for the benefit of patients. He also refers to an article in the Evening Post on 1 November 2002 claiming that hospitals are calling for more hospital checks than is strictly necessary. This ‘re-use’ of patients provides increased revenues, while the number of treatment for new patients has declined. I can't vouch for this claim. But for the Christian People's Party, it is an important objective that patients are treated at the right level, so that they take advantage of competence and resources in an efficient and good way. I believe that many patients feel safe to have a back check on the hospital they have been hospitalized before. At the same time, most people have a fixture that can follow up properly. All healthcare companies are developing good IT systems that, in networks with primary health services, can ensure that epicrisis and patient information are rapidly derived from healthcare businesses. The Christian People's Party believes that there is a clear need for the permanent doctors or specialists outside the hospital to have a good follow-up and follow-up of patients, so that hospitals can treat new patients and thereby reduce waiting lists. Like SV, the Christian People's Party has been concerned that it is the specialist healthcare service that needs high knowledge of technology and treatment methods. At the same time, we see a new development, where higher education capacities and competences allow more and more people to be treated at a lower level. More and more people are being treated outside the hospital, what we call the one-way service. The Christian People's Party has great faith in a rustling up nursing homes and creating hospitals. We support the opportunities offered by telemedicine and the decentralisation of healthcare. These include: the possibility to provide dialysis and non-hospital carcinogenicity therapy. It is important that we find good financial instruments that continue to stimulate this. The interpellant is concerned whether health businesses are pursuing health policies across national guides and decisions. It is reassuring that the Minister of Health assures us that the health reform is under political control. If we are to succeed further, it is important that the Storting does not control the companies in detail by considering individual cases and individual enterprises in each and every Question Time, but instead gives a steering signal in relation to the annual messages. It seems logical that these should be included in the annual budgetary procedure.
