ParlaMint-NO_2003-06-17.ana.ud1698e76	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-06-17.ana.ud1698e517	It's going to be line change.
ParlaMint-NO_2003-06-17.ana.ud1698e520	Export subsidies are the result of overproduction within a country. And then there's subsidies to get the products out of the market, so that the country's output doesn't collapse completely. This with market regulation is something that Norwegian farmers have been very good at taking care of in Norway. Norwegian farmers are good at market regulation. It's actually cost us a little. But what is the alternative to export subsidias? It is an agricultural sector that is less industrialised and less dependent on free trade and the market. Is the Progress Party willing to participate in the agricultural reform, so that it is more based on employment rather than overproduction?
ParlaMint-NO_2003-06-17.ana.ud1698e527	It is with interest you record that SV stands as a hot defender of just export subsidies. I thought it was something we could very much agree on was a udder and should be liquidated. I do not share the premise in Jacobsen's reasoning. The world is not such that you have to choose that way. Of course, we want a completely different form of agricultural policy, where subsidies are phased out to a much greater extent and the industry is given the freedom it deserves. This means a change in Norwegian agricultural production – of course we realize it – with much greater use and fewer active farmers. We hope for the same area and that the result of food production can be maintained. But the concept of export subsidies in my world is not something we should be familiar with to support. If there is something that the developing countries really put their finger on, and that is a problem they agree on, it is precisely that export subsidies are a bad thing.
ParlaMint-NO_2003-06-17.ana.ud1698e536	The Progress Party wishes to see world trade as free as possible. We have seen that a freer world trade has rightly led a good many people out of poverty, but it is also a fact that the poorest have become poorer in the rich part of the world, and also that the poorest in the poor part of the world have become poorer. But the Progress Party wants a freest world trade in spite of this. Nor is the Progress Party a champion of aid to get out of poverty. My question will then be: Does the Progress Party believe that it is absolutely curative that the poor of the world become poorer, or, in fact, despite all the experience that one has, that a freest possible world trade is what would get the poorest out of poverty?
ParlaMint-NO_2003-06-17.ana.ud1698e543	Now we're fighting for a freer world trade to get results. We are not there today that we have the free world trade that the representative says. At the same time, I feel that the reasoning drawn out here is completely wrong. After opening up in China, 300 million Chinese people are lifted out of poverty. The countries that have opened their trade, which have deregulated, introduced democracy, respect for human rights, are generally richer and have a population that is less poor than countries that have not. These are also the facts of what we're discussing here, so the premise of the question is ripping crazy. That is why the fight against poverty will also be the fight for freer world trade. All historical research shows that this is the reality.
ParlaMint-NO_2003-06-17.ana.ud1698e552	The representative, Højlund, is very confident in his review of the results of international research. Many might claim that China during the years of building up its prosperity was a country that practiced a much less open economy than the WTO recommends today. That's not what I really wanted to talk about. The Progress Party is a party that has shown an increasing willingness to protect both Norwegian business and to some extent to subsidise Norwegian business when the party believes it is necessary. However, the agricultural industry is clearly excluded from this new policy and must be exposed as much as possible to free competition on the world market. I have to assume that the alternative of the representative, Höglund, is that Norway should buy the most of its food on the world market, and that this prescription must also apply to other countries that are in the situation of having an agricultural product that is not competitive. How, then, will Høglund ensure a stable food supply for the entire world population, if agriculture is to be reduced and abolished in all those countries that are not able to compete on the world market today?
ParlaMint-NO_2003-06-17.ana.ud1698e561	I don't think the representative Bjørlo Lysbakken and I disagree very much about the description of China. So to the Progress Party and Subsidies: at least we've never gone so far that we've asked Norway to fight in the WTO to get an impact on strange subsidies. Subsidies are also not an important component of the Progress Party's policy in this area. I'm sorry, President, but I missed the last one. I think I'll get back to that.
ParlaMint-NO_2003-06-17.ana.ud1698e570	The cord shift is over.
ParlaMint-NO_2003-06-17.ana.ud1698e573	It is easy to agree with the Foreign Minister’s opening of the distribution process that a trading system contributes to ‘growth, stability and sustainable development’. It is even called that there should be ‘the instrument against arbitrariness, protectionism and the right of the strongest’ in world trade. This is a wrap around in the introduction, which is very easy for SV to agree on. But what's in this? That's what's kind of exciting, because we look at the situation in relation to free trade, we see that Norwegian jobs are threatened, precisely because it's quite possible to bring Norwegian raw materials from the Norwegian coast to China and bring them back and sell them on the European market, precisely because we have so low energy prices. The most important basis for free trade that the largest liberalists want is that the energy price is so low. That's what makes it possible to run so much free trade, and then it's maybe the environment that suffers the most. Now, if we move to China, as the Fischerbladt has done, we will see that the situation there is such that the Fischerbladt describes the Chinese industry as pure slavery. Then we talk about wages of 4-5 kroner a day, we talk about seven working days a week, twelve hours a day and working standards that we would never have stood by in Norway. Free trade is not allowed only. We see that there is almost no work force left in Norway, because we move out of work by job. Drag around and talk to business consultants in Norwegian municipalities. They list a lot of projects where they did not get support from SND. In most cases, they may say that they can add one argument, that it was not wrong, but the wrong country the application was sent. If he had been sent from another country, they had received support via SND. It is also a form of subsidisation. It is clear that Norway has used this as an active part of its industrial policy. This government is currently using this to remove workspaces. If we look at this with export subsidiaries, which have been discussed earlier today, it is clear that they should be removed as far as possible. But then we have to remove the cause, which is, of course, overproduction. Then we have to start producing food in a more efficient way – I'm not going to use the word organic. I have asked the Minister for Agriculture several questions: Those who have animals in Norway, are they allowed to graze? It's actually like this in Norway today that it's not always the ones that have animals that have grazing rights. This government is more busy providing large leisure properties to some people than giving animals, grazing rights, so that we could exploit the natural resources that exist in Norway. We not only have a right to drive the country, we also have a duty to exploit this country. That obligation is to carry on an inheritance that we have been given by previous generations, but also to convert agriculture so that we use the resources that we have, and not necessarily produce on imported power feed, on fertilizers that are created in a very energy-intensive way. This policy is still waiting for the Government to be able to achieve at national level. When we have made Norway a country where farmers tend to be quite good – as they do today, but they are threatened – and production is at a reasonable level, we can let go and tell who we want to deal with. However, each country needs a fundamental opportunity to protect its own production, whether it is to provide food to its population or it is based on the obligation to take care of the natural resources that lie there. These are good value conservative words – protectionism, protection. At least there shouldn't be anything new for value conservatives. These are things we have with us as part of the basis of our policy. For example, let's go. to countries in the south, such as El Salvador, which I visited in winter, have almost all of the batches in the program, in fact quite far up, a small point called the ‘stoppage of the calf good’. I'm not going to use the word calf-good, but powder milk. It is not only in the form of export subsidiaries that are sent out overproduction from their own market, but milk can be sent around the world as powdered milk. This is what Salvadoran politicians see. There will be nothing left for those who will try to run a small milk production in El Salvador. This is nothing new. This is something that farmers all over the world experience. At the same time, we see that there is a correlation between what Norwegian industrial workers experience, who are threatened to lose their jobs, and what industrial workers experience in the world. This context is more important than a push for WTO negotiations so quickly that these so-called irreversible changes begin. What, then, should the Foreign Minister make recommendations on what Norway should do at the WTO Ministerial Meeting in Cancún, Mexico, to the House? First of all, the experience that we have had before today that free trade is home to the development of the poorest countries. It is now beginning to be reasonably well documented that pure free trade — the release and opening of a country — creates more poverty. Nor should we be concerned, with the great amount of aid available to us, that, in some cases, we may in fact be at risk of our assistance agreeing to remedy the consequences of increased free trade. It's quite well documented from a number of sources that most countries achieve growth by releasing as they are able, and as they have built up a little industry, just like we've done in Norway. Telenor is now able to be out in the whole world market, but it was Norway that built the Telewerk for many years. This spiral of development must also enable other countries, not least those in the south, to pass through. The WTO Agreement is based almost on the principle that it is easier to obtain concessions than to allow. Processes are run and decisions are taken without any particular participation from most people in the different countries. Here, Norway should demand that flexibility be possible – the possibility of undoing must be present in the agreement, both for future generations and for individual countries. There is nothing more undemocratic than things that are irreversible. We're going to have to remember that it's different starting points for the different countries to go into this. We know that some countries in the south may not even be able to afford to have negotiators or experts present. In Norway, we have resources of thousands, while many other countries may not even be able to send more than three–four consultants to be able to follow the negotiations at all. We cannot push this through at the pace of negotiations. The Cancún meeting must give countries in the south and governments where political space for action to shape a policy that can lead them out of poverty. We should give them time to do that. As soon as the extension of the agenda and what the WTO will include is now happening, they will not have time to change. That's why it's time to evaluate and think about, more than to rush ahead with increased free trade. When we discuss assistance here in the house, it goes on civil society and on popular rule, and we try as best we can to look for good things that we can be with and support about. We're also going to do that in the commercial field. We must not make trade agreements like those that come after us will condemn as a poor global regime, to which Norway has been associated.
ParlaMint-NO_2003-06-17.ana.ud1698e594	It's going to be line change.
ParlaMint-NO_2003-06-17.ana.ud1698e597	In this reply I will also try to answer that question from the representative Bjørlo Lysbakken who failed for me instead. Does SV not agree that all countries cannot produce everything? The whole idea of commerce seems to have disappeared for SV. Obviously, based on a socialist, plan-economic idea, it might make sense. But it is true that the colonial nations, after being freed from e.g.. United Kingdom, started producing all kinds of goods. They borrowed and got debt in a lot, instead of importing what they couldn't easily produce themselves. They did not get exported either, because trade barriers stopped it. Isn't it an advantage that we focus on what we're good at, and let others produce what they're good at? This way, we can all profit from it, and the world can become a better place to live. That's part of the basis for growth.
ParlaMint-NO_2003-06-17.ana.ud1698e607	Trade is positive, trade gives growth – no doubt about it! It's always like that. In addition, trade provides a great deal of personal, cultural, etc. But take one, for example. A field where we're big, where we're giants, simple fish, it's clear that one of the problems is market access. But the biggest problem within the fishing industry now is perhaps overproduction. They're partially subsidized, too, but we're not going to take the long story. In fact, the main challenge for Norwegian fishing and the Norwegian fishing industry is to achieve more further processing. It is clear that Norway will be the supplier of the world's best food from our large seas, and it is clear that we are totally dependent on someone wanting to buy it, and we are going to buy other goods back. If I have expressed myself as if we were against trade, it was not at all meant. But it is clear that trade should also be regulated. We can't let the market do that. Trade is too important to be left to the free market.
ParlaMint-NO_2003-06-17.ana.ud1698e614	The representative Jacobsen is a hot defender of protectionism, at least it appeared this way in his posts. That article was very little like the posts I have heard from very many representatives from developing countries. It is now the case that some of these developing countries are calling for security clauses in a freer trade in food. However, a large majority are very concerned that they need to have better access to the markets of the rich countries. Is it the case that SV believes that developing countries do not understand their own best in this matter and that SV understands much better what the developing countries are doing? Is there at all any element of Norwegian agricultural policy, as SV sees it, that could be unfortunate for developing countries, or does developing countries take completely wrong points by point when criticising aspects of our agricultural policy?
ParlaMint-NO_2003-06-17.ana.ud1698e621	Biff from Botswana or roses from Kenya – I could have made the list very long – really has nothing to do with the Norwegian market. The big problem is to trade between countries in the south, it is the trade that will develop so slowly and so carefully that it will actually generate growth in the south. But I absolutely accept what the eye says: do we have such a high pedestal in SV that we even know better than the developing countries themselves what is their best? I'm aware of that is a challenge, but I think that in the long term, the U-country will be aware that in the north we will also maintain an agricultural production that is built on the natural resources we have, precisely to preserve our society, precisely in terms of the multifunctional part of agriculture. It is clear that they will eventually be able to expand it even more, and of course, where it is natural, to also participate in the world market with their cash crops, but it must be in such a way that income actually goes back to people living in the country. In many cases, it is a foreign company...
ParlaMint-NO_2003-06-17.ana.ud1698e626	Time's up.
ParlaMint-NO_2003-06-17.ana.ud1698e629	How strict the President is!
ParlaMint-NO_2003-06-17.ana.ud1698e634	The posts of the representative Jacobsen reflected a very skeptical view of free trade, market economy and freer market access. However, as the representative is probably aware, Norway is an exporting country, and not least many of the jobs in the representative’s own home country, More and Romesdal, are directly dependent on better market access. In which business areas, if any, does SV consider Norway to have offensive interests? And does the representative not see that there must be reciprocity in an international trading system? If we demand access to our fish on international markets, we must also accept that other countries require access to our markets.
ParlaMint-NO_2003-06-17.ana.ud1698e641	I thought in my judgements when it comes to the market economy, I have also drawn up a good deal of good, old conservative virtues that are absolutely worth caring for and that contain a lot of propriety. Because that's really what it's all about. We're not going to make arrangements now to tie up the poor countries year after year. So where do we have offensive interests? We have it, of course, when it comes to furniture, fish and aluminium – we have it when it comes to all the important export industries that we have in More and Romesdal. It is clear that we should also work for them, but there should be a framework within which other countries can also get up. I must say that we do not have a problem with market access e.g. in More and Romesdal. The problem is that we have a government that so far has not done anything with interest or with the exchange rate. This room has simply sent the political opportunity we had to run the interest rate, down to Norway Bank. That has our problem for Mr More and Mr Romsdal.
ParlaMint-NO_2003-06-17.ana.ud1698e650	The cord shift is over.
ParlaMint-NO_2003-06-17.ana.ud1698e653	I thank the Minister for a good and thorough presentation on the World Trade Organisation, the WTO. The statement shows that the Cancún Ministerial Conference will be more important and comprehensive than it had been planned in advance. The themes and areas of negotiation are many and difficult, and it is therefore positive that the Stortinget should be given the opportunity to discuss the issues in advance. In an increasingly globalized world, world trade affects us all. In order for globalisation and world trade to provide opportunities for all, we need rules of play to ensure that everyone is able to share in the good and that well-being is fairly distributed. The WTO has a binding international law regulation, a dispute resolution system and a forum for negotiations between actors. This ensures more committed, predictable and fair international economic cooperation. The Christian People’s Party therefore agrees with the Minister for Foreign Affairs that Norway should not withdraw from the WTO, although there may be negotiated results that do not always provide the best possible outcome for Norway and Norwegian companies. The Christian People's Party has no excessive belief in the free market forces. We believe that the economic forces must be kept in check, and that a globalized world without driving rules will only serve the strongest. No, what we need is better management of international trade. The international financial institutions and the global market must operate in the best possible and fairest possible way. The Christian People's Party does not see international trade as an automatic threat to development, jobs or the environment. International trade is important for Norway and the Norwegian industry. Increasing and fairer world trade also has the potential to improve the economic situation of developing countries. Looking at income, trade has a much better potential for developing countries than just aid and debt. I would like to mention to Bjørn Jacobsen that President Museveni of Uganda himself has said that Africa needs development aid as much as debt to be settled from the painful debt burden. But with help and debt relief, one only reaches one step on the way. What Africa is asking for are opportunities to compete and to sell goods in Western markets. Museveni sums it up this way: we want to trade out of poverty. The fact that trade can play a positive role in development does not mean that all developing countries should automatically open up their markets to international competition and free trade. The international trade regime must be asymmetric with special arrangements for developing countries, in particular the least developed ones. Experience has shown that there are good reasons for allowing developing countries to benefit differently from the protection of their domestic markets. The development of world trade since 1945 shows that a free global market can fail the poorest and that total free trade rarely brings the desired outcome. It is more often that developing countries that have successfully expanded their economies are those who have been prepared to provide their own industry with protection while achieving strength and giving society enough time to develop varied products. With such a transitional phase, they can create strong industries and businesses that can compete on a level playing field in the global market, without the need to continue protecting their own industry. Taiwan and South Korea are good illustrations of this. They built their international trade on a foundation of national subsidies and strong investment in infrastructure and skills, while protecting themselves against competition from foreign companies. The international trade regime should therefore give developing countries market access and be more transparent to differentiated products, in particular in textiles, raw materials and agriculture. At the same time, in a transitional phase, developing countries need sufficient political conditions and flexibility to create their own industry and institutions. The World Bank has calculated that reforming international trade rules could bring 300 million people out of poverty. We need reform, because the rules of international trade today go against the interests of the poorest countries. It is also important to point out that trade affects social development by contributing to economic growth but that there is no automatic link between economic growth and social development. Should a few be needed, social investment and good governance. International trade challenges us because it has a major impact on national policies, for example: agricultural policy. In this way, our wishes for national priorities may conflict with the needs of many developing countries. As the Minister for Foreign Affairs said in his statement, agriculture will be one of the most difficult areas in the Cancún negotiations. The challenge here is to improve market access for countries dependent on exports of agricultural products, while less competitive countries still need to protect their own agricultural production with support and customs protection. As far as market access is concerned, it is primarily the United States, the EU and Japan that require lower rates of duty. For Norway, maintaining high levels of customs duties is central to maintaining a viable agricultural sector. With its development policy, Norway is helping to promote development in the poorest countries, but if we are to succeed in achieving the UN’s Millennium Goals, our national policies also need to be changed. The proposal by the President of the WTO agricultural negotiations is a major deviation from the Norwegian position and could have dramatic consequences for Norwegian agriculture if adopted. At the same time, these are areas that are at the heart of the poorest countries. The proposal takes a great deal of account of the demands of developing countries because it is decided that this round of negotiations should have this focus. I am convinced that farmers, like most others in Norway, are prepared to contribute to helping the poorest countries. However, there is a question of doing the best by destroying Norwegian agriculture, or of combining the considerations. It should be possible to combine both sides. We have an agriculture that we are proud of and that helps to maintain hundreds of living communities. These will fight the Christian People's Party to protect. At the same time, we must be so realistic that we see that there will have to be major changes in agriculture. Agriculture will meet a tougher economy and tougher demands through international negotiations in the future. It is therefore important that we pursue a policy adapted to this new era. The Christian People's Party wants a more effective structurally adapted agricultural policy along with modernisation and renewal for each farm. We must also remember that developing countries are not a uniform group. The developing countries want better access to their markets, but have different views on whether this should be done through general tariff reductions or through customs preferences. The poorest countries serve to ensure that there are high rates of customs duty in other countries, because one can then give preference to these countries. This enables them to export their goods without being competitive in relation to other large producers. It is not that Norway automatically increases imports from the poorest countries only the rates of customs duty disappear. More will then be imported from the EU, the United States, Argentina and New Zealand. It's a cross of thought that it's just 0.5 pst. of a total agricultural product import into Norway of DKK 18 billion coming from the poorest developing countries. If we are serious about our desire to promote development for the poorest, our imports from these must increase where practicable. Such imports must be developed at the same time as one develops the resources for production and infrastructure in each country. Here, aid will play a central role. The TRIPS Agreement protects, inter alia: patents, trade marks and copyrights against use or copying without authorisation. It is a central point in terms of trade, but developing countries have long believed that patents and intellectual property rights do not lead to poverty reduction and development because they distort competition in favour of large and established enterprises. Especially in relation to the AIDS epidemic, it has become clear that many pharmaceutical companies have not marketed patented medicinal products in the poorest countries or have set the price so high that people cannot afford them. The Doha Declaration states that the TRIPS Agreement is neither a barrier nor a barrier to addressing national public health problems. On the other hand, there is disagreement as to which countries should benefit from the scheme and which diseases should be covered by the scheme. It's only the United States that has not accepted the proposal that was submitted last December. The Christian People's Party asks the Government to continue its active commitment to finding a solution to this matter, since this has consequences for the world's poorest. Services exceed 60 pst. of the world's gross domestic product and is the fastest growing part of the world economy. Service negotiations are therefore an important part of the round of negotiations. GATS covers trade in services traded commercially. Public services are not covered by the GATS, and privatisation and outsourcing are therefore not a topic of negotiation. Members decide which obligations they intend to assume. The requirements and proposals put forward by Norway relate mainly to maritime services, energy services and telecommunications. Also in the case of fish and fish products, Norway has clear offensive interests. It is absolutely central to Norwegian enterprises and jobs that we get better market access, more transparency and more predictability. I am sure the government will work hard in the negotiations for our Norwegian companies. This does not mean that the needs of developing countries will be forgotten. It may seem that this is what SV believes, when the party has repeatedly criticised the government for promoting claims towards developing countries in the GATS negotiations. It is important to remember that most of the requirements are addressed to industrialised countries. Secondly, the Government has chosen to make proposals to the poorest countries precisely to ensure that these countries are included in the bilateral negotiation process. Nor are the proposals for developing countries formulated in the same way as for non-countries. Norway invites cooperation and contacts in the areas of negotiation proposed. Developing countries themselves have pointed out that one of the main problems is that they are not guaranteed real participation in the multilateral trading system. That's exactly what the government is trying to secure. Finally, I should like to mention a very central area in the negotiations. At the UN Summit in Johannesburg on Sustainable Development, Norway, together with Switzerland and Ethiopia, won the battle to prevent WTO rules from being overarching international environmental agreements. It is important that Norway now follows up this important environmental winner in the ongoing negotiations.
ParlaMint-NO_2003-06-17.ana.ud1698e685	It's going to be line change.
ParlaMint-NO_2003-06-17.ana.ud1698e688	The representative Rise's posts were a bit to everyone, it was trade defence and it was defence for other areas. So many could feel at home there. But I would like to address some of the wordings of the representative Rise. He said that total free trade will take care of only the interests of the rich, and that total free trade has rarely succeeded. Does the representative Rise have any examples to give when he can refer to this? Very well known the world has not been blessed with very great degree of total free trade. I would like to challenge the representative Rise whether it is not the current system of protectionism in the agricultural sector that takes care of the interests of the rich, and that is what we have to do. The fault lies in how we have organized ourselves today, which has been no blessing, and so free trade has not been tried.
ParlaMint-NO_2003-06-17.ana.ud1698e698	The representative, Høglund, addresses a very important issue when he mentions the problems in today's system. That's also what I referred to in my post, that there are many problems in today's system, and that it is what makes a reform of today's system necessary. Global trade is not an end in itself, but only one of several means of achieving better development. And if the existing trade regime doesn't contribute to this today, we have to change it, don't distance ourselves from it. I think we are on the right track when we have now heard the Foreign Minister's statement and the main priorities that Norway sets. Then I think we will have a better development for the poor countries.
ParlaMint-NO_2003-06-17.ana.ud1698e705	I find it alarming that a representative of the government parties once again says in this Chamber that the GATS agreement does not apply to public services, when the actual wording of the GATS legislation is that public services are exempt if the services are not also offered on a commercial basis. And there's almost no service that's not going to be. This is a matter of great uncertainty, and it is clear that the government parties have still not moved in and entered more thoroughly. And that worries me. The representative Rise is now on the board of the Government's signal to provide a blank mandate for Norway to support a new broad round of negotiations in the WTO. This means that the WTO will be expanded to cover a number of new areas, including: will be negotiating a global investment agreement in line with the MAI draft, which was rejected at the end of the 1990s, and which many were sceptical until then. I also think the Christian People's Party was skeptical about that at the time. I would like to know why the Christian People's Party is now in favour of negotiating an international investment agreement.
ParlaMint-NO_2003-06-17.ana.ud1698e712	In fact, in the Norwegian system, it is the government that negotiates. Representatives Audun Bjørlo Lysbakken and Bjørn Jacobsen have now proposed that the Stortinget interfere with these negotiations and ask for Norway's requests and demands for developing countries to liberalise trade in services. We see that the current negotiations are the full responsibility of the Government. It's completely unnatural that the Storting mixes up in this at all.
ParlaMint-NO_2003-06-17.ana.ud1698e719	I almost have to ask my question one more time, because that's not what I asked. I did not ask Lars Rise to go in to withdraw some negotiation play from Norway. What we are talking about here is Norway's starting point before the negotiations on a new round in the WTO have begun, where the government parties are going to decide what Norway is going to do in order for the WTO negotiations to actually take place in the future. Then it must be relevant to ask whether the Christian People's Party has changed its mind in relation to the issue of an investment agreement, and whether there is any Christian People's Party now believes it should be negotiated.
ParlaMint-NO_2003-06-17.ana.ud1698e726	As the representative Bjørlo Lysbakken knows, there are so many different bilateral agreements that it is time for a comprehensive multilateral agreement to be established. That's why the Christian People's Party supports the process we're now in, even though we've expressed scepticism in the past. We don't look at expressing scepticism as legally binding.
ParlaMint-NO_2003-06-17.ana.ud1698e731	The cord shift is over.
ParlaMint-NO_2003-06-17.ana.ud1698e734	I would also like to thank the Minister for Foreign Affairs for the presentation. International trade can be used both to increase global well-being and to increase poverty. International trade can help both to mitigate and to increase differences, to improve the environment or to destroy it, to raise or reduce ethical standards. International trade can contribute to the maintenance of living small communities and cultural landscapes, and it can destroy small communities and break down the cultural landscape. The design of trade legislation is essential. That is why the current WTO negotiations are very important. Too many see freest world trade as a goal in itself. In our home spirit, we disagree on the blessing of free trade and how far free trade is going to go. The central party believes that the government is going too far in the liberalist direction, but if this is the case, we have a maritime opportunity to have a political debate. However, in an international context, the problem is that a number of developing countries do not have administrative capacity or competence either to hold an internal debate or much less to participate in the comprehensive international processes around and in the WTO negotiations. It is therefore very important that negotiations be conducted with respect for the capacity problems facing developing countries and that the objections raised by developing countries be extremely sensitive. From this point of view, I am very surprised that the Foreign Minister's statement states that the Doha ministerial meeting concluded that there should be negotiations in a number of sectors in addition to agriculture and services. This testifies to a lack of respect for the Doha decision. There was no explicit consensus in Doha, which is required for negotiations to start. I must therefore ask the Minister for Foreign Affairs how he interprets the President's understanding, which was expressed after the end of Doha, and which made possible a result at the Doha meeting. The centre party expects Norway to contribute to a high level of ethical standards in the negotiation process. This includes, inter alia: explicit consensus. The Central Party also expects the Government, in respect of developing countries, to contribute as much as possible to avoiding negotiations between a few countries in enclosed spaces, to working consistently to maximise transparency, and to a resolutely condemning the threat of reprisals by rich countries against developing countries if they do not agree with the views of their respective countries. In the case of Norwegian positions in the negotiations, the view of the Centre is that new themes, i.e. themes other than agriculture and services, have to be postponed or postponed. The WTO agenda should not be extended, mainly for two reasons: firstly, the lack of capacity of the first developing countries, as I have already mentioned, and secondly, there has been no evaluation of the effects of agreements already adopted, effects on global distribution, the environment, health, social standards, etc. As regards agriculture, the Government has put in positions that will have a significant impact on Norwegian agriculture. Now it is essential that the Government maintains those positions and does not give in to the negotiations. If the outcome of the negotiations were to be close to the proposal that is now on the WTO table, it would mean that Norwegian agriculture, as we know it, would disappear. Not only will we lose the opportunity to produce safe, high-quality food in Norway, but we will also lose an important tool for caring for living communities and the cultural landscape of which many of us are proud. A poor WTO agreement will lead to the loss of tens of thousands of jobs, seafaring in agriculture, but also in the food and tourism industries. At a time of increasing unemployment in Norway, this is less of all we need. The proposal on the WTO table is very problematic for far more countries than Norway. Countries with high costs and difficult climate and topography face problems in maintaining their own food production. The proposal does not take into account countries with a low degree of maritime supply and already heavily dependent on imports. It is worth noting that the vast majority of the world's poorest countries are net importers of food. Existing WTO proposals serve unilaterally the large agricultural exporting countries with industrial production. Taps are countries that produce small scale and environmentally friendly. The Foreign Minister’s statement gives the impression that there is a conflict between maintaining a sound Norwegian agriculture and contributing to international solidarity. This is one of the misunderstandings that have to be refuted. The WTO proposal is not a handshake for the world's poor. Food is not a traditional commodity. Food, on the other hand, is a human right, and every country is responsible for feeding its own people. There is, as is known, no Norwegian farmers have found it, it was mentioned in the final documents of the World Food Summit. Dependence on the world food market is a problem as long as purchasing power is dramatically different. We in the rich part of the world will simply be able to buy food out of the mouth of the poor kids of the world. We can't have it like that. As long as countries assume that they are to feed their own population as far as possible, trade beyond this is entirely unproblematic. And we're going to act. That's the condition for the deal that's the question. It is also worth noting that no country has escaped poverty with a unilateral focus on food exports. Countries specialising in food exports will also specialize in poverty. That cannot be what we want. The centre party acknowledges that the ongoing negotiations on agriculture are very demanding. If Norway is to be able to move positions in our direction, extensive work must be done on alliance construction. Very many countries agree that multi-functional agriculture should be taken care of, but the counter-resistances are strong. If Norway had the power to make changes, full pressure had to be put behind it. And the Central Party feels some concern that the Minister for Foreign Affairs is using the WTO negotiations as a break in order to achieve its objectives in terms of agricultural policy, which are enshrined in the Right Programme, and which we have been faced with in the past. I have to say that I was not particularly reassured after hearing the representative of Vallersnes, who made it clear that the positions Norway has now entered into in the negotiations are to be seen as starting positions, and that the Right has greater ambitions for greater liberalisation also in the case of trade in food in the future. It doesn't make me calmer! In the case of trade in services, GATS, it is a major problem that the definitions are not clear, as the representative Bjørlo Lysbakken has mentioned earlier. One of the Articles of the Agreement states that services include any service in any sector other than public services. However, another Article states that public services means services provided neither under commercial terms nor in competition with other providers. In practice, this can be difficult to interpret in a way other than that, contrary to any service in Norway, it should be possible for competitors from abroad to be provided on equal terms with domestic service providers. It will be very useful if the Minister of Foreign Affairs can clarify his understanding of these definitions. I would also like to ask whether he intends to contribute to the clarification of these definitions in the WTO Agreement. The view of the centre party is that services in basic sectors such as health, education, care and distribution, collection and purification of water should be excluded from the WTO Agreement. The Central Party fears that there may be conflicts between our aid policy objectives and our trade policy objectives. The lack of transparency about our GATS positions means that that unrest cannot be resolved by the road, sail if I seamfully hope that there is no basis for having that fear. Finally, WTO negotiations are unusually complicated. Central policy issues tend to disappear in technicalities when discussing the WTO. That should not happen, because, as I said at the outset, this is about very key political issues. I just want to conclude by saying that it is a heavy responsibility of the Government to contribute to the transparency of, and not least understanding of, these processes in Stortinget – we should be able to handle that – but also in public space.
ParlaMint-NO_2003-06-17.ana.ud1698e772	It's going to be line change.
ParlaMint-NO_2003-06-17.ana.ud1698e775	As I explained earlier in my speech, the current round of negotiations is based on the decisions of the Doha Ministerial Conference, and the negotiations include trade in services, agriculture, market access for industrial products including fish and fishery products, trade and the environment, the TRIPS Agreement and the anti-dumping and subsidy provisions. Now I am to my surprise that the representative Haga recommends the Government to restrict itself to negotiating services and agriculture. Does this mean that the Central Party believes that the other issues are immaterial to Norway, for example: how are fish and fish products handled?
ParlaMint-NO_2003-06-17.ana.ud1698e782	No, the Center Party does not believe in any way that questions such as: related to market access for fish is immaterial for Norway. What we have pointed out is that we believe that the WTO agenda per year. today is full, and the demanding processes to be implemented, both in the case of GATS and in the case of agriculture, are sufficient. It meets the WTO agenda. And not least in respect of developing countries, which we know have problems hanging out with, this process should go very step by step. I think the nuances in this room are very small, when you put developing countries in one bag post. It is true that if we are to have a sensible exchange of views on the positions within the various groupings, we must at least distinguish between the poorest countries and the middle-income countries.
