ParlaMint-NO_2003-02-06.ana.ud2316e58	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2003-02-06.ana.ud2316e408	If it is a prerequisite for compensating for such reforms, this should be a budgetary matter rather than a Document No. Eight proposals. The representative Holm set a good example in relation to the elderly. It is quite clear that there are a lot of local government representatives – whether we have supported a lot of what has been done – who have felt that this must be our priority now, because that is now the money from the state is there. That's when we have to start building. And it's actually an intervention in the municipal and local priorities. In addition, several municipalities, such as the municipality from which I was originally from, had completed very much when the government found out that this was important, which also led to large local inequalities. And we also see today – with the pot we all agree that there is a desperate need – that in many municipalities this leads to school centralization, because it is cheaper to build new ones in relation to other things than to clean up the old, small schools. So everything we do here in the hall, intervenes in the local maritime administration. I also believe that there is in principle no difference between the right thinking of the Progress Party and the minimum standard thinking of SV. There's just as much breach of the municipal maritime administration, and there's just as much faith that everything knows is in this room, and nowhere else.
ParlaMint-NO_2003-02-06.ana.ud2316e418	I actually share Trine Skei Grande's view of local democracy and local freedom of action. I also share her concern about the entire law of rights and the danger that this will bind the whole of local democracy, or in some way actually make local democracy superfluous. That's why we've been very clear, even in relation to the SV's proposal on minimum standards in school. But I don't think Trine Skei Grande should let go so easily that I agree with her in everything. I have a question for her. You talk about the library at Smestad and at Trasop, and you talk about bets, but you really don't think the representative Skei Grande that there should be enough room for action to decide whether to set up a school library or not. Shouldn't it be a matter of course in our country that a school that has a library should have enough room for action to continue to have the library. If she doesn't mean it, I'm actually a little worried.
ParlaMint-NO_2003-02-06.ana.ud2316e425	There's a lot of good intentions tyranny here, that's what I and the Skjillaa agree with. But school library as a educational tool is more than it was in Fillan in the 1980s, when I went to school there. The focus on the schools that have really invested in school libraries is both on maintenance in relation to investment, on the need to have library skills, and on how much library competence you need, and on how actively you use the school library as a educational tool. The school library when I went to school was four shelves in a room, where there were some books that were very often borrowed – I won't tell who it was – and then there were some books that had never been out of the shelves. You could say that's a minimum standard at school library. However, the use of school libraries as a educational tool must be linked to educational thinking throughout the school, if you want to use it. That means that schools can have different bets on this, from the two bookshelves that we had in the cat at Øysletta kindergarten, until what you have at Trasop school, where the school library is the heart of school and the heart of the school's pedagogical thinking.
ParlaMint-NO_2003-02-06.ana.ud2316e430	I realized that I was challenged from the left on this with local autonomy. Let me be very clear about it: the Progress Party sees no role for municipal politicians in steering the resource framework into school. We do not see that it is a task for municipal politicians to care for school matters, at least not in terms of funding. We are concerned that funding should not go the way of the municipal funds. That is why what we again propose is that we have to have direct government funding where the state pays the school money. On the other hand, we are concerned about some of the things that the left-wing representative was in on, that is to have autonomy in schools. We're indebted to that. We are concerned that as many schools as possible should be as self-governed – also released from local municipal politicians – by their own governments, and we would like to understand that the Parental Committee for Primary School is moving towards, namely that parents should be in the majority and govern the school. It's the ones that represent the users, it's the ones that represent the sponsors. Local politicians are neither users nor sponsors, with many other agendas and many other priorities within a framework transfer from the country. The best way to ensure good use of resources in school, according to a good priority from users themselves, is to make sure that the money comes straight out, and that the money follows the student.
ParlaMint-NO_2003-02-06.ana.ud2316e437	Here's a clear glass distinction between the Progress Party and the Left. We have a completely different approach to just this. The Progress Party deals with the citizens of society as customers, clients and clients in a type of service production. I think of school as an important social institution. It actually means something if you have a big school or if you have a small school, if you have a school with one pedagogy or the other pedagogy. These are social choices, there are choices that local government has to make, and there are priorities that our local people have to make. And then it's clear that parents have a role in the design, in the participation and in all of this. But it's the teachers and the pedagogical competence that actually creates philosophy, heaven, guidelines that you work for, and they also have to have a role to play. When we delegated this to the governments of this city, we got a balance between the parents, the municipality in the position of the local people, and the teachers, where none of them have a majority, and where one actually has to agree when finding solutions. These three interests must be together when you're in charge of the school. It's these three interests that lie there, and if you take away two of them, a major dimension of what the school is disappears. This isn't making meatcakes, but it's actually helping kids cope with life in a better way.
ParlaMint-NO_2003-02-06.ana.ud2316e442	The chord shift has been completed.
ParlaMint-NO_2003-02-06.ana.ud2316e445	This short debate carries the germ in itself for an even bigger and more important debate. I noticed with interest that the school section of the debate has been increasingly informed and nuanced. It is marked by a willingness to open up a discussion about what is good and bad at Norwegian school, the benefits and disadvantages of different instruments, while also being linked to the question of local autonomy. Resource use in primary and secondary schools measured in the number of year-old teacher’s works per year Students are high in Norway compared to other countries, especially in primary schools, and that is good. The numbers we now have at the same time show that the resource use per. Students have been somewhat reduced in recent years since 1997/98, especially in primary schools. This reduction is related to changes in school structure, which in turn are related to changes in demographic conditions. The reduction has been relatively greatest from the 2001–2002 school year to the 2002–2003 school year, but in particular in those municipalities that have already had the largest use of resources, and is therefore not affected by the issue of minimum standards. Moreover, the reduction over the last five or six years is not of such magnitude as to give rise to serious concerns. It is relatively modest and the level is still high, but we need to follow developments closely. Resource binding provisions and minimum standards generally raise difficult questions. In any case, they must be adapted to differences in needs between municipalities and schools. In addition, the provision of resource-binding provisions for teacher assistance, which corresponds to the average level in the municipalities today, will lead to unnecessary binding of operational resources on too many municipalities, and to a low level of rationality that could be detrimental to other needs of the school. For other municipalities that are above average, there is a risk that such a resource-binding provision could lead to a reduction in their use of resources in schools down to the norm. In the matter of the state, therefore, we face a dilemma when it comes to binding on the municipal resource use to school through the funding system. On the one hand, we are concerned that the school has the necessary resources to produce good results. National school management must ensure that all students have the right to appropriate training and that this right is respected. On the other hand, we want to increase local freedom of action, because we think it helps to create a better school. Dismantling unlucky ties in the organisation of legislation and at the same time restoring bonds at the level of resources in other ways is not easy to reconcile with the desire for local freedom of action. It is also important to stress that putting strong government commitments on the amount of money to be spent by municipalities for school is a drastic change that requires clear signs that today’s school management is not working. To put it another way: in principle, in many ways there are many bad luck with many resource bonds, but unfortunately we have to have it for observation. The government will present a statement of the resource situation in the school in the revised national budget, and we will also consider measures related to future changes in the training law. I refer to a consultation paper that is out there, where we both raise questions about an indicative resource standard and questions about the supervisory function, in particular to schools/municipalities that use little resources compared to the rest of School-Norway. I hope this can provide the basis for an informed debate on the resource situation in school, but there is a debate that I think should preferably be combined with a debate on the whole of local government and municipal autonomy. Let me also add that it's on the verge that we have a challenge in school construction. It's the school owner who's responsible for the school buildings. However, for a period of time there has been a need to implement state measures, and that is why we have introduced the loan scheme that everyone knows about. There is a great deal of interest in this scheme, and by the end of 2002, 214 municipalities and county municipalities had applied for interest compensation from the scheme. I will follow developments in municipal applications for the loan scheme in the future and assess the annual loan frameworks accordingly. We are also trying – as the Stortinget is familiar with – to form a more precise picture of the actual situation of school buildings. I would also like to say that I do not dispute – and have never disputed – the experience of parents or schools of having a bad school economy. This phenomenon can occur at the same time as spending a lot of resources at school at national level. It just illustrates the dilemma we face from time to time, that many resource bonds, many rules, etc., and strong government governance of the school can help to make what is basically a lot of resources feel like very scarce resources. Summary: I miss the fundamental debate on the state's relationship with local government. Do we believe in and hold fast to the framework funding system, local priority freedom and local self-government, or do we only trust the state and government management of the school? If we are to have that debate, I believe that we must also see the school in relation to other sectors and not isolated – for example. with the nursery sector.
ParlaMint-NO_2003-02-06.ana.ud2316e468	It's going to be line change.
ParlaMint-NO_2003-02-06.ana.ud2316e471	As has been said here, this becomes a debate on local economy. And that's not nice. We know that the health and elderly sector, together with the school sector at the municipal level, will amount to about 10 %. 70 pst. of the total budget of the municipalities. It's the big, heavy sectors we spend most of the money around the municipality of Norway. When we further know that the school sector budget goes between 70 and 80 pst. The reality is that today we are talking about the remaining 25 psts, which are used to operate, and that is the whole debate about these resources. That's interesting enough. But we kind of have to look at this. When we see that the frame hour is constantly falling in Norwegian school and the number of special hours is increasing, there is reason to ask if there is a deliberate choice that is taking place in the municipalities just because the local economy is so weak, that you set up lower ramti metal and the rates of intervention by the county council and impose more and more special hours on them. It is of course exciting that the Council of State continues to make new proposals within the school, including: resolving the classification rules. In Russia, you can have 50 students in the class. It's school in the morning, and it's school in the afternoon. We can learn from others and take on new reforms. They even claimed that the students learned better in the afternoon. So my question to the Council of State is, how far are you really willing to go when it comes to solving all the old, fixed, known classification rules? Do you think this is an experiment that could damage the school in the long term?
ParlaMint-NO_2003-02-06.ana.ud2316e482	I can promise that I will not promote any suggestions that I believe will harm the school. Moreover, the proposal to which it refers is not promoted. It is available in a draft consultation. I am aware that a collective KS board, all parties there, has joined the proposal. I think you'll see that this is best for the school, for the students and I think for the working environment for the teachers as well. But what we are discussing here today is the dilemmas that arise around this in relation to resource-binding mechanisms, and therefore in the draft consultation, we have also asked the Hearing Officers for their views on this with an indicative resource standard. I believe that in my post I presented the dilemmas of using the kind of norms vis-à-vis local self-government. In my opinion, there is not a debate here now just on local economy, it is also the germ of a debate on local self-government and on local democracy, and local democracy means having and taking responsibility, and it must be accompanied by decision-making power. There is the problem in the municipal sector today, which means that the municipal sector and local government are in many ways at a time of destiny. I think that is quite serious. There is an imbalance in the local economy. This is because municipal politicians have had too high ambitions and that they have been too little good to improve efficiency, but it is also due to the fact that the Stortinget has had too high ambitions on behalf of local politicians and, in part, has not fully financed the reforms, among others. Because there are different types of majority here in this room. And in addition, when we see something that we don't like, we resort to detailed management tools or tools and override the municipalities, so that there is even less room for local democracy. I said yesterday, and I stand by it, that school is the sector that has been most loyal to the local democracy thinking we've really been together about, but that's why the school is now the most vulnerable. It is a very serious issue that is being raised, and it takes a lot of effort between local politicians and national politicians to get out of it, which goes far beyond the school sector.
ParlaMint-NO_2003-02-06.ana.ud2316e493	Let me first say that I think there are good suggestions from this council, suggestions that serve the school. But there are three things I want to mention. First of all, the financial instrument, which we are discussing here. I have as my starting point that, on the part of the Council of State, more emphasis needs to be placed on what serves the school than on local democratic exercises in the municipal elections. You have to be much more concerned about getting democracy in school, getting parents more influence, and actually getting students more influence as they get older. There the democratic debate can be put in place, and there we also need to strengthen democracy. But the fact that local politicians are going to have to play with the school money, we are much less concerned about it. With the method we have, there are weaknesses, and my question is: see the Council of State on other methods, she sees, for example. to the nearest neighbouring countries to see if there are other methods of funding the school than the one we use? So to this with upgrading school buildings. We were also in the Questionnaire yesterday. I want to repeat what is a concern: an estimate of at least NOK 40 billion, a loan framework of NOK 15 billion, a time aspect of eight years, and of the NOK 15 billion, we have been able to spend DKK 3 billion on the first two years. This is going slowly. And for those who are students in school today, it's worrying. The third thing – and that made me jump – was that the Council of State now said that this message that I have been talking about in my main post comes together with the revised budget. If it was meant that way, I have to say that I'm jumping one more time, because then I actually see it as a breach of contract. We need to have a self-announcement, not a notice related to the revised budget. I hope we get a clarification on this. If not, we have to clarify it outside the hall – in other ways.
ParlaMint-NO_2003-02-06.ana.ud2316e504	I think I said it comes in connection with the revised national budget. I have to be so honest now to say that on the move I do not remember exactly the wording of the agreement that has been concluded. But I don't intend to break the agreement, so I think I'll have to say it that way, and then we might have the dialogue about it outside this pulpit. In terms of school funding, there are several activities going on in and on. One is that we now have a draft out-of-court consultation in the case of primary schools, with questions about another funding scheme there. There is, of course, the funding mechanism today so that schools receive 85 pst. of the average in public schools based on a national average. When there is a very different use of resources in municipalities, as it is in part, this could lead to the occurrence of injustices. In this consultation document, we have raised questions about whether we should instead have a system similar to that of the Swedish, where free schools receive support, a proportion of a municipal average, based on the municipal expenditure level. We are also going through the funding and the resource situation. We see the resource situation and funding in the context of both primary and secondary education. And when we're going to report back, we're also going to report back on the status of these investigations, as well as clarifying the actual resource situation in the school.
ParlaMint-NO_2003-02-06.ana.ud2316e514	The SV's proposal to introduce a minimum standard is an attempt on our part to ensure local freedom of action and to ensure a better economy for municipalities. Our proposal is to add the increased grant into the framework and not to have it as a earmarked grant. And last but not least, our proposal now is to get a minimum standard an attempt to ensure educational freedom both for the municipality and for the individual school. The most important thing for us is to ensure the quality of education for young people. Clement himself is concerned about the finances of the municipalities. She describes it in such a way that the municipalities are in a time of destiny in terms of local freedom of action and municipal autonomy. The Council of State has sent out, at the hearing, proposals to remove the class division number. I very much agree with that. That is a good suggestion. This is important in order to ensure local freedom of action and to rethink schools and in new forms. But there will be problems by removing the class division if you don't come in with any other framework conditions that can secure the school an economy. That's why we've put in this proposal on minimum standards. Since we're removing a method to figure out how much money the school is going to have, we're setting a different standard for this. My question to Kristin Clemet – she has been involved in the past too – is: How will Kristin Clemet be able to protect the school in the next round, when the next year's budget comes and the municipalities get further economic downturn?
ParlaMint-NO_2003-02-06.ana.ud2316e523	I don't doubt a moment on SV's good intentions in relation to the school. And it is well that we are all in favour of a system in which we combine this with some national minimum standards – it is in schools anyway, also in other areas – with a framework funding. But I think it would be strange if you can't admit that we're facing dilemmas here. Then you have not been able to listen to what municipal politicians have expressed over the years. They can of course complain that the transfers from the state are too small, but they also complain to me about a lot of central government and regulation from the state. I think that's very clear. I guess we're all a little schizophrenic. And if I can allow myself to say that, maybe SV is one of the most schizophrenic games in this area. Now you have to have a municipal election program where you have to bet heavily on local freedom of action, etc. as far as I understand. But at the same time, SV is very quick to address minimum standards and regulation management and government of the local government sector. Not because I doubt their good intentions, but I'm more in doubt if we can achieve the goal in such a way. What I think is interesting is all the experimental schools that are in Norway now. There are a lot of schools that make experiments under the Training Act and other regulations and under the Working Time Agreement. Then you get more flexible solutions. It is reported to provide better adapted and differentiated education. Parents are more satisfied, students are more satisfied, teachers are more satisfied and school leaders and school owners are more satisfied. At the same time, resource use becomes more effective in the sense that one feels more liberal about resources, even if one initially had no more. Now it is part of the story that the consultation proposal we have out on classification rules also contains the question of an indicative resource standard, and then we get back to it. Then to the municipal economy for next year. I was not present at the meeting that the municipal minister had obviously been at a few days ago, but one of the reasons she's worried about next year, is the nursery agreement that has been concluded, which will require resources.
ParlaMint-NO_2003-02-06.ana.ud2316e536	The President assumes that the diagnosis of the disease in this case was very pictorial?
ParlaMint-NO_2003-02-06.ana.ud2316e539	Yes!
ParlaMint-NO_2003-02-06.ana.ud2316e544	The debate has focused on local economics, and it has focused on local maritime governance. With regard to the economy of the school, there is a common concern among all the parties in the Stortinget. As far as local democracy is concerned, it is clear that the Progress Party and SV stand out from the rest. We want a local maritime administration and believe that municipal politicians can give priority to it. I want to go back to this statement. This is about some sort of budgetary agreement, but it is something far more than a budget agreement. It's actually a decision in Stortinget to come to Stortinget with a statement. So there's a Roman number decision that this statement is going to come. I will be amazed if there is a budget agreement. There is a large-scale decision on this statement. Then I don't think the Storting should find out that it is only described in some columns of the revised budget. The story has asked for an explanation, and what we are doing today is to emphasize even more strongly how this statement should be. The presentation of the primary school resource situation must therefore, in the majority’s view, make the scope of resources in today’s school visible up to the L97 target of adapted training for each individual student. Furthermore, the majority sees that many small schools are at risk of closure for economic reasons. The presentation must therefore clarify whether the scope of resources is such that municipalities with a decentralised school structure with both few and fully-divided schools have financial freedom to determine the school structure locally. I would like to ask the Council of State to clarify that there is a separate explanation – not from a budget agreement, but actually from a decision in the Stortinget.
ParlaMint-NO_2003-02-06.ana.ud2316e557	The comment on the agreement instead was in response to a question from the representative of Sortevik, who referred to the agreement. I can confirm that there will be a statement to the Size of the Resource Situation with the elements that were now listed by the representative of the Skjälaa. When it happened to the sick people instead, I made it clear that everyone was a little bit sick, so it basically went beyond everyone. So a little bit to this with the school economy and the concern. After all this has been said, I will nevertheless repeat what is also a fact, that resource use is overall high, and that it is important that we take an interest in how we use the resources. It is striking, and we need to be interested, that there are other countries that look like our own, that use less resources, and that seem to succeed much more with the ideal of 'adapted training' than we succeed in. You can draw up the weakest students in a better way, and at the same time it raises the average quality of your training. This suggests that there is also something about the organisation of our school, the management of the school, the way we use the resources, which can be better. We need to be able to have two thoughts in our head at once – maybe three: we need to be interested in local democracy, we need to be interested in the development of total resources in school, and we need to be interested in how resources are used for the benefit of students and those working in school.
ParlaMint-NO_2003-02-06.ana.ud2316e566	We're going to carry over with the characteristics of SV as a schizophrenic party. I understand that it is figuratively meant, and we can live with it. What I think one should take inwards is that we don't have a debate for and against local self-government, but that, on the other hand, we have a different view of what conditions it is that local self-government can work. So there is so much emphasis on the financial autonomy of municipalities and the ability to exercise local self-government based on a solid economy as on this with government governance in the form of minimum standards, etc. for local democracy to work. Others, in the debate, have almost turned into hardcore with the Progress Party on this issue. I find that completely pointless, all the time the Progress Party has clearly said that they believe that the municipalities have no role in this. We are strongly concerned with local self-government, but believe that one of the prerequisites is financial freedom of action.
ParlaMint-NO_2003-02-06.ana.ud2316e575	Of course, I respect SV's view of this with local freedom of action and local democracy. However, I think it is right to note that there are quite a number of inter-political signals coming from the local government sector that, on the one hand, there can be good dissatisfaction with economic transfers and the extent to which major reforms, tasks, action plans, etc. is fully financed by the State, but to the greatest extent also by what is perceived as State detail management. It has not been long since, I believe, the rapporteurs of the country asked for views on this from the Minister of Municipal Affairs and the Ministry of Local Affairs. The area that was highlighted as the strongest state-led retailer, i.e. unnecessarily detailed, was the school area. A few of the things that we now have in the consultation proposal are an attempt to address some of the criticism, which is therefore cross-political, from the Municipality of Norway. This is partly the case with class-sharing rules, which have gained cross-political support on the board of the Municipal Councils' Central Association, and the second is the requirement for the principal's competence versus making demands on the entire school management, which also gives municipalities a slightly greater freedom of action. I would also like to add that the proposal on which there was a broad consensus here in Stortinget that the so-called 2+2 model in higher education, which is also contained in this consultation document, could be seen more flexibly, because it increases local freedom of action, responsibility and decision-making. I see, regardless of SV's vision, this as a pretty cross-political signal. I have not been a municipal politician in the true sense of the word – I have not been elected – but I have worked in municipal policy and have also experienced it from there.
ParlaMint-NO_2003-02-06.ana.ud2316e588	The cord shift has thus been completed. Several have not asked for the floor on case No. Add User-ID Succeeded [[Fotation, see page 1789]]
ParlaMint-NO_2003-02-06.ana.ud2316e606	The background to this unanimous vote is a proposal by the representatives of Magnhild Meltveit Kleppa and Rune J. Kjellaaen to legislate similar insurance schemes in the event of accidents for all primary and secondary school students. The proposers believe that insurance conditions are currently highly arbitrary and that this violates the principle of equivalence between pupils. The proposers consider that the costs of such an insurance scheme must be borne by the State. There may be grounds for recalling that all pupils, apprentices and children in kindergarten are covered by the Swedish Social Security Act and will thus receive benefits in accordance with the common rules in the social security system in the event of school-related harm. Corresponding rules apply to students. In addition, pupils and apprentices will be covered by the Professional Injury Act in the event of damage that may occur in the course of carrying out work on the company. So far, the similarity is taken care of. Differences between students arise first by the school owners taking out collective accident insurance for their students. Although the vast majority of municipalities and county councils sign such insurance, it is a fact that many students do not have insurance cover in addition to the general provisions of the public interest in the event of accidents. There is no disagreement in the Committee that there is a need to ensure a level playing field for students when the accident may occur or damage occurs in the school situation or on the school path. Here the Committee is fully in line with the previous opinions of the Stortinget. However, the Committee noted that in June 2001 the Government appointed a selection to assess the various schemes that currently provide compensation/special advantages in the event of occupational injury. This sample shall also assess the provision of public funds for the compensation of pupils and students. The Vocational Injury Committee is due to give its opinion in May this year, and the Committee therefore considers it natural to refrain from making concrete proposals in this context. The Committee therefore intends to await the suspension of the sample, but assumes that during the current year the Government will return to the Grand Duchy with proposals for liability schemes to ensure that pupils, apprentices, students and children in kindergarten in the event of accidents affecting the lives and health of individuals. I recommend the unanimous vote of the Committee.
ParlaMint-NO_2003-02-06.ana.ud2316e625	As one of the proposers, I am actually pleased that the Committee has come to a unanimous vote. This case has gone back and forth. The majority has stated on several occasions that students must be guaranteed a level playing field, i.e. equal arrangements when the accident is over. In today’s vote, the Committee refers to previous consideration of the matter, where the need to ensure a level playing field for students in the event of an accident was underlined. The Committee further states that ‘they believe that the financial security of the students in the event of injury needs to be improved’. In fact, I think that Stortinget has brought this matter to light again. There are several previous governments that have failed, and have not done what the Storting has asked them to do. Now there's a new decision here, and I actually believe that the government will follow this up, so that we can come to a final clarification. We're not very concerned about the way it's done. But the injustice and inequality that families who have had children in school who have suffered accidents have experienced, wants the Storting to end. Today it is that you live in one municipality and the child is injured, you get a certain amount of compensation. In other places, you might get a much higher compensation. We want clear liability arrangements to ensure that students who are exposed to this need good and equal conditions, regardless of where they live in the country. I hope that the Government will take this work seriously and come back with proposals that the Storting can decide on later in 2003.
ParlaMint-NO_2003-02-06.ana.ud2316e638	The government is taking this seriously. I have read with interest the Committee's position and share the view of the need for a common regulatory framework that ensures that students have a reasonable minimum financial compensation in the event of accidents and injuries at school or at school events. Today’s schemes where some school owners have taken out insurance and others have not provided satisfactory protection for some students. Nor do we know anything about the level of insurance or the amount of insurance taken out. So today's voluntary insurance does not necessarily provide sufficient protection either. I am therefore prepared to do something about this. However, designing new legal rules in this area is not a simple legal task. It must also be seen, as the Committee itself is concerned, in the light of the proposals made in the investigation by the Committee on Civil Protection. According to the mandate, the committee will present its investigation by 1 May 2003 and it would be natural to await the outcome of the hearings for the investigation. In order to ensure that a proposal for the Storting has the necessary quality, I believe that it is not advisable to come back to the Stortinget with proposals already during 2003, as the Committee asks. I would rather put forward a matter in the spring of 2004. However, this is time enough for the law to come into force from the 2004–2005 school year.
ParlaMint-NO_2003-02-06.ana.ud2316e649	I'm very pleased with the Council's response. I think I am talking on behalf of the majority of the population when I say that the matter comes on the agenda in the spring of 2004, so that the law can come into force from the school year 2004–2005, I think it is satisfactory. So we're looking forward to it.
ParlaMint-NO_2003-02-06.ana.ud2316e654	Several have not asked for the floor on case No. 2 [[Fotation, see page 1790]]
ParlaMint-NO_2003-02-06.ana.ud2316e674	Today there are 100,000 teachers in political strikes. They believe that a transfer of responsibility for negotiations on pay and working conditions from the state to the municipalities will give less equality in school. I understand that teachers believe that pay and working conditions are important for their situation, but I cannot see that this transfer will have adverse consequences. On the other hand, I think it will increase school political commitment and responsibility in the municipalities. It will enhance the focus on the social responsibility of the school. The school has a great social responsibility. In cooperation with the parents, it shall develop children into «given man». In the opinion of the Christian People's Party, the good school is to convey cultural heritage, values and knowledge, but also to help children master, unfold, and social development. Making children conscious of their own identity is creating security and root fixation. The good school should also provide competence. The Christian People's Party will develop a learning environment where it is challenged to learn through exploratory self-activity rather than traditional teaching characterized by more passive and receptive learning. By shifting focus from teaching to learning, knowledge becomes a result of a learning process in which the student is involved in developing his or her own skills. Knowledge and competence enable students to influence their own everyday life and future. Competence and knowledge in our society are more important keys to business and well-being than natural resources and machines. The good school should also contribute to social cohesion. It is a strength for our welfare society that the differences are not too large. It helps to create solidarity and sympathy, and prevents social unrest and conflict. By providing students with opportunities to develop their own skills and facilities, they can influence their own future. They come to school with different backgrounds and ballast. If the school succeeds in balancing the differences, the school must be able to see individual life and its needs and challenges to a greater extent than today. If the school fails to meet the needs of individual life, the requirement for alternatives will become stronger. This is therefore about the future of the school as a school for everyone. School research shows that students’ background has a significant impact on learning outcomes and outcomes. This is not new knowledge, but the importance of this has been neglected in the school debate for a long time. In Norway today, about half of the population live. 1.5 pst. by the population below the poverty line. This means that at least 20 00 children have lived under very poor economic conditions for more than 10 years. The research shows that children take after their parents in both education and working life. This suggests that children growing up in poverty have difficulty breaking out of poverty even at adult age. The PISA study to the OECD also shows that there is a significant correlation between performance and the cultural background of the home. The level of education, social status and the material standard of the home are important for the school performance of children, says the OECD in ‘Education Policy Analysis 2002’. Christian People's Party has been given a new family policy argument when Professor Asbjørn Birkemo points out that the most important thing is the home environment, and families with two adults give the greatest odds of creating school winners. Stable adult relationships provide the child with the necessary safety and attention and contribute positively to the learning process. School research refers partly to significant differences in learning outcomes and outcomes. Some of this is very worrying. The greatest attention has been paid to the differences in reading skills. A large group of students, about 20 pst., don't have functional reading skills. Most of them are boys. Furthermore, we look at the character statistics that girls have better grades than boys over and over. This may indicate that school is more suitable for girls than for boys. With regard to the allocation of resources, it seems that resource-intensive parents are able to make ‘their’ schools winners in the fight for the school crowns, meaning several hours and more special pedagogical measures. It already reinforces existing differences between strong and weak students, and we get social reproduction. We also see that the background of parents is important for young people's choices of choice. In Norwegian school policy, there has been a great deal of expansion about public school as a school for everyone. Many have argued that the single school has given the weakest starting point, and the good have developed their talent. However, research shows that we have not succeeded. The single school has not given equal opportunities to develop. For the Christian People's Party, it is important that the school gives all students the opportunity to develop their abilities and facilities and influence their own future. Schools should contribute to social mobility. But research instead shows that the school reproduces the differences in today's society. It seems that the school is unable to achieve its social mission. This is a challenge that must call for greater political interest. We need to design strategies for the school that respond to this challenge. From the Christian People's Party we believe it is important to take advantage of the educational space we have in school, and to focus on the following areas: 1st@item: inlistbox We must allow more individualisation in school. With it, individual life comes into focus through organised work programmes, individual training courses and organised education.2. We need to accept local differences in learning material and working methods in order to create a relevant learning environment and create motivation among students.3. We need new curricula that focus more on learning goals than on nuclear material and method.4. We need better cooperation at home/school to stimulate the learning culture at home. If the school is to succeed in developing the students, we have to be willing to look at the organization as well as the educational content. We politicians cannot take over the role of teachers in this, but we can set targets for where we want the school to work. Then we must have the loyalty of the student. It is therefore an important goal for Norwegian school policy to give all children equal rights to education and to develop a good public school for all children. I have shown in this article that recent school research shows great differences in, among other things. reading skills and differences between girls and boys. The studies suggest that the school maintains social, economic and cultural differences. These differences hamper children's ability to shape their own future. My question to the Council of State will therefore be: What strategies will the Council of State follow to balance the differences that schools maintain?
