ParlaMint-NO_2003-11-05.ana.ud2613e28	The called alternate of the Aust-Agder County, Liv Marit Moland, has taken the seat.
ParlaMint-NO_2003-11-05.ana.ud2613e620	This question has been withdrawn.
ParlaMint-NO_2003-11-05.ana.ud2613e627	This question, from the representative Svein Roald Hansen to the Minister for Foreign Affairs, will be answered by the Minister for Economic Affairs and Trade on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2003-11-05.ana.ud2613e630	I allow myself to ask the following questions to the Council of State: ‘Liechtenstein has blocked the signature of the new EEA Agreement due to an old conflict with the Czech Republic and Slovakia. According to the Official Journal of the Bergen on 22 October, Hans Adam II first declares to avisa Liechtensteiner Vaderland that the sovereignty of the country and the independence of the people are more important than the EEA Agreement. What will the situation be for Norway if the conflict is not resolved and the new EEA Agreement is not signed by the EU enlargement on 1 May 2004?’
ParlaMint-NO_2003-11-05.ana.ud2613e639	The EEA Agreement is very important for Norway. We have therefore been actively working towards our two EFTA partners and the EU side to ensure that the EEA extended agreement can enter into force on 1 May next year. Although there is not an absolute deadline for signing the agreement, it is now very important that the signature does not delay further in time, so that the ratification processes are also delayed. The extended EEA Agreement cannot enter into force until all have signed and the Agreement has been approved in all 28 EEA National Parliaments. Norway and Iceland have not taken a decision on the unresolved issues that lie behind the case, which do not contain any elements of their own intervention in EEA cooperation. The Norwegian and Icelandic Foreign Ministers last Sunday had a constructive meeting with their Czech and Slovak colleagues in Praha, who explained the scope of action in this matter. Liechtenstein’s Minister for Foreign Affairs has been informed of the content of these talks and, on this basis, Norway and Iceland aim to sign the EEA Agreement this week – and hope that all three countries can do so at the same time. If Liechtenstein is not able to sign, we will face a difficult situation that needs to be assessed more closely there and then. There is no express condition in the contract work for any minimum number of EFTA countries. However, I do not want to wonder what will happen if Liechtenstein chooses not to sign the agreement. As I said, it's a question we might have to get back to.
ParlaMint-NO_2003-11-05.ana.ud2613e652	I thank you for the answer, and I have no doubt that the Government has done what it has been able to do to stop Liechtenstein from blocking the EEA Agreement and signing it with Norway and Iceland. The Council of States can say something about how long we can wait for a signature from Liechtenstein before considering whether the agreement can enter into force without Liechtenstein, if there are any other things that need to be done, so that we do not risk getting into the situation next spring that we are without a valid and current EEA agreement, and with this risk that Norwegian companies, among other things, may. without the legal protection provided by the agreement on the European market, which is being extended by ten new countries?
ParlaMint-NO_2003-11-05.ana.ud2613e659	It is quite clear that getting into a situation on 1 May where we have not got our EEA agreement with the EU will be a dramatic situation for Norwegian businesses. Then we will lack the legal protection and the legal framework that we need. In terms of the time at which this might have to be addressed with the EU, it will depend on what happens during this week. I will refrain from wondering when action needs to be taken if you do not succeed. Our starting point is that we hope and believe and work in relation to being able to do it during this week. I see no reason on behalf of the Minister for Foreign Affairs to wonder what to do on the last day!
ParlaMint-NO_2003-11-05.ana.ud2613e666	Then I just want the government to be happy with the efforts to bring Norway out of the hostage situation we are in relation to Liechtenstein.
ParlaMint-NO_2003-11-05.ana.ud2613e671	Thank you for the congratulations - they may be needed!
ParlaMint-NO_2003-11-05.ana.ud2613e676	With that, everyone should be at odds. Let's move on to question 24.
ParlaMint-NO_2003-11-05.ana.ud2613e685	I allow myself to ask the Minister for Economic Affairs and Trade the following questions: ‘In Hedmark, a person has received NOK 53,000 in support from SND to develop his witchcraft activity. Many people react negatively to this use of state resources, while other applicants with good ideas and applications feel neglected. Does the Council of State see that this can provoke and also weaken confidence in SND in the long term?’
ParlaMint-NO_2003-11-05.ana.ud2613e694	Let me say first of all, let's not let this become a witch process. I don't think we'll be worth it. But after reading local newspapers and looking at the matter, I understand that headlines can be made that can turn the mind and imagination in such a way that some may be concerned. Let me put it this way: the concrete project that is available here came about on the basis of the fact that in the spring of 2002, SND Hedmark organized what is called innovation seminars, an idea-daughter, in the Glaum Valley, starting from the creation of innovation, founding and creation of new jobs. In such processes, ideas come up, actions, where someone in retrospect might turn out to be good, while someone turns out to be less good, and someone seems to have done things differently. Lena Skarning has a project under the forest hexa vignette and has received a grant on application and in accordance with normal procedures through documentation. I don't want to go in and separate weather and wind in Hedmark, who should have got, and who shouldn't have received a grant, no matter who might be excited. It is the case that the Storting grants funds for this type of activity each year and gives leads such as it is my responsibility as Minister of Industry to pass on to the SND in an allocation letter. I have, and I have not made reservations against witch activity or other special activities that can be put in quotation marks. It's up to the local and regional board to do. The size has been very concerned that the regional level, which knows the issues, knows the local needs, will manage these decisions. The tens of thousands of small businesses that address the SND have no review agency in the real world with the Minister of Industry. That is why I do not want to take a decision on this specific matter. But after looking at the matter, I think maybe this witch stamp is to draw it far, not least when you look at our television channels and what you can kind of characterize as both magic and witchcraft processes. I choose not to take a decision on the content. I see that SND has followed the guidelines. I see that this is within the local space of action and do not want to take the initiative to try it out.
ParlaMint-NO_2003-11-05.ana.ud2613e707	I thank the Council of State for the answer, which was a relatively round answer. I understand that the Council of State will not give any direct leadership in this matter or in other matters. But I assume that when the minister is traveling, he might get the impression of what society is asking for. My impression is at least that society may not be asking for this type of activity to make everyday life simpler, brighter, more pleasant, better for yourself, for children, grandchildren, etc., or that business is getting a little richer directly on experiences that you need. Then my question is: what does the Minister of Industry think about evaluating issues that receive subsidies? When it comes to the number of applications that should be granted, compared with the number of applications that are still alive, the Minister of Industry sees that the projects are alive — to put it that way. I know that in Hedmark it is approx. 400 applications so far this year.
ParlaMint-NO_2003-11-05.ana.ud2613e719	The Ministry of Economic Affairs and Trade has not given any leadership beyond the leadership of the Storting, where the intention is to get the most new jobs for the krone amount made available at all times. And of course, we're evaluating that on an ongoing basis. But we don't have any boxes for witches or anything else that shouldn't be in demand. I just have to honestly admit that in my visits around the country, which probably soon represents any detachment, such special witch activities have not been requested. There are many other things that have not been requested either, but that have nevertheless received grants, and that in a way must have a chance in life. What I'm concerned about is evaluating SND's work on the basis of criteria about what was created by jobs. But it has to be a local task to follow up this. Putting local governments in charge of the arrangements they make, I think it's quite natural that you do in Hedmark, because there will always be more applications than concessions. But we do that through an evaluation process related to the number of jobs.
ParlaMint-NO_2003-11-05.ana.ud2613e726	The President will not put himself in the category names here, but will suggest that witches might well sort under the post in various ways!
ParlaMint-NO_2003-11-05.ana.ud2613e729	As I said, this year it is approx. 400 applications in Hedmark, and approx. one third of them have not received a grant. There are perhaps many of the third who have contacted me, because many people have contacted me in this matter, both those who have sent applications, and ordinary people, to use that expression. There have been applications from people who have good and fine ideas. There have been people with maybe a small handicap who, with a small support from SND – the crown amount is not the most important thing, but that you get recognition for your product – can develop your idea further. What might have been the big thing here is that some sheep and others don't get, of course. It will always be a discussion about the right people, the right applications, get money. I understand that it is a difficult matter for SND, but this case has provoked at least a lot of people, both those who have sought and have not received, and ordinary people. That is probably why this debate is going on. That's probably why the question now comes up in the question right over here. Maybe that's why I'm asking if there's an evaluation of projects within the SND.
ParlaMint-NO_2003-11-05.ana.ud2613e739	It is true that many do not receive grants. We have also seen some of the projects that have not received, but have nevertheless been realised and have had great development potential. It's going to be a little bit in the bright light of the afternoon clock. Regionally, it is possible to replace those politicians who show poor judgement in the exercise of the SND regimes. As far as I know, there are also representatives of the business community and business organisations in the board of directors who should be able to point this out. But when this is about NOK 50 000 in grants for a project, I must say that he has done quite well when he can get a debate in the national Parliament of NOK 50 000. The marketing value for this event company should be well above NOK 50000. In this way, Bredvold has contributed to a significant innovation and progress for this Hedmark series. I think I can frame a lot of projects in which the state has committed itself, where hundreds of millions of dollars have been wasted on far worse ideas, at least in terms of the amount.
ParlaMint-NO_2003-11-05.ana.ud2613e746	We go back to question 3.
ParlaMint-NO_2003-11-05.ana.ud2613e760	This question has been postponed to the next Question Time. Question 4 will be answered later.
ParlaMint-NO_2003-11-05.ana.ud2613e770	‘To NRK Finnmark, the developers of the Snow White project say they are dissatisfied with the police service offered in Hammerfest. The expansion means that up to 1 400 workers live in a city with 9,000 inhabitants. Increased police service in the area is necessary. What initiatives will the Council of State take to ensure good police services in areas where there is a temporary need for increased efforts?’
ParlaMint-NO_2003-11-05.ana.ud2613e777	The chief of police in West Finnmark informs us that he is aware that the developers of the Snow White project want better police service in Hammerfest. According to the police chief’s assessment, the work has resulted in a marked increase in work, but not on such a scale that it does so per year. The current date creates some worrying strain for Hammerfest police station. Nevertheless, it is clear that as extensive an expansion as snow-white development is, police will face additional challenges. The police chief has therefore made internal redeployments in the police district, so that Hammerfest police station gets two additional annual works, much related to the Snow White Development. Furthermore, the police officer points to the possibility of accidents etc. in the development area, and will therefore recruit increased forensic competence for Hammerfest Police Station as soon as possible. At the same time, the Chief of Police stresses that the builder has an independent responsibility for security in the field of civil engineering. In close cooperation with the builder, the police chief will follow developments closely in the future. I therefore assume that the Police Directorate and the Chief of Police ensure a good and sound police service in Hammerfest in the future.
ParlaMint-NO_2003-11-05.ana.ud2613e784	I thank the Council of State for the answer. Another side of the matter is that one thing is the builder who is dissatisfied with the police service, another is the residents, who live there all the time. Media reports that it is 40 pst. increase in violence cases in Hammerfest. They report that people don't want to report cases of crime in Hammerfest because the police don't have the capacity to investigate it. On the other hand, the West-Finland police district is a police district that was not reorganized in the police reform, and is exactly the same as it was before. I would like to ask whether the Council of State will ensure that the Police Directorate follows developments in the West-Finnmark police districts, and Hammerfest in particular, in the future.
ParlaMint-NO_2003-11-05.ana.ud2613e793	I am familiar with the situation in the police district, among others. on their own visit there, and the department also has additional knowledge of the recent presence of the police director – I think it was yesterday. It is clear that we will follow developments, including: because there is a major expansion taking place, and also because in Hammerfest there is a separate development project in the police, so-called problem-oriented police work, in which the police are supposed to be able to record criminal incidents on which to settle. The district is interested for many reasons. Reason one: it's an original district, as the representative took up. Reason two: We have the Snow White extension. And recital three: There is very exciting police development work in the district. All of this we will follow closely in the future.
ParlaMint-NO_2003-11-05.ana.ud2613e800	I thank you for the answer and am very pleased with it.
ParlaMint-NO_2003-11-05.ana.ud2613e809	‘Open reconciliation is important in order to prepare to return to society by release. However, open settlement shall not be used prematurely in the most serious cases and only where it is considered safe for safety reasons and in such a way as to achieve the purpose of the penalty. Over the last two years, has the Ministry of Justice taken the initiative to make it easier to obtain open settlements and early release than the Penal Code provides?’
ParlaMint-NO_2003-11-05.ana.ud2613e816	I can assure the representative of Storberget that the Ministry has not taken the initiative to facilitate the transfer to lower-security prisons or to be released on trial. In accordance with Section 5 of the Penal Code, the regulation and guidelines of the law are designed in line with the intentions of the legislator. According to Section 11 of the Criminal Enforcement Act, criminal justice is to be sentenced to high-level prisons unless otherwise provided for by law. This means, therefore, that, in some cases, convictions can be directly transferred to lower-security prisons. However, such suspension shall not be decided if the purpose of the penalty, safety reasons or avoidance is contrary. In the regulation of the law, it is underlined that sentences are not to be placed in prisons with a lower level of security, if general preventive considerations or consideration of the general view of justice are contrary. Furthermore, the guidelines of the law stress that the choice of prison should consider in detail which security regime is deemed necessary. In accordance with the Penal Code, convictions may be transferred to prisons with a lower level of security after having carried out part of the sentence, unless the purpose of the sentence, security or avoidance is contrary. According to the Guidelines, general preventive considerations and general legal opinions shall be taken into account in addition to safety considerations. The guidelines further state that transfer should be considered when less than two years remain until expected release and should be considered on an ongoing basis if convictions have been sentenced to two years or less. As is known, the Penal Code states that such transfer is to be assessed when one year remains until the expected parole. I assume that the representative of Storberget agrees that it is important to facilitate an individually adapted and progressive criminal execution within a safe framework. The right to release sentences on trial after two thirds of the sentences have been executed is, as you know, continued in the new Penal Code. Such release shall not be decided if, after an overall assessment, the circumstances render it impracticable. As the representative of Storberget knows, it was previously almost automatic in release at two thirds of an hour. This practice was tightened up in the autumn of 1999 during my last term as Minister of Justice, and is now continuing in the new law. According to the guidelines, a specific, individual, full case-by-case assessment is to be carried out. In particular, attention shall be paid to behaviour during the conduct of criminal proceedings and to the risk of repetition. Thus, so-called repeaters must expect to execute punishment beyond two thirds of the time. For information I can inform that about 21 pst. was refused parole at two thirds of the time in 2002.
ParlaMint-NO_2003-11-05.ana.ud2613e840	I thank you for a good answer. I am convinced that the Minister of Justice and the undersigned are almost a hundred percent in agreement on the importance of open settlement, and that this is particularly important also in relation to the individual adaptation that the Minister of Justice has in his reply. The reason why at least I have been involved in the public debate we have had on this issue over the past week is that, at times, extreme cases – the very few cases where this happens – can be feared to destroy general, good arrangements on which Norwegian convictions are highly dependent, and on which the fight against crime is highly dependent. That is why I welcome the Minister of Justice's response to the legislation. But does that mean that when people in Norway are convicted of the most serious punishment you can get, 21 years in prison, and you have to be paroled after two thirds of the time, as it says in the answer, you won't be able to expect to get open renunciation until two years before this parole, i.e. after 12 years. Is that correctly understood?
ParlaMint-NO_2003-11-05.ana.ud2613e849	I have explained when to consider probation and when to consider it. That means that we generally have strict guidelines for that. So when it comes to specific individual cases, they're at the root of it, as we're told here. In the case of a very specific case referred to above, it was considered that he could be transferred to open premises. It was a long debate on what has been said in the media. It is clear that the Ministry of Justice was very puzzled, and that after a review it was found. If we look at our entire criminal implementation regime, we can measure that we are strict, for example. we have under-capacity, i.e. under-use, e.g. Both by Ilseng and Hoff prisons last year and this year. That means we haven't taken advantage of solutions. If we look at our open institutions with low security, we have 330,000 prison days there, and we had 62 circumventions in 2002. So I feel like you're working very precisely and focused on just not bombing on the reasons of public law, which the representative has taken up, but at the same time giving the opportunity to return to society.
ParlaMint-NO_2003-11-05.ana.ud2613e856	The paradox in this is that several of us want more use of open ground, that's useful. But that doesn't mean we don't see that there may be a need for tightening up in relation to what I choose to call extreme cases. I want to challenge the Minister of Justice in relation to the current example that has appeared in the press recently, how the Ministry of Justice has assessed this case, whether it is in line with the rules that have now been correctly pointed out, whether it is also consistent with the practices of gangs across the country, and that this is a set of rules where we can get equal treatment.
ParlaMint-NO_2003-11-05.ana.ud2613e861	My general impression is that the emphasis is on equal treatment through professional dialogues between the central part of criminal justice and the regions, and that the guidelines and principles I have outlined should be followed. With regard to the specific individual matter, I commented on it solely because some realities have been presented in the media. I have asked for information on that matter both from the police and from the Criminal Service to be sure that things have been done the right way. But I'm assuming that it's done, and I'm assuming that it happens in every case. If we hadn't, we would at least have quite a lot more escapes and avoidances than we have. My general impression is that the prison profession is trying to make an individual assessment. But it may happen, as you know, that you're missing that assessment.
ParlaMint-NO_2003-11-05.ana.ud2613e871	I would like to ask the Minister of Justice the following questions: ‘In the Fostervoll Committee, it was recommended that the rescue helicopter service be prepared for 15 minutes. [[NOT 1997:3]] In St.meld. [[2000-2001]] No 44 says the government that the introduction of a bystander would mean the same thing. In the course of the Storting's treatment of that notification, it was used, inter alia, to: said that ‘An overall committee also takes a very positive view of the proposal to reduce the response time’. Since the introduction from 2004 of the 330s quadron on the Sola, what kind of reaction time does the Council expect the Defence to deliver?’
ParlaMint-NO_2003-11-05.ana.ud2613e880	In St. prp. No 1 for 2003-2004 the Government proposes that the rescue helicopter base on the Sola be set up with a 24-hour bystander with a view to its establishment from 1 January 2004, depending on its practical feasibility. Until now, it has been considered satisfactory to require a response time in the rescue helicopter service of a maximum of 60 minutes and that the crew are on domestic duty outside normal working hours. In practice, in the sun, this scheme has given an average response time of approx. Forty minutes. The main purpose of the rescue helicopter is to rescue people from death or injury as a result of acute accident situations. This means that you have to get to the emergency room as soon as possible. I therefore propose that the 2004 budget should include: to create bystander on the Sun for as short a response time as possible. The response time depends on a number of factors, one of the most important being the crew’s travel time from home to place of work. Attendance at the rescue helicopters will mean that the crew is present on the base at all times and that the journey time thus falls completely away. The response time is also dependent on other factors, some that we can influence, such as locations, equipment, etc., and others that we cannot influence, such as the weather, the complexity of the mission, waiting for other resources, etc. In order to get the Sun in place in 2004, we need to make some compromises, including: as regards temporary premises pending new ones being planned. Despite this, the goal is to cope with a response time of 15 minutes in most cases already starting next year. Detailed requirements for the service will be agreed between the Ministry of Justice and the Ministry of Defence. When the accompaniment guard operates with optimised procedures at appropriate locations and with appropriate helicopter equipment, it is aimed at a response time of not more than 15 minutes. However, it must be such that the pilot-in-command and the crew are always able to take the necessary time to prepare the assignment so that it can be properly and safely carried out.
ParlaMint-NO_2003-11-05.ana.ud2613e901	I would first like to thank the Minister of Justice for a good answer. I clearly see that the level of ambition is precise and correct, especially when the Minister of Justice says that we are aiming for a maximum response time of 15 minutes. Then I think the minister has put the list at the level you need. It also means that this is in line with the level of ambition that Stortinget had last spring when St.meld. No 44 were treated. This means and requires, at my discretion, a close and good dialogue between the Ministry of Justice and the Ministry of Defence, which may be a challenge, but I think the Minister of Justice will deal with it in an excellent way. But the question to the Minister of Justice will be as follows: How can you be sure that you are actually doing this? Do you want to keep statistics on that? Would you like to go in and look at the log rather than find out what kind of deviations occur, and how to further improve the service along the way?
ParlaMint-NO_2003-11-05.ana.ud2613e910	The representative has clearly understood what the goal is. At the same time, I have said that we are not quite at the maximum now. That's why we're going to have to operate after optimum, where we're going to assume that a response time of 15 minutes is going to be what happens in most cases already from the start. The representative asks us how we can make sure of that. We can ensure what the representative himself suggests, in close dialogue between the Ministry of Justice and the Ministry of Defence and between those responsible for the general functioning of the rescue services and those who serve, among others. The 330-square drone. It is my general impression that the dialogue capability is well developed between practitioners in this region. It's not always that it's in many areas. But in this landscape, it's my impression that people who work so closely with each other, and people who have such a close relationship with the special nature of the mission, are also developing something that I have at least perceived as a positive corps spirit, to say it that way. If I were to register that the body spirit was not positive, I should of course think carefully about how I can help it to be that way. But I'm assuming that it is, and I'm also assuming that we're going to have a good dialogue with the Ministry of Defence.
ParlaMint-NO_2003-11-05.ana.ud2613e917	I thank you again for a good and excellent answer. I thought I would round off for my own part asking about something that goes on appropriate helicopter equipment, since the minister in his first answer said that it was one of the prerequisites for getting down to the maximum response time. My question is then quite simply: can the Minister of Justice now assure us that Storting's wish for progress following the replacement of today's rescue helicopter fleet is where it should be?
ParlaMint-NO_2003-11-05.ana.ud2613e924	The government has touched on this issue in the budget proposal and said that we will come back to concrete aspects of that matter later in the autumn, and we will. I assume we should be able to do what is necessary to relieve the Sea-King at a time when safety is still safe.
ParlaMint-NO_2003-11-05.ana.ud2613e932	I have the following questions for the Minister of Health: ‘Many patients who have been treated abroad paid by billions abroad experience that Norwegian hospitals and outpatients are refusing to follow up the patients needed in Norway. What can the Council of State do with this?’
ParlaMint-NO_2003-11-05.ana.ud2613e941	From the arrangement of the patient bridge to the rest of the world, in some cases problems have arisen in order to make the necessary follow-up of patients in Norwegian hospitals. This applies to patients with different diseases and diagnoses, but especially in cases where there have been professional discussions about the treatment that has been carried out. In particular, it has become applicable when the scheme is now wound up in its present form but continues as a responsibility for regional health enterprises. In St. prp. No 74 for 2002-2003, cf. Inner. S. No 285 for 2002–03, it has been suggested that no new patients will be included in the competence projects of the Swedish National Agency for Strategies in addition to those who have received treatment per year. 15 June 2003. Regional health establishments were informed about this in letter of 22 July this year. All patients who have received a letter from the Swedish Anti-Fraud Office with reference to assessment and/or treatment abroad before that date shall implement it. Any new references to treatment abroad after this date must be financed by each regional health enterprise. In the project, it has been a prerequisite that the patients referred to should not be deleted from waiting lists in Norwegian hospitals until they had completed their treatment. The Ministry asked the regional health companies, in cooperation with the National Agency for Disease Control, to ensure that the repatriation of patients was planned in a way that both meets the need for continuity in the treatment of the individual patient and at the same time contributes to the development of competence in Norway. The Ministry has also asked the National Agency for Health to inform regional health companies of the practical aspects of the repatriation of patients. The government has, as is well known, proposed the extension of the patient rights law, so that treatment abroad will also be relevant. This proposal is now under discussion in Stortinget. Here the Government has proposed that regional health businesses should be given a clearer responsibility wherever the treatment is carried out. The law on patient rights is proposed to extend to patients who are currently likely to be treated abroad under arrangements governed by the Swedish Law § 5 to 22 or be covered over the patient bridge. It has been proposed that the same priorities and the same right to necessary health care will apply wherever patients are treated. This will make it clear that the treatment provided in such a context abroad cannot be considered in any other way in the case of post-treatment than if it had been carried out in another Norwegian hospital. For me, it has been important that through this change we will ensure that the responsibility is clearly assigned, and there will also be no grey zone between what is the task of the Rikstrøgdeverket and what is the business. At the same time, we recognise that Norway, with our modest population, cannot and should not have absolutely all highly specialised medical services – we will continue to use competences in other countries, and through this we will also build up our own professional environments. Finally, let me say that the hospitals that referred patients to treatment abroad also have a responsibility for the further treatment system when this is to be done under the direction of healthcare companies. This requires good cooperation, where hospitals have to know a special responsibility to get this done, and I know that regional health companies will be positive and will take care of the intentions of the representative John I. Alvheim.
ParlaMint-NO_2003-11-05.ana.ud2613e958	I thank the Council of State for the answer, and I am pleased that the Department has done its part of the job here. Obviously, many hospitals have not taken this information seriously from the ministry. I am sorry that I again found it necessary to raise this question – I had a similar question for not a long time back – about patients who have been treated abroad with reimbursement from Norwegian authorities, who meet the wall or little understanding at some Norwegian hospitals and outpatient clinics, not all. The starting point for this question is a woman who has been treated in Germany with a surgical intervention in the back and who needed to remove some prosthetic material after a certain period of time. The patient approached his own hospital in Oslo, but was rejected and refused to go back to Germany to get the prosthesis material taken out. The patient had no objection to this, but the patient was informed that the costs of this had to be borne by the patient himself. My follow-up question to the Minister of Health will then be: Does the Minister of Health think that it is acceptable that Norwegian hospitals reject the follow-up of necessary treatment for Norwegian patients who have been treated abroad with reimbursement from popular protection?
ParlaMint-NO_2003-11-05.ana.ud2613e969	I do not want and cannot go into the specific matter of representative John I. Alvheim now refers to. But I have to say, no matter where the treatment has taken place, it's important that the patient is well cared for. Some of the methods and tools used are so special that it can make monitoring and follow-up problematic in Norway. This applies, inter alia, to: some osteosynthesis materials, which may make it relevant that the removal of such material must also be carried out in a foreign hospital. In our view, such follow-up, even if it is to be done abroad, will also be the responsibility of regional health businesses according to the bill that is now in Stortinget. Until it has been dealt with and implemented, it is my opinion that health businesses need to find flexible solutions for the few but important individuals involved.
ParlaMint-NO_2003-11-05.ana.ud2613e976	Once again, I thank the Council of State for the answer, and I will pursue it further in the system. We now have some Norwegian patients, especially some anorexia patients, who have received authorisation for treatment abroad, but this treatment cannot be completed before 1 January 2004, according to an individual plan. These patients were reported to have been told to discontinue treatment at this time. Does the Minister of Health believe it is right and proper that patients who have received authorised treatment abroad should discontinue such treatment because of a lack of coverage at a special budget line in the State budget?
ParlaMint-NO_2003-11-05.ana.ud2613e983	We are in a transitional period between the patient bridge and a regular extension of responsibility for healthcare companies. During such a transitional period, I believe that good solutions must be found to ensure continuity of treatment for the individual patient. Continuity may mean continuing to purchase services abroad for the patient concerned if there is no capacity and competence in Norway, or it may mean taking the patient back to Norway and providing a follow-up treatment system there. But one of the parts should happen in the case where one has actually initially considered that there is a need for a treatment facility that lasts longer than the patient bridge, as we have now arranged.
ParlaMint-NO_2003-11-05.ana.ud2613e991	I have the following questions for our Minister of Health: ‘In Arendal, a popular uprising has begun against the construction of the hospital in the city. Harm is enormous among the inhabitants of the entire East-Agder against the plans to, among other things, weaken emergency preparedness. You're also very upset that the heart centre is at risk of being located elsewhere than at Arendal Hospital. Now many fear for the future of the hospital. Will the Council of State guarantee that the hospital services in Arendal are not being destroyed and that a full emergency response is maintained as is the case in the hospital today?’
ParlaMint-NO_2003-11-05.ana.ud2613e1000	Let me make it clear: there is no reason to fear for the future of Arendal Hospital – the hospital will pass. The population of Arendal and its surroundings will be ensured a sound supply of specialist health services both in the short and long term. There is a process in place in Health South to improve the exploitation of the total resources available to the region. It is part of the mission of the new health reform. Based on the merger of hospitals in East-Agder and West-Agder to Sørlanden Hospital HF and the requirement for economic balance, a wide range of investigation work has been undertaken to identify the alternative work distribution between all hospitals in the health company. According to Health Sør RHF, a proposal for a strategy plan for the Southern Hospital is to be submitted to the board meeting of the healthcare company on 8 December this year. This proposal is then submitted for consultation to all interested parties before a decision is taken at the Management Board meeting of the health undertaking on 29 January 2004. I assume that decisions on major structural changes and/or functional distribution between the hospitals in the districts will be dealt with by the board of Health South of the RHF. When a decision is available in Health South, I will consider whether the case should also be dealt with at the business meeting, as the Health Business Act states. If a decision was to be taken on changes to the emergency response at Arendal Hospital, I will carefully consider this decision, inter alia. against the guidelines on emergency preparedness adopted by the Storting. As regards the establishment of a heart centre in Health South, outside Oslo, there is a decision in Health South to add such a centre to the Arendal Hospital. According to Health Sør, there are no plans to amend this Decision. However, it may take some time before the heart center is realized. So I can assure you that so far there are no decisions that will in any way change the provision of specialist health services to the population of the Arendals region. If such decisions are taken, I will ensure that there is no going beyond the strict requirements of professional safety that have been laid down and the guidelines drawn up by the Stortinget. Communicating about the need for development and migration is very demanding — also because changes are perceived locally as threatening, as a step towards closure. There are many different issues that could have been addressed, such as how processes are carried out in interaction with the political environments locally and regionally, communication with local communities and with their own employees, etc. However, I choose to believe that the most important thing is that we take people seriously, they are afraid that they will no longer be offered properly – especially in emergency situations. We need to understand that and meet even better than today. Hospitals are in such an absolute sense in a sector where trust is crucial, because security is not possible without trust. Therefore, contact and communication with the environment, as I described it, is crucial here as well, and I want to be concerned about the future of the company paying sufficient attention to this.
ParlaMint-NO_2003-11-05.ana.ud2613e1017	I thank the Council of State so much for the answer and am very pleased that he will consider very carefully what is going on in Health South in the future. In its reply, the Council of State says: ‘If a decision was to be taken on changes in emergency response at Arendal Hospital, I will carefully consider this decision, including: against the guidelines on emergency preparedness adopted by the Storting.» This is not a very clear answer to my question in relation to what I wanted. Emergency preparedness is central to maintaining a fully-fledged hospital offer. The Minister of Health has stated in the oral question procedure today that ‘a proper emergency service’ should be provided in all hospitals. Then is my follow-up question: Is it reasonable if the emergency response at Sørlanden Hospital in Arendal might be impaired?
ParlaMint-NO_2003-11-05.ana.ud2613e1027	I stand for what I said in the oral question procedure also in relation to this specific matter. It shall be an appropriate emergency medical offer also for the population of the Arendals region. I repeat what I said in my main response, that this hospital should pass. I repeat that I take responsibility for following up on what structural proposals had to come up and be adopted in Health South in relation to the statements I have made here, and the guidelines that the Storting has drawn up in the emergency message. I am asking for understanding that the hospital reform, as the Progress Party has often pointed out, is a responsibility reform, and it will completely powder the responsibility in the system if I went out in advance and decided what kind of decisions were allowed to discuss, and what was not allowed to discuss in the boards of health companies.
ParlaMint-NO_2003-11-05.ana.ud2613e1032	Once again, I thank the Council of State for the answer. I am still a little concerned about the uncertainties, but have an understanding of the Council of State's assessment of how this should be dealt with by him. But I would like once again to show that this emergency response is also mentioned in a letter that the Council of State has received from the Aust-Agder County Council, which he has probably seen, pointing out that Arendal Hospital must not be a b-sych hospital. We can't accept that. It is a unanimous assembly which stands behind the letter dated 31 October. I must almost once again be allowed to ask questions: Is it in the Council's response that he primarily wants the emergency response at Arendal Hospital to be able to pass as it is today?
ParlaMint-NO_2003-11-05.ana.ud2613e1041	If the representative Torbjørn Andersen had listened attentively to what I said, he would have realized that I am actually concerned that the Arendals region should have a full hospital, and that that region should have functions on behalf of a larger upland than just the hospital's own natural entrance area. But I'm asking for respect for not being able to describe in detail what the future division of tasks will be like in a Question Time in Stortinget. I have issued some principal statements that I will govern after. I have also said that I will be in charge, and that should be sufficient at least for the representative Andersen and perhaps also for the county council, which I have registered as having written a letter, to assume that it will be followed up.
ParlaMint-NO_2003-11-05.ana.ud2613e1051	My question to the Minister of Health is as follows: ‘In the revised national budget, the Government announced that it would return to the State budget on the structural changes in health enterprises. Those who expected the State budget to invite the Stortinget to a broad debate on current structural changes in health businesses were disappointed. How will the Council of State involve Stortinget in the issues of the closure of food departments and emergency preparedness?’
