ParlaMint-NO_2003-03-25.ana.ud1136e47	The representative of Afghan Rafiq, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-03-25.ana.ud1136e513	The President will assume that the appropriations come not from the Department or the Committee but from the Stortinget.
ParlaMint-NO_2003-03-25.ana.ud1136e517	The appropriations allocated to the Norwegian Polar Institute are important contributions for Norway to continue to be a leading knowledge nation in relation to the management of the environmental situation in the Arctic and also in Antarctica. We are leading here and will also be doing so in the years to come, not least through the great research we are now carrying out in preparation for the impact assessment necessary to take a position on further activities in the Barents Sea, and also in connection with the management plan with which the Government has been working, so that we will have a plan to show how we can continue to maintain the Barents Sea as the world's perhaps purest and richest seas in the future. On the basis of these analyses, there will also be an ecosystem approach to which the Storting and the Committee have defined and supported today. When it comes to the question of these satellite images, it's really tempting to say that we now have to deal with the new responsibilities system. The Coast Guard Agency has been given overall responsibility in relation to monitoring and oil protection by means of this Communication and by decision-making. I know that the Minister for Fisheries has a good answer to the question in relation to these satellite images. It's clear that there's only been a ripple in the last two years, so now it's actually easier to put this into practice. Now, even though this is now easier to use over and over again, it's not that these satellites can show the name of the ship. What you depend on when you can continuously monitor these satellite images is that when you see that, for example. oil comes out of a ship, you have to have planes to send up to reconnaissance, see which ships it is and take their name. I assume that the Minister for Fisheries can elaborate on this in his speech, and what is related to coastal protection and oil protection.
ParlaMint-NO_2003-03-25.ana.ud1136e524	Let me repeat the positive feedback from SV until the Government has provided this important message. Not least that this should be knowledge-based, that one should have an ecosystem-based management of marine resources and that the precautionary principle should apply, SV seems to be an important superstructure in relation to this message. What's the challenge is just about a thing to follow up on this in its own government. There's an example of a non-do. I can then name the Villax Selection, where one does not follow the knowledge-based advice, or the activity that one now seems to increase, i.e. the oil and gas business in the Barents Sea, which it looks like a no let itself be pushed into. It is also not in accordance with the principles that this message provides. My first challenge is: how can the Council of State strongly support the principle that one follows the principles of the message, e.g.: by selecting partners that want what is in the messages provided by the Government? Two questions are related to the potential of SV mein in relation to cooperation with Russia, not least when it comes to research, environmental monitoring and oil protection in the north. Here's a challenge that I, having been in North-West Russia, don't think the government has done well enough. There's a very positive deal from the Russian side, and there's a potential here. I want to hear what the Minister for the Environment will do to make sure that there is even more speed in this, for example. an assessment in relation to the Northern Area Centre proposed by SV.
ParlaMint-NO_2003-03-25.ana.ud1136e538	Like the committee, I am very concerned about the environmental situation in North-West Russia. Many of the facilities that this is about are on our own, and we have great national interests in view of the fact that the environment is also prioritised here. The Bay of Two was mentioned as an example where there are many old environmental sins. When I was on a visit to Russia in September, we got a clean-up agreement in relation to the damaged fuel rods that are on board the Lepse, so there are fuel rods taken from the former icebreaker “Lenin” – or it was Stalin; it may not be that different! There are very big challenges here that the Government is concerned about. There's of course some balance here as well. I guess the committee also ran through Nikel and Petsjenga and the nickel mill there, where Norway is now spending over 100 million. kr. Now this company is running for billions of dollars in profit. I had a Russian delegation from the state Duma on a visit last day. I then underlined that the main environmental challenges can never be solved through small contributions from the Norwegian state, but Russian authorities also need to set environmental requirements, so that some of the external costs that these companies incur for the environment are internalised and become internal costs in these companies. The government is following this up by now focusing more on renewable energy, among other things. We are now supporting renewable energy through the use of biofuels in Arkhäng. We can then transform old, truly polluting oil power plants into bio-fuel plants. With regard to this marine environmental message, I believe this is groundbreaking internationally. It has also received the full support of Stortinget, and Stortinget has also developed the message in a number of areas that I think are very good. Now, of course, we're going to deliver, and that's what we're going to do. I have then gone through some of those areas, and it is a prerequisite in the future for managing according to the principles that the Storting has now established. We are also actually delivering policies here, I must say! Although not everyone is satisfied with the salmon proposition, it has actually been implemented so that the wild salmon now has a right to drive in many places in Norway. And that's not the situation elsewhere.
ParlaMint-NO_2003-03-25.ana.ud1136e547	First of all, I have to say that I belong to a minority. There may not be any rarity in the political context. But this also applies to where you live in the country. I was told by the minister that two thirds of the population lives less than 10 km away from the sea, and some of us are from the interior and are therefore not in that category. But nevertheless, we are concerned about the marine environment, which we know has a lot to mean for our country. Burnt emphasis here that Norway was one of the world's most important countries in coastal and marine areas, and he said that we are rich in seabirds, fish and marine mammals, and so on. That's good to hear. But I would like to ask the Minister for the Environment a little bit about how to do that. In the case of a letter of consultation dated September 2002, from the Ministry of the Environment of the Ministry of Oil and Energy on proposals for an investigation programme on the consequences of all-year petroleum activities in the area of the Barents Sea, I am interested to hear how the Minister for the Environment will ensure that his environmental interests appear. There may well be some conflicts of interest in this area. I quote a little from the letter. It says: ‘The investigation programme provides for the completion of the investigation already in the summer of 2003 and for that reason is based only on background. At the same time, it is known that existing knowledge about the ecosystems in the Barents Sea and the effects of different types of influence are partly very poor.» My question will then be: Are you following the precautionary principle here? Will the Minister for the Environment ensure that these references from his own department are followed up to the extent that there may be conflicts and will he stand on the side of the environment in opposition to the heavy oil interests?
ParlaMint-NO_2003-03-25.ana.ud1136e565	Our seas are clean and rich. They are also after 30 years of oil and gas operations, but this is because we have been leading internationally in relation to making strict demands. The last thing that has now also been addressed by the Storting is to set a zero-emission requirement in relation to hazardous waste and hazardous emissions from 2005. It is also the case that the SFT in the concessions it has had to deal with now places the list at a very high level in relation to making demands on the oil industry. With regard to the letter quoted by the representative, Enger, it was the Ministry of the Environment's input in relation to the original arrangement for an impact assessment by the Ministry of Oil and Energy. After all the recordings, both from the Directorate for Nature Management, from environmental protection organisations, from the SFT and also from different departments, a comprehensive impact assessment is carried out. The impact assessment that the Ministry of Oil and Energy is now working on is a good setup, and was also something new with this government. The Sem statement made it quite clear that it would not be possible to open up further business in the Barents Sea until an impact assessment had been carried out. It is important to know what are the most vulnerable areas, and to know what are the premises for future oil and gas activities in the Barents Sea. Therefore, we must now await this impact assessment before drawing conclusions from any new exploration activity. I'll have it on the table first. In the Ministry of the Environment, we are now working in parallel with a management plan in relation to what Stortinget is now adopting on an ecosystem approach, leading to the precautionary principle. What I'm going to do is balance and try to achieve a coexistence between these industries, and then we get a good basis on the table through a good impact assessment before we make decisions in relation to the further use of the Barents Sea.
ParlaMint-NO_2003-03-25.ana.ud1136e572	The Minister for the Environment stressed in his introduction that we should create clean and rich ecosystems for future generations, and it is important to clean up old pollution. Therefore, the Workers' Party will have a plan for progress in such a clean-up. We want a plan to know the costs of such a clean-up, and we want a plan to ensure progress in cleaning up contaminated sediments in Norwegian fjords and marine areas. The government parties have not wanted this, and my short question to the Council of State will then be: Is it the fear of the Minister of Finance or the fear of future budgetary comrades that will prevent the Council of State from going into a plan to ensure safe progress in the clean-up of pollution?
ParlaMint-NO_2003-03-25.ana.ud1136e579	First, I want to say that I share Klungland's commitment to clean up old environmental sins. In more than 20 of our fjords, there are dietary restrictions on eating fish and crustaceans because old chemicals, especially PCBs, are being swirled up and become part of the food chain. This is something we can't be familiar with, and that's why the Government has also presented a plan for how we're going to move forward step by step to get a clean-up. It's also true that in recent years, we've been adding $10 million to the appropriations compared to the previous government's spending on bets. But we have to go forward in such a way that a clean-up happens properly and really. We have now made state-of-the-art action plans to start where it is worst, but we also need to carry out pilot projects to ensure that we have the necessary experience in how this is to be done. The reason why there is not so much international experience in this is that this primarily affects terrestrial soils. In Norway, we have many fjords that are taller and lower, and therefore many of these pollutants have not been flushed out. But when we're going to clean this up and spend a lot of money, also more money than what it's added up to in the last few years, it's going to be done in a real way. But I noticed that the representative of Klungland and the Workers' Party, after the opposition has now arrived, has been busy giving more to this, and I think it is positive. We also want to support this. Nor have we had any problems with our partners, whether it has been the Workers' Party or the Swedish Labour Party, nor the Progress Party, in order to get money to clean up old environmental sins. But I was a little surprised when the representative now said that they would get a plan from the Government to know about the costs associated with this. That's what you have to get. But then a proposal is proposed asking the Government to present during 2003 a stepping-up plan which makes it realistic within a decade to remove PCBs and heavy metals containing substances. But that is when the conclusion has been drawn. SFT has just said that it costs in the Timilliard class. First, you might have to wait for this investigation on what it costs, and then make such a proposal.
ParlaMint-NO_2003-03-25.ana.ud1136e588	I have registered the Council of State's answer to the question from the Central Party, and it could almost seem as if there was a slight misunderstanding regarding the impact assessment currently being conducted, whether or not we should open the Barents Sea to petroleum activities. Because that's what you're investigating. It is not considered how to conduct any petroleum activities in the Barents Sea, but it is assessed whether it is appropriate to do so. The SFT was very clear in its opinion. Existing knowledge is deficient. There's a lot of knowledge that needs to be close if we're going to be able to say something knowledge-based about this. If we're going to be able to say something ecosystem-based about this, the knowledge gaps are even much, much bigger. It is an important step in this communication, that we should say something ecosystem based on the management of the Barents Sea. But it is therefore not compatible with a rush to open the Barents Sea to petroleum activities as quickly as possible. I might also add that I have faith that the Council of State has deep knowledge of ecology. He also knows that knowledge gaps about complex ecological relationships do not close up in a couple of months of investigation, but that it requires a lot of research – also, as the State pollution authorities have pointed out, new research. And it's not done in six months. You don't learn so much about myth, hedges and complicated ecological contexts in just a short period of time. Isn't it the only right thing to wait for this decision until we have an ecosystem based on a management plan for the Barents Sea?
ParlaMint-NO_2003-03-25.ana.ud1136e603	I noticed that the representative Sørensen assumed that I have deep ecological knowledge. I don't know if I can go well, but it's getting better. The learning curve has been steep, so to speak. With regard to the impact assessment that the Government is in the process of implementing, it is quite right, as the representative Sørensen says, that the Sem Declaration states that it will not open the Barents Sea and take a decision on this with new oil exploration and operations until an impact assessment has been carried out. Then you get the results of this, which I think has become a good setup. Many of the issues raised by the Ministry of the Environment in the letter to which it was referred have been addressed by this impact assessment. When the government gets it on the table, you will also have to decide. But we are not in a cheese lid in the Ministry of the Environment, and not in the Government, and we have come to the conclusion that the Committee is concerned that oil and gas activities will continue in the years to come. And there have been some other messages that have actually passed Stortinget, after both the Sem-Declaration was signed and the marine environmental message was presented. I would just like to stress that the impact assessment is not only important in relation to opening up further oil exploration and activities, it is also important for us to learn more about the requirements of State pollution control and environmental authorities, as leaders in the world, also in the Barents Sea, if we are to open up. I also believe that this is an important part of my job to take care of deep ecological interests on behalf of the marine environment nation of Norway.
ParlaMint-NO_2003-03-25.ana.ud1136e614	The cord shift is over.
ParlaMint-NO_2003-03-25.ana.ud1136e618	The main thrust of this big message is that we will have ecosystem-based management in the future. The areas of Lofoten and the whole Barents Sea shall be the first area we manage after this new model. It's no coincidence that this area is going to be tested, because it's one of the most rich, exciting areas that exist in the world, and that we manage. Primary production is extremely high along the ice edge of the spring, and this provides the basis for the high natural and biodiversity values that exist there. The Barents Sea has some of the world's largest and richest fisheries. Some of the world's most important spawning grounds for commercial fish species are concentrated along the coast of North Norway, and the currents of the sea there carry the highest concentration of eggs, larvae, of cod, hyss, sea and sheer and herring known in the world each year. No other area in the world has such concentrations. The cod can reach a stock size of up to 6 million tonnes and are the world's most important edible fish. The solder population may reach 7 million tonnes, and the Barents Sea is likely to have the largest worldwide lotteries. We must manage the Barents Sea in such a way that it is also one of the world's most important food barrels in the future. But an ecosystem-based approach also means that we take care of the species that we don't eat or live with. Not least seabirds, and the Barents Sea is one of the most important areas for seabirds in the world. Røst and Gestvartappan are among the world's most important birds in the case of olefins and lomvi. And if we're going to think ecosystem-based, we need more knowledge about this. We know today that 3/4 of the population of yellow-clove winters in the Barents Sea, that approx. 40 pst. in the Barents Sea, and over 1/3 of the world’s locusts nest and find their food in the Barents Sea. And if we're going to think ecosystem-based, we're going to take them into account as well. We know that the Lomvi population in the Barents Sea has been through a reduction that is the largest we have seen in any marine bird population ever in the world. Today it's just 5 pst. of its original size, and it illustrates the vulnerability of this area to intervention. We're also going to take into account that the Barents Sea is the richest area in Arctic strips we know about benthic fauna. And I'm glad we've managed to protect the coral reef we found outside of Røst. But we need to know more about this. That's just ten pst. by the bottom of the Barents Sea we know. Strictly speaking, we know the surface of Mars better than we know the bottom of the Barents Sea. It requires new research to do something about it. It is that we should be able to adopt an ecosystem-based approach, we should also take into account the marine mammals in the Barents Sea. We know that the Greenland whale is one of the most endangered whales that exists. It's called in English 'the right whale'. It was because if a shot at it, it didn't sink. That's why it was the easiest one to harvest, from early times. We have Greenland whales left in the Barents Sea. We're gonna take care of it. We also have an polar bear population in the Barents Sea, and that's the only area where it lives freely without being hunted. We have a responsibility to follow it up. I am delighted to see, in the shadow of a terrible war, that there was a good news from the United States last week. The Senate said no to oil drilling in Alaska. Eight Republicans crossed the floor and agreed with the Democrats to stop Bush" plan to operate with oil drilling in the Arctic. We also have our Arctic. If we open up the areas of the Barents Sea for oil exploration, we're behind the United States in being the best in the class in the environment. Let it be a little warning to future debates! Finally, I wonder if there is a minor error in the setting, which I would like to ask the chairman of the committee to look at. SV is very pleased that the Government will base the precautionary principle on the work on further follow-up in the clean-up of contaminated sediments. We have written that as a separate note, and I note to my amazement that the government parties do not agree with the Government in this very important area. It is fine if the chairman of the Committee can clarify it.
ParlaMint-NO_2003-03-25.ana.ud1136e641	It may seem obvious that Norway has a long and vulnerable coast. Nevertheless, it is a reality that many of the most important vulnerability prevention measures are linked to just our long-range coast. Coastal surveillance is therefore a priority task. Both the Defence, the Naval Defense and the Air Force, and the Coast Guard play a significant role in maritime surveillance and traffic control. The Coast Guard Station operates three traffic centres for waters in need of control and, in addition, a national directive will gradually be introduced requiring large parts of the world’s merchant fleet to be equipped with automatic identification systems, which means that each country has to establish its own shore-side reception apparatus. An initiative has been taken here for cooperation between the Coast Guard and the Defence Department on how the Norwegian coast should best be covered by an AIS system. At all, coastal surveillance is an area where we are totally dependent on close and close military and civil cooperation. Defence is increasingly an operational resource for monitoring, both of the environment and of fisheries resources, and of course for the enforcement of our territorial border, as well as the vulnerability prevention and anti-terrorism preparedness measures, which have increased both qualitatively and to an extent since 11 September 2001, and which were discussed in depth at the Innst. S. No 9 — Treatment of the vulnerability message by the Storting. Military presence on the west coast and especially in the north areas provides the basis for an effective exercise of authority and sovereignty in peacetime and ensures national freedom of action and crisis management. Military presence may also be used to prevent instability and conflicts and contribute to effective environmental monitoring. For the treatment of Inster. S. No 9 The Stortinget – in the form of a decision – decided to establish a crisis management command for the northern regions at Landsdelskommando Nord on Reitan. The setting underlined that Retan must be a centre of preparedness and surveillance. I see from today's attitude of the Energy and Environment Committee that the Government has decided to set up a working group to promote concrete solutions for the integration of monitoring resources into a common civil-military imaging centre, just added to the Northern part of Reitan Regional Command. In my opinion, it will strengthen Retan, and it will strengthen the crisis management command as the necessary monitoring of the northern regions. It will also strengthen Reitan, which is likely to lose NATO infrastructure, like several other parts of Norway, but we will then have this crisis management command built up to become a proper monitoring centre for the northern regions. Let me add that among those delivering daily material for surveillance on Retan, the Air Force Control and Reporting Centre — CRC — is on Sørreisa, which will also be connected to the air radars in North Norway during 2003. There's a close interaction here. In the Vulnerability message setting, Stortinget also entered a traffic monitoring centre in North Norway. The current settings highlight the importance of having it set up quickly, for reasons of urgency. Let me then remind you that there was unanimity in the handling of the Vulnerability Communication – and there were two committees behind it – to consider adding this to Vardø. Finally, let me mention an environmental issue in Oslofjorden that also needs to find its solution. The large boats that enter the fjord, whirling up a lot of sludge. Oslo port services shall move 800000 tonnes of toxic bottom sludge from the internal port and wish to dump it at the Malmøykalven. However, this is a recreational area for large parts of the population of Oslo and for people from neighbouring countries. This area will become even more important as an open-air area when the Mosseweg is put in the tunnel. An alternative that we from Oslo have gone through is to move the sludge to Lang Island outside Holmestrand, to the special waste facility that is already there. They have also agreed to take this bottom sludge and also have the skills and technology to handle it.
ParlaMint-NO_2003-03-25.ana.ud1136e662	Environment and seafood are two sides of the same coin. Harvesting of the blue field and customer's desire for safe seafood impose strict environmental and ethical requirements in the fishing industry. Norway has rights and responsibilities for some of the world's largest and most productive coastal and marine areas. The vision is: values from the sea – the future of Norway. A clean sea is a prerequisite for maintaining and developing the production and harvesting potential which is the very basis of the fisheries and aquaculture industry. The comparative advantages that Norway has through natural framework conditions and the competences that people along the coast have built up through generations can only be continued by the fact that the sea is well served. The Government will, and I am very pleased with the support the Committee gives to the Government in this work. The objective of resource management is to facilitate an off-take that ensures a high sustainable yield from fish resources, while at the same time safeguarding the consideration of the marine ecosystem. In this context, the Committee and I agree that sustainable fisheries management depends on the reduction of fishing capacity in order to be more consistent with the resource base. A prerequisite for realising the value creation potential of Norwegian seafood is that consumers choose Norwegian seafood and they both know and feel that there is safe food. A clean sea is very central in such a context, and I am convinced that Norwegian fisheries policy and Norwegian environmental policy are two sides of the same coin. Therefore, we will also see that the Ministry of Fisheries and the Ministry of the Environment have increasingly shared objectives and common solutions, because environment and ethics will be important inputs in a food export industry such as fisheries. Both the Minister for the Environment and the Minister for Fisheries are concerned with the potential for value creation based on the biological resources found in our coastal and marine areas. The quality of the marine environment is a basic premise for biological production and exploitation of these resources – whether as human food or as other uses. Contamination of the marine environment may remove the basis for such exploitation and may weaken consumer confidence in Norwegian seafood as a safe sea food. I am pleased that the notification of the marine environment receives good reception in the Stortinget, in the opinion and in the fishing industry, because it makes it apparent that the responsibility for maintaining the cleanest seas lies with more sectors. A key prerequisite for maintaining the cleanest possible sea is good safety and good sea preparedness. In addition to the offers already made by the Coastal Agency today, the Government has implemented and is preparing a number of measures to strengthen maritime safety and the emergency situation. The aim is to reduce the risk of accidents as far as possible through preventive work, but also to have a good preparedness if the accident is first out. In this work, the Government focuses on the challenge in the northern regions in particular. Oil transport and other shipping are increasing in this area, as has been the case with several of the representatives, and this development must be assumed to continue, inter alia. as a result of increased oil production in North-West Russia. By assuming SFT's responsibility for acute pollution from the New Year, the Swedish Coast Guard Agency is now responsible for State oil protection. The Coastal Agency is now responsible for both prevention and action if necessary. This means clearer responsibilities and better coordination in day-to-day management and in actions. Of course, with regard to the comments made by the Committee on Coastal Preparedness, I would like to take these with me in the further work on both the revised national budget and the 2004 budget. In this way, after taking over the responsibility for coastal preparedness from the SFT and the Ministry of Environment, I have undertaken a major effort to improve the coordination of the overall resources associated with the Coastal Agency and others that contribute to security and preparedness. In this way, I agree with the Committee that overall private and public response resources need to be seen in the context. The Committee points to the increased coastal oil transport and mentions both the towing boat capacity in North Norway and a traffic centre for North Norway. We are working on both issues and will come back to Stortinget as soon as we have an adequate decision-making basis, including in terms of satellite surveillance as a complement to the monitoring that, among other things. The coastal facility has 365 days a year, 24 hours a day, and will be further improved when the AIS system is up and running from 2004. In many respects, I have said that we are working on all these issues, and in this way, the Committee's comments are fully in line with the work and assessments that we are doing in the Ministry of Fisheries, and that we are concerned about. In this context, I can point out that an extension of the territorial limit from four to twelve nautical miles is currently being treated in the Stortinget. As soon as it is finished, the government will come back with the legal basis to establish fairway managers. We are working on identifying coastal sites and ports of refuge, so that we can avoid the situation of Prestige. We want to have the AIS up and go from 2004, and as I said, it will form the basis for better identifying vessels in connection with satellite surveillance. The traffic controller is being prepared, and we're working on the tug capacity.
ParlaMint-NO_2003-03-25.ana.ud1136e690	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e693	At first it was that the Minister for the Environment more or less encouraged us to ask the State Council Svein Ludvigsen about the «Barents Sea on screen». Now he was talking in his article about satellite surveillance. But one of the points of the Barents Sea on screen is that it should be more than that. It has to gather the knowledge we get from satellite images and combine it with the knowledge we already have from the research environments and the knowledge environments in this country. It is also about strengthening long-term environmental monitoring. So here my challenge will be that the Minister for the Environment and the Minister for Fisheries must cooperate closely in this area, also in order to be able to follow up the comment on this in a good way. My other question concerns what I am, among other things. has referred to the fact that in a letter to Prime Minister Kjell Magne Bondevik, Troms County has stated that clear and unambiguous command structures need to be established. The letter states that today's command structures are partly unclear and at least not unambiguous. It's a clear signal and puts words on something that not only the county of Troms is busy, but it's a signal that at least I've got through a number of meetings and through people I've had contact with in the work on this message. In his speech, the Council of State stressed that he was working to achieve better coordination. But the point and the clear signal is that this is urgent. My question to the State Council Svein Ludvigsen is therefore: Will he take care to present the matter of setting up a traffic centre as quickly as possible and in a manner where it is seen in the context of the case of setting up an exemption command on Retan? Will he now ensure that, during the spring session, responsibility is cleared up, so that those responsible locally along the coast get it clear who is always responsible for what is related to traffic monitoring in case of an accident? Today it's not clear. This has to be cleaned up – and it's urgent.
ParlaMint-NO_2003-03-25.ana.ud1136e702	Now I would like to tell the representative of Konglevoll that we do not have to describe the picture worse than it is. I do not know the lack of overview and coordination described here. I would think that there is hardly anyone who recognizes that it should be so unclear. But the government has recognized that it can do better. That is why they took the grip of what was started on 1 January, namely that SFT was moved to the Coastal Works. It is the Coast Guard with its presence on the coast that is undoubtedly the best coordinator, and precisely by bringing together more of the decision-making base, more of the preparedness, in the Coast Guard, and in the light of the experience we have done, not least with John R, I feel absolutely confident that the situation is good. But it can always be done better. That's why I stressed in my speech that the Government has an important work to do on a number of issues, not least in coordinating efforts in various departments and departments. It's urgent to get things up and go. I mentioned in my post, among others. extension of the territorial border, fairways, coastal areas and emergency ports. We fully financed the AIS in this year's budget. It allows us to make better use of any satellite monitoring. It is also the case, as I said in my speech, that there is close cooperation between the Minister for the Environment and the Minister for Fisheries. With regard to the issue of the ‘Barent Sea on screen’, there are areas in which we have good contact and assess different input – as we will also do when the Stortinget has made its decisions today – in the follow-up work, which it is natural for the Government to have. Whether I want to come back to all of these things in the revised national budget or in the budget for the autumn, we'll get back to when they're presented. But we must not overlook that some of these things will mean significant counting, and it would be natural to take it into an ordinary budget.
ParlaMint-NO_2003-03-25.ana.ud1136e713	I have two questions for the Minister of Fisheries. One is related to a problem that SV and the Committee are concerned about, namely cooperation with the Russians in the north. One already has a cooperation there in some areas, about the king crab and oil protection, but in the Committee's view, having been there for a visit, it is quite clear that there is a great potential in far more areas than this if one is willing to use funds on it. Of course, there is also the ability to strengthen cooperation between them, for example. in the case of oil protection, which is absolutely necessary for the future. Today, SV has a proposal to create a Northern Region Centre, which not only concentrates on the Arctic and Antarctica, such as the Polar Institute, but links more of its activities to, for example, the Arctic. The Barents Sea area and its close cooperation with the Russians. I would like to comment on how the Minister for Fisheries views such a strengthening and, where appropriate, what kind of strategy the Government has for strengthening cooperation with the Russians in important areas such as research and oil protection and other areas. The second question is related to what this important message we are dealing with today has as a superstructure, this with knowledge-based and ecosystem-based management of marine resources. I hope that there will be a change of regime from the Government's side. In the fall and in the spring we treat error messages. In the middle of that treatment, 40 concessions were first thrown out and 50 new salmon concessions were added to the budget. My question is, is what happened there, a knowledge-based management or ecosystem management of marine resources?
ParlaMint-NO_2003-03-25.ana.ud1136e724	It is said from the representative of Langeland that from the Russian side there has been so much dissatisfaction with cooperation on fisheries management. I have to say that I am greatly surprised if some responsible authorities in Russia have been critical of it and pointed out that there was a great potential in this area with further cooperation. Cooperation is close, and it has been close since the Soviet era. There has been good cooperation, exchange of data, good cooperation between professionals, and we have developed this further after the transition from the Soviet Union to Russia. So both on resource research, on resource monitoring and on the control side, there's close cooperation, and perhaps the most successful cooperation we've had with Russia since the end of the Soviet era is on the fishing side. After all, the autumn negotiations in the Norwegian-Russian Fisheries Commission continued this work on the basis of the idea that research should now be given even greater importance and that a more holistic and long-term management should be taken into account. So I feel that as far as the fisheries sector is concerned, which is one of the two areas for which I am responsible, it is a good and constructive cooperation. In terms of maritime safety and preparedness, I expect that we will also develop good cooperation there. This is why, for example: in connection with the establishment of the traffic centre, important from my point of view to maintain and further develop close contact, build on, inter alia. the contact established by the State of Finnmark, which we hope to follow up during the course of April with a meeting between the authorities of Russia and the authorities of Norway. When it comes to the northern regions, I have to remind you that it's not like we don't have activity there. The Polar Institute is an institution that also has close and good cooperation with Russian authorities. So here, maybe it's a little bit important that you take inward into reality, too, not just single statements.
ParlaMint-NO_2003-03-25.ana.ud1136e733	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-03-25.ana.ud1136e738	I am not going to go through the debate that I think has been constructive in many areas. That applies to proposal No. 6, which I understand is a little complicated to keep up with in relation to the business committee's consideration of the matter of the royal crab. On the basis that they are to have a holistic treatment of that piece, SV draws proposal No. 6th@item: inlistbox
ParlaMint-NO_2003-03-25.ana.ud1136e743	The representative of Langeland has drawn up proposal No. 6th@item: inlistbox Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 2356]]
