ParlaMint-NO_2003-02-27.ana.ud1013e47	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2003-02-27.ana.ud1013e397	The representative Elvik has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2003-02-27.ana.ud1013e402	The representative Elvik concluded with what was really going to be my main question here, that proposal No. 5 in the setting will be replaced by the bench proposal presented. But then a little bit to SV's argument in this matter. I feel that until today SV has had a clear profile and ridden this profile very high – you have been against the net pay scheme. The representative, Elvik, has also said very unfairly today that the industrial policy of the government parties is most characterised by tax relief. You have ridden the profile very high – for net pay. And it has been argued that this relationship has been under the vignette «taxelette to the richest of the richest», which has also been profiled very high. When one sees that SV today makes a proposal that actually beats the appropriations that lie in the historically high amount of reimbursement and net pay, is my question: isn't this a new, if not a good, example that SV is trying to ride two horses in this case as well?
ParlaMint-NO_2003-02-27.ana.ud1013e409	How many horses we ride should remain secret. But as I said in my main post, this is about a sober assessment. For us, it is better to extend the scheme, for we get conditions attached to all ships that are covered by the net pay scheme, than to keep the pot in relation to the net pay for ferry companies that are there today as today. I have seen signals from many teams saying that we could have re-prioritised today, it is not certain that we would have prioritised the ferry companies at the top. Then it's better for us to expand the arrangement so that we get it targeted, that the arrangement expands to those who need it more than those who have it today, and that you get attached to it. I feel that if the proposal that is on the table is adopted today, we have taken a good policy on nutrition. Then we turn a system that is completely inflexible to good industrial policy, to technological development and to the focus on knowledge and competence – what everyone really wants. We don't do that unless we set these terms. How many horses we ride, get unanswered, but at least I feel that the grip we take is very correct.
ParlaMint-NO_2003-02-27.ana.ud1013e416	Åsa Elvik started his post with almost to owe the Progress Party, not to have been on the track before to possibly get a deal. I want to say it's a little weird. After all, the party of progress has always been the party that has been the strongest in order for us to have a net pay arrangement. SV has had the opposite direction. So it began to crack cracks in SV. It is a bit demanding when one just requires the Progress Party to have an overview of what is happening internally in the SV. What I've experienced for a few years at Stortinget is that Øystein Djupedal has repeatedly stood on this pulpit and said: Reiarar has enough and can't get more! For this reason, he has opposed the net income tax compensation scheme, the reimbursement scheme, tonnage tax, etc. You have an SV that has changed its view. If SV wants to do something about this, it must be SV's responsibility to come to us others who have been in favour of this all along, and ask for negotiations and not all of a sudden the last night before the debate comes up with a proposal that a thinker should get more. The strange thing is that SV has not realized that it does not play a role for the riders if they have their fleets in Norway or abroad. The tens are just as good. Likely, they will stretch more about those flags off anyway. But what SV's holding always has been, is just kicking all Norwegian seafarers on land and destroying the nutrient base of Norwegian maritime nutrition, within shipyards, ship equipment and ship design. When Norwegian fleets move out, it may be uninteresting to use Norwegian competence in these areas in Norway. So now the SV is responsible for getting to that compromise. They can't blame others when we have this served at the breakfast table today early.
ParlaMint-NO_2003-02-27.ana.ud1013e422	Because history is also written by reference to mass destruction, it is necessary to clarify some obvious misunderstandings. When we say at the SV group meeting that we are against net pay, and at the same time say that we are willing to talk about intermediate solutions, it becomes silent both in the Stortinget and unfortunately in large parts of the industry. I know I'm not allowed to say that I'm sorry, but at least I'm very sorry for that. The proposal which has been amended and which is on the table today is the further processing of a proposal which we presented in the Committee on Tuesday. Yes, it is late, but the Progress Party still has the chance to vote for it and be part of it and take responsibility for cutting Norwegian offshore.
ParlaMint-NO_2003-02-27.ana.ud1013e431	There were a couple of relationships in the article to Åsa Elvik I would like to comment on, because there is unfortunately something misleading. A tendency to create a rhetorical point or to create myths, then to attack them. That applies to two relationships. First of all, we're going to give tax credits to the richest. It's repeated and repeated, but it won't be true anymore. What business has asked for, and received, is tax relief. ==References== 80 pst. of the tax payments made in these two years have been granted to strengthen business. The wealth of people who own and run businesses becomes a secondary question. The aim is to give business better conditions so that they can renew and drive on in an enhanced way. The second myth that Åsa Elvik took up in his post is that of industry neutrality, and that the government and the party from which it originated have nutritional neutrality as a superior principle. If you look at the special issue we're dealing with today, we've given you record high transfers to support these fleets, as they've said before in the debate. Furthermore, we have introduced tax reliefs in the fleet tax administration, and there is hardly any industry that has been given such favourable arrangements by this government as this industry. So I really appreciate that these myths don't get re-trained, and repeat and repeat. They won't be true anymore if they're repeated many times. This government enters and critically assesses which support schemes may be appropriate, but we are not neutral. We have entrusted our politicians, both at large and in the government, with an assessment of concrete measures that can help the individual industry.
ParlaMint-NO_2003-02-27.ana.ud1013e438	As far as I can understand, this was a line to the representative Ivar Kristiansen's line to me, because I didn't even talk about tax havens for the richest of my post. I talked about what is good business policy and not. There's a significant difference. And if we're going to start the finance debate here, at least it's going to be a long evening meeting. I can't understand the signals from Per-Kristian Foss other than that the government wants a business-neutral tax policy. In any case, I think that if you don't resort to the argument in relation to the tight budget, the only thing you have to fall back on is that this industry should not be different from others. I disagree that we are going to have a business-neutral tax policy. For example, I see myself. that the differentiated employer’s fee is a glittering industrial and district policy instrument that completely conflicts with industrial fiscal neutrality. That the government speaks with many tongues, I can't take responsibility for it, but when Per-Kristian Foss is so clear in his signals, with the position he has in the government, at least I take the political signal quite clearly in which direction the government wants to drive this.
ParlaMint-NO_2003-02-27.ana.ud1013e445	The cord shift has thus been completed.
ParlaMint-NO_2003-02-27.ana.ud1013e448	I just want to pick up the thread from the answer I now got on my line, and make a little final comment. I mean that when it's clearly said from my side on behalf of the Government that we're open to providing special support schemes, and giving it to many, many industries, it shows that this is a principle. Then it's a little bit unlikely to claim that we don't mean it and don't do it, and then attack us for it. When it comes to the debate we have today on Document No. 8:21, I'd like to put this in the frame of the contours that we've seen multiple times. It's the contours of an overwhelm policy without interference. There is no doubt that this matter, which concerns seafarers, offshore companies and Norwegian shipping, is important for securing Norwegian seafarers' stable framework conditions. It's very important and it's very important. There is also no doubt that this is a good thing, like many other good things. It's always going to be like that, and it's unfortunate that several big things are happening without interference. Norway is an important shipping nation. I want to appeal to the industry to continue to participate in community construction. The oil company has paid well for offshore services on a Norwegian base, and they have been taxed for this. The fleet should be detained by flagging. The grass may not be so much greener on the other side of the pelvis. I want to warn you about a psychosis where a attracter hasty conclusions and moves businesses out of Norway. The importance of Norway, the communities and, in particular, the recruitment of quality teams should ensure that the riders should be employed in Norwegian. And when I look at the accounting figures for a lot of riders' teams, they're actually not bad. I would like to underline the importance of continuing to pursue a stable and prudent fiscal policy in the long term. It is good for both family, municipalities and business. It is of great importance to the exercise of monetary policy. We've seen this quite clearly since the last fall we got a tight budget, even though we've got a lot of criticism because we haven't been able to accomplish all the good things. The tight fiscal policy that this has led to has helped in the winter to lay the foundations for two interest reductions and a sluggish dollar rate, and that is what the industry is asking for. What is important now is that we all support the creation of monetary policy so that we get an additional interest rate cut. Financial policy and income policy cooperation cannot lead directly to lower interest rates, but if they are pursued accurately, monetary policy can in a way contribute to the weakening of the krone price and to a non-reliance with a sustained strong krone price level. This is the best we can do in relation to the competitive industry. The government has now started work on a maritime communication to increase market access for Norwegian shipping services, stricter environmental and safety requirements at sea and to increase the use of domestic maritime transport as some of the most important issues. A central question will be how the value creation and employment of this competitive industry can develop over time. I want to give credit to the Council of State for this initiative, and I hope that the message contains clarifying conclusions with regard to further developing this industry. It's important at a time when our competitors are positioning themselves and important premiscuous suppliers of international shipping policy are moving into new positions. I think it is important that Norwegian framework conditions are largely in harmony with those we meet with our competitors. Here, of course, there will be degrees of balances with respect to harmony, but it is superior that we provide a good framework for shipping, not least by guiding a policy that provides lower taxes and charges. Of the 19 billion we've given in tax bills, about 80 pst. have been sent to the business community to strengthen their ability to employ as much as possible. There are major challenges we are facing on the Norwegian base. This will be taken up in the message, and we look forward to the conclusion that will come about. a year.
ParlaMint-NO_2003-02-27.ana.ud1013e465	It's going to be line change.
ParlaMint-NO_2003-02-27.ana.ud1013e468	«While the grass grows, the cow dies», it is a saying which is called. It's been quite many months since we were presented in the Business Committee for the situation of the maritime industry. Both the Maritime Organisations and the Shipowners’ Association have met repeatedly and have been in dialogue with the Business Committee. The employment situation in Norway is becoming difficult and calls for action. Lower interest rates and interest rates are the government's answer, and we all agree. But then it's over. The answer we're given is, although Gedrem doesn't admit it, general instruments, nutrition neutrality and communications. It has to be so that we have to be able to take action quickly where possible, as we propose today. Christian People's Party and Right say in the setting: ‘These members refer to’ — so they refer to the notified shipping message — ‘that this does not prevent the Government from taking active action in the meantime, if the situation so requires’. I ask, is it not that the situation now requires action to be taken against this industry? And what measures can the representative Gedrem imagine that the government might be able to put in place, if the government thinks that the situation now requires it, and looks with the same eyes at the situation that we in the Workers' Party and the other parties do?
ParlaMint-NO_2003-02-27.ana.ud1013e478	I feel that it's a little difficult to figure out what the Labour Party actually means by these questions. I don't want to be unfine, but I get so many different signals. The working party gives the closest impression that they are working for a full net pay scheme and to give seafarers optimal conditions. But they don't follow this in Stortinget to the extent that they suggest, as the minutes of meetings and conferences show. My impression is that the Workers' Party has a constructive attitude to this field, but that they don't go beyond the Government's follow-up with concrete means. On the specific question of whether there is a possibility of 'active grip' now between budgetary periods, I will answer that of course. But I would like to respect the fact that the Storting has two budgetary procedures, one about the cottage and one about the spring, and that we will then deal with economic outlays and try to avoid oversupply policies that will harm society as a whole. It is clear that in the revised national budget it is possible to come back with modified conditions, if the Government finds reason to do so. But I have in my main post appealed to the fleet layers. I believe that fleet teams have good conditions to be able to operate their business, and that they should be detained in order to alert flagging and flagging out concretely. The accounting figures that are now being presented have a great deal of respect for them. But when the government has now announced that they will take a complete review of the situation before shipping, I will at least ask the shipowners and the shipowners to conclude on such serious questions before they see what framework conditions the government will lay down with the industry. It's a positive attitude, and I hope the industry trusts it, and that they'll give us a chance here to figure out the basis.
ParlaMint-NO_2003-02-27.ana.ud1013e487	I thought I would follow up on the extension of the line to Grethe Fossli, because I feel that we did not get the answer quite clearly. The position clearly states that the government parties Right and Christian People's Party will see shipping policy in an overall context, environment, safety, framework conditions, etc. Action will have to be taken before the message comes, but at the same time it will open up to take ‘active action’. But we have a situation in Norway today with 100,000 unemployed. Some seafarers are most likely to enter the labour market at a later stage, and the ring-fence will be negative with regard to new activities in Norway. We know that the EU now sucks at the competence of Norwegian shipping companies moving out. This is a serious situation. We actually have a situation today that requires ‘active grip’. So my question to the representative Gedrem is: What does the government intend to do to make it at all reasonable and necessary to take ‘active grip’, as it says in the setting?
ParlaMint-NO_2003-02-27.ana.ud1013e494	I have respect for the attitude of the Progress Party, and the policy they stand for in this field. I just want to, like the Right Spokesman, pay tribute to the process we had during the last budgetary procedure, which for this industry resulted in very favourable arrangements compared to previous schemes, with a transfer of well $ 1⁄2 billion. This agreement we entered into with the Progress Party is set to hold. The only reason why we can deviate from him is that the Progress Party itself opens up an assessment of certain aspects of him, and that we can discuss a redistribution. It is a current theme in the case that the Progress Party wants it to be. I would like to mention that the Government should contact other EU countries in order to make EU countries move away from their net pay arrangements and their favourable arrangements to compete in a larger market. It's unfortunate for EU countries, which probably have other good purposes to spend on, and it pushes up a spiral that we from Norway can't be unaffected by. I refer then to the government's proposal to introduce limited maritime aid, which is a result of what the EU has done unilaterally. There can be no excessive deviation from the systems that the EU itself introduces. Therefore, it is probably an important process to check whether there is a basis for the EU to reconsider its competitive advantage mechanisms. I would also like to believe that an active approach should be for the Government to contact its organisations and fleet teams to listen to the extent to which it is appropriate to enter into partial solutions in the middle of the budget year. I don't want to forward a conclusion, but I expect the Government to contact these organizations.
ParlaMint-NO_2003-02-27.ana.ud1013e503	One of the obvious measures to counteract the rising unemployment rate is, in the view of the Centre Party, to secure and strengthen the areas where Norway is good – shipping, the maritime clusters, is such an area. A diet of rich traditions and heavy ringing is now at risk of being severely reduced. Some people use even stronger expressions. It is necessary to do something now, not in 2004 or 2005, if one is to prevent thousands of seafarers from becoming unemployed, if one is to prevent there from becoming a new recruiter in this important area, and if one is to prevent the loss of valuable competences both on land and at sea. It is strange to listen to the Christian People's Party's representative today. It contrasts with the exposure that Einar Steensnæs has shown on the runway for many years in securing reliable framework conditions for shipping. Since 1993, the Christian People's Party and the Central Party have been working together on measures when they are in force. I actually have to feel it so today that the Christian People's Party has no commitment. The only thing that Olaf Gedrem is currently busy is asking the industry to take it easy. However, they cannot take it easy when both Sweden and Denmark have in place schemes that make them uncompetitive.
ParlaMint-NO_2003-02-27.ana.ud1013e511	I want to start by thanking the Center Party for a certain compliment to the Christian People's Party for at least in the 1990s having this industry in its field of interest and Syd for good order. And I'd like to go along with that. However, it is true that when it relates to the amount of reimbursement, it has never been greater than in 2002. Despite the fact that we have put forward a record budget, we found in the budget agreement, together with the Progress Party, until this transfer to the industry. So saying that we don't work for better terms is not quite right. What makes me a little calm with regard to nutrition and not feeling that she is in such an acute situation is that the annual accounts do not express an acute need. There is no urgent need to increase the service, and I think that they should have time to find out, together with the Government, whether or not there are some new measures in the process that the Government is already doing. I think they can preserve the Norwegian workplaces, strengthen their skills, recruit for the officer's corps and support all the Norwegian environments we appreciate today, and we have a lot of historical thanks to the shipping industry. They've come up at the level they're at today, thank you very much for interacting with community and Norwegian government. We have responded with reasonable framework conditions in the situations that have been necessary. We have also stretched out one hand now, and we say that in the short and long term we are prepared to take action to ensure that the industry is still Norwegian, to have a Norwegian recruitment and to secure jobs.
ParlaMint-NO_2003-02-27.ana.ud1013e518	So the chord change is over.
ParlaMint-NO_2003-02-27.ana.ud1013e521	I am somewhat surprised when I hear that Olaf Gedrem keeps repeating that there is no need for action, because he has seen the accounts for the industry. Those accounts are based on historical figures. There are probably mainly 2001 accounts and perhaps a few provisional accounts for 2002. What we are now talking about is the need to take action for the future to ensure that the industry will also have a safe future. This must be done in the light of the current situation of Norwegian industry and Norwegian shipping industry, not in the light of the situation they were in in 2001. That is the whole point of this proposal having to be addressed now and not in 2004. The centre party has been a driver both in relation to the reimbursement scheme and to the shipping tax, for the simple reason that the centre party is definitely not opposed to selective measures to develop industries on which we should bet. And the maritime industries are definitely industries on which it should be invested. There we have natural advantages, and therefore we should put in the instruments to cultivate these industries. In our opinion, it is necessary to settle the business-neutral thinking that exists in many environments today, and to focus on the industries where we have natural advantages for growth. Then we'd better discuss what kind of instruments are the best at any time. But I am convinced that it will not be possible to maintain our position as a maritime nation without Norwegian seafarers, and then also that we are willing to put in place measures aimed at keeping Norwegian seafarers within this industry. When I say that it will not be possible to maintain the industry without Norwegian seafarers, I see the industry as a whole. Both in relation to the brokerage industry, in relation to shipyards, in relation to equipment suppliers, etc. depends on being able to retrieve competent people who have experience from Norwegian ships. Therefore, the reimbursement scheme and the net pay scheme are important. When the Central Party is now set to raise the aid in the reimbursement scheme to 20 pst. As an immediate measure, it is because we have to reverse the developments we are now experiencing. We have to take the situation of the industry today. It is quite right, as Ivar Kristiansen said, that in 1997 and 1998, while we were in government, we reduced the aid in the reimbursement scheme from 20 to 12 p.m., at the time also in the budgetary agreement with the Right. But it was based on the situation the industry was in at that time. Of course, it can't apply to all the future. We have to start from today's situation. Therefore, we believe it is right to increase the support of the reimbursement scheme to 20 pst. again. Any responsible party has to take inward that the situation changes, and that we now have to use other instruments than we had to do five years ago. If we are not willing to use such simple reasoning in politics, we cannot have a job done either. Now that we also support the proposal to introduce a net pay scheme, it is for two reasons. First, we want to get as close as possible to the countries we compete with. Secondly, we have recognised that the reimbursement system is not robust enough. The number of treatments in the Stortinget since the introduction of the scheme would illustrate this well enough. We can't live with the fact that we're going to get back to this system as often as we've done. For me, it's totally incomprehensible when Right's nutritionist attacks the Center Party in the way that he did in a reply in place, instead of spending time answering what he was actually asked for. It's actually not a right-hand profit that now it's 550 million. kr in the budget at the disposal of this industry. It is the merit of the Progress Party. The right proposed NOK 0,0 in the budget they provided. And without the Progress Party having become a driver in the negotiations between the government parties and the Progress Party, the shipping industry had not been granted either the reimbursement scheme or the net pay. Those are the naked facts. When Ivar Kristiansen asserted that there is a historically high amount to which the Government has contributed, it is far beyond the truth. It was the Progress Party that put it in place. I'd like to discuss the Centre Party's financial arrangements with Ivar Kristiansen at any time. It's an arrangement that relates from A to Å. But it's actually not us, but the Right that shows its true face in this case. It's the Right that's been high on the track. It is the Right who commits a breach of promises. And when Ivar Kristiansen now talks about doing one thing in opposition and something else in position, you should listen to it, because the Right has learned that art remarkably quickly. Finally, I see that SV has presented a revised proposal in the Chamber today. That proposal is a step in the right direction, even though it is part of the device that questions the practical feasibility. But this proposal should be able to have a majority. I cannot believe that the Progress Party will necessarily see this as a breach of the budgetary agreement that has been concluded. The centre party will provide subsidiary support for this proposal, and I would ask that voting be put up so that it is possible to vote subsidiaryly for it.
ParlaMint-NO_2003-02-27.ana.ud1013e540	It has to be done. It's going to be line change.
ParlaMint-NO_2003-02-27.ana.ud1013e545	For the Government and for the Right, it has been a general objective to pursue a fiscal policy that is now proving to bring interest and the price of the crown downwards. The most dramatic thing about Norwegian business over the last four to five years is that the krone price has been so high that what you paid 100 kroner for four years ago is now only paid 85 kroner. That's the big challenge. It seems in this Chamber that many of the speakers take this with a tight budget as a matter of course. But it is important that when we talk about having a tight budget, it must also be that we are held back with expenditure. They shall be covered in. It is possible that I sprinkle the salt in the wound when I ask the representative, Mr. Enoxen, how he intends to cover the expenses that amount to several billion kroner from 1 January 2004.
ParlaMint-NO_2003-02-27.ana.ud1013e552	I note that the Right argues with the need for a tight fiscal policy. I also record that the Right argues that there will be a shipping message – a message! – in 2004, a Communication that will describe some measures but will not lead to the implementation of measures. I also note that the Right argues that there is no special treatment for individual industries, that there is no need to subsidise bartenders on the ferry to Denmark, as the Minister of Finance has expressed it. That's why I'm a little bit in doubt about what the Right really means. If it is for budgetary reasons that net pay arrangements are not to be put in place for the groups for which proposals have now been submitted, it can be defended to the extent that this could mean that the Right could come back to this as early as the harvest. But when the Right of First proposed zero in the budget for the current year, and then argues the way the Minister of Finance does, I honestly don't think that Right has intended to stand by his old promises to give support to this industry. On the contrary, the Right has changed policy. Now there is business neutrality and general tax relief. Therefore, when we present our draft budget, the Central Party will come back to how we intend to finance this. But I can already give the representative Momyr a tip: we are not going to introduce another DKK 10 to 15 billion in general tax relief, which is essentially going to go to the 10 pst. – if the Government follows the Skauge Committee – which serves the most. We intend to use the funds targeted and not implement what the government parties have voted for in the Sem Declaration, that is to give some thirty billion dollars in tax relief.
ParlaMint-NO_2003-02-27.ana.ud1013e562	Several have not asked for the word for a line.
ParlaMint-NO_2003-02-27.ana.ud1013e565	‘I am disappointed with the Government’s proposal, which then until those degrees fail the Norwegian sailor.’ – This could well have been my own statement today, but it is actually quoted word by word of mouth from a post held by the then Depositary Representative Ansgar Gabrielsen on a proposal for a reduction in the refund scheme for shipping that came from the Bondevik I government in June 1998. I cannot understand what has changed so much that today's Minister of Economic Affairs Ansgar Gabrielsen has changed his view of the matter altogether. Today, we have a much more difficult situation in terms of total employment in society than we had at the time. This should be an important reason for ensuring the future of the shipping industry in Norway. Why isn't this government more concerned with backing up the industries in this country that we're good at, and that we have naturalized advantage to be the best at? Norway is the third largest shipping nation in the world. This has given us a high maritime competence that has again had very significant ring-effects for other industries. Among other things, we are at the forefront of competence in the field of marine petroleum activities, which is clearly linked to our competence and long experience as a shipping nation. I heard that the Minister of Industry said in a radio debate yesterday that budgetary reasons are the reason why the Right and the Government are against the proposal that the Labour Party has put forward and that we are now considering. I'd rather ask, can we afford not to? I am not at all in favour of this type of tax dumping, but we must deal with the realities and realize that if we are still to have Norwegian seafarers and a shipping under the Norwegian flag, we must provide the industry with the same framework conditions as our competitors have. The government must negotiate with other nations and with international trade organisations on such issues. The government cannot leave this to the industry itself and simply turn its back on the problems that so unequal competition poses for the industry and for those who work there. Unemployment in Norway is now growing dramatically, and we cannot make this situation even worse by also allowing several thousand seafarers to enter the job queue. This will also have a strong impact on industries on land. The right has flagged shipping and the cause of seafarers for a long time and in several election campaigns. The Labour Party has received strong criticism from the Right not to go far enough in the arrangements that have been put in place. I understand that many are disappointed when they experience that the first Right does in the government position, is to propose to cut all the arrangements that they have previously demanded improved. Is it true that the Right Maritime Policy was flouted when former Stolt-Nielsen’s representative left Stortinget and also left the party? The working party has tried to demonstrate flexibility in order to find solutions here in Stortinget that can ensure Norwegian shipping. We cannot say the same thing about the government parties' willingness to meet this invitation. On the other hand, the Socialist Left Party, which has always been fundamentally opposed to these arrangements, has shown a willingness to listen to arguments and to look for solutions. I now hope that the Advance Party can also free itself a little from the grip of the government parties and get on with it today. I still have the hope that today we will come up with a solution that will enable seafarers from all parts of Norway to have faith in a future for their profession and their jobs with the importance this has for our coast and for our districts. Finally, I just need to be informed to the representative Hedstrøm that the bending loads are also part of the Workers' Party's proposal.
ParlaMint-NO_2003-02-27.ana.ud1013e588	I'm going to leave the political archaeology in this post. But when I hear previous state councils, whether it's Enoch, Meltveit Kleppa, Akselsen or who it might be, who have been participants in governments that have proposed the liquidation of these schemes, let me say this: it's always exciting and interesting to listen to newcomers! With regard to shipping and the maritime industries, there is no doubt, as has been emphasised in many speeches, that it is an important part of Norwegian business and actually has an important role in world trade as an environmentally friendly transport option. In addition to the increasing demand from world trade for shipping, more and more regions are seeing shipping as a factor in reducing the pressure on other infrastructure. This shows that shipping is a forward-looking industry. The Norwegian-controlled fleet is the third largest in the world, giving Norwegian authorities a special role in international work on the environment and safety at sea. In addition, Norway has an active role in the ongoing WTO negotiations. The aim of these negotiations is to ensure open markets for Norwegian shipping. Norwegian shipping policy is therefore anchored in the work on common and binding international framework conditions with particular emphasis on the UN body. In Norway, in order to address these issues, we have, among other things, extensive mechanisms to support Norwegian seafarers. Today's arrangements, as we have heard, vary from full net pay to 9.3 p.m. depending on the segment you're in. So, in sum, the 2003 State Budget allocated more than DKK 0.5 billion to help Norwegian seafarers also be Norwegian. Through the budgetary agreement with the Progress Party, these arrangements, which we have agreed today, have secured this large-scale period. Thus, in contrast to the previous two or three grossing-up periods, there is now contractual stability to the extent that they do not wish to change these arrangements. During the last few weeks there has been a lot of attention around the offshore fleet, and I recognise that the competitive situation for parts of this fleet seems to be at risk. When I say parts, it's because I see that there's significant profits in part of these shipping companies, actually between 10 and 12 million dollars in profit per. ship, so it's after all viable in parts of the offshore fleet. But here, as in many parts of Norwegian business, large cost differences are experienced in relation to competing countries. It is definitely a composite picture, and wage competition has been an important element of the worsening situation that has arisen. I see that the care for offshore vessels has now also come back to the party where it was not so very pronounced earlier. I think it's now pretty important to put parts of this behind and start looking forward. I think the melody in what the committee leader said, linked to looking forward, is quite important. There is no doubt that the cost differences between Norwegian seafarers and other seafarers are one of the reasons why one chooses the other rather than the other, but it is not such that the shipping companies that can get hold of cheap seafarers do so solely because it is cheap. When they choose Norwegian, it's also because of the quality. When Norwegian shipping companies contract ships in China and South Korea, or where it may be, and choose Norwegian suppliers, it is rarely because they are the cheapest, but because they are the best. That's the way it is in areas by area. I guess I could see that company moving out just because of one of these parameters. As regards stability, I very much agree with the representative Akssen, who recently stated that a majority consisting of the Workers' Party, the Advance Party and the Socialist Left Party may not be the most robust in this matter. I also fully agree with the assessment made by the representative Hedstrøm regarding the agreement concluded, in which the government parties have committed themselves during this large-scale period not to weaken the terms and conditions of the ferry companies. That's what we've got, and we're on it. I also understand the indignification of SV with the representative Lodve Solholm, who referred to the fact that the article had been written last night. This matter has been in the Committee for four to five months, and it is no wonder that stability is not the most striking thing when you are almost online with part of these shipping companies, while we stand here and debate and doubt whether to jump on this proposal which is then written during the night. [[President clubs and clubs]]
ParlaMint-NO_2003-02-27.ana.ud1013e612	The President is very patient.
ParlaMint-NO_2003-02-27.ana.ud1013e616	That's good. So am I.
ParlaMint-NO_2003-02-27.ana.ud1013e621	It's going to be line change.
ParlaMint-NO_2003-02-27.ana.ud1013e624	I've heard it before, and I've heard it today, that the government has used the lack of budget coverage, or lack of money, to say it this way, as an argument to go against the proposal of the Workers' Party that is being dealt with today. At the same time, we know that a flagging out of the fleet will mean that a lot of seafarers lose their jobs, that Norway loses a high-performance industry, that maritime education needs to be reduced, that our maritime competence will be confused, and that the state has to cover large amounts for seafarers who are entitled to a seafarer's pension. In addition, of course, there will be the consequences of regional policy. Has the Council of State and the Government calculated how this will turn out? Is it the case that the State will lose overall on the introduction of such a net pay scheme, or is it such that it is in different budgets, so that no one can see the context? What does the Council of State think about this? What about spending only $1 billion of the nineteen billion given in tax bills to the richest, to save Norwegian shipping, Norwegian jobs and an important district industry?
ParlaMint-NO_2003-02-27.ana.ud1013e631	To start with the last one. The representative Bendiks H. Arnesen misrepresented the tax bill to the richest. Either there's a lack of knowledge or there's a lack of interest in acquiring knowledge that makes it even possible to formulate yourself like this. Perhaps the most important measure that has been taken in these two years is just linked to enabling Norwegian businesses to hold back a larger share of their own profits. What would have been the situation today if we had chosen the option according to Bendiks H. Arnesen's instructions and brought in yet another massive billion to the treasury from among others. This fleet, from the maritime cluster, which this is about? Had you been better able to meet the low economic cycle, or had you been less able to do so? So there hasn't been a single pipe from one sole proprietor, from Lindesnes to Nordkapp, who is calling for Bendiks H. Arnesen's tax policy, which would have made you in a dramatically worse situation than the one you're in today. Of course, there is no doubt that when the government presented its budget in the autumn, other priorities were set. The most important thing was to facilitate a policy that would contribute to lower interest rates. So we did not find room for this in the budget, but there was a budget agreement on that. It is gratifying to see that the government's policy in this area is working. The industry, from a to a, was unambiguous about what was the most important thing, that of getting interest and interest rates down. We put in place all the unpopular measures that were necessary to achieve that. We've taken the edge of it, also from the representative Arnesen, but it doesn't get any less wise for that reason. As for the maritime competence, whether it's confusion or not confusion, I see that it's important for the maritime cluster in total that we have a tribe of Norwegian seafarers on Norwegian ships. It has also been set up.
