ParlaMint-NO_2003-06-10.ana.ud1780e122	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-06-10.ana.ud1780e513	I will carefully comment on some very brief comments. As has been explained now, the appeal to Stortingen has been abolished, and all complaints under the old scheme have been processed. Formerly, the Government briefed the Stortinget on the cheap compensation scheme through specific complaints. In line with the Stortingen Decision on 26 October 1999, annual notifications of the scheme are now being prepared instead. The notification, which is usually very short, thus continues the form and content of this subject in previous complaints. It was assessed in the context of the preparation of this Communication whether to provide a more comprehensive, detailed information on the cheap substitutes scheme. However, it was concluded that a notification was first made in such a concise way as the one currently being treated, and then leaves the Stortingen to take the initiative if they want a more complete communication for the future.
ParlaMint-NO_2003-06-10.ana.ud1780e522	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 3162]]
ParlaMint-NO_2003-06-10.ana.ud1780e540	No one has asked for the floor. [[See page 3162]]
ParlaMint-NO_2003-06-10.ana.ud1780e558	No one has asked for the floor.
ParlaMint-NO_2003-06-10.ana.ud1780e578	No one has asked for the floor. [[See page 3163]]
ParlaMint-NO_2003-06-10.ana.ud1780e596	No one has asked for the floor. [[See page 3163]]
ParlaMint-NO_2003-06-10.ana.ud1780e614	No one has asked for the floor. [[See page 3163]]
ParlaMint-NO_2003-06-10.ana.ud1780e635	No one has asked for the floor. [[See page 3163]]
ParlaMint-NO_2003-06-10.ana.ud1780e651	In short, we would like to point out that residents in institutions have had a significant negative development in how much income they could have at their own disposal, especially when we look at the period from 1989 to today. The proposers behind this document No. The 8 proposal does not want these developments to continue, and has therefore proposed that the amount of the allowance should be set at 25 pst. of the basic amount of the social security. It is unreasonable that persons who have resided in an institution should be able to dispose of a small proportion of their own income in such a way as to cause serious problems, among other things. to be able to give their closest attention to, for example: birthdays, Christmas etc. We have to do something about this. However, when the Progress Party now chooses to accept that the proposal is annexed to the Protocol, and thus does not promote the proposals today, the Social Minister’s letter to the Committee of 19 May 2003 refers to the fact that the Government will present before the summer a report on improving the quality of care services. In this context, under this letter, a thorough review of the self-payment arrangements will be carried out. It will be interesting to see what the Government will do in this matter. The Progress Party will therefore re-examine the proposals made in Document No. The 8th proposal, when the notified notification is to be dealt with.
ParlaMint-NO_2003-06-10.ana.ud1780e664	Several have not asked for the floor on case No. 9th@item: inlistbox [[See page 3163]]
ParlaMint-NO_2003-06-10.ana.ud1780e680	At the request of the Social Committee, the President will propose that speaking time be limited to 10 minutes to the Right and 5 minutes to each of the other groups. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-06-10.ana.ud1780e687	The three proposers behind Document No. 8:104 supports three proposals to address the problem of homelessness in Norway. Firstly, it is proposed that municipalities should be obliged to find housing for persons who do not have a place of residence when they come from prison or institution. Secondly, changes in the social services law § 3-4 Dwellings to disadvantaged people are proposed where it is made clear that social services have an obligation to provide people with a sustainable housing service. The third proposal is to ask the Government to draw up quality requirements for temporary accommodation sites to which the municipality refers without residence. An overall committee, like the proposers, wants to address homelessness, and shares the concern that people who have been released from prison or who have completed an institutional stay are often referred to as a temporary solution. However, there is no majority for any of the proposals in Document No. 8:104. I want to use the rest of my post to justify the views of the government parties, and I'm assuming that the other parties themselves are deepening their positions. Today's legislation guarantees the individual right to temporary housing if you cannot obtain it yourself. In this way, proposal No. 1 be covered by this. In addition, municipalities have a general responsibility to help provide the individual with a sustainable housing service. The proposal that municipalities should be obliged to provide a sustainable housing offer will change the entire public housing policy. The proposal will also significantly extend public responsibilities and reduce individual responsibilities accordingly. Furthermore, there is a significant intervention in municipal autonomy. If you don't even believe that the municipalities are able to help people who need help, to find a place to live without legalizing it as an obligation, we can hardly believe that the municipalities can handle it. The task of helping people who come out of prison or institution, or who have otherwise come into a difficult situation, to get a decent place to live, I have great confidence that the municipalities will be able to solve without it being adopted as an obligation. It's strange, however, that SV, who is trying to make themselves comfortable with the municipality of Norway by talking about a greater degree of autonomy, makes such a proposal, which shows that they have zero confidence in local democracy. There is sometimes a long way between life and learning. Through the SV proposal, it will be possible for more people to become tenants in public rented dwellings. These are then excluded from the possibility of participating in what is considered to be the safest saving, namely owning their own home. This will mean a new expansion of the poverty traps. With regard to the proposal for the preparation of quality requirements for temporary accommodation, the Minister of Social Affairs has already sent out a circular on quality requirements, which should be comprehensive. The government parties do not support the SV proposals. That doesn't mean we're passive about the homeless. The house bank has received more money for both housing support, housing grants and the loan framework. Increased resources have been proposed for the follow-up and guidance of municipalities in housing-social work. The government has asked the House Bank to give the fight against homelessness top priority. The housing allowance from the House Bank is the highest ever, and there is a device that prioritises the most disadvantaged. By extending the maturity of loans from 30 to 50 years, the municipality's borrowing costs are reduced, which facilitates lower rents. Furthermore, during the autumn of 2003, there will be a major communication on housing policy that will also include plans to combat homelessness. The ability of municipalities to help the homeless is also strengthened in the Government's 2004 proposal for a municipal pro-position, by a strong growth in the municipal economy. Fewer earmarked funds and increased free revenues contribute to increased urban space. In addition, the government has granted 19 million. for research and activities to help the homeless in the country's six largest cities. This shall also provide an overview of the number of residents and the needs of the homeless. Although there is a lot of positive about the homeless, homelessness is still a big problem. The government has taken a number of steps, and the Storting's handling of the housing report for the autumn will hopefully contribute further. The proposals in Document No. 8:104 is not fit to solve anything. They are really about whether you trust the municipalities to do the job they are going to do, without Stortinget having a law of duty down their ears. That's hardly how we best care for the homeless, where we depend entirely on the municipalities doing their job.
ParlaMint-NO_2003-06-10.ana.ud1780e725	It is good to promote measures for the many homeless people in this country, as set out in Document No. 8:104 from the SV representatives Holmås, Molvik and Thorkildsen. However, the proposals will not have a majority today. There may be different reasons for this, and I will come back to why the Workers' Party does not support the proposals. After today's division of roles, municipalities have the main responsibility for housing for the disadvantaged, including the homeless. This responsibility is demonstrated by the Social Services Act §3-4, which entrusts the municipality with the task of helping to obtain housing for persons who cannot take care of their own interests in the housing market. SV wants to promote a change in the law, so that municipalities are given an obligation to find housing for people who do not have a place to live. The Labour Party believes that before you can impose even greater responsibility on the municipalities, we must first of all get a better municipal economy, so that there is consistency between the tasks the municipalities have to perform and the money transferred from the state. It's not today. But for some groups it is not enough to get an offer for a dwelling from the municipality. Of the approx. Six thousand homeless people can be helped by economic means, one third can live if they have some social welfare follow-up, and the last third must have heavy social follow-up. The latter applies not least to groups of drug problems. That is why this is a complex problem. The government will maintain the hubs and better quality. The Labour Party totally disagrees with this. We're going to wind up the shelters. Staying at the hostel is at best a short-term, uncertain, poor and expensive offer. For anything other than completely acute, short-term problems, it will be both better and cheaper with a regular offer. But it requires the state to make arrangements so that it is possible for the municipalities to implement this, but this government has not done so far. In 1997, a survey told us that there are at all times about 1,000 people living at the hospital. It doesn't seem that this number is getting lower today. Staying at the hostel cost in 1997 approximately between NOK 12000 and NOK 15000 per year. person per person months. A good housing offer in ordinary housing based on current financial resources with 60 pst. grant and extended housing aid, as the Workers' Party agrees, would be to offer a dwelling within a framework of approximately NOK 3000 per year. months. By providing such solutions, the municipality can release considerable financial resources, which can instead be used to provide the individual with a social follow-up which can facilitate the establishment of a common link with housing, employment and meaningful social life. But the government has not significantly increased this grant. The government has held a stable grant for dwellings. It is therefore more expensive for municipalities to set up housing facilities and difficult to prioritise among many other acute problems. The working party proposed to increase the grant for the construction of low-income and rental dwellings by 112 million. more than the Government Parties and the Progress Party for the current budget. We didn't get a majority for that. It would give many municipalities much more opportunity to help the homeless. In cooperation between the Ministry of Social Affairs and the largest municipal authorities, a separate project for work with the homeless is already in place. The Workers' Party believes that it is important to interact with organisations such as the Salvation Army and the Church's Bymission, which, on a voluntary basis, do affordable work in this field. The Labour Party therefore believes that the Ministry of Social Affairs should develop a support scheme for municipalities and non-governmental organisations taking responsibility for particularly disadvantaged people, where they can recover part of the costs of housing social follow-up. If that's what the Social Minister, with his statements in the newspapers today, intends to follow up, that's good. But if it's the grant to the big cities or the grant to drugs and psychiatry that the government is proposing in the municipal proposition for next year, which is the solution, it's ridiculous. For example, there will be an increase in the number of young people in the European Union. Kristiansand municipality gets 1 million. kr less than today. There won't be much help with that.
ParlaMint-NO_2003-06-10.ana.ud1780e753	I'm not going to be as categorical as the representative Heieren Hundhammer was in his post, as to whether or not these measures can work. For the Progress Party, as is also stated in the Committee’s position, we want to return to some of the measures in connection with a housing notification that is notified to the Stortingen in the autumn. Therefore, it is natural to see part of this, in particular what appears in the SV and the comments of the Workers' Party, in this context. However, I would like to make a few comments on the proposals that lie here. As regards proposal No: 3, from SV, I think it goes way too far. After this proposal, care should be taken to provide a place of permanent residence without any place of residence. That is, the only way to solve it is actually that the municipalities go to the purchase of housing. It's only the way you can give a permanent solution and distribute these dwellings to those who come into this category. I don't think that's the way to do it, we have to find other and more flexible solutions to that problem. As far as quality requirements are concerned, as stated in proposal No. 1, from the Workers' Party, SV and the Center Party, I would like to support what the representative Heieren Hundhammer had to say, namely, what the letter from the Social Minister says is that we are developing and concluding a circular on quality requirements for temporary housing according to sections 4 to 5 of the Act. I think that's the first way we have to try to solve these things, and then we'll see where to go. I believe that in this case we are delighted to see this in the context of the housing announcement coming to the autumn. The way the Progress Party votes today suggests that we do not reject any of these measures, but we want to see them in context and in connection with the Housing Communication. Then we'll get back to the matter and see if it's part of the proposals we can then possibly support.
ParlaMint-NO_2003-06-10.ana.ud1780e764	One of the most unworthy things I can imagine in a rich and modern welfare society is that people don't have a place to live. A safe and good home is absolutely fundamental to people's ability to live a good life. That's also why the right to housing is grounded as a human right. There is a very unworthy situation for those who are homeless, and all possibilities have to be tried to fix this. Homeless people have very different and complex problems, and therefore SV believes that many and different measures need to be taken. We are aware that the three proposals that SV is promoting today in this matter do not only solve all the problems, but they will be able to solve the most precarious problems. One concerns the quality of temporary accommodations, which are often hosted. The very best thing would be, of course, if we got there that the need for this type of accommodation was no longer present, and that everyone had a good and permanent dwelling. We recognize that it will take time before we get there. In the meantime, it is therefore important that the quality of these temporary residences be as good as possible. We therefore propose that clear quality requirements be developed which are clearly binding on the municipalities. It is particularly unfortunate and unworthy that people who come out of an institution or prison and who are going into a positive rehabilitation are placed at shelters and in environments that easily lead to relapses and new major social problems. I am aware that the Government is working on these types of quality requirements, and we hope that they will be made as binding as possible. It is the case that municipalities today have a general responsibility to ensure that people who are not able to obtain accommodation, a place to live. However, the practice in many municipalities shows that this general responsibility is not sufficient to ensure the homeless decent housing conditions. We therefore propose that municipalities not only have a general responsibility in this context, but that they should have a clear duty to provide sustainable housing. This obligation must apply at least to those who come out after being in prison or in an institution. They are in such a vulnerable and difficult situation that the municipalities must have a very clear obligation to address them. I am disappointed that the majority does not want to extend the responsibilities of municipalities in terms of housing for disadvantaged people. The majority point to the fact that the Government for the autumn will promote a national plan to combat homelessness and, in addition, a major communication on housing policy. It is legitimate to hope that these two documents contain measures to improve the situation of people with difficulty in finding a good and durable dwelling. An overall size of the population says in the configuration today that they support the intention to remedy the difficult situation of the homeless, but the majority do not support the proposals for action. So for the autumn, the Storting will have a new chance, and then it's hoping that the majority will do more than share SV's concerns and support our intentions. Concerns and good wishes do not help people living on the streets. Only concrete actions and follow-up to the imposition of increased responsibilities and resources can address these issues. But after the right posts here in the hall today, I have no faith that the two mentioned documents will contain anything that will solve anything for the homeless. The representative Heieren Hundhammer is obviously much more concerned about municipal politicians who get to promise down the ears, as she said, than she is for people who live on the street. The right has no proposals for action in this matter; they show no willingness to give municipalities an economic boost. Thus, the situation of the homeless will remain poor. The representative Heieren Hundhammer says she has great faith that the municipalities will be able to solve this. It is possible that Heieren Hundhammer does, but there are over 6,000 homeless people in today's Norway, and I think it is quite irresponsible not to try to put in place concrete measures to correct this. I then take up the suggestions that SV has made in the setting, either alone or with others.
ParlaMint-NO_2003-06-10.ana.ud1780e783	The representative, Sigbjørn Molvik, has taken up the suggestions he referred to.
ParlaMint-NO_2003-06-10.ana.ud1780e786	Norway is proud to have been nominated by the United Nations for the second consecutive year of the world’s best nation to live in. When we have nearly 6,000 homeless people at the same time, this challenges us in a special way. The Government of Bondevik I acknowledged this problem and said in the reply that it is not acceptable that such a large group of people do not have a place to live in Norway. The Christian People's Party is grateful that the Salvation Army and other non-governmental organizations provide shelter for the disadvantaged, but, like the rest of the committee, the Christian People's Party is concerned that persons who have been released from prison or just completed an institutional stay are often referred to as a temporary solution. For people who have been in rehabilitation for a long time for their drug problem, coming back and meeting the environments with which they have wanted to break. Someone will do it, but I think that for most people, the forecast will be better if they get to start over in a carefree environment. The Christian People's Party is concerned that each individual is given help in the field of well-being, good protection and close follow-up. According to the Social Services Act, municipalities have responsibility for housing provision for two different groups. According to § 4-5, the municipality is obliged to find temporary housing for those who do not manage themselves. According to § 3-4, the social service shall help to provide housing for persons who are unable to take care of their own interests in the housing market. The Christian People's Party believes that there is a significant extension of the municipality's responsibility if the municipality should be obliged to provide permanent housing for the homeless. We do not support the proposal, but we remind you that, after the co-operation administration has submitted the municipal economic proposal for 2004, it should be a good idea for municipalities to give priority to this group. Municipalities receive the strongest growth in their income in several years. The house bank has received more funds both for housing support and housing grants, and the loan framework has been extended in particular. The time for operating a loan has been extended from 30 to 50 years. This reduces the costs for municipalities and allows lower rents. Increased resources have also been proposed to municipalities to provide better housing, guidance and follow-up to disadvantaged people. The government is submitting an owner-occupiers’ report for the autumn. The national plan to combat homelessness becomes an integral part of it. In this way, the Government follows up what was announced in the Anti-Sampling message and in the poverty message. The government is also concerned that the temporary accommodation must have a certain standard. Christian People's Party is pleased that the department has sent out a circular on quality requirements for temporary housing according to the social services law § 4-5. In order to reduce the need for temporary housing, it is important that we prevent, so that drug abuse and crime do not recur. Each individual must be followed up in a good manner. The goal must be for everyone to come to work. That way you can get yourself a home and start a new and better life.
ParlaMint-NO_2003-06-10.ana.ud1780e812	Today we have about 6,000 homeless people in the country. This is no new phenomenon. It was also pointed out in the aberration message some years ago that this was an unworthy phenomenon, which should be addressed. There are also other disadvantaged people in the housing market who have difficulty finding housing. And if they're able to get housing, it's often at such a price that they have trouble continuing to live there. So a social housing policy is very important. A good housing policy must ensure a reasonable and good housing in a good living environment. Those who are homeless or who have problems finding housing are a complex group with different problems and therefore many different measures have to be taken. It is not possible to solve the problems of the homeless with simple solutions and individual measures. We agree with the rapporteurs that it is unfortunate and unworthy that those who are homeless should not receive satisfactory housing, but are largely referred to the street or to poor housing solutions. This is particularly difficult when you know that people who come from an institution or prison, who are going to be in a positive rehabilitation phase, are referred to shelters or living environments that easily lead to relapses and major social problems. Many municipalities are making active efforts to provide disadvantaged homeless housing. However, the problem is that many municipalities have to cut off both jobs and measures that they want to maintain and develop further. That is why we believe that the most important thing that needs to be done now is to secure municipalities an economy that is consistent with tasks and resources. The municipal economy and the business framework of the Husbank are the two major keys to social housing and housing policies that also accommodate housing guidance and other social policy follow-up measures, in order to contribute to a good housing and rehabilitation policy for the homeless. The government has announced that it will make a housing announcement until the autumn with concrete proposals for financing housing for the homeless. The government will also come up with a national plan. I hope these will contain the tools that will do. I think that the particular post from the government party on the right was defensive and somewhat provocative in relation to the problems that lie in this matter. The centre party agrees with the proposers that the current host offer is too poor. It has varying quality. We therefore support the proposal presented in Document No. 8:104, that clear quality requirements are now attached to the provision of accommodation for temporary accommodation, until there are enough permanent dwellings. We believe that shelter is a bad form of accommodation. It was also said in the Innst. S. No 95 for 2002-2003. The funds used for host solutions today — and there are few — should be used in housing-social measures where one had permanent solutions that offered a completely different offer from the host solutions. The house bank must be the driver of the social housing programme. Local authorities need to be better able to follow-up, including: with social follow-up and housing guidance. These are among the most important points that a good housing policy, not least for the homeless, must contain. We also know that disabled people and people with other problems that make them difficult compared to an ordinary housing market have problems today. Some municipalities organise housing offers for these, but the investment costs are so high that it becomes too high housing costs, and therefore they cannot afford to live there without a very strong subsidy from the municipalities, if any. This has to be solved first, before one can impose larger tasks on the municipalities now, we believe. We believe that this must come in the housing message from the Government until the autumn. Then we will address proposals that will make this a reality. I also agree with the representative Eye that the voluntary actors we have, among other things. The Salvation Army and the Church Bymission must be active partners. The public must facilitate their participation and provide good social housing and housing guidance so that they can interact here.
ParlaMint-NO_2003-06-10.ana.ud1780e831	First of all, I would like to stress that I fully share the commitment of the proposers to the difficult situation of the homeless. There are too many people who don't have a home that they can call their home. The government is concerned that both necessary and effective measures are being taken to prevent and combat homelessness. I'm also glad that it's a broad political uprising and therefore also an engagement related to this. As indicated in my letter to the Committee, I believe that the proposal presented is both practical and in principle in the current division of responsibility for public housing policy. I have noticed that the majority of the committee seems to agree with this, because they believe that the proposal for a municipal obligation to provide homeless long-term housing involves too much expansion of the municipality's responsibilities. Moreover, it is already the case today that municipalities have a clear responsibility to ensure temporary housing, cf. Paragraphs 4 to 5 of the Act. In order to prevent homelessness, the Government rates on a wide range of instruments: In December 2002, the government sent out a circular to the municipalities and public authorities providing guidance on how these can help individuals to master their housing situation better. It is a joint housing social circular in cooperation between the Ministry of Justice, the Ministry of Local and Regional Affairs and the Ministry of Social Affairs. The government continues Project homeless, which is a methodological and model development project involving seven metropolitan municipalities and three non-governmental organisations. They're going to have $10.5 million. kr. Per. Today there are 24 housing and follow-up measures during testing. Most municipalities report a reduction in the use of the hostel, and it also appears that the municipalities are very concerned about this. The government has allocated 19 million. DKK to six major cities to strengthen the regular provision of services in municipalities, so that they can assist people in need of follow-up in order to master a housing relationship – some people need help to live. The municipalities that now receive funds are Bergen, Drammen, Oslo, Kristiansand, Stavanger and Trondheim. The government has also set aside $3 million. kr for research on homelessness. The Norwegian Construction Research Institute is entrusted with the task of carrying out a national survey of the extent of homelessness and who is affected. The numbers we have today are from 1996. Fafo has also been entrusted with the task of identifying what follow-up in housing involves and the results of follow-up for the homeless. For the Government, it is an objective to increase the freedom and space of the municipalities. Therefore, the Government has also proposed a significant increase in the free revenues of the municipality. The House Bank has also received more funds for both the loan framework, housing grants and housing support, as well as the proposed increased resources for the follow-up and guidance of municipalities in housing-social work. The government will address both practical and principal issues related to groups that are weak in the housing market in its housing report for the autumn. We all agree on temporary housing, such as housing. hospital, there is no ideal housing. However, whether we want it or not, it will always be possible for different reasons to arise in situations where a temporary housekeeping is absolutely necessary. However, the key here will be the nature and quality of the offer. On 3 June the Ministry therefore sent out a circular on quality guidance for temporary housing. It is precisely the intention of the circular to focus on the quality of the offer given and that municipalities are aware of this when the municipalities are to conclude such agreements. It is a goal that as many as possible can acquire a dwelling that they can call their home. It is also important that we take the measures that contribute to this. Several such measures have been taken by the Government.
ParlaMint-NO_2003-06-10.ana.ud1780e860	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-10.ana.ud1780e863	With so much enthusiasm on behalf of the homeless, it can't take very long before we've got rid of the homeless. I want to start by quoting the representative Heieren Hundhammer, who says: ‘The proposal that municipalities be obliged to provide a permanent housing offer to individuals will change the entire public housing policy.’ Yeah, that's exactly what's the point. I do not think there are many in Norway who will characterise a housing policy that has resulted in 6,000 homeless people, as being particularly successful. The aim of this proposal is to change the whole of public housing policy. So it is said that SV does not trust the municipalities. That's not what this is about. This isn't about trust, it's about taking inwards that we have 6,000 homeless people in this country, who don't have an anchor party in their lives, so they can live their lives in freedom, which right-wing representatives might be interested in. I honestly think that the Right could be honest enough to say that this is really about the placeless being quite far down on the economic priority list of the Right Party, instead of saying that this is about trust. Housing is a human right, so it's not for no reason. My soul is in the Justice Committee, and I see quite often what happens when people don't have a place to live, and especially when it comes to drug users, especially when they get out of prison. We may have invested a lot of money in these people, trying to get them off the hook, working to make a change in behavior, so they don't come out as criminals. And then the post-protection fails, time and time again. One of the most pointless things I can imagine is that we spend a lot of money on people trying to get them on the right cool, and then just let them go completely after they come out of the way, for example. an institution. It's a pointless use of public funds. At the same time, I believe it is an investment in crime and misery. And it punishes itself, we see it all the time. There has been a part that has highlighted the importance of the voluntary initiative, and I share that view. But what I think is going to be so wrong is that you kind of leave this to volunteers, for example. The Church's Bymission. I've seen a guy, a drug addict without a leg, being carried up to the second floor of the Church's Bymission. He doesn't get a residence at the municipality because he's a drug addict. It's so unworthy! Why shouldn't he have the same offer we have? Why shouldn't he have the same freedom that we have? Is this really about missing identification with the lowest on the rank ladder? But with such a strong commitment as we've seen from all of the parties here, it can't take long before anything is done in this field.
ParlaMint-NO_2003-06-10.ana.ud1780e879	The exposure is there, but the question is just how to solve this. And I think SV often speaks with two tongues. At the March national meeting, they agreed very well, among others. in the case of municipal freedom. For example, the State governs the municipalities today, and SV has decided that the wisdom is evenly distributed around the country, and will therefore give people direct influence over their own lives, and municipalities should have freedom from detailed management. Very good! We fully agree with that. But then not many days before they run away from this, last in connection with the Document No. The 8-proposal we are discussing here today, where one proposal is that municipalities should have a duty to ensure that persons are accommodated, another is that the State should draw up quality requirements for temporary overnight stays to be followed by municipalities. Does SV really not think that the municipalities are doing something themselves? How do you really feel about the wisdom of the municipalities? In the right, we actually have faith in the municipalities, and it actually turns out that they're doing the problem. Oslo, I think, is a good example. It's right-dominated. No Marte Thorkildsen thinks the homeless are getting far down on the priority list. Rather the opposite, they don't. In the evening post a few days ago, we could read that Lae, the mayor of Oslo – who is from the Right – took the break of the hospitshaies. The number of people at the hostel in Oslo has been reduced from more than 1 000 a few years ago to now 250, and quality requirements have been introduced, without the state having so requested. The right-wing-dominated city council has actually been occupied by the homeless, concerned that they should be well, concerned that there should be quality requirements. In Oslo, there is also a residential chain. You try to place people in the right place by taking advantage of the 12,000 municipal housing – actually quite much better than many others – and you start a refurbishment project, and you have a bottling. Woie Duesund said that Norway is the world’s best country to live in, and that there should not be such unworthy conditions that anyone has on the housing market. Oslo is named for Europe's environmental city, and one of the criteria is how to deal with the disadvantaged. We're going to keep doing that. I am pleased that Oslo has come so far, I am glad that the Government also takes this seriously and comes with a housing message for the autumn. Together, I think you actually have to be able to solve the problem. But, please, let the municipalities get the peace and the freedom to do the job they're going to do. Then all the experience shows that it actually works.
ParlaMint-NO_2003-06-10.ana.ud1780e892	I think the representative Molvik must have had plugs in my ears when I kept my post, because he said that the government has not come up with any concrete measures, but has just come up with beautiful words. I can't repeat everything I said in my post, but I said, among other things. that the House Bank has been given more funding for both housing support, housing grants and increased loan frameworks and that the fight against homelessness within these funds should be given top priority. It is also pointless to hear that the Right and Government would be more concerned that we should not try to keep our ears shut over the municipalities than to help the homeless, when, at the same time, we are doing a strong strengthening of the local economy to the next year that will give the municipalities an increased space for action, precisely to solve the challenges of the homeless. And we believe, on the contrary, that promises are not conducive to solving the problems of the homeless, rather it is to give the municipalities greater freedom that will provide solutions. It is also important to stress that helping the homeless is so much more than giving them a home. It's also about being able to keep the dwelling that you have, help fix the economy, pay bills, help with daily tasks, and this is exactly where the municipality is central. Therefore, we must give broad, free powers to the municipalities to help these people on a broad basis, not just to provide housing. Unlike SV, we believe that it is not that the more important the task is, the more distrust we have that the municipality will solve the problem. It's not the importance of the task that's right to measure by, it's the appropriateness. And it's the municipalities that are best suited to solving the problem of the homeless, and then they have to get the freedom they need. And Oslo has shown, as Heidi Larssen said in his post, that it goes on. In 1998, users of the hostel were 1 000 people. Now it's down to 263. They are on the right track to solve the problem even where you still have to use the hospital, by only making new agreements with hospitals that have a quality agreement. There was someone who was provoked by my post and I did not think that I was humble enough in relation to the problem that occurred. Well, I'm very humble, and that's why I think it's naive to think that these proposals that are here today should be something seductive, seductive and lead to any solution. For homelessness is a far too serious and complex problem for it, and the main debate on this problem is going to take us to the autumn. But what is absolutely certain is that we need different types of instruments, and we need close cooperation between several different institutions and agencies. It is incredibly important to provide a good solution for the individual that there is a tightly structured programme for the individual user that takes care of many different aspects. In this respect, with changed housing policies, on which the representative Thorkildsen was involved, the key point is to see the difference between, for example: Government and SV policies. This proposal that SV has is a general measure to take care of all the homeless, but what we do is to target the measures against those who really need it, through the House Bank. We don't have to change the entire public housing policy to help them, but we need an even stronger degree of targeting to help those who really need it.
ParlaMint-NO_2003-06-10.ana.ud1780e905	I understand that the Right needs to make this a debate on municipal freedom or not freedom rather than a debate on the issue, namely the homeless. I fully agree with Heieren Hundhammer, who now in his last post said that these three proposals that we are now promoting, are nothing seductive, seductive. I also said that, and clarified in my post that these are three suggestions that we have faith in, by many and by others that need to be made. To municipal freedom: The experience shows that if the municipalities just get permission, they can do it. Yes, I do not doubt the willingness of the municipalities to do this. If the Municipality of Oslo has managed to make improvements in the area of the hospital, I'm glad. But what it says is often the ability of the municipalities. And combined with the proposals we are now promoting in relation to increased municipal responsibility, we also have proposals for a municipal economy that will enable the municipalities to improve the housing situation for the homeless. It is not the will of the municipalities this is about. For the main municipal freedom that SV is talking about, but which Right is not talking about, the economic freedom of the municipalities is. There is nothing to help municipalities – or at least it helps very little for municipalities – that within the narrow framework of today’s society, some earmarked grants are removed and put into the framework. Frame doesn't get bigger for that reason. Right? They're saying they're going to bring an increase for next year at something over $4 billion, I guess. If you go in and look at what it's all about, and look at developments otherwise, lower tax revenue than what's already increasing in the number of older people, the number of school students, etc., and if you add this, you'll see that there's no real increase in this. There's no real growth, and that's what municipal freedom is also about.
ParlaMint-NO_2003-06-10.ana.ud1780e916	I just got access to the quarterly report from the Husbank for the first quarter of 2003, and thought it might be interesting reading for more than those who signed it. There is a lot of decorating of the House Bank, and it is going to get so much bigger frames and bigger possibilities. Now it's right from Beate Heieren Hundhammer's side that Right wants to target the measures. All the way, we're going to make sure that only those who just need it are going to get help. Sometimes you can get the idea that it's better that someone who needs it doesn't get it than that someone who doesn't need it actually gets it. One of the things that emerges from this quarterly report from the House Bank is that there are 5,914 dwellings in progress, and that is the same level as last year. The real estate bank's share of this is 45 pst. That's 15 pst. reduction. Of these, 212 are for students and 11 are for homeless people. So it's full stop in the construction of nursing homes for psychiatric patients. Municipalities are hesitating, because there are operating costs associated with manning. Only 237 dwellings are approved for housing grants for establishment, and of rental housing that has received a grant, there has been a dramatic decline – this is the House Bank's own vocabulary. Only 182 dwellings have received such a grant, and it is down to 72 pst. Of these, 16 are rental homes for the homeless. The point is that I think the commitment of this hall must result in completely concrete measures and money on the table. Because if that is not the case, there will still be great concern from this House in debate after debate without anything happening. We might even be happy that it's not homeless on all the rows up here, looking down at us and thinking, what kind of gang is this? They don't really care about us, but they like to hit the chest in relation to our situation. Homelessness is so incredibly serious, because it's about you not having the freedom of your own life. It's about you not having a chance to get out of a criminal racetrack, for example, that you can't do it on your own. Then we cannot leave to non-governmental organisations to sort out what should really be a public responsibility, that is, to uphold the human rights of the United Nations, that people should have a place to live.
ParlaMint-NO_2003-06-10.ana.ud1780e929	Several have not asked for the floor on case No. 10th@item: inlistbox [[See page 3164]]
ParlaMint-NO_2003-06-10.ana.ud1780e948	No one has asked for the floor. [[See page 3165]]
ParlaMint-NO_2003-06-10.ana.ud1780e966	No one has asked for the floor. [[See page 3165]]
ParlaMint-NO_2003-06-10.ana.ud1780e984	No one has asked for the floor. [[See page 3166]]
ParlaMint-NO_2003-06-10.ana.ud1780e1002	No one has asked for the floor. [[See page 3166]]
ParlaMint-NO_2003-06-10.ana.ud1780e1020	No one has asked for the floor. [[See page 3166]]
ParlaMint-NO_2003-06-10.ana.ud1780e1038	No one has asked for the floor. [[See page 3166]]
ParlaMint-NO_2003-06-10.ana.ud1780e1046	Then we're ready to vote on the issues that are listed on today's map.
ParlaMint-NO_2003-06-10.ana.ud1780e1053	During the debate, Mr Ellingsen put forward a proposal on behalf of the Labour Party and the Progress Party. The proposal reads as follows: ‘The Government asks the Government to submit proposals which, in child abduction cases, will: 1st@item: inlistbox Extend access to custody of child abductors upon return to Norway.2. Increase the possibilities of seizing the assets of child-rearers in Norway.3. Consider making child evictions an immediate grounds for divorce.’» It's going to go first over the points 1 and 2. The central party has announced that they will give their support.
