ParlaMint-NO_2003-06-19-2.ana.ud1033e28	No one has asked for the floor. [[See page 3539]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e926	I am pleased that the Stortinget today is agreeing to an agricultural agreement concluded with both agricultural organisations. Agriculture produces goods, services and common goods in a high-cost country. The industry is increasingly facing international competition and is a capital intensive industry. Therefore, control of cost developments, more moderate wage developments in general and lower interest rates are very important for agriculture. At the same time, we now see that the development of agricultural efficiency is increasing. The development of efficiency is necessary in order to keep the production of the goods in Norwegian hands over time. These two aspects are the main reasons why the agreement has a much lower framework than in the last year’s settlement. The total frame is 100 million. kr. This represents approximately NOK 1500 per year. annual work, but is only the isolated outcome of what is distributed in the framework. But that is enough to facilitate the development of income in line with other groups, because the farmers are self-employed. They live on what remains after costs have been deducted from income. In this way, efficiency, cost development and lower interest rates have the same effect on the result as the agricultural agreement itself. We can achieve the objectives of agricultural policy in a cheaper way for society than otherwise. I think that's good. It is an important result of the actions that have been put in place, and it will make it easier to meet the challenges that are coming, for example. when a new WTO agreement has been negotiated and will be implemented. On the other hand, the efficiency improvement is that fewer uses are operated as separate units. I have noticed what a broad majority says in the position of withdrawal, and that agriculture must retain a substantial part of the productivity gain. It can be argued that with fewer active farmers, the importance of agriculture for rural settlement and activity will be weakened. At the same time, it must be said that without this efficiency, it will not be possible to have a volume-producing agriculture throughout the country. Therefore, we need to think new and prejudiced and combine efficient volume production with innovation and establishment in other areas, on the basis of the resources available to agriculture. About two thirds of agricultural property is not currently in operation. However, they stand there — for the time being — largely as attractive settlements from which it must be possible to create activity. We have taken this into account in the project I have called Agriculture Pluss, and it will require local commitment to succeed in that. That is why I am pleased that the agreement contains regional environmental programmes with considerable funding in the future. It can be seen as part of this thinking, where national leadership, local and regional, gives authority and instruments to target environmental efforts in areas where the challenges and opportunities are greatest. And the variation is great. It's fine with tailor's stitching, and it's always an advantage that the tailor has seen them she or he sews for. It has been argued that this is not a simplification and that there is a risk of developing different practices, regional and local. First of all, I would like to say that we want to focus on making processes and administration as efficient as possible. But here is primarily targeting and local involvement purpose. There can and should be some local differences. It is the intention, if it increases the achievement of the objectives and takes place within the national leadership. Both this regionalisation and the simplification of the contractual institute contained in the agreement are new elements of agricultural policy. I think both parts are right in a forward-looking policy, which is also dependent on the population's upswing. I have a strong commitment to have attractive agriculture and attractive rural areas all over the country, with a diversity of activities and nutritional bases. I am convinced that this is best achieved when efficient volume production is combined with a variety of small and small enterprises producing new goods and services for a competitive population and its tourists. I see the year's agricultural agreement in such a context, and I am pleased with the broad opening up of the agreement here in Stortinget. Then to the reindeer management agreement: the first main agreement between the State and the reindeer industry was concluded in 1976. The contract institute has thus existed for more than 25 years and has, in my view, been a good and effective instrument in the reindeer management policy. However, in order for the contractual system to remain and to have general acceptance, it is important that the annual agreements faithfully reflect the development of industry and society, in other words, and adapt to new requirements and framework conditions. I believe that this year's agreement does. Both last year and this year, the Contracting Parties have taken the initiative to further review the various arrangements for their optimal functioning in relation to the overall objectives. Grants are now being converted from schemes that have been substantially fixed per. holding, to schemes which premium production and value creation. It shall be introduced, inter alia: a production premium of 25 pst. of all taxable income derived from the industry. In parallel with agriculture, the government has decided to introduce a discount on entrepreneurial income of NOK 36000 and a percentage deduction of 19 pst. for revenues between NOK 36000 and NOK 170000. These changes, in my view, facilitate increased production and value creation from industry and thus, in the long term, greater economic sustainability. The contract framework itself has been reduced from last year. In my view, this is an important signal. The government wants to stimulate business activities that are adaptable, economically sustainable and less based on public support. The agreement provides a basis for a comprehensive clean-up policy, where the value creation is central, and where the individual reindeer must take more responsibility. Effort and creativity shall give rise to an increase in income and the incentive to deal with their own situation. It is easy to assign responsibility to the reindeer industry and to expect it to meet the challenges that exist. However, it is a fact that reindeer operations are increasingly low-priced conditions and forces where the impact possibilities are actually relatively limited. Purgatory is part of Norwegian society, which is once again part of international society. It may be increasingly difficult to cope with the pressures that are taking place in different ways. As others, clean-up operations have an obligation to adapt. However, there is a limit to the extent to which the nature and nature of reindeer management makes it possible to adapt to social developments. The authorities therefore have a specific responsibility to provide industry with the best possible framework conditions and not least to provide understanding and acceptance in society elsewhere for the specific needs of reindeer management. On the other hand, this requires transparency and interaction on the part of industry. In this way, nutrition and government can jointly lay the foundation for a viable reindeer, which has vitality and sustainability in itself, and which gives genuine faith in the future. Women have traditionally had a strong position in the reindeer society. However, in recent decades, the role of women in the industry has been significantly weakened and reindeer management has become more and more dominant. It is therefore necessary to facilitate women's participation and influence at all levels. The establishment of production-based incentive schemes shall stimulate and make visible all forms of industry input and production, and women will be able to do much. Moreover, the situation of women will be important in the context of the ongoing revision of the Law on Repurchase Operations, inter alia. In view of Norway’s commitments to ratify the UN Convention on Women. Today I have not intended to get into this much of the mess, grazing and predatory issues. It's not because it's not important issues, on the contrary. However, the focus of these issues is on processes. I am thinking here of the work on reindeer adaptations in East and West Finland, reindeer pastures and the spillage notification on deforestation policy. Of course, I am following these things with great interest. Not least in terms of renumbering, I'm excited about what the industry is doing in cooperation with the administration.
ParlaMint-NO_2003-06-19-2.ana.ud1033e962	It's going to be line change.
ParlaMint-NO_2003-06-19-2.ana.ud1033e965	In the setting, there is a note from the Workers' Party, the Socialist Left Party and the Center Party regarding the value creation program. The Minister of Agriculture is and has been a very eager spokesman for our success in that work, and places great emphasis on this work in his contribution. We know that the organisations have played a lot of part in the negotiations to strengthen business development. This applies, inter alia, to: the provision of funds, grants and loans and, in addition, the arrangements for the removal of food-development bottlenecks. I know that the tax principle has been an argument for going against the recordings that came. However, the industry has also previously found schemes through fiscal instruments. Then why were the positive and offensive recordings rejected? Or is it that the Council of State seems to be moving in the right direction and at the right pace?
ParlaMint-NO_2003-06-19-2.ana.ud1033e972	The result of this spring's agricultural agreement involves, with the system changes that were made, and the relocation of the agreement that is taking place, that the agricultural agreement becomes more a direct agreement on income for farmers. This means that much of the agricultural policy and things that lie in the grey areas of agriculture will be lifted and put on the public budget in the usual way. The government promotes policy proposals, new policies and appropriations, and the Stortinge will discuss and influence them. There are some who have tried to spread the view that because we have not wanted to include new initiatives outside the traditional agricultural policy other than the agricultural agreement, we do not intend to pursue a policy in this area. However, much of the industrial policy should be in the relationship between government and expansion, not in the negotiations with the organisations.
ParlaMint-NO_2003-06-19-2.ana.ud1033e979	In contributions from several representatives, the market organisation for milk has been up. In the vote there is a proposal, No. 1, from the Workers' Party, SV and the Centre, that this scheme shall enter into force no later than 1 January next year. I remember well when we got this arrangement for the first time, and as far as I remember, all parties in Stortinget supported full competition on the milk processing side. It's part of the story that this might not have worked so well. At least some actors have complained about the scheme, as it has been available, and there has been a need to make changes. For us, this date is not so very important. The important thing is to have a transparent, functioning arrangement that all actors, including the small ones, can accept. As far as I remember, it is the Government's intention to have this arrangement ready per. 1 January, so I would like to ask the Council of State to clarify whether this is a necessary proposal. The progress party is on the verge here, and it's a special responsibility from our side.
ParlaMint-NO_2003-06-19-2.ana.ud1033e986	First of all, I can confirm that the ambition was to have a new market organisation for milk on 1 July this year, until Easter. We could establish at the time that there was a good deal of work left, not least to get all the stakeholders who had a great economic interest in what a new organisation would be like, to agree on this, so that we could have a stable system and as much peace as possible around it. That is why we have chosen to postpone this somewhat, so that we can add even more quality and even more work into getting a system that all the actors are satisfied with. But I will promise here that we will now do everything we can to get this in place until 1 January. I'm pretty sure we're going to do that, and we also want processes that make all actors feel good about them. There is also a minority proposal here on this, but I hope and believe that it may be possible to send it, as I am providing very clear assurances here today.
ParlaMint-NO_2003-06-19-2.ana.ud1033e995	We have a Agriculture Minister who, in the SV's view, has flagged a number of important issues. The Minister of Agriculture has said that we need to get more locally produced food, he has, among other things. talked about the ham from Skåk. He said in the Questionnaire earlier that achieving the goal of 10 pst. organic production is important for the Government. He has also talked about focusing on the quality of food rather than just this with price. These are the signals from the Minister of Agriculture that we in SV appreciate, but we think there is a long way between these words and the ambitions of the Government to achieve this. My question to the Minister of Agriculture is: Do you have any more ambitions in the future than just talking about it? Do you plan to take some heavy grips, so that you actually reach the goals you're talking about?
ParlaMint-NO_2003-06-19-2.ana.ud1033e1007	I tried in my post here today, and I've done it in many other contexts, to communicate as clearly as I can, that you have to understand a two-sided strategy here. We're still going to have a large and large volume production, but it's going to be more efficient, and there's going to be a lower number of farmers producing the volume we need. So we should have a strategy that many of the farmers that will no longer be part of traditional volume production can do other things, for example. have a strong focus on quality, on local products, on further processing of the products and shifting borderline barriers to traditional travel life – many things that can maintain farm-holding and production. Then the representative Ryan is concerned with short-range food. In today's agricultural system/supply system, this is not the case mainly because you specialise and transport food all over the country, back and forth. But e.g.: 1 July we open the way for the free establishment of milk production if you process it yourself. Local production will focus primarily on a local and regional market. Why this isn't done before, you can ask yourself, but at least now it's done. It just opens up for the type of production I perceive that the representative is asking for it.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1014	First, with what the Minister for Agriculture said in relation to the introduction of a new market organisation for milk, I would like to ask that proposal No. 1 is converted into a transmission proposal. The structural changes in milk production have taken a considerable toll in recent years. In a minority comment on page 9, the government parties are formulating themselves in a way that at least you can imagine that the changes in structure do not seem to go fast enough, and it is said that this needs to be facilitated. I could imagine challenging the Council of State to say a little about how he takes care of the milk production/average use in a five-year period.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1024	The representative, Odd Roger Enoksen, has made the proposal to which he referred, on a proposal for transmission.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1027	Let me first say that the Minister of Agriculture also records that we are facing significant changes, it seems, in milk production. In particular, many face significant investment needs in the future. We know that very many of the milk production buildings were built at the end of the 1970s and early 1980s. There are buildings that are now facing significant investment needs again. I also record that very many farmers choose to go into cooperative and cooperative solutions as an answer to being able to get the economy into new investments. Of course, it will affect the structure in the future. On the direct question of how I think the structure will be in milk production in five years, I actually think that the development that we have, slowly, but surely will go on. Then we won't see very dramatic changes in five years, but we'll see that the average use will increase somewhat, not least in the context of the fact that there are as many co-operations as we know are under planning. But there won't be any more drama in the next five years than what I think we've seen in the last five years.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1034	It was the representative Ryan who made me take this line, he mentioned among other things. This with organic food, that we were going to have bet areas here in the country, and that we were going to be good. It's very important when we have one of the world's most expensive agricultural produce, that we have the greatest possible degree of credibility. I want to get into this with organic products, which I brought up with Kåre Gjønnes several years ago, when he was Minister of Agriculture. I read in the nations a few days ago that only 20 pst. of all organically produced meat is sold as it is in the store, the rest is sold as normal meat. 39 pst. of all organically produced milk is sold as such; the rest is sold as normal milk. Firstly, there is an additional cost for consumers, and secondly, it cannot be particularly stimulating for the farmers producing this when the goods are not delivered as the product it is intended to be. Aren't we going to have to think about some systems that work, or are we going to stop paying for this production when it's not being distributed properly?
ParlaMint-NO_2003-06-19-2.ana.ud1033e1045	Developments in the supply of organic products have gone and are moving in the right direction. The offer is constantly increasing, although we might have wanted it to increase even faster. But at least progress is taking important steps in the right direction. What is not as desirable is the development of the market for organic products. Therefore, through the instruments contained in this year's agreement, we have chosen to turn resources and focus on how to cope with increasing demand for and interest in organic products. After all, there is a development that must be market driven in the sense that consumers want it and demand it, and are also willing to pay the small extra to cover the additional costs involved in organic production. This means that we have good instruments for farmers who want to move to organic production, and that is desirable. We need to put in better instruments, which make this also hit a growing market.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1052	Then the line change is over.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1055	I am very pleased that this year there was a negotiated agreement for agriculture, but that does not mean that the situation is good, and that the prospects are bright for Norwegian agriculture, because many users give up. No one should claim that this industry has shown a willingness to change. Those who have followed the industry and know it, know this very well. The industry has undergone a huge change over many years, and in my opinion there is soon a limit on how far the migration can go for Norwegian agriculture and how much more efficiency can be achieved in a country like Norway. Agriculture, forestry and fisheries in parts of the country are essential for the work, housing, economic development and management of the cultural landscape. The Labour Party will therefore provide the basis for a viable and sustainable agriculture throughout the country. The main task for Norwegian agriculture must continue to be to produce high-quality, safe and healthy food and to ensure a long-term food supply. This industry has always been an industry that has become combined with other activities and activities. A large number of uses continue to be used in combination with other industries and therefore this type of operation must be allowed to develop. Norwegian agriculture can never compete with agricultural cheap products from other countries. Climate, topography and large domestic variations in operational potential suggest that Norway cannot compete with other European countries at food prices. In addition, Norway is a high-cost country in all other areas. I would remind you, like the representative, Mr Enoxen, that Norway has quite reasonable food in relation to the income of consumers and in relation to consumers in other countries. The much-mentioned Swedish trade is due not only to agriculture and an excessive food price relative to income, but also to the fact that we have a higher cost level in our country. As a result, there will be errors in the continuous shooting of agriculture in this context. Norwegian agriculture is a major competitive advantage of Norway's pure nature, good animal welfare and, above all, good agricultural professionals. This is important to take care of, together with a viable agriculture, living settlements and a well-proclaimed cultural landscape. This also has a crucial role to play in the tourism industry here on a country-by-country basis. Norway must not be in a situation where we cannot maintain agricultural production throughout the country. All countries must have the right and the ability to produce national food and to produce food locally. In order to provide the entire world's population with safe and environmentally friendly food, all nations must have this opportunity. I believe that there is a broad consensus on this in Stortinget, and it must soon be possible to get broad international acceptance for it. I have noticed that the Progress Party is opposed to this negotiated agricultural agreement and does not give it support in the Stortinget, and that the party disagrees that the State will take responsibility for the production of agricultural products here to land. These are not new tones from that team, but many around the country wonder what the Progress Party really wants with Norwegian agriculture. My claim is that with the policies of the Progress Party it will not be possible to have an agricultural policy throughout the country, but this may not be so important for the party. In my opinion, the representative Hedstrøm's contributions to the Stortinget today make it clear that the Progress Party does not in any way think of districts and settlements in its agricultural policy. I am aware that we have international conditions to take into account, but I am convinced that if we want to maintain national agriculture and agricultural production throughout the country, this too will be possible within new international legislation. In any case, it would be unheard of whether Norway itself would adopt a more difficult agricultural policy than complying with the agricultural requirements of international agreements.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1083	The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1086	Agriculture is facing major challenges. I think we should convert agriculture to keep up with the great upswing that agriculture actually has in the population. I think we're dependent on an agriculture that also has ups and downs in this hall, by lending money to this. In the large international market, Norwegian agriculture does not have a chance to compete for free and raw trade. I would like to ask the Council of State about this with a spray — I was actually going to take a line on it instead. Now, the soil monitoring programme shows that it is still playing spray in streams and in water. Injectors have properties that make the toxins overwinter in Norway. This shows the Earth monitoring program. So I want to ask, what is the status of spraying today? Does consumption go down both when it relates to the number of active toxins and to the amount of active toxins? And this by bringing down the use of sprays, I think I'll agree to give more content to the concept of safe food. We know that for consumers this is very important, it is something they demand. Let's switch to other additives, such as: Antibiotics, we know that approx. Half of the use of antibiotics in Norway belongs to human medicine and half to agriculture. Norway is internationally very little at this. Denmark and other countries use much more. If we had got the agricultural policy that Hedstrom and the Progress Party stand for, the use of antibiotics and hormones had also gone up a lot. Here, too, we can do more in Norway. We know that very many of the diseases in Norwegian agriculture are related to production. If the pressure is too high, the number of diseases is also increasing. We've come so far in some countries that one through research has actually seen that if the calf drank raw milk to a common cow, he doesn't get enough antibodies, precisely because the cow milks so much and it's actually easy milk right from the cow. A drive so intense that the animal body itself is actually unable to produce this. This is the result of an agriculture that is not in line with what most people want – it's an animal ethics that most people don't want. In the early 1980s and 1990s, injecting drug use was low. Among others Kåre Gjønes, who was then Minister of Agriculture, and who was named here in the town, did a lot in this area. Also, when he was a staging representative, he called for results of this with spraying agent and an extensive use of antibiotics.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1101	When you listen to the speeches here today, it seems that the existing agricultural policy is the only gratifying thing in Norway. But the fact is, our policy is about to leave the world of reality. In the case of animal diseases and animal ethics, let us, for example: see Sweden and Finland. They do not have BSE in Sweden. But they relate to the world of reality. I'll take an example that I've taken before. In the 1970s, each dairy farmer in the Nordic region had about the same number of cows. Five years ago, Sweden had 30 cows per day. dairy farmers, the Danish 60 cows and fins are at full speed in the future. In Norway it is somewhat silent. But it's clean in Swedish, Danish and Finnish dairy cattle, and they have high standards. Evolution goes in the right direction, and they relate to the world of reality, while in Norway, with our transfers, we lose almost a thousand dairy farmers a year. So my point is, should we continue to defend the existing system? We have to try to get the uses that are left to be robust, so they can survive into a future and into the world of reality. Now, County Council Norman disappeared. However, we also have an agricultural bureaucracy because of all the agricultural transfers and agricultural settlements – approximately. Four thousand farmers, most of them carrying agriculture on their backs completely unnecessary. Why do we have to have over a hundred schemes, lots of checks and farmers to complete applications to be processed, etc.? We have a programme for ‘Simplify Norway’. Why not also include the agricultural sector and the bureaucracy covered by it?
ParlaMint-NO_2003-06-19-2.ana.ud1033e1110	The President believes that Norman is still in the Chamber.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1113	It could have been nice for me to invite the Progress Party to my farm on Toten. I'm the seventh generation that runs agriculture there, and I like it incredibly well. But I see that times change a lot. It's demanding, but it's incredibly interesting. I think the representative Hedstrøm here describes Norwegian agriculture as if everything had stood still. Then there's someone who hasn't attended the class. There is no other industry that has evolved as strongly over the past 30 to 40 years as agriculture. I am pleased that we have an offensive Minister of Agriculture who inspires us to think new, and I also believe that it is important that we think new. But I am quite clear that if we are to have agriculture in Norway, it must be a political agriculture. It's quite surprising that someone can think that we can run an agriculture today on the basis of the assumptions that the Progress Party is putting into it. Therefore, I think that the Stortinget has a right to know what the Progress Party is actually adding to Norwegian agriculture. Is it true that robust agriculture is a competitive agriculture in relation to countries with which the Progress Party wants to compare Norway? Is it a robust agriculture? The second is: is agriculture for the Progress Party only defined on the basis of how reasonable food can be produced? If that is the starting point, I think the Progress Party should be clear about it, because it is clear that it will have a great impact on what we put into Norwegian agriculture and what the Norwegian people say in relation to Norwegian agriculture. Norwegian agriculture shall not produce only bulk food. It is an additional effect that is important for many who live in this large country.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1125	What made me ask for the word was that I would like to acknowledge and comment on the interesting article from Bjørn Jacobsen. Firstly, I have to say that it is very important that the commitment he expresses comes into this room, that we have a strong focus on how we can manage to reduce the use of sprays in agriculture and thus both reduce the cost of individual farmers and ensure that we take care of the enormous environmental values that agriculture represents. We have an instrument system today that works, just to achieve the goals that the representative here was engaged in. We have a differentiated charging system that makes the most environmentally harmful sprays more expensive and cheaper for those who cause less environmental damage. It works, and we've registered it. In addition, we have a certification system that requires professional growers to demonstrate that they have knowledge of this, knowledge that their spraying equipment is working, so that they do not contribute to a spraying that could harm the environment. This government also implements environmental plans on all farms, which become mandatory from 1 January 2004. This means that the individual farmer himself must be very aware of the impact on the environment of the farm in the course of its operation and must be able to prove it. I am absolutely sure that the knowledge building that will be associated with these environmental plans will make a very good contribution to reducing the use of sprays in the future. I also want to express that an increasing level of knowledge among Norwegian farmers contributes strongly to such a development. We've seen that in a lot of productions. For example, in fruit cultivation, which has been an intensive production of syringes, over 20 years I have experienced a dramatic decrease in the use of syringes, perhaps from 30 to 40 injections per year down to 4 to 5 injections in the worst case in rainy years. Finally, I want to draw out the work done to increase the ecological area. In itself, it contributes to the reduction of spraying, because it is an area not injected into. However, it also contributes to a significant transfer of knowledge to neighbours, and also to other farmers, that things can be done in a slightly different way, which also reduces the use of sprays in conventional agriculture. The sum of this I feel sure will help to ensure that the good figures we have shown regarding the use of spraying in agriculture are maintained and perhaps reinforced. Not least, this innovation with environmental plans is quite important in order to achieve good results.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1140	The representative Øystein Hedstrøm has had the word twice and gets the word for a short comment.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1143	A few questions came to me that I would like to clarify. Today, we have a customs-based protection, which largely protects us in most Norwegian-produced agricultural products. However, within customs-based protection, we should establish a competition in Norway. The agricultural sector is not subject to competition law. Price and market cooperation is permitted. If at least we allowed competition law to apply internally in Norway, this sector would also be subject to supply and demand and competition and develop robustness. So for this with clean food. There's nothing here either-- or. It is clear that Norway must also have specialities and work with it in line with the value creation programme, etc. But this does not solve Norwegian agricultural problems. It can't be either – or, but a boat – and so we go hand in hand with both bulk products and specialities.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1152	No more people have asked for the floor in Case No. Nine and ten. [[Footing, see page 3544]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e1167	I go into quite a short notice for the case spokesperson, Gunhild Eye, who was prevented from participating in this debate, so I'm certainly some sort of alternate spokesman in this context. The things that we have in front of us actually have two important sides. One is that we have an agreement with the EU that we are going to ratify, the other is that on the purchase we get some kind of agreement to implement the agreements. The starting point, as everyone knows, is that one period of two years should go through the conditions to see if it was possible to increase the room for trade in agricultural products between the EU and the EFTA countries. Now it was such that it has been until now before a final agreement was reached, so one has come out of this two-year rhythm, I believe, as it has been eight years since the negotiations started. I don't know what that means, but at least we have to wait for new rounds to start with the privacy of the EEA Agreement. The case has been submitted to the Stortinget under the terms of Section 26, i.e. that it is a very important matter. That's why we're going to have to deal with her then. For the Labour Party, we're not in doubt that we're going to ratify the agreement. It is clear that one could go against such an agreement if one was fundamental to trade in food, but it would also say that one was inconsistent with the basis on which the agreement is based, namely the EEA Agreement. This agreement is a consequence of the EEA Agreement. One might also think that the agreement is too bad and that it should therefore be rejected. We don't have reason to say that. We assume that the agreement you have reached is the best one possible, given the situation in which the negotiators lived. On the other hand, at the last point, which does not have to do with the approval of the agreements, but with the implementation of the agreements, in the short time we have had to discuss these agreements, we have seen that there are very different views. Of course, there are also differences of opinion about whether the agreements should be approved, but I have the impression that most people are interested in it. However, as I said, there are very different views on the implementation of the agreements and how these new duty-free quotas are to be allocated. Of course, this increase in trade will lead to new competition for Norwegian farmers. It can also lead to cheaper products for Norwegian consumers, and it will definitely lead to new products for Norwegian consumers. On the other hand, there will also be room for new markets for Norwegian farmers, so this is an agreement that has strong both positive and negative sides – negative in meaning increases competition, if there is a problem. That is to the extent that the explanatory part thereof. I confirm that we want to ratify the agreement. I support the Government at that point. A large number in the committee would like to do so. But a collective committee has a reservation when it comes to implementing the agreements. It jumps out of two relationships. One is that one has received a question, which is primarily a business policy and a consumer policy question, on the purchase by a ratification of an agreement. It's unfortunate, especially with the short deadline that Stortinget had for consulting – that's the other one. Saga came to the Storting less than ten days ago, and that's the time we had at the handling. The agreement was already ready, as far as I am concerned, on 18 December last – without her being, of course, approved by the parties. But the content was more or less clear. It would have been an advantage if the Government – who now had to take responsibility for it – had cleared and discussed the agricultural and consumer policy aspects of this matter before one came here, perhaps making room for them to be clarified through a normal process after the ratification had taken place. So I'm going to ask the Council of State if it's such that one of these ratifications will take time to go through and evaluate the different ways to distribute the allowances, or if one is going to distribute the allowances immediately. The contract is to be put into effect on 1 July, so anyway, it is not long. It depends a little on the preliminary work done by the department. Whether it is a failure to take time for a new review, or having time for a new review, I point out to the Committee that when it comes to fruit and vegetables, a government will come back to the Storting in an appropriate way to look at the different ways in which these quotas can be allocated. It means in plain language that an auction principle does not want to be used in that area now, but that a person uses the distribution mechanism that already exists, and then comes back to Stortinget in an appropriate way – it has to be up to the Government to decide what is owned in this context – to get a final clarification on whether to move to the auction principle on these sites. Once this comment has come in, and this hold has come out, it is because, as I said, an agricultural and consumer policy question was included in the purchase by a ratification that one had a very good time to deal with, and as it has been shown that there are very different views among organisations and different stakeholders in the field. That's the hold of the committee in this area, and I'm waiting for a comment from the government council on what will be the management from the government's side - whether one will start immediately, or whether one will wait and then come back to the Storting before a start with the auction principle in this restricted area. But the main conclusion is that the agreements are ratified and approved by the Stortinget.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1190	Like the deputy case rapporteur, I have also stepped in to my party leader at short notice to justify the view of the centre party in the matter – without that I think it makes me a member of the party! But at least I will try briefly to explain the views of the centre party in the matter. This is a matter that goes back a long way in time. Already in 1997, the Commission and Norway agreed on an extended trade agreement in relation to Article 19. At that time, some EU countries, including Sweden, that this was an unbalanced agreement. Then the negotiations were reopened, and a new agreement was reached last autumn. It is an agreement that, in the opinion of the Centre Party, has been unbalanced from the Norwegian side, just as when Sweden thought it was unbalanced for the Swedish side or the EU since the last time. The only difference is that when it is considered to be unbalanced by the EU, it does something about it. When it's considered unbalanced from the Norwegian side, we accept it anyway. And we do that on this question. But there is no doubt, in the opinion of the Centre Party, that the distortions that a person gets in the customs regime as a result of this, will in practice be in Norway's disfavor. The increased export potential of Norwegian products will be more theory than practice, while the increased import of food into Norway will be most a reality. This imbalance is an imbalance involving costs of several hundred million kroner, which will be a burden that Norwegian food producers will have to bear first and foremost. We think it is remarkable that Norway accepts the agreement as it was now negotiated. We find it unwise to unilaterally reduce 127 customs positions, as one here has done, without someone knowingly getting something special back. And we think it goes into the sequence of several changes that the Norwegian authorities are immediately involved in, among other things. the luggage regulations of last autumn, which were also part of the same. On that basis, the Central Party wishes to oppose the agreement currently on the table. However, we share some of the Committee's comments on possible implementation if a majority in the European Parliament today decided that the agreement should be concluded. It concerns the implementation of certain aspects of the Agreement, in particular with regard to fruit and vegetables. For my part, I would like to say that I share the concerns of the representative, as well as the interpretation, of the comments made by an overall committee on the implementation of the agreement on fruit and vegetables. I would like to have a clarification from the Council of State on how the Government will deal with that question further.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1203	Article 19 of the EEA Agreement provides that Norway and the EU shall review the conditions governing trade in basic agricultural products at intervals of two years. The aim of this is to achieve a gradual liberalisation in which reductions and barriers to trade will benefit both parties. Norway and the Commission now agree, after several negotiations, on the draft existing agreement. The outcome of the negotiations will lead to an increase in trade in some agricultural products between the EU and Norway. Some of the main products concerned are cheese and meat, but also vegetables, fruit, berries and green plants are affected. In Norway, increased competition is likely to be observed in both cheese and meat. There will be more new foreign importers on the market and the import quota will be increased to 4000 tonnes and duty-free. It may sound dramatic, but you should know that this will not correspond more than approx. 6 pst. of the entire Norwegian cheese consumption. The ability of Norwegian companies to export to the EU will also be improved. The Norwegian cheese quota to the EU is raised to 4 000 tonnes and duty-free. It is not a theoretical possibility, as the Centre Party and SV write in a note. It says here: ‘Although increased exports of Norwegian products to the Union market are opened up, this will in practice be only a theoretical possibility, while increased imports of food into Norway will be a reality to the greatest extent.’ There is a maximum real and effective possibility of increased exports of Norwegian products to the Union market. We have good quality products, which are already popular on the European market. With the amendments to the agreement, oysters such as Järlsberg, Edams and Golda will be able to be exported to the EU to a greater extent. The increase in the quota and the reduction in the rate of duty could also make it easier for, among others, TINE and Synnove Find establishing itself within the EU market. It should benefit good Norwegian businesses. In the case of meat, the agreement will provide for reciprocal duty-free quotas of 800 tonnes in total. This will correspond to approx. 1 pst. of Norwegian meat consumption. Norway has been allocated duty-free quotas to the EU for lamb, bacon and bacon sausages. The Christian People's Party is committed to preserving and renewing Norwegian agriculture. Agriculture plays an essential role in ensuring rural and scattered settlements. The Christian People's Party wants to maintain housing in the districts and will facilitate jobs and an equivalent service offer in all parts of the country. Norway is dependent on people choosing to live in districts as well. Our district policy must therefore be shaped on this basis. A very large proportion of our export income comes from business in the districts, and there are still great chances of increased value creation here. That is why we are also concerned that Norway should maintain high levels of customs duties that are sufficient to maintain a viable agricultural sector. The Sem declaration states that the Cooperative Government will continue to ensure Norwegian agricultural production in important areas of import protection. We can't just protect today's agriculture. We must also renew it. Agriculture will meet a tougher economy and tougher demands through international negotiations in the future. It is therefore important that we pursue a policy adapted to this new era. We want a more efficient, structurally adapted agricultural policy, along with modernisation and renewal for each farm. This expansion of trade in agricultural products could lead to increased competition for agricultural products in Norway, but at the same time will lead to greater opportunities for the export of Norwegian goods. We believe that you need to have your eyes open to this possibility. It must be used so that the contract can be of benefit to us.
