ParlaMint-NO_2003-10-15.ana.ud1651e28	The representative, André Kukkestad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-10-15.ana.ud1651e448	The most intelligent reaction of them all is that there's at all a reaction, and that it's coming very quickly. What we are now seeing is that both the courts, the police and the criminal services are warning us that the reactions will be delayed in the future than they have now, because of a very tight budget, which also suffers from the fact that the budgets have been pushed over a longer period of time. I have now been involved in three budgets, and the settlement queues have increased every single time. The answer is partial use of duplication, which we know is not a very intelligent solution if you want to change within the prison walls. My question to the Council of State is therefore: will the Council of State be involved in a task where we are trying to find completely different and radical approaches, e.g. by: to convert some of the sentences into sentences that have been in line for a long time, so that we can get a quick response? It's the most important thing.
ParlaMint-NO_2003-10-15.ana.ud1651e455	This Council of States has now been involved in moving money in support of criminal justice in the 2003 budget, such as: The representative of Thorkildsen and the representative of Storberget have been appointed, and this is also done in the budget for 2004. There is a significant increase in the budget – 8.2 pst. At the same time, Mr Thorkildsen and I share the view that we can react earlier. But when people are in a queue, they are in that line – it will be terminated, but we can make sure it is not filled up. Then the social penalty becomes important, then the youth contract becomes important, then the conflict agency becomes important, because in those contexts we all know that results are being obtained. We have received good examples of this through this local election campaign. It's young people who say that it's completely elated that you're stopping me now, before I get crazy in my head. Fine, then we'll have to take care of it. But the police can't do it alone, they have to do it with other wise people, whether it's in school or elsewhere. When the police get a case, there are often many others who have seen something in the past, and these have to look together.
ParlaMint-NO_2003-10-15.ana.ud1651e462	I am often fascinated by the capacity of the Minister of Justice to describe the situation. It's not that often I know myself in it, but that he has an ambition to be reasonable, I'll let him be honored for that. It's a paradox for me when he's talking again about the possibilities of reconciliation queues and reductions, and he's doing it, among other things. by introducing an additional penalty discount into the system. It is such that the Storting should be representative of those who are outside this house, and then I assume that there should be a certain connection and understanding when we communicate from here out. I believe that ordinary people out there are struggling to understand closed political chambers, closed police stations – which the representative Storberget was in. Does the Minister of Justice think that people will understand that you are now opening up even greater penalties, or is it that most people are wrong, and that it is the Minister of Justice who has a correct description of reality?
ParlaMint-NO_2003-10-15.ana.ud1651e472	No, no one alone has a proper description of reality, so the police reform will have to be evaluated in 2004. Then it has to be evaluated so that we can learn both from what we've done well and from what we can improve. Evaluation is learning for absolutely everyone, including government councils. In the case of the housing queue, it was approx. 7 000 at the beginning of the 1990s, now it's 2,800. A number of active measures have been taken to reduce it. I thought the representative would give me great recognition for the moveable prison, the prison that can be studied in Tromsø, to the full enthusiasm of all. On the inside it is very good, it can be set up and can take advantage of the existing infrastructure. When the question comes about reconciliation queues, I think people will agree that there is no point in sitting and waiting, if we can make sure that we bring him in more quickly, against anyone who fulfils the parole conditions being released five days before by a 90-day sentence and ten days before if there is a sentence of more than 90 days. I think people have a practical sense that it is a tool that can help as a temporary instrument, but not as a solid instrument. At least that's how I think about this.
ParlaMint-NO_2003-10-15.ana.ud1651e481	Let's move on to the next main question.
ParlaMint-NO_2003-10-15.ana.ud1651e484	I want to ask a question to the Development Minister. The Prime Minister said in the throne debate that the Government would renew the fight against unemployment, and that this was a main concern of the Cooperation Government. In the light of these opinions and the recognition that parts of the Norwegian industry, not least along the coast, are struggling, will the Council of State reconsider its position on tied food aid and help the Norwegian fisheries processing industry to continue to contract for the supply of food as emergency aid and assistance, thus avoiding redundancies and closure of important jobs in Coast Norway?
ParlaMint-NO_2003-10-15.ana.ud1651e491	An important principle in Norwegian development policy and in Norwegian aid policy has been to get rid of an old, poor system that involves binding aid to the purchase of Norwegian goods and services. In other words, the money doesn't come unless we deliver the goods. We have a long experience that this is poor assistance, and it is more expensive assistance. In other words, it is wasteful aid. That it is worse, that is, that you do not get good enough results out there, and more expensive means that you get an estimated 20-25 pst. increase in expenditure, because there is no international competition for supplies. This is why our general policy is that, like most like-minded donor countries — at least in all MUL countries, and many other countries — we want to end the commitment of aid. This also includes, in our assessment, the food area, i.e. the World Food Programme. Now I have not brought any valuation of either the goods or the supplies, to which the representative is aiming, I am aiming for the general policy. However, we also believe that it is important for the World Food Programme itself to choose which products you want to use at what time, to decide for yourself where the goods should come from, and to decide for yourself who to deliver, without Norway being the leader of this.
ParlaMint-NO_2003-10-15.ana.ud1651e498	Thanks for the answer. As far as the principle of the binding of goods and services is concerned, I share the views of the Council of State far away. Now this food was particularly relevant, and it is also not part of the recommendations made by the OECD. If it were the case that tenders were practised in the field of fish hermetics, which is what this is all about, it would probably have been very sensible. But in the last three years, there has not been a single offer in terms of fish hermetics. This is purchased directly. When it is not a functioning market, as the Council of State wants and describes, will Norway ensure that the companies and the jobs that depend on it can continue to contract, as they have for many years, so that we can participate in some of this, like other countries with which we compete?
ParlaMint-NO_2003-10-15.ana.ud1651e505	What is the case is that we have had a dialogue with the World Food Programme on these deliveries and the importance of local procurement. We want developing countries to be able to deliver and use this for their own jobs and for their own economic development and growth. It is the best solution in a development perspective. Then we have said that we are concerned that there should be an open competition about these deliveries, and that it should not be that we run to the competitors, i.e. Japan and Canada, who have been suppliers for this together with Norway, but that we should primarily go to the developing countries. If this system does not work, we have told both the suppliers and the WFP that we need to reconsider our position. But our position is that it is the developing countries that should deliver. They can also produce these goods, and they actually need these jobs much more than we do in Norway, which, after all, has a different economic situation.
ParlaMint-NO_2003-10-15.ana.ud1651e512	Let's move on to the next main question.
ParlaMint-NO_2003-10-15.ana.ud1651e515	I would also like to ask a question to the Minister for Development. I have a question about the current situation, with a view to blending humanitarian efforts with military efforts. In Afghanistan and Iraq, several aid workers have been killed during the fall, precisely because people have not separated between who were soldiers and who were humanitarian workers. We should now be able to dare to take a debate on what is humanitarian. Is it possible to be humanitarian with cross rockets, with weapons? What we see is that several organizations, including The Red Cross and Legar without Borders see a clear link between the Walden and the American military interference in humanitarian aid. Military acts as auxiliary workers, distributing food and medicine with machine guns on their backs. And there is clearly a great risk that terrorist groups will perceive the relief organizations as allying with the military forces.
ParlaMint-NO_2003-10-15.ana.ud1651e524	First of all, this is an area of responsibility that lies below the Minister for Foreign Affairs, but I'm still going to answer the question. Clearly, there is an international concern that a greater use of military forces in humanitarian aid could create a situation where the uncertainty of relief workers is increasing. State Secretary Vidar Helgesen has focused heavily on this. This is also something that is going to be a topic in the context of the International Assembly of the Red Cross now. There is no doubt that there is a concern among the humanitarian actors about this. This also makes it very clear in the discussion of Afghanistan in relation to the assessment of Norway’s further involvement, or in cooperation and dialogue with other countries, that military personnel should take care of security conditions and try to create a framework for voluntary organisations, for humanitarian organisations and their reconstruction and relief work. Most recently, I had very central discussions about this with the various actors when I was in Afghanistan a few weeks ago.
ParlaMint-NO_2003-10-15.ana.ud1651e533	Clearly, we are in a situation where the difference between soldiers and relief workers is erased. We see that the use of Norwegian soldiers costs a lot more than that. giving the money to Norwegian People's Aid, which is clearly much more effective. The organisation is private, it is an aid organisation that can do much more and uses it locally to operate mine clearance – much more efficient than Norwegian, state intervention, which may be more in place as a symbolic support for those who occupy Iraq. Does the Minister of Assistance see that we can have a transfer of aid, that aid is suddenly going to be a war effort? We were so lucky in Norway that we found democracy before we found oil, but we see that in some areas Norway is driving corruption. Norwegian state company operates with corruption. In addition, we mix roles between soldiers and relief workers. We're wiping out what was humanitarian Norway. What does the Minister for Aid intend to do about it?
ParlaMint-NO_2003-10-15.ana.ud1651e540	Firstly, I will not comment on the assessment of the activities of Norwegian companies abroad. Secondly, I am the Minister for Development and not the Minister for Aid. And third, when it comes to the question of a mix-up, I was in on it. We are also concerned about this. What has at least been done on the Norwegian side in relation to Afghanistan and the force there is that there is a very limited SIMIC part related to the operation. It's set at 5 million. kr which they may use for the type of auxiliary work. It is a long tradition when Norwegian forces operate abroad, that they have a few resources to operate with that kind of relief work. The emphasis of our humanitarian efforts is still on the voluntary organisations and on assisting the authorities in reconstruction. That's where the center of gravity still has to be. We're not going to move our efforts from that to the military.
ParlaMint-NO_2003-10-15.ana.ud1651e548	Let's move on to the last main question.
ParlaMint-NO_2003-10-15.ana.ud1651e551	I have a question for Environment Minister Børge Brende. Several government councils in the government have been working hard against the destruction of tropical rainforests and have demanded that illegal timber should not be imported. One of the last observations in that context was last week, where the Minister for the Environment says he will ban illegal logging from Brazil. That's good. We have to do what we can to avoid the rainforest in South America being cut down. The problem is that while the Minister for the Environment makes tough demands, among other things. to Brazil, he does nothing to prevent it from being mowed in Norwegian rainforests, because in Norway we also have rainforests, residential rainforests along the coast of central Norway. There's only 20 km2 left of this rainforest, like, among other things. has a rich low and bog society. Some 8 km2 have been protected, but the problem is that Børge Burnde has not done anything to secure the areas that are not yet protected, and this despite the fact that the Stortinget in spring 2001 specifically asked for it to be done. My question is therefore: Does Børge Burnde think it tastes like double morals to make strict demands outside, while at the same time he does nothing to protect the protected forest in Norway?
ParlaMint-NO_2003-10-15.ana.ud1651e560	There's something surrealistic about this question, because in many contexts where I prefer, it's those who think I'm protecting too much forest. This time I'm not doing anything in this area. I share the representative's assessment of the seriousness of the situation in which the rainforest is severely cut out. Rainforests are harvested globally corresponding to an area of approx. half of the Norwegian population. In the case of the so-called coastal grancogen in central Norway, which we naturally appreciate very much now has become rainforest, which is important – there are some endangered species there, not endemic species, but some endangered species – it falls on its own unreasonableness when the representative claims that the Government does nothing. The representative himself pointed out that of 20 km2 with coastal crossings and in central Norway, 8 km2 have already been protected. You've protected almost half. I understand that it's nothing, but in my eyes it's a pretty big and important step. So it is that Norwegian Forest has gone out and said that if it is cut, they will not buy this coastal grancogen, because they will await the treatment of the Great Britain's report on the state of the state of the state of the state of the state of the state, which I submitted in ours, where I have also suggested increasing the protection of the forests in the years to come. In the budget, I have an additional 100 million. kr, which is old-fashioned protection, proposed a commitment mandate of 40 million. SEK to new protection until next year and SEK 18 million. kr in direct allocation in relation to protection. This represents a sum of 58 million. kr that we can use to protect new forest for next year. If it is the case that my professional authorities recommend that we further increase the protection of coastal waters in central Norway, and that it should be a priority, we will follow it up. But this is also based on professional input.
ParlaMint-NO_2003-10-15.ana.ud1651e571	It is true that some of this forest is protected, but there is very little left of it in total. The problem is that while we are waiting for more protection to be provided, there is maximum protection in this forest. Among other things, nature and youth have shown that protective timber has been hoarded in Norway that has even been sold with eco-labelling. Thus, in the spring of 2001, the Stortinge notified clearly that the already registered protected areas of forest should not be subject to further intervention. Despite this clear signal being given, the Minister for the Environment responded in a letter to me, and here today, that he leaves the whole responsibility to clean this up to the forest industry itself. My question is: why does the Minister for the Environment not want to follow the lead and actually introduce some means of protecting this forest while we are waiting for it to be protected?
ParlaMint-NO_2003-10-15.ana.ud1651e580	I cannot accept that «some forest» is protected. When 8 km2 of 20 km2 is protected, I think it is more than «some forest». We must also be aware that in the years to come, forests will be cut in Norway. We've been doing that for hundreds of years, and we'll keep doing that. But it's going to be done in a sustainable way. I can't promise that the mix between protected forest and non-protected forest is going to be 8 km2 of a total mass of 20 km2. There is a mixed number no government can deliver. Forests are also important in many districts, and there are many jobs associated with them. But what we're going to do is take care of all of our most important forest areas where there are red-listed species. Then the representative says that I leave the whole responsibility to the forest industry. This is not to leave the whole responsibility to the forest industry. I went to Stortinget in our house and asked for more coniferous protection, and I have increased the appropriations for coniferous protection in the budget. The representative should be present at some of the meetings I have participated in together with the forestry industry, because there sounds a little different, to say it carefully.
ParlaMint-NO_2003-10-15.ana.ud1651e587	Then you just have to invite the representative with you. The time for the oral question procedure is running out, and we're going over to the ordinary question procedure.
ParlaMint-NO_2003-10-15.ana.ud1651e595	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Bjørn Jacobsen to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs, who has been away. Question 2, from the representative Rolf Terje Klungland to the Minister for Justice, will be raised by Knut Storberget. Question 7, from the representative of Dagrun Eriksen to the Minister for Children and Family Affairs, will be addressed by the representative of Brother Yngve Rahm. Question 8, from the representative Øystein Hedstrom to the Minister for Education and Research, will be answered by the Minister for Children and Family Affairs on behalf of the Minister for Education and Research, who has been away. Question 9, from the representative Arne Sortevik to the Minister for Education and Research, is postponed until the next Question Time, when the Council of State has left. Question 10, by Mr Jørund Leknes to the Minister for Labour and Administration, will be answered by the Minister for Children and Family on behalf of the Minister for Labour and Administration, who has been away.
ParlaMint-NO_2003-10-15.ana.ud1651e618	This question, from the representative Bjørn Jacobsen to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2003-10-15.ana.ud1651e621	I allow myself to ask questions to the Foreign Minister who is being answered by the Minister for Development: ‘Israel has so far built up to 125 km’ – I saw today that it was 150 km – ‘with walls and fences against Palestinian territories on the West Bank. Israel does not follow the green line from the ceasefire in 1949. The wall goes several places into the occupied area. What does the Government do to influence Israel in the first place to stop the construction of the wall?"
ParlaMint-NO_2003-10-15.ana.ud1651e630	Israel claims that the wall that is built partly along the green line and partly inside the West Bank is built to prevent Palestinians from carrying out terrorist acts inside Israel. Israel has the right to defend itself against terrorism. However, the government is deeply concerned about the trajectory that Israel now chooses in the construction of the wall. Arable land is expropriated, farmers are partially excluded from their soils, and entire villages have restricted freedom of movement. There is also a strong fear that the breach of the wall will prejudge the boundary of a final final status agreement, so that the construction of the wall involves de facto annexation of land. This could put a two-state solution at risk. As everyone knows, a two-state solution is an important part of the final status solution of the conflict. The government is therefore opposed to the building of the wall – or the fence, it varies a little – and if Israel still carries out the project, the wall must be built on the green line. Both Prime Minister Bondevik and Minister for Foreign Affairs Petersen have raised this issue with the Israeli Government. This matter was also dealt with in an open meeting of the Security Council on 14 October. In Norway’s posts, the government repeated its opposition to the wall and once again urged Israel to refrain from building the wall inside the West Bank.
ParlaMint-NO_2003-10-15.ana.ud1651e639	I thank you for your answer. It is very gratifying that the Foreign Minister visited President Arafat yesterday, but it was a pity that one night was unable to obtain a resolution in the UN Security Council against the wall. But if the Government wants to go even further than the positive attitude of the Minister of Development here, what does the Minister of Development think one could take practical steps to trick Israel into one way to stop the construction of the wall and perhaps in the long term to tear it down?
ParlaMint-NO_2003-10-15.ana.ud1651e646	This is a difficult question for me to answer. It is primarily the responsibility of the Minister for Foreign Affairs to make an assessment of the other measures that can be taken to trick Israel into action. I'm hardly sure that very many other countries have many good ideas for this at the moment either. It's a very complicated situation. We have from Norway, Minister of Foreign Affairs Petersen during visits and Prime Minister Bondevik during telephone calls, had many rounds with President Sharon on both this and other questions, and it is not easy to see how to influence Israel in the right direction on this issue. I guess it's essentially the American government that has the greatest influence in this regard, and it's an expectation that the international community has, that this responsibility should be taken by the US government as well.
ParlaMint-NO_2003-10-15.ana.ud1651e651	I thank you for your answer again. I believe the Secretary of Development is right to say that the solution lies in the American Congress, as they finance a great deal of the irregular measures that Israel has taken. In the village of Jayyous on the West Bank, the inhabitants have now been isolated for 10–14 days from their areas with citrus fruit and olive groves, and the Minister for Development knows very well what problems it creates for small farmers. In addition, six of their groundwater wells lie on the wrong side of the wall, and the development minister knows very well what water problems are like, especially for people who are poor and living in rural areas. Without water, the most complete activity stops. Does the Minister for Development see what we can do, either through the budget in Norway or by political action, to help those who are the most affected? So far, perhaps, it's about 4,000 to 5,000 Palestinians, who are clearly being rammed daily by this wall that's blocking them from their land. Does she see any short-term measures that Norway could contribute in any way?
ParlaMint-NO_2003-10-15.ana.ud1651e665	Yes, I myself plan to travel to the West Bank and Gaza, as part of the follow-up to our development cooperation with the Palestinian self-government authorities, hopefully in December. Then I will have the opportunity to look at the situation along the wall, including the Palestinian territories that are most affected in terms of practical problems that the representative here is facing, and which I am also familiar with. That, I think, would provide a better basis for assessing whether there are individual measures we can take on the Norwegian side to remedy the situation. I'm going to promise the representative I'm going to evaluate this, and I'm going to evaluate it seriously.
ParlaMint-NO_2003-10-15.ana.ud1651e673	This question, from the representative of Rolf Terje Klungland to the Minister of Justice, will be raised by Knut Storberget.
ParlaMint-NO_2003-10-15.ana.ud1651e676	‘In Flekkefjord, a woman was for some time killed and held hostage in her own home for 24 hours. The police didn't move out. They argue with a lack of resources. The public contact with the police in the western state of West Agder is significantly weakened. People who turn to the police outside of normal working hours are asked to make contact during normal working hours, even if there are killing threats or other serious situations. What will the Council of State do to ensure that the police move out in such serious incidents?’
ParlaMint-NO_2003-10-15.ana.ud1651e683	In this particular case, I have asked the Police Directorate to obtain the Commissioner's opinions. He informs us of the fact that the police in Agder in this case have not rejected any enquiry referring to the resource situation. On the basis of that department's information from the Police Directorate, let me give the following explanation of the course of events in this particular case in order to illustrate the police's course and priorities: On the day in question, the police district operating centre received a telephone call from a family member of an elderly woman in Flekkefjord. The family member called from Kristiansand. It was informed that the woman in Flekkefjord needed help because she felt threatened by a man who lived in the same house as her. The Operation Centre addressed the police patrol who served in Lister Security Cooperation Area. The police patrol was then on its way to another mission to relieve a neighboring conflict. Before the police patrol continued this assignment, however, they contacted the elderly woman who felt threatened. This was just done to assess whether the police should give priority to this new message in front of the mission they were in the process of carrying out. The police perceived it so that the older woman was pleased that the police called, but she expressed at the same time that she no longer needed help, because a doctor who had come to the place took care of him she felt threatened by. Later, the woman met at the police station in Flekkefjord to report the threat. This notification deals with the police in Agder with the necessary priority. Both the social affairs and home health care in the municipality are involved in the case. On a general basis, I would like to say that the police must give priority to violence. Making sure that citizens are safe is one of the most important tasks of the police. As a result, violence must also be given priority.
ParlaMint-NO_2003-10-15.ana.ud1651e696	I thank you for your answer. It must be a concern of the country's Minister of Justice that we are getting more and more examples of this. I'm recording that there's disagreement about how people describe the fact, but just that we get more episodes where people feel that they've lost a lot of the security that the police are supposed to contribute to in the local environment, needs to worry the Minister of Justice. One thing, as I said earlier in Stortinget here today, is the length of proceedings and the percentage of clarification in criminal matters. Another thing is the concrete presence of police officers. I have to say that I think it is worrying that we now in a number of quite large cities in Norway feel that the police are almost entering closed doors after noon. 16th@item: inlistbox It's Kongswinger in Hedmark, Elverum in Hedmark, and we also see many other places where there's a lot of people, and where you've been waiting for the police to be available at the police station. Will the Minister of Justice do something, so that we get some more content in the police service and not just discuss structure?
ParlaMint-NO_2003-10-15.ana.ud1651e703	Yes, now a very specific question was asked, and I have answered that in concrete terms. I have also given a clear value signal in that context. As for the police reform, which was presented by a labor party government, and where I have done what I think has been right to follow up, I will repeat what I have said earlier. When we evaluate the reform, it's both to learn what's going to be good and what can be improved. Clearly, with old police districts with main stations and instead with patrols, reality will be different. I note that this reality can vary from one part of the country to another. Evaluation is just about learning, about why it is, about how people experience it, and how the police experience it. What I know is that we have had an increase in the police force, there has been an increase in the budget, and there is an increase in competence. I register alarm messages, because it is important to register. I also register messages about a good job that is done, and that is not always spread with a lot of pressure. But in many places in the country, you can also read it if you see the picture. A composite image requires evaluation. Evaluation is the basis for learning, therefore it will be carried out. And of course, I want an open mind just for such an evaluation.
ParlaMint-NO_2003-10-15.ana.ud1651e712	These are good words, but it's actually nothing but words. I recall the title of a youth book called ‘From Talk to Practice’, and I think the Minister of Justice will notice in these kinds of cases. The Workers' Party's initiative in relation to the police reform was just to get closer to the police officers, to maintain places of service for people to feel secure, and now we hear about value signals and about evaluation. I would like to say that it must then be possible for the country's Minister of Justice to ensure that police stations, especially in medium and large cities, actually have a service beyond 1 p.m. 16th@item: inlistbox I was expecting the Minister of Justice to intervene. It must be possible to provide it — not just wait for the evaluation that comes in 2004, but make sure it is in place. This is a legitimate fear of many Norwegian citizens.
ParlaMint-NO_2003-10-15.ana.ud1651e719	I'm not going to go back to history, but it was actually a fight about the number of police districts, among other things. Kongsvinger Police District. I belonged to a minority who were heartily dismayed, among other things. by the representative of the then government party of Storberget. Later, we got an arrangement, and then it's my duty to make sure that the police, both through the police department and the local police officer, are operationally available. It does not have to happen in a station, but at least it has to happen that someone is available by a car that works in the neighborhood and that will be there quickly. This is a task for the police locally to organize. They have the authority to do that. They dispose of freedom and resources. It's the Police Directorate that's following up. Of course, to make sure that this comes out well, it needs to be evaluated. It's called learning. I have before the reform came, never expressed myself with confidence about how quickly it would affect you. I even said it would take some time. But now I do what I can to make sure that what is adopted is followed up and implemented, and that it learns from it. Part of the learning is that I myself travel around and take with me the impression, both from those who think the service should be better, from those who have experienced it as good, from police officers, from people on the floor and from everyone else. It is part of learning, but it does not replace the broad evaluation. It will give the representative and me a good opportunity to learn both from what is good and from what is not so good.
ParlaMint-NO_2003-10-15.ana.ud1651e729	‘Recently, the use of expert statements in court has been widely discussed in the media. A special focus has been on professional disagreements between psychologists and the use of tests as a basis for it, or expert opinions and advice on justice. In civil matters, there is no quality assurance of expert’s statement. In my opinion, this practice is a legal security problem both for individuals and for society. What will the Council of State do to ensure the quality of the work of experts in civil matters?’
ParlaMint-NO_2003-10-15.ana.ud1651e736	Like the representative of Hofstad, I see the issue of legal security here. Some overall features of expert assessments and information have been discussed in NOU 2000:23, issued to the Ministry of Social Affairs and Health on the collection, use and storage of health information by insurance companies. However, because recent media headlines have been primarily related to child protection issues, I have been in contact with the Minister for Children and Family Affairs, who is responsible for this matter. In the same way as in criminal matters, decisions under the Children’s Protection Act are also of great and profound importance to those concerned. However, the lack of a similar system to that of the forensic commission in this area does not mean that legal certainty is poor. All the so-called coercive cases, e.g. care take-over is taken by a county council composed of a chairperson who is a lawyer, two experts and two members of the board. The experts are appointed by the Ministry in accordance with specific criteria. Although there are expert members in the county, it is not uncommon for the municipality or the private party to have used experts to investigate the matter before it is presented to the county council. In this case, the general government will have the competence to determine whether these expert investigations have been properly conducted and are of sufficient quality. In the event of a judicial review of child-restraint cases, the courts have also been seised of experts with judges appointed by the courts. As regards further quality assurance of the expertise in child care matters, I have been informed that the Ministry of Children and the Family has established a separate training programme for child care professionals over several years. However, in consultation with the Minister for Children and Family Affairs and, where appropriate, other interested parties, I would like to assess whether a system for monitoring or quality assurance of expert reports should also be established. The question of quality assurance of the work of experts in general I will also follow up in the Ministry of Justice's work on a new dispute law.
ParlaMint-NO_2003-10-15.ana.ud1651e745	I thank the Council of State for the answer. I am very pleased that the Council of State will follow this up and take this problem seriously. It is, as the Council of State says, especially in child distribution and care matters that this is a major problem. In the so-called Svanhild case, which has been much focused on in the media, examples have been found that you could have just needed a commission for review prior to the main negotiations. What can the Council of State do to avoid such a situation? I heard that the Council of State will follow up on the case law, but are there any other things that can be implemented?
ParlaMint-NO_2003-10-15.ana.ud1651e752	I understand the question, given that these matters affect people very directly, and that they go very close to people. So my answer is as follows: We have the Forensic Commission in criminal matters, and it has to ensure the quality of the expert's reports there. I do not see it as appropriate to extend this Commission's responsibility for expert reports outside criminal matters. I see it, however, that the Court of Justice in the first place is responsible for ensuring that the work of the legal experts is of the necessary quality. This is particularly important in matters relating to children. In working on a new dispute resolution law, I will follow this up and see how the court's responsibility can be developed. This work must include the administration of the Court of Justice and it is important to gain their and judges' experience in this area before the Government makes proposals for legislative changes and other important measures in this area.
ParlaMint-NO_2003-10-15.ana.ud1651e759	The practice of today in the matters that we have heard through the media, where there have been facts where there is a basis for suspicion, and where there are also unworthy discussions in the court between several experts, is hardly something that is suitable to guide and inform the court of difficult cases. In addition to this, does the Council of State see that quality assurance of experts can also help to avoid appeals, thus also becoming a process mating measure?
ParlaMint-NO_2003-10-15.ana.ud1651e766	It is possible that it is right, as the representative says, that going into the cases can lead to what she herself says is a process mate. On the other hand, the most important thing here is to make sure that there is no doubt about the competence of experts. In this context, I refer to what I said in my main reply about the contact with the Ministry of Children and Family Affairs, but also that I will make special contact with the Court of Justice in connection with the new Disputes Act. We have other sensitive questions in recent times, for example. in the case of remunerations for lawyers in a completely different area, see how courts intervene and cross when they find that something is unreasonable. So I would like to say that I look forward with excitement to such a dialogue in connection with the Stortinget proposal about a new dispute settlement, and the contact I must then have with the administration of the Court of Justice.
ParlaMint-NO_2003-10-15.ana.ud1651e777	I have a question for the Minister of Justice. He has almost answered the question in the oral question procedure, but it is as follows: ‘We point out that there are now layoffs in the districts. Can the Council of State indicate which statutory police tasks are to be prioritised in areas that lose important police resources with high local knowledge?’
ParlaMint-NO_2003-10-15.ana.ud1651e786	Police reform is now at a stage in which police districts assess the structure of the holding, including: the organisation of police stations and officers’ offices. In this context, individual police districts consider several options to organise police services in order to make them more effective and public. At the latest in the next year’s budget proposal, the Ministry has provided the necessary political guidance to stress that the proximity of the public can best be ensured by the existence of police stations and officers’ offices, but that there is an active need to redeploy administrative tasks in order to ensure that individual departments have a rational and appropriate division of responsibilities and tasks between themselves. In this perspective, we want more to cultivate the operational and public functions of the Länsmannskontorets and the police stations. Both in the reform Communication and in the budget proposal, it is underlined that the number of service locations will be maintained. In some cases, it may be appropriate to merge several county councils where professionally appropriate and adequately localised and assessed. The name Länsmannskontoret should be maintained at the place of employment even if the place of employment/members’ office does not become a separate holding but is part of a larger County of Länsmann with several offices of Länsmann. As far as the bilgeman is concerned, today he covers a number of tasks. In addition, the changes in civil justice on the basic plane will in many places further reinforce the multifaceted and important role of the gentleman, as I also addressed in the oral questioning process. The preliminary reports from the police districts indicate that many are seeking regional cooperation solutions between several relief agencies, without prejudice to proximity and presence. In any case, there will be no mention of the depriving of statutory police duties as a result of organisational adjustments. These tasks will be prioritised and carried out as before, in an even more effective way than today. The whole purpose of the police reform is to get a better police force for the benefit of the public in those places where people need their services. Let me also add: I worry that we have a lot of places in the country where there are both resources and resources, not occupying jobs because people don't apply. It's a special challenge that emphasizes what I see is the core of the representative's question to me.
ParlaMint-NO_2003-10-15.ana.ud1651e803	I thank the Council of State for the answer. The question might have been a little bit clearer, because the Council of State was at the heart of what is at the core. It's limited what a human being can do. When we have unoccupied positions outside the county offices, it's not because they're not applicants, but it's because there's no money, and it's because the environment has become so low that the janitors move from there. What can the State Council and the Ministry of Justice do to fill the vacancies? Because it's limited what a janitor can do alone.
ParlaMint-NO_2003-10-15.ana.ud1651e812	There are probably some places where jobs are available because they are kept available. Even I have the principle that it should be the last method. It is better to see if other measures can be taken within a budget. But I'm not aiming for that relationship. I aim for places where there are both appropriations and will and you do not get applicants. This varies enormously across the country. I myself have been to the West Finnland police district and experienced what is the situation there. I know the situation of the police in Ryfylke. Elsewhere in Norway, it is quite different. I know that the Police Directorate is very concerned that there is going to be an active recruitment when people leave the Police College. I have to say that I also have some wonder here, because when we last set up a unit for the compensation of victims in Vardø, it was spiced by applicants. It was even the applicants who thought this was in Bærum and who maintained the application when they were told it was in Varde. So I probably have a significant belief in the personal agitation towards people to recruit. I also hope that the Department of Police College that we have received in Bodø will at least contribute to the three northernmost states to resolve some of the question that the representative is now raising.
ParlaMint-NO_2003-10-15.ana.ud1651e821	I thank the Council again for the answer. I have not received an answer to the question: What statutory tasks should be deprioritized? We have something in the districts called animal crime. There was a high flag and high on the file map a few years ago. Lensmen in the districts don't have time to take care of that job, and then it has to be down-priority, even if it's required by law. Is it, according to the Minister of Justice's assessment, that people in the districts are more law-abiding than people in the cities? Is that why we have the new reform, maybe?
ParlaMint-NO_2003-10-15.ana.ud1651e830	Legal compliance has many interesting variations in Norway, but I will not make any geographical comments on it. The truth is that the overwhelming majority of the Norwegian people are very law-abiding. It is that there are large differences locally. There's a lot of small janitor's offices that are involved in animal crime. There are many places where they're even concerned that it's very controversial locally. But the central point of my answer to the representative Bastesen to his questions about law-enforcement police tasks is to be down-prioritized as a result of organisational adjustments and changes, was no, that should not happen. That's what was at the heart of the question, and I've replied that it's not going to happen.
ParlaMint-NO_2003-10-15.ana.ud1651e840	I would like to ask the Minister of Justice the following questions: ‘In the Ministry of Justice’s threat assessment and priorities for the 2003 Police Security Service, the Globalisation Critical Movement is referred to under the heading of political extremism. The only other group mentioned here are the right-hand extremes. Is the Council of State in favour of such categorisation of the Norwegian organisations and environments that have identified themselves as critical of economic and political globalisation?’
