ParlaMint-NO_2003-06-20.ana.ud1707e82	Magnhild Melting Group Kleppa will make a private proposal.
ParlaMint-NO_2003-06-20.ana.ud1707e774	The representative Arne Braut has taken up the suggestions he referred to.
ParlaMint-NO_2003-06-20.ana.ud1707e777	Job No one, in the view of the Left, to bring down the growth in the number of unemployed and to create new, forward-looking jobs. The left is pleased that the Government has received through a revised budget in the Storting where both rigour and government priorities are secured. The aim of the 2003 state budget and its revision is primarily to make an important contribution to working life in the fight against increasing unemployment. We do this primarily by ensuring that the budget is revised within the responsible framework, so that additional interest reductions and a weaker dollar rate result. It may always be tempting to spend more money for a number of good purposes, but the cost of increasing interest and loss of jobs is, in the Left's view, too high a price to pay. No curtailment seems more unsocial than high interest rates, which frame both individuals, municipalities, the business community and not least young people to establish themselves for the first time. A tight budget is also the most important measure to secure jobs and a strong and competitive business throughout Norway. The left is therefore pleased to note that the government's policy is working. Since the 2003 government budget was approved, interest rates have fallen four times, from 7 pst. to 5 pst. After reaching a top at the beginning of the year, the crown is now weighted with more than 7 pst. In the fight against increasing unemployment, we must also use other instruments. For the Left, it has been particularly important to focus on creating new jobs. Left will give space to man's creative abilities, so that it becomes as natural to create one's own job as to find a place within the established working life. The revised 2003 budget is a lever for innovation, entrepreneurs and small businesses – a lever that will help create new jobs across the country. A large investment in seed funds will help to strengthen access to seed capital at the very early stage of the development of the enterprise. A large-scale research effort through increased permissions, including: The research fund and the FUNN scheme will significantly improve the framework for knowledge businesses and stimulate industrial research. This, together with other measures, will also be an important contribution to creating new jobs across the country. ‘These members are very well understood to be careful to promise money for all good purposes.’ This quote - believe it or not - was taken from the Progress Party's comments in the Financial Committee configuration. The party of progress, which in turn has supported the budget we are revising, but which uses billions of non-invading, and which will in addition signal tens of billions of new ones for use in 2004, increases that do not guarantee jobs in our competitively exposed industry at all, rather the opposite. The left, together with the other government parties, is very pleased that, through its work, we have been able to find multiple numbers for the collection of each crown in the expanded framework of social security and childcare. We are also pleased that some of the opposition parties acted as responsible as one might expect from responsible opposition parties. Yesterday, we discussed the municipal proposal for 2004 in this room. For the Left, the work of increasing local self-government and less state-level detail has been a major feature of this spring. It will also be in the future, but I look at the comments and the debate yesterday that left has a job to do. Workplaces that provide security for the individual, as well as tax receipts to municipalities, together with lower interest rates, will provide more resources to municipalities. We note that in the revision of the 2004 budget, the Labour Party prioritises the fight against unemployment first, but until next year, the Labour Party promises over DKK 3 billion more to the municipalities, more to the retirementist countries and the launch of many new public buildings, and according to comments, one will also fulfill the defence investment agreement. There are high expectations for the Workers' Party, and it will be exciting to see the implementation. The left is well pleased with its own efforts both in government and on the Stortinget this spring. Government policies work in the fight against increasing unemployment. The last thing we learned was that we heard the SSB's estimate for the Norwegian economy, which was presented yesterday. The SSB notes that the picture of the labour market is now somewhat stronger than it was in the previous period. Bets on the unborn business, on knowledge, on research and on innovation enable us to create new jobs that provide income to further develop our future. Together with a tight financial policy of my Left that the job of the Government is doing is producing good results. Finally, the Government Party will support proposal No. 109, from the Workers' Party, to give the Government the power to initiate measures for the North Sea divers while we wait for this matter to be dealt with here.
ParlaMint-NO_2003-06-20.ana.ud1707e810	It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e813	The representative Vihovde is content with his own efforts. But it must presumably be a good deal of painful things like the Left, who have tried to profile themselves in environmentally friendly energy use, must be on this government. I will show you, among other things: for the cut of Enova at 20 million. kr. The representative Vihovde focused on the fight against unemployment. I agree with what has been said here before, that one cannot dig or build itself out of the solution, but there is no capacity available, and therefore the bulk of the population has now succeeded in completing some construction projects, among others. project, and created a multiple for it. But I want to challenge Vihovde in another area, because there are some such curative projects that Stadsbyg has a mandate to implement. I know about some high-rises that are ready to put the spade in the earth, funded by rent income, but because of the tight frameworks that state buildings now have, they don't get started. The Labour Party and SV have pointed that out. I hope that Vihovde as representative of the government party can follow this up in the budget.
ParlaMint-NO_2003-06-20.ana.ud1707e822	Let me start with the cut in Enova. Yes, there's a small cut there, but at the same time, this government has invested a lot on renewable energy, and one has also added 225 million. kr. for heat pumps. So to the construction sector. There are a lot of good projects going on, and the Labour Party has got a lot of them started and designed. The left could have thought several of them, because there's a aftermath before the maintenance of public buildings. But when you're going to prioritize and keep a tight budget, there's a cut here. I could maybe challenge the Workers' Party back. When they now secure multiple numbers for the start-up of many new buildings, while also strengthening the local economy, securing against unemployment, securing defence investments and pension lists, how will they meet that priority when we are discussing the 2004 budget? As I said, there are many good measures one might have thought to have supported, but the most important thing is to secure Norwegian jobs.
ParlaMint-NO_2003-06-20.ana.ud1707e833	The representative Vihöd informed that job no. one for the Government is to bring down the solution. I could imagine an answer from the representative Vihovde whether she thinks the government has been happy in this area, when we see developments so far this year. When the unemployment rate is job number one, it might also be interesting to know what job number two, job number three osb. for the Government, and to the right a little bit about how development and status are on these areas.
ParlaMint-NO_2003-06-20.ana.ud1707e841	I believe the Government has succeeded in this respect. It also shows the SSB’s business cycle report that this might turn around. It shows that delivering a tight budget, delivering a tightly revised national budget, works. When interest rates go down while the dollar is weakening, business in that part of the country where both the representative Hagesets and I live may get better terms and maybe don't have to cut in the workforce. The National Association of Technology Enterprises has stated that if the euro gets weak, it doesn't think so, but if it gets down to the eighties, it would be a good thing to turn this around. It's actually happened. This government is delivering, this happiness. Actually, it's job number one to get more people a job. If we can't do that, we'll weaken our welfare. We are reducing the revenue of the state that we need to use to finance the welfare arrangements that we need.
ParlaMint-NO_2003-06-20.ana.ud1707e850	It sails daily Russian oil tankers with crude oil along the coast of North Norway. This traffic is much, much larger than we had anticipated, and it's increasing. The coast manager has even said that Norway has been taken to bed. The standard of many of these oil tanks is such that the danger of an oil disaster is imminent. The need for adequate coastal preparedness is required at the most. In the revised national budget, the Government has only briefed on measures to be considered in the 2004 budget. No specific measures have been proposed. The greatest need is to put in place enough tugboat capacity. SV has proposed that 40 million be allocated. kr. to strengthen this capacity, so that it can be in place before the winter storms set in and the risk of accidents increases. The Government and the Left will not be in it. My question to May Britt Vihovde is whether she is satisfied that we are not getting the necessary oil protection equipment on the coast of North Norway until far out in 2004.
ParlaMint-NO_2003-06-20.ana.ud1707e859	It is stated in the landfill proposal that, when it comes to the towing boat capacity, the government will come back to this issue in 2004, and that one has seen schemes that will work, which are approved, until one comes back to the total. I have also registered that the Government actually prioritizes the most important measure that came in Finnmark, namely the Traffic Centre. One has re-prioritized means to project this. It is one of the most important pieces to go along the Finnmark coast to ensure preparedness. I hope that the Government, as one has said, will establish closer cooperation between the various actors operating on our coast, and that they will carry out this work. I am totally satisfied with the job that the government is doing with this, even if you could have always thought that things were going faster. But one takes the grips as a finder needed, and perhaps first and foremost the Trafik Central.
ParlaMint-NO_2003-06-20.ana.ud1707e870	The cord shift is over.
ParlaMint-NO_2003-06-20.ana.ud1707e873	The last line from Geir-Ketil Hansen should have been addressed to me, because I know the most about it. I'm the one who's talked about it the most. May Britt Vihovde has no idea what's going on, that you're moving ship traffic within the 12-mile limit. Today it goes largely beyond the 12-mile limit. But don't do that. What I should say is that the Coastal Party believes there is room for spending more money than the agreed framework allows. However, the use of money needs to be targeted at the necessary measures to ensure a varied, value-creating working life as a foundation for the welfare state. We have been running with both tight budgets and high interest rates for several years. Despite the fact that it has been clear for a long time that this means that jobs are disappearing from the country, and that business is losing competitiveness, the government has threatened the interest-rate ghost every time someone has promoted constructive proposals to secure jobs in this country. Only now, when a few hundred jobs disappear every day, has the government found it too good to ensure income policy cooperation with the social partners. At the same time, the Governor of the Central Bank has been clearly informed by the Government that, if the Storting does not accept the framework, the interest shall be set up. Unfortunately, when the slowdown of investment in road, rail and maintenance increases from year to year, while economic policy leads to job closures, the need for oil money is increasing. It will be difficult for everyone to run long-term planning when one cannot rely on stable framework conditions for more than six months at a time. Now, it seems that the government has no long-term goal, and it infects the desire to invest in this country. It is difficult for ordinary people to understand that while we were able to raise large foreign loans in order to invest in future income opportunities, we cannot now, when income comes, invest in competitive business frameworks, in the maintenance of past investments, or in new expansions that can offset the competitive disadvantages of industry by lying far from the market. On the contrary, there are ever new proposals that make it difficult to maintain business and housing throughout the country. This is the Coastal Party deeply concerned about. The coastal party believes that we should distinguish between unsafe oil revenues and foreseeable gas revenues sold on long-term contracts. The coastal party considers that gas revenues greater than oil revenues can be used in the annual budgets. We believe that the investments from the oil revenues must be positioned so that they yield long-term returns. Stock speculation with the people's oil fund has so far failed, at the limit of scandalousness. More and more economists are critical of economic policy. The government should take that seriously. The Coastal Party is promoting three proposals, which are distributed in the Chamber. We hope that there will be a majority for the proposals, but that remains to be seen. In that case, the proposals will be submitted. The proposal to establish a national competence centre for the development of maritime industries in Haugesund is a follow-up to previous decisions and has no proceeds effect, the financial basis being proposed to be the bound seafarer’s fee within the net pay scheme. If the maritime forums themselves define the administrative needs, administrative costs will be kept to a minimum, because the industry is interested in making the most of the decisions contained in the Stortingen Premise of the Decision of 27 February. Development and research projects have already been launched with a longer time perspective than six months. The Coastal Party therefore requests the support of the distributed proposal in order to ensure greater long-term stability of the framework conditions, so that launched research projects can be completed and new ones started in line with the wishes of the Storting. When, in response to the Government's failure to comply with the Stortinget decision, the Shipowners of NIS only proposed to be covered by the net pay system, the Maritime Forums reacted along the coast to the Haugesund and asked the Maritime Forum there to be a speaker for the whole coast. The Coastal Party believes that this was a clear signal that the Maritime Nutrient Cluster needs an alternative speaker to the Shipowners’ Association, because the maritime clusters of the coast have a scope of cooperation that goes beyond the interests of the Shipowners’ Association. This is the background to our proposal. The background for all proposals relating to shipping is distributed in the representative shelves. My speaking time is not enough to elaborate on this, but the issues should be well known. The proposal for the phase-in of the Sabbath year is an attempt to exploit today's surplus of skills to stimulate older teachers to continue their efforts in school by offering them a year for filling their skills as an alternative to early retirement, while ensuring that young teachers do not disappear to other occupations until the large retirement age comes. All our proposals are an attempt to ensure broad competence and to prevent unemployment. I am addressing the proposals that we have made alone or with others.
ParlaMint-NO_2003-06-20.ana.ud1707e896	The representative Steinar Bastisen has taken up the suggestions he referred to.
ParlaMint-NO_2003-06-20.ana.ud1707e899	This debate shows that the main objective of the Progress Party is to discharge the responsibility for the year's budget, for which they voted. The responsibility required to have influence and to have a majority in favour of its proposals is no longer within the competence of the Progress Party. The representative, Siv Jensen, said that the revision should sum up all the releases that had been made in winter. In winter, the party of progress has only submitted proposals on road construction that add up to approx. SEK 50 billion, including: Four-field road from Oslo to Trondheim. You don't get far north from Gardermoen by SEK 1.5 billion, as the Progress Party is now proposing. The representative, Siv Jensen, also said that the Progress Party had ‘refused the temptation’ to propose large tax reductions now. We have to take it as a little bit of a point of light in the debate, that in that party too we are now beginning to resist temptations. The treatment of the revised national budget takes place without the dramatic prospect of the Prime Minister’s saberrasling a few weeks ago. However, in one case there is a great deal of drama attached to the realities, namely the conversion of the system of lower employer charges in the districts. The Labour Party asked the Government to add to a broad discussion of this issue with the parties in the Stortinget, but the Government chose to restrict itself to briefings in the EEA Committee of the EEA. We believe that a broader contact with the Stortinget in such an important district policy case could provide a better basis, both to assess the possibility of exploiting the EEA Agreement’s derogation provision, which allows for a political assessment of exemptions from State aid law, and to assess the possibilities for a wider exemption than the Government now provides. It is good that the aim is to continue the current system for Finnmark and Nord-Troms as well as for fisheries and agriculture, as well as transitional arrangements in the areas where the lower fee is to be abolished. However, in the view of the Workers' Party, the Government has not fully clarified that there could be no basis for using ODA Protocol 3 in zones other than Finnmark and Nord-Troms. From the Labour Party, we would like to stress that the possibilities of maintaining a lower employer’s fee for industries where this is not a distortion of competition must be fully exploited. The possibility of using transport aid as an alternative measure must be exploited in all regions affected, and there must be provision for industrial policy measures where it is not possible to find solutions to address the cost increase in industries and individual enterprises. So far, the government has not presented a scheme for this. On the part of the Workers' Party, we will also stress that the increased tax revenue generated by the conversion is to be fully used for actions in the individual regions where the levy has to be increased. The measures envisaged must be permanent and not merely transitional. In the case of municipalities and counties, we assume that the lapse is fully compensated. Once the Government and the Advance Party have decided to remove the electricity charge for all businesses, there are serious problems for district heating development. Now, the Government is right to promise remedial measures, but it does not present a clear outline of what this should be like. As a result, district heating companies are being thrown into great uncertainty, and in many places the work being done is being stopped. Now the government can hope for a wet summer and harvest, so that the electricity prices will not be as high as last winter. But there is little doubt that the removal of the electricity charge for electricity will also lead to light and heat in the business world leading to increased power consumption and an even greater gap between what we can produce ourselves and the need. The bill will take the form of higher electricity prices for both industry and households. It is gratifying that the government parties join in the proposal to change the charging system for drug use, even if it will only take place from 1 January. It is no pleasure that the Christian People's Party today will vote against the proposal to increase the Brussels charge as early as 1 July. I would recommend the industry to put away the fight they are now warning against this fee. This industry wishes to be socially responsible when it justifies the desire for a lower alcohol charge that a greater part of its consumption should be passed through the normal distribution channels. That it also means that a greater part of the alcohol consumption will go through their accounts will be so. If they are going to run a campaign against increased charges for drug use, the fig leaf of social responsibility that importers are trying to cover up will disappear in the fight for lower alcohol charges in general. A number of countries have charged higher than beer to curb the consumption of this youth drink. There are several tax changes that cause problems, but it is because of the solutions adopted by the Government and the majority. The conversion of the waste taxes adopted by the majority last year has not been achieved by the Government. This concerns the levy on the energy recovery of waste, where it is still unclear whether ESA grants authorisation. If the solution proposed by the Workers' Party had been adopted, this problem would not exist. Nor has the legislation on the environmental approval of landfills been put in place without double bedtightness. Nevertheless, the new charging system will be introduced from 1 July.
ParlaMint-NO_2003-06-20.ana.ud1707e942	It is with pleasure that I record that the Government receives support for the main lines of economic policy through the consideration of the revised budget in Stortinget. A budget with a responsible framework is adopted. I note that the Government, with varying support, is getting a majority on important points. I registered that the head of the committee stated that the Workers' Party had made itself flat for the Government. I cannot register anything like this in the setting. Keeping the main principles of containment and responsible frameworks cannot be characterised by such expressions. The reason why the responsible framework is important is that high cost growth and strong crowns in 2002 and beyond weakened the profitability of Norwegian competitive business in 2003. The result is weak growth and increasing unemployment. The main challenge for economic policy has been and is to reverse these developments. We need to pursue policies to secure and create jobs, especially in the competitive industries. In this situation, it is important that economic policy incentives are facilitated by monetary policy. A tight budget has provided for lower interest rates and a weaker exchange rate. Since the government budget was adopted, interest rates have fallen four times, from 7 pst. to 5 pst. However, Norway still has a clearly higher level of interest rates than in other countries. The three-month money market rate in Norway is now about 1.7 percentage points higher than in the euro area and 2.8 percentage points higher than in the United States. Consequently, there is still considerable freedom of action in monetary policy. In a talk on 3 June, the Governor stated: ‘Financial policy now appears to be more neutral in overall demand and public consumption and employment are no longer growing. Financial policy – as presented in the Revised National Budget – therefore does not help to lock in the strong krona.’ In the same lecture, the Governor indicated that the period of monetary policy facilitation will last and that the Bank of Norway will consider taking greater steps in the reduction of interest rates. Lower interest rates mean reduced expenditure for households, enterprises and municipalities. It provides the basis for new growth. However, the assumption is that we continue to maintain tight budgets. The course has gone down, as we hoped. Since the turn of the year, the crown has weakened by 12.5 pst. against the euro. The decline in US dollars has been significantly less. Thus, overall, the effective price of the industry is now almost 10 pst. weaker than at the end of the year. In comparison, the crown effectively strengthened to about 16 pst. from the summer 2000 onwards. The world economy is currently poor, and Norway is not sheltered from this. In the last year, the Norwegian economy has developed weaker than in the past. The economic growth of mainland Norway is now estimated to be revised to 0.7 pst. in the current year and 1.9 pst. Next year. For the current year, this implies a decrease in the growth rate of well 1 percentage point since the national budget last year. New information since the revised national budget was presented confirms the picture of weak activity growth in the Norwegian economy. GDP for mainland Norway fell by 0.6 pst. in the first quarter of this year, following a corresponding decrease in the fourth quarter of last year. The decrease in electricity production may explain some of the decrease in activity. In addition, developments have been particularly weak for industry. The result is a weakening of the labour market. Employment fell by about 15 000 people over the last year. The registered unemployment rate has increased more than expected, and the development of job vacancies has been weak. More than 100,000 people are now without a permanent job. It's a tragedy for each one of them. This is why the fight against unemployment is the most important issue for the Government. It is therefore positive that we are now seeing the results of economic policy. The interest rate decline and the turnaround contributes to new optimism for the Norwegian economy. It confirms new forecasts presented yesterday by the Statistical Central Bureau. Under the heading ‘Low interest rates are being speeded up in the Norwegian economy’, the central agency presented estimates showing that economic growth is rising next year. According to the Agency's analyses, next year we will see that unemployment starts to decline again. The precondition for this to happen is that the Government will join the broad lines of our economic policy. There's no reason to change a rate that we're seeing now is giving results. The financial policy of the Government has provided room for interest rate reductions and the reversal of the krone price. If we were to follow the recipe to spend more money, the room for relief in monetary policy would be gone. This would undermine the competitiveness of Norwegian companies. The foundation of our welfare society would therefore also be threatened. There is also a need to focus on the long-term sustainability of economic policies. It is important to pursue budgetary policies from year to year that look forward many years in time. The country's liabilities relating to future pension payments are not reflected in current government budgets. The commitments relating to the age and disability pensions of the population at the beginning of this year amount to approximately NOK 3 400 billion. We are now estimating that the Petroleum Fund will amount to approximately NOK 800 billion at the end of this year, i.e. not more than one quarter of pension obligations. If we add together the net cash flow of future petroleum activities, we can estimate it on an uncertain basis to approximately NOK 1 900 billion, i.e. more than half of the estimated liabilities. This reality indicates that it is important to maintain the guidelines established for the use of oil revenues. We must pursue a policy that ensures the basis for the generations that come after us. Calculations of the generation accounts presented in the revised national budget show a significant need for tightening, between 50 and 75 billion kroner if the contractions were to be made over one year, i.e. 4 to 6 pst. of the total gross domestic product of mainland Norway. Other Western countries, too, will have an increasing share of older people in the population beyond the turn of the century. In line with this, public expenditure on old-age pensions is expected to increase in the whole OECD region as a whole towards 2050. While expenditure on future old-age pensions was relatively low in Norway compared with other countries in 2000, by 2050 Norway is clearly above the European average for old-age pensions. The difference is not due to the fact that the age structure of the population, i.e. demographic development, is more demanding in Norway than in other OECD countries, but it is due to the fact that more of the other countries have made more progress in reforming the pension system than we have. The government will return to a security reform of the Norwegian pension system after the Pension Commission has submitted its final report, expected in October this year. I also point out that in the revised national budget, we provided estimates showing that pension expenditure will grow faster than the value of the economy. Public health expenditure on old-age and disability pensions is now well 9 pst. of the total GDP of mainland Norway and estimated by an unchanged pension scheme and with wage adjustment of G to rise to nearly 20 pst, i.e. above double by 2050. While we take into account that future pensioners will also pay taxes, this implies that the future's active labour market must use a significantly larger proportion of its total income to pay taxes than is currently the case. Finally, let me reply to a challenge, a question from the representative of Hill-Marta Solberg about the health reform. The representative of Solberg said that the health reform has not been served by bringing individual decisions into the Storting from businesses. I fully agree with that. I can confirm that the Government in the budget proposal for next year will provide a wide range of information on health business performance and strategic plans for the coming years. It will also provide information on the implementation of adopted structural changes and their consequences. I refer you to the review given in St.prp. No 65 and the letter of the Minister of Health contained in the Innst. S. No 208. This will allow the Storting to discuss, in the context of the budget, the broad lines of the development of the structure of the specialist health service in the years to come.
ParlaMint-NO_2003-06-20.ana.ud1707e977	It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e980	The finance minister said in his speech that it was a tragedy for each of the more than 100,000 people who have now become unemployed. At the same time, the Minister of Finance specifically took developments in interest rates as income for a successful policy. I'm afraid, and I really hope that the Minister of Finance doesn't collect anyone's words about the fight against unemployment long before he's near the finish line! The revised budget outlines that the unemployment rate will increase this year and also into the next year. There may have been nuances in what the Minister of Finance said in his intervention instead. Is it the case that the Minister for Finance is adjusting to this point, or will he now confirm that his assessment is that unemployment has not reached the peak and will continue to increase in 2004?
ParlaMint-NO_2003-06-20.ana.ud1707e988	I did not adjust the estimates contained in the revised budget, and they also largely correspond to the new calculations that the Statistical Central Bureau presented as late as yesterday, confirming that next year we will be able to experience a decline in unemployment, but beyond this year we will be able to experience an increase. It is that when you see the first signs that economic development is turning toward improvement, then the first thing that comes is not the decline in unemployment. I stress that the trends in economic growth that we see are vague, they are cautious. They are also obsessed with considerable uncertainty about international developments, particularly in the United States, but also in parts of the EU. So we're going to be careful to collect this as manifest and very clear signs. But it's a sign that it works in Norway. Not least, we have received reports from the export industry, which are now beginning to put aside plans to move out, lay down and limit their workforce.
ParlaMint-NO_2003-06-20.ana.ud1707e993	When the Minister of Finance was a big business representative, he spoke very often about ‘harry money’. It was a concept used by the then wholesaler to describe the discovery proposals that were highly questionable. Since Per-Kristian Foss became Prime Minister, apologies to the Minister of Finance, he has been constantly looking for new and creative ways to spend money. So one of the methods is to balance budgets by increasing dividends from state corporations. It is well known that the state companies are given money under the heading, where they do not affect the balance sheet, and then you take the money back over the line and cover other expenditure increases. I would like to challenge the Minister of Finance for this and ask him to answer if he believes that the recovery of other increased expenditures by means of increased dividends is not a good money. Because he has previously raised this issue for many times.
ParlaMint-NO_2003-06-20.ana.ud1707e1002	Dividends are for an owner good income, that, in line with others, and that one helps to recover some of the reduced income or increased expenditure in this way, I won't characterize as a cashier in any way. I've never done that either. I also record that the Progress Party is now at full speed away from what they meant in the budget last year, where they, together with the government parties, helped set up the dividend percentage of State power, which is now under attack. I think it's a bad method. The fact that companies are provided with significant increases in equity suggests that the requirement for dividends on equity also increases, as would have been done for any private owner. But since we are only in the time of the mimorring: as a former magnificent representative, I also remember the Progress Party from that time. I remember a party of progress that was for less public expenditure, for less government ownership, and actually to confirm that we were not going to use the Petroleum Fund for pensions other than pensions. It was times! [[Laughter]]
ParlaMint-NO_2003-06-20.ana.ud1707e1013	The central bank manager has now carried out several interest rates throughout the spring, and he has also announced that new interest rates will be set, even larger than those that have been. This is just a confirmation that the monetary policy that has been pursued, especially last autumn and last year, was wrong. Most will now agree that the costs incurred by Norwegian industry and Norwegian households are far more than what should have been. In any case, the four fields mentioned in the mandate are not met: the inflation target has been far from reached, production and employment has gone in a completely wrong direction, and not least the crown price, already mentioned in the first sentence, has proved disastrous. My question to the governor, excuse the finance minister, is whether he is satisfied with the central bank's exercise of monetary policy. I'm recording that he called the head of the central bank into the Ministry of Finance. I think that's wise. But the question is brief: is the Minister of Finance satisfied with the enforcement of monetary policy by the current governor and his board?
ParlaMint-NO_2003-06-20.ana.ud1707e1020	Halfway through here, I became both the head of the central bank and the prime minister. I don't know what to put the most emphasis on.
ParlaMint-NO_2003-06-20.ana.ud1707e1025	Yes, there would have been something.
ParlaMint-NO_2003-06-20.ana.ud1707e1030	One of the parts, maybe. In answer to the question, I would say that the Minister of Finance and the Government have full confidence in the Governor and the manner in which he conducts monetary policy. But it's part of the system that you have to learn later from the assessments that have been made, and where they might not be completely kept. Prognosis for the future is uncertain. Saying something about how it went in retrospect is, to put it mildly, something safer than science. It is precisely in this process that there is a dialogue between the Norwegian Bank and the Ministry of Finance. It's as part of this dialogue we've asked the governor to explain the distance between forecasts and actual price developments. It's not like the governor's name is on the carpet. This is an ordinary way to communicate with the governor. The result shall be presented in accordance with the wishes of the Storting and the Government, inter alia. in the 2002 credit notification, which is thus coming to the autumn, where you will learn from the assessments made. I think someone and everyone can benefit from that.
ParlaMint-NO_2003-06-20.ana.ud1707e1037	We have well found that the government has given up what many think is the most important district agency, that is, differentiated employer fees, because it has been said from the EU that hope is to be said, and then we jump. So you try to cover up how this really turns out. We know that a differentiated employer fee is available to be used specifically, and we know how it has worked. According to the media, the Minister of Finance has stated that the loss of a differentiated employer’s fee can be compensated by lower pay demands. Is it really the way to understand that the Government believes that regional policy instruments should be compensated for by the fact that the rural population is going to fall into wages and thus have a lower standard of living than the one in the centre?
ParlaMint-NO_2003-06-20.ana.ud1707e1044	There were two misquotes in the post that was kept here, and therefore they were not reproduced as quotations either. But then the false, highly misleading statements become contrary to actual circumstances. One is that the Government has given up the differentiated employer’s fee. No, it's the result of an order that is widely known through our EEA Agreement, and that neither a central party government would escape in any way. I register that the Center Party is the only party that has given us the advice to run this to court. It has an overall business life warning against, as the district industry will then be in a situation where two to three years later you will have to return money that has been paid out in the years that have gone by. That would be disastrous, even for the district industry. The second error in the post was the claim that I should have claimed that lower salary demands and lower standard of living should have been promoted. I have not made such an opinion, it does not believe so, and therefore it is also misleading for the debate to bring it in. We shall make arrangements to compensate for the loss of the differentiated employer’s fee as far as possible under the current legislation.
ParlaMint-NO_2003-06-20.ana.ud1707e1053	I noticed that the Minister of Finance in his contribution also responded to a challenge with regard to health businesses, which I presented to the Government earlier today. I saw it as a positive response that the Storting should have a review of adopted structural changes in health businesses and discuss the structure of a planned notification. The Minister for Health has requested in his business decisions that the implementation plans be submitted to him by 1 November and before any changes are implemented. I must then understand what the Minister of Finance said, so that when the Stortinget gets this in connection with the budgetary documents, that is to say, before changes are implemented.
ParlaMint-NO_2003-06-20.ana.ud1707e1060	I can confirm – on the advice of the Minister of Health – that the Stortinget will be presented in such a way that it is possible for the Stortinget to influence the long-term plans. At the same time, there is reason to stress what Hill-Marta Solberg said in his first post today, namely that individual decisions for which each health business is responsible should not be brought before the Stortinget. It has the majority of the Stortinges in connection with a Document No. Eight proposals stated earlier that there should be clear boundaries between what is brought into the main hall and what is the responsibility of the Council of State and the business meetings.
ParlaMint-NO_2003-06-20.ana.ud1707e1066	The cord shift is over.
ParlaMint-NO_2003-06-20.ana.ud1707e1069	Unlike the Government, we in SV have an offensive commitment for business in our budget proposals, and it should only be lacking with the high and rising unemployment rate that we have. There is simply no lack of unsolved tasks in our society, and then it makes sense to link important tasks that are not done with the unemployed with the right skills, and not least to ensure that those who are unemployed or who are out of work retain their skills, through the means of various research and development programmes. Our efforts are largely directed towards industry, fishing industry, travel and research. We're adding the very largest pot into the SND, plus 400 million. It is important to focus policy on stimulating the emergence of competitive jobs based on new ideas or innovations that will drive the economy forward. Support for SND will help to overcome the increasing unemployment by helping business to convert and at the same time ensuring many new, sustainable and profitable jobs. A type of conversion is the development of competence through research and development contracts. SND support has proved to be important for the implementation of the project and helps to trigger other funding. As a result, SV and the majority increase this item by 35 million. kr. The majority increase the Fund for Research and Innovation by DKK 1 billion, and the government party has happily joined this. We're also zeroing out the cut on the Research Council of 53 million. kr, and records that the government party is also good at going back on it. And I was going to say, "That should just be missing." The amount was already substantially disposed of through binding commitments, and would have led to monthly skepticism in business to later bet on R & D, because one would have noticed that one could not trust that the Government is fulfilling its obligations. And they are right in that, because one cannot achieve the OECD target by the end of 2005 by cutting off the path of research. In the primary industries, there is also a need for conversion, both will and responsibility. On Monday this week, the Stortinget adopted structural measures for the coastal fishing fleet, which will have a major impact on this fleet, and the commitment to conversion and development is even greater than in the past as a result of its decision by the majority. SV is on a total package through SND of 125 million. kr for fisheries and aquaculture, where innovation, conversion and capacity-adjustment in the fishing industry are strengthened. We'll allow money for a loss fund, and we'll put in $50 million. kr to a State guarantee scheme for operational credit in the fishing industry. All of these are good suggestions, and we're very happy that they get multiples. Of course, SV has a stake in the part of the business that deals with alternative energy. We haven't forgotten the power crisis from this winter, as many didn't have alternatives to electricity for heating. We're spending 200 million. UKR into ENOVA, which, through conversion to renewable energy, will provide several thousand new jobs. While we are concerned about this with electricity: The government has presented a proposal for a change in the electricity charge that is about exempting all businesses from electricity tax. This gives rise to different competitive conditions for alternative forms of heating and energy sources. It won't be profitable with the development of district heating systems, and not least it will lead to an increase in power consumption that will enhance the already existing sub-balance. For the power-intensive industry, this is serious. PIL has entered the Danish solution, which the Labour Party and SV in this setting have asked the Government to look at. I would like to ask the Government to evaluate the Danish system in the further work on the state budget, and give the Christian People's Party a special responsibility for getting the Government on track. They have expressed themselves entirely in line with the Working Party and SV mean. So finally another thing, which has to do with our relationship with the EU: the cancellation of the differentiated employer fee. SV is very much pleased with the work done by the Government so far, neither in the case of exemptions for industry that do not compete across borders, the ODA mechanism, the maximum notification of transport aid or the creation of structural funds within EU legislation. In a letter to the ESA from the Government as late as 5 June of this year, the transport aid has not been proposed, no exemptions have been applied for from the industries that could have been granted, no evidence is still available for the exemption for agriculture and fisheries, and no new arguments are put forward for the continuation of the Nord-Troms and Finnmark schemes. It is totally unacceptable for SV if we do not use the possibilities contained in the legislation we have to comply with. It's going to be a disaster for business if the government doesn't think otherwise, and with a completely different motivation, it's going to go into that work in relation to ESA.
