ParlaMint-NO_2003-06-04.ana.ud1647e57	The representative, Jan Simonsen, will make two private proposals.
ParlaMint-NO_2003-06-04.ana.ud1647e495	First of all, the question of spending more money targeted. Yes, the government actually does. We spend more money than what a so-called mechanical return of the Petroleum Fund is now supposed to be, i.e. 4 pst. Read the budget papers and see that the government uses more than a mechanical application of the rule of action, both last year and this year, through so-called smoothing of the rule of action, i.e. that one sees this over several years. We're taking out more now, for example. Because we're in a recession. The government does. So there's a question of dosage. Our perception is that if we were to go a lot further, such as the Progress Party in particular, but as I have understood that SV also wants, we can counteract the drop in interest rates that is now in place. I refer you to the Governor's lecture yesterday, where he says that the Government's revised national budget is so arranged that it prevents the lock-in of the crown price we could otherwise get. So there was a positive character to the Government's proposal. I get to get back to the construction industry.
ParlaMint-NO_2003-06-04.ana.ud1647e504	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e507	I'm going to try to keep away from polemics about which periods of unemployment were the highest, and try to address the fact that unemployment is now rising rapidly, and that industry is seriously concerned about how development is going to be – especially the industry that is used to having some wave valleys, among other things. the paint industry. They say that economic policy is well and good, but where is the active will to pursue an industrial policy that benefits not least the coast and the districts? They also accuse the Government of inaction in industrial policy. Therefore, I will challenge the Prime Minister on four concrete proposals and ask whether the Government intends to support the four concrete proposals: The government will reverse the cut of 53 million industrial research. Do you think it would be a good idea to do something about it, and it would be a good idea to do something about it. Will the Government change the law of leave, so that one increases the period of leave from 26 to 52 weeks? Will the Government contribute to the building of gas ferries and the development of gas technologies through guarantees or subsidies in Norway? [[The President clubs.]]
ParlaMint-NO_2003-06-04.ana.ud1647e521	It was just three!
ParlaMint-NO_2003-06-04.ana.ud1647e524	Let me just first, since I did not get a response from Holmås about the construction industry, show that the government has actually proposed a significant extension of the loan scheme for upgrading school buildings in the municipalities, which could put vacant building workers into work. Most of the proposals now presented by the representative Arnstad are part of the discussions on the revised national budget – and I do not believe that the representative Arnstad expects the Prime Minister to decide today on the positions of the government parties in the Financial Committee in the consideration of the revised national budget. The proposals submitted by the various parties, and in particular those with which we may have an agreement, will be considered. As far as research is concerned, I would like to point out that the co-operation administration has actually stimulated it significantly for industry – not least through the FUNN tax scheme, which gives all Norwegian companies tax deductions when set aside for research and development. That arrangement has almost exploded. It's positive and works for conversion and innovation.
ParlaMint-NO_2003-06-04.ana.ud1647e533	Let's move on to the last main question.
ParlaMint-NO_2003-06-04.ana.ud1647e536	It may be tempting to follow up on the very latest Prime Minister now said: The industrial research that the Prime Minister now holds leads to redundancies in SINTEF, which is the most developed and some of the best research environment we have in Norway today – regardless of the FUNN tax regime. I will follow up on the question of a differentiated employer's fee. The Prime Minister said he would assess all the measures, and then it might be tempting to ask if he would like to cancel an agreement that does not allow us to maintain such an effective and good system as the differentiated employer's fee. But I realize that the answer to that is a little too simple to predict. However, there has now been a legal investigation by the law firm Thommes Krefting Count Lund, which indicates that they believe we should use the exemption clause in the EEA agreement – not only in Nord-Troms and Finnmark, but throughout the area that currently enjoys a tax exemption for employers' fees. Legal developments in the EU have justified the use of a parallel provision in EU laws. Is the Prime Minister and the Government willing to assess such an opportunity?
ParlaMint-NO_2003-06-04.ana.ud1647e545	Of course, we study with interest all the material that comes and that can help us to maintain good district policy arrangements to counteract the negative consequences of the loss of a differentiated employer's fee. Now I think the representative Arnstad asked us if we could consider this implemented throughout the area that has had an exemption from the employer’s fee – she thought it would be reduced, I would assume. Only Nord-Troms and Finnmark have an exemption. So that's where the government assumes that we're maintaining the exemption. We have received clear messages from ESA, also based on judgments, that we cannot count on maintaining the differentiated employer fee in additional areas – if there is new material that should be different, we will of course study it – it has been the clear impression we have received after we have brought this matter to the top of the EU and EFTA systems. So what we have now concentrated on is developing other district policy instruments, which will be acceptable under the EU and ESA competition regime. We will come back to Stortinget with concrete proposals on when we've come further, but they're already publicly announced, part of the arrangements we're now assessing.
ParlaMint-NO_2003-06-04.ana.ud1647e557	I thought of a reduction in the employer's fee, and I thought of a reduction in the employer's fee in the mountain region of South Norway, in parts of the Prime Minister's own constituency, Møre and Romsdal, and I thought of it as a matter of fact on the Fosen and the Namdalen. Those are the ones that are being hit hardest by the change that the government is now putting up with. It is also said that there is also a question of the Government opening up to the exemption it wants in Nord-Troms and Finnmark. But regardless of whether it does, these other regions, which also have major problems in terms of economic development, are going to be very poor. There is considerable uncertainty in their future development in terms of the differentiated employer’s fee and any compensation. But what Thommes Krefting Count Lund says in his mind is that it is possible, based on the EU's own legal development, to apply the rule of exception under ODA Protocol 3 and apply it to the whole district policy area. And when the government gets such a consideration on the table, do I hope the government will do what it can to the EEA body to apply this rule?
ParlaMint-NO_2003-06-04.ana.ud1647e567	I am aware that the cancellation of a differentiated employer’s fee in isolation will have a significant negative impact both in my own country and in mountain regions, but also in other regions of South Norway. That's why we're now so concerned about finding the most targeted measures that can compensate for the districts that this is about. At the same time, we need to set them up in such a way that we have reason to believe that they are accepted within the EU/EFTA competition regime. And as I said, if there's new information – knowledge – that can make you stand stronger in this fight, possibly even when it comes to using differentiated employer fees in larger areas, we'll study it. However, this has been discussed at the highest political level, including in the European Commission. And we haven't got any such signals at all – on the contrary. But we like to study it.
ParlaMint-NO_2003-06-04.ana.ud1647e574	There will be follow-up questions – Odd Roger Enoksen.
ParlaMint-NO_2003-06-04.ana.ud1647e577	I think it is a little surprising to hear that the Prime Minister expects to be signaled through this kind of negotiation. The same negative signals were given to the previous government led by the Prime Minister. In that case ESA would not allow us to maintain the differentiated employer’s fee. At the time, a legal action was taken, which showed significantly that we were satisfied with our demand to maintain the differentiated employer's fee. There were some changes, but those changes were of marginal importance for Norwegian industry. The legal point now referred to by the representative Arnstad shows that there is indeed a basis for this kind of disagreement. Then the centre party believes that it is not good enough just to apply for the approval of any alternative arrangements. You should really try this case, try it in the form of a new trial. I also believe that there are exceptions that have not been tested, including: derogations for small enterprises which do not compete within the EEA territory but only operate in a local market. Why don't you look at a new case as an opportunity?
ParlaMint-NO_2003-06-04.ana.ud1647e582	I know very well the decision the representative of Enoxsen mentioned from the time of the central government. Then it is important to note that the approval that was then granted was due in 2003. It was quite clear that we could face a new regime after 1 January 2004, and that is where we are now. All the discussions indicate that this is not to be avoided. When the Government has not recommended a new legal case, which is of course an opportunity, it is because the process risk is very high, and one may also risk that the companies will then have to pay back too little paid employers' fees. This will really cause a major problem for Norwegian business in the areas in question. That risk does not want the Government to take. We don't want to put that burden on businesses in the districts. So we don't recommend that. Instead, we want to work for other instruments that can counteract the negative effect.
ParlaMint-NO_2003-06-04.ana.ud1647e589	Karin Andersen – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e593	I note that the Prime Minister is clearly misinformed, both about Norwegian geography and about the letter from ESA. In the case of Norwegian geography, I can state that, for example: Tolga, Os, and Engerdal do not belong to the central east, but are far from the center. Unfortunately, in the letter from ESA, which is on the Ministry's website, it says in the case of the differentiated employer's fee in North Norway – I will translate it into Norwegian, because I understand that it is necessary here – that the directorate cannot see that it can in any way approve such a scheme, nor for Nord-Troms and Finnmark. This is very dramatic. I also record that the Prime Minister now says that there might be some possibilities here that we haven't used. We expect a government that fights for its positions and for the interests of the Norwegian districts, and does not go to a counter-debt and say: If you do not approve this immediately, we do not care about even applying for it! I would like to ask the Prime Minister: does the Prime Minister have, for example, even read this letter?
ParlaMint-NO_2003-06-04.ana.ud1647e604	I am well informed of the facts of the matter. I have never said that the three named municipalities belong to the central eastern region. Where the representative Karin Andersen got it from, I don't know. She doesn't have to take that up at all. If she expects a government to fight, she gets that expectation fulfilled. The government has fought, and it will fight for the best possible regional policy instruments. This is an attempt to create the impression that the government is passive and only accepts the first answer we get from ESA. It's totally misleading, completely wrong. I know that myself. I myself, as Prime Minister, have raised these questions. The Minister of Finance has done it. Other government councils have done it. We've done it at different levels, and we're fighting everything we can to maintain the best possible arrangements. Now we should fight together against the counter-crimes we have, instead of fighting internally and trying to create the impression that the Government is passive when it's the very opposite.
ParlaMint-NO_2003-06-04.ana.ud1647e611	The time for the oral questioning process is over.
ParlaMint-NO_2003-06-04.ana.ud1647e625	At the request of the Municipal Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2003-06-04.ana.ud1647e632	The treatment of the so-called mulla Krekar case has contributed strongly to the focus on the travel of refugees and asylum seekers between Norway and the home country. Police reports also show that some asylum seekers travel abroad while their applications are being examined, despite the fact that, as a general rule, asylum seekers are not to be awarded travel documents. Many suggest that some illegal immigration is possible due to misuse of just travel documents. Against this background, it is necessary to see the proposals of the Progress Party to make existing legislation both tighter, narrower and less flexible. The question is whether a legislative tightening is necessary or appropriate. With the exception of the Progress Party, all parties in the Committee believe that today's legislation is initially good enough. It provides clear grounds for the withdrawal of the permit of asylum or residence by persons who have received a residence on an incorrect basis. Today’s practice also says that the application is filed or rejected without processing if an asylum seeker leaves Norway or disappears to another place while the application is being processed. That's the general rule and the normal one. Like most people, it is unacceptable that persons who have received refugee status in Norway use their Norwegian foreign passports and travel documents to travel to their country of origin on holiday. Such travel activities will be the abuse of the asylum institution. It says ‘serious and requires a response’, a joint committee says. There is also an overall committee that points out the importance of giving the right signals, so as to avoid increased influxes of asylum seekers without a need for protection. Today's law is not absolute, but it gives room for discretion. Some flexibility in the law is important in order to ensure that individual considerations are taken into account in the difficult situation of a refugee. In addition, it is important to note that, in the vast majority of cases, travel is unproblematic. Once a person with a foreign background has acquired Norwegian citizenship, this is an authorisation whereby he/she enjoys the same rights as all other Norwegians, even in relation to travel activities. I refer here to the full presentation by the Government of the draft revised national budget. This is in response to a previous request decision in Stortinget. The media often put a sharp searchlight on individuals and unlucky individual pistachios. In such cases, it is understandable that people react, and that a critical look at our own laws and rules and how these are practiced may be necessary and appropriate. Both the proposals in this case and previous decisions in Stortinget have highlighted relevant issues. There are issues and challenges that the Government is briefing the Storting on precisely in the revised national budget for 2003. In addition, a broad majority of the Committee refers to the Minister of Local and Regional Affairs' letter to the Committee on 12 March 2003, which states that the Council of State wishes to examine how the legislation is actually being practised. For the purposes of tightening up, the procedures for renewing travel documents and for issuing new documents after the notification of lost documents will also be further explored. The geographical demarcation of travel activities will also be assessed. The Progress Party will, to a far greater extent than the rest of the Majority, have laws and rules that are absolute, automatic and provide little room for human consideration. The majority of the Committee does not consider that it should be able to support this proposal and will therefore be able to attach it to the minutes. Finally, I would recommend the Committee's recommendation on this matter.
ParlaMint-NO_2003-06-04.ana.ud1647e656	The issues raised in the proposals of the Progress Party that we are discussing today have been raised in the past by the Monitoring Committee in the UK. The members of the Committee of the Workers' Party then put forward the following proposals: ‘The decision asks the Government to ensure that the legislation is in accordance with the intentions and, where appropriate, to propose legislative changes where the general rule is that residence in the country of origin leads to withdrawal of asylum status.’ In the revised national budget, the Council of State has made a full statement on the request decision of the Stortinget. It is not the case that the Progress Party is trying to give an idea of the position, that only those involved in the misuse of the asylum institution are involved, and that only the Progress Party is engaged in the use of issued travel documents to travel to the home Member State, where this is not permitted. Much of the legislation is in place. But there's every reason to look at the practice of today's rules. Today’s legislation is such that if an asylum seeker leaves the country, the application is withdrawn, and this is also practice. However, if the asylum seeker concerned comes back and promotes a new application, he/she has the right to be dealt with under the refugee Convention. With the fingerprint register, it should be easy to find out if the person has applied for earlier, but then left the country, and that there is hardly any reason for protection. Such an application may be made quickly, considers the Workers' Party, and is therefore not the major problem. The Labour Party believes that the Government needs to review current practice to see whether the practice of the rules and procedures is still governed by the legislation. As regards travel restrictions for those with asylum status or residence permits, the Workers’ Party considers that the presentation by the Council of State in revised form demonstrates that the handling of current legislation needs to be improved. When it became known in 2000 that over 1,500 northern Iraqis with Norwegian travel documents had crossed the Syrian-Iracian border this year, the government of Stoltenberg made a tightening up. After learning that there were so many people who travelled home for periods, a refusal to apply for a residence permit was granted to Northern Iraq people who did not have an individual protection need. The Labour Party believes that if you stay for periods in the country you have fled, it is an indication that the need in Norway is not real. A practice that allows asylum seekers to travel on holiday etc. to the country of origin, will contribute to undermining the institution of asylum and will easily conflict with the general legal position of the people, and it will require a response. The Labour Party considers, as the whole Committee expresses in its opinion, that it is unfortunate that persons with refugee status or protection in Norway circumvent the travel restriction to their country of origin in their Norwegian foreign passports and travel documents by first travelling to a neighbouring country and then travelling to their country of origin. If UDI and UNE practices today may indicate that travel certificates and foreign passports are initially issued without travel restrictions other than travel to the home Member State, there is reason to take a closer look at this. It is necessary to consider whether there are several countries that must be covered by where the asylum seeker is unable to obtain travel documents. I expect the Council of State to come back to this either as a matter of its own or in connection with the revision of the whole law on foreigners that Stortinget is being treated for if not for too long. The Party agrees that the matter is annexed to the minutes.
ParlaMint-NO_2003-06-04.ana.ud1647e683	The President-in-Office of the Council, Mr Holmberg, said something that gives me an understanding of why Stortinget does not want to take any action. What the rapporteur said was a de minimis approach to the problem. I'd like to discuss whether the Krekar case was the triggering factor, but it's not a single thing we're talking about. That's what I think the representative Eye strongly expressed by referring to the numbers she was operating on. We have recorded frequent border crossings carried out by people who have a temporary stay and stay in Norway on the basis that they have been persecuted. Then it's a bit of a shame, I think, that the Storting doesn't give the government, like to call it an instruction or at least an opportunity to tighten up the practice in line with the extent of the problem. I saw a documentant on the NRK the other day, and if several of the representatives saw it, they should have changed their settings immediately today. For it clearly shows how big the problem can be in Norway. The documentary was about other countries in Europe, but the developments we see in the rest of Europe, we cannot be blind to or be calm and watch and imagine that will not happen in Norway. There are dangerous features to that development. I don't want to elaborate on it any more. That's why the Progress Party, as the only party now, actually takes this matter seriously, and it doesn't matter what the representative eye says. It's not that we in the Progress Party believe that we're the only party that's concerned about this. In the comments in the setting and not least in the investigation that is being revised, we see how big the problem is, and that the whole Stortinget understands that it is a big problem. The difference between the Progress Party and the other parties is that we will act. We are making proposals for action, while the rest of the Stortinget and the Government will continue to investigate and evaluate. Nor is it the case that this is about human considerations, because if it had been an argument, it should have weighed on the side of the Progress Party. Nor is it correct, as it is claimed, that the legislation is in place. The legislation is deficient, although we can also see that the practice in relation to the existing legislation is wrong. But what is contained in our proposals is additional legislation to tighten up even more in relation to the travel activity that is taking place, not to the country of origin, but to neighbouring countries and through them to the country of origin, which we have no chance of controlling. That is where the problem lies, and there has to be a change of rules. I just want to finally express some satisfaction, as all the parties on the Stortinget, and the Government through its investigation in revised, at least realize that this is a problem. Then we got a little bit on our way. It's taken four-five-six years to realize it. I hope, even if the Stortinge agrees with our proposals, that the Government and the Council of State will not use another three-four-five years to implement new legislation or change the practice of the legislation, so that we do not get into the situation that was revealed on the documentary that was sent to the NRK the other day. Finally, I would like to address the proposal of the Advance Party.
ParlaMint-NO_2003-06-04.ana.ud1647e698	The representative Per Sandberg has taken up the proposal he referred to.
ParlaMint-NO_2003-06-04.ana.ud1647e701	SV is in the majority of the setting and is in favour of it. We give clear notice to the Government that the laws and regulations in place are to be practised, and there is also a clear message that part of the legislation needs to be looked at to see if it needs to be tightened up. The difference between the majority and the Progress Party is that the Progress Party believes that people should be treated in full, regardless of their situation, while the majority believes that there may be some exceptions, and that there are some assessments that need to be made by the administration in such cases. For example, in the case of the registered border crossings into northern Iraq, which is highly debated, there is no doubt that in many cases there may be a situation in which there is reason to say that he is not threatened. But sail if there are many border crossings, that doesn't mean that everyone is traveling. There might be some people who travel a lot, and saying that everyone should be treated exactly the same because they have crossed a limit, is going to be wrong. There must be a basis for assessment. SV has also participated in asking the Government to look at the procedures for issuing travel documents in order to limit, if possible, the possibility of travelling to neighbouring countries. But doing this completely summarily can lead to actual abuse of people whose only opportunity to meet their family is that it happens in a neighboring country. That's also an opportunity. I can reassure the representative Sandberg that I also saw the documentary on TV last night, and part of what we saw there was quite outrageous. You don't have to be naive and blind to it. But at the same time, it cannot be said that this applies to all those who are refugees and asylum seekers, that it concerns everyone who has come to Europe, and that everyone should therefore be treated as if they are potential terrorists and extremists who are willing to both overthrow societies and kill people, because that is not the case. We cannot behave in such a way that we suspect everyone even if someone has abused our trust or does things that are illegal. I believe that the Storting has now given a clear message that we believe that the law and the legislation in place, which, in our view, provides the basis for exercising these travel regulations strictly and according to our international obligations, is actually to be used, and that the Government has been told that they must go through their procedures to ensure that this is practiced in line with what it actually is. It also means that the majority of the Storing have acknowledged that there have been some openings that may have been too large and that they are now to be closed again. I see this as a serious way of dealing with this question. Taking on the proposals that the Progress Party now has will mean a summary and arbitrary treatment of individuals who are not a state of law worthy.
ParlaMint-NO_2003-06-04.ana.ud1647e716	Like others, I had the benefit of seeing the documentary that went to NRK the other day. It is hardly difficult for some of us to distance ourselves from recruitment to terrorism, from violence and crime against their own religious institutions, which were also documented. But we have to be able to think more thoughts at the same time, and in this case I would say that for the Christian People's Party it is – and it has always been – important to protect the institution of asylum, maintain respect for it, and not least guarantee the right to asylum as a real right for those who need protection. If we are to retain this respect for the institution of asylum, it must be reacted if the institution of asylum is abused. The majority, of whom the Christian People’s Party is a part, believe that ‘if persons have been given residence on incorrect grounds, asylum/other residence permits shall be revoked’. There is also a basis for this in today's legislation. Today’s practice is that an asylum seeker who leaves the country or who disappears to an unknown place while the application is being processed is considered to have withdrawn his application. The Committee refers to the letter of the Council of State of Solberg dated 12 March 2003, which states that the application for asylum ‘either be lodged or a negative decision is taken without substance’ in such a case. The Christian People's Party, like other parties, has recorded that there are unfortunate incidents. We are pleased that the Government will carry out a review of rules and procedures to see if the practice should be improved. With regard to proposal 2 of document No. 8:58, which refers to travel restrictions, refers the Committee to the Government’s presentation in the revised national budget 2003. The Committee asks the Government to take a closer look at the practice of the legislation regarding the circumvention of travel restrictions in the Norwegian passport and travel documents of the asylum seeker when travelling to his country of origin via neighbouring country. The Committee asks the Government to tighten up the procedures for the renewal of travel documents when they have been notified of loss. Furthermore, the Committee asks for an assessment of surrounding countries to be subject to travel restrictions in order to prevent abuse. Finally, the Christian People's Party will refer to the letter of 7 March 2003 to the Municipal Committee and the Justice Committee of NOAS, the Norwegian Asylum Seeker Organisation, where it states: ‘However, while the abuse of the asylum system must be actively combated, it is imperative that the asylum system retains the flexibility and the basic inter-human understanding that the life situation of refugees requires.’ The Christian People's Party agrees with NOAS in this. For example, NOAS shows: in its letter to the UNHCR Handbook on Procedures and Criteria for determining the Legal Status of Refugees, point 125, which includes, among other things: is: ‘It has a different meaning in assessing the refugee’s relationship with the home Member State if he visits an old or sick parent than on regular visits to the country in the form of holidays or with a view to establishing commercial relations.’ It states that such cases should be ‘assessed individually’. The Christian People's Party agrees with UNHCR and NOAS in their consideration of this.
ParlaMint-NO_2003-06-04.ana.ud1647e741	As you can see from this setting, there is a large number of them. The center party is in that plural. We think it is good that all parties, apart from the Progress Party, stress that it is important that the institution of asylum and respect for the institution of asylum should be preserved. The right to asylum shall be effective for those who need it. We actually thought it was embarrassing that the Progress Party could not stand for such a policy. Then the majority also says that ‘if persons have been given residence on incorrect grounds, asylum/other residence permits shall be revoked’. So that's the basis of today's law. We agree that the abuse of the asylum institution is serious, and that it requires reactions. Today’s practice is also such that if an asylum seeker leaves Norway or disappears to an unknown place while the application is being processed, the application is deemed to be withdrawn. The letter from the Council of State to the Committee of 12 March 2003 states that either the asylum application is abolished in such circumstances, or a negative decision is taken without substance. Then there are some unfortunate episodes. For this reason, the majority is pleased that the Government has carried out a closer review of rules and procedures to see if the practice should be improved. The majority also states that persons with refugee status should not normally be able to use their Norwegian foreign passports and travel documents for trips to their home country on holiday. But it is very important that we reject here the automatic handling of such cases and thus the arbitrary treatment that individuals may be subjected to and that lies in the Progress Party's proposal. There is a broad majority that wants the UDI to evaluate each case, and also evaluate each case against circumstances that can change over the year, and we refer to the UNHCR Handbook in this field. There can be no doubt that there may be people who deliberately have to choose to expose themselves to danger for, for example: very special family relationships, members of the non-Norway family, with whom it is important to have contact. The Committee would like to see the procedures for the renewal of travel documents and the issuance of new documents after the document has been notified to the public. The Committee would also like the Government to look at whether the geographical restriction on travel activities should, in some respects, cover surrounding countries. Then there's something about UDI's own information about the current legislation, and the committee also underlines that. It may well be that the information itself on the current rules can be considerably better. In total, I think that the committee here has carried out a good balance, which is probably felt by the centre party, and I am glad that there is such a wide plurality that rejects the Progress Party's proposals.
ParlaMint-NO_2003-06-04.ana.ud1647e758	Let me start by saying that this is a problem that affects quite a few parts of the asylum policy. First of all, this is nothing static. Once asylum seekers arrive, once they may have been granted residence and asylum, some of them will remain in this country for a long time, actually become Norwegian citizens gradually, and things can happen in the home country. It is therefore very difficult to talk about absolutes in this context, but it is also important to say that there are assessments that need to be made in relation to the individual case at one time. At the same time, it is quite important to stress that it is a huge problem to abuse the institution of asylum, that it is actually documented through its return journey that there was no need for asylum, or that there was no need for protection. It is also a major problem that there is an abuse of Norwegian travel documents, which are not only used to return to their country of origin. There is also a high loss rate in some groups. We regularly confiscate these documents with the wrong identity abroad, i.e. they are used as travel documents for other people to enter the country. Therefore, there is no reason to say that this is not a question that needs to be considered more strongly how we regulate, how we practice, and how we implement any changes in this area. In my opinion, it is relatively in terms of access to respond to the abuse of the asylum institute and the misuse of Norwegian travel documents with the legislation we have. It is that you can interpret and carry out virtually all the reactions as long as there is an assessment of the individual cases, if people have returned. It is also true that the legislation has been used to deprive people of the ex-post status of asylum, and the legislation has been used at times to restrict travel to more countries than the home country, i.e. that travel restrictions to neighbouring countries have also been imposed for individual periods. What can be said about the legislation is enough that it is relatively far, but that it should perhaps also be more specific and concrete in some areas by saying that in certain situations it must therefore be a general rule that there is a greater degree of restrictions on travel documents. In the revised national budget, we have reported back to the Storting that we will implement it, and we will not least assess situations and regulate legislation more strongly when it is discovered that there is a high level of abuse in some areas, or a high frequency of return journeys, so that it automatically implies defining for the future a further area as a restriction for repatriation. Per. Today, there are two areas where this has been a major problem, and these are the two areas where we have had major influxes of refugees and asylum seekers from Somalia and Iraq. For the two areas in common it has been that they have not had a national authority which has had border control and that therefore the actual entry is not checked at the border. But it can be controlled by travelling to neighbouring countries. In such situations, it is important to be more clearly stated in the legislation that restrictions on travel documents apply to a wider circle/country, because it is simply impossible to control the individual country only when there are no authorities that will carry out border stamping or have a check. It is one of my intentions to implement, possibly also regulatoryly stronger, as today's management of the foreign administration has to be done through regulatory fastening, so that you can also have some routines and guidelines to follow. We also consider stronger responses to the misuse of travel documents, particularly related to the renewal of the documents. It is, of course, difficult, because it will also be seen as unreasonable for people who have clearly just lost or been stolen from their documents. But we know from some areas that there is a relatively large trade in Norwegian travel documents like travel papers around the country. We're looking there for the good, but also fair regulatory mechanisms to do something about it. In this area, as in all other areas, we must also adhere to the international conventions we are bound by in relation to protection and human rights. This means that if an asylum seeker has left the country, and we have closed the case by considering it to be drawn, the problem will arise next time you cross the border and seek asylum. Then you have a Conventional right to have your case reopened. Of course, the previous treatment will weigh heavily, and it is quite possible that you can treat it quickly. However, it is also necessary to assess the content of the case, and asylum seekers must have a very clear explanation of why they have left the country, where they have been during that period, in order to make it clear that they are not doing what is the main reason why we are restrictive, namely that they actually demonstrate by their own behaviour that there is no need for protection. But we cannot exclude that people are allowed to promote their application. I have to admit that I sometimes think that is a problem. We've talked about television experiences several times. For me, there is still an almost 11⁄2 year old picture on the Internet, a picture of a person from Estonia who had been sent out for the fifth time with a police card and who showed a V-sign and said ‘I’ll be back’. As an asylum seeker, there is a person on whom, of course, we simply have to establish a case, even if the case is quickly rejected and the person is sent out again. That's one of the problems we per. Today, but we do not have the opportunity to reject and not deal with the matter, even if that type of case is dealt with very quickly. There are rights in international conventions, and we must also give the asylum seekers who are coming the opportunity to explain themselves if they have been out of the country, about why they have actually been out of the country.
ParlaMint-NO_2003-06-04.ana.ud1647e776	The President perceived it as Per Sandberg asked for the floor to reply. Replica is not available in this case, but the three-minute inserts are possible. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-04.ana.ud1647e781	I'm sorry I misunderstood. Then I get a little more time available. My challenge to the Council of State is to elaborate a little bit more on the use of conventions. Still away, the Progress Party meets the argument that we have some international agreements and conventions to deal with, and that's why we're kind of locked up in a corner. Then is my challenge to the Council of State: Why is it that Norway, which has ratified such conventions and agreements, is locked, while our neighbouring country is free through its foreign legislation to make such changes as the Progress Party does? I think that is an interesting issue, because it has been the argument against the amendment of the Progress Party for many years now. So I could imagine a clarification of that. Our top legal expertise has also concluded that, in relation to the principle of sovereignty, there are no international agreements or conventions that can prevent Norway from making provisions of the Foreign Affairs Act. Why, then, is it that in government or magnificence we cannot do it as our supreme legal expertise states that we can do? Why is it that the Progress Party, which is promoting these proposals, is constantly criticised by the Council of State for having a different agenda? When we make suggestions – which we do regardless of whether we have 4 pst. on polls, or if we have 30 pst. in the polls – is the only rhetorical answer the Council of State has, that every time the Progress Party experiences 11⁄2 pst. We are bringing forward immigration policy, despite the fact that the Council of State knows that this is a priority area for us. The United Kingdom has introduced similar changes. Denmark does, and perhaps in the long term this will become rules that the EU adopts. Then I have a new challenge to the Council of State. It is true that it is revised that the Council of State and the Government promise that they will do something about it. In 2000, we were fully aware of the situation. In 1998, we were fully aware of the situation. But in 2000, the Stoltenberg government took some action. Why is it not that we, in general and in government, can make decisions in contexts where we see the problems? Why are we going to have bureaucrats working for four to five years to make changes that we can actually do immediately, when the Council of State in revision says you are so fully aware of the problem? There are several aspects of the investigation of the problem. Then why can't we make the changes?
ParlaMint-NO_2003-06-04.ana.ud1647e792	I believe that this is not a matter of proposals from the Progress Party or of possible developments in opinion polls by the Progress Party. I just notice that sometimes Per Sandberg goes very high on the track in these cases and claims that we are not doing anything in matters that we are actually doing anything about. What we have done in the revised national budget is to report back on the decision taken by the Stortinget in previous years, asking for a review of the case and what we in the Government have done about it. There we've listed what we're going to do. I mentioned some of it in my post. We now have a review of UDI's and UNE's practices in issuing travel documents and practices in relation to making geographical restrictions on travel documents. So this has led to the possibility that we now need to get a regulation that specifies more clearly when we need to make further restrictions on travel documents to make sure that, within what you have permission to do, you actually use the home with clearer control. That's also the answer to why you can't make decisions in this room and then expect it to stand. Because once it has been decided that the foreign area is governed by laws and regulations, it must be governed by law. Today, either legislative proposals are being promoted in Norway to make governance changes in the foreign area, or we need to use the piece of legislation that allows us to write regulations. And unfortunately, it takes time to make regulations. It is such that, according to investigation instructions, consultation is required. It shall be reviewed and it shall take an average of nine months to establish a regulation to make changes. I have notified that I am coming back to Stortinget with a review of the management relationship in the foreign area, because I believe this is an area of so much discretion that this form of management no longer works. Not that we're going to go back to the old system, with appeals to the ministry on individual matters, but we need to have a greater degree of opportunity to define and interpret law, in line with the understanding of the laws Stortinget wanted, without going through a longer regulatory round. So I actually agree with Per Sandberg that sometimes, like in this area, it seems to be a heavy instrument to use when it comes to being able to interpret the law and give a real and simple instruction to the Foreign Affairs Directorate on how to practice in this area. So the question of conventions. We can formally break international conventions, but then we break international conventions. We can make laws that violate international conventions or interpret them in other ways, and then maybe the interpretation of what prevails in the judiciary will eventually end up in the Norwegian Supreme Court. So let's move it over there. I am not going to go along with the fact that these rules have not been implemented in Denmark or England, that asylum seekers are automatically rejected because they have been at home in their country.
