ParlaMint-NO_2003-11-27-2.ana.ud2061e30	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-11-27-2.ana.ud2061e370	: The two main elements of the Directive are the obligation to provide information before and/or in connection with the conclusion of distance contracts and the right of withdrawal. The amendments concern rules on requirements for information to be provided to the consumer before the contract is concluded, requirements for information and contractual terms to be provided to the consumer in writing, and the introduction of a right to withdraw from the contract. The background to the Directive is that developments in the financial field have been rapid and comprehensive in recent years. New products are still being developed, while people are increasingly making agreements on financial services per year. telephone or via the Internet. The term ‘financial services’ embraces and covers, inter alia: insurance and individual pension schemes, traditional banking services such as holding accounts, payment card and payment service contracts, as well as investment services, such as contracts relating to the purchase of fund parts and shares. The Government, in its proposal for the Storting, has underlined that the definition of financial services is not exhaustive, and is based on a dynamic understanding of the concept, so that it will capture new products that are being developed. The Committee has taken the view that the concept of financial services is an area which is constantly evolving and that, therefore, the Ministry should not draw up a legislative text delimiting the scope of new or existing services that should be governed by law, but leave it to practice. In the examination of the case, the Committee has also argued that the amendment should in no case weaken consumers’ rights in relation to current legislation. Furthermore, the majority of the Committee, with the exception of the members of the Right and Christian People's Party, considers that distance marketing of financial advice should be part of the legislative proposal. The majority refers to the Consumer Council note of 6 May 2003 to the Ministry of Children and Family, where it states that: «financial advice is an area where the need for protection and information from service providers is high»; [[...]] and that «The Consumer Council is of the opinion that this should fall within the scope of the Act». [[...]] Furthermore, the Committee has asked the Ministry, through the examination, to consider the new provisions introduced by the Law on the Right of Withdrawal, which, as a general rule, do not concern the distance selling of financial services. The Right of Withdrawal Act is complex and difficult to understand for consumers and traders. The Committee is therefore of the opinion that the Ministry of Implementation and Coordination should also consider different options, including a separate single law on distance selling, including financial services. Finally, I would like to point out that the members of the Committee of the Socialist Left and the Central Party point out that Norwegian law is directly applicable. currently does not comply with Article 8 of the Directive. We point out that the Financial Contracts Act provides for an excess of NOK 800 in cases where the consumer is not charged for short-term abuse, and we have therefore asked the Government to come back to the Grand Duchy with legislative proposals that take greater account of the interests of consumers, based on the content of the harmonisation of the Directive in this area. We also point to the fact that, by gross negligence, the requirement of the Financial Contracts Act for a proportion of NOK 8 000 can hardly be maintained by the implementation of this Directive. We are therefore asking the Government to come back to the Grand Duchy on this point, too, with legislative amendments that take greater account of the interests of consumers, based on the harmonisation of the directive in this area. I would like to address the proposals of the Socialist Left Party and the Central Party included in the vote.
ParlaMint-NO_2003-11-27-2.ana.ud2061e402	The representative Magnar Lund Bergo has taken up the suggestions he referred to. Several have not asked for the floor on case No. 5 [[Fotation, see page 754]]
ParlaMint-NO_2003-11-27-2.ana.ud2061e417	We're going to vote on today's map.
ParlaMint-NO_2003-11-27-2.ana.ud2061e435	The President notes that the Right Party, the Christian People's Party and the Left have announced that they will also support II.
ParlaMint-NO_2003-11-27-2.ana.ud2061e452	The President assumes that the Labour Party, the Socialist Left Party and the Central Party will vote against.
ParlaMint-NO_2003-11-27-2.ana.ud2061e497	In the course of the debate, 11 proposals have been put forward: the proposals No 1-10, by Arne Sortevik, on behalf of the Group of the European People's Party, on proposal No. 11, from Rolf Reikvam on behalf of the Socialist Left Party First of all, there is a vote on proposal No. 11, from the Socialist Left Party. The proposal reads as follows: ‘The Government asks the Government to draw up an indicative standard for the use of resources for each school. The norm must be based on a basic allocation and various variables such as school size, the number of pupils per school. age step, number of lessons, etc.»
ParlaMint-NO_2003-11-27-2.ana.ud2061e521	I voted wrong.
ParlaMint-NO_2003-11-27-2.ana.ud2061e528	Then the votes shall be 79 against and 14 for the proposal of the Socialist Left. The proposal is therefore not accepted. The proposals are then put to the vote. 1-10, from the Progress Party. Proposal No. 1 sounds: ‘The Government asks the Government to file a case for the introduction of a single-cost financing in primary and secondary education. The unit price shall be adjusted according to the size of the school and differentiated according to the individual needs of the pupils for adapted training and a basic amount per. the school shall also be assessed in such a manner.’;» Proposal No. 2 sounds: ‘The Government asks the Government to refer to the transfer of responsibility for school kissing for primary school students from the counties to the municipalities as soon as possible.’ Proposal No. 3 sounds: ‘The government asks the Government to make proposals for legislative and regulatory changes that will enable each school and individual school owner to organise the school's own operations and content within common national guidelines. A system of self-government in all schools shall be addressed.’;» Proposal No. 4 sounds: ‘The Government asks the Government to present its own case for increased parental influence in primary and secondary schools with necessary legislative proposals. The matter shall concern parental supervision in accordance with the Danish model adapted to other supervisory authorities as well as a system of parental representatives in the school’s operational boards.’;» Proposal No. 5 sounds: ‘The Government asks the Government to make the necessary proposals so that mandatory training in written lateral targets is deleted and verbal cross-target education is continued as an integral but minor part of Norwegian education.’; Proposal No. 6 sounds: ‘The Government requests notification of resource use and results for the use of resources for training in Sami and Finnish as well as training in mother tongues and bilingual education for students with a migrant background.’ Proposal No. 7 sounds: ‘The Government asks the Government to make the necessary changes to ensure that the national body for quality in education is responsible for the recognition and supervision of the entire education sector from primary to secondary education and to ensure that national guidelines for quality development work are drawn up in all educational institutions.’ [[NOCUTE]] Proposal No. 8 sounds: «The decision asks the Government in the announced announcement of a decision on the basis of the decision of the Quality Committee to deepen and clarify the terms of the Training Act in Section 8-2 «pedagogically and safely».» Proposal No. 9 sounds: ‘The Government asks the Government to submit a new notification of teacher training based on the extension to five years of compulsory education during the first three years of compulsory education as a qualification for 1-4th class education in primary school and where the system of pre-school education as a possible basis for 1-4th class education in primary school is terminated.’ Proposal No. 10 sounds: ‘The government asks the Government to facilitate a change in primary education from 10 to 9 years of age and to make the necessary proposals. The size assumes that current resources to primary school are maintained at transition from 10 to 9 years.»
ParlaMint-NO_2003-11-27-2.ana.ud2061e599	Right, Christian People's Party and Left have announced that they want to vote against.
ParlaMint-NO_2003-11-27-2.ana.ud2061e630	During the debate, 19 proposals have been put forward. It's: proposal No 1, by Eirin Fallet on behalf of the Workers' Party, the Socialist Left Party and the Central Party, proposal No. 2, by Karin S. Woldseth, on behalf of the Progressive Party, the Socialist Left Party and the Central Party, on the proposals No. 3 and 4, by Eirin Fallet, on behalf of the Labour Party and the Socialist Left, 5 and 6, by Eirin Fallet, on behalf of the Labour Party and the Centre Party, proposal No. 7, by Karin S. Woldseth, on behalf of the Progressive Party and the Socialist Left, on the proposals No. 8 and 9, by May Hansen on behalf of the Socialist Left Party and the Central Party, proposal No. 10, by Karin S. Woldseth, on behalf of the Group of the European People's Party, on the proposals No. 11-19, from May Hansen on behalf of the Socialist Left Party Proposals Nos. 11-19, from the Socialist Left Party, is addressed to voting. Proposal No. 11 sounds: ‘The Government asks the Government to come back with proposals to amend the marriage law in line with Swedish marriage law.’ Proposal No. 12 sounds: ‘The Government asks the Government to submit proposals to the Grand Government for amendments to Chapter 2 of the Children’s Act, which provides for equal treatment between children born with cohabiting parents of different sexes and the same sex. Proposal No. 13 sounds: ‘The decision asks the Government to make proposals for legislative changes that legally equate marriage and partnership.’ Proposal No. 14 sounds: ‘The Government asks the Government to ensure that the adoption aid is equivalent to the basic amount of 1G of the Social Security Fund.’; Proposal No. 15 sounds: ‘The Government asked for a possible change in the rules of the Law on Migration for the Government to meet the needs of parents with shared care and return to the Storting in an appropriate form.’ Proposal No. 16 sounds: ‘The Government requests the automatic provision of child protection to both parties in the event of a shared residence.’; Proposal No. 17 sounds: ‘The Government asks the Government to amend the necessary rules so that tax class II applies to both parties with shared care.’ Proposal No. 18 sounds: ‘The Government requests the extension of father’s maternity leave from 4 to 8 weeks.’ Proposal No. 19 reads: ‘The Government asks the Government to assess the experience with the Icelandic model of maternity leave and to assess whether it is to be introduced into Norway.’
ParlaMint-NO_2003-11-27-2.ana.ud2061e717	There is a vote on proposal No. 10, from the Progress Party. The proposal reads as follows: ‘The decision asks the Government to bring an automatic joint custody case.’
ParlaMint-NO_2003-11-27-2.ana.ud2061e732	The proposals are then put to the vote. 8 and 9, from the Socialist Left Party and the Center Party. Proposal No. 8 sounds: ‘The government asks the Government to enable both parents to be assessed for housing support for families with poor finances.’ Proposal No. 9 sounds: ‘The Government asks the Government to facilitate arrangements for parents who so wish to enter into consensual agreements prior to any breach and to have the agreement approved by the State.’
ParlaMint-NO_2003-11-27-2.ana.ud2061e754	There is a vote on proposal No. 7, from the Progress Party and the Socialist Left Party. The proposal reads as follows: ‘The decision asks the Government to investigate and come back with proposals for a change to the Children’s Act so that non-resident, married or cohabited parents are treated equally in child distribution cases.’
ParlaMint-NO_2003-11-27-2.ana.ud2061e769	There is a vote on proposal No. 5, from the Workers' Party and the Center Party. The proposal reads as follows: ‘The government asks the Government to come back with proposals for amendments to the Act on Children and Parents to ensure that children in whom biological father is unknown and who are born with dependants in partnership have the same legal rights as children who are born with dependants in marriage or cohabitation.’ Here, the Socialist Left Party and the Left have announced support.
ParlaMint-NO_2003-11-27-2.ana.ud2061e786	It is then put to the vote on proposal No. 6 from the Workers' Party and the Center Party. The proposal reads as follows: ‘The decision asks the Government to draw up a contingency plan aimed at increasing the adoption aid to 1G.’ Here the Socialist Left has warned that they support the proposal subsidiaryly.
ParlaMint-NO_2003-11-27-2.ana.ud2061e803	The proposals are then put to the vote. 3 and 4 from the Labour Party and the Socialist Left Party. Proposal No. 3 sounds: ‘The decision asks the Government to come back with a proposal to amend the marriage law so that when spouses agree to divorce and where none of the parties support children, no separation period shall apply.’ Proposal No. 4 sounds: ‘The Government asks the Government to examine the possibilities for parents to make an agreement and to clarify their relationship with each other and with the child in relation to association and residence before the breakup is completed.’
ParlaMint-NO_2003-11-27-2.ana.ud2061e825	There is a vote on proposal No. 2. from the Party of Advancement, the Socialist Left Party and the Central Party. The proposal reads as follows: ‘The Government is asking the Government to automatically adjust the price of children’s allowances annually in each budget proposal.’
ParlaMint-NO_2003-11-27-2.ana.ud2061e840	There is a vote on proposal No. 1, from the Workers' Party, the Socialist Left Party and the Center Party. The proposal reads as follows: ‘The government is asking for the government to follow the development of reported re-use of the cash support among weak groups’.»
ParlaMint-NO_2003-11-27-2.ana.ud2061e905	During the debate, Mr Lund Bergo has put forward two proposals on behalf of the Socialist Left and the Central Party, and these proposals will be voted on first. Proposal No. 1 sounds: ‘The Government asks the Government to promote legislative amendments concerning the provisions of the Financial Contracts Act relating to a proportion of NOK 800 in cases where the card user is not liable for card abuse. The legislative proposal must take greater account of the interests of consumers, based on the content of the harmonisation of the Directive in this field.» Proposal No. 2 sounds: ‘The Government asks the Government to come back to the Stortinget with legislative amendments that are more in the interests of consumers, based on harmonisation of the Directive in this area, in respect of the requirement of the Financial Contracts Act for a proportion of NOK 8000 in case of gross negligence.’;»
ParlaMint-NO_2003-11-27-2.ana.ud2061e945	There is no record of this being distributed to the representatives, but the President will deal with a matter under this point. It is a Roman number in setting S. No. 2 from the Rules of Procedure Committee on the distribution of the budget was sent to the wrong committee. [[2003-2004]] The decision was adopted at the Stortings meeting on 16 October 2003. The President will therefore propose a record case: St. prp. [[87]] No 1 Ministry of Justice and Police [[2003-2004]] VII. Disposal of civil protection facilities – redeployed and sent to the Defence Committee, Framework 8. – It shall be deemed to have been adopted.
