ParlaMint-IS_2021-12-27-17.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2021-12-27-17.u32	A respectable president. I measure here for the adjustment of my proposal to make two points, one to increase the proportion of the bank tax back to what it was two years ago, and the other, that all work will be extended for the next year. I'm going, with President's permission, to recommend here for the proposal for a change in the law of a special tax on a financial firm that would include the restoration of bank tax to what he was for his fall in 2020. With this change, the bank tax would increase from 0.15% to 0.36%, which is what it was for last year's change. I'd like to draw attention to the low percentages involved. We're talking about numbers that don't even get half a percent. The bank tax is now less than 0.2% and will not even reach 0.4%, this proposal will succeed. Can a person who has a lot seriously complain about a tax increase that doesn't reach even half a percent? There are various reasons to suggest that bank tax returns but few recommend that this 61% reduction be allowed, and in fact should increase it much more than is suggested here. One of the main reasons for the growth of bank tax is that banks will limit the cost to society and to consumers in the form of higher interest. They are colored with physical activity and fear, and they do not keep water at a closer examination. First, the fact that the decrease in bank taxes has had no effect on the growth of banks. Their growth rate began in May 2019, long before the bank tax was dropped. It was because of the growth of the Federal Bank and the biographies that the banks began, but reluctantly, to reduce their growth. In this context, it should be noted that in spite of biographies and the increase in the Federal Bank, as well as a 61% decrease in bank tax, their growth rate has not been consistent or proportionate to the decline in the Marine Bank. The reduction in the bank tax has, therefore, resulted in only a smaller amount of money in the state budget of about 6 billion because of this decrease. That must remember less. Despite lower banks, the interest rates back then have been up to 250 percent higher than they should have been, they would have decreased in proportion to the direction of the Secret Bank. This reduction still belongs to the banks, which is good to keep in mind the growing levels they are currently in. Second, it is true that in recent years the banks have yielded a high value. In years of leanness, I wasn't satisfied. On the contrary, after years of fat and well - oiled living, they enjoyed prosperity in the middle of a global epidemic and a global crisis. So they are not on the flow harvest, and they should be able to contribute more to the community than they do without much remembering. This profit, too, is not the result of the tremendous intelligence of financial bankers. Some of the situations that prove that they are the most minor failures are quite numerous, but they have quite extraordinary access to the homes and businesses of the country, as well as to what one government after another has broken down and turned to them in perfect efficiency and observation organizations. It's time for that to change. It is time for us here at the General Assembly, who have been elected for the people of the country to protect their interests, to put the interests of the people ahead of the interests of the banks. The bank tax will have no effect on growth increase or decrease. The banks will grow, no matter what, when they see the least reason for it. Not because of a higher bank tax, but simply because they know they're gonna get away with it and no one's ever asked them to show some small social responsibility. Why not start doing that? Shouldn't we as members of the council, so I don't talk about Iceland's government, ask the bank to show community responsibility in difficult times? Is it not true that when the government is so active with its banks that it repairs laws or bank taxes in this case that the way the banks behave and act, instead of asking them to improve their behavior? Is their irresponsibility really so self - righteous that instead of asking bankers to show community responsibility in action toward the people of the country, rather than milk it? Let us consider some facts: Since collapse the banks have made at least a profit. 960 billion. Apparently, their profits will reach over 1,000 billion by the year or early by the next year. For 900 billion, e.g. For example, a hospital with high - tech technology could be built. Since the bank's receiving new social security numbers, each individual in 360,000 has dropped 2.5 million dollars. At the profit of banks. Arion bank alone paid its shareholders 88 billion to profit this year. At the rate of 360,000 Icelanders, it is more than 244,000. every man-child. Can it really be said that they cannot handle a bank tax of 0.3376%? What is the community responsibility of a bank? Of course, banks are supposed to have social responsibility, but they do not show it in any way and they just get away with it, because no one seems afraid to interfere with it in any way. Homes in the country pay nearly 37% of their income on direct taxes and on top of them are then added indirect taxes, e.g. In the form of a worthwhile tax tax, and they cannot contribute to the cost of paying taxes. But companies that profit tens of millions of dollars at the top of each year, and who have paid their investors tens of billions of dollars for interest only this year, are not going to be able to pay taxes worth less than 17% of their anticipated annual profits without taking it out on their customers. I can't believe that the less experienced person would fall for such nonsense. The bank tax should rightly be much higher than it is recommended, because there, exactly there, are companies that are able to do more than that. Their prosperity is from the people of the land, and shall return to them. It is remarkable that the banks and the financial system show that we really need to discuss whether the banks should pay bank taxes at 0.145% or 0.36% and that we hide behind the fear of their response and actions, we will not be doing their will at all. We need to step out of our effectiveness at the banks, and the General must take the lead in this. To raise the bank tax to what it used to be would be a good first step in that direction. Businesses with tens of millions of dollars each year are to be like others, and in fact, rather than others, to contribute to society. Also, monitoring is to keep track of the costs not to be laid on the companies or homes of the country, either in terms of interest or at any other expense. - Let's cut the capitalism off. Then, everybody wins: The campaign all work was one of the government's Covid operations and was intended to stimulate the economy by promoting increased activity. The procedure includes 100% reimbursement of the value tax of the activity it covers. The decision was to be established in 2021, but the greater part now suggests that it will be extended to the end of August of the next year for housing and until the end of June for vacation homes and other activities, but will fall down at the end of the year due to car repairs. But I would suggest that all the work be determined throughout the next year for all this work; for the gain thereof is great. In this case it is always best to extend some of these resources instead of extend them in part, to reduce the implementation of the project considerably, especially when changing the rules of the worthy taxation divorce in the middle of the year. The campaign all worked in 2009 in 2009,2015, had a positive effect on tax divorces in the article, thus making the wealth of state under the direction of the Industrial Association. When it was canceled, an increased tax charge in the construction industry began to be applied. Regarding the campaign, the president's memo for the Society's Association of Industrial Affairs says: However, the campaign all work in 2009,2015, had a positive effect on tax divorce in the article and thereby on the income of the state's funds. In this context, Skúli Eggert Þórðarson, a former government tax manager, pointed out that by not giving up his job, the buyer would avoid paying 40% of the valuable tax. At that time, the seller of the job can avoid giving up the sale for income tax. But in 100% reimbursement, there is no profit for buyer not to give up a merit tax. This means that the income tax should be increased when the reimbursement is 100%. At the beginning of 2015, the remuneration of cost-employment tax due to industrial work dropped 100% to 60%, by which time the entire work effort had taken since 2009. A year later, i.e. 2016, increased tax collection in the construction industry, where reimbursement applications dropped by a total of 60% at the same time as construction activities increased. During a discussion about tax control and tax research conducted at the General Assembly of February 1, 2016, Secretary Bjarni Benediktsson, stated that the consequences of the demolition of the campaign were negative and did not seem to have been well tested. Similar effects can be expected today. The majority of the Economic and Business Committees suggest that the campaign be partly extended. As early as January 1, this releases annuity for auto repairs, car rights, automobiles, otherwise extended to August 31 as the refund drops to 60% at the end of the year. The people feel that all the efforts have been successful and that it is now needed to make good use of their efforts to overcome unemployment and reduce tax practices. It is always best to extend such measures in all respects instead of extend them in part. And this morning, there was a call for the council from the company of Taliban to extend all jobs. Clearly, in the next year, inflation will become considerable, so many families will be forced to cut their sails and reduce expenses. Thus, many projects, often necessary, are likely to fall apart. Thus, the contracture of industrial workers on maintenance can be expected to not be done. This year's reimbursement would be a source of encouragement to homes that would even be felt, as well as to prevent people from being tempted to buy black jobs to save themselves expenses. All future jobs will benefit both traders and individuals in a time that is predictable for many to suffer. So it is necessary to ensure that the measures taken will be successful for the year as we grow out of the crisis. That's how everyone will work, as always laid out.
ParlaMint-IS_2021-12-27-17.u33	Madam President. I want here at 2nd. comes on a few things. On the other hand, I want to criticize, and I want to introduce something that I think would be wise to do. A financial and business committee takes the time to look, especially between 2 and 3. I'm going to start with what's going on with the indepths for linking cars. As we have seen in the discussion, they are expected to fall, as expected, to agree with comparable laws a year ago, on the basis of their annual events, and on the other hand, when 15,000 cars have been reached. Thus, the goal is to speed up the trend that the country's home goes to 100% of electricity cars rather than to take advantage of link cars. In this context, it seems that during recent years a dramatic change has been made in motor vehicles. We are now in what is known as a third-generation contact car, with a common target of about 50,490 miles [80,990 km] on a driving charge. It actually means that most of the daily uses of automobiles are electric for those who want and can, but longer tours are possible on either the fuel or the diesel parts of the machine. That governments will try to speed this development up by this operation will have the negative effect that it is likely that motors will fall out of the equation. In addition to the obvious effect of using electricity to keep driving cars, for example, access trucks have the positive effect of using electrical vehicles, hopefully the next or the next step for each family. So people get used to getting in touch with the car, and it's going to be more supportive, more rapid building of loading stations, and so forth, along the streets of an apartment and a house. But I'm afraid that if we push only 100% electric cars in, it will slow them down. I'd like to refer to some of the data I received from a Grouping Agency in the Village Mass. At that time, 10,315 electrical cars were registered around the country. Most recently, they are all around the capital. Thus, in all the northwest districts, all northeastern and Southern districts, with the exception of the Rhine Peninsula, there are 17.7% of these automobiles. 82.3% are in Reykjavík, the collar, and the Smokebone. I just want to point it out. Congress officials believe that there is a reason for this. It is that the infrastructure is not the same in many parts of the country. For safety, people want to have a link car so that they are secure energy in a car from a fuel or diesel part of a machine, or a fuel or diesel machine. There is something that will not be solved in the days set aside until the end of the year. I think we should just accept a new proposal, which may be between 2 and 3. Environment, extending the project to one year in addition to the current project. It's less than the autochemist has suggested that it is the time that is actually necessary for technology development and system to be ready to take on an increase of 100% electrical vehicles. I think it's also the time that special areas of the country need to make sure the infrastructure is in place to the degree necessary to make this practical. We must not assume in this way that these elements are removed from the solution that is used preferably in most of the country, not by the largest part, but by most of the country. There is some reason why there are only 17.7% of these automobiles, 100% of these cars, reported from Acdéri all over the Westland, Western, Northernland, Eastland, Southland, and all the way to Selefos - I recall that it was the standard, that Selephos and the Western Islands were within the southern count - 17.7%. This is because 100% of the electricity solution is not yet sufficiently secure. In my mind, we're going to put taxation on the import of these vehicles in such a way that the country's settlements result in yet another blow to the total traffic charge, and now is enough. But just for shock, 82.3% of electric cars, like the situation in the village, are in Reykjavík, Kragan, and on the Smokebones Peninsula. I don't think this particular point came up with any opinion within the Committee. I'd like to direct it to the Chairman of Who. The Economic and Business Committee, if any. The director hears me, examines this point specifically because it matters. It is stated in the opinion of a greater part of the Economic and Business Committee, by permission of Presidents, that it is important to focus on energy exchange to increase the growth of clean energy cars and build-in structures due to them to ◯. Let's do it, then let's just do it. We are not doing that with the order change that lies here, not at all. So here, by permission of the President, at the Committee to Refect Agents, more part of the Economic and Business Committee: In addition, the greater part points out that the current pricing system has been authorized by the EFTA (ESA), changes to the provision required for further consultation with the Agency. Then you'll just have that cooperation. This can't be a real problem. There is a lot of government services that can handle this assignment. There can be no problem with extending such a reasonable procedure, a wise approach, the need to talk to one of the kontorits of the EFTA clinic. It's just gonna have to. This is what I'd like to say about linking cars and injuring them at this point. Next time, I'd like to go to Project Everybody's Work. There is no doubt about it, when reviews are considered, if we specifically look at the comments of the Industrial Association, which are the organizations that best recognize the position of the market in the projects that are involuntary to the task everyone works, except for all the homes and rural communities of the country, in accordance with the rules as they are now, that there is some ringy and confusion in this. There are three dates within the year, where parts of the pack fall down in part or in all respects. The reason is probably that it should provide people and businesses with the opportunity to respond. It's just that more and less decisions in the humanitarian sector take a long time. Municipal societies do not shake out smaller projects just so that they run out of date. The Economic and Business Committee will come to mind, such as Here on September 1, 2022, August 31, 2022, January 1, 2022. It is only a matter of January 1. There is little activity in the working days until that part falls out of force. Of course, this should be extended only in the year, in the year 2022, in view of the value of extra taxes and the currency of the entire human working sector, as is simply said to be the plan of the highest level. Secretary of finance, as the above mentioned in the Committee, though I cannot quickly find it. It shows that there are special plans to reevaluate the valuable tax system in connection with monuments in the year 2022. Wouldn't it be wise to finish it? I think it would be far wiser than being here with a bill that has three window days in terms of some coincidence or all incarceration within the year. All of this is completely confusing and completely unnecessary. I haven't seen a changed agent as an agent. paritaprevir A group of people mentioned in their talk just before about extending these coincidences in 2022, but if they are as I heard them to be declared, the Central Party will support these changes in the representative of the people on the Economic and Business Committee. Next, I'd like to go to a set of things that are about to go to a vacation market for those who are paid for pensions. Here's a suggestion that the holiday market leave 1,200,000 bucks. each year up to 2.4 million dollars, so to speak, increases by 100%. That's a good step, but it's too small, or it's going to have to be more. I had a word with the highest. The secretary of finance when the minister recommended this bill and asked if any evaluation was made on the income created by the state funds for these changes, i.e. to contribute to the employment of those who enjoy pensions. The answer came as a surprise to me, but it may not have been, but it had not been evaluated. It is merely an estimate of the figures of expenses, of expenses brought out by government laws on government finance, but public financial laws are reserved for them in this regard to that only one aspect of the money is taken into consideration. It is reserved only for the financial expenses, which are in many respects accountable, but it is not seen in the amount of income that this will bring. It's just that those who go and make money with a job will wear it all under the pillow, there will be no secondary actions or decisions based on increased donations. Of course, it's a complete bullshit, and if there's a problem, it's in that public financial law to calculate this in this way that the law of public finance has to be changed because it's just nonsense. Not taking into account these factors, for the secondary effects, the government fund's receipts for changes like these, distorting the whole picture, and causing us senators to make worse decisions than others. I couldn't hear that this would have been checked to some extent on a financial and business committee, perhaps not at all while the Ministry of finance and the Supreme Court. The minister of finance does not consider this secondary effect to be a reason for consideration. We see this so often during a discussion about bills here at the council. It is not taken into account the secondary effects of legislation, and I restate upon the fact that if it is the case, we look beyond the secondary effects because the law on government finance thus puts matters in our hands, we must change the law or put in a special chapter where these are adrift and dives into them and they are identified outside the framework of public finances, if they are not willing to change that law. A respectable president. This is what I would like to include in this talk. I just want to review at the end that I think we're making a mistake as far as we're trying to defuse the authority of a tax-important vehicle. Wait a minute. The Economic and Business Committee is to review it once between 2 and 3. Um... it would be worth one Mass, even though only for the national palace as it is currently known, with about 100% of electricity cars here on the southwest corner. This is happening, and I want in context of this, too, to mention what's about to be won. The complete collapse of year - to - year reimbursement for car maintenance and work is to occur at the same time as in some strange way, some fear of implementing reasonable procedures that come from Brussels. The situation is so clear that a much higher number of automobiles will remain uncalled for things that have nothing to do with the safety of cars; a much higher proportion of automobiles will remain at the site of observation to date. At the same time, this government thinks it is wise to eliminate this indiscretion. This may have been considered to be a tax standard, the surprising concept of an independent life of financial law based on the law on public financial matters, where the term means anything other than what it is used about today. I want to direct it to what? The Economic and Business Committee, and especially the rest of it, to look into it more readily than is being done in this committee, though you may have responded. paritaprevir The Guðrún Hafsteinsdóttir far better than that of a boy. A senator reviewed much of the committee's opinion. The answers are what we're going to do. The senator showed a far greater understanding of the matter than the committee's opinion. I hope, therefore, that there is one thing I would like to consider, specifically, these three matters I am referring to here and I would like to mention that we representing the Central Party will submit an arrangement where these matters are concerned if there is not any desire to address the views presented here.
ParlaMint-IS_2021-12-27-17.u34	President. As you read the bill, it may be easy to forget the big picture when diving into a single centenarian change, a percentage, and indicator figures, an coverage of the host's fees, an application fee, or a currency share of stress stocks. We may not see the forest for the trees in this room when we oppress the individual network of the bill, exchange of opinions on specific changes, or agree to one percentage over others. In the entire mass of numbers flowing through all wells, we must not forget what this whole thing is all about; people, usually Icelanders, affected directly by these changes. The decisions we make here in the days that we will agree before a year's convention will touch the public and the wallet of people. It is in our power to influence what other people have on their hands. So we are under obligation to accept our work on this bill, just as we do other matters, with the survival of people outside these walls, with great seriousness. However, the public funding debate is more than just a basket of cents and money. You see, we also have a lot of moral questions about which pocket to pick up the same amount of change and money. Do members of the council count justifiably that government agencies need to rely on people's plight in order to finance them? Do we want the institutions to stand and fall by the amount of money they manage to collect in the pockets of sick people? Do members of the Parliament consider this to be a normal arrangement for public affairs? The answer seems to be yes, because this is exactly what we are doing. You see, senators have arranged for the highest education institutions of Iceland to rock knowledge, science and informed discussion in Icelandic society, to survive without financing themselves with the gambling machines. Instead of financing Iceland's High School with a general tax system, which is normally shared by the government's will to lay the burden on what is least under it, people with addictive gambling that will be considered to be the widest banks in Icelandic society. Lotter money delivered to lottery machines owned by Iceland's High School of Happiness is used to finance buildings, maintenance, and equipment shops at the university. This money is so important to the university that the head of Happy University of Iceland believes that the school funding foundation would simply fall off if he didn't have the machines. However, this does not make gambling machines morally justified, as the common people are conscious of. Gallup's survey, conducted in May 2020, shows that 86% of the nation's population wants cards to be permanently closed. Iceland's university is not running a slot box in the shelter of nationalities, it's under the shadow of cash gains. This allows governments to survive despite the same scientific community that benefits from this arrangement, knowing exactly what the consequences of gambling are for those seated on the card box and for their partners. The willingness to resolve this is little or no one. I don't understand how it is morally justified that the U.S. Supreme Education Institute has to rely on the financial resources of a slot machine, but the problem is sadly at the General Assembly. The bottom line is that the university needs funding and is searched through machines. Thus, the responsibility of our senators is great. V.E.G. The local minister of education said, at a meeting of the welfare committee in March last, that his Ministry would not oppose the discovery of other means of funding the university. Therefore, I would like to encourage the world of Congress to do just that, look for other ways. In fact, it could be reimbursed that outside church attendance goes to the university or that it is merely advising the university properly in financial matters. But one thing is certain: When it comes to funding the university, we need to think outside the box.
ParlaMint-IS_2021-12-27-17.u35	A respectable president. I'd like to recite Old Testaments, which will be late too often regarding contributions from the state fund to the activities of the National Church and other religious and biological institutions. It is not overhistorically said that the financial budget in their interest is the least excessive; it runs for billions of dollars. What scares me this time and causes me to come up here to argue about this one more trip is compared to a case that we, sometimes under the nickname Government Control, tried to get a limited success in the discussion of the more part of our budget and financial plans for the next year, which are involved in terms of health insurance spending. A greater proportion of the Economic and Business Committee contributes to the increase of donations due to application costs, although it is claimed, in fact, that there is no rise, but only a raise in the price of the previous law. This is correct in a sense, but it is wrong in the sense that the increase determined on a committee last year was to respond to the complaint of the National Church that it had carried a sharp object from the table with the reference to a law that contributions to parishes should be based on a change in the average tax base of individuals. The majority of this increase is masked as a simple increase in prices. I'm not here to argue about crowns and pennies, although I would like to be impressed by the fact that contributions to these matters are still raised despite the loud criticism and tip of the injustice involved in the arrangement. It is once again falsely claimed that the government funds play a role in some sort of body of remuneration for application fees, i.e. the social fees of a religious and biological partner, of course not that there is a collection of social fees on behalf of the church or other religions, but, above all, the law forbids the particular distribution from a government fund to religion each year. If this is the best case because a government fund is paid for each registered person, 16 years of age and older, regardless of whether the person pays income taxes or not. There is no type of nose tax or collection involved in these donations. This has been pointed many times, but still, nonsense is said. The simplest solution to this point would, of course, be that the church would be in charge of collections of parishes and other religious and biological institutions for its own purposes, but this kind of arrangement would probably not be acceptable to the church, since a person is wondering about the number of registered persons from 16 years of age would happily pay about 20,000 dollars. every year on social expenses, which is about what they would be required to pay on the claim of the National Church. No doubt someone would, but it may be likely that there would be no number of donations that today will form the basis of a trust fund made by the churches and other religions. What I would like to compare today is this amount of money, but according to the annex to the budget now, contributions for the next year to these accounts of about 6 billion. The amount required for the reduction of the section here at Congress in connection with the payment of the State Fund at the psychological cost of the inhabitants of this country was 900 million. If that was the case, the government groups could not agree, but by military force and some toughness, I must say, we managed to dissect that I think about 250 million at the end of the day. So much of it isn't prepared to pay 900 million to enforce their own law on the need for psychological costs to be paid for health insurance, but it's prepared to pay every year the rising rate of religious and biological costs, including ............................................................................................................................... It is natural to think that while the church thinks it is open to all, people will not seek it if they feel that they are not supported on the right grounds there. So there is obvious discrimination. What really hurts me is that this is a matter of disregarding a law approved here at a council that is in effect but instead of accepting contributions on donations that have some place to serve the same purpose, and it can be debated whether they do so or not, with extremely questionable reasoning support and on questionable grounds.
ParlaMint-IS_2021-12-27-17.u36	A respectable president. Hv. 11th. Smoke. As a result, the charges are addressed and amazed that they are actually standing in their place. I'd like to point my tail. A senator is expected to set up the total number of charges since 2009, during the economic collapse, beginning with the decline of interest costs, approaching 20 billion. However, at the same time, during this number of years, more and more people have been directed to the church for any assistance, whether it is financial support, food support, psychological care, or anything else. I felt that the activities of the church were slighted here, for there are few institutions with such a dense network of operations around the country and who take care of all, and then I mean everybody; all can approach our National Church of Iceland, no matter what religions of the people. It's very important that we remind ourselves that Iceland's National Church never asks for religious gain from those who come and accept its services. I am confident that the State can perform as much service as the nations do in the most practical way possible. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2021-12-27-17.u37	A respectable president. I thank the senator for his answer and good points. It was certainly not my intention to minimize the church's work, and I will be late to do so, even though I have a heartfelt disagreement because it stands open to all persons in all respects, whether because of her decision or because of her stand or simply because of the message behind the service given there, regardless of their intentions. I'd like to ask myself, " Is the reason why few institutions or other people render service across the country and the church possibly because they and they don't get billions of dollars each year from financial laws? ' I also wanted to add to the fact that a public service rendered by the State is in the name of religion and this arrangement that we have today requires it, for example. that the state, in its own sense, keeps an eye on the registration of human life, which reminds us of the ways in which we avoid comparing ourselves to where the religion of people is written on IDs.
ParlaMint-IS_2021-12-27-17.u38	A respectable president. I agree with what. 11th. Reykv.. such as that there is freedom of worship in the land and anyone can practice that religion or be a member of the religion he wants to be. And it is important to do so. It was so that the church itself collected its attendance fees. Then they recorded something called nasal tax, and it was passed on to the law. Accounts were fixed in law 1987; charges were passed on as a percentage of income tax collections and collected similar to those sent out and returned to rural society, thereby resulting in church parishes. I'm not going to blow my mouth at what? A senator on what activity is being granted, but I restitute that no one else has such a safety net for the people of the country as well as for the nations. And I would also like to mention that the churches of the land are going to keep to the deeds to which they should live. The Kingdom has appeased an enormous number of churches, and this brings certain responsibilities. But the past few years have been so that these houses cannot be painted or kept warm or kept warm. Yet, they are part of our culture, no matter how it is viewed.
ParlaMint-IS_2021-12-27-17.u39	A respectable president. In this regard, we certainly find many points that require a much longer speech period than two minutes at a time. There are a lot of big questions, including. Whether there is a time error in the country must be as many churches built as you can see. I think it's interesting. I've heard the evidence in the past that the church is having a hard time maintaining its own buildings. Then you wonder if there are no other ways to finance it. This raises questions related to the dozens if not hundreds of billions of dollars that the State has over the years paid for a land originally owned by the church, which is surprising if all these funds fail to paint churches on the land. It is a larger question than that, to feel that it is answered by the amount of money paid through parish pay or other contributions from the State to the church, why this is the case. Perhaps it would be appropriate to evaluate why these funds are so spent. We're talking about 6 billion when the government is not counting on 900,000 to meet its own laws on the subsidies of psychology costs.
ParlaMint-IS_2021-12-27-17.u40	President. Here earlier this morning, you said why. paritaprevir Jóhann Páll Jóhannsson, for the opinion of my share of the Economic and Business Committee, considered several things that I consider a reason to reiterate in this brief talk. It is tempting to make decisions as to how the citizens are willing to respond. The lines of reasoning are usually good, the subjects are frequently good, and the procedure is often part of some kind of support to a narrow group. It is often forgotten, though, that there is a lack of the benefits or benefits of the benefits of the discussion, which, of course, is the view of the public taxpayers in this country. Therefore, there is reason to review the suggestions of the smaller section in this light and to speak with caution, which is usually forgotten when making decisions like these. I'm going to address two factors involved in the implementation of the measures proposed in this minority and two measures proposed to improve the interests of the population of those whose feet are fixed. The two suggestions I would like to mention are one of the less suggestions for completing the effort. According to the Committee's work, the evaluation of the financial and economic services of the procedure was generally seen as support for a work programme that did not experience any job shortage, on the contrary, had more work to play than it was capable, which, of course, is positive and good, but as a result, this operation would be floundering. Here may be an action that is easy to support and a little difficult to resist in view of the fact that the group that benefits from it is around us, industrialists, and those who buy their services, while those who suffer the negative effects that are vague and some future time, are those who suffer setbacks because of thawing in Icelandic society. I mentioned in a talk the other day that there is one professional road in Iceland that is in a lot of trouble. It's the professional way, and it's fine. This variety of employment is very desirable for the Icelandic economy, but it may not be quite enough. However, few other jobs, at least a few jobs in the export sector in Iceland, are more sensitive to economic and thawing and this very article, another. The reason that the smaller part contributed to the loss of this effort, all work, is precisely because it has an uncertainty but potentially substantial negative result. It simply brings up the situation that as representatives of the common people, we need to consider the interests of the many in excess of the interests of the few. The other thing. paritaprevir Jóhann Páll Jóhannsson made a subject of his presentation of the minority opinion as a form of income contributions. There I would especially like to mention hunting expenses. There is no change in them in this fine code of law here before the General, but it should have been mine. International institutions have repeatedly pointed out that the construction of resource costs is an ideal means of making money for countries so fortunate as to have access to resources. This is because if they are intelligent and moderate, they have no negative impact on economic activities, as is true of nearly all other government revenues. In fact, the resource expenditure may be said to include the environmental expenditures of a number of different categories. So it is unfortunate to see that there are no suggestions for improving the system that is so obvious. In this context, the Icelanders no longer have any special value in this payment. Many nations around us have picked it up, including the Greenlands and the Faeroe Islands. In this context, we are now facing one of the best furrows that have seen for a long time. The hairy stock is a share that we share, including With Greenlanders, in fact, the owners of the Greenlandese companies have many Icelandic roots, so these fleets are in the same resource and, to some extent, from the same sources. Surprisingly so much now that if greenish fishing fees were used to calculate Iceland's fishing fees, the Icelandic government's estimate of the fishing costs would be 2 billion dollars, but not 0k. Then I'd like to consider just two provisions that are in the minority opinion. One involves the equation of voluntary income and money from the pension system on the other. The political process is most vulnerable to decision - making when a small group of people with narrow interests pursue their interests because the interests of the many are so weak that they often fail to look after them. Sadly, though, the equal appeal made by most parts seems to be burned. It embraces a very narrow group, while it is evident that the many are in the same condition and in many cases with very limited incomes. The same extent is burned to some extent in the implementation of the income tax system criteria. The reduction in the share is suggested by this criteria to adhere to pay development, since remuneration reflects much more fully the development of social development than the random chosen 1% production increase. Like what? paritaprevir Jóhann Páll went along with his talk, describing 1% of the growth in the production of any ambitions of the Icelandic government on behalf of the Icelandic economy but is also completely unrealistic when historical data are examined. In particular, though, there is reason to support a case. paritaprevir Jóhann Páll's view of pay development as a more reasonable standard. In the end, pay depends on supply and demand, but also on the quality of working force. In fact, in an open European labour market, the quality should be of prime importance. Thus, pay development should reflect quite a bit of evolution. It has to be said as it is that it is surprising that the use of pay development was no longer a guide for the development of the income tax system into the future rather than a random, rather ambitious plan for 1% products.
ParlaMint-IS_2021-12-27-17.u41	A respectable president. It is happy that environmental and climate issues are priorities in the Treaty and that most of us here agree that these are the biggest problems of our time. In this room, most of us agree to follow science when it comes to describing and considering the problem, but when it comes to solving the problem and funding it is like science, and the right figures just don't matter at all. The government's decision to reduce 55% of greenhouse gas emissions would be a cause for joy if Iceland's total emissions were being taken into consideration. This 55% depends on the emissions of direct government responsibilities, which are only about a fifth of Iceland's emissions. A respectable president. It seems odd to me that the government does not introduce people when they announce that we are going to be a global leader in climate matters. With total emissions in view, it is clear that we do not achieve that objective, especially in view of the fact that this bill is only expected for a billion dollars. increase compared to 12 billion dollars. last year. To fulfill that promise, you must continue to follow science and finance projects. One way to finance these measures is to raise the carbon tax, but an increase in the current budget is not expected. In the last term, the tax system has to be made up of green taxes, which was part of the government's operation program, which was canceled without solid reasoning. There is nothing that stands in the way that the government can record it now and I would really like to encourage the committee to take it back up again. Some may ask, " Why do taxes rather than encourage others? ' Yes, for pollution costs society tremendously in the form of environmental threats, ill health, and human life, all very expensive for the health and economy. Thus, those who are contaminated should have to participate in these costs. More than 3,500 major economists in the United States, including 28 Nobel laureates, from all sides of the political world, have signed a conclusion and in Article 1. It says that carbon pollution tax is the most effective way to reduce emissions. This is not to expand the scope or intervention of the State, which is clearly stated there, but to correct this major market failure caused by climate change. The economists also say that this will send a strong message to the market and, therefore, work with the market elements to achieve green innovations in the direction of a non-carbonized future. The bill expects a 2.5% increase in carbon costs, while the index price for consumers has increased by 4% and fuel prices are accompanied by an increase. That's why it's actually a reduction in the carbon bill. This is what I think, a respectable president, is once again strange in view of the big problem. We need to move forward now. When it comes to solving the problem, you need to continue following science and numbers. I would like to suggest that the Economic and Business Committee alters this and that the carbon will be raised considerably more than an increase in the index price and in line with what the World Bank accounts for. Like what? paritaprevir Þórarinsson's fields mention them as being equal in this payment, and I want to thank for his input, and I'm glad that members of the Parliament are considering climate equals. But this is exactly the purpose of a carbon tax, that is to go down to the highest level of pollution, which are the largest in income - priced groups, and go into either payment or climate surgery. There we can look to our neighbors in the North countries, e.g. Norway, which has the NOx Fund and finances climate operations via carbon tax. The fact that people in the country have to drive more and pay more taxes is worth mentioning and thanking, which should just encourage more investments in environmental transport and public transport with carbon tax, which can be added in the country. The World Cash Fund says that it needs to be raised in Iceland two or three times and clearly explains where it goes in order to reach its goal. It is understandable that members of Congress are now criticizing it, but the World Bank has already said that in order for the tax to achieve its objective, it needs to be raised and clearly explained where to go, to achieve transparency and equality. As a whole, it is clear that green investments need to be increased and the scientific judgment of the United Nations Commission is that in climate and green structure, 4% of the land productions are to be put away. However, if the estimated cost of climate in 2020 is compared to the GDP of Iceland of 2019, it is only equivalent to 0.4%. So we're ten times behind. The European Union in its green package is investing 2%, which I think is the least possible for Iceland if we really intend to be a global leader in climate matters. Once again, the figures contradict these remarkable promises. This is a very strange situation, if I may say so, that a year ago it was called out in the East after climate strikes and real climate action, receiving declarations of radical action from the government and then seeing this financial bill. Was it just a form of election, or was it some kind of fun show or green laundry? To achieve these noble goals, I need to follow them in financial terms and hope that in this section there is an agreement to raise the carbon tax, which is the solution that scientists on both sides of the politics can accept and have shown to be a fortress in the North countries. This is a very interesting time that my generation has had to grow up with, two crabs at the same time, but, in my opinion, we've learned the lesson from the trial cases. You must look a little further ahead than just close the next Covid wave, to the end of the next quarter or to the end of the next terms. To offer a stable offer in Icelandic politics and in a financial bill no longer means to find the lowest compatible and slow down. No, we'll miss the interest and tools that are waiting for us. If we just got the nerve to look forward. Sadly, there are many others who need to begin to cope with economic inexorably, ecology degradation, world epidemics, increase in environmental refugees, and economic inequities. Therefore, we need to turn the defence into a climate attack, and we start by ensuring the funding of action.
