Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-Qzm4quCKF7tJJumKy1m8fe	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-219	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-222	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q24701062	Tegnér, Mathias	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-224	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-226	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3375042	Larsson, Hillevi	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-230	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-235	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3375042	Larsson, Hillevi	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-237	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-240	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6191909	Strand, Thomas	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-243	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-246	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6191909	Strand, Thomas	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-248	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
