ParlaMint-IS_2018-12-10-44.u1	The president considers an agreement that may last longer than the Senate today, if necessary.
ParlaMint-IS_2018-12-10-44.u40	Mr. President. Thank you. paritaprevir Andri Thorsson's divinity for bringing up this important subject. It is not by chance, Mr. President, that members of Congress who may consider themselves to be members of the Council of Kopavogs are largely involved in the public talk and discuss this matter in particular because the matter is urgent and has long been discussed in the rural government of Kopavogur and, in fact, at the council. It's kind of amazing that such a project is not too much smart because those who know know know know the 90° turn that is now on the Stepway, which is, in fact, completely uncool that no more accidents have occurred than there have been. I'd love to. A minister and a General would find ways to correct this situation.
ParlaMint-IS_2018-12-10-44.u41	A respectable president. It's hard to make a brief comment in such a big and important matter, but this is what I want to say: I appreciate what a minister came in earlier, of course it's necessary to look outside the box and speed up big and important projects. Then I look especially at the capital area, but I know they're elsewhere. I must, however, take this opportunity and address the project as the highest. A minister mentioned, an experimental project on the growth of public transport, included postponing certain major projects in the capital area. The eagle road was not one of those projects, for it was on schedule. It was never part of the agreement that the road would be postponed. I'll celebrate it again, and I'll be happy to hear it again. The environment and transport committee to deal with this now because we all know that this road is extremely important. At the same time, there is reason to view the agreement made on subsidies on public transportation in the capital area and throughout the country. But remember, public transportation is not a legal task for rural society. In every area around us, it is a common duty to maintain a powerful public transportation by the State and the local community. [[The president calls.]] [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2018-12-10-44.u42	Mr. President. I'll start by thanking you. paritaprevir Thorsson, the son of Thors, for bringing up the matter of this important matter. I think we're going to cry because for decades the capital area has been a kind of elbow child on transportation. The growth in this area has not been fully understood. The population has increased dramatically, the number of cars has increased, the number of apartments has increased. All of this has created a problem that is so great that we fail to see how we have put these things behind us and is yet another example of what we often lack long - term thoughts about our affairs. We hope that this improvement will be done, and we will learn to plan long - term and priorities where the need is most urgent. And there is a greater need here in the capital area.
ParlaMint-IS_2018-12-10-44.u43	A respectable president. The discussion of this important transport process is one of the exposés of the general situation in the country. In many areas, the shoe is affected, and we see that all over the country, here in the capital area and much more, projects that have not been successful because of the conditions that exist, primarily in financing. This is a huge project for the nation, and therefore the Environment and Transport Committee of the Parliament is now trying to break a magazine in the transport discussion so that there will be a real campaign for transport. For a long time, there have been discussions that we need to look beyond the box, develop a methodology that allows us to make more room for something big. I hope there's something going on, a respectable president, that this council now gives it to the Icelandic nation for Christmas that such an effort can begin, that this ball can start to roll with all seriousness. It's in our hands to finish it. [[The president calls.]] This is the key to taking much greater and better steps in the years ahead than we live and have lived in the past few years.
ParlaMint-IS_2018-12-10-44.u44	President. In this discussion, which I appreciate. For a senator, the fact that I believe all of us are fully aware of is crystal. She's probably more familiar than the highest. A minister of transportation who is faced with priorities that all of us can give quite good reasons to put priorities first. There is no easy task. I'm glad that the results of the work force are being drawn to the changing financing towards better transport, both public transportation and others in the capital area, as well as better airways and airports. However, I believe that it is late, that such a great solution would require such a great debate that it is unacceptable, but to postpone it until Christmas if it should be well done. To be honest, I don't need to keep running this case at such speed. I don't even think it's such a political dispute over the matter. [[The president calls.]] We know the need, this is a well - thought - out suggestion. However, it takes time to put them together in one general plan and talk to people about these fundamental changes that they certainly include in Icelandic society.
ParlaMint-IS_2018-12-10-44.u45	V.E.G. President. I felt that there was a voice in a different language. Hv. Councilmen have come up and asked: "Why is this project not in the foreground? She's the most important. That's right. But people in other districts also have this reasoning about their assignments in their territory, and these people are also right. Sure there's a lot of traffic in here. It's changed a lot in a short time. We haven't been able to have that policy here to take part in using public transportation in general, so we're a lot on our own cars. We face a huge task with no political differences. I hope we have the right heart to give it to ourselves and to the people for Christmas that we will continue this important mission and will be able to take steps now. We're gonna step outside the box and deal with this project seriously.
ParlaMint-IS_2018-12-10-44.u46	A respectable president. Thank you very much. A minister for the answers, and I thank the many who spoke about this inquiry and agreed with me on the need for this procedure. Most of the things that happened there, I agree with my mind, but not everything. I might have thought that some things were quite possible. Eaglenes Road is certainly a pretty big project, but I wouldn't even call Eaglees Road a huge project, as I heard it. paritaprevir Jón Gunnarsson talking about earlier. Similarly, I think it is rather said that Eaglenes Road did not arrive on the program because the mayor of Reykjavík specifically objected to this project or that it completely inhibited plans for increased public transportation. I don't think public transportation has anything to do with this. I reiterate my gratitude for this discussion, and I want to finish this by quoting what is stated in the review of Kópavog's town council on transport, which says, by permission of the President: The Eaglenes Ways and the Breewaywayways arrived in another delay and were reassigned to a transport plan or to a period of three, in 2019◯22022. Today, the road is further advanced, and it is delayed until 2024-2028. Kopavogians have shown a great waiting attitude, and in view of their circumstances, they took their last delay in silence. The latest delay, however, is only rudeness to the inhabitants of Kopavog and the capital area. [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u47	A respectable president. I thank a number of members of the council to take an interest in this matter, and I have a clear understanding of it. So it's only about transport in general, wherever they are and what we face, that they are huge. There has been a tremendous increase in traffic, especially in the southwest corner, but also on the Southland road, the Westland Road, and the Rhine Way, in many parts of the country, the infrastructure is not yet built up. People simply don't get around, business companies don't come public, and people don't get to school or work, so the challenge is huge. I also insist that this project has not been delayed beyond any other task. Early policy plans were inexpensive and unrealistic. They were wishes lists that can be pointed out if they wish, but they were never likely to be done. Now we've reached this place. It is also very important that the road design is designed for roads, partnerships between rural communities, that there is an agreement between local communities, not only on the road or on the construction but also on the implementation. This has not been the case. That is why people have searched for other ways. No doubt this would have affected the delay in managing things. There is plenty of other work that everyone agrees on. I think that's part of the explanation. But I would like to agree that this road is extremely important to traffic security, as is the case with other security factors that have been identified. That's why we've been looking for ways, both in the Ministry, and already planned it on a transport plan, as well as now an environmental and transport committee, on how we can speed up projects. This process is one of them, but by the change in payment of the road system, it's overall. There are reasons why I cannot go over where time is running out. [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u48	That's right.
ParlaMint-IS_2018-12-10-44.u49	A respectable president. Thank you very much. Minister of Education and Culture for sitting here for answers to us. I'd like to direct her to a question about the activities of chronic education centers or adult education, as it is often referred to, of course, much more. The number of educational centers around the country is likely 11 different. The presidents of the operation seem very vague. There is a difference between them that is internalized by where they are in the countryside, whether the service site is wide - I am a member of the Westland, Western and Eastern or geographic region, as in the Western Islands and Southnes, and there have been changes in the composition of the work and changes in the composition of clients over the years. A training course that was so common in the past has now disappeared, but we have taken extensive educational assignments that provide various rights. I mention, for example. that the ever-produced centres carry the brunt of Icelandic education for immigrants. Sedation centres vary under the head, e.g. in regard to opportunities to offer training to disabled persons. Because it's important. It seems to be the only way out there. One status centre gets, for example. The amount of money for this factor is three times higher than that of others, and there is no objective explanation or reasoning in the case. Mr. President. The relationship with employment life is an important factor in the activities of existing education centres, seminary and education, ongoing education to corporate workers and institutions. I name general health care professionals, and I mention, because I know a little bit about it, the Super School of Grundartan. There are several factors that raise questions. That's the basics, too. We are in many parts of the country coping with low education levels, where adult education is involved, and it can make a big difference in building into the public school system. So I'm going to ask the highest question. Minister: What plans are there for policy development in adult education and the activities of continuous education centres, and especially in the country? What is the consistent model for the work and the plans to strengthen professionally and effectively manage the work?
ParlaMint-IS_2018-12-10-44.u50	A respectable president. First thing I want to do is thank you. paritaprevir The Guðjón who created the Brjánsson Brennsson to deal with the subject of the ongoing education and adult education. The need for continuing education and re-education is growing more and more because of the technological changes that are taking place in our society through self - efficiency and so forth. And so it is that current issues are changing considerably, including Because of the changes in climate. Society is growing ever more aware of what is happening, and those taking care of these matters in an efficient and upbuilding way will be more competitive in nations. Hv. A senator asked what plans are there for adult education and the activities of a continuous education center, especially in the country. Then I'd like to mention that the Ministry is now preparing a bill for an adult study, and with that work there will be a review of a law on higher education. The law particularly includes adults who have not completed formal high school education and who are not organized on the basis of high school or university law. The concept of adult education covers a much larger group. This broad approach is one of the main reasons why the decision was made to start working on a new total adult study law and, at the same time, to simplify the principle and change the framework so that the law covers a greater length of time. By doing so, we can further strengthen the support that everyone has the strength to live and work and meet today's challenges. I place great emphasis on hearing a voice of interest on this subject. That is why I appointed a group of 20 people to study adults at the beginning of this year, with the order for four years. In order to get the highest width in the group, they were asked for the title of national stakeholders and represented by 40 members of the nominees. The role of the consultation group is to be a professional field for adult studies where individual subjects can be taken into consideration, expressed opinions, presented information, explained viewpoints, and found a number of solutions. The first task of the group was to review the continuation of education laws and to provide suggestions that can be used to review laws on adult studies. A respectable president. What is the consistent model for the work and the plans to strengthen professional and economic development are to say that the ever - increasing education centre throughout the country earns money for multi-changing activities on a variety of means. The contributions made to them by the Ministry are primarily through a fund of education, which divides money according to distribution regulations and terms that the management of the fund proposes and confirms to the secretary's office. It is, in effect, a particular calculus. However, in accordance with legal requirements for continued education and after events of university education at the end of 2018, permanent education centres have agreed with the Ministry. It has been decided to make an appendix with the contracts that will extend their time through the next year. A respectable president. I aim to bring the Ministry's direct contributions to the perpetual education center, as per contract, into a supportive arrangement, as stated by Article 42. Regulation on official financial and regulations No. 642/2018 on the secretary's grants. It stipulates principles for granting support and duty to advertise available grants to private people who are responsible for basic services and social projects, such as provisional education centres. A respectable president. Along with work in the transition to the development of a team model, or a model, which includes an ongoing education system, under official financial legislation, the Ministry works on the development of a team model. you will have rules about how you will be advertised, what requirements will be set and what requirements will be made for candidates. A respectable president. I want to thank you. A senator for putting these matters on the program for the council. They are relevant for the progress of the group and we want to promote the basic skills of most of the Icelandic labour market so that it can be developed.
ParlaMint-IS_2018-12-10-44.u51	A respectable president. I'm just coming up here to discuss this matter and accept its importance. It is important that there is a good place for education and education throughout the country. I want to thank you, too, the highest. Minister for clear and clear answers, I know she's very interested in working on these matters. Educational centres throughout the country are in the service of the job and can enter a work course that is varied in different parts of the country. They have also established a growing education program of enterprises and rural society, which is of enormous importance. That is why it is very important to ensure that the basis for national education is the most important thing.
ParlaMint-IS_2018-12-10-44.u52	V.E.G. President. Thank you. The starter for setting this up. National educational centres are extremely important. They have helped to increase education levels and improve the quality of life for people. They're holding the test. Such tests do not have to take long distances, so clearly it is very positive that they are present. If I know the story correctly, they were set out in the country, and there was a miscommunication, and the state came in to fire them. I wondered: " Was ever going to build up an education center here in the capital area, such as the country? Initially, the thought was different. I remember thinking that it was a different thought in the first place. Yet, this is extremely important, increasing the level of education. They have come to perform a physical exercise evaluation that has been very important in increasing the volunteer service of a professional. This is an important matter, and I trust the Minister will follow through as she has expressed herself about it.
ParlaMint-IS_2018-12-10-44.u53	V.E.G. President. Thank you. Guðjón The Brjánsson of the inquiry, also thanking the highest authority. Minister of staff answers. Yes, the activities of chronic education centres are certainly an important foundation for the maintenance of education in the country. It is crucial that all around the country, wherever people are on education, the public can pursue education. It is also vital that people do not have to go by long distances, and all of us know that there is power and the basis for many well - being. Especially do I find this work important to those who are disabled and other groups who may, as mentioned earlier, immigrants regarding Icelandic education. has difficulty going that long way. Here, the minister mentioned earlier that he was in the process of preparing adult education. I'd like to welcome him, and I'd like to encourage him to have his assessment of the activities of the ever-growing centres, thereby strengthening the professional and functional functioning of the operation. As far as I know, this assessment was last made in 2002.
ParlaMint-IS_2018-12-10-44.u54	Mr. President. Thank you. paritaprevir The Guðjón of Brjánsson for bringing up this matter of need. The opportunities here in the capital area are equally important in many parts of the country. But perhaps even further out in a country where there is less than that rock - mass, let us say, schools of education, such as university, though there are certainly some places where university homes are. In social context, this is important, and in the community there is more to it, and therefore it is important. I have been so fortunate myself that I have been given several opportunities to teach at a constant education center and have experienced firsthand what it can be fun, and especially grateful to be involved in these stations. How important it is, then, that we take good care of them and arrange for them to continue to grow and thrive!
ParlaMint-IS_2018-12-10-44.u55	A respectable president. I like it like the rest of us. Senators thank you for this important discussion. I agree with the importance of education and adult education throughout the country. Then I would especially like to remind myself of the areas that are classified as sub-traumatic areas, such as the Skaftárfrepp. There they have been trying to establish such a station and ensure the operation under an umbrella seat. There are different names, but they all aim at the same thing, trying to raise the level of education in the region in order to strengthen and secure habitats in areas farther away from the administration and other educational institutions. I believe that it is important to have a sound and a photo meet with the government, so that one Ministry does not initiate the Operation Tragedy based on Compulsion Institute and then is not followed by other problems.
ParlaMint-IS_2018-12-10-44.u56	A respectable president. Thank you for the best information you've ever had. Minister. There is no doubt that we agree on the importance of existing education centers and that this activity is stable and strong throughout the country. The self-employment centres are natural, based on social goals, and are involuntary societies, government institutions, trade unions, or even professional life in these activities, representatives of the community. It sounds to me that the last plans that exist are to promote and strengthen the stability of national education centres. I have information on the fact that executives have received some information that the Ministry is preparing the parties for the contracting work of the provision centres and without being planned and therefore has not given them a chance to consider the matter further or to react. I ask a minister: Is it true that invitations are being prepared for important aspects of education and adult education? And how will this affect the operation, in the opinion of a minister? How does a minister support himself in the carrying out of this ministry? paritaprevir Will Árnason, mentioned that we need to strengthen this service in fragile and vulnerable areas?
ParlaMint-IS_2018-12-10-44.u57	A respectable president. Thank you so much for this discussion, it's very urgent and useful, including... Because the elimination of high school is higher in Iceland than in the North and in most other countries. Therefore, the need for re-education or a sustained education centre is more urgent in Iceland. True, in recent years we have been achieving considerable success; we are reducing the elimination. Hv. Councilmen have mentioned the physical evaluation. We are taking in what really matters, and all of this, of course, goes on to strengthen our people in the workforce and nurture the knowledge that really matters and strengthens them. Hv. A senator asked about the invitation. It is natural to cooperate or to conform to the official financial law of 42. Of course, we will be in cooperation with the ever-old centres, and if there is to be more cooperation or additional information, the minister of this journal will take it to heart. We'll straighten it out and I'll inquire about it in my department. On the other hand, the education centres and the reeducation programs there provided a powerful study in order to improve the skills of the Icelandic labour market. We also need to remember that this service is needed more in Iceland because of how the country has been eliminated.
ParlaMint-IS_2018-12-10-44.u58	Mr. President. I think I'll start the discussion a little bit on the way it ended, i.e. ... ofa greatrescuit on this country from high school. I'd like to connect it with my request for study aids for high school students. I do a little bit more than a few things, but the first question is simple: Does a minister consider the increased diversity of teaching techniques, including the presentation of the study material, to respond to a drop from high school, especially boys? But it's not just about suspension. The fact is, as recorded in the autumn news, that at the same time as high school students spend tens of thousands of dollars in books every semester, many of them on a shelf unreaded, underdeveloped them, and in many proverbs, the study is simply missing for the same high school students. Experts say that the system is up to nothing, that there is little or no incentive to publish new books. The study material for high school has never been on many fish, but the situation has deteriorated over the past few years. There have been reports of e.g. that after the 2007 development fund was cut down in 2011 and since it has not been able to raise it again. Every year, applications have been much higher in sums than those of the funds in the fund, so that they do not meet the need. In this year's work is so deep that the business system of a people in the school edition is ruined. It is out - of - date and has not followed the needs of the market, not the students, nor the needs of the schools in this ever - increasing and changing environment we live in. We need a new system, they say, and other guidelines on this market to make it work. Question two to the highest. So the minister is: Does a minister intend to engage in certain activities in order to ensure the presentation of the study material? If so, what is the main measure of action, and within what period of time will the Minister's plans carry them out? One-third of the question's fragrance serves as a special hobby for the highest. Minister, our English tongue. The fact is, the books published before high school students are many not in English at all. It is quite crazy that at the same time we talk about the Icelandic language, 16, 17, 18 - year - olds are designed to learn very complex subjects such as mathematics, biology, physics, and chemistry in English. I do not comment on the fact that English is trained in this regard, but we cannot at the same time talk about Icelandic being a nationalist and then do not trust us to teach our young people the language and, using a probe, which the teacher then talks about in Icelandic language, and the children do not know which retinum is to be used. [[The president calls.]] This is the last question: Do Ministers think that one way to the objective of a proposal to conduct a judicial hearing on Icelandic soil as national language and official language in Iceland is to ensure that in all areas of Icelandic society, students of Icelandic high school will be allowed access to the Watchtower study articles in Icelandic languages, such as The Watchtower? [[The president calls.]] [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u59	A respectable president. I'd like to start by saying thank you. paritaprevir Katrín Friðriksson's son, Hannah, for setting up a program for high school matters. What a joy it is to be here at the council Hall and discuss these important matters because this is, of course, about the development of the nation! I'm going to start by responding to the elimination and diversity of teaching techniques, but I'd like to start by showing that the elimination has decreased substantially in the past ten years. Now the percentage is that 58% graduates at the required time in high school, but ten years ago it was about 44%. So we see significant improvement. I'd like to mention it, a respectable president, that the reasons why students are expelled from high school are complex. Elimination from secondary education in high school is a long process and a long time before a student leaves the high school stage. One of the things we've been doing at the Ministry of Education and Culture is putting much more emphasis on the level and high school, even though we don't have financial responsibility for those school levels, because it is clear that the elimination begins, and we see its first sign, much sooner. We've been greatly promoting cooperation with Icelandic rural society, who are financially responsible for the elementary school and also at the kindergarten to find ways. How can we counteract this? However, it is clear that high school and teaching methods in it are very varied, and I must admit that they are far more diverse than I had realized before studying high school. There is an enormous diversity in the course of study and selection, i.e. An offer of study. I'm not convinced that the major covariate on elimination is the lack of variety in teaching methods. However, we are considering the main covariates in the Ministry very closely. One of the things we can see is that if students show low Icelandic and math skills at late high school, they are likely to significantly increase their share of elimination. So there is some evidence that education can be further developed in this regard. On the other hand, I think that the important thing is that we need to improve our choice of high school, i.e. that the selected schedule should be met. We're working with the local government level on how we can meet it because I think this is also related because students don't often see how much choice and education are offered in high school. This is where all students, parents, students, seniors at high school, and high school will need to make students more aware of it. Whether we are going to take certain measures to ensure the presentation of the study material is asked. We're working on a study course in Iceland and we set up a working group who is working on it. I would like to state that I believe that careful study data is a specific equation device. If they are good and work at them considerably, students will have a better chance for their learning to become even better and more powerful. So I think that when we discuss study material, and I don't talk about when we talk about it so much later, I guess that's a little of the essence that we have a very powerful education system. I'd like to say what. A senator says that we have started a team working on this and that review is being completed in 2019, where we are doing a very thorough review of these factors. For national languages and the lack of study material, it is also being studied by the National Institute of Education, possibly using technology in this respect, i.e. ... withthetechnicalproject and other routes. In this way, a respected president can obtain his or her study material at a lower cost than before. We must make good use of and examine it.
ParlaMint-IS_2018-12-10-44.u60	A respectable president. Thank you. Chairman of Hanna Katrín Friðriksson for the query. I just want to get right into the fact that one of the main reasons for elimination is dyslexia. That's one of the things that's causing a lot of trouble in high school because if you're not a good reader of Icelandic and math, you're in trouble right away. More is needed, new methods need to be found. It's, for example. The clay has been found for clay in three dimensions. There are some things that are going on to help people who are dyslexic, and they need to dive into it and teach it better and have a better perspective on modern technology in helping those in there, especially those who are dyslexic so that they can get skills in Icelandic and math.
ParlaMint-IS_2018-12-10-44.u61	A respectable president. I want to thank you. paritaprevir Katrín Friðriksson for bringing this up, as well as the minister. Of course, it is absolutely essential that all the policy currently conducted in the Ministry aims to increase the diversity and availability of different study tools. Because it's the highest. Minister enters the elementary school, and I'd like to mention that we're on a boat in terms of a media control of basic school publishing literature. If we compare ourselves with the countries around us, whether in Western Europe or in the North, they have the same primary objective as we are guided by, equal to the study and the availability of the students of related studies. Although these countries are guided exactly the same, they have achieved the success of having a much better supply and greater diversity of study data. There is something we must look to, and that is, of course, true of all points of school.
ParlaMint-IS_2018-12-10-44.u62	Mr. President. This is a very important subject for discussion, a subject structure. It is important for those in school to have open - minded, open - minded access to a wide variety of and accessible study material. I'd like to connect this to Icelandic. I think it is the strongest and best way to promote Icelandic and protect it from foreign influences to make it available to students in Icelandic. I think money is better spent in Icelandic academic research than it is in strengthening, e.g. A general edition of a book in the country, though it is in English. 'Cause that's where the foundation is, and I think we should better set our priorities for this thing. Then there is a great increase in motivation for teachers, many of whom have very good teaching materials but do not distribute because they are looking to publish it and are not getting enough encouragement and strength.
ParlaMint-IS_2018-12-10-44.u63	A respectable president. Thank you. Chairman and Minister for Answers. I can agree with a lot of what has happened here, i.e. with elimination and reasons. How important it is to have a wide variety of study and teaching methods! I've been a high school teacher and a school counselor and a high school counselor, and I'll agree with that. paritaprevir Guðmundur Ingi Kristinsson mentioned dyslexia. When I was a student and professional counselor in high school, I went to a little class and asked how they liked to work and what was best for them. It was mainly the reading of a computer, the ability to expand writing, the use of films, and other things that were more suitable for different formats, as well as for different people. I think it's number one, two and three. It is an equation to be able to invite students to use the data that is convenient for them, but we too need, and that is true of the highest value. A minister said to offer the material in Icelandic. That alone, of course, is the equation. Although it's good to be able to teach English in high school, not everyone can read it.
ParlaMint-IS_2018-12-10-44.u64	V.E.G. President. Thank you very much. Minister of answers, as well as leader. This is a variety of teaching methods, including those related to a school drop. I agree with what has been presented in Icelandic, academic, technical, and dyslexia, all very good inputs. But what I want to add is cooperation between home and school. It must also happen when young people are in high school. It is important that teachers reach students, as in elementary school, that our children become readers. And I don't talk about parents having good cooperation with both high school and high school. I believe it has to be done in high school too to break out of school. I think it's a foundation that needs to be a lot more important than ever.
ParlaMint-IS_2018-12-10-44.u65	President. Thank you very much. Minister and all the trouble. The members of the council who spoke very much for a good discussion, and it is clear that this is a subject that burns many of us, naturally. I'm especially happy to be the highest. A minister gave the tone at the end of his discourse or a talk on the electronic study tools. It was where I wanted to go in the second round because I kind of believe that it's the key to the big business. It's cheaper. It is easier to renew such study tools. They're new in time, Icelandic, there's no problem there, i.e. Icelandic, and we're meeting the needs or habits of the young generation that are used to going to YouTube or whatever it is to look for, we're really going to find anything. I don't think there's a solution between heaven and earth that can't be given any instructions at all by going in there. Young people can do that. Besides, it allows teachers to put their backs on this. I'd love to hear from the highest. Minister at the end - I'm glad to hear about this course that she speaks about and about these working groups, and I look forward to seeing the result. But I'd like to know if it's not for sure that it also makes sure that teachers can do this and that there is a healthy competition in the study industry. So there will be some competition to do what is best in a material way and that the presentation is really good for students to take advantage of this variety of material. For my part, I say that if the education system itself is driving the train into this trend, it will simply blow away. That is not a very good indication of our future. As for study material, we must begin to be equally concerned with other subjects that young people are looking for today.
ParlaMint-IS_2018-12-10-44.u66	A respectable president. These are very helpful discussions and things that have happened here that I would like to discuss. First, I'm going to mention what concerns dyslexia. One of the reasons why we are adding large numbers to school and elementary school is dyslexia because it can be seen quite early in the course of study. Hence, we need to nurture more of an early intervention to help such students sooner in their study course. What also happens is that children who have a different mother tongue also face certain challenges, and that is why they need to do so much more. With regard to the work group I've mentioned, working to improve the study tools, there is an effort to focus on the diversity and digital version. And, of course, there is considerable consultation with teachers. This is a European committee and should be prioritised in order to support study projects, and that is exactly what they are doing. This is exactly the kind of support given to those who publish study data, i.e. Twenty-five percent reimbursed. This actually fits what was mentioned earlier in the discussion. We are, of course, cherishing the English language. The proposal that I will make for, hopefully at the end of the week or at the beginning of the next week, is about these factors. I found it very enjoyable for members of Congress to come on the subject, but for fun, they could be assigned to the Iceland Business Committee, which took place, was a winner of a race called the Successful Lesson Association. The idea is that there is a huge increase in access to study data, and the Ministry is working with that group to further it. This would then be a landmark foundation, one that everyone would have access to the study material and that would be sharing it. This is, of course, all in English.
ParlaMint-IS_2018-12-10-44.u67	Mr. President. During the conference bill treatment to correct the 2008 health insurance legislation and medical legislation from 1994, with subsequent changes, which became the law of No. 45/2012, changes in drug costs were required. Therefore, a greater proportion of welfare committees were directed to the Minister on the Commission's Regulation on Preservation and were to be reviewed with the aim of increasing strength for aid tools where certain medical security groups requiring medication, such as In addition, diabetics, who need assistance, have considerable extra expenses. In addition to the insulin that was free to correct the situation, diabetes mellitus needs to buy strips, blood knives and needles and insulin pens as well as to buy a tube set and a prolonged-release capsule. Patients with diabetes often require frequent pump equipment and the stuff that comes with it. Patients can apply for concentrations due to the 2008 Commission's regulations for funding equipment, but the annual costs to the patient themselves often exceed the maximum health insurance spending per person at drug costs over a period of 12 months. The cost of a diabetic child, e.g. At the age of six, the costs of health insurance for insulin have been cut off, allowing up to 200,000 bucks. every year. This adds up, for example. The loss of another parent, usually a mother. One parent of a diabetic child usually has to reduce his or her job. As a result, diabetics and others who are needed as a result of the medication are thus at higher annual costs for their disease than those only taking medication. In addition, for patients with diabetes mellitus, the most common tool is a custom fixation device, ready orthopaedic shoes, and frontal snores and ankle snores. Extensive instruments differ greatly from those from those of Iceland. A user in Sweden needs, e.g. not to pay for the medical wound of the user's leg, which is part of the hospital's professional team. I'd like to ask the highest. Health Minister: Have the rules been revised, as a health committee suggested, with the goal of reducing the cost of this group? If so, how much has the cost dropped?
ParlaMint-IS_2018-12-10-44.u68	A respectable president. Hv. paritaprevir Þórarinsson's farm directed to me a verbal request for strength to buy some of the tools. He asks whether the rules have been revised with the aim of reducing the cost of the health insurance group that certainly requires medication, such as. Diabetes, but you need help, which also carries considerable extra expenses. If so, you may ask, " How has the review been done and how much cost has been dropped? ' The answer is that there are no overall revisions of the costs of this group of health care professionals by means of a group that has been initiated in order to review a general application of the measures for aid tools. This group has been responsible for reviewing the overall arrangement of aid tools, and particularly taking into account the UN Convention on Human Rights for Self - Life and Social and Professional Affairs, but also in the light of government and rural groups, equal and technological development. What I wanted for this group that I started in January or February of this year was to consider the legal environment, regulations and also the implementation of this rule. It was quite clear, when I began to consider the existing environment as health minister, that the issues that were particularly concerned with the helpers had come to rest for many years. It should be noted, however, that recently, the changes in the limits required to purchase tools were made to pay health insurance to those who have cystic fibrosis (CF), i.e. cystic fibrosis, was increased from 70% to 100%. This change in individuals who need both drugs and tools, so this change is relatively recent. When a reimbursement system of health care professionals was implemented on May 1, 2017, it was specifically considered whether the right factor was to submit to the system as a whole. It was not advisable then until there was experience on the system, and now the experience has gone from half a year to six months, so there is good reason to examine this aspect as well, i.e. Whether the pay program should take extra care of auxiliary equipment. The cost of health insurance with an aid system has been increasing year by year, and it might be checked to find out what cost it would be for health insurance to add aid to this payment system. Regarding the group I mentioned earlier, the goal was for the group to produce proposals for me on October 1, 2018, about which I received an interim separation from the group with a few indications of a change in regulations that I was both kind and obliged to do. A senator in a special way, even in writing. The group has completed its diagnostic work, and this is a leading group. paritaprevir The Steinunn of Árnadóttir, in her early teens, with the arrival of the people most familiar. The group is now working on a report with results and proposals to minister and, according to the chart I received on October/November, the objective of the group is to complete the report for the New Year's Eve. My answer to that. A senator's main concern is that the tools are truly on my schedule. I started this job as soon as I had accepted the office, and I had learned that the situation had come to an end.
ParlaMint-IS_2018-12-10-44.u69	Mr. President. Thank you. paritaprevir My lord, the Birgir of Þórarinsson, for taking up this matter here. He singled out the aid box most from the eyes of those who have diabetes, but it is important to note that the same can really be true of many other diseases, to form many rheumatic diseases and various neurological diseases. It is important to compare the value of treatment, though natural, with those who have the greatest need at any given time. However, that is how, and that is the viewpoint I would like to express, in my opinion, that there should be a means that, basically, a means of being free from charge because they are actually the means by which society ensures that those who need them can have a full community involvement. [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u70	V.E.G. President. Thank you very much. A minister for the answers and rejoice that these matters are indeed on her schedule, not being unnecessary as these have come to an end. That's actually very bad, because I don't think the crowns made up for this suit any further up, that I think at least, since 2007. I agree with what. paritaprevir Ólafur Þór Gunnarsson, who said that aid should be free of charge. I think you're right about what you're talking about. A senator's concern is that this is very important to the individual. It's also preventive, and I want to specifically introduce the importance of proponents. It is necessary to promote their activities within the medical institutions. It would be interesting to have a minister's opinion of that. Pillar scientists can do very much good, and their main role is to do everything in their power to avoid users'loss of limbs, but the knowledge of public and other health professionals on the importance of the role of stentists is not due to me to judge sufficiently. It needs to be corrected. Pillar experts help patients to develop and maintain skills, to improve their participation in daily life, as well as to improve their independence and quality of life. But I also insist that the welfare committee suggested that this be revised, e.g. In diabetics, and I think it is very important that it be done. [[The president calls.]] I encourage ministers to act in this regard.
ParlaMint-IS_2018-12-10-44.u71	A respectable president. I'm still very grateful for the discussion and what. The foreman for the question and why. paritaprevir For his part, Þór Gunnarsson's Ólafur must be at ease for this discussion. I agree with both him and the leader that aid tools are natural to equal access and to ensure and contribute to the increased community involvement of everyone and should therefore not be paid for. Of course, it would be by far the most natural thought that this would be the natural contribution of society to help all to develop and share in the community. Because of what? A senator in particular would like to say that in general, I believe that we are expected to enhance the diversity of the different health professions. I would also like to mention occupational therapists, who, of course, are of utmost importance in the material being discussed here. I'd like to say, too, because of what. A senator may base his inquiry primarily on diabetes and the discussion, that I have represented various groups of patients who have been discussing these matters. I mention those with respiratory disease who have had to use their aid tools, psoriasis patients and patients with various neurological conditions. At the end of the council, I have presented a special report now on diabetes. It is not presented for a discussion, but it may well be the right thing to discuss when we are in a new year. It has been distributed here as a Senate document and is being passed on by a group to me and then by the Department's outback on that report. Finally, I'd like to say that I have high expectations that the committee I was able to discuss this detail and that the proposals will be reduced to looking to them for solutions in the future. I'm still very grateful to you for your discussion.
