ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u1	Good morning, everyone. Since our president is a little late, I'm going to open our meeting.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u34	Mr President, Mr Verduyckt, there are many misunderstandings about this important instrument in European climate policy, so I will answer your questions as clearly but as concisely as possible. I believe that the ETS system has been working better since the last reform, but there is still room for improvement. There is now a price for allowances, around EUR 25 per tonne of CO2, which provokes emission reductions. As you pointed out, the number of allowances that come on the market every year is fixed in advance and decreases every year. As a result, together with the rights already in circulation, there is a closed pot of allowances or permitted emissions for electricity production, industry and aviation within the EU. Gas plants are covered by the ETS system. So the rights they have to surrender for their emissions come from a closed pot. In this sense, we say that the additional emissions from gas plants in Belgium do not increase the permitted European emissions and should therefore lead to lower emissions from other plants elsewhere in Belgium or Europe. The price will act as a coordination mechanism for cost-effective emission reductions. In short, it is generally true that emissions from all installations under ETS, including our gas plants, will go to net 0 by 2050. The long-term functioning of the Stability Reserve in the ETS may be slightly distorted in the short term. Belgium supports the European reduction of 55%, which may be approved by the European Council this week. That means a serious increase in ambition. This will undoubtedly also have to lead to adjustments to the ETS, in order to meet the higher European ambition. We do not yet see the exact nature of these adjustments, because the European Commission will not come up with any performances until the spring of 2021. It is therefore too early to consider a possible impact on the CRM or how the federal government will relate to those Commission proposals. However, I would like to point out that a more ambitious objective normally goes hand in hand with a higher price in ETS and therefore more revenue for Belgium from auctioning allowances. Contrary to what I have read in some opinions, Belgium does not buy allowances in ETS but receives money for the rights it auctiones to other electricity producers.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u35	Madam Secretary, I've read the same opinions. It also states that there are still too many allowances in circulation. These market reserves also do not work optimally. My message today is mainly: ETS or not, there is emissions, we need to take a critical look at it. The Minister says that there will undoubtedly be an impact with that 55%. Given that Belgium supports this reduction, I assume that we will be taking part in the debate at that time in order to review the ETS critically and thoroughly and possibly to reduce it more quickly.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u36	Mr President, Minister, both in the context of the Green Deal and in the context of relay policy after corona, a great deal of European money is being spent on climate investment. However, I read in the press that the European Commission is inclined to let the Member States decide freely in which technologies they invest that money in order to achieve their climate objectives. That worries us, as there are plenty of examples within the EU of investment practices in technologies that do not benefit the climate and the environment. For example, Slovakia and the Czech Republic want to combat the climate by means of nuclear energy, but we do not believe that this is the solution. Nuclear energy blocks the advance of renewable energy, not to mention waste. We believe that the sustainable energy system of the future is renewable and decentralised and not a nuclear energy system. I also note that, within its hydrogen strategy, the EU also provides a place for grey and blue hydrogen, i.e. hydrogen based on natural gas, a fossil fuel, and will grant subsidies for it. Finally, with the adoption of the latest list of Projects of Common Interest, the EU ensured that a mass of European money will go to gas pipelines, among others, for 15 years to come. In this light, I find it highly alarming that the EU would like to leave the door open for such technologies to investments in the context of the Green Deal and economic revival. Madam Minister, what specific conditions do you think should be met by investments with European climate money? What position will Belgium take during the negotiations? Do you think it is okay for European climate money to be used for nuclear energy and fossil fuel technologies such as grey and blue hydrogen, gas pipelines and so on? How do you view the principle of technology neutrality for investment with European climate money?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u37	Mr President, Mrs Daems, first of all I would like to remind you that every position in European discussions is the subject of a discussion with the other entities. We therefore need not only an agreement in the federal government, but also with the other governments of this country. This alignment of positions requires a great deal of debate and energy. Without prejudging this position, I can briefly outline the lines that I believe follow from the federal government agreement. The federal government confirms the legal exit calendar for nuclear energy. In addition, several passages deal with the discouragement of fossil fuels, including in the case of investments. It goes without saying that we are taking these ideas with us to the European debate, because climate money must go to genuinely green investments. In this sense, technology neutrality is an ambiguous principle. Sometimes we have to deviate from it to ensure that the transition to carbon neutrality is sufficiently rapid and clear. This is how the coalition agreement opts for zero-emission cars.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u38	Thank you, Minister, for the answer and clarification of your position. You mentioned technology neutrality ambiguously. For the sake of clarity, there can be no technology neutrality for investment with European climate money. Fossil energy and nuclear energy really belong to the past and every euro that goes to those technologies is a euro that cannot go to energy efficiency and interconnection. We are really in favour of excluding fossil and nuclear technologies in terms of investments under the Green Deal or earmarked for climate investment by other European means. For us, the future is renewable.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u39	Madam Minister, it is reported that in the European Union there are influential voices, such as Germany, for an extension of the European Emissions Trading System to the transport and buildings sectors. As you know, we are a cool lover of the system. In our opinion, binding national targets are many times more effective for each sector. However, as the ETS is still there to date and there are voices for its expansion, it is important to be aware of the latest developments. In that connection, I have the following questions for you. What is the most recent state of play in the debate on extending the European Emissions Trading System to other sectors, such as transport and buildings? What do you already know about the distribution of the increased European climate objectives between ETS and non-ETS sectors? What is the Belgian position in these negotiations? What are your views on extending the ETS to other sectors? What position will Belgium take in the discussion? When has the effectiveness of the ETS been evaluated for the last time? What were the results of that? Are there plans for an ETS review in the near future? If not, will you argue for that? I note, however, that one question has already been answered in your reply to Mr Verduyckt's question. I'm looking forward to all the other answers.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u40	Mrs Daems, I cannot yet answer your questions because they anticipate reality. The European Commission will not come forward with proposals for the future climate architecture until spring 2021. The impact assessment on the increase in European climate objectives still covers all options. A choice has therefore not already been made either at European level or by Belgium. The debate has yet to begin. We will examine the European Commission's proposals with interest.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u41	Madam Secretary, thank you for your reply. So I'm early with my question. I'll definitely come back to it later.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u42	Madam Minister, last month you said that the National Climate Commission (NKC) would meet on your initiative on 3 December. The NKC would consider the distribution of the Belgian climate targets for 2030 and the distribution of the revenues of the allowances between the federal government and the different regions. In your opinion, the European Commission's criticism of the submitted National Energy and Climate Plan (NEKP) would also be discussed there. You also promised to make the National Climate Commission more transparent. Did that announced meeting of the National Climate Commission take place? If so, what has been decided on the items on the agenda mentioned? What about the Belgian distribution of the 2030 targets? I would remind you that there should in principle be an agreement on this at the end of this year. What can you say about the European Commission's criticism of the NEKP submitted? You commit yourself to correct this in an action plan, but what are the intentions of the Regions? Finally, will you provide Parliament with the report of that sitting and, if so, by when?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u43	Mrs Daems, a serene and constructive meeting of the National Climate Committee indeed took place on 3 December. As soon as I am in a position, so after the adoption and transmission of the report and the reports, I will be happy to answer your questions in writing. Unfortunately, therefore, it is still too early. I suggest that you ask me the same question at the next committee meeting.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u44	Madam Minister, I understand that the report is not yet fully completed. You propose to repeat my questions at the next committee meeting, but I did not receive an answer to the question of whether you would then make the report available to Parliament. I'm curious about that. Could you give me an answer to that?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u45	I'll answer in French, if that's okay with you. I want to be very careful with the words I use. It will be more nuanced if I answer in French. Thank you for your understanding. When a meeting is held with different entities, it is very sensitive. As I said, the documents are being approved by the various stakeholders of the meeting. I defend, from the federal and majority agreements, that our work must be more transparent. I will confirm this with the other participants and defend the idea that the documents should be made available to Parliament.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u46	Madam Secretary, thank you for your clear answer.
