ParlaMint-BE_2020-06-16-55-commissie-ic208x.u1	Written copies of the Minister's presentation are available.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u25	Minister, you have already answered part of this question in your clear statement just now. As you know, on 6 June 2020 the core+10 decided, among other things, that every Belgian would get ten free train journeys. When I heard that, especially 'free'.............................................................................................................................................................. That turned out to be June 6th, and not December 6th. Sinterklaas is yet to arrive. In the end, it turned out that free is particularly relative. You already provide EUR 110 million, minimum, the question is, of course, whether you will be able to do so. More specifically, does this mean that every Belgian will get a ten-way ticket? Anonymous? Not by name, so it can be passed freely? Or do we all get ten separate tickets? How will the distribution go? I can imagine it is not obvious. Besides, it's gonna cost a lot. Do you have an idea of the cost of that?
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u26	Mr Van der Donkt, Mr De Roover was present at that sitting. Maybe it was Saint Nicholas after all? SNCB is currently studying all technical aspects to meet the mandate of the core+10. The first estimate was about €100 million. As for your wonderful questions about this Rail Pass, I would like to refer you to the Minister for Mobility, who is responsible for this. But maybe my associate can give you more information.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u27	SNCB does not count the actual cost. A Rail Pass costs 83 euros but we are not going to calculate 83 times 11 million inhabitants. SNCB assumes that it will lose a recipe if someone uses the Rail Pass. It estimates the number of Belgians likely to use the ticket at 2 million. SNCB estimates the cost of distribution: software development, printing and shipping of the nominative ticket at 4 to 5 million – and we estimate it at 10 million. The idea of SNCB is that if you are valid, you will be able to order your tickets over the internet, and if you are invalid, you will have to go order your ticket at the station. For the time being, SNCB does not understand that such a measure is being introduced in July and August, which could lead to an abundance of trains.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u28	It is in general the SNCB's answer, but you can ask for more information from my colleague, Mr Bellot.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u29	Thank you, Minister, for this explanation and look forward with curiosity to the practical implementation of this sintering Klaasidee.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u30	Madam President, Minister, I am sorry, but I am working on some shuttle diplomacy between the Prime Minister and the Minister for the Budget. However, when the Minister for the Budget calls, I will come immediately. Here's what I need to get off my chest. With EUR 110 million train tickets we could fill many bread boxes. Let me now turn to my question about the European Recovery Fund and the contribution of the Member States. Firstly, I have just asked this question to the Prime Minister, who said in her introduction that the European plans could be expected to increase the contribution of the Member States and Belgium to the European Union. It has also pointed out that this contribution is paid solely by the federal budget. It would be good to have the information on this from you, the Minister for the Budget. We had a brief exchange of views on the subject last week. You may now have some additional information with the European Commission's draft plans, which are now on the table. What exactly would it mean in terms of budgetary impact for Belgium? How much extra should we put in the pot? Secondly, we note that a number of countries are lobbying very actively about their contribution. They may retain their rebate or discount on the contribution. This is the case, for example, for the Netherlands and Denmark. We do not have a rebate, but like other countries, we have the opportunity to hold 20% of VAT revenue in our own hands. Especially with the Brexit coming, that's very important. Mr President-in-Office of the Council, it would be good to know the following about you on that point. Are you aware of discussions at European level about the possibility that we would still hold that VAT advantage in our own hands?
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u31	Mr Loones, the financing of the Next Generation EU recovery fund will be achieved by raising the ceiling for own resources to 2% of gross national income. That is the maximum rate that Member States would have to pay legally. However, the actual contribution of the Member States is much lower. On the basis of the texts currently on the table, this will be 1.07 to 1.10 %. The margin between the figures and the raised ceiling will be used as a guarantee, which, at worst, should be paid in order to raise funds on the financial markets against that margin, or headroom. This is a long-term financing of 30 years of debt and at a very low interest rate due to the European Commission's AAA rating. It would not be repaid until 2028, and the European Commission proposes that this reimbursement be fully covered by the introduction of a number of new own resources. For example, an Emission Trading Scheme, a carbon tax at the external borders, a payment on the turnover of large transnational companies in the internal markets, carbon contributions from both the air and shipping sectors, and, for example, a digital tax for large international Internet companies. The question of whether this concept will be fully feasible at the end of the negotiations cannot yet be answered. However, as you will understand, the proposed funding mechanism does not necessarily imply that national contributions would go up immediately. The headroom or margin between the actual contributions and the own resources ceiling is used exclusively as a legal guarantee to lend on the financial markets in a advantageous manner. The European Commission is proposing this scheme, precisely in order to avoid additional burdens for the heavily affected national governments. With regard to the system of discounts, I understand from the Commission's plans that the phasing-out of these discounts will take place in a much longer period. Whether or not this proposal comes through, I am afraid to predict it, and therefore whether a sensible arrangement would continue to be comprehensive and unlimited in time. These are aspects which will certainly be the subject of negotiations and which must also be approved unanimously by all the Member States. At this stage, therefore, I certainly do not venture to speculate. Since the Commission proposal of May 2018, the VAT proposal has been revised several times. In the latest compromise proposed by President Michel, a method has been chosen which is closely in line with the existing VAT calculation, but where the corrections and exceptions have almost all been deleted. Overall, the budgetary impact of VAT contributions on the GNI contribution for our country is rather neutral. However, our preference is for the Commission's proposal of May 2018, which is the most advantageous of the various proposals. However, VAT revenues are highly dependent on the economic situation and the current crisis will therefore have an impact on Member States' VAT revenues. At present, therefore, it is not possible to make a reliable estimate until 2027.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u32	Minister, we are not going to have the debate on how this will be worked out at European level, I just want to point out that you are talking about a temporary measure that will have an impact for 30 years. One will start paying off in 2028 and we are talking about a measure that will apply until 2058. Temporary is therefore relatively relative in this context. When I asked whether the contribution of the Member States and therefore Belgium to the European Union would increase, you replied very clearly last week. You said that we are already a net contributor today and that this contribution would increase with the European Commission's plans. Today you had a more nuanced answer, which is your right, because last week you had to play very briefly on the ball. I therefore respect that you first set out principles and now provide more detailed information. However, I would like to call on you to be very vigilant because it is about more than just a guarantee. You rightly made the analysis that we may have to guarantee this, but there will also be a link between the recovery fund and the multiannual financial framework or MFF. If the new European own resources are not sufficient, the MFF will be used. Some things must then be removed or the contribution of the countries increased. So you must be very vigilant about this. There is another point that you must be vigilant about. You said that the VAT system is rather neutral, but it is still 20% of the VAT revenue that we are allowed to keep for our budget today. Today we are not yet a real external border to the United Kingdom, but it is likely to be so soon, which means that all trade coming from England may be subject to import tariffs. There could therefore also be a whole debate on VAT. VAT is already important today and will become even more important in the future. I therefore ask for your continued attention, but I have every confidence in your insights and caution in this budget.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u33	Mr Minister, last week and also today we received a very detailed overview of the budgetary situation as a result of the COVID-19 crisis at the federal level. Last week, on the basis of the ERMG data of 4 June, you informed us that there is, of course, also a budgetary impact of the measures taken by the regions. For the Flemish Community, this impact is estimated at EUR 2.8 billion, for the Walloon Region at EUR 1 billion, for the Brussels-Capital Region at EUR 300 million, for the French Community at EUR 100 million, and for our German-speaking friends also at EUR 100 million. Minister, I asked this question last week, but you could not answer it at that time. You said you'd check things out, which is why I'm asking you questions. Are these amounts still valid today, or have they increased in the meantime? Can you also give some more details per issue and per Land?
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u34	Mr Van der Donkt, the estimates of the measures taken at regional level in the framework of COVID-19, which I mentioned in the Committee on Finance and Budget on 9 June, are from ERMG. The figures were those of June 4th. As you know, I am not competent for the Communities and the Regions. However, following the abovementioned exchange of views in the Committee on Finance and the Budget, I took the opportunity, in order to obtain a complete overview of the budgetary situation of our country, the Communities and the Regions, to ask me to provide an overview of the measures taken to combat the current economic and health crisis, with the estimated budgetary impact for each measure. It is intended to update that overview on a quarterly basis. It's the ideal time to request the information. Although the Monitoring Committee report focuses mainly on entity 1, it also includes a number of data on entity 2. So it is now awaiting the extent to which the regions intend to respond to the question of my administration. So I don't have any new numbers yet.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u35	Thank you, Minister, for the answer. I will ask this question again within a few months. Then you might be able to give us some information.
