ParlaMint-BE_2020-07-14-55-commissie-ic239x.u1	Question No 1, by Mr De Pasquale (H-l 55006987C and 55007384C by Mr Donné were postponed.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u50	Mr President, Mrs Taquin, the MEGA training ("My commitment to ensuring the future") is an awareness-raising and prevention project that encourages young people to be able to say no to any form of violence and to any temptation to consume products that are dangerous to their health. Inspired by an American programme called DARE, aimed at preventing drug use among young people, the project consists of ten fifty-minute modules, mainly provided to sixth-grade students by trained police officers, teachers or members of PMS centres. This programme targets the topics of legal and illegal drug use (tobacco, alcohol and medicines), but also topics such as self-assertion and self-esteem, aggression, social pressure, stress, racketism and social networks. Police training takes place in police schools. It lasts 40 hours and consists of several modules: public speaking, vision of pedagogy, information on drugs, etc. The price varies from one police school to another – about 250 euros per person. This training is the responsibility of the police areas. In addition to the personnel trained, the area must release two or three collaborators to provide the ten lessons in the schools located in its territory participating in the project. To do so, the areas do not have any federal funding or support. The cost of training and the lack of staff capacity explain why many areas do not invest more or less in this project. In addition, some schools are not of particular interest to the project and some collaborations have ceased over time. Other areas have sometimes invested in other projects or forms of partnership with schools. In the Wallonia-Brussels Federation, some 30 police areas are participating in the MEGA project. The number of schools and students affected varies from one area to another.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u51	Minister, thank you for that clarification. I will certainly come back to this issue.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u52	Minister, I have already asked you about the plans for potential reconstitution in the event of a strong resurgence of coronavirus. It was at the end of May. On July 1st, Yves Van Laethem, inter-federal spokesperson, presented details of possible measures and plans for reconstitution in the press. In particular, he said: "What we can say is that we have to expect all of a sudden a series of localized measures for a number of things, such as making the wearing of the mask compulsory in the shops, in the areas in question and possibly prohibiting general rallies or demonstrations. These are things that were seen in Beijing in some quarters before it was extended to the city. In these localized areas, cafes and restaurants would close or close earlier. A working group is working on this and a report will be published in the course of July." You will understand, Mr Minister, that when we read this information, which is of course very interesting, the heads of cities and municipalities want to be able to prepare themselves as best they can, precisely to frame future measures, to be able to communicate them within a reasonable time and to be able to accompany at best the actors on the ground, the companies, the whole population of an entity that can be affected by these measures. At the same time, we must note that the debunking associated with the reduction of the spread of coronavirus has led to a sharp reduction in compliance with the actions and recommendations of the National Security Council. Today's requirement to wear masks in a variety of places will undoubtedly improve the situation positively. Can you recall what the legal framework currently allows local and municipal officials to take sanitary and containment measures? In this regard, what are the limits in this regard in the light of the Ministerial Order of 30 June? When will the working group publish its report? According to what procedure and within what time frame will be communicated to the local authorities the new measures to be taken? Will there be degrees in the guidelines? Will they be binding or proposed to local authorities? Will a mayor be able to make the wearing of the mask mandatory in public space and/or shops? What specific support (administrative, logistical and security) can be used to accompany the target communities? Finally, what is the governor's role in his support of the mayors who solicit him when they suspect a difficulty? Does he have a role of mediator or could the governor make an order for several communes concerned in order to ensure compliance with the instructions?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u53	Mrs. Taquin, I will try to answer all your questions. By the Ministerial Order of 13 March 2020 triggering the federal phase, concerning the coordination of the crisis management of the VOCID-19 coronavirus, the federal phase of the emergency plan was announced. This phase implies, on the one hand, coordination and crisis management at the federal level and, on the other hand, that measures taken to limit the spread of the virus must be applied in a uniform and coherent manner throughout the territory. Article 28, § 2, of the Royal Decree of 22 May 2019 on emergency planning and emergency management at the municipal and provincial level and on the role of the mayors and provincial governors in the event of events and crisis situations requiring coordination and management at the national level, provides that, in a federal phase, the government or governments concerned, together with the mayor or mayors concerned, shall support the strategic coordination of the federal level in the territory by implementing the decisions of the federal authority and by taking additional decisions which are necessary in consultation with the federal authority. I recall, and in a letter I sent to the Governors on 15 May of this year, that the objective is in no way for local governments to relax or even tighten up the measures decided by the Enlarged National Security Council, currently contained in the ministerial decree of 30 June on emergency measures to limit the spread of the virus, in the exceptional case where a specific local situation would, according to the local authority, require a particular divergent approach to the Corona measures. As far as individual containment measures are concerned, the role and competence of the mayors vary according to the specific regulations of the federated entities in the field of health prevention. The National Crisis Centre is not involved in the working group you mentioned. In principle, the philosophy of the federal phase precludes a commune from making it compulsory to wear masks in situations where this is not provided for in the ministerial decree. However, if it wishes to do so, it will have to justify its decision on a material level in specific local circumstances. As part of the federal phase, it is formally required that the municipality consult with the Minister of the Interior through the governor before adopting such a measure. The National Crisis Centre has begun an exercise with the relevant administrations and services to prepare a multidisciplinary response to a local outbreak. This exercise, which is still ongoing, aims in particular to clarify the flow of information, the threshold from which management by local administrative authorities is required, and the support that can be provided by the federal level.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u54	Minister, thank you for your answers. Could you tell me what the governor's role is? Is he a mediator? Is he there in support? Can logistical support or support be provided through decisions?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u55	The governor's role has been very well defined. He is the Commissioner of the Federal Government and Governor of Regional Governments. He is under the direct supervision of the Minister of the Interior. It makes decisions, implements decisions, collects information and implements measures given in this federal phase by the federal government.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u56	Minister, I will come back to you in writing.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u57	Ladies and gentlemen, the remaining questions are being postponed for lack of time, but of course you can also translate your questions into a written question.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u58	Mr President, I wish to turn my questions Nos. 55007815C, 55007816C, 55007818C, 55007865C and 55007880C into written questions.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u59	It's noted.
