ParlaMint-BE_2020-01-22-55-commissie-ic094x.u1	Debates of the European Parliament Mr Francken's 55001521C was converted into a written question.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u48	Mr President, Minister, thank you for your answer, in so far as you have answered my questions. Honestly, I can't imagine that something like this wouldn't be included in the books. This may go beyond all kinds of bodies, but you mention a number of which, above all, need to check the financial accuracy of the picture rather than the technical part. I am not saying that you have political responsibility for this dossier, but I am surprised that everyone is being pointed at. I get the impression that in this file the Midlife Update has become a kind of midlife crisis.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u49	Thank you, Minister, for your reply. You say that the decision to convert the Pandur into a reconnaissance vehicle was taken in 2004 and that all options were indeed considered, but that at that time only the Fennek was on the market. The Pandur has been maintained, but at the same time you say that update programmes for the Fennek were envisaged. So there were technological prospects for improvement of the Fennek. Both options could therefore have been better weighed. Apart from that, certainly from the moment the signals came that the Pandur fell through the basket as a reconnaissance vehicle, a great risk was taken to carry out the Midlife Update. If you do not want to break this off now, but want to continue, you are taking a big risk. This will continue to cost money, but fortunately there is not so much money wasted on it. The money will have to continue to be spent on the update. Given all the signs, that seems to me to be an irresponsible risk. We better save money by stopping the MLU and looking for solutions, possibly together with other countries, to solve the capacity gap. We can then possibly plan expenditure in the context of the joint purchase of the new vehicle, for a few years' time. That seems to me to be a scenario to investigate.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u50	Minister, the subject has already been discussed in the committee responsible for the follow-up of foreign shipments. I would also like to thank you once again for the transparency that you and the defence staff showed at the time. So you can look at this question as a sort of follow-up question, firstly, to frame the general situation here in the committee and, secondly, to give the possible new elements known in the research conducted by the Defence Department and in the terrorist investigation which started the federal prosecutor's office. Thank you in advance for any additions.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u51	Mr Flahaut and Mr Dallemagne are not present.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u52	Ms Ponthier, the circumstances in which the incident took place were explained to the members of the parliamentary committee responsible for monitoring foreign shipments on 8 January 2020. The investigation, including a rogatory letter from the Belgian Federal Office from 19 to 23 January 2020, is still ongoing. It is therefore too early to take final decisions. MINUSMA is taking all possible measures to prevent such incidents. It seeks to identify, anticipate and, if possible, neutralize the threat of FDI through a good intelligence network. An in-depth analysis is thus carried out after each incident, both at the tactical and technical levels. Our participation in the United Nations Multidimensional Integrated Stabilization Mission in Mali for 2020 provides for approximately five military personnel at the Intelligence Centre headquarters in Bamako; about ten specialists, analysts and field agents within the German Intelligence, Surveillance and Reconnaissance Unit in Gao and about 55 military personnel from a multisensor platoon within the same German unit. Belgium also offers, by analogy with 2019, the deployment of two Mobile Training Teams of approximately ten military personnel who can provide training and training to African contingents participating in MINUSMA, each for ten weeks. Our military personnel in Bamako are supported throughout the year by a National Support Element composed of about fifteen military personnel. The Joint Support Detachment in Gao has about 25 military personnel. The total number of victims caused by FDI in Mali is 593, including 197 deaths in 2018 and 459 in 2019, including 137 deaths. The number of civilian casualties by FDI amounts to 245, of which 113 were killed in 2018 and 220 in 2019, of which 81 were killed. With regard to the force to which the military victims belonged, MINUSMA had 93 victims, including 8 dead, in 2018, and 49 victims, including 5 dead, in 2019. The Malian security forces had 187 victims, 51 of them dead, in 2018 and 148 victims in 2019, 48 of them dead. The other forces present, namely those of the G5 Sahel, EUTM, EUCAP and Barkhane, have had a total of 68 victims, including 25 dead in 2018 and 42 victims in 2019, including 3 dead. French troops engaged mainly in Operation Barkhane lost 27 troops in Mali between 2013 and the end of 2018. FDI led to the death of seven French military personnel.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u53	Mr President, I would like to thank the Minister for the comprehensive report and the explanatory statement.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u54	Minister, you recently reconfirmed after an oral question in committee and ask in the media the phasing-out plan which, after almost five years, provides for a gradual and progressive withdrawal of the security mission by the federal police. In a first phase, another 200 soldiers and a rapidly deployable reserve of 100 soldiers would be needed to support the integrated police. As of September 2020, the plan is for the police to re-implement the security of its sites. Only the nuclear sites in Flanders would require the deployment of 30 soldiers until a date to be determined, your answer was in the committee meeting of 18 December 2019. The federal police want a global agreement on this issue, including on a sunny level. Apparently there is still some defect and there is no global agreement, as the Minister of the Interior was surprised by your announcement as Minister of Defence. According to him, the issue was not yet discussed or discussed at the Council of Ministers and the number of soldiers on the street, as part of Operation Vigilant Guardian, would for the time being remain at the maximum of 550. What is the current state of the phasing-out plan? Has the plan been discussed at the Council of Ministers? If so, when and what is the result? Have you already had bilateral consultations with your colleague, the Minister for the Interior, and what was the result of that?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u55	Minister, the honourable Member has already outlined the situation in some detail. Of course, your ruling on 200 soldiers raises questions, especially as the Minister of the Interior was surprised. I also read the statement of Major General Johan Peeters that the phasing-out plan had been forwarded to the federal police. Something's not right there. In fact, I have the same questions as my colleague. What intentions are there with regard to the phasing-out? The most recent decision of the Council of Ministers concerned 550 people. In the meantime, was there a new discussion in the Council of Ministers or is the item on the agenda? How's the meeting with the federal police coming along?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u56	Mr.President, Minister, since January 2015, military patrols have been supporting the police in crucial places. At one point, there were even 1,800 soldiers on the streets. According to the latest figures I have in my possession, 415 soldiers would patrol permanently. However, the press reported that you wanted fewer soldiers on the streets, so you would like to respond to the military's demand that surveillance orders be reduced in Antwerp and Brussels. According to you, this number can be reduced to 200 actual people and 100 people on reserve. To implement this decision, you would only wait for the approval of the Inland FPS. Following this new announcement, your colleague in charge of the Interior said he was surprised. So, Minister, could you please indicate the status of the discussions between your ministry, your colleague and the Home SPF on the future of Operation Vigilant Guardian? How do you think it should evolve in 2020?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u57	Mr President, Minister, we know that with the developments of the OCAM alerts the question of the re-evaluation of Operation Vigilant Guardian arises regularly. That was already the case under your predecessor. However, during your visit, just before Christmas, to the soldiers whose remarkable work we welcome, you announced that you would want to reduce the number of soldiers on the streets from 415 to 200, in the coming months. This announcement raises some questions, even though I hear your willingness to consult with the Minister of the Interior on certain organisations already planned for the current year. Minister, what about the downsizing of our streets? Do we always do so? If so, under what organization and coordination with the Ministry of the Interior?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u58	Mr Minister, the issue has already been raised by several Members and it is of little use that I repeat exactly the same questions. The most important thing is transparency in communication with the outside world, but also internally. There is no way that two ministers can explain the total opposite. You should not underestimate the effect it has on politics and on the outside world. Minister, I would like to clarify this matter more clearly. I also want to know who spoke in turn.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u59	Since my intervention in the Committee on Defence on 18 December last year, nothing has changed about the phasing-out plan. At the moment 420 soldiers are still deployed 24 hours a day and seven days a week in support of the integrated police, of which 94 are available quickly. The plan negotiated between the federal police and Defense provided for a gradual and progressive withdrawal of the security orders by the federal police after almost five years in an initial phase, so that, from December 2019 onwards, 200 soldiers deployed and a rapidly deployable reserve of 100 soldiers would be needed to support the integrated police. As of September 2020, the police could carry out the security of their own sites. Only the nuclear site in Flanders would require the deployment of 30 soldiers until a date to be determined. This proposal was discussed at the interdepartmental level within the framework of the Strategic Intelligence and Security Committee and the National Security Council. The expression I had was meant to create a perspective. Indeed, I am one of those who believe that the role of the military, except for serious and exceptional circumstances, must gradually return to normal. That was the meaning of my expression. I have no doubt that this is part of the next government's discussions.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u60	Minister, your answer is disappointing. You said quite literally that nothing has changed since your statements in this committee on 18 December. In fact, I had hoped that in the meantime you would have had discussions and that results would have been achieved. Quod nun. I am particularly sorry that your colleague from the Interior does not show the same ambition. That will be understandable from his point of view, but it is very important for the defence sector to quickly reach a coherent agreement which will also produce results. Like your predecessor, you put a noble purpose first here. In practice, however, this leads to little or nothing at the moment because we do not see any change in policy. Together with you, we continue to advocate structural consultation so that in the short term, Defence can re-focus on all the challenges ahead. The importance of this will undoubtedly be clear to everyone. I therefore hope that the ministerial consultations will soon produce results.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u61	Minister, I can agree with you because I follow your vision. The message is clear, the threat level has fallen. In the statements of the people of the army one can read the doubts between the rules. Here in Parliament, several groups have raised this issue, indicating that many people feel the same way. I fear that this dossier is somewhat paralyzed by principled steadfastness. I hope, however, that you will be able to force a breakthrough. Everyone has their own job and there are other ways of guaranteeing security in our country.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u62	Mr President, I thank the minister for his answer. I agree with him: the place of the military is not in our streets, except in exceptional circumstances. What is wrong today is that all the savings made by the government, particularly on the federal police, mean that there are two to three thousand federal police officers who could fulfil this role. The Minister of the Interior, instead of being surprised, should, in my opinion, fight hicc and nunch and, certainly tomorrow if the CD&V is part of the next government – I am not guessing and cannot say it in the place of negotiators, informants and future trainers – because one of the stakes will be, alongside the military issue itself, that one.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u63	Minister, I understand that the threat level has fallen to level 2, but that certainly does not apply to all places in this country. For the N-VA, the safety and protection of our citizens is crucial. This means that the specific sites where safety level 3 applies must continue to enjoy priority protection for us. I am thinking of embassies and nuclear sites, but also of the Jewish neighborhood in Antwerp or the Jewish Museum in Brussels, where an attack has already taken place. After all, we are still living in times of terror and we must not rest on our laurels. I am therefore counting on you, as Minister of Defence, to give this priority together with your colleague for the Interior.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u64	Minister, in the context of staff shortages in the military, this is an interesting slope. It is now about six months ago, since the summer of 2019, that Defense announced that it would be looking for secondary schools where the Defence and Security programme could be offered. With the entire current hype around Kamp Waes I'm interested in getting an interim state of affairs. After all, I assume that, when a case was announced six months ago, there have been initial contacts with the school columns, especially since the training would start from the school year 2020-2021. So my question is as follows. What are the initial findings of the interviews? How is the initiative received by the domes? Has it been made clear from the first conversations? The planning was, as I mentioned earlier, to start in September 2021. Will that date remain the target? I also have a purely practical question. There were 15 Flemish schools. I'm assuming it's about schools all over the country. What is the situation on the other side of the language border?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u65	The lists in question have already been sent to Parliament.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u66	Mr Verduyckt, Defence is currently working on a project aimed at introducing a new area of study into secondary education. The course should allow young people to prepare themselves for a job in the defence sector or other stakeholders in the security sector, such as fire brigades, prisons, security and police by means of training and information. The first contacts with the Flemish and French-speaking Communities date from 2018. The initiative was warmly welcomed. Other security sectors, such as police, firefighters and guards, were also actively involved in the discussions. Defence has since continued to work on the project with a view to a start-up from 2021. The number of schools is 15 in Flanders and 15 in Wallonia and Brussels. That number is an estimate from the Defense Department. These are schools where the seventh year of Integrated Safety is being offered today. The interest in the subject will, in our opinion, grow progressively. We hope for a few dozen students per organizing school.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u67	Mr. Secretary, I haven't gotten much wiser. However, I hear that you are continuing with the initiative. I will continue to follow it, because I think it is an interesting piste. Mr President, you indicated that the lists were concerned. Where exactly can I find those lists?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u68	They were charged last time on the basis of earlier questions from Mrs Ponthier and Mr Francken.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u69	In that case, Mr President, I will find them.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u70	Mr President, Mr Minister, the subject was briefly referred to in the Special Committee for the Monitoring of Missions Abroad. We will therefore not go into the information that has been provided in camera. My question is more about what is published on your department's website. It states that in order to allow Iraqi military troops to secure their sovereignty over their territory, Defence continues to participate in the Building Partner Capacity program. Some 30 military personnel work there as advisers or assistants from a secure location in Iraq. However, in the face of the current context of extreme tension following the assassination of Iranian General Qassem Soleimani in Baghdad in an American air raid, the Iraqi Parliament called on the government to expel American troops from the country. The resigned Prime Minister Adel Abdel-Mehdi denounced "a political assassination" which left only two choices: "calling foreign troops to leave immediately or reviewing their mandate through a parliamentary process." I would therefore like you, Mr Minister, to indicate what analysis you are making of the situation and, above all, its consequences for the presence of the Belgian military on the spot. What position does our country stand in the international coalition against Daesh?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u71	Minister, like Mr Lacroix, I would like an update on the military situation in Iraq in response to the tensions there. I have the following specific questions. Has there been any change or the arrival of the Belgian military presence in Iraq? What security measures are being taken for the Belgian military on the ground? That is, of course, a very pressing question after the Iranian missile attacks on a number of bases. What is the future of the US military presence in Iraq today?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u72	Mr President, the death of Iranian general Soleimani causes intense tensions between Iraq, Iran and the United States. The language used by both Iran and the United States was mainly intended to appease its own supporters rather than seeking a direct military conflict. Both countries are currently demonstrating the will to resolve the crisis through diplomacy and do not seem to be leading to a further escalation of the conflict for the time being. Since its inception in 2014, the coalition against Daesh has achieved significant results. After the liberation of all the territories occupied by Daesh and the support given to the Iraqi security services, the effort now focuses on stabilization and reconstruction. The results achieved in the fight against IS still need to be anchored. The cessation of the coalition's activities is therefore not desirable at the moment. Although Operation Inherent Resolve's activities are suspended, all coalition members, including the United States, confirmed their continued participation. Belgium remains committed to the coalition, as confirmed by the decision of the Council of Ministers at the end of December to extend our military engagement. The Iraqi authorities have not yet announced any further steps to terminate the mandate of Operation Inherent Resolve. The legal basis for the presence of international troops is therefore currently unchanged. Despite the fact that the situation in Baghdad is considered calm, the leadership of the coalition has decided to temporarily stop all activities and move headquarters outside Iraq. There are no more Belgian soldiers in Iraq as part of operations Inherent Resolve and NATO Mission in Iraq, with the exception of a team in the Erbil region.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u73	Minister, thank you for your answers. You confirm that the anti-Daesh coalition was achieving significant and positive results, but unfortunately, on two occasions, unilateral decisions have called this coalition into question. I will not go back to the Kurdish episode, but to the Iranian episode. Fortunately, reason has taken precedence over the decisions of President Trump and the Iranian authorities. Otherwise, we risked a widespread conflict, while being aware of the Iranian nuclear dispute. I am pleased to hear that the situation is under control and that Belgium, together with the European Union, has made a positive contribution to the process of de-escalation. I hope that this state of mind will continue and that we will be able to continue this struggle against radical Islamism together and united.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u74	Thank you, Minister, for your reply. I fully agree with Mr Lacroix's reply.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u75	Mr Minister, according to the press, tests show that the Piranhapantser vehicles are not suitable for firing antitank munitions. The so-called arrow ammunition causes damage to the 90-mm cannon mounted on the vehicles. The 18 Piranha picnics we're talking about were purchased ten years ago. This led to big questions at the time, because the cannon and ammunition could only be ordered from Belgian companies. Moreover, the caliber was not a NATO standard. The questions raised at the time in the procurement procedure therefore appear to be extremely pertinent. Only CMI in Seraing produced the 90-mm cannon and only Mecar in Nivelles produces the ammunition. Nor is it the first purchase file in which questions can be asked. We have just talked about the transformation of the Pandur into a reconnaissance vehicle, but there are also problems with the NH90 and questions are also asked at the A400M. Firstly, what is the future of the Piranha people in the Belgian army? Normal ammunition can still be fired, but that's not their primary task. Will the vehicles be deactivated? Secondly, what anti-tank capacity will the Belgian army have in the future? Thirdly, what lessons can be drawn from the dossier?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u76	Mrs. Jadin is no longer here.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u77	Mr Minister, I learned from the press, as did my colleague, that tests showed that 18 Belgian army armoured vehicles were still not capable of firing anti-tank ammunition. The 18 Piranha vehicles had already raised major questions more than ten years ago. Unfortunately, I was not there, but I note that since my very recent entry into office - I was indeed elected last May - it is already the third issue that concerns military purchases. I'm thinking about Lynx or Pandur. I feel like I am living, as a new Member of Parliament, a surreal situation. I wonder when they're gonna tell me a frigate isn't floating anymore. Today, you have to make reasoned purchases. Public spending is compressed. Tens of millions of euros cannot be spent on a military purchase that cannot be used for the missions assigned to it. Minister, I wonder at different levels. Do you have any other inappropriate purchases from our army's equipment? Are you aware of any solutions to overcome the lack of tanks capable of firing these anti-tank munitions? Can you tell me what happens to the Piranha in our Belgian army? Finally, do you consider a new procurement procedure within the Department of Defence for future military purchases, so as not to duplicate the mistakes of the past?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u78	In 2006 Defence acquired Piranha AIV in various versions, including the DF90 version, at a unit price of €3.6 million. These vehicles constitute the motorized combat capability as set out in the 2000 Strategic Plan for the Modernization of the Armed Forces 2000-2015, approved by all existing government parties during the decision-making process. Piranha AIV's specifications clearly stated in 2005 that fighting heavy enemy tanks and armoured vehicles was not a primary task of Piranha-based motorized capacity. The Piranha DF90 is not a battle tank. His most important tasks are, in descending order of importance: direct fire support to Ascended Infantry, the destruction of reinforced enemy bunkers, the destruction of positions of machine guns and snipers, the creation of openings in buildings allowing infantry to pass, and anti-armour capability against older aggregation tanks and medium armored vehicles. For the procurement of Piranha vehicles, the Ministry of Defence strictly complied with the laws and regulations in force and consulted all the internal and external supervisory bodies, including the Finance Committee, the Parliamentary Committee on Purchasing and Sales and the Council of Ministers. Therefore, no errors can be identified. As regards the 90mm ammunition, several contracts were awarded to Mecar, since that company had a factual monopoly on ammunition for the guns. Since the Defence was not authorized to approve its ammunition until 2014, the first operational fire could not take place until 2017. It was on this occasion that uncontrolled and undesirable behaviour of the turret was observed. These are symptoms that have an impact on the operational nature of the weapons system and on internal and external security. The origin of these symptoms was deficiencies in the initial design of the weapon system, which had not previously occurred, given the absence of arrow munitions. After various test campaigns, the manufacturer proposed a solution with a combination of hardware and software adjustments. This solution was implemented at the end of October 2018 on the entire fleet. However, shooting with arrow munitions is accompanied by a particularly heavy load on the equipment, chassis and weapons system, and it could have a significant effect on the maintenance costs of the system. For this reason, it was decided in January 2019 not to fire with DF90 arrow munitions anymore. Arrow-type ammunition armored cleaning is only one way of carrying out the missions assigned to Piranha DF90. The main anti-tank capacity of the motorized capacity on the Piranha is provided by the DF30, previously based on the Milan missile and today on the Spike missile. The latter has an effective range of 4 km against enemy tanks and armoured vehicles. The Spike missile is also the main anti-tank medium of the Special Operation Regiment (SOR). In addition to the Spike, the motorized capacity and the SOR also have shorter range anti-tank weapons, such as the RGW 90. The capacity spoke will be retained until the Piranha roll-out. In the framework of the Capacité Motorisée, the strategic partnership with France, the Piranha will gradually be replaced by Jaguar and Griffon vehicles in the period 2025-2030. After the installation of the new vehicles, the main anti-tank capacity will be ensured by the mission la moyenne portée, integrated on the Jaguar and used on tripod. Since the Piranha are still in use and will be gradually replaced as early as 2025, the resale of Piranha vehicles is not yet relevant. Thank you.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u79	Mr President, Minister, it is clear that major mistakes have been made here. Defense's response is that the battle with heavy tanks is not the primary task of the Piranha armored vehicles. You have listed a number of other tasks, which are no less. A battle with heavy tanks can be an operational scenario in which the Piranha may be located. The Piranha must therefore also be prepared for this. I suppose this is also the reason for the purchase of antitank munitions. One might ask why antitank munitions are purchased if it turns out that the Piranha vehicles cannot fire them without causing damage to their own vehicle and to the cannon. That doesn't make any sense. We have already looked at a number of purchase files here. It is indeed a question of taxpayers' money. We must be careful and consider all the scenarios carefully before we make decisions on expenditure. I know that Parliament plays a role in this. Mr President-in-Office, you will agree with me that Parliament sometimes lacks the expertise to look at all this at technical level. Perhaps we need to get some more external expertise, which is independent of Defence, in order to be able to better assess these types of dossiers.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u80	Minister, thank you for your detailed answer. Unlike you, I see significant errors in this and the others I have cited. We will need to act with caution for our future military purchases. I welcome the committee meeting which will take place on 19 February with hearings on the Pandur and Piranha dossiers, which will certainly provide us with further answers and questions to solve these various problems for our future purchases.
