ParlaMint-BE_2020-09-22-55-commissie-ic263x.u1	Debates of the European Parliament 55008004C by Mrs Thémont was postponed.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u26	Minister, thank you for these answers. It is difficult to mention the issue of deforestation and the major risk that this phenomenon poses to the planet without thinking about the Mercosur agreement that is advancing at European level, despite the positioning of some Member States. In this regard, I still find it difficult to believe that all the networks of experts can be set up and all the measures that can be imagined to protect themselves from the risk of deforestation, while at the same time making progress towards the signing of this Mercosur agreement. In this regard, it will not have escaped us that the newspaper Le Monde had access to the conclusions of a report sponsored by Édouard Philippe, former Prime Minister of the French Republic. The report considers that the Mercosur Free Trade Agreement represents a "missed opportunity". The expression is cited in the report. The authors' hypothesis is that the annual deforestation of 5 per cent over the six years following the establishment or implementation of the agreement, i.e. 700,000 ha. Based on the assumption that the environmental cost should be measured from the additional CO2 emissions at a unit cost of $250 per tonne, the document concludes that the cost will be higher than the expected economic benefits. Therefore, the environmental cost of $250 per tonne will be higher than the expected economic benefits of this free trade agreement. The experts mainly base their reasoning and calculations on deforestation caused by the creation of pastures to increase beef production in the Mercosur countries, an increase that would be encouraged by this free trade agreement, since this beef production activity is often the first step in deforestation before giving way to agricultural crops. You see, Madam Minister, that we are returning to this famous agreement on which we are going to have to be particularly vigilant.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u27	Mr President, Madam Minister, this is not the first time that my colleague Barbara Creemers and I have asked you about this. As you know, in accordance with the new Royal Decree of May 2019, the four federations introduced a five-year recognition procedure and were waiting for a response by May 16. I don't know if the situation has been cleared up recently. By September 1st, the federations are expected to submit their request for funding for 2020, which is already well advanced. Without recognition by that date, the federations will have suffered a further loss of subsidies for this year and will have found themselves in a situation of administrative insecurity. In our previous discussions, you explained to us that you could not make the decision on their five-year recognition as you are a member of a government in day-to-day business. According to you, the question of recognition would de facto involve a five-year financial commitment that only a full-year government could take. Minister, given the situation, have you been able to extend the deadline for applications for funding beyond September 1? Can you develop further the legal arguments that lead you to consider that the question of recognition of these cupolas necessarily involves a financial commitment for the government? Indeed, I find it difficult to understand why the two aspects are linked when they are two separate procedures: the request for recognition on the one hand and the request for subsidies on the other. Beyond this question, in the face of the deadlock experienced by these four cupolas, what solutions have you been able to present to them that respect both the limits of your powers as a member of a government in day-to-day affairs and the need to ensure the survival of these four cupolas?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u28	Mr President, Mrs de Laveleye, I understand that you are asking the question on a regular basis, as well as that I understand the concern of the representatives of these cupolas, who have all come to ask me personally at my office, or that I have met again at one or the other event. However, as I have said on several occasions, the situation has unfortunately not changed. It is no longer my day-to-day government in which I am involved that it is up to us to engage the future government, which I hope will come soon. Indeed, the decision to be taken will have a budgetary impact. Although you feel that the two aspects are distinct, in reality one does not go without the other: recognition is ipso facto having significant budgetary consequences, ranging from 400 000 to 1 million euros for a period of five years. For this reason, I cannot, in view of the budgetary technique – that is to say, the consequence of recognition – separate one from the other as if nothing were happening and engage the finances in a current business context, when this is a jurisdiction that is exclusively the responsibility of a full-function government. Fortunately, this full-function government should come into being soon. I therefore ask you to show some patience.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u29	Minister, this is probably our last inquiry on this point. Unfortunately, I must repeat that we do not share your legal analysis. Of course, you have a competent cabinet for this purpose, but, as a Member of Parliament, I am also at stake for development non-governmental organizations (NGOs) funded by the federal government. These NGOs have no difficulty in obtaining five-year recognition. It is clear that five-year recognition and the promise of subsidies are two different aspects. The lawyers consulted on this file do not make the direct link that you continue to establish between recognition and funding. On the other hand, I would have hoped, from the time when the deadline of 1 September had passed, that an administrative solution or perspective had been given to the federations. We can understand the embarrassment in which they find themselves in the absence of perspective. I am therefore somewhat disappointed that your teams did not send them a concrete proposal, even if they had to postulate this proposal if the formation of the government was difficult to achieve. I hope, however, that this will not be the case. Finally, I really think that this blockage is not a good signal. Everyone agrees that the collapse of ecosystems and climate change are the greatest challenges facing humanity, and we cannot, at Belgian level, grant the necessary recognition to platforms that fight day-to-day for the defence of our climate and our environment. I sincerely deplore this situation.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u30	Mr President, this question is very similar to the question put by Mr. Ben Achour. Minister, in early July, the NGO WWF reported that a cargo ship, the Pacific South, from Brazil, had landed in Amsterdam. On board this vessel was a large shipment of Brazilian soybean destined for the European Union market. According to a study by the same NGO on the weight of Belgium in global deforestation through its imports and consumption of agricultural and forestry products, Belgium imports an average of 2.5 million tonnes of soybeans per year. Of these, 64 per cent come from land at high risk of deforestation - mainly in Brazil, Argentina and Paraguay. For the record, forests are home to 80 per cent of the global terrestrial biodiversity. Deforestation and land-use change account for 12 per cent of greenhouse gas emissions. The link between biodiversity protection and the fight against climate change is clearly expressed here. Amnesty International Belgium warns about beef imported via JBS, a multinational based in Brazil, the world's largest beef producer. Amnesty found that cattle illegally raised in protected areas had entered the multinational supply chain. According to the Attorney General of Brazil: "Today no company buying in the Amazon can claim that its supply chain does not contain livestock from deforestation." Minister, are we capable of effectively tracing products imported into Belgium from Brazil and the Amazon in general? Can we tell what share of Brazilian imports into Belgium is suspected of participating in the deforestation of the Amazon? What means of reducing the environmental impact of imported products are you considering? Have you been able to move forward on a national strategy to combat imported deforestation? The European Commission has launched a public consultation on deforestation and forest destruction, called Reducing the Impact of Products Sold in the European Union. Were you able to follow the process of this consultation? What's the status? I realize you've already answered a lot, see how you want to go as fast as possible. Thank you.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u31	Mr President, I have already answered a lot. Dear colleague, I refer you to what I said to Mr. Ben Achour. I would simply say, in order to give Belgium's point of view and to make my proposals even more precise, that Belgium, for about a year now, has been participating as an observer in the Amsterdam Declarations Partnership meetings, the aim of which is to combat deforestation linked to the importation of several commodities, in particular soybeans. In preparation for Belgium's voluntary commitment to COP15 of the Convention on Biological Biodiversity, discussions are under way on the integration and participation of the financial sector in these commitments. The aim of such participation is to involve the sector in Belgium and its portfolio in the protection and preservation of biodiversity in Belgium and abroad. My administration is also part of the task force chaired by the SPF Finances within this framework and bringing together all Belgian actors. This was more of a response to Mr. Ben Achour. In the answer, you were grouped together. So I can send you both the complete answer so that you can take back the elements that interest you in particular.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u32	The questions were not identified as joint questions.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u33	My administration has given me a common answer.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u34	That's perfect! Mr. Ben Achour had stressed the risks associated with free trade agreements with Mercosur. It seems to me that there are a lot of things going on: the COP on biodiversity is approaching, reflections at European level... I'm afraid it's 15 years late, but maybe it's never too late to start. However, the messages must be clear. With regard to the principle of due diligence: it is really time for Europe and Belgium to lead to the mechanisms of control of the entire supply and production chain of companies. There is also a need to move forward on sanctions mechanisms. I do not think it is acceptable today for private companies to remain so uncontrollable in their way of doing business and thus undermine our health and even our future on this planet. It is urgent that we find mechanisms to control the financial and economic systems. Thank you for sending us the full answer.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u35	Madam Minister, last week Mrs von der Leyen set out the path in her State of the Union for a complete transformation of our way of life, working and living. Our committee chairman has already questioned the Prime Minister in plenary. However, I would like to zoom in a little bit more on the procedure. You know that a European climate law was proposed at the beginning of March 2020. Twelve Member States asked for an impact analysis to be published as soon as possible, by June 2020 at the latest, so that the debate on raising the 2030 targets could start as soon as possible and the EU could decide on the increased European level of ambition. There were also questions to clarify the delegated acts. For this purpose, the opinion of the European Council's Legal Service is considered useful. Belgium has also asked why these delegated acts would be necessary in the future. You are aware of the problem, Madam Secretary. Emissions should be reduced by 55% by 2030 instead of 40%. The Belgian National Energy and Climate Plan recorded a reduction of 35%. At the level of the Flemish Region, only 35% reduction is sought. However, Belgian emissions should now be halved by 2030 in order to reach the new European figure. I have the following questions. Firstly, what work has been done on the European climate law within the International Environment Policy Coordination Committee in the last five months? Secondly, has the European Commission and the legal service of the European Council already clarified the issue of delegated acts in the context of the European climate law? Is there a definitive Belgian position on this? Thirdly, what does the European Commission's new proposal for a 55% reduction in emissions for the Belgian NEKP mean? What are the procedures for the next few months?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u36	Mr President, Madam Minister, on 16 September the President of the European Commission, Mrs Ursula von der Leyen, delivered her speech on the state of the Union, in which she outlined her priorities for the future. These include the environment and climate through the Green Pact for Europe. The President of the Commission has proposed to reduce EU greenhouse gas emissions by 55% by 2030 compared to 1990 levels, against a current target of minus 40%. The objective is part of the broader plan to make Europe the first carbon-neutral continent by 2050. In this spirit, the €750 billion European Recovery Plan agreed by the Member States in July to break out of the VOCID-19 crisis will be financed by 30% green bonds. On the other hand, our fellow MEPs in the Environment Committee have recently called for the inclusion of a 2030 target of less than 60% in the European climate law, while the main environmental organisations argue that a scientific reduction of at least 65% is needed in order to have a chance of complying with the Paris Agreement. In the meantime, however, the European Union continues to have more ambitious targets, while Belgium, for its part, is limited to a target of 35% by 2030, compared to 2005. Minister, what is your analysis of the new ambitions of the European Commission to reduce EU greenhouse gas emissions? Do you intend to review Belgium's climate objectives? If so, how do you intend to do this? Is an inter-federal dialogue already planned on this subject?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u37	Madam Minister, as has already been said, Ursula von der Leyen has paid a great deal of attention to the climate in her State of the Union. I think that is a very good signal in itself. It would have been very easy at these times to talk only about the effects of the corona epidemic and about the economic consequences associated with it. It does not lose sight of the important policy focus in my view, the climate. When we talk about flatting the curve, this applies not only to corona but certainly also to the climate. Colleagues have already referred to her statements. They dealt with the increase in the percentage and also with the green bonds, which Germany states will be making full use of. One third of the planned aid will run through these bonds. When I heard those statements, I was wondering how you think our country should respond to them? Are we ready to go along with this policy? What do you think are the main concerns for Belgian climate policy in the coming months and years to join in this increased European level of ambition?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u38	Mr President, Madam Minister, on 16 September, during her speech on the state of the Union, Mrs Ursula von der Leyen, President of the European Commission, announced the Commission's willingness to raise the target of reducing greenhouse gas emissions to at least 55% by 2030. I would remind you, even if it has already been said, that the initial target was 40%. The President of the Commission stressed that this new objective was both ambitious, achievable and beneficial for Europe. Indeed, the European Commission has commissioned an impact assessment which shows that European industry will be able to achieve the increased ambitions in terms of reducing greenhouse gas emissions. Mrs von der Leyen is determined when it comes to fighting global warming and advancing the Green Pact for Europe launched by the European Commission in December 2019. Minister, the goal is to achieve carbon neutrality by 2050, which is one of the cornerstones of the European Green Pact. So how does our country welcome this increase in European ambitions? A study detailed the economic impacts and regulatory measures envisaged under the European Climate Act. Have the various States of the European Union been involved in this study and in the reflection on the subject? The target of reducing emissions by 55% by 2030 is a target validated by the European Parliament. Has a study been carried out on the impact of this reduction in Belgium? If so, what does it show? Is this goal achievable for our country?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u39	Mr President, I shall first give an answer in Dutch. Gentlemen Ravyts and Verduyckt, the work on the European climate law continues unabated. While meetings at European level have been somewhat hampered by the health crisis, meetings of the Council of the European Union's Environment Working Group are being organised on a regular basis by digital means. These meetings are prepared by the experts of the Belgian CCIM. A proposal of Belgian position was also prepared, which was discussed at an ad hoc DGE meeting in the Foreign Affairs Council. During this meeting a Belgian position was established for a number of elements. With regard to the question of delegated acts, many questions were, of course, put to the Commission during the European discussions for clarification. It is now clear that there have been many misunderstandings on this issue. It was not the intention of the Commission to define formal European objectives by means of these delegated acts. They were only intended to be used to define a trajectory, not to formally define objectives, but as a tool to evaluate progress. Moreover, the Council's legal service made it clear that the definition of formal objectives through delegated acts is not legally possible, because delegated acts can only be used for non-essential elements and because the adoption of formal objectives is a prime political exercise and thus belongs to the co-legislators, in particular the European Parliament and the Council of the European Union. The question of delegated acts seems to be out of date, as the German Presidency has now published a first compromise proposal which no longer envisages adopting the route through delegated acts. Finally, it is clear that the review of the European targets for 2030 will be translated into sectoral targets, in particular the ETS and non-ETS targets. The Commission has announced that it will make proposals next year to review, inter alia, the ETS Directive and the Efficiency Sharing Regulation on the basis of the revised 2030 targets. It can be expected that at least part of the envisaged efforts will be undertaken within non-ETS, which would logically imply an increase in the Member State's targets. However, this does not have to create an additional practical problem for the preparation of national energy and climate plans, since the European legislation "Governance of the Energy Union Regulation' provides for an update of national energy and climate plans by 30 June 2024, in which these new objectives can thus be taken into account. This update is also in line with the ambition mechanism set out in the Paris Agreement, which will re-examine the global level of ambition and should lead to a possible new revision of the Nationally Determined Contributions. The fact that a NEKP, together with the recommendations of the European Semester and the Territorial Just Transition Plans, guides the receipt of the funds from the European Recovery Plan Next Generation EU is also an important signal for Belgium to further concreteise and strengthen its NEKP where necessary and accelerate the implementation of the measures already taken. Mrs Hanus and Mr Bombled, I am pleased that the European Commission has published its communication Stepping up Europe's 2030 Climate Ambition, in which it proposes to increase the level of ambition. In this communication, the Commission also puts forward ideas in relation to the general architecture of European climate policy. My services are in the process of analysing in depth the Commission's proposals and recommendations, in order to feed the Belgian position on all these issues, which will be very decisive in the coming weeks and years. Compared to the level of ambition for 2030, I hope that we can quickly reach agreement at Belgian and European level so that we can update the determined contribution at national level. This is a European standard which must be determined before the end of this year, as foreseen in the Paris Agreement. I am pleased to note that the level of ambition that the Commission proposes, at least 55% reduction in greenhouse gases in 2030 compared to 1990, is precisely the level on which this House, your House, voted in its resolution of 20 December 2018 on the repositioning of Belgium in the climate debate. As I said at the meeting of this committee on 15 April, the federal government defends this Belgian position in discussions with the federated entities. The Brussels and Walloon governments share this ambition and have taken it up in their respective government agreements. Several of our neighbours and strategic allies in the Council and in the European Parliament also defend this significant increase in ambition. I hope that the Flemish Government will also be able to join this path of raising ambition as quickly as possible. I have a paragraph in Dutch that I will translate directly. The 55 % reduction in greenhouse gases proposed by the Commission in relation to the 1990 figures should be divided between the ETS and the non-ETS. For the final objectives of the Member States, we must probably wait until 2022. But we must already pay attention and take into account the rise of these ambitions through the implementation and updating of the Energy-Climate plans. The rise in European ambition is emerging and it is now certain that Belgium will have to contribute to this recovery. This is very important to our country. Indeed, in order to achieve climate neutrality in Europe in 2050, Belgium cannot hide behind the other Member States by asking them to do more in the short term, while we must all decarbonize in the long term. Our societal fabric, our businesses, our young people need a clear framework and perspective, a vision that gives them these perspectives and opens up opportunities to find solutions, innovate and transform. We cannot miss these opportunities while waiting for others. We need to move forward. I am convinced of the enormous potential of such a transition dynamic in terms of economic progress and the development of new jobs and technologies, particularly in the field of the circular economy and energy. We must therefore, without delay, prepare ourselves to strengthen Belgium's objectives by operationalising and strengthening the PNEC, by revising, as agreed in the conciliation committee, our long-term strategy, the formal framework for inter-federal discussions on the subject and the National Climate Commission, which, unfortunately, until now has not been very effective. But, as I announced last June, since the federal government has recently held the chairmanship of the National Climate Commission, I will organize an intercabinets meeting as soon as possible to address the priority political issues on this subject and therefore this speech by the President of the Commission, Ursula von der Leyen.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u40	Madam Minister, as far as those delegated acts are concerned, there is a modest reassurance, as they would now be removed by a German proposal. However, the short term is much more important. In the second part of your reply, you stressed the need for an intra-Belgian agreement to strengthen the NEKP. We find it worrying that the energy intensity in Flanders is not valued by Europe. Is there an impact study for Belgium yet? Are we sure we can handle this? Like the Flemish Government, I have my doubts about this. I wish you every success, because in the next few months, perhaps with another minister, this will once again be well served with the Flemish Government.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u41	Minister, thank you for your answer. I have taken note of the resolution you mentioned in December 2018 and will try to obtain a copy of it. In any case, I can only welcome the ambition of the Belgian objectives. Of course, we could always go further, but I thank you for the clarification you have given today.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u42	Mr President, Madam Minister, I would like to hear that there is no lack of ambition. However, you referred to other levels, where that level of ambition is not always the same. The determination is, of course, and will remain, the same as we are talking about the intra-Belgian agreement on climate policy in this country, because of our state structure. Of course, that is very regrettable. However, I find the following much more important today. And that is why I asked this question. In these times, it is important for political actors to give a signal, as Mrs von der Leyen did, to say that we must not lose that focus. The economic consequences of COVID, which will undoubtedly be there, and the climate problem are not two separate data. Mrs von der Leyen also points out that the renovation of buildings and the like is a key to economic recovery, but also to making our buildings more sustainable. She also talked about green bonds. So there are a lot of opportunities. I hope that the opportunities that exist today will be seized by everyone in the coming months, including in this country.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u43	Madam Minister, thank you for your answer. The Green Deal focuses on the goal of making Europe the first climate neutral continent by 2050. Although further efforts are needed, they are likely to achieve the new target of reducing greenhouse gas emissions set by the European Commission. This can be achieved not only through the policy pursued by the Member States, but also through the willingness of the employers to do so, whether they are SMEs or some major global groups. It will be up to Belgium as a whole and the other EU Member States to demonstrate that technological means, skills and investments will achieve the objectives set and, in particular, promote the development of the circular economy with carbon neutral production by 2050.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u44	Mr President, Minister, some Members have just referred to the European Recovery Fund for Next Generation EU. Within that fund, a whole range of new financial instruments and programmes have been proposed in recent weeks for investment and reform. On 9 September 2020, the press stated that EUR 4.8 billion of European subsidies would be waiting for Belgium. Meanwhile, this message has been adjusted to EUR 5.15 billion. Important for the Energy Commission is that one third of that amount should go to green investments in the framework of the Recovery and Resilience Facility, an important component of Next Generation EU. Member States should submit their projects by mid-October 2020. The offshore sector is, of course, awake in that story. Two weeks ago he issued a press release on the industrial opportunities in the post-COVID-19 relay policy, i.e. on the Green Deal. There is also the roadmap of the offshore renewable energy strategy, which states that the Next Generation EU instrument "will be based on investments in line with the Green Deal priorities as key drivers for European jobs and economically sustainable and inclusive growth." Madam Minister, can you give an overview of the possibilities for European investment funds in your policy area in the broad framework of Next Generation EU? Is that limited to offshore for your policy area? Can you confirm the information I have quoted on this matter? Can you explain the procedure whereby projects should be submitted by October 2020?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u45	Mr President, Mr Ravyts, the next generation EU can indeed bring about substantial subsidies for Belgium, where our country could claim some EUR 5 billion of subsidies, of which EUR 3.88 billion from the Recovery and Resilience Facility. Thirty percent of the budgets of the multiannual financial framework and the recovery fund are earmarked for climate, while the climate challenge is mainstreamed in the budget. For the Recovery and Resilience Facility there is even 37 %. Moreover, all EU expenditure must be in line with the objectives of the Paris Agreement and lead the do-no-harm principle (...) EU budget. Recovery and Resilience plans or national recovery plans should be submitted to the European Commission by 30 April 2030 at the latest. A draft may be submitted in October, if required, together with the national draft budget. It is important to take advantage of this opportunity, because it will allow faster support from the Commission. As you know, the national recovery plan is currently one of the priorities for federal government formation. It is therefore encouraging that the negotiations are now approaching the final stage, because progress must be made quickly in order to obtain tailored support and expertise from the Commission in the form of a technical support instrument for the preparation and implementation of the recovery plan. In order to benefit from this aid, Belgium must submit an application to the European Commission by 31 October at the latest. Next Generation EU includes the following funding programmes: Recovery and Resilience Facility, REACT-EU, Horizon Europe, InvestEU, Rural Development, Just Transition Fund and rescEU. As the European Commission, the Council of the EU and the European Parliament insist on green transition and sustainable recovery, and energy, environment and sustainable development are within my remit, the funding programmes relating to recovery are also in my policy area. In this context, I would like to emphasise that, in order to claim EUR 3.88 billion in European grants, our national recovery plan must be in line with the recommendations of the European Semester, the National Energy and Climate Plan and the territorial Just Transition plans. The underlying logic is, of course, that investment is needed for climate and energy transition, which have a high multiplier effect in terms of employment, GDP growth, economy and ecology. With regard to the Belgian national recovery plan, I see a specific role for public investment in infrastructure, both in terms of the renovation of the building stock and in terms of sustainable transport and mobility. Moreover, investment in renewable energy, circular economy, innovation, research and development to reduce environmental impacts will be essential for the industrial sector to move towards a sustainable recovery. We must, of course, also create an investment climate that also encourages private investment in the climate transition. The gradual introduction of a budget-neutral carbon price and phasing out of subsidies for fossil fuels, both of which are the subject of decisions under the Belgian NEKP, would be a good step in this direction.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u46	Madam Minister, I would like to thank you once again for setting out the general framework for the EUR 3.8 billion of the Recovery and Resilience Facility programme. Your policy areas will have an important role to play in the national recovery plan to be presented next month. I have already indicated that the 6 gigawattuur to offschorewind in the Belgian North Sea by 2025 can be an important beacon in this matter. We shall certainly return to this European programme in this committee over the coming months and years.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u47	Mr President, Madam Minister, this Friday, September 4th, Elia presented the draft route of the "Hainaut Circle". As a reminder, Elia wants to implement a new high-voltage line across the province of Hainaut. The purpose of this 380 kV link is to link Avelgem and Courcelles. For many months, several cities and municipalities involved in the development of this new line have expressed their concerns. They regret the lack of transparency and dialogue on the part of Elias. They also denounce the fact that Elia has not yet demonstrated the interest of such a project. For these cities and municipalities, this project is irreconcilable with the preservation of the quality of life of the inhabitants and will have an impact on agricultural land, tourism and the environment. In addition, some cities have defined fundamental objectives in the communal development scheme that are absolutely not respected in the draft route published by Elia. The project also runs counter to the recently approved territorial development scheme of the Walloon Region, since one of the strong pillars of this scheme is precisely to rationalise the transport of fluids, energy and telecommunications with a view to preserving the agricultural areas of the sector plan. It is essential to carry out studies on the impact of this line on agriculture, health and the environment, and I am moving on. The affected cities want Elia to focus on alternative solutions to ensure the well-being of boring citizens. I am speaking very well here, Madam Minister, about the citizens of Hainaut, because I am not questioning you as leader of a Socialist group in Soignies, but as a Member of Parliament, concerned about the common good. My local fight goes beyond Soignies and his villages. Indeed, I hope that alternative solutions can be found, which must not put the burden on other cities and municipalities. At the moment, it is a veritable sweep through our beautiful province of Hainaut that is proposed. I plead for a credible, concerted and unimposed solution. For now, that's the feeling that local authorities have. I also call for full transparency in this debate, for transparency that is lacking and for which there are many rumours that are swelling and that are becoming clearer. All this is not good! Minister, can you present us with the real interest of such a project? There is often talk of a mandatory obligation to ensure network stability and to transport green energy. Is the first statement based on recent studies, and if so, what? For green energy, it is known that this is the most commonly used marketing argument; but what about it? What were the different options considered? Is another project being considered? If so, can you tell us more? Have you met with the federated entities about the project of this line? If so, can you tell us more? Finally, at a meeting with the mayors and Walloon minister Jean-Luc Crocket on 4 July, Elia was asked to involve Professor Damien Ernst in the further study. What about his report? At the time, Minister Cucke had advocated a permanent and transparent dialogue with local authorities. Unfortunately, today it is clear that it has not been heard.
