ParlaMint-BE_2020-01-14-55-commissie-ic086x.u1	Minister, ladies and gentlemen, best wishes! Beste wensen!
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u38	Mr Ravyts, Mrs Vindevoghel, I would first like to stress that I am very concerned about the centres for interned people. I regret that there are problems in that new building, which is closely followed by my staff and by the Directors of the Buildings. In the autumn of 2019 I even received the psychiatric staff from the FPC to listen to their concerns about the doors. Following the incident at the end of 2019 additional tests were carried out on a number of room doors. On this basis, it is assumed that a combination of very specific circumstances and factors, such as vandalism, slight wear and tear of the rubber seal and small performance tolerances, caused a problem at some point between the magnetic contacts of the door blade and the lock, which allowed it to be opened. That problem has so far arisen at only one door and the security situation is under control, which does not prevent the cause of the problem from being addressed. On the basis of the tests, a technical proposal was drawn up for the doors of the room, with a view to resolving the problem definitively. Their roll-out will take place as soon as possible, depending on delivery times. With regard to the problem with the circulation doors, most critical faulty doors - 27 pieces - were replaced. Now that the result of the technical expertise is known, a plan of approach is being prepared to replace 84 door frames, where the same problem may arise. Three of them will be replaced by the end of this month. The exact cost of the repairs is not yet known. On the basis of the report of the laboratory investigation, the liability of the various parties concerned can be determined. This will form the basis for the allocation of costs. For the sake of clarity, there will be no waiting to implement the solution. As it is important that all the partners concerned are properly informed, an initiative was taken for a consultation on 21 January. All measures taken and to be taken by the Government of the Buildings, as well as their timing, will be explained to management and trade unions. A different type of door and lock was used in the FPC Antwerpen. As far as I know, no problems were reported with the doors in the FPC Antwerp until today.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u39	Thank you, Minister, for your reply. I note that there will be a new consultation on 21 January, where staff will be informed in detail of the initiatives already taken and to be taken. I also understand that technical expertise has already led to an analysis of the situation and that there are now delivery deadlines. We'll follow up on the file.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u40	Thank you, Minister, for your reply. We hope that there will be a solution to all these problems as soon as possible, so that both the staff and the people who stay there can work and stay in a safe environment. After all, it is not the first problem. The same problem occurred in August.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u41	Minister, on 12 December the Brussels Government decided to protect the Chinese Pavilion and the Japanese Tower and the garden as its heritage. The Royal Commission for Monuments and Landscapes has delivered a positive opinion. The Government of the Buildings also responded positively to the ranking. Minister, I have a number of questions about this. First of all, how do you look at that positive advice? Secondly, what is your view on the classification of these buildings and the urgency of the restoration? Thirdly, we know that the Government of the Buildings has already done study work on this in the past. That was Origin, if I'm properly informed. I wonder whether this has already led to a concrete plan of action for the possible renovation of both buildings? Are you prepared to make the necessary budget available? Fourthly, has this been discussed with your Brussels colleague, Mr Smet? If so, what has been the outcome of this consultation? Fifth, do you have a positive attitude towards the slopes to attract private sponsorship for this project? Sixthly, has this project been discussed during the trade mission in China? Is there any interest in working together on this renovation from China? If so, are you interested in that?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u42	The Japanese Tower and the Chinese Pavilion are the property of the Royal Gift and are managed by the Government of the Buildings. The Royal Gift has been making both sites available to the State for years, in particular through the Government of the Buildings and the Royal Museums. These are historic buildings with an important place in Belgian history and a great patrimonial value. With this classification both the facades, the interior and the surrounding garden of both buildings are now protected. It is an additional assurance that these buildings can be visited by future generations. For the Chinese Pavilion, the study firm Origin has already been designated. The study consists of two parts. In a first phase the urgent works were described. The complete renovation will then be completed. This first phase will start in the course of next week with the publication of the urgent structural security works. These works will therefore be launched this year. The necessary budget was reserved for this purpose. In parallel with this implementation, the general renovation study will also be continued this year. For the Japanese Tower, the study is ongoing for the renovation of the pedestal on the ground floor. Security works will also be launched this year, with a monitoring system with camera surveillance and perimeter detection. For further renovation, the study assignment has yet to be launched. So far I have not been contacted by my colleague in the Brussels Government, Pascal Smet, to talk about the dossier. No concrete proposals have been made in the area of private financing. However, I am, of course, open to any proposal that can offer a solution that is suitable for all parties.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u43	Mr President, Minister, thank you for your reply. It's a project that interests us. We'll keep following it. Only the question about the Chinese trade mission has not been answered.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u44	Mr Minister, since the beginning of this year, the Buildings Regie has denied motorists access to the Esplanade of the Cinquantenaire Park. It will be closed for at least three years. The spokesperson of the Regie mentioned the roof works on the buildings as a reason for this decision. There is a fear of obstruction and danger of car traffic in the square. I wonder whether it was examined whether a partial closure or marking of the site could have minimized the safety risks rather than completely abolishing the parking lot. Does this also mean that the site will be fully opened up after the completion of the works when the safety risks no longer exist? This also means that hundreds of cars will have to park somewhere else. Has this been discussed with local and regional mobility services? What did that lead to? Is the complete closure of the site an own initiative of the Government of the Buildings? Or did this come at the request of the municipality or the Region? Finally, how were the Cinquantenaire Museums involved in this decision? What impact is expected on the accessibility and visitor figures of these museums? I look forward to your answer.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u45	Mr Roggeman, since October 2018, the roofs of the buildings in the Cinquantenaire Park have been under construction. In addition to the renovation of all these roofs, the lighting of the buildings is renewed and the fence around the park is restored. All these works require security measures. In order to ensure the safety and continuity of the works, it is necessary to safeguard both the entire esplanade and the passage under the arcades. This can no longer be guaranteed in the current situation. The safety of visitors, hikers and cyclists was always set out. As the yard area changes several times, depending on the stage of the works, and many other yards will start in 2020, it is impossible to run all these yards simultaneously with a possibility of parking. This was discussed with all interested parties: the institutions that are housed there, the Brussels Region, the Brussels Environment, the police zones and the mayors of Brussels and Etterbeek. The decision of this consultation was that the entire site during the duration of the works is not accessible to transit traffic and to unauthorised persons only subject to permission. This decision was not taken solely by the Government of the Buildings. All stakeholders of the site were involved. They were asked about their concerns and needs. Moreover, the esplanade is not a public road, but a private domain with a public character. After the work, the situation will be reviewed and evaluated. For the bus, metro, cyclists and pedestrians nothing changes. The site remains accessible to the staff of the museums concerned, visiting buses, disabled persons, deliveries, events and emergency services. The Government of the Buildings has, in cooperation with the authorities concerned, drawn up a accessibility plan which is on the website of the three museums. There are also public parking facilities nearby.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u46	Thank you, Minister, for your reply. It is positive that the opening-up of this area will be re-examined when the work is completed. Furthermore, the mantra safety first applies.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u47	Ladies and gentlemen, Minister, I would suggest that we take up Mrs Vindevoghel's question on point 16. Then I shall return to Mrs Verhaert's question on point 10 and then point 17.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u48	Mr President, at the beginning of this year a water quality test revealed the presence of legionella bacteria in the IBM of Paifve in Wallonia. These legionella bacteria can cause legionellosis, a deadly lung disease. To prevent an epidemic, access to the showers is prohibited. It is therefore a serious threat to public health, to the internals and staff of the institution. The Government of the Buildings confirms that the problem arises from the preventive water treatment system against the bacteria. The chemicals used so far no longer meet the standards in force in Belgium, so that the use of another product is necessary, but the pumps used in the plants are very sensitive to the new product used and therefore need to be adapted. As a result, the water treatment system can no longer combat legionella effectively. The construction director has therefore decided to implement a temporary emergency solution, consisting of shower heads with an antibacterial filter pattern. The incubation period of legionella is 2 to 19 days. So there may still be cases of infection. How will the interned and staff involved be monitored, given the flu-like symptoms of legionella and the predicted normal flu epidemic? How long will the showers on the site for the interned be put out of service? In the meantime, can they wash themselves? How's that going? What structural measures will be taken on the ground to prevent future infection with Legionella bacteria and within what time limit? What is the situation in the other detention centres? Are similar infections possible there by using the same water treatment systems? How often is water quality measured in detention centres? Are those data accessible to the public?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u49	Mrs. Vindevoghel, no cases of legionellosis have been reported. Both the medical service and the staff concerned are aware of the problem and alert to symptoms. In this context, a service note was prepared by the Executive Board. A short-term solution was worked out on the spot last Friday. It is about carrying out a chemical treatment, putting the pumps back into operation and placing filter elements on the shower heads. The first two steps are already in progress. The filter elements were ordered, but can only be delivered tomorrow. After installation of those elements, the showers can be used again. After that, new tests will be carried out. To avoid any risk, the filter elements remain installed pending the results of the analysis. At present hot water is distributed on cell by the device, so that the internees can wash in the cell. In order to replace the existing system, an ionisation system will be placed. Five companies were asked for a bid by January 27, 2020. After the administrative handling of the file, the system can be installed. The Government of the Buildings will soon report the exact timing to the prison. The installed systems vary from prison to prison. Some have a dosing pump or a system with ionisation. No automatic water testing shall be carried out, but in case of doubt, water quality tests shall always be carried out.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u50	Minister, Geel built a peace dish on the Ecodroom site in 2009. The peace dish would be moved to a more modern building. The city invested 1.4 million euros for this. On 4 May 2015, after a long period of vacancy, the College agreed in principle to a lease agreement between the city and the Government of the Buildings. However, after consultation with the FPS Justice and the Government of the Buildings, it was decided not to launch the file, as a result of the master plan for the peace appetizers that would move the peace court of Geel to Mol. When it became clear that there would never be a peace court, the city decided to give the building a different destination after years of emptiness. Recently the news came that the Buildings Regie would give a compensation of 173,000 euros to the city of Geel because the building that was meant to be a peace court would never be used as such. The reform of the peace courts will require a total of 34 peace courts to be closed. The aim is to improve the use of staff and resources, as well as to save rent, maintenance and cost of utility connections. Mr Minister, I have a few questions about this. Was there a question before 2009 from the Government of the Buildings or the FPS Justice to the city of Geel for the construction of a new peace court? What agreements were made before the decision was taken on the construction of this peace court? Was there a contract signed? When a sale to the Regie der Bouwpen was not considered, a lease was envisaged. Was this lease signed with the city of Geel? If so, during what period did it run? What rents were paid in that case? On what basis was the compensation of 173,000 euro determined? Have other compensations already been paid by the Government of the Buildings to municipal authorities in the context of the peace courts? What was the amount of those compensations? How was that amount determined? Are there any other talks going on between the Government of the Buildings and other municipal authorities? If so, where? On what basis will the amount of compensation be determined there? When will all these conversations be completed?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u51	Mrs Verhaert, I would first like to clarify that this dossier dates back to the new legislation that the municipalities made responsible for housing the peace courts. The city of Geel expressed its desire in 2009 to house the peace court that was housed in a rented building in a new building to be established by the city itself. Regular consultations were held on all aspects of the project by the Regie, the city and the FPS Justice Department. However, a cooperation or rental agreement was never signed by the parties. At the beginning of 2016 the file was first put on hold by the FPS Justice and then completely cancelled, after the decision had been made that the city of Geel would no longer house a peace court. The building had already been established by now. Both the FPS Justice and the Government of the Buildings received a letter of formal notice from the city of Geel asking for compensation for the negative impact of the specific layout of the building on the sales value. In view of the far-reaching contractual negotiations, which had not led to a formal agreement, the Buildings Regie acknowledged partial liability and a compromise was reached by the Regie to pay a sum of 173,116,50 euro to the city of Geel and to leave the remaining part of the damage to the city. The amount of EUR 173,116,50 was calculated on the basis of 50% of the installation costs for a peace court, calculated on the basis of recent reference projects for the establishment of peace courts. This amount also includes half of the costs borne by the city for the staff involved in the construction of the peace court. Finally, I can confirm that no other compensation has been granted in connection with the construction of other peace courts. There are no such talks with any other municipal or city authorities at this time either.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u52	Mr President, Minister, thank you for your reply. I am pleased to hear that this is the only dossier that is currently under discussion. It is, of course, a pity that such sums are being released in order to build a court of peace, in which no judge of peace finally sat. Although the compensation is small, I am satisfied that compensation has been given for the dossier.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u53	Mr Minister, a few years ago, a cooperation was set up between the Kempense intercommunal IOK, the municipality of Merksplas and its energy company to mistake the GFT waste from the inhabitants of the Kempen and to convert it to methane or green gas. Meanwhile, the installation on the IOK site at Merksplas is operational and green gas is generated. That's a first in Belgium. For years there have also been talks with the Government of the Buildings to use the green gas for the energy supply of the criminal facility and the centre for illegal immigrants, the Merksplas-Koloneie. After many and long discussions, a proposal has emerged that is interesting for all parties. For example, the ecological footprint for the criminal establishment and the illegal centre would fall enormously, without any additional cost. However, the success of the entire project depends both on European grants that have been promised for this and on the green gas certificates that are received for the use of green gas. Since these are limited in time and the period of 10 years has since started, the agreement between the Buildings Management and the other partners is quite urgent. Every day that can't be delivered, certificates are dropped. That is why I have a number of questions for you, Minister. Can you clarify whether or not to participate in this energy project by the Government of the Buildings? If so, is there any idea when the agreement can be signed with the other partners? If the energy project is cancelled, are there any alternatives to bring down the ecological footprint of the two sites on the Merksplas-Kolonie?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u54	Mrs Verhaert, the Regie informed me about the initiatives of the municipality of Merksplas and the biogas production plant for green gas based on GFT waste. Projects in the context of sustainable energy consumption are very important and receive my particular attention. For all its managed projects, the Buildings Control has already switched to 100 % of green electricity. For hot water production, the feasibility of sustainable alternatives is always examined. The regulation of the Buildings and the energy company Ebem came up with a proposal for a cooperation agreement last year. In the meantime, that agreement has been read by the Legal Service of the Government of the Buildings. The file now needs to be handled administratively. It has yet to be submitted to the inspection of Finance, both at the Government of the Buildings and at the occupying services of the DVZ and the FPS Justice Department. I'll press the Buildings Regie for a quick treatment.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u55	Thank you, Minister, for your reply. I am also pleased to hear that you are going to put a rush on it, because it is important that we work on sustainable energy use.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u56	Mr. Secretary, Friday night 10 January three prisoners escaped from their cells in Carrot's prison. One of them even managed to shut down a long list of security equipment, from a reinforced cell wall, surveillance cameras, detection wire to a fence under power, and escape from prison. A few years ago, the prison walls at Root were reinforced along the inside with durable plates that are normally used as façade coverings. Yet the three prisoners were given such a record. They would have used a TV camera brace to make a hole in a few days. The prisoners were able to escape their cells through a hole of 30 to 40 centimeters in the wall of their cells. The trade unions have been complaining for years about the lack of prison infrastructure in Belgium, apparently without result, in view of the repeated successful escape attempts made in recent months. Indeed, given the way in which the prisoners managed to escape, by making a hole in a reinforced prison wall, the current investment in our prison infrastructure seems to be far too low to guarantee the safety of society and its staff. Is it true, Minister, that a few years ago there was investment in strengthening the prison walls in Root? If so, what investment was involved? What was the cost of that? Exactly how thick was the wall in question and from what material was that wall built? Did that wall find itself in good condition or was it already affected by moisture, for example? As previous measures to strengthen the prison walls could not prevent prisoners from cutting a hole in the wall, new measures need to be taken. What measures are you taking? Are there any other security risks with the prison infrastructure at Root?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u57	Mrs. Vindevoghel, for security reasons, I can't communicate details of that incident. Its cause is a combination of factors and a combination of circumstances. On the other hand, it is absolutely too early to establish causal links with the aforementioned escape. The research focuses not only on prison equipment, but also on other aspects, which relate to procedures and work processes. Investment is constantly being made to improve the safety of prisons, both at Root and in the other institutions. Between 2016 and 2019, 122.5 million euros were invested in prisons in Belgium by the Government of the Buildings.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u58	Thank you, Minister, for your answer, but I think we should do some serious work on it. This isn't the first escape. There were still others. I hope that the research will provide more clarity so that we can work on a prevention plan and solve this problem.
