Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u69	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u70	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u71	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u72	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u73	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	PrévotPatrick	Prévot, Patrick	M	1983	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u74	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u75	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u76	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u77	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u78	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u79	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u80	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u81	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u82	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u83	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u84	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	PrévotPatrick	Prévot, Patrick	M	1983	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u85	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u86	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u87	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u88	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u89	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u90	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u91	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u92	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u93	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u94	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u95	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u96	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u97	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u98	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u99	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u100	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u101	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u102	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u103	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u104	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u105	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u106	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u107	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u108	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u109	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u110	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u111	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u112	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
