ParlaMint-BE_2020-05-15-55-commissie-ic178x.u1	Question No 55002656C by Mrs Vanessa Matz is postponed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u50	Madam Chair, Ms. Thémont, increasing digitization and robotics is one of the trends that we have paid great attention to in recent years. To answer your first question, the impact of increasing digitalisation on employment, with potential job losses, is very difficult to measure or predict. Numerous studies have been published since 2013, each with a wide range of confidence. Estimates of the precise impact of this digitization vary widely. According to the employment prospects of the OECD in 2017 and the Higher Employment Council, the main effect may not be in the net creation of jobs, but rather in the adjustment of tasks in most jobs and sectors. While it is difficult to accurately estimate the magnitude of the impact, we are well aware of the main challenges that arise from digitization. As you have already mentioned, digitisation involves, first of all, an increased risk of polarisation between low-skilled and highly skilled jobs. The OECD, like the Higher Employment Council, foresees that digitisation will mainly restrict the supply of medium-skilled jobs. This could, however, create eviction effects. If medium-skilled people are ousted from their jobs, their future employment will sometimes be less skilled. In this way, unemployment among low-skilled people will remain high, even if these low-skilled jobs are less affected by technological change. This brings me to a second important challenge. Indeed, Belgium lags behind in terms of diplomas obtained in scientific, mathematical, computer and engineering orientations as well as in terms of digital skills in the working population. If the supply of jobs in the digital economy increases to the extent estimated within the framework of the most favourable forecasts, we will have to ensure that we are able to meet the demand for both polarisation and the need for new skills and continuing training. The social partners and labour institutions can take action to substantially correct the effects of automation on the labour market. A number of actions have already been undertaken in recent years. Education policy depends on the regions, but the federal government supports efforts in these two areas.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u51	Minister, thank you for that answer. This is indeed an important development that needs to be taken care of. As you said, the training of our citizens in tomorrow's jobs is essential. However, the citizen must not be handed over to himself in this process. We also have a role to play, in consultation with the federated entities, since training is a regional subject, to support workers in these various approaches to retraining, particularly vocational training.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u52	Question No 55003542C by Mrs Jadin is transformed into a written question.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u53	Dear colleague, we are indeed aware that Belgium has long been not the best student in the integration of people of foreign origin into the labour market. The situation has improved only slightly in recent years. The most recent figures based on the Labour Force Survey confirm those of the study to which you refer. The socio-economic monitoring "Labour market and origin" uses more comprehensive data from the Carrefour Social Security Bank and confirms that the gap is large, even among second-generation migrants. International analyses also confirm this. The recommendations are in line with those given in the last three editions of the socio-economic monitoring and those of the most recent edition of March 2020. The recommendations mentioned in your question fall within the competence of the Regions and the Communities, but it is important that all public authorities develop an integrated policy. In addition, some measures have recently been taken at the federal level to combat discrimination in the labour market. In addition to investigating and reporting violations of anti-discrimination legislation, social inspectors have had the power to carry out mystery calls since 2018. In addition, a Royal Decree on affirmative action against discrimination was adopted at the end of 2018.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u54	Minister, thank you for your answers. I think I do not exaggerate when I say that, for some immigrants, job search is akin to a path of obstacles. I think there is a reality in Belgium. There is indeed an unequal access to the labour market for young and old immigrants. In particular, you have referred to these mystery calls, which help to combat discrimination in hiring. This is a good thing, even if improvements are also needed in this area.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u55	Madam Chair, Ms. Thémont, during the last Parliament, the federal government has taken up the fight against homelessness as one of its political priorities under the Federal Plan to Combat Poverty. Three types of measures are implemented: the management of social emergencies; the strengthening of the proper administration, where coordination and consultation between the different public authorities is of great importance; and support for social innovation. My approach to homelessness and homelessness places great importance on innovative solutions based on multidisciplinary accompaniment, as is the case with the Housing First methodology. Homelessness and people without a home first need a home. That is why we are investing in the Housing First approach, which has proven its usefulness. It was under the aegis of the federal authority that this model emerged in Belgium. Through a Housing First Belgium programme, more than 700 chronic homeless people left street life and began a process of social reintegration. In order to maintain my support for social innovation, I supported the Housing First Belgium LAB initiative, which coordinates a new social experimentation project aimed at social reaffiliation processes. To do this, I was able to count on the support of the National Lottery and its supervising ministry. The obstacles faced by these vulnerable groups need to be addressed specifically. That is why we support the development of this new social experience with the support of the teams and a coach, with a view to social inclusion in each of them. In addition, an academic group can conduct a scientific evaluation of this experiment. I share your concern about the system of structural financing of support arrangements for homeless people. In the exercise of my responsibilities in day-to-day affairs, I have done my best, through the budgetary mechanism of the provisional twelfths, to overcome or, at the very least, to curb structural progress in the area of homelessness. Coordinated policy at all levels is essential. I am convinced that the dialogue and cooperation between the Federal State and the Regions will reflect the multidimensional and cross-cutting nature of the issue of poverty.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u56	Minister, thank you for your answers. With the present crisis, the living conditions of homeless people have worsened considerably. Innovative initiatives such as the Housing First program have thus become even more meaningful during the two months of containment. It is obvious that the temporary reception of these people in hotels or emergency establishments is not sustainable. Long-term solutions must be found, in order to enable this already fragile public to regain a minimum of stability as well as a home, as you said, that can help them rebuild without having to go through all the difficulties of the street. Persons who have been able to find temporary housing or those who suffer from long-term homelessness should not be abandoned. Innovative exit solutions should be offered. Let us therefore support those which are already in force, by increasing the budget allocated to them.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u57	Madam Minister, since 1 April 2003, reception parents who are members of a recognised reception parents service have had the sui-generis status. This is a half-hearted statute in which even official bodies and reception services do not know what to do with the special regulations. For example, the reception parents receive an allowance instead of a wage, the sickness benefit is limited and the holidays are unpaid. Originally this was meant as a temporary statute. It was promised that a full statute would be drawn up by 2006. In 2007, this was even a priority in the coalition agreement. Also in 2010, the federal government agreement was still in the forefront of the government's commitment to a fully-fledged statute. I have regularly questioned your predecessor, Minister Peeters. He then said that he hoped that this full statute would come about by the end of that legislature. In the meantime, we are yet another legislative period and the full statute is still not in place until today. That bad statute is one of the main reasons why many reception parents stop. The work of these reception parents is not to be underestimated. They are entitled to a good statute. Moreover, it is also necessary to make that profession attractive. What is the status of this file? In the meantime, have concrete steps been taken to finally improve this status for reception parents? Is the government prepared to support a legislative initiative in this area?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u58	Thank you for your questions. The choice of a full status for reception parents is essentially a budgetary and political matter. The Sui-generis statute for reception parents is a special statute which, as Mrs Pas said, was created in 2003 within the social security of employees for the so-called subsidised reception parents. A reception parent sui generis is a natural person who is a member of a Community-approved care service for children in a family care home and who is not linked by a contract of employment with that service. These are mainly people who receive at home children who are awarded them by the usually municipal childcare service recognized by the Communities and who receive a grant from the Community. In essence, any municipality or private childcare service can make the choice of policy to employ their host parents on the basis of a contract of employment for domestic workers. If this choice is made, the host parents concerned will have a full status as an employee. The reasons for not doing so are mainly budgetary in nature. The abolition of the sui-generis status in social security can only take place if, within the framework of their recognition powers, the Communities impose an obligation on childcare services to employ reception parents on the basis of a contract of employment. Such a measure will, of course, have certain financial repercussions, both in terms of taxation and social security, the powers of federal colleagues of mine, but also in terms of the operating resources of municipal childcare services and of the Communities which grant them. Until now, no political agreement has been reached between the parties concerned on the distribution of the financial additional price. In 2014, the Flemish Government decided to launch a pilot project in the context of the introduction of a future employee statute, whereby a defined quota of reception parents would be employed in an employee statute for a number of years. The evaluation of this project showed that the total cost to the employer per FTE on an annual basis increases from EUR 30,724 to EUR 33,815 for the private sector and EUR 39,609 for the public sector. I do not think it would be appropriate to have a legal initiative at federal level which provides that reception parents who receive children at home should automatically be regarded as employees. After all, there are also day-care parents active in the labour market who, as individuals, actually take care of children at home on an independent basis. The Communities could provide for recognition only if members of the reception parents were to be employed on the basis of a contract of employment. Furthermore, as regards the employment of reception parents who are members of a childcare service, the general assessment criteria of the Employment Relationship Act of 27 December 2006 remain valid today.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u59	Madam Minister, thank you for the comprehensive answer. It is indeed a matter of budget, but I regret that no political agreement has yet been reached on this issue. It is already the fourth parliamentary term in a row that I have to ask questions here in this House in order to continue to work for a full statute. The work of the reception parents is not to be underestimated. There's a big outflow in the profession. A fully-fledged statute to make the profession more attractive could also reduce the flow of such welcome parents. I will certainly urge my colleagues in the Länder to continue to follow up on this dossier, because there are indeed Community powers that can also be used. I regret that no political agreement has yet been reached on this issue.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u60	Madam Secretary, thank you for the answer. I regret that no political agreement has been reached for such an important profession. Childcare is also essential in this corona crisis. My question wasn't corona-related, but it was a little bit. They must wait for a proper statute. In March, before the crisis, I received a number of telephone calls from child care supervisors who, as from 1 April, as the Flemish Government allows, switched to an independent statute and who were completely panicked during the corona crisis. They suddenly saw their protection as an employee at risk and the temporary unemployment and associated administration came about. The social partners have been calling for a good and sound statute for the reception parents since 2002. A sui-generis statute is only acceptable if it is very temporary. These people have a very important job in our society. They have to take our children in their first years of life. They are now left to their own devices.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u61	Madam President, Madam Minister, this question was tabled at the beginning of the year and concerns redundancies in the commune of Couvin, which decided to have its swimming pool renovated as part of the swimming pool plan in favour of the sports infrastructure of Wallonia. This work was certainly necessary, but it had the effect that several workers in this intercommunal group had found themselves on notice. Given that this work must last more than a year and that the municipality considers that it has rules to follow in terms of the recruitment reserve and that it cannot guarantee the resumption of these workers at the end of this year of work, the information was taken by the intercommunal to the ONEM which says that there is no possibility of technical or economic unemployment for the staff, since the circumstances are not accidental. That is the meaning of my question. It's not a fire. This is a decision of the authority which, doubtless for reasons of health security, had to carry out this renovation work. Seven of the nine staff members received their notice, without any guarantee of re-employment at the end of this work. They will have to follow a procedure again, while some had a decade of seniority. Madam Minister, in this case, is there a possible solution or derogation for staff in terms of technical unemployment or economic unemployment?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u62	Mr Delizée, I do not know whether this question is still present in the light of the Corona crisis, but the reasons why the execution of an employment contract may be suspended are limitedly listed in the Act of 3 July 1978 on employment contracts. These include temporary unemployment for economic reasons and temporary unemployment for technical accidents. In the first case, the employer must take advantage of a lack of work in the enterprise due to economic reasons beyond his control. This lack of work cannot be the result of a deficient organization, poor management or technical reason. In the second case, the technical incident must result from an accident, i.e. an unexpected and sudden event that causes damage. Since there are neither economic reasons nor the result of a technical incident, work to renovate the workplace cannot be taken into account in obtaining these two types of temporary unemployment. Finally, I would like to point out that my answer is limited to the situation where the workers concerned are bound by a contract of employment with the municipality. The answer above does not refer to the assumption that workers are in status. In this case, the answer falls within the competence of my colleague in charge of the Civil Service.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u63	Madam Minister, thank you. I confirm to you that they are contract workers and of course not appointed and permanent staff. Indeed, these workers are in the case of a figure covering the lack of work for economic reasons. The tool is closed. But it is not beyond the employer's control since the employer itself has decided to do this work. Maybe we should think about this kind of situation. These workers have not requested that this work, which will last a year, take place. They do not, according to your answer, fall within the definition required for temporary economic unemployment. This situation is causing them enormous damage. This is a very difficult social situation for them, which started before the coronavirus. There's no connection. I have maintained the question because it is general and relates to the definition of temporary unemployment.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u64	Question No 55003652C by Mrs Nawal Farih is transformed into a written question.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u65	Madam Minister, the municipalities are competent to determine whether disabled people can park in paying parking spaces or free of charge. Most of the time, the municipalities that allow disabled people to park for free choose to use the parking card provided by DG HAN as evidence and control tool. In certain municipalities an additional registration of persons with disabilities is apparently requested at municipal level. Only persons who have registered with the municipality can park free of charge in the municipality in places that are not reserved for people with disabilities. How do you feel about such extra registrations at local level? Is this practice not contrary to the division of powers between the federal government and the local level? The federal government is authorized to issue maps and check the conditions. A local registration may be justified as the paying character of the parking spaces is a local authority. However, that is not entirely clear. Have you already contacted the local authorities that have entered this type of registration? If so, what was their reaction?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u66	Madam President, ladies and gentlemen, the rules governing the enforcement and monitoring of parking spaces are laid down in the general rules on road traffic police. Over the years, the municipal councils have created a lot of parking space for people with disabilities from a human and social point of view and also in the interests of mobility. I can agree with the importance that municipalities attach to the measures that benefit people with disabilities and the continued traffic surveillance that results from this. The FPS Social Security is only competent to examine the conditions for the delivery of parking tickets, so to check whether the applicant meets the criteria of mobility and/or self-reliance to obtain a card. However, the FPS Social Security does not have the power to check whether or not the card is legally used. The paying character of the parking spaces also belongs to the local powers. Consequently, I do not see any contradiction as regards the division of powers between the federal and local levels. Currently, a number of cities and municipalities are already using the scancar to enforce the municipal parking regulations. This vehicle checks the parking right by means of the registration numbers of parked vehicles. The fact that parking cards for persons with disabilities are not digital or directly linked to a license plate creates a gap in the application procedure. As a result, a parking fee is regularly wrongly issued for vehicles containing a parking card for a person with a disability. The result is an additional burden for persons with reduced mobility, since they must bring a challenge to regularize the situation. A provisional solution for some municipalities is to establish a register of residents who have a parking card for people with disabilities. In the longer term, for example, we are thinking of digitizing the parking card. It is important to arrive at a general solution. Contacts have already been made with the three Unions of Cities and Municipalities with a view to a joint initiative. In addition, representatives of some cities and municipalities have already contacted my administration to see what is feasible in practice and within what time frame. Consultations are still ongoing with a view to achieving a solution which falls within the legal framework, ensuring effective monitoring of parking rights and minimising the burden on citizens. I will not fail to keep you informed of the follow-up.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u67	Minister, thank you for your answers. It is a good thing that a comprehensive response can be given to all the municipalities. Other municipalities will want to embark on this type of system in the future, but in order to prevent each one from reinventing hot water, it will be necessary to harmonize the system in consultation with the associations in order to be able to be effective and to waste the least time and money for people with reduced mobility and to be able to automate their rights. The initiative you have taken is the right one, and I encourage you to continue to do so.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u68	Madam President, Minister, it has come a long way when local authorities have to fill the gap that is not filled by a higher level. The effort to burden people who have a card as little as possible unnecessarily with fees is a noble ambition. The fact that local authorities have to do it themselves means, in practice, an additional burden on people who do not live in a particular city or municipality but want to go there. It's the DG HAN who delivers the cards. Then it seems logical to me that the solution should be given at that level. If the cities and municipalities have to do all this separately and one goes with a map to another municipality, then one has to register there first. This means an extra burden. A global solution is at the right level. I understand the local authorities who want to respond to the sighs of people with a card, but they are subject to additional burdens. This seems to me to be something that can be improved and deserves a solution.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u69	Mrs Vanrobaeys, workers undergoing IVF treatment are in fact adequately protected by the judgments of the Court of Justice, which have binding force. For example, the Mayr judgment of 2008 cited by you states that when a worker is dismissed, mainly on the basis of the fact that she is at an advanced stage of IVF treatment, there is discrimination on the basis of sex. The courts of the Member States must apply the national legislation in accordance with that case-law and are therefore bound by the interpretation given by the Court of Justice. It is important that medically assisted reproduction has recently been explicitly added as grounds for discrimination in the gender law. The worker who is treated unfavourablely on that ground, e.g. by dismissal following an IVF treatment, will therefore be able to rely on the protection provided by that law. If it submits facts suggesting the existence of discrimination, it is for the defendant to prove that there has been no discrimination. Finally, the worker may also rely on the protection afforded by collective agreement No. 109 on the grounds of dismissal. On the basis of that collective agreement, workers have the right, on the one hand, to know the specific reasons which led to the dismissal and, on the other hand, there is a right to compensation for the employee if the dismissal is arbitrary, i.e. based on reasons unrelated to the employee's suitability or behaviour and which are not based on the need for the undertaking to operate.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u70	Madam Secretary, your answer confirms once again what I was thinking. There is indeed a great deal of concern about this. Moreover, it is particularly difficult for the women concerned to inform their employer that they are in IVF treatment. They really need to take a step in this direction. Since it is also important for them, I would also have asked whether the protection applies from the date of notification, and that is apparently the case: if they take the step to make their situation known at work, then the various forms of protection against dismissal which you have listed apply immediately.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u71	Questions Nos 55001781C, 55002601C and 550040002C by Mrs Florence Reuter are transformed into written questions, as well as question No 55004111C Mrs Melissa Depraetere.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u72	Madam President, Madam Minister, I asked a question about the quality of the assessments made by the doctors of DG HAN to obtain the right to an integration meeting (IT) or income replacement allowance (IVT). This right is assessed by the doctors working for the regional medical centres of DG HAN. As far as I know, there is little control of the quality of these assessments today. The centre responsible reads the files, but otherwise there is little external control of the decisions taken by the doctors of the medical centres. Madam Minister, the latest policy paper included internal controls. In what way are the controls taking place at the moment? In 2016, the National College for Social Insurance Medicine on Disability of Work was established, in which DG HAN is also represented. It is one of the tasks of the College to develop guidelines that can be used in the assessment of a disability. What work has already been done in this respect? Is it true that the majority of doctors involved in the assessment within DG HAN's medical centres are reimbursed per file? Can this have adverse effects, since it places greater emphasis on quantity than on the quality of assessments? In the meantime, if so, are there any concrete plans to adapt the internal functioning so that this disadvantage can be compensated? What other initiatives are currently under way to improve the quality of assessments?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u73	Mr Anseeeuw, the quality checks carried out by DG Persons with Disabilities must ensure that the assessment decisions on the right to benefits are correct and that all conclusions in an assessment report are consistent. People in conditions with the same functional impact should ultimately receive the same benefits, regardless of where and by whom the assessment is carried out. The checks will be carried out on a permanent and targeted basis, including when new evaluators enter the service. Those controls, planned from the second half of 2020, will be carried out by a doctor coordinator and by an evaluator with the required skills, knowledge and experience. The DG Persons with Disabilities is effectively represented in the National College of Social Insurance Medicine on Disability. The work programme of this college has not yet produced any recommendations which are directly or specifically applicable in the context of the assessments for the award of the income replacement allowance or of the integration meeting. However, the College has proposed common criteria for assessing incapacity for work for all sectors of social security. These criteria may be of interest to DG Persons with Disabilities in the assessment of the income replacement allowance. Other relevant task-related proposals of the College for DG HAN need to be further developed. The majority of the assessments are indeed carried out by self-employed doctors who are paid per benefit. This system has advantages and disadvantages, especially because of the current scales that are no longer attractive or are always sufficient to deliver current performance. In the context of the initiatives taken to improve the quality of the assessment, the system of allowances for self-employed doctors is also being examined. The aim is to review the remuneration of all types of services, clinical investigations, documentary examinations, training and meetings and to link these fees in part to the compliance with quality criteria laid down in the above-mentioned control policy. All initiatives to improve disability assessment have been brought together in a comprehensive programme, EVOL. The programme's actions are divided into three parts. The first part includes a better management of the assessment by strengthening the coordination and supervision roles and developing the multidisciplinary approach. The second part concerns the broadening and deepening of the skills of the evaluators through the formalisation and implementation of training pathways. The third section deals with continuous monitoring of the quality of assessment by setting up quality management systems and monitoring programmes for continuous results measurement. You can see that a lot of initiatives have been taken there for your legitimate question.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u74	Thank you, Madam Secretary, for your answer. I have a brief question. I understand that internal controls will be launched in the second half of this year. When can we expect the first results? In what way will it be reported?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u75	(...)
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u76	Then I am in happy expectation of your answer.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u77	Minister, I was listening to the translation and the microphone was cut. Would you like to repeat the last part about the deadline? The colleagues who listened to your answer to Mr Anseew may not have heard it.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u78	Mr Anseuw, you asked when the results of the internal screening would be there. It will start in the second half of 2020 and I said I would let you know the timing and the results.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u79	Madam Chair, Ms. Thémont, you are referring to a discriminatory gender policy both in terms of recruitment and in terms of labour relations in Prayon. If that is the case, I invite the trade union delegations of this company to inform the SPF Inspectorate of Employment, Labour and Social Concertation, without delay, of all the elements which they consider to be indicative of a policy of discrimination, so that it can take the necessary measures. With regard to compliance with the provisions of the Code of Welfare at Work, in particular those relating to health facilities for men and women, I have instructed the competent inspection service to carry out an investigation. Since it is a Seveso company, this survey will be conducted by the Major Accident Prevention Control Directorate of the Directorate General Occupational Well-being Control.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u80	Minister, thank you for your answers and for the steps you have taken. Differences in treatment of women cannot be tolerated.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u81	Dear colleague, we are well aware of the International Labour Organization (ILO) study on purchasing power. However, there are important methodological remarks to be taken into account in drawing conclusions. First, the ILO compares the average wage over time. This is a very questionable way of measuring purchasing power over time. A change in the composition of employment may affect this indicator, regardless of the evolution of the purchasing power of the individuals concerned. If a labour market rather creates low-skilled jobs, the average income will decline, although no one earns less than before. On the contrary, new hires see their purchasing power increase sharply compared to a previous unemployment situation. Or, conversely, an economy that loses low-skilled jobs will see the average wage increase, while the number of unemployed is higher and there will be a clear negative impact on the purchasing power of the people concerned. Or even if the highest incomes fall more than the lowest, the average wage will fall, while most people, and certainly those who need it most, will see their incomes increase. In short, the average wage parameter is useful for international comparisons, but unnecessary to fully interpret the evolution of purchasing power in a country. The figures also include gross wages, which is by no means a sufficient basis for assessing the evolution of purchasing power. There is also a need to examine the evolution of the tax burden. In recent years, the tax burden on low labour incomes has decreased sharply and people have seen net wages increase. In short, the ILO indicator has many drawbacks which make it difficult to compare correctly. The best indicator for Belgium is the evolution of household disposable income. It is also a gross figure, but it takes into account the total disposable income of households in which, as you know, labour income has increased more in recent years than other sources of income such as wealth or business income. Mrs Thémont, here I have all the figures for the last few years concerning the gross disposable income of households. If I can, I'll send them to you.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u82	Minister, thank you for sending me the documents. It is true that we discussed this last week. I was reassured to hear you say that some groups are going to be helped. You talked about job students, flexi-jobs, temporary workers, and also people with disabilities. As I told you last week, it's a good start. But it must also be seen that poverty affects many people in Belgium. Purchasing power, when the crisis comes out, will be affected. This is already the case, since there is an overall decrease in household income for those who are economically unemployed and for those who are self-employed at a standstill. It is true that the recession will also affect activity, as will the bankruptcies that are likely to take place in the coming months. I do not want to be alarmist, but the situation will be difficult and many Belgians still - and there are already many - would risk falling even more into precariousness.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u83	Madam Chair, Ms. Thémont, the federal government has taken several steps to support businesses and self-employed people who are suffering economic losses as a result of the coronavirus epidemic. In addition, it has joined forces with the National Bank of Belgium and the financial sector to maintain loans to individuals, self-employed and businesses. For their part, the Regions have also set up aid for enterprises and self-employed persons, with investment policy falling within the competence of the regional authorities. Of course, I welcome these efforts. Moreover, the crisis measures introduced in the field of employment are not only intended to enable health provisions to be applied, but also to ensure a faster recovery of the economy. As such, the allowances function as automatic stabilizers, which compensate for the loss of income resulting from the temporary cessation of certain activities. Temporary unemployment means that for the moment the number of redundancies and the increase in unemployment remain very limited because the alternative of redundancies would involve much higher transaction costs for employers and workers. In addition, it facilitates the return to work and reduces the loss of income and consumer confidence, thereby limiting the decline in demand.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u84	Minister, thank you for your answers. The health crisis will have socio-economic consequences that will far exceed the presence of the virus in our society. An increase in the unemployment rate has already been announced, along with the financial difficulties that companies will face after the crisis. According to the IMF, Belgium must expect an additional 100,000 unemployed. If companies delay their investment now, it may also have a direct impact on the long-term hiring rate, thereby prolonging the increase in the indeterminate unemployment rate.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u85	Mrs Verhelst is not present; her question No. 55005516C expires.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u86	Madam Minister, in order to deal with the lack of seasonal workers, temporary unemployed people can apply to help the vital agricultural and horticultural sector out of need. However, agriculture and horticulture companies are once again concerned about a shortage, as the forthcoming strawberry harvest will require another 15,000 to 20,000 pickers. The path to employ the temporary unemployed will also disappear, as many companies have been re-launched. Madam Minister, on 20 April I asked you a question about the need for seasonal foreign nationals. You said that there were plenty of talks in cooperation with the Foreign Office to ensure the passage. There was also thought about joint transport to bring the foreign pickers here. Today it is 15 May and the vital sector is still hoping to get the permanent foreign seasonal workers here. For those seasonal workers, a COOVID-19 attestation provides that the pickers have the right to move within the European Union to picking areas outside the borders of their own country. However, that does not run smoothly. Often there is a problem at the border. The border police do not always interpret the documents properly. Consequently, seasonal workers are refused access to our country. Your Flemish colleague, Minister Crevits, said yesterday in the Committee on Agriculture that the procedures for admitting seasonal workers to our territory are fine tuned. Since there is still a shortage for seasonal workers in this vital sector, what action will the government take to achieve this? Are we thinking, for example, of the involvement of the long-term unemployed? One of the measures already taken was the extension of the card from 65 days to 130 days. If the shortage of seasonal workers remains, does the government intend to renew the picking card? Was a transport finally organized or is that still on the move? Finally, are the procedures for admitting seasonal workers into our territory fine tuned or are seasonal workers still being stopped at the border, although they do have the appropriate documents on them?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u87	Ladies and gentlemen, the corona crisis has led us to a number of things, such as closed borders, fear of workers and difficult journeys, fewer seasonal workers from Eastern Europe to our country. The federal and regional governments have made every effort to ensure that sufficient seasonal workers can work in agriculture and horticulture. You have already referred to a number of decisions, such as the possibility for temporary unemployed to work as a seasonal worker while retaining part of the benefit, and the doubling of the number of days that can be worked under the seasonal worker's statute for this year. With the initiative Help the VDAB harvest, the Flemish government has increased efforts to lead jobseekers to the sector. Recently, the Federal Government has approved Mr Ducarme's proposal to allow wage-earners to earn their living as seasonal workers. In addition, it was necessary to clarify to the security services the conditions under which seasonal workers can enter the territory. I would like to stress once again that the government has supported the communication of the European Commission that the free movement of workers, and in particular of seasonal workers, remains a pillar of the single market. In order to ensure the correct course of events, opinions were requested from CELEVAL and ERMG. This ultimately resulted in confirmation by the Minister of the Interior that seasonal workers can travel to our country under the conditions defined by ERMG. A seasonal worker must be able to submit a certificate from his employee on arrival in Belgium, all social-disability measures must be complied with and the employer must provide for the necessary precautions in the performance of the work and during movements. The performance of a prior test is not yet possible in material terms. This is now the subject of agreements between the social partners. By Prevent Agri, a structure set up by the social partners in agriculture and horticulture, clear teachings have been established in connection with the housing of seasonal workers. Education is a matter of concern to employers. They were not laid down in a sectoral protocol, but due to the paritary nature of Prevent Agri, the instructions were also borne by the social partners. Mrs Samyn, you are asking whether certain measures, such as those relating to the pick card, will be renewed. I said last week in the debate that I asked the sector for figures to check which of the different solutions we have provided is being used. We will therefore consider, on the basis of needs and figures, whether we will extend the measures in the coming period.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u88	Madam Secretary, thank you for your reply. Despite efforts at federal and federal level, the vital sector continues to raise the alarm. The agricultural and horticultural companies and fruit growing deserve all the help they can get and need. There are still many hands too short when planting, harvesting and sorting fruits. As far as the use of additional domestic forces is concerned, this can be considered even more broadly. An initiative that certainly supports the Flemish interest is the extra involvement of the tailor-made companies. As far as the foreign seasonal pickers are concerned, the agricultural sector is in full control because the restrictions on travel have prevented many foreign seasonal workers from travelling to our country this year. It is therefore regrettable that, due to misinterpretation and miscommunication, it has taken weeks before the foreign seasonal pickers have reached their place of work. It is incomprehensible that this could not be better coordinated.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u89	Madam Secretary, thank you for your reply. There have indeed been many problems: seasonal workers themselves thought they could come to Belgium and employers thought they could rely on them and that they had the right documents, but they were still stopped at the border. I hope that these problems have now been resolved by consultation. I am very pleased that there has been some concern in the sector of education at sectoral level for the accommodation of seasonal workers. Social distancing during the performance of the work is one thing, but most of the time the seasonal workers are also housed by the employer. There was a certain amount of concern among the workers about this, because when everyone, so to speak, enters each other's bubble, the risk of contamination also increases. If agreement is reached on this, it will be important to ensure that these agreements are also complied with and that they can be maintained subsequently, when problems arise, so that everyone, seasonal workers and other workers in that sector can work in safe conditions.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u90	Minister, the current health crisis will certainly change our way of life. As far as employment is concerned, telework is very likely to become increasingly important within companies. Many Belgians are already very much in favour of this change: nine out of ten Belgian employees and executives say they want to work at home from one to three days a week, and six out of ten want to be able to telework two days or more. In particular, they believe that teleworking represents an increase in productivity. Minister, many measures have already been adopted to adapt the work to the containment conditions imposed by the crisis. However, after two months of confinement, some teleworkers still do not operate under optimal conditions. Some companies would not have a telework policy, particularly with regard to tax and social security aspects, as well as the tools to be used in their function. In the absence of certainty as to the duration of this forced telework, do you not think that it is imperative to adapt the rules governing telework to the current working conditions? Are you in contact with the social partners to consider a reform that meets the needs of our teleworkers? What do you think of the proposal to increase to two days of weekly telework against one since the structural introduction of home work four years ago? Since the beginning of confinement, has there been any form of control to ensure that teleworkers operate in good conditions? If so, which one? Have abuses been identified so far?
