ParlaMint-BE_2020-02-11-55-commissie-ic107x.u1	Questions Nos. 55001831C by Ms. Yoleen Van Camp and 55001842C by Mr. Patrick Prévot are postponed.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u44	The fifteenth report of the Federal Mediation Service "Patient's Rights" observed a 13.7% increase in complaints from 2017 to 2018. The practitioners who received the most attention were dentists, at 45%. This can range from poor performance of technical care, lack of information on the cost of care to inappropriate behaviour or a problem with access to a copy of the file. One of the seven priority recommendations of the report is the urgent establishment of a dental complaint management body. This initiative is also supported by the French-speaking Belgian Dental Association, which states this in its 2019 memorandum. On Monday, December 9, 2019, at the annual presentation of the activity report, the need for compliance was an important focus. The question arose of the lack of sanctions applied when legislation was not complied with. Created since 1945 in France, the National Order of Dental Surgeons (ONCD) represents the profession with the public authorities. As such, it may be seized of general problems and of any project concerning the profession. In concrete terms, this French body does not find contact with us, which poses a serious problem, particularly in the context of the mobility of practitioners. Some dentists disqualified from the order in France Some dentists disqualified from the order in France come to practice in Belgium for example, and we do not have any authority to relay information, which allows them to practice without problems in our country. Minister, what is your reaction to this increase in complaints? Are you considering remedying the lack of supervision of the dental profession by a regulatory body, in order to integrate mediation, monitoring and sanctioning tasks? What about an independent ethics body that could deal with complaints in the field of health care in a cross-cutting manner? How is the arrival of foreign practitioners in the context of European mobility monitored in order to ensure the protection of public health?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u45	Mr President, Minister, it is well known that the annual reports of the federal ombudsmen's "patient rights" point again every year to a proportionately significant number of patients' complaints about dentists. The 2018 Annual Report confirms this situation. After all, the complaints about dentistry that came in in 2018 represent almost 45% of the total number of complaints from patients at the service. As has been pointed out on several occasions, this situation can be partly explained by the limited number of dental complaint treatment authorities. In this sense, the federal ombudsmen's "patient rights" have been recommending for 15 years the establishment of an order of dentists, a body which contributes to ensuring respect for the patient, which has a transparent effect and which aims to provide preventive guidance on the attitudes and practices of professionals. Madam Secretary, how do you feel about the idea of establishing an order of dentists? If the federal ombudsmen have been recommending this for 15 years, why hasn't this been done? Do you have any idea what the dentists think of that? Have you ever sat with the dentists' associations on this matter? If so, what was the result? Of the complaints that enter the federal ombud service, 45% are about dentistry. How many complaints is this about exactly and what is the ratio per region?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u46	Dear colleagues, I have indeed read the 2018 Annual Report of the Federal Mediation Service "Patient Rights". This had already been communicated to me in April 2019. According to the mediation service concerned, it is difficult to target the cause of the increase in the number of patient complaints received to 1,184 in 2018, 143 more than in 2017. These figures are to be put in perspective with the 2.55 million hospitalizations. Of these 1,184 complaints, 477 related to the direct jurisdiction of the Federal Mediation Service "Patient Rights". One of the explanations may be that the patient's rights are becoming more and more known, as well as the ability to complain to a mediator. With regard to the follow-up of the statistics and recommendations of the Federal Mediation Service "Patient Rights", it is difficult to promise measures during this period of day-to-day government. I hope that the law on the quality of the service of 22 April 2019, which will come into force in 2021, will bring results in terms of optimisation of the quality of care and in terms of the prevention of complaints. It includes, among other things, that by setting up a new monitoring committee, provided for by this law, the patient may have an additional alternative to lodge a complaint. Pursuant to Article 2 2° of that law, it also applies to the profession of dental. The law also provides for the establishment of a federal supervisory committee with the task of supervising, firstly, the physical and psychological fitness of health care professionals and, secondly, compliance by health care professionals with the provisions of this law and its implementing decisions. Finally, the patient's right to challenge a mediation function falls under federal jurisdiction. The way in which hospital mediation services are organised now falls within the competence of the federated entities. I have said on several occasions that I am not opposed to dialogue with representatives of the federated entities in this area. At the end of the previous legislature, it was decided, at an interdepartmental conference, to include the mediation function on the agenda and to submit the issue to a working group at that conference. This working group can also address this issue of increasing the number of complaints. Finally, Mrs Sneppe, I would like to remind you that at the start of the new mandate of the Committee on Patient Rights, everything was done to ensure that the profession of dentist would also be represented. The purpose of this measure was, inter alia, to consider, where necessary, the relationship between dental and patient. In short, with regard to the introduction of the order of dentists, it seems more appropriate to give priority to the implementation of the quality law of 22 April 2019.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u47	Madam Minister, I thank you for your clarification, particularly for your willingness to meet with representatives of the federated entities and for the creation of a working group to address the issue of complaints. The initiative is excellent. On the other hand, with regard to the question of the creation of a Dentists' Order, you are sweeping it away. I imagine that our current business situation is not unrelated to thinking. I think it is necessary to create a reference body. In this regard, you have not answered part of my question about the French dentists who settle in our territory. They are sometimes deprived of their status as a practitioner at home. When they arrive at our house, there are no receptacles, no organs to check their quality. They practice at home sometimes by causing a lot of damage. We've had a few cases. It seems to me that the setting up of an organ would be necessary, whether it is a Dentists' Order or an organ that comes close to it, but the matter will have to be addressed.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u48	Madam Secretary, thank you for your answer. The teeth are very important, as they are part of the face and therefore immediately stand out. Something wrong with the teeth can have very serious consequences for the patient in question. That is why I hope that this law will enter into force quickly and that something will be done quickly. I also support my colleague's plea for a reference body to which people with specific complaints about dentistry can address themselves. That body must follow up the complaints and reprimand the dental services in question and call upon them. I therefore hope that something will be done soon.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u49	Question No 55002111C by Mr Malik Ben Achour is transformed into a written question.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u50	Mr. Chair, Minister, you recently passed legislation that organizes clinical networking between hospitals. This includes management and representation bodies composed of hospital managers and doctors. Minister, what will be the role of nurses in the network's management structures? Why has not a specific place been dedicated to them in view of their importance for the patients they are at bedside?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u51	Mr President, Mr Rigot, it will soon be a year since the legislation on hospital networks was approved since its vote took place on Valentine's Day. It was planned at Saint Nicholas, but this was not possible due to the fall of the government. This reform is considerable for all parties concerned. I fully recognize the leading role of nurses in care, particularly in hospitals. Indeed, what would a hospital without nurses be? But that is not what we are talking about here. The primary mission of a hospital network is to establish the medical strategy by analogy with what hospital legislation imposes on hospital structures, namely that strategic medical decisions must be taken in a concerted manner by the administration and the Medical Council. This same consultation is required in the legislation on hospital networks. Patient care is explicitly the responsibility of individual hospitals. In this context, the director of the nursing department remains responsible for the organisational and operational functioning of his department. The situation does not change with the setting up of networks. I would, of course, be the first to welcome harmonization between hospitals at the level of nursing departments. This harmonisation is also necessary to ensure continuity of care within the network. But we will not legislate on how this should be done because this decision belongs to them. A nursing advisory board could also be organized at the network level. The defence of interests within it represents something else, which is a matter of labour law. In this area, all employees are on an equal footing. No particular occupational group, such as nurses, is treated differently from others. However, I would like to point out that some expertise in the health sector is required in the management bodies of the network, which may include doctors, but also nurses and other health care professionals. They are expected to be independent in decision-making for the benefit of patients in the region or the network. Using nursing management expertise will certainly have a significant impact on organizationally thought medical decision-making.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u52	Madam Minister, first of all, I am pleased to hear the proposals you are making, particularly with regard to an advisory board that could include nurses. Indeed, it is not a matter here of being dogmatic by limiting them to such a structure for them to be heard. It is primarily a question of considering that those who are the most numerous at the bedside of patients are actually being listened to. In order for this not to happen to the Saint-Glinglin, but perhaps to the Saint-Didier – patron of the nurses – a boost from the legislator seems necessary to me. It is therefore not necessary to wait for such bodies to be set up, given that the network is in the process of being developed, but to try to encourage the establishment of such a structure by legal means. In this way, managers will be more encouraged to listen to white blouses, as – I hope – you will not fail to do in the coming weeks. Thank you, Minister.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u53	Madam Secretary, doctors-specialists are an essential link in our healthcare system. They are usually consulted after a referral by the GP, when a specialized approach is required. In order to gain the desired level of knowledge and skills in a specialist field, intensive and often long-term training is needed. This training takes place for the most part through internships in hospitals, in which the specialist doctor participates in training in the workplace and is taught by the internship teacher about the necessary skills. The combination of learning and working means that many hours are performed. The training puts a lot of pressure on the doctor-specialist in particular. There would therefore be a substantial failure of doctors-specialists in training. In addition, the training as a specialist doctor is based on a federal and a regional part. As a doctor, a specialist in training is covered by health care, which is federal matter. As a specialist in training, the doctor is subject to education, which is a Community competence. The management of the status of doctor-specialist in training at two levels therefore does not make the situation any easier. I have a number of questions about this. Firstly, what is the number of doctors in training who quit during training? How are these figures kept? Secondly, how is the flow of Community figures to the federal level? Does Public Health receive Community figures? Why is that the case or not? Thirdly, what initiatives will you take to reduce the drop-out from training as a specialist doctor?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u54	Mrs. Gijbels, I'll give you the figures. It is the excerpt from the cadastre until 12 December 2019 on the evolution of the number of voluntary discontinuations in internships for hospital medicine specialties. So that is without general medicine and non-curative specialties, such as the occupational physicians. We can see that the figures are still not very good. We note that for the internships started in 2018, nine trainees in training have so far ceased their internships, corresponding to 0.6% of the number of internships started in 2018. As you can see, these figures are fluctuating, but they've been falling for the last five years. The Communities are responsible for approving and validating the internship plans of the doctors-specialists in training. After all, the training plan is an instrument that should lead to recognition. My competence in this area is therefore non-existent and I have had to ask for these figures from the Communities. Those figures shall be kept by the Communities, in eCAD, in the framework of the management of the traineeship plans. The data are shared between the federal level and the Länder as part of a joint application for the register of recognised healthcare professionals. The land register shall be supplemented by the different partners according to their competence and shall be managed at federal level under the Protocol Agreement of 19 October 2015. As for your question about the drop-out, in 2017, the Green Paper entitled "Towards an integrated solution for internship capacity, internship funding and quality assurance" was presented to the Supreme Council of Doctors-Specialists and GPs. It came as a result of the increased influx into the professional internship following the double cohort. I can't tell you how many questions I've been asked about the double cohort. In order to meet this, we have prepared the Green Paper. I think this was a good thing. This double cohort was born in 2018, when the PhD students of the seven- and six-year basic training were received. Currently, on the basis of data from the FPS and the Communities, funding is granted to internships who have one ASO or more in training. That scheme shall apply for 2016 to 2018 for internships in general hospitals. From 2019 onwards, the scheme will also apply to internships in university hospitals. This was made possible by the addition of the resources of the university part of the budget of financial resources, B9, intended for training. I note that the budget for the training of doctors-specialists has more than doubled since the implementation of the Green Paper. New concepts for evaluating the quality of traineeships are being developed for the further implementation of the Green Paper. This will probably require new legislation. This is currently being prepared by the experts of the FOD. The ASOs also ask for a mediation function for problems during the internship. That is a legitimate question that is being considered. I would also ask the National Joint Committee on Medicine and Hospitals to give an opinion on a national generic training agreement with agreements on the remuneration of the ASO. That agreement may be declared legally binding. Finally, there are useful contacts with the Minister's Office responsible for employment to identify and remedy the problems arising in the context of the registration of working time and the sometimes difficult requirements of certain internship services regarding the availability of services.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u55	Madam Minister, at first glance, the number of out-of-work trainees may not be so bad, but there are also figures about the high number of burn-outs and the high number of hours worked by trainees, about the lack of job satisfaction and motivation that they are still getting out of work. We must follow that very closely, because these people are, of course, in daily contact with patients, where the empathic capacity remains very important. It is therefore very welcome to follow the quality of the traineeships and to introduce a mediation function.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u56	Madam Secretary, dental care has already come up for discussion today. I'm talking about a part here, the orthodontics. Undoubtedly, you have taken note of Solidaris's large-scale study carried out in Wallonia. This shows that one in two young people between 10 and 15 years of age on their own initiative or that of the parents has the intention to start orthodontics. Eventually, one in five doesn't take the treatment. This is mainly the case for children from lower-income families. Its causes can be diverse. This may be the duration of the treatment, which will soon take several months or years. There is also the cost of treatment. On average, this is 1,700 euros, but this can be even higher and up to twice as much, depending on the device to be used or prescribed. Compulsory health insurance is already included, with a maximum of 800 euros. A little enviable finding is that patients with supplementary dental insurance pay even more de facto. In addition, very few orthodontists have convenitioned. If they are not conditioned, which applies to nine out of ten orthodontists, they can charge supplements, no matter what they usually do. In his recommendations, Solidaris asks for a better reimbursement of orthodontics for medical treatment and to distinguish between medical treatments and aesthetic interventions, as the Knowledge Centre once recommended in a report. Moreover, I think it is right to ask for a framework for the cost of equipment, whereby one can see a price comparison by type, supplemented by a maximum amount, so that one can make a better choice and know in advance what the choice implies in terms of financial intervention. That is therefore a plea for a mandatory offer with a treatment plan, so that the patient can anticipate the costs. Madam Secretary, what do you think of Solidaris' recommendations to keep the costs of orthodontics affordable and in advance more priceable for, mostly, the parents? How will you ensure that more orthodontists, such as more dentists in general, are reconvened, which will bring them back to full compliance with the convention rates?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u57	Mr President, Madam Minister, a study by Solidaris regrets that if one in three children, aged between 10 and 15, begin orthodontic treatment, one in five children will not pursue it and this will not result in the installation of a device. The study also concludes that this problem arises mainly in disadvantaged families. Another problem is the very high rate of deconcentrated orthodontists (94%). This is why Solidaris advocates for better pricing, better reimbursement and a mandatory and standardised quotation. Minister, what do you think of the recommendations of Solidaris mutuality? In your opinion, what is the reason for the very low rate of dentist conventionation? What do you intend to do to improve this rate? Have you taken any action yet? Is there a control framework for conventions?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u58	Colleagues, in the press release on Solidaris' study on the cost of orthodontic treatment, two conclusions emerge, which should be examined in more detail. On the one hand, not all children who start orthodontic treatment receive an orthodontic device. On the other hand, the average cost varies. These are rather simplistic statements. Not all children really need a device at the end of the exam in order to start an orthodontic treatment, for example because the anomaly is rather aesthetic in nature. The fact that the cost varies is obvious when it is known that the anomalies can vary greatly, as can the duration of treatment. The sickness insurance does not, in fact, reimburse the whole of the treatment. Most orthodontists did not accede to the tariff agreement. All this has a historical origin. As far as the nomenclature of dental care is concerned, there were only dentists. They have shaped the agreement and the nomenclature. Then there was the recognition of specialties, including orthodontics. That's a recent phenomenon. When I was young, that did not exist, but my children also enjoyed it, although "partners" is a great word. The agreement 2017-2018, point 4, last paragraph, included that a working group would make proposals by the end of 2017 to evaluate the reimbursement mechanism for orthodontics and to examine whether a differentiation in reimbursement was possible, depending on the severity of the dental defect, with a better reimbursement for the serious deviations. The same agreement also stated that a mandatory price estimate would be made before treatment began. I note that the National Committee on Dental Medical Funds left that dead letter and did not actually do anything about it. In the Belgian consultation model, the proposals for the refund and adjustment of the nomenclature come from the consultative bodies. Of course, it is not easy to find a mechanism of differentiated reimbursement according to the severity of the deviation; several of them have bitten their teeth. Some insurance institutions, for example, did not apply the index or treatment for the payment of their additional intervention in orthodontics. They had to come back quickly, because their members did not understand why they withdrew more from one child and less from the other. Some anomalies were not found to be very bad, for example a cross bite, while the parents did mind. Eventually they decided to pay everyone a fixed amount, even though there is a difference in treatments, which can be more expensive and long-term. This also has to do with growth, for example. Boys are more expensive, for example, because that jaw changes more during puberty. That is not discrimination, but it is inherent to growth and gender. We have not got out of it completely, and we have decided to cut off the discussions and pay a lump sum. I am sorry that the agreement of the National Committee on Dental and Medical Funds remained a dead letter, because there is indeed a great need in this respect. After all, we now see that more and more dental abnormalities can be treated orthodontically. If one had too big teeth and too small a mouth years ago, precious premolars were drawn. Now a solution is being sought in another way, while maintaining those teeth. Of course, that is better for the children, who have to use their teeth for a long time.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u59	Madam Secretary, orthodontics is a recognized specialty. If one says A, one should also say B and provide for normal reimbursement rates for orthodontics. That way all children can enjoy orthodontics. After all, none of us want health care at different speeds. In orthodontics, that phenomenon already exists. We have to do something about that. I regret, along with you, that the Dentomut's penultimate agreement on orthodontics remained dead letter. You can't hide behind the consultation model. I am the last person to challenge the consultation model, but in the healthcare sector, that consultation works in the context of a tripartite. The government is therefore part of that consultation model. I would therefore ask you, in the context of that tripartite, which plays in almost all the organs of the RIZIV, to step up efforts to repay orthodontics for medical treatment. You need to make sure that orthodontics are accessible to everyone.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u60	Minister, thank you for your answers. I am surprised that you are questioning the results of this study. It is obvious that orthodontic treatments have a very high cost to families and often do not use them for this reason. Society is changing and it seems to me normal for more and more people to have access to care to have a correct dentition. A better refund seems to me to be an option. Your idea of following a criterion of severity to better pay back will lead to a lot of debate because it is a rather abstract notion. I believe that the criteria for reimbursement must be reviewed in order to be able to start treatment at an early age. But better reimbursement means better price control because orthodontic devices are overly expensive. For example, a call for tenders could also be used. Finally, with regard to the fact that the agreement has remained a dead letter, it is also your responsibility to take this in hand.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u61	Mr President, I raised my question just before the holidays and wondered whether it was appropriate to talk about alcohol and alcohol advertising. Meanwhile it is full tournée minérale and it is convenient that we had to wait. At least in February, everyone agrees that alcohol can cause serious damage to our health. However, we are confronted everywhere with advertising and discounts on alcoholic drinks: in shops, service stations, by the road. Cafés sometimes offer substantial discounts, for example in the form of a happy hour, which encourage excessive alcohol consumption. The debate on alcohol marketing is fueled by conflicting interests. On the one hand, there are clear recommendations from the High Health Council to limit the quantity and frequency of alcohol consumption. Scientific BELSPO study showed a positive relationship between exposure to alcohol advertising and initiation age for alcohol consumption, the amount and frequency of alcohol consumption in young people and recurrent behaviour in persons recovering from alcohol addiction. On the other hand, there are the economic interests of the alcohol, catering and marketing sectors. You have tried to reconcile both interests in a covenant on advertising and marketing of alcoholic beverages. However, researchers consider that the Jury for Ethics, the proposed self-regulatory mechanism, does not adequately protect the importance of public health. Are you in favour of introducing a ban on alcohol advertising, similar to the ban on tobacco products? How do you see that? What discounts do you think would be allowed or not allowed? How do you see this in the context of general public health, and specifically targeted at young people? With what policy objectives do you want to reduce alcohol consumption among adolescents, the 18- to 25-year-olds in particular, and by extension also the adult population? It is often said that there is no basis for these policy objectives to take real action. How do you work on that support that we will need to achieve these policy objectives?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u62	Mrs Creemers, as you know, there have already been several attempts in the previous legislature to take measures with the various ministers of the Community governments to prevent alcohol consumption and to prevent alcohol abuse. Even before I took office, there were attempts to reach a common policy with them that combats alcohol abuse. That was not possible for several reasons. I have already answered many questions about this. But I have always focused on my own powers in this matter. As far as I am concerned, the same issue is always at stake. There must be a responsible use of alcohol. This is a matter of correct information and a strong commitment to prevention. However, I do not believe in dialoguing any alcohol consumption, because most people actually handle it correctly. It is the problematic consumption of alcohol that we need to detect and address in time. Diabolication does not contribute to the desired support for certain behavioural changes. I believe that the reform of the Jury for Ethical Practice deserves a chance. For example, the FPS Public Health will be invited when complaints about alcohol advertising are discussed. It also helps to pass on advertising on television and radio to the Jury for Ethics Practice. It is by understanding each other better that the application of the alcohol agreement can only improve. I tell you that this will continue to be a challenge in the next legislature. I believe that not only alcohol consumption, but also drug and tobacco consumption are poorly regulated. You know my opinion on that. I think it is a great loss of energy and effort that such an important area has become so fragmented by all the state reforms. I see Mrs Merckx nodding. It is very unfortunate that it was thought to achieve better results in the field by classifying it in this way. I just don't get where they got it. But it is what it is. You know that it is my proposal to bring all this to one level. That should be the federal level. We are also in charge of early detection. I've put liaison officers in the emergency wards. A broken wrist may be due to the shoes or the floor, but it may also be that one has drunk one piece in the collar. Young people with alcohol intoxication are also introduced. People at music festivals are sometimes just out of the world because of alcohol. This may be occasional use, but some use is frequent. Then there's already a problem. It may then take another ten years to experience this as a real problem at work, in the family, among the acquaintances. I do not think that every human being who once drinks a glass should be diabolized and nailed to shame like a great alcoholic. I think we really need to deal with that in a different way. I have trouble with people who say that every drop is too much. I know people who have grown a hundred years or older and now and then have a drop of drink. Those were mostly women. They have never had problematic alcohol consumption. Sometimes very young people can be seen to develop problematic uses. I think it is a shame that this important domain has been so fragmented.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u63	Madam Secretary, thank you for your answer. I think we agree that fragmentation needs to be addressed. Nevertheless, I think there are still opportunities for you at the federal level. I refer to the fact that last week our Committee on Health unanimously approved a ban on tobacco advertising. Without diabolicalizing, we can look at alcohol in a similar way. Especially young people are encouraged by happy hours to double what they pay for. I believe that we have opportunities in this respect within the federal competence that we are currently abandoning. Perhaps we should put our ideas on this in a resolution or a legislative proposal? We're definitely gonna work on that.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u64	Mr. Speaker, Madam Minister, you will recall that we had a number of discussions on this issue in the previous Parliament. I have spoken personally on several occasions. Finally, progress was made on this issue so that children with an IQ of less than 86 are no longer penalized. These children are increasingly enrolled in regular education. And the fact that they could not, like others, benefit, regardless of a particular approach, from the reimbursement of logopedia benefits was a problem. This is particularly the case for autistic children. As you know, the law of May 8, 2019 changes the coverage of logopedia services. It was therefore necessary to adopt a royal decree on multidisciplinary research in connection with the Commission de convention logopedes-bodies insurers. Madam Minister, today I come back to the subject because it is a point of concern for the children concerned. In doing so, could you inform us about the implementation of this law? Has the Commission de convention logopédes-organismes insurrectionaires already addressed the issue? In particular, multidisciplinary research on the issue of rules for the cumulation of monodisciplinary logopedia benefits with multidisciplinary rehabilitation for children whose IQ is less than 86 has started or not started? If so, what are the modalities of this research? If not, may I urge you to make the necessary arrangements for it to begin?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u65	Madam Minister, my colleague Mrs Fonck has already touched on the subject that we are going to address right now. There is an injustice, an inequality in our system of care regarding the various reimbursements of logopedia sessions between children who have an IQ greater than 86 and children who cannot pass this test. This is a problem of reimbursement, in particular. We find ourselves a little in the eternal history of the egg and the chicken. These children, who are particularly vulnerable, need logopedia to increase their chances of passing the IQ test. But it is precisely this test of IQ, which they fail to succeed, that would allow them to access the reimbursement of the logopedia. Minister, Ms.Fonck mentioned a few moments ago the legislative context you know, which dates back to early 2019. What about the research that was to be initiated? Could the IQ criterion be revised to finally give all these children access to the care they need? Logopedia will only improve their well-being and social inclusion tomorrow. Are you considering a short-term amendment of the legislation if necessary?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u66	Colleagues, the Commission de convention logopédes-organismes insurers has indeed been informed of the law of 8 May 2019 amending the taking over of the services of logopédie and its scope. The Commission has not yet concluded on how to implement this law. It found that additional funding is not provided by the government for 2020. The Commission will continue to consult with multidisciplinary actors and the scientific community. For the time being, it is negotiating a new agreement to ensure patients' access to logopedic treatment, and tariff security. It is obvious that we continue to follow this issue closely.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u67	Minister, this is not short and good. It's short and brief! What can I tell you? If it is only that, in the end, not moving forward on this issue will, in my view, be much more expensive. In fact, among them, there are autistic children who are not necessarily followed in a multidisciplinary centre, who are integrated into mainstream education and who cannot benefit from a reimbursement in logopedia. These children are treated as different children. In terms of social justice, social equity and access to health care, this is problematic. On the other hand, as regards the success of their academic career and their social integration, they are losing. So we are all losers. I would therefore like, Madam Minister, to insist heavily on you so that we can move forward.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u68	Minister, I hear that this is moving forward, but we don't know how to set a deadline. There is no budgetary response to the situation today, even if we keep an eye on it. I do think it's a little short. You say you're careful. We are all aware, I hope, of this real injustice, which leads to situations of precariousness for the most vulnerable children who are in fact at risk of irreversible damage in the future. It is a persistent discrimination that even runs counter to article 3 of the International Convention on the Rights of the Child. The best interests of the child are evident in this situation and, more than ever, we must act now, Madam Minister, otherwise it will be too late for a whole generation that you are going to sacrifice. We expect action more than reflection. We have given you legal texts to achieve this. Routine or no current business, budget or no budget, we now expect actions and, if necessary, we can carry them out with you.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u69	Mr President, Minister, my question concerns paliperidone. The RIZIV proposed the top 25 of the active elements of the expenditure in the outpatient sector of medical care insurance in 2018. What amazes me very much is the increase in prescribing paliperidone, an atypical antipsychotic prescribed for the treatment of schizophrenia or schizo-affective disorders. It's in tenth place. In 2018, 15,366 patients were treated with paliperidone. I have a number of questions on the subject. Firstly, over the last three years, I have recorded an average annual increase of 8% per year in the net amount spent on paliperidone treatment. What do you think is the explanation for the increase, despite the fact that there is also a generic, Invega, which automatically results in a fall in prices? Second, in 2018, 15,366 patients were treated with paliperidone. Can you tell me the evolution of the number of patients treated over the three-year period, since the generic has entered the market? Thirdly, can I receive an overview of the age distribution of the patients being treated with the medicine?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u70	Mr President, Mrs Depoter, it is a history. Indeed, since the introduction of chlorpromazine in 1952 antipsychotics have been an important part of the symptomatic treatment of psychotic disorders. In clinical practice, relapsed psychosis often follows after a patient with antipsychotic discontinuation. Many people find it difficult to follow long-term prescribed medical treatment. In people with psychotic disorder, long-term use of medication is often complicated by a low level of disease awareness and cognitive impairment. More than one in three people with psychosis stop taking the recommended antipsychotic after four weeks of treatment or stop taking the recommended dose. Following any recurrent psychosis, there is a tendency for the recovery period to last longer, there may be more cognitive deterioration and there is evidence that antipsychotics are less effective in reducing psychotic symptoms in some people. In the longer term, this can lead to worse symptomatic, social and physical outcomes. Prevention of recurrent psychosis is therefore an important goal in the treatment of psychotic disorders. For paliperidone, the significant increase in expenditure is a direct consequence of the increase in the use of that antipsychotic medicinal product. The 2016 MORSE report shows that the number of patients remains stable over the period 2013-2016, but the number of defined daily doses increases slightly. Total expenditure on antipsychotics decreased by 12.5 % in 2016, which can be explained by the application of the reference refund system for aripiprazole, which was the largest expenditure item in that drug class for that saving measure. However, these savings conceal an increase in expenditure linked to a growing consumption of paliperidone. Since the reference cluster was opened in April 2019, we should also soon see a decrease in the expenditure for paliperidone. This will have to be demonstrated by a subsequent MORSE report. Then I have for you a table of the evolution of the number of patients treated, classified by age, for the period 2015-2018. The source of the data is Farmanet's database. There you can see which patients use this product the most. You can see that the largest group is between 30 and 51 years old.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u71	Mr President, Minister, thank you for your reply. It confirms my concern about recurrent psychosis in society. This is a problem which we must look very closely at. The age of patients 30 to 51 years of age.............................................................................................................................................................................. We need to look at the causes of this prevalence.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u72	Madam Secretary, the Human Body Material Act determines the definition of biobank. Universities and research labs indicate that the interpretation of the human body material law leads to discussion. At present, the research laboratories have to report all human material in a comprehensive interpretation of the law, even if it has been mutated repeatedly and barely has a link to the original DNA. Firstly, are you aware of the problem? Secondly, is it true that there is a gentleman's agreement on the interpretation of the law? Thirdly, Flanders is a knowledge region that is committed to research and development. An amendment of the law is therefore necessary. Will your cabinet take initiatives for this?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u73	Mrs Depoorter, we are aware of the problems you mentioned. It has been established on several occasions, including in the framework of the Working Group on the Preparation of the Compensatory Biobanks, an interpretative working document which has been developed in cooperation with the sector. It was indeed stated that any type of derived material, such as cell lines or extracted materials, should be recorded in a biobank. The representatives of the academic sector and the pharmaceutical industry have repeatedly argued that this would not be feasible. In order to solve the problem, a legislative amendment was prepared. However, as a result of the fall of the government, the draft law was unable to be implemented. We could have had a number of points put forward here as a proposal, but it really is a far-reaching bill, and that could not be implemented. Members of the Chamber then submitted the relevant amending provisions as a legislative proposal, both during the previous legislature and this one. Those provisions are the result of extensive consultations with the actors concerned, in particular the academic institutions and the pharmaceutical industry. A more flexible regime would be introduced for artificial materials, such as cell lines, and extracted material, in so far as they are not used for genetic research. You can find those billings back. As the health risk is minimal, inspections on the collections of extracted material or artificial material are given the lowest priority pending the above-mentioned legislative amendment, which will eventually be made.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u74	Madam Minister, I have not yet seen these legislative proposals as a priority, but I will certainly look them up and follow them up. The N-VA Group is certainly inclined to support such proposals. We will, of course, study them first, but we believe that it is absolutely necessary in a region of knowledge such as Flanders to take initiatives to this end.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u75	Question No 55002219C by Mr Bertels is postponed.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u76	Madam Minister, I tabled this question on 19 December and the following day the royal decree was published in the Belgian Moniteur as part of the Maribel Social Funds for 2019. Maribel Social Funds are responsible for the execution of the White Blouse Fund. The main questions today are how the budgetary framework will be sustained (since we are now in 2020), how these funds will be allocated to ensure that it is effective and efficient in relation to the reality on the ground. If I may insist, it is because we need both more staff at the patient's bedside, but also to work on the attractiveness of the nursing profession. As I have always said: a fund to commit is not enough given the major shortages on the ground, as hospitals are not able to commit. Will there be solutions negotiated with actors on the ground? Will you be open and in line with how the social partners will work on budget allocations under the Maribel social funds?
