tbmm-2018-07-13sit01spe0001par0001	I am opening the 5th Union of the Grand National Assembly of Turkey and taking 30 minutes off.
tbmm-2018-07-13sit03spe0035par0247	I'd like a two-minute word on the collusion, Mr. President.
tbmm-2018-07-13sit03spe0036par0248	What did I say, sir?
tbmm-2018-07-13sit03spe0037par0249	No hard feelings.
tbmm-2018-07-13sit03spe0038par0250	Here, I promise you for a minute.
tbmm-2018-07-13sit03spe0039par0251	Sir, do you mind if I speak from the stand?
tbmm-2018-07-13sit03spe0038par0252	Please, without further ado.
tbmm-2018-07-13sit03spe0039par0255	Mr. President, dear lawmakers, I have made a promise not to take bullying as a personal matter, but to say that the words spoken and expressed are not correctly interpreted here. It's not a personal taunt, as a matter of fact. Now, Mr. Group Vice President has expressed himself. All of these calculations have been calculated so far, including the Speaker of the House, so that we can ignore one member of our party on the Court today. From now on, we'll do it. It's an arbitrary thing to say. Thus far, sir, with the law and the regulations, the regulations are also valid. It decompensates your thesis, which you argue. As he opened the House, Mr. Speaker made a statement. When I said it wasn't written in the charter and the law, you said there were rules. If it suits you when the rules are valid, you accept the facts. If you don't accept it here, it means you're slowly preparing for an arbitrary administration. Look, as long as your arbitrary administration continues, if it continues as it did at the beginning, this Congress will be a very troubling parliament, and I want to say it today. The first thing I said here was that law, a parliament where justice is being established, it comforts everyone, the Turkish nation, but such arbitrary practices will no longer give any of us comfort in this House. I pay my respects.
tbmm-2018-07-13sit03spe0040par0261	Thank you. Behic Çelik, Mersin MP for the good party. Here you go. [[A round of applause from the good parties]] Your time is three minutes.
tbmm-2018-07-13sit03spe0041par0269	Mr. President, I have received a pledge from the esteemed lawmakers on the proposal of the Justice and Development Party group. I salute you all. First of all, I'd like to congratulate our newly elected deputies on my first speech. Mr. President, I congratulate you, too. Hopefully, it will be my wish and wish that the 27th century will be a time in which we will make very important decisions in the interests of our country, in the interests of our nation, together in solidarity, and that will be the way of our political history. My dear friends, the Grand National Assembly of Turkey, from April 23, 1920 to today, is the most important organ that has given birth to all the organs of our state from the day it was founded. Therefore, the Grand National Assembly of Turkey is the position of representation of sovereignty and the tomb and direction of democracy. Thus, reducing the Grand National Assembly of Turkey by authority, duty, and responsibility is, in fact, the greatest damage to our state. At the same time, it is also a myth to our nation, and it is the recognition of its representation powers, its weakening, so it means the slaughter of democracy. I'd like to take this to the point that the Grand National Assembly of Turkey, as of July 9, 2018, has moved to a different place after the President's oath. We want to say that the Turkish Grand National Assembly will be very ineffective in the new order following the April 16th referendum. With movement from here, I think it would be in the best interest of our nation if we could all act as effective representations together with its opposition.
tbmm-2018-07-13sit03spe0042par0276	Gather around, please, Mr. Speaker.
tbmm-2018-07-13sit03spe0041par0277	Thank you, Mr. President. Given the Justice and Development Party's group proposal in this context, the lists of our parties, our parties, especially the opposition, are specially prepared to render them more ineffective. Mr. Mush is also stressing that in his speech here. What is your purpose here? By the time it's 21, you're taking it away from him when there's a chance that the good PARTI will be a member of the Court again. What are you doing with such a suggestion? More likely, you provide your party's stronger representation and representation of which you do not deserve in the context of residency commissions within the Turkish Grand National Assembly. That means you didn't start out in good faith. [[Microphone turned off by automatic device]] I propose that you change this decision and at least make a decision here, including the president. Thank you.
tbmm-2018-07-13sit03spe0043par0283	Thank you. On behalf of the National Movement Party Group, Group Deputy President Erkan Akçay. Here you go. [[A round of applause from MHP rows]] Your time is three minutes.
tbmm-2018-07-13sit03spe0044par0288	Mr. President, I have received a pledge from the Justice and Development Party. In the group's proposal today, we will discuss and decide whether the members of the Assembly's Presidential Court and the number of members in the party's groups will be determined and the number of members of the fellowship commissions will be distributed again in the General Assembly. Of course, we have not been able to reach any compromises as party groups at the Pre-General Assembly Council. As the National Movement Party Group, I would like to point out that now, in the 20th term, our Assembly consists of five groups, and the Court consists of 17 members -- the distribution of members. There are 5 political parties in the 21st term, 19 members and 14 members in the 22nd term, because there are 2 political parties. During the 23rd term, at the time of the National Movement Party, there were 16 Court members in the four-group parliaments, 4 party groups and 17 members in the 24th term. The number of members of the Court in the 25th term is 17, with four political groups in the 26th period and 22 members of the Court. Now, as the National Movement Party, we find the distribution of a Council of 20 members very reasonable, except for the president, all the numbers I just gave you are excluded from the President. In that regard, we find no use in forcing it on the number of memberships in party groups. Otherwise, we need to think of as the National Movement Party: Our party will be represented by two members, e, three members, would be fine. In order for it to become three members, we need to increase the number of members of the Court to 29. We see great use in looking for the reasonable here. In recent years, as the National Movement Party Group, we have also found these numbers reasonable, which have not been established by any of these numbers, as a result of a decision by the General Assembly. In that respect, I say we vote in favor of this group's proposal, and I pay respects.
tbmm-2018-07-13sit03spe0045par0292	Thank you, Mr. Akchay. On behalf of the People's Democratic Party Group, Fatma Surkan, Mersin MP. Here you go. [[Applause from HDP rows]] Your time is three minutes.
tbmm-2018-07-13sit03spe0046par0297	Mr. President, dear lawmakers, I salute you all. Mr. President, I wish you the best of luck in your position as Speaker of the House. We've all come here to leave behind an election where the safety of the election is being debated, there's been bloodshed, there's blood. We wish, we hope, that in this new era, we will all try to establish a fortified coven together. We hope that we can all reach a union of struggles for the establishment of a democratic constitution, and the unresolved principles of democracy, for the establishment of the principle of dissolution of forces. You know, we started short in the beginning, we actually started with a shame; we started with a situation that prevented two arrested MPs from participating in these studies. We hope, as soon as possible, that this shame will be removed, and we will personally have the Speaker of Parliament in the initiatives to address this blocker situation, which has been repaid in both the Constitution and the Constitution as soon as possible. Even though we have provided the most powerful ratio, we also wish that all parties would take their place in parliament as a common deficient, as a member of about 18 per cent of the women we have barely captured. As we begin the first thing, especially as we wish all of my fellow women's deputies successes, we offer to cooperate with the head of the HDP women's group on all women's problems. Hopefully, all groups will respond in hand. I would also like to say, Mr. President, that you have assembled the first Council of Counsellors. You should have made an effort to create a consensus. In public, they say: "If we are faced with a situation that bends the rod to the AKP in the first meeting, how will we work together in the next process?" This should also be discussed. That's why we deny it. I wish that the Speaker of Parliament would strive to establish the principle of rights by changing his condition, by taking back the power of the AKP, the division, the majority, and those who do not accept it here. I pay my respects.
tbmm-2018-07-13sit03spe0047par0306	Thank you. On behalf of the Republican People's Party Group, Haydar Akar is a member of the League. Here you go. [[Applause from CHP rows]] Your time is three minutes.
tbmm-2018-07-13sit03spe0048par0311	Thank you, Mr. President. Mr. President, dear lawmakers, first of all, I wish you the best of the new era, and I wish you the best of luck to my fellow lawmakers and Mr. President. Mr. President, when you were elected yesterday, we were very hopeful that there would be a consensual and compromise in the House, but the fact that there was no compromise from the first Council of Counsellors has begun to increase our opinion that this will be the future. In fact, what you have to do today is... it's always been that way, with compromise, the members of the Presidential Court were appointed. Look, there were 23 members on the Presidential Court last semester, including you, including the President, and 23 members of the Court were also agreed upon here, and increased during the term. My friend who had just criticised this, who said, "Are we going to increase it again or will we increase it again?" Although my friend who said, "Yes" voted for that settlement, and his group had increased the number of members in the Presidential Court, as well as the number of members in the Presidential Court had increased by 1 percent, but when you looked at this period, I'm afraid we're still seeing the ruling party's proposal, in a completely, self-cutting way, and in an unintelligible way, to provide their own majority in the Court, even though it was 42 percent of the opposition parties, the second, third, fourth, and fourth parties were 58 percent of the votes -- how the majority were seized in both commissions. See, the Civil Code 9: ▪ Presidential Court, one president; four presidents; seven clerks; three chief executives, he says; it's simple. So you're pulling 23 to 21, drawing 20 plus 1, preventing the good PARTI, from giving the Court 1 deputy president or clerk member. One of the two parties that got the same vote had a deputy president and a clerk, but the other one had only one clerk, which was especially done. Why are you doing this? Everyone came here by the will of the people, and everyone has a representation rate. The representation rates are simple, the voting rates are clear, which can be calculated very easily. But you've come up with a method where you're increasing your number by a complicated number because you're going to carve the Presidential Court and commission membership into you. If you're talking about justice here, if you're talking about justice, if you're going to talk about a compromise in the future, I believe you should start by correcting this mistake. Look, right now, what happens when it's 20+1, what happens when it's 21? If you're involved, there are one more members of the presidential court going to the well -- that's all -- that's the way it is -- if they keep you out of the picture so far, there's one less of the good party. Why are we having such a hard time? Why are we trying to be so evil or scheme around here? 23 is ready, we've already done it last semester, we've gone from 550 MPs to 600, we've increased our number of MPs; we've got easy; let's keep you out, and let's keep you out of it, and it's as simple as that. Why are these schemes...
tbmm-2018-07-13sit03spe0049par0318	Please wrap it up, Mr. Akar.
tbmm-2018-07-13sit03spe0048par0319	I think you'll be a compromiser, and I believe this needs to be fixed. Here all political parties represent the people and the national will. It's not right to separate one from another, to ignore another, to ignore one political party because of a number of alliances. I say that everyone must be represented equally in both the commissions and the Court at the Grand National Assembly of Turkey. I pay my respects.
tbmm-2018-07-13sit03spe0049par0322	Thank you. Mr. Akar, for one thing, I'm not part of the compromise, they're political party groups, it's a good thing to fix that.
tbmm-2018-07-13sit03spe0048par0325	You'll compromise, Mr. President.
tbmm-2018-07-13sit03spe0049par0326	I mean, it would have been compromise if a compromise would have been put forward, but in the past, without compromise, with the General Assembly's decision. We'd love to compromise, but there are different offers, and I understand that. After all, that's where it came in. Hopefully, from now on, our political party groups will be more enthusiastic about reconciliation, and we'll be able to contribute to them.
tbmm-2018-07-13sit03spe0050par0327	Mr. President...
tbmm-2018-07-13sit03spe0049par0328	Mr. Mush, here you go.
tbmm-2018-07-13sit03spe0050par0329	Mr. President, I have a request for a statement according to 60.
tbmm-2018-07-13sit03spe0049par0330	Here you go.
tbmm-2018-07-13sit03spe0050par0333	Mr. President, I have stated that while I'm making my speech, there are members of the motion, related to the CSI and Security, appointed by the law, that we offer the other commissions as 26 but on the addendum I've given you, the European Union's Integration Commission is written as 25/5, and I would like it to be corrected by the General Assembly, as well as by the EC PARTI Group. I'd like to bring this to your attention.
tbmm-2018-07-13sit03spe0049par0335	Thank you.
tbmm-2018-07-13sit03spe0051par0336	Mr. President...
tbmm-2018-07-13sit03spe0049par0337	Mr. Altay, please.
tbmm-2018-07-13sit03spe0051par0338	Mr. President, I'd like to request a search for a sufficient number of decisions during the voting of the Justice and Development Party group proposal.
tbmm-2018-07-13sit03spe0049par0339	Thank you. Thus, negotiations on the proposal have been completed. I'll submit the proposal to your votes, and before that, I'll call the number of decisions that are sufficient. All those in favor... those who don't... there's enough to decide, the proposal is accepted. [[AC PARTY APPLAUSE]] Members of parliament, İstanbul MP Nazır Jahangir İslam is demanding a statement. I promise you a minute from your position, please.
tbmm-2018-07-13sit03spe0052par0351	Thank you very much, Mr. President. First of all, we sincerely congratulate you on this new mission of yours as the Party of Saadet and pledge that we will be your help in everything, sir.
tbmm-2018-07-13sit03spe0049par0353	Thank you.
tbmm-2018-07-13sit03spe0052par0354	The outcome of the Alliance system with 97 per cent representation is indeed a positive development, but the final goal here is to remove the dam, maintain the alliance system, and ultimately represent 100 per cent. Mr. President, my fellow congressmen are currently represented by eight political parties under the roof of the Grand National Assembly of Turkey. In view of the situation, three parties, two and one, whose group, the political parties, were provided seats, were not provided. Mr. President, we know you well enough to come up with a practical solution from the PM, and we don't hide our admiration for it. We expect that no political party group will object to the solution, even if it's a verb, and we ask you, sir. That's all I'm saying. Thank you very much.
tbmm-2018-07-13sit03spe0053par0359	Thank you. There's another request for word. Ankara MP Yıldırım Kaya, please.
tbmm-2018-07-13sit03spe0054par0363	Mr. President, dear friends, first of all, I wish you all the best in your new mission. And good luck to our friends, the 27th-century MP. Mr. President, Mr. Minister of National Education Ziya Selçuk said that he was the representative of a million teachers in the deployment mission, and that all teachers should feel in the Ministry seat, but immediately he took a step that allowed teachers to be eliminated by giving 40 points to a teacher who received 90 points on the written test, or a teacher with no contract. It is truly sad that these steps were taken at a time when Turkey was the highest need for teachers and education in the 21st century. The contractual and non-contracted teacher distinction must be terminated. I'd like to point out that there's nothing understandable about interviewing teachers to ignore the success they've achieved in writing. Also, I would like to invite the president and the governor of Izmir, who were expelled from his job only because they wanted peace, who refused to collect the file in the professor's room. Teaching members can never be excluded from this society, treated as a terrorist organization. We all owe it to ourselves to take care of the nest of science. If we're going to settle on July 15th, we can fight against these honorable people who have fought against the Fetullahist terrorist organization. Otherwise, we're fooling ourselves. My respects to all of you.
tbmm-2018-07-13sit03spe0055par0368	[[Applause from CHP rows]] Thank you. Members of parliament, it is now 14 p.m. on Monday (July 16th) to discuss matters on our agenda. I'm closing the meeting at 00.
