ParlaMint-NO_2009-06-08.ana.ud2315e98	The representative Karin S. Woldseth, who has been licensed, has again taken the seat.
ParlaMint-NO_2009-06-08.ana.ud2315e984	I would like to make some comments to the representative Holmås. He misunderstood – or chose to misunderstand – when I talked about why the fund increases its risk. He asked if the Progress Party went against it. But you have to accept that when you go into emerging markets, when you go into unlisted companies, when you go into small companies, etc., you increase the risk. That's my point. For each year, there is a new assessment, a new criterion for investment that increases risk but is constantly defined as spreading risk. That was when I said that when you play both horse, lotto and tipping, you spread the risk, but it is not said that it is a more prudent investment for that reason. With regard to the Progress Party and where we want to limit investment, we have said that time and time again, and we are proposing it again, namely to reduce the share and to have more secure investments in debt securities. But you have to be aware of what you're doing. We also want these ethical guidelines to be more limited and not so rigid in practice. Because when the representative Holmås was on the pulpit, it seemed as if he wanted to extend this to almost anything. But I showed in my post how inconsistent and hopeless it is if you can't invest in something that's sad and look in this world. It's so much weird that it's sad and sad. But can we not accept that we are people, that there is something called well-being, and that we actually exist on this planet – and do not believe that you should invest in a non-profit world where everyone is equal. It is actually a variation in this world, and we are investing in a global market. We must, in fact, accept that and not put ourselves – morally and ethically – on our high horse and believe that we should be able to rule and rule all other people. So the ethics in Norway has changed from year to year. The ethics that Heikki Holmås stands for in 2009, he did not stand for in 2000 – he did not stand for it in 1990, and he will stand for a completely different ethics in 2020. But you say with certainty that the ethics you have today is going to apply to everyone, everywhere, on the whole planet, regardless of the level of development, no matter how far you have come in economic development. That's what I call some form of ethical imperialism. That's exactly what it is -- ethics imperialism. You try to point out to the whole world that just as you control yourself, you're right. It's not more than 150 years since we had child labour in Norwegian mines either. You have to be aware of the direction you are going. Then it is said that everything that the representative Holmås and State Council Halvorsen believe is ethically incorrect, no one should invest in. You have to teach the whole world about ethics, and the Norwegian ethics is correct.
ParlaMint-NO_2009-06-08.ana.ud2315e995	It's been a solid and interesting debate. Christian Tybring-Gjedde saw that it would be nice if you could invest in a paradise. There are certain possibilities for this, but I will not take that up from the Parliament's pulpit. It's not just to sum up a debate that goes from a sleeping car on the Südlandsbanen via Lisbeth Salander and to a whole new management strategy for the fund. It's not my job either. But I think there are certain points that are reason to stop, which, rather, what was thought to be the starting point for this debate, on which the Council of State was involved, than it was because of 2008, namely the ethical guidelines that have been evaluated. Now, social investment should be promoted in a slightly different way by using the three instruments of ownership exercise, negative filtering and outsourcing of companies. It will be very exciting to follow how this ownership exercise will work in practice. It's ambitious – I really would say that. I think the department and the government have put the list high. They're supposed to be proud of that. It's got Storting's approval. We have a great fortune to manage. It gives us a responsibility. The representative of Klungland thought that the Christian People's Party and the Left were limping after the Advance Party and the Right. We do not do that at all, either in this case or in other matters. What's even more important is that as a nation in these areas, we should in no way hold back. We haven't done that, and we're not going to do that. Here we have big, ambitious goals of being a world-class fund. We've been -- we're still going to be.
ParlaMint-NO_2009-06-08.ana.ud2315e1002	The representative Heikki Holmås has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2009-06-08.ana.ud2315e1005	I have to take the floor because Christian Tybring-Gjedde tried to explain why he deeply disagrees with me. I am so sorry that the Advance Party will be allowed to paint with a broad brush that everyone else is wrong, and that we – the Advance Party – are absolutely amazing. But at the moment you start asking questions about what the Progress Party really thinks, they're unable to answer. Then my question is: if it is such that the Progress Party believes that the management of the oil fund is rigid, that the exclusion of companies is rigid, then give me examples of the companies that the Progress Party believes are rigorously excluded. It's like, in the case of nuclear weapons, it's okay. That's where the Progress Party stands for itself. They believe that in a world where we want less nuclear weapons, we should start making money from the Norwegian side on more nuclear weapons. It's not about ethical imperialism, as the Progress Party now says. It's about us wanting to have control of what we're making money on.
ParlaMint-NO_2009-06-08.ana.ud2315e1010	The representative Tybring-Gjedde has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2009-06-08.ana.ud2315e1013	To the representative Holmås: I have been standing on this pulpit for four years now and have rammed up the companies that I believe should get back into the pension fund. This is particularly true for enterprises in the defence industry. Lockheed Martin is the world's largest technology company with 300 00 employees. It was the company that got us to the moon. It is the company that contributes to the space industry across the globe. It is a company that is the main cooperation partner with the Kongsberg Group and with Nammo. That's one example. BAE is another example. Northrop Grumman is a third example. EADS is Europe's largest defence company, which we buy weapons from every single day. We are acting for 10 billion kroner – for 7 billion kroner from companies that Kristin Halvorsen and the representative Holmås believe are unethical. This is the inconsistency. These are companies that carry the world forward, but from which Kristin Halvorsen and the representative Holmås believe we should be excluded. We believe that to be irresponsible.
ParlaMint-NO_2009-06-08.ana.ud2315e1019	Only a small case information at the end. It is not that we have ethical guidelines according to the representative Heikki Holmås' or my condolences or daily ideas. It's the way that a thorough job has been done with the ethical guidelines over a long time. They're anchored in Stortinget. It's about not contributing to unethical behavior, and it's about a basis that was very much in agreement when the Stortinge dealt with it, including the Advance Party. That's why we've had them since 2004. So if the representative Tybring-Gjedde wants to give the impression that there's work going on using the input method, it's absolutely completely wrong. The Ethics Council gives the Ministry of Finance recommendations based on the design of the ethical guidelines. The reasons for each case are published if they recommend a sale or if they come to a different conclusion. So putting the work on the ethical guidelines in such a mess as the representative Tybring-Gjedde is now doing, the Storting has not deserved.
ParlaMint-NO_2009-06-08.ana.ud2315e1026	After such a strong contribution from the Progress Party and the fact that I did not say anything about ethical guidelines, there is a greater need for that. It is clear that the Progress Party does not wish to give priority to activities. Only one makes money, it's the same thing that businesses do, or which countries they're part of the activity. I have to say it is quite strong when the Progress Party here draws arms exports as the greatest example of what we should go into – as if not arms exporters around the world have consistently brought with them the strongest capital forces! We are seeing today how arms exporters increase their activity, get their funding and earn their money in a world that is very unstable. I believe it is other companies that need Norway's vigilance, and that we should not support this further. I don't understand that it's going to be a task for the Norwegian people to give further priority to this development. The centre party is aware that it is difficult to provide ethical guidance – it is a difficult matter. I think the Ministry of Finance and the Minister of Finance are doing a good job – trying to find ways out of this to make the market economy more social and ethical. It's a work of praise. I think it's very strong to hear from Stortinget's pulpit that the biggest criticism of our finance minister is that she's not helping us to invest more in arms production around the world. That is very much said, and I expect most people to hear it, including those in my constituency who live in Kongsberg, and who depend on the production of weapons – but a weapon production within ethical frameworks and with the rules that exist. The Minister of Finance balances this in a good way – in the world of reality.
ParlaMint-NO_2009-06-08.ana.ud2315e1035	The representative Christian Tybring-Gjedde is quite right that we have been discussing this for four years – and we have been doing a couple of hours today as well. But I have to admit that it's still unclear to me, and that it's hanging in the air now, too, if the Progress Party at all wants ethical guidelines. They say yes to that, but I wonder if a representative of the Progress Party can explain from the Chair which countries they want in the event to withdraw from – and why – what border steps they have made, which companies they want to withdraw from, and which border steps have been taken in this regard. Or is it that the Progress Party does not want you to withdraw from something, and that they do not want to have ethical guidelines? I would like an answer to that question.
ParlaMint-NO_2009-06-08.ana.ud2315e1042	No more people have asked for the word on the matter. 1 and No 2nd@item: inlistbox [[See pages 3422 and 3424]]
ParlaMint-NO_2009-06-08.ana.ud2315e1059	At the request of the Financial Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. In addition, the President will suggest that there is no possibility of replication after the individual speeches, and that those who have to sign up to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2009-06-08.ana.ud2315e1066	This proposal by the Progress Party refers to today's recession, and it is considered to be an argument for improving the conditions for entrepreneurs. We have had similar proposals for treatment earlier in the period, but with a more general justification. For example, it was considered to establish an industrial deduction for self-employed workers, in line with employees' minimum deductions, as late as 29 April last year, when we dealt with a Document No. Eight proposals from the representatives of the Left. As you can see from the setting, the evaluations from the different batches this year are the same as last year. The proposalers consider that it is appropriate to consider setting up a scheme in which the operator of an individual enterprise may choose between a minimum deduction equal to the minimum deduction for ordinary employees and the deduction of actual expenditure, or alternatively it should be considered to introduce a scheme in which individual enterprises are granted an economic deduction equivalent to the tax relief contained in the minimum deduction for ordinary employees. In the case of tax deductions for pensions, the proposers believe that individual enterprises should have the same right to deduct as other employees of an enterprise. They also believe that one should consider whether individual enterprises and employees should not be treated in the same way in terms of social rights such as sickness benefits, unemployment benefits and pay guarantee schemes. The setting contains several suggestions from the opposition parties, and I expect them to explain them themselves. The majority of the Committee, composed of the representatives of the Workers' Party, the Socialist Left Party and the Centre, argue that the structure of a well-designed tax system should not be altered by the economic cycle. The government has stressed that tax measures resulting from the short-term economic survey should be targeted and adapted to the extent of the economic downturn we are now facing. The same majority share the view of the Minister of Finance that the economic situation does not provide a basis for a re-examination of the issues raised in this proposal for a representative. Otherwise, we show that the current government has implemented several changes in this period to improve the conditions of self-employed workers, for example. entitlement to 100 pst pregnant and parental leave. coverage, up to 6 G, and that the tax deduction for pension contributions was doubled in 2006, from 2 pst. to 4 pst. With regard to the proposal to apply an industrial deduction scheme to self-employed workers, our assessments are the same as one year ago, namely that the minimum deduction for employees is a deduction from private costs for the acquisition of income in general income. Self-employed persons are deducted from the actual costs of entrepreneurial income, so that net entrepreneurial income is included in general income. The majority believe that if a person wishes to provide relief to traders by increasing the deductions in general income, a choice should be made to increase the deduction of the person rather than the minimum deduction. The rationale for this is the distributive effect, by providing a progressive income tax through such deductions, so that those with low incomes receive the lowest tax rate of total income. For the concepts of greater non-discrimination in social benefits, such as: health benefits, unemployment benefits and pay guarantee schemes, we show that there is a great difference today between the contributions to the financing of these schemes. If a person wishes to change these conditions, it is necessary to calculate the costs. Increased fees will obviously be necessary if the rights of this group are extended in relation to today. For the whole of this group, in that case, expenditure increases imposed on compensation for the current voluntary supplementary insurance system will be taken into account. Finally, I would like to point out that improvements in social security rules have a cost. Such changes therefore need to be assessed against other proposals and their costs. We believe that such assessments are part of an ordinary budgetary process. There is no disagreement on Stortinget that entrepreneurs are welcome and wanted – even what they get. So how are things in Norway? Innovation Norway announced on 7 May this year that Norway was close to the founding head in 2008. The figures were found in the GEM report, from the Global Entrepreneurship Monitor, and led to a look-up in Today’s Business with the title ‘Founders on the Advancement’. Overall, Norway ranks fifth among the countries surveyed. Denmark is, for example, in the 16th place. Norway is particularly prominent in the use of new technologies. We have Europe’s highest share, only after Ireland, of early-stage entrepreneurship with a potential for 20 or more jobs. As you can see, the framework conditions for this type of activity in Norway are not bad. With the reasons I have given earlier in my speech, on behalf of the majority parties, I would recommend that the proposals in Document No. 8:74 is not acceptable.
ParlaMint-NO_2009-06-08.ana.ud2315e1089	Norway is now in an economic downturn. It's a global crisis. And if there's one group of people who can get Norway out of the crisis, it's founders with good ideas. It's just looking at history in the last few hundred years -- how societies have gotten wealth and growth. It is then important that we have legislation that supports entrepreneurs, does not prevent entrepreneurs. What we in the Progress Party want with this proposal for a representative ‘on better rules for sole proprietors and entrepreneurs operating individual enterprises’ is that they must be respected and treated under the same conditions as employees receive today. It's not like that. The majority of entrepreneurs start on their own with the form of an individual enterprise – especially because it is easy to start, there are few start-up costs and there are other benefits, such as: the discharge of costs to the auditor. Unfortunately, many disadvantages are also: There is a very high risk, and one alone has full responsibility for the company's obligations. Activities of individual enterprises do not provide unemployment benefits for owners. Individual enterprises provide a basis for sickness benefits from popular security, but only 65 pst. from Day 17. Individual-person enterprises do not grant the owner rights equivalent to those which the operator would have obtained if he established a limited liability company or a Norwegian-registered Foreign Enterprise, so-called NUF. The business of an individual enterprise will also miss other benefits that ordinary employees have, such as: minimum deductions on the declaration of pay-guarantee scheme tax-free treatment insurance duty-free continuing training entitlement to care allowance for sick children 100 pst. care allowance coverage and training money coverage We can certainly say that women are more affected than men, with a greater proportion of women than men choosing to start individual enterprises rather than other forms of organisation. All the members of the Financial Committee have received a letter from the Confederation of Enterprises. You would think that the individual parties had taken care of reading it. They support and confirm what we in the Progress Party address in our proposal. The company association has also calculated how much a founder loses on this. If an entrepreneur operates an individual enterprise and has an entrepreneurial income of DKK 400000, he pays a whole of NOK 32500 more in taxes than an employee with the same income. In addition, there is a higher social security charge. The company also comments on the letter of reply from Minister of Finance Kristin Halvorsen to Stortinget dated 12 May 2009, from which I would like to read. The Minister of Finance argues against the minimum deduction for traders with the following: «Activists are deducted from the actual costs of entrepreneurial income, so that net entrepreneurial income is included in general income». The association then answers: ‘Unfortunately, the argument is not sufficient for the actual conditions. For example, those who are self-employed may: a maximum deduction of 6,000 km per car used in industry per year, although they can prove a multiple driving distance and have only a standard amount of 1500 kroner per year for home offices. In a number of other areas, too, there are very limited opportunities for costing costs related to industry.’» The Association of Norwegian Accounting Officers (NARF) also fights for better conditions for sole proprietors. It's a union you should listen to. An investigation they carried out for a period of time showed that self-employed persons in individual enterprises are penalised by up to NOK 40000 at additional costs compared to those in employment. In these times of crisis, there is a lot of talk about investing in research, but for entrepreneurs with good ideas that run individual enterprises, there are other rules. The self-employment of traders is not included in the costs that form the basis for tax deductions under the Tax FUNN scheme. By comparison, the same person receives a tax deduction if he organises the operation as a limited liability company and pays a salary to himself. There are about 20 000 NUFs, i.e. Norwegian registered Foreign Enterprises, registered in the Brønn Island Health Registers now. Is there a development of government parties proud of? The rapporteur said that it is very good that is happening in Norway, and that is what it is. Many new companies have been established in recent years. But they are established because of the tax changes that have forced people to start corporations. Then there have actually been several bankruptcies. In conclusion, I address the proposals we are promoting with others and alone. I would also like to point out that we support proposal No. 5, promoted by the Right and Christian People's Party.
ParlaMint-NO_2009-06-08.ana.ud2315e1152	The representative Jørund Rytman has drawn up the proposals he referred to.
ParlaMint-NO_2009-06-08.ana.ud2315e1155	We politicians should do what we can to enable people to succeed in creating jobs for themselves and for others. Equal treatment for workers and new entrants reduces the risk of innovation, not least for women wishing to start their own business. Therefore, the right is in favour of proposals that contribute to facilitating entrepreneurship and innovation and will therefore commend the Progress Party for this initiative. The right is fully in agreement with the rapporteurs, and what is at the heart of this proposal is that improved framework conditions for individual enterprises can help to create a basis for new future growth based on good ideas and innovation. The rapporteur mentioned in his introduction that Norway is at the founding head. It's very good, but it's hardly the government's profit. And it's very special for all the people around Norway who work every day to create jobs, that the government parties stand on the pulpit of the Storting and take credit for it. It is also a cross-section of thought that the country's largest government party does not want to participate in the debate, has not signed up to the list of speakers, when we are now discussing how we can make even better provision to ensure the rights of entrepreneurs. Unfortunately, the Government is doing too little to facilitate more people to choose to set up their own business. It is also a pity to see that the Government does not see the value of more people wanting to start their own business and contribute to increased value creation and a better welfare. A proof of this is precisely the case we are dealing with today, where the Government opposes all the proposals. And it surprises me that the Government is going against all these proposals, proposals that are about improving the measures and strengthening the rights of those who are doing their own business. There is an unfortunate signal the government sends to all those who want to take risks and who choose to contribute to strengthening well-being. It's not unwilling these people should be met by the authorities, it's benevolent and a pat on their shoulders for the effort they're making. On the right, the proposers believe that good action is being taken, especially for the smallest enterprises and for self-employed people, and we believe that there is a need for a new and much more offensive policy for the self-employed. It is vital for many that the social rights are in place if you are to take the step of establishing your own business. For this reason, the Right wants to be involved in supporting the proposals of the Progress Party, including: with regard to the assessment of a greater level of equal treatment of individuals with employment with regard to social rights. In this context, however, it is also important to stress that funding needs to be seen, and not least the possibility of voluntary membership needs to be considered. The right also supports the proposal for a review for the same group with regard to the other fiscal conditions and the possibility of ensuring the security of unforeseen events. Together with the Christian People's Party, the Right has promoted its own proposal where we want to have a system of nutrition deductions for self-employed people. I take this up with me the proposal of the Christian People's Party and the Right.
ParlaMint-NO_2009-06-08.ana.ud2315e1176	The representative, Linda C. Hofstad Helleland, has drawn up the proposal to which she referred.
ParlaMint-NO_2009-06-08.ana.ud2315e1179	Document No 8:74 from the Progress Party on better rules for entrepreneurs and entrepreneurs operating individual enterprises is a very important topic. Some of the background to the document is that, under current tax rules, it is economically advantageous to organise its limited financial liability business, such as limited liability companies, rather than as individual enterprises, where the owner and the performer have unlimited financial liability. Should there be a tax difference, the difference should be in the favour of the sea-going trader because of the greatest risk there. I want to start with, as the rapporteur was in the case, that there have been two important things in this period of government, two important things that the red-green government got into. The first was in 2008, when the entitlement of the sea-going sole proprietor to maternity and maternity benefits was increased to 100 p.p. coverage up to 6 G, while increasing the social security charge to cover the additional costs of the measure. Furthermore, in 2006 the right to deduct the contribution pension was doubled from 2 to 4 pst. It is an important matter that is well received. This government prioritised it among other priority measures and got through to it, and we in the Center Party are very pleased about that. The first point of the proposal concerns the deductions from activity of individual enterprises. We have minimum deductions for employees, and we have personal deductions – or what is called class deductions. The deduction from general income is granted regardless of whether the income is wages, salaries, capital, pensions or entrepreneurial income. These types of deductions result in progressive income taxation, so that those with low income receive the lowest tax rate as a percentage of total income. The deduction has increased from 1992 from NOK 21 700 to NOK 38 850 in 2008. It is a strong increase, but much lower than the minimum deduction. If a person wishes to provide relief also to traders by increasing the deduction in general income, a choice should be made to increase the deduction of the person rather than the minimum deduction. In order to ensure equal treatment between employees and seafarers, it should be considered that a higher deduction should be made from the general income of the enterprise. As mentioned above, the minimum deduction has increased significantly in the last year. A corresponding increase in the amount of the person deduction has not been made. This therefore increases the need to assess a higher deduction from the entrepreneurial income of maritime operators. That assessment is precisely to establish that the taxability principle must apply to maritime operators as to employees. So to the next point in the document, the proposal of social rights. Contribute to the financing of popular security through, inter alia: the social security contributions are different for employees and traders. Benefits from social security for employees and different maritime workers are very different, where employees have the highest social security contributions. The members of the Committee of the Governments of the Parties say that it would be reasonable to consider increased fees for maritime operators in order to extend the rights of that group in the area of public security. The tax deduction on the contribution pension for traders was increased from 2 to 4 pst. in 2006. The short period since that increase makes it difficult to assess the need and consequences of any change in this rate. The work of increasing minimum deductions and improving social security rights for maritime traders is prioritised by the Centre Party more than the improvement of tax deductions for deposit pensions. Finally, a very important theme is the fiscal and social framework for maritime traders versus employees. Most entrepreneurs start out as self-employed workers, many times through part-time work, to try out something other than paid work from other employers. Greater safety as a sea-going operator, including: In the case of disease, it is important to stimulate more people to step into the ranks of entrepreneurs – which is something that all parties are talking positively about. But it's demanding. It requires greater equity, greater saving, greater long-term sustainability. It is a very different culture to go into the ranks of the maritime traders. Therefore, it is very central that the framework conditions are facilitated. The centre party is now very concerned with concrete proposals for improvements. For us, it is important that there be under two safe slogans: Do your duty, demand your right – and tax by ability.
ParlaMint-NO_2009-06-08.ana.ud2315e1200	No more people have asked for the floor on case No. 3rd@item: inlistbox [[See page 3424]]
ParlaMint-NO_2009-06-08.ana.ud2315e1217	At the request of the Defence Committee, the President will propose that the debate be limited to 2 hours and 5 minutes and that speaking time be allocated to the groups as follows: Working Party 45 minutes, Progress Party 25 minutes, Right 15 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 10 minutes and Left 10 minutes. In addition, the President will propose that the opportunity be given for a sequence change of up to 3 lines with replies from the main speakers from each party group and 5 lines with replies from members of the Government within the allocated speaking time. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2009-06-08.ana.ud2315e1228	This is a very big issue on an economic scale. It is estimated that at the time you want the aircraft that is now recommended as a combat aircraft, it will cost NOK 145 billion. It is a matter of utmost importance because an effective defence of Norway requires a modern combat aircraft. This has been used in the past by the Stortingen during the examination of the long-term programme of defence and in a number of other contexts. So the question to be addressed now is not whether we need a fighter weapon. Today we have F-16, which serves us well. At some point it will reach its technical life span, and the discussion is not whether to replace it, but when and with what option. We are not legally bound in this case until 2014, and Stortinget is brought to the attention of the case again in 2011. Nevertheless, this decision is crucial. During the hearings, the Council of State indicated that this could be described as a matter of suffrage. Yeah, that's the way it is. There have been two alternatives – after the Storting decision today, there is only one. We know that there are not many alternatives to the choice to be made now. That's why the race is clear. Everyone except the Advance Party is ready to make this choice today. Given the size of the case, it is more than surprising that the government has nothing more to say than that it can be expressed on 11 pages. Of course it's too small. However, the Committee has been able to supplement the assessments by asking, by having consultations, by making trips and by digging down into the major document bases we have asked for. Therefore, it has been possible to supplement the Government's brief proposal, so that the Storting should now be able to take a position on the matter. The fact that the Progress Party has failed to follow this process is more than surprising. I'll come back to this. The government has had three main criteria to consider the new fighter plane, from which I am not in doubt that it is the military performance that is the most fundamental. In this case, we have a clear and unambiguous military professional assessment: it is only F-35 that meets the Norwegian needs. The Swedish option, JAS Gripen, is not ranked as number two, it is to be considered not current. That doesn't mean it's a bad plane or it's not suitable for purposes other than Norwegian, but the point for us is that it doesn't meet the Norwegian needs. What we're going to get is a fifth generation fighter plane. Many suggest that this is a fighter plane that will be produced in large units, not least because it looks like the Americans are putting one of the other advanced fighter planes aside, the so-called F-22. So we're pretty sure that we're making a choice that others are making to a large extent. The second criterion that has been taken into account is economics, and there are huge numbers out there and going. During the presentation of the Government's recommendation, I noticed that both the Minister of Finance and the Prime Minister put great emphasis on the economic aspects, namely that F-35 is going to be cheaper than the Swedish alternative. There has been a discussion on this in retrospect, and the Storting must make up an opinion as to whether this argument is important. At my discretion, when there is only one aircraft recommended from a professional military point of view, it is no longer the economic issue that determines. Or another way: it's not like we wanted to buy a plane that wasn't recommended, even though it should be a little cheaper than what's recommended. For this reason, the Committee has not been deeply involved in the discussion that has just come to light on the economic situation, because it cannot be what might tip around an assessment of which aircraft serve Norway’s defence needs best. Now it's like the numbers that are there show that the Swedish option is more expensive, and a lot indicates that it's right. But at my discretion, there is no need for Stortinget to go deep into this issue. There are a lot of obvious things that speak for the sake of correct math, for example. that such a central component as the upgrade of the aircraft for which we are going to purchase – let's say – 15-20 years, in that case could be distributed to significantly more users than those who were going to buy the Swedish option. At my discretion, there is an important point here that the Government addresses to a very small extent. I think it would be vulnerable to Norway as a small nation to become the largest user of a version of a fighter plane. It is safer to buy something that many others will also buy, and if there are not many others, then at least something that will be produced in a significantly larger number than that option will be on. Now there's been a debate in the press about this that might be confusing. I believe that this is largely due to the fact that the proposition at this point is very scarce. Less than one side of something with a lifetime cost of DKK 145 billion is nowhere to be found. But it has been possible to dig into this and find out how the contract is designed at this point, and it is, as far as I can judge it, designed so that this is the best way to do it. It's an incentive contract, and all of the partners that buy the same configuration in the same year are going to have the same price. There is no element of ‘wheeling and selling’ in this price, and I think it is reassuring. But here's an important problem issue that could probably have been explained better than the proposition put up. The third element, and it cannot turn around the purely professional assessment, is that it is important that such a large investment also benefits Norwegian jobs. This contract is a different design from the traditional buy-back design, the so-called best value principle, where there is no guarantee that we will get contracts, but if you are the best and cheapest, you also have great opportunities. This is probably also a system that is socio-economically better than the traditional buy-back system. But it's about there being enough openness and enough transparency in this system that we can keep in mind that it's really the best value principle that's being applied. Attention must be paid to the American suppliers throughout the period. I think everyone is aware of that. Therefore, there is a great task now ahead of us by ensuring that Norwegian suppliers are in the position to take advantage of this great opportunity that has now been given us. I would like to underline the point that is also in the vote, namely that the fact that we are now early out and making a roll-out will put us in an even better starting position for what is going to be a long-term work to obtain Norwegian contracts as far as possible. This is also a reason to stress that making new releases now is not a good idea. So I have to add a couple of points in connection with this, because the main question itself stands for me as pretty easy. I'm not a moment in doubt that it's the F-35 that's the right choice, and I'm glad that a large majority in the Grand Duchy today is going to adopt this, but there are three more things: One is the treatment of the Swedish alternative. There is much to be said, both when they were informed, about the quality of the dialogue and about what was said about the Swedish option. I would like to emphasize again that it is not in any way a bad plane, but it is equipped for other needs than those we have. I think the government could have dealt with this question – to put it this way – with something more diplomatic than what came out. The second thing I want to say is that acquiring new fighter aircraft means a big economic decision. That means that in a defence budget that is under pressure, it's important that we get a special deal on the fighting aircraft issue, that is, on the investment itself. I want to say here, as I say in a lot of other cases, that it is now important that we form a proper perception of what is a proper operational level of defence. We are still getting assurances from both the defence minister and the head of defence that we have found the right level. It's okay, but they never provide us with material that allows us to check the numerical basis of whether we agree or disagree with this statement. This leads me to the third point, because this is going on and on again, and it's that it's not being informed well enough and deep enough about important defence issues. I think this proposition is one of several examples of this. I therefore took up with the Council of State in a spontaneous question hour not long ago if she would now be able to stand behind a transparency reform in the Defence. I was told that I should read the papers better. I should perhaps have been raised over this answer. I didn't. I'm going to take it as nicely as I can, but there are perhaps some things the Minister of Defense has not quite got hold of if she thinks that this can be solved by reading newspapers better. I believe that there is something fundamental out there and going: in order for the defence to have alliance partners in Norwegian society, it is important to be more open about the dilemmas, to put more alternatives on the table, and to create more opportunities for participation in the defence policy debate. We're past the stage where we're for or against the Defense. It's now a question of how we're going to develop it further. If the defense wants friends, you have to be open about this. I'll get back to this in other contexts. So a couple of closing remarks. There is a broad majority behind this position. That means that the fighter question after this is not in play, and that we've taken the vote and are ready to move on. Therefore, I am pleased that the Right and Government parties stand together, although I would like to draw the attention of the Council of State to the fact that the comments of the Right in the matter may acknowledge some more of the Council's opinions than the Workers' Party and the SV's comments do. But as I have said many times before, every time my good colleague Bjørn Jacobsen has a finger in the game, I have to stand up to defend the Government. I have also done so in this case. So to the Progress Party: I must say it surprises me that it is not possible for the Progress Party after such length of consideration in the Committee – they could even have had more time if they wanted to – to participate in this decision. When you want to send the case back to see if the second option would have been good enough, because that is what the reality is about, it means that you are prepared to set aside unique professional-military assessments. One just has to find out that the Progress Party is that. The second concerns security policy. I believe that if the Swedish option had been clearly the best and least expensive, we should be able to justify it from a security policy point of view. Now, when we pick American, there's no doubt that it strengthens a traditional bond that I thought the Progress Party was paying attention to, but it's not that important anyway. The third is, you are now willing to play the fighter aircraft by not making a decision on the matter. There are also a few of the arguments that I, as the rapporteur, must say, cannot be contradicted. These include: a use of figures to compare the lot of apples and pears, where there is no relevant basis for comparison, and where there is no difference between the figures claimed by the Party of Progress. The second is the argument that Stortinget has never been in the opinion that our fighter aircraft must have so-called autonomous capacity. It takes the Progress Party a lot of time to argue against. Yes, it is true that the word ‘autonomous’ does not appear there. But if the Progress Party reads what they themselves quote, it will be seen that the term “self-evident” is in the documents. And then you wonder how it turns out that the Progress Party does not then get the terms ‘autonomous’ and ‘autonomous’ to go completely together. This is a great decision, an important decision, a very correct decision, and I am pleased that it is a broad majority in the Grand Duchy that today takes a stand and makes sure that the matter does not come into play.
ParlaMint-NO_2009-06-08.ana.ud2315e1274	It's going to be line change.
ParlaMint-NO_2009-06-08.ana.ud2315e1277	I would like to pay tribute to the chairman of the committee for a thorough job as case rapporteur for this major and important matter. After all, we're talking about the biggest investment that Fastlands-Norway has ever made, and for the committee chairman, it's a historic thing to end the big business. I had originally intended to ask the representative Petersen what he thinks about the Progress Party's handling of this matter. I've got a very good answer to that, so I'm going to come up with another question. In view of this matter, which is so big and important, I would like to ask how the Right looks at the possibility of being able to govern together with the Advance Party when, in such a big and important case, they do not even find reason to cooperate on the best solutions.
ParlaMint-NO_2009-06-08.ana.ud2315e1284	I understand that it is time that I got out of the house when I haven't even managed to friend myself to where to take the lines from. I do what we did in the old days, but it's going to work. Thank you so much for your nice words. It has been a big and interesting matter to work with, and I am very happy that we have come to an agreement. What I believe about the position of the Progress Party, I have stated, and I believe as the case-law rapporteur that I should do so. With regard to the consequences for the harvest, it is not my job to think too much about it, but we must note that it is difficult for a government to work towards a majority in the Grand Duchy. Here you have a clear majority in Stortinget, and I expect the Progress Party will not do anything to put this matter back into play. In this way, I'm probably a little surprised that on top of all the other things where you're in a clear minority and if you want to rule against the bulk of the population, you find another one. But it is not my job to answer the wisdom of that.
