ParlaMint-NO_2009-12-16.ana.ud811e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2009-12-16.ana.ud811e546	Kari Kjönnaas Kjos – for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e549	In September 2008, a man was diagnosed with an injury requiring surgery. He applied to get back under the Rasker scheme, and was told that he would have an operation at the end of 2009. So he was supposed to be on sick pay for one year. I don't see this as fast or backwards. There's free capacity, especially at the private clinics, and my question to the government council is: why does the red-green government think it's better to spend the money on sick money than to spend the money on buying an operation, which would actually give you a lower cost?
ParlaMint-NO_2009-12-16.ana.ud811e554	The President must be allowed to recall that, to the extent that questions are asked about individual matters, we have a written questioning institute and an ordinary questioning session. I assume that it is meant as a reference to a general issue, and therefore the Council of State may be allowed to respond.
ParlaMint-NO_2009-12-16.ana.ud811e557	There is no doubt that many people who go ill over a longer period of time, and such as those who are sick. waiting for an operation, getting impaired quality of life and being ill-reported for too long. It is absolutely so that the government is very busy to bring down sick leave, not least for the individual to come back to work and back in the everyday life in which most of us want to be in. There are many measures to offer an offer. Someone is waiting for an operation to take too long. We can agree on that, and we're trying to do something about it. However, in the case of action in the field of rapid return, they are just supposed to be able to provide those with the opportunity to receive treatment, in order to return to work more quickly.
ParlaMint-NO_2009-12-16.ana.ud811e564	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e567	In the consultation of the Health and Welfare Committee, there were many inputs on rehabilitation and rehabilitation in institutions after illness or injury. Let me take an example from an institution that says it today is completely unpredictable. They've had to halve the number of places, and faster back they only get one year at a time. Other agreements are for two years at a time, perhaps with the possibility of one or two years extension. It's cheese-happy. Fewer places and shorter bedtime are also characteristic of these institutions. I have to say that I am very concerned that the Council of State does not answer the question if she believes it is okay that the ideal and private rehabilitation institutions have now actually gone to terminations because they have not got an agreement on the hassle back next year. What does the Government mean by ‘predictability’ in its own government statement, when we stand here with one to two years of agreements? Is that predictable?
ParlaMint-NO_2009-12-16.ana.ud811e576	In the case of the accelerated back action, there is an exceptional measure, an exceptional item granted year by year. We've chosen to continue this for next year. It's almost 500 million. kr. At the bottom here are institutions that have more predictable agreements with health businesses, but I have taken the signals that have come from the Storting, both in the budgetary procedures and in several questions to me in Stortinget, that it is desirable to have longer contractual periods. But you have to look back more quickly as a matter of your own initiative. It is otherwise the general agreement of health care establishments with the rehabilitation institutions. There I want to give guidance signals that you have to look at the contract period because it creates difficulties, and that is very understandable. It creates difficulties for the institutions. I have taken that into account, but as far as the system is concerned, faster back, there is a small part of this, which must be granted year by year.
ParlaMint-NO_2009-12-16.ana.ud811e581	Then the oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2009-12-16.ana.ud811e588	There will be a number of changes in the list of questions set out, and the President refers to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 4, from the representative Peter Skovholt Gitmark to the Minister of Defence, is answered by the Minister of Justice, who has been removed. At the request of the Minister of Justice, this question is moved and answered before question 16, to be answered by the same Council of State. Question 6, from the representative Lars Myraune to the Minister for Economic Affairs and Trade, is moved and answered at the request of the Council of State to answer question 27, i.e. at the end of the Questionnaire. Questions 7, 8, 11, 12 and 13 from Arne Sortevik, Ingjerd Schou, Jan-Henrik Fredriksen, Øyvind Halleraker and Svein Harberg, respectively, to the Minister for Transport, will be answered by the Minister for Transport and Regional Affairs on behalf of the Minister for Transport, who is in a state of disease. Questions 9 and 10 from the representatives Mr Bård Hoksrud and Mr Freddy de Ruiter respectively to the Minister for Transport are postponed to the next Question Time, as the Council of State has a disease incident. Questions 16 and 17 from the representatives of Arve Kambe and Siri A. Meling, respectively, to the Minister for the Environment and Development, were answered by the Minister for Justice on behalf of the Minister for the Environment and Development, who has left. Question 22, from the representative of Torgair Tåldal to the Minister for Agriculture and Food, has been withdrawn. Questions 25 and 26, from Robert Eriksson and Henning Warloe, respectively, to the Minister of Labour, are postponed until the next Question Time, when the Council of State has left. Question 27, from the representative Elisabeth Røbekk Nørve to the Minister for Fisheries and Coast, is taken up by the representative Frank Bakke Jensen.
ParlaMint-NO_2009-12-16.ana.ud811e614	‘Assessing pupils with developmental disabilities before high school leave is rarely considered on which of the twelve regular lines is best suited for each student. Students are often placed on line 13, which consists of learning to perform daily tasks and which does not provide formal competence required by the Training Act. What will the Council of State do to the county, so that the students are taught according to the law?’
ParlaMint-NO_2009-12-16.ana.ud811e621	There are today, as the questioner is concerned, twelve higher education programmes. Three of them are preparatory and nine are professional. Students applying for post-secondary education shall be included in one of these 12 education programmes. Other training programmes are not available, nor is there any ‘Line 13’ mentioned by the representative of Thorsen. Some students, however, have difficulty obtaining adequate benefits from regular and adapted training. In this case they may require special education. In that case, individual decisions must be taken and expert judgement made by the county PP service. An individual training plan, a so-called IOP, must be drawn up for the student. This needs to show the student’s training objectives and the content of the student’s training. The provisions of the Training Act on Special Education contained in the Training Act Chapter 5 must be complied with. Although a student receives special education, this student has the right to receive training according to normal curricula, and is entitled to the same number of hours as other students. If this proves impossible, the student’s individual training plan may exclude both the curriculum and the professional and hourly distribution. The exception may be to offer the student alternative training in a smaller group. For example, a highly disabled student can be given daily training in the form of daily training. Such an alternative training offer is not an individual training programme, but an individual right to special education for a student who has a decision and needs to do so.
ParlaMint-NO_2009-12-16.ana.ud811e640	The question was: ‘It is rare for students with developmental disabilities to be evaluated’. I'm not satisfied with the answer. I felt it was too general. The question is that the so-called offer no. 13, which is granted to the developmentally impaired, has no guidelines or requirements on how the training is to be conducted. However, the Progress Party expects, and here comes a clarification of the question, that the Training Act Section 5-1 on the right to special education – such as the Swedish Ministry of Education. states that the student’s development prospects should be ‘focused on the student’s development prospects in particular’ – followed. According to the journal Somfänn for all, the Directorate of Education has contacted the counties, who reject the offer as illegal. The new apprenticeship system has produced very good results where it has been tested. Does the Minister intend to facilitate training within the apprenticeship scheme for students with developmental disabilities?
ParlaMint-NO_2009-12-16.ana.ud811e649	The issue that Bente Thorsen addresses and refers to is very important for those who have special training challenges, but we lack a national overview of the scope, offer and practice of what Thorsen addresses. Parents and user organisations have addressed this issue in national consultation conferences that we have had in connection with the fact that the central management committee's decision, which is just about this issue, has now been consulted. We've just received a lot of hearing opinions on this. I think it's over 280, so there's a lot of commitment around this. I want to address the issue that Bente Thorsen is raising with me now, in the follow-up to that investigation, and will consider what measures we can take to ensure that all students are given the training they are entitled to – also the group of students who are concerned about this.
ParlaMint-NO_2009-12-16.ana.ud811e658	I am more pleased with the answer to the Council of State now! It will be exciting to follow developments further after what has come. At the same time, the number of complaints to the County is greatly reduced by relatives. One possible reason might be that complaining about the offer is very resource-intensive because the individual decision often only contains that the student has entered school, and does not say anything about what special education should contain. Will the Council of State take the necessary steps to ensure that decisions on the content of education for disabled pupils are taken in the Single Decision, in order to simplify the appeal procedure?
ParlaMint-NO_2009-12-16.ana.ud811e667	I'd like to investigate a little bit before I give a supplementary answer to the last follow-up question from the representative of Thorsen. I understand the commitment that lies behind this issue that is being addressed, and I'd like to cooperate with the representative Thorsen on how we're going to be able to make this offer better in the future.
ParlaMint-NO_2009-12-16.ana.ud811e677	I have the following questions for the Minister of Knowledge: ‘What reductions in greenhouse gas emissions can the red-green government refer to under the responsibility of the Minister of Knowledge since accession in 2005 and how do the Council of State assess these results in relation to Norway’s national greenhouse gas reduction target?’
ParlaMint-NO_2009-12-16.ana.ud811e684	Let's first raise our eyes a little bit. My starting point for the answer to this question is that in the education sector, the main solutions to climate problems are found – the main challenge is not that emissions from this sector are so great – it is those who sit on the school bench today, it is the research environments that we are responsible for, for which we are completely dependent on knowledge and competence and can put their heads in the balance and find solutions to how we can reduce climate emissions in the future. Not all sectors have. During the review of the Climate Change Communication, it was agreed that in 2020 it is realistic to reduce emissions in Norway by 15-17 million tonnes of CO2 equivalent compared to the reference path presented in the 2007 national budget, when forests are included. In line with the principles of sectoral responsibility in environmental protection policy, the Climate Action Communication, St.meld. No 34 for 2006-2007, set own emission targets for four main sectors. The government is continuously following up the climate agreement. However, the challenges are not that the climate agreement is not adequately followed up. The challenge is that although the climate agreement was a major step forward for climate policy, the measures in the conciliation are probably not enough in relation to our climate objectives. As a result, the government is constantly looking for ways to extend the climate toolkit. Therefore, the Government set up the Climate Change 2020 team only a few months after the adoption of the Climate Change Agreement in the Stortinget in 2008. The Climate Action Report, now produced by the SFT and other agencies, will provide in February the most comprehensive menu of new instruments and measures ever presented in Norway. The Klimakur report will show how Norway can meet the climate targets. Following the presentation of the Climate Action Plan in February, the Government will carefully consider the various proposals. Following a climate change crisis, the Government will therefore provide the Stortinget with an assessment of climate policy and the need for changed instruments. In the Ministry of Knowledge, the main focus of action in the field of climate policy – as I was at the outset – is on training, knowledge dissemination and awareness-raising. The ‘Human with environmental awareness’ chapter of the ‘Knowledge promise’ covers sustainable development in the general context of the curriculum. Environment and sustainable development are also addressed in both natural and social sciences. The Ministry has, through the National Action Plan on Sustainable Development, activated schools, employees and students in the field of sustainable development and activities contributing to the reduction of greenhouse gas emissions. And last of all, we have a lot of good examples. In spring 2008, a knowledge status was established that underlines that many schools have a poor physical environment and poor school standards. The need for rehabilitation in schools was still high, and the Government therefore proposed in the 2009 State budget to extend and amend the grant scheme that was established in due course in connection with the start-up of the primary school reform. Therefore, a new eight-year interest-reimbursement programme was introduced for the rehabilitation of school facilities owned by municipalities and county municipalities. It was set up with a frame of NOK 15 billion. Two of these billions were phased into the 2009 state budget, and another 2 billion dollars, as we know, are phased into the state budget for next year. Changes have also been made to allow private schools to participate in this. Rehabilitation of schools of this magnitude will contribute to the reduction of energy use and the more environmentally friendly operation of schools. I also draw attention to the package of measures, the exceptional means of maintenance that the municipalities have received. A large proportion of them have gone to the rehabilitation of school facilities, as well as to this type of improvement, both heating and ventilation, for example. In kindergarten, too, it's about the environment in many ways. I would like to emphasise here that many kindergartens are involved in the work of the Green Flag, where the aim is to stimulate sustainable development through environmental education and practice. In 2008, more than 50,000 schools and kindergartens participated in an international scheme. Norwegian kindergartens have a long tradition of working environmentally through local development. The framework plan for the content and tasks of kindergarten also emphasises the responsibilities of kindergarten for providing children with basic insights and understanding of nature, environmental protection and the interaction of nature. State activities under my responsibility have been following the guidelines on the Green State for several years. Here, among other things, it is added. emphasis on systematically integrating environmental considerations into the operation, including: identify the environmental impact of own operations. As the representative of Aspaker will note, in the case of kindergartens and schools, it is possible to achieve concrete reductions in emissions, improved energy efficiency and new environmental solutions, primarily in the building mass. But I want to emphasize anyway what I started with, that the most important thing in education, from kindergarten to the last professor, is to contribute to the fact that we are still hungry for knowledge, and that we are constantly developing knowledge so that we have better environmental solutions in the future. In this way, the education sector will be a positive player that contributes to reductions not only in its own field but also in very many other areas of society.
ParlaMint-NO_2009-12-16.ana.ud811e713	I would like to thank the Council of State for the answer. I very much agree with her that the education sector and the research field are a key resource in how we can deal with the challenges we face, whether we speak nationally or in a more global context. But the more important I think it is then that we are also able to take this into account in everyday life, that we are able to show that it is not just the big views and what we are doing – I was saying – that we are counting abroad, but that we are actually in the everyday, close policy at home also doing the right thing to see that we are changing attitudes. I think it's incredibly important with the power of the example. The councils were in on this with the building mass, etc. But does the Ministry of Knowledge have its own defined policy in relation to climate-friendly construction, heating, etc. – I also think about the building mass of the department itself?
ParlaMint-NO_2009-12-16.ana.ud811e722	We're trying all the way to find the best possible environmental solutions. Most facilities in the kindergarten and school sectors are the responsibility of municipalities. The municipalities account for approx. 5 pst. of the total CO2 emissions in Norway, and we are working intensively to make municipalities their own climate action plans and focus on how to reduce emissions. There is a lot of interesting work going on in this field around the municipalities. Let me give you an example from Trondheim. The first five months of 2008 saved ten schools in Trondheim – and then we're all the way down on the planet where the representative Aspaker calls for commitment – energy equivalent to the normal consumption of 50 single homes, and the consumption was reduced by 12 pst. compared to the previous year. It's a very concrete example of something that actually led to reductions in emissions, but that also became a very wake-up effect for all the children and adults involved in these projects. In this way, through the school system, we can help to get the awareness that the representative is after.
ParlaMint-NO_2009-12-16.ana.ud811e730	I would also like to thank the Council of State for that answer. The point is that now it is important to keep the matter warm, also between large climate events when things build up and the matter has the maximum focus in the media. I would like to ask and challenge the Council of State if she would like to take the initiative to provide a brief explanation of the sector's handling of the annual budgets of the Ministry of Knowledge, of any results achieved and of the specific ambitions it has for its own environmental and climate objectives in the coming year.
ParlaMint-NO_2009-12-16.ana.ud811e737	I would like to come back to that when we are going to update how we are going to work on our climate objectives, after the work on Climate Change has been completed and presented. It may be interesting to make this visible, as requested by the representative Aspaker, in the context of the budgetary procedure. But I'm also concerned that we're going to find the most effective ways we can work on this. Yesterday's timeout setting was submitted. It is just emphasised that we need to give a very high priority to what tasks we send to School-Norway, so that we are absolutely sure that the schools have time for their core tasks. In particular, when the school can combine its educational objectives with concrete measures that can be taken in individual schools, there is also a pedagogical possibility. But let me get back to what's most appropriate to make sure that one has a strong focus on reducing CO2 emissions in the school sector, without pushing the school down with new impossible tasks.
ParlaMint-NO_2009-12-16.ana.ud811e750	The background to my question is the situation of the Tibetan exile government, in the context of the dialogue process with the Chinese authorities: ‘The dialogue between China and the Tibetan exile government has been under way for a long time. It is now known that an initiative has been taken to get the conversations going again. The U.S. President, Barack Obama, raised the Tibet issue during his visit to China in November. The Dalai Lama and the clear starting point of the Tibetan exile government are not independence, but finding a solution within China's borders. Will the Minister for Foreign Affairs take steps to ensure that Tibet is also brought on the agenda of the Chinese-Norwegian dialogue?’
ParlaMint-NO_2009-12-16.ana.ud811e759	I would first like to thank the representative for addressing this issue, which is important, and which must not be forgotten in the major political assessments. Tibet-related issues are something we have raised and continue to discuss with the Chinese authorities. Norway is closely following the situation in Tibet. Most recently, during consultations with China's Vice-President Zhang Zhijun in Oslo on 11 December, I raised Tibet and minority issues in the part of the conversation I participated in. I underlined to him that the Norwegian Government is concerned with the rights of minorities in general and the situation of Tibet in particular. We have followed the situation in Tibet both before and after the violent riots in Lhasa in March 2008, officially and in connection with many of the networks that represent Tibetans also in exile. On several occasions, we have expressed our concern to the Chinese authorities that the proceedings following the unrest in Tibet last year and in Xinjiang in July this year resulted in several death sentences and executions. Norway joined an EU declaration at the end of November which protested against the executions of two Tibetans following the riots in Tibet. I also raised the death penalty question, with the background of the very intense death penalty we've been looking for the riots, in my conversations with the Secretary of State. The Norwegian Embassy in Beijing makes regular service claims to Tibet and visited Lhasa at the latest at the beginning of this month to get a first-hand impression of the situation in the area. Then we have the annual human rights dialogue with China. It provides an opportunity to address issues related to minority rights in the country. This year too, Tibet will be a theme of the dialogue meeting. It is timely that the question comes today, because the meeting takes place in Oslo today and tomorrow, and is therefore also on the agenda. The human rights dialogue has its own working group, which discusses minority rights among Chinese and Norwegian experts. Issues directly related to Tibet are also addressed in the related meetings with the Chinese authorities. Prior to the 11th round of the MR Dialogue with China last October, Secretary of State Raymond Johansen headed a delegation to Tibet. This time, the Chinese delegation visited Finnmark in advance of the dialogue meeting to learn more about Norwegian common policies and indigenous peoples. The representative refers to the dialogue between the Chinese authorities and representatives of the Dalai Lama, and that initiatives have now been taken to relaunch the talks. It is positive that the parties do not reject such contact, despite the unrest in the Tibetan territories in recent years and the increasing distance between the parties. In our talks with the Chinese authorities, we underline the importance of this dialogue continuing, and we encourage the parties to continue along this path.
ParlaMint-NO_2009-12-16.ana.ud811e776	I would like to thank the Foreign Minister for a good and informative answer. I want to inform the Minister for Foreign Affairs that we in Stortinget are going to start again a group related to Tibet issues, which Stortinget has also had in the past. It is now in its infancy. However, I have a question related to the Norwegian-Chinese dialogue. There have been some concerns, including: by Amnesty's leader John Peder Eigenæs in the evening post today, that one is afraid that the Chinese are depriving the dialogue work with Norway. The background for that is the lack of political representation on the Chinese side, the postponement of meetings and the kind of thing. I would like to hear the Foreign Minister's assessments of this. Is the Foreign Minister concerned about this in the same way, and how will he comment on these questions?
ParlaMint-NO_2009-12-16.ana.ud811e785	I'm at the overall level not worried about that. We have been in this dialogue for over ten years now, and having been responsible for it for four to five years, my impression is that it is being prioritised from the Chinese side. The time they actually have says something about the quality of the delegation. We wanted the Minister of State for Foreign Affairs to have headed the delegation this time. But I have a certain understanding that he's in Copenhagen and not in Oslo these days. In fact, China, with its major international area of interest, has a limited number of politicians at this level. It says something about the person they were supposed to lead the dialogue in Oslo, is the one who until the Prime Minister comes to Copenhagen from Beijing, leads China's negotiations there. What we have to look at is the content of the conversations, the follow-up of them, the emphasis on them. It's hard to get the right attention to set a time and get the right people, but the sum of what we've learned is that China prioritizes it, and we prioritize it. Then there is a basis for going on.
ParlaMint-NO_2009-12-16.ana.ud811e792	It is clear that the meetings in Copenhagen are important. I understand that too. The Copenhagen meeting also raises important questions about the importance of the Tibet Plateau. It is true that there are very important reservoirs of water on the Tibetan Plateau for large parts of Asia. As you can see, there is also a strategically perhaps more demanding area, as far as the water supply to Asia's most populous country is not only dependent on the development of the climate, but in fact also on the situation in Tibet. How does the Minister for Foreign Affairs view that issue in relation to Tibet? Will this complicate the work of finding solutions in Tibet, or will it raise the issues on the agenda?
ParlaMint-NO_2009-12-16.ana.ud811e799	Like Stortinget, the Government has the view that we support a one-China policy, where we are engaged in the dialogue with China and in the position of minorities. It should be a world focus on minorities – not just in China, but in all countries. However, the question raised by the representative is very relevant. I should like to refer to the report that Al Gore and I presented in Copenhagen two days ago on melting ice. It was not only about melting ice from Greenland, from Antarctica and separately from the pole basin, but also from the third pole, namely Himalayas. It is also a frightening reading, because it is about the supply of water, as the representative says, in a large region. It is about floods due to intense melting and water supply disruption in a future perspective, unless there are glaciers. I believe the answer to the question asked by the representative is yes, it's going to make the strategic importance of this region more important, because it comes into play from the access to water, which is so important to so many millions of people.
ParlaMint-NO_2009-12-16.ana.ud811e808	Question 4 will be answered before question 16.
ParlaMint-NO_2009-12-16.ana.ud811e814	It's climate that's in focus right now. It is therefore natural to address the following questions to the Minister of Finance: ‘What reductions in greenhouse gas emissions can the red-green government refer to under the responsibility of the Minister of Finance since accession in 2005 and how does the Council of State assess the results in relation to Norway’s national greenhouse gas reduction target?’
ParlaMint-NO_2009-12-16.ana.ud811e821	As Minister of Finance, I am responsible for both the government's tax policy and the government's purchase and sale of greenhouse gas allowances. Furthermore, the Minister of Finance shall ensure that economic development is sustainable. Since the Government joined in 2005, the fees have been strengthened as an instrument for improving the environment. Environmental taxes make the polluter pay and allow revenues to be used to reduce other taxes and taxes. The increase in the CO2 tax on aviation and the increase in the levy on diesel and fuel oil are important changes in order to pay off for people to choose more climate-friendly solutions. Today is beyond 55 pst. of the total emissions of greenhouse gases subject to a charge. Analysis shows that the CO2 tax has led to emission reductions. In Norway’s Fourth Report to the United Nations Convention on Climate Change in February 2006, it was estimated that Norway’s emissions would have been about 4.5 million. tonnes higher in 2010 if one had not introduced the CO2 tax. In order to stimulate a more environmentally friendly car fleet, CO2 emissions were introduced as one of the main components of the one-off tax in 2007 and we introduced an environmental differentiation of the annual tax in 2008. The changes in the one-off charge have made it more profitable to buy cars with lower CO2 emissions and average CO2 emissions from first-time registered cars have fallen significantly in recent years. During the Kyoto period, the Ministry of Finance shall purchase greenhouse gas allowances on behalf of the State. We spend a lot of money on this, and it is therefore important to stress that Norway only buys UN-approved allowances. This is mainly done through the green development mechanism, which is project cooperation between rich and poor countries, and which contributes to the transfer of resources and technology from rich to poor countries. So far, the Ministry of Finance has concluded contracts for the supply of about one third of the allowances we need, and lately there has been a significant increase in the number of requests for projects.
ParlaMint-NO_2009-12-16.ana.ud811e858	I thank you for an informative answer, and I also repeated a part of what came out in an oral question time. I think this with the purchase and sale of climate allowances is absolutely central, and the Minister of Finance therefore has a very central role to play in meeting the commitments. Here we're going to be far behind the climate agreement in the Storting, because it's overfilling the Kyoto process. The international purchase of climate allowances is a significant challenge in terms of ensuring the quality of the projects to be included. One example is the Dahuashui hydropower project in China, where we spent considerable resources both on quality checkout and on finding out if the project had a goal. It turned out that it was finally not approved. The question remains: how will the Minister of Finance ensure that the projects under consideration are actually approved by the United Nations and are in line with your expectations? It's one of the big challenges you have with the quota system.
ParlaMint-NO_2009-12-16.ana.ud811e867	It's true, as Gundersen's representative says, that this with climate quotas is both laborious and demanding, but at the same time very important. It is also important to be aware that one will see this throughout the Kyoto period, so that one in a way also has a long-term run here. As the representative now pointed out, this hydropower project in China has now been taken out. It shows that the mechanism one has chosen to use, namely UN approval of the projects, is working. For our part in the future, we will both be very attentive and very loyal to following the principle that it will only be about UN-approved projects in the future. This is an important prerequisite for ensuring that an effective contribution is made to the good projects that give the result you want, namely a reduction in climate emissions and a contribution to working in a good way in developing countries.
ParlaMint-NO_2009-12-16.ana.ud811e874	I thank you again for the answer and wish the Minister of Finance luck with those challenges. The next challenge is to create credibility around climate policy and national fiscal policy. We were in the oral question procedure, but it might be a good idea to repeat it with credibility and long-termity. The fact that there are no major surprises in the tax system is extremely important for the credibility of climate policy. There is a lot of evidence that the previous Minister of Finance did not fully understand how serious signals are perceived through fiscal policy. It is important that it does not get the impression that the tax and tax policy is functioning immediately, and that it is reversed. Then no one will follow the signals. I want to basically just repeat the importance of it, and ask how to restore that credibility.
ParlaMint-NO_2009-12-16.ana.ud811e879	I guess there's no reason to repeat what we were into the oral questioning strategy, but this biogas thing is probably going to haunt us for a while. At the same time, it is important, and it is to the extent in political activity in general, that you have a credibility about what is happening and a long-term policy. I think we can agree on that very quickly. So time will show, as we come up with new proposals and work on new proposals, how much one is able to build up the necessary credibility around the policy. I would also like to mention, just as a contribution, that during the climate negotiations currently taking place in Copenhagen, Norway has proposed a funding mechanism to further increase the potential for good climate action in developing countries, and it is a proposal that has given considerable attention. Then we hope that one might, as the weekend approaches, see that Norway has had a positive impact on a new important action on the international climate arena. Otherwise, I would like to thank you for your kind thoughts about having to follow up on the responsibility for climate allowances. We have to do that, even if it's a demanding job.
ParlaMint-NO_2009-12-16.ana.ud811e888	Question 6 will be answered later.
ParlaMint-NO_2009-12-16.ana.ud811e894	This question, from the representative of Sortevik to the Minister for Transport, will be answered by the Minister for Local and Regional Affairs on behalf of the Minister for Transport.
ParlaMint-NO_2009-12-16.ana.ud811e897	It's a good workman. The question is: ‘The four largest cities, Oslo, Stavanger, Bergen and Trondheim, all need to modernise their transport networks. Growing transport needs for both freight and passenger transport must be met with efficient, safe and energy-efficient solutions. Traffic must be provided with effective corridors. Good solutions in these cities are also of national interest. Will the Council of State take the initiative to ensure that the Government, through the Ministry of Transport, controls the process, planning and time use more strongly and also provides State funding?’
ParlaMint-NO_2009-12-16.ana.ud811e906	The state is responsible for transport policy. So the government thinks it's important that the state comes into the process of finding good transport solutions in the big cities. At the same time, large urban areas are complex in terms of both challenges, objectives and current instruments. In addition, responsibility for the means of action is distributed between different levels of administration. This places great demands on coordination and good cooperation between municipal, county and state authorities. Through the establishment of the concept selection external quality assurance system, KS1, I believe that the state has been given an important tool to manage future state investments. As stated in the Minister of Transport's written answer to question No. 199, from the representative of Sortevik, it has been implemented KS1 for Oslopackak 3. The further follow-up of Oslopackak 3 takes place under state control and in close cooperation with the Municipality of Oslo and Akershu County. Work on concept evaluations/KS1 is well underway both in Stavanger and in Bergen, and in Trondheim work will start with the first. After the work on KS1 has been completed, a position will be taken on how the planning work will be carried out. Through Ot.prp. No 15 for 2007-2008, it is a warning that, in the case of forthcoming urban packages, there will be a requirement for holistic use of instruments. I look forward to having a close dialogue with the different cities about what future urban packages should look like. I believe that the most effective will be a combination of greater efforts in the provision of collective and bicycles and more effective restrictive measures to curb private car growth, as well as the continued need to build up the road network in many places. I would also like to take advantage of the need to take into account the remuneration arrangements for less car traffic and to improve collective provision and the future of cities for which the Ministry of the Environment has the primary responsibility. Both the reward scheme and the cities of the future allow the state to influence local government in the direction of a holistic land and transport policy. It is a goal that the pooling of state and local tools in urban packages, the payroll scheme and the cities of the future is holistic.
ParlaMint-NO_2009-12-16.ana.ud811e917	Thanks for the answer. On the question, which is two-part, I go on to the second part, that is, this with increased government funding. The total investment in the transport network in these four cities over the last 20 years has been around NOK 53 billion. The state has contributed 44 pst, i.e. 24 million. NOK, and the cars with 55 pst, nearly 30 million. kr. In addition, they have paid NOK 7 billion in interest and collection. Toll-financed packages will also be continued over the next 20 years, with less government funding, increased toll rates and the use of tolls for non-road purposes. Then the question of follow-up is: Shouldn't the state increase its funding in the largest cities? Is there a lack of money that means that the state and the Government are not willing to increase the state contribution to the new packages and the new content of continued packages that we are now about to launch?
ParlaMint-NO_2009-12-16.ana.ud811e924	The new reform, the Administrative Reform, which will enter into force on 1 January, will have greater responsibility for a greater role and greater self-responsibility for investment in pedestrian and bicycle roads and public transport. The priority of the funds will be greater within the state's framework. As a result of the administrative reform, the Government has strengthened the permissions of the new county road network. It has also been done by the Government through the National Transport Plan, where the Government has shown a willingness to invest heavily, both by road and by rail. We know that rail is primarily an offer for the large urban areas. The government has – and will have – a differentiated policy, where we focus most on public transport in and around the big cities, and where the investment on the road is the largest outside the big cities, where public transport is not an option for many.
ParlaMint-NO_2009-12-16.ana.ud811e929	: Thank you again for your answer. I must again stress that these four cities obviously also need to expand and modernise and streamline their road networks. It is the starting point for both this and other questions related to the situation of big cities. A common feature of these packages is that projects are becoming more expensive and that traffic-restrictive measures actually reduce toll revenue, which is the main basis of future financing. The government is pursuing a policy that is actually in place to further reduce revenue, while increasing the share of toll financing in projects to be newly built. Will the Government compensate for the cost of projects and the reduction of toll revenue? How would you possibly want to do that? Or do you put yourself completely outside this picture and serve the entire bill to the drivers?
ParlaMint-NO_2009-12-16.ana.ud811e938	As I said in my previous answer, there was a strong commitment from the Government on both road, rail and transport sectors overall over the next decade. In St.meld. No 16 for 2008-2009, priorities on the national road network have been addressed. They are determined as government priorities. As soon as the state road and county councils have completed their management of the action programme for the forthcoming planning period, there will also be an overview of the combined efforts of the four metropolitan areas in the forthcoming planning period. There you will also find the answers requested here, the amount of government funds put in, and the amount of toll money that will be put in.
ParlaMint-NO_2009-12-16.ana.ud811e948	This question, from the representative Ingjerd Schou to the Minister for Transport, will be answered by the Minister for Local and Regional Affairs on behalf of the Minister for Transport.
ParlaMint-NO_2009-12-16.ana.ud811e951	‘Users of collective solutions are concerned with availability, regularity and simple ticketing systems for trains, buses, trams, etc. Car users are offered AutoPASS in both toll stations and ferries. Will the Government issue a common ticketing system for all collective offers?’
ParlaMint-NO_2009-12-16.ana.ud811e958	Starting from St.meld. No 26 for 2001-2002 and in cooperation with local authorities, a common national standard for electronic ticketing for public transport was introduced in 2006. There is a suggestion that all companies that introduce electronic ticketing systems before public transport should base the new standard so that travellers can travel coherently from start to finish without having to dissolve a new ticket when they change means of transport or cross borders. The aim is to have a coherent payment system for the whole country, where county councils and operators can also develop products as common multi-journey cards and monthly cards where they are scarce. Common travel cards are currently in use in Oslo, Akershus, Rogaland, Oppland and Hedmark, but the work has come a long way elsewhere. According to St.prp. No 1 for 2009–2010, the Ministry of Transport and Regional Governance is working with regional regulators to establish a joint management company and to indicate between operators. The new company will be established and put into operation in 2010.
ParlaMint-NO_2009-12-16.ana.ud811e967	Then I thank the Council of State for the answer. The government will certainly say that the government has good stand-ins in all areas. In this case, I think it is a very competent substitute for the Minister of Transport. Let me follow up anyway. I am a representative of the collective travellers. I travel a lot from Eastfold to Oslo and Akershus, and I buy two to three tickets to get through bus, train and T-Bahn. I feel that driving a car and paying a toll can be done without you noticing that you are through several systems – the same with a telephone. You can get a telephone contact all over the world, and you don't know which company. Is it the Government's intention to take the environmental challenges and climate challenges seriously here at home by making one ticket that can be used throughout the country – at all?
