ParlaMint-NO_2009-02-25.ana.ud2362e22	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2009-02-25.ana.ud2362e420	I think the question asked by the representative of Skei Grande is a good and relevant question. This is one of the most important debates of our time. We're going from being a very homogeneous society to becoming a very diverse society. How this challenges us – challenges our usual attitudes, challenges our tolerance, but also our ability to put down some cornerstones of what is acceptable – are important debates. I believe that precisely the church settlement that this great gathering held in our company serves to honor us, because it shows that in such issues, which create deep conflicts – yes, even violent conflicts – in many other parts of the world, we in the Grand Duchy are actually able to find the broadest solutions. One of the things we do is about other religious and life-view societies. We propose that we establish for the first time that all religious and life views have the same right to equal treatment from the state. We're changing Section 2, which today says that the country's religion is the evangelical Lutheran, and gets a broader value base for the whole society. At the same time, we state that we still have a relationship between the state and the Norwegian Church. We meet this area of conflict in many, many different contexts. Perhaps the latest weeks' hijab discussion is a current example. I think it has to be handled in all these different areas, individually, in their contexts. But that it is also put in a larger context and is discussed in full, I fully agree with the representative, Skei Grande, that we need to.
ParlaMint-NO_2009-02-25.ana.ud2362e431	I conclude that the Council of State agrees with me, but will not help us get such a debate into the Stortinget. But he also raised another question, and it was the handling of the hijacking debate. We have now had several debates that touch the relationship between individual and religion and community/state and religions. The government has handled it a little differently. I'm not going to say now what I think about that handling, but does the Council of State, from the point of view of a minister of the church, mean that the government's handling has been ideal for the unions for the debate on the place of religion in public space?
ParlaMint-NO_2009-02-25.ana.ud2362e438	I believe at least that the conclusions are very good, seen from both the position of the Minister of the Church and the Minister of Freedom of Speech. The government is now proposing something that the previous government did not propose, namely to cancel the blow-up paragraph. I think that's the right step. It hasn't been used in many decades, and it gives the freedom of expression even greater space at least formally, although the real space has already been there. At the same time, opinions and freedom of expression shall be used responsibly. Although we have a right of freedom of expression, we also have a responsibility not to dwell on the main integrity of other people, for example. their faith. Even if we have a right to that, it makes sense to approach other people with a sense of responsibility. At the same time, society has the right to say what we do not accept in the name of religion. For example, we accept. not besieged, even if it should happen in the name of a religion. We don't accept coercion. We don't accept a number of other things, even if it happens in the name of religion. There we have a right as a society to put down certain rules.
ParlaMint-NO_2009-02-25.ana.ud2362e447	There will be follow-up questions – Odd Einar Dørum.
ParlaMint-NO_2009-02-25.ana.ud2362e450	This is the country's most important pulpit. Here we discuss most of the things. The reason why the Left, through Trine Skei Grande's contributions, has now raised the question of whether we should not promise and discuss religious policy, has affected the Council of State. It must be urgent to be able to do so, when we experience that, in everyone's opinion, dialogue is vital, real and proper in the House of Literature, first after the Gaza demonstrations and then about blasphemy. Then, in a big deal, where, as the Council of State has said, we have managed to gather on a value paragraph in the Constitution, it must be possible to address the demanding debate that Trine Skei Grande raised. To ask the question to the Council of State: does he not see the point of discussing how freedom of faith can be protected in a society with many religions without violating other human rights? That's what's at the heart of what we need to be able to discuss. It'll be a little bit special when you put similarity signs between, for example, the wearing of a hijab and genital mutilation. Then, with respect to reporting, the level of information is not high in the debate.
ParlaMint-NO_2009-02-25.ana.ud2362e457	If the Storting are to have the ambition to ensure that the level of knowledge and the level of information is high enough in all debates, I think we will get a lot of big messages in the future, but that this speaker should also be used to discuss the issues that the representatives of Skei Grande and now of Dørum are raising, I fully agree. I'd like to contribute to that. Either the right way is to present a broad report on religious policy as a whole, or to facilitate that we have these debates in other contexts, I would like to be a minister of the Church as well as a Council of State responsible for the various religious communities – and the Minister of Freedom of Speech, I would like to stress – to contribute to it. It's one of our most important debates. Last year we had a year of diversity, which was also very much about this. How do we go from being a homogeneous to becoming a multicultural and multi-religious society, how do we exploit the good things about it, and how do we deal with the problems that are also created by it? This is a very important debate, which, of course, also belongs in Stortinget.
ParlaMint-NO_2009-02-25.ana.ud2362e462	Per Sandberg – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e465	Let me first make a comment to the representative Skei Grande and Left, because I think it is very interesting that the Left now wants a wide-ranging debate on religion, tradition and what must be attached to it. But at the same time they have a party leader who will exclude Norway's second largest party from participating in this debate. I think that's a little bit parochial, to put it right. But my question to the Council of State is: if you were to give such a message, what challenges do the Council of State see for example. in relation to a consultation process, and what challenges does the Council of State see in relation to the adoption of concepts and content of different religions in this context and what are the distinctions between traditions and religious practices? It could have been interesting with such a debate, of course, but I'm not so sure that it would create some harmony or some better dialogue if the Norwegian Storing were to define the different concepts and the content of the different religions.
ParlaMint-NO_2009-02-25.ana.ud2362e472	The main focus of the debates in the United Kingdom is to lay the foundations for the laws, budgetary decisions, actions and strategies of the public sector. To reduce the size of a clean discussion club, I think there are few who are interested in it, so it must be linked to that kind of action. But we see how tolerance, respect and also our ability to set some common standards in a society are constantly being challenged by the fact that we have become a more multicultural and multi-religious society. We meet this in the field after field. Now we have had some topical issues in the last month, which are partly quite specific things – if you are not to use hijab in the police, you are not to have a blasphemy paragraph, etc. – but, of course, based on a basic understanding of how to deal with a multicultural and multi-religious society. That debate should also be taken in the Stortinget, I agree with Skei Grande in, and I also believe that her party leader believes that Per Sandberg's party leader should be allowed to participate in that debate, but perhaps in a way that builds a bridge, instead of creating new conflicts.
ParlaMint-NO_2009-02-25.ana.ud2362e477	Ine Marie Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e480	The demand for a clearer religious policy has been raised from several teams, at the latest yesterday by Erling Rimehaug in a commentary article in Our Country. It happens at a time when many feel that religious practices and religious freedom are more urgent. We experience debates about whether or not the Salvation Army should receive state aid or not based on its political opinions, and we experience a discussion about the Blasphemy paragraph, which the Government did not handle in a particularly elegant way, a rather hiabb-debt. The point is that many are of the opinion that it is now more difficult to have and exercise religious freedom, because it is a strong desire for the state to govern the content of religions. The councils themselves come from a party where there has been tradition. Does the Council of State agree that there must be respect for religious communities as such, and that religious policy is not about religious governance but about religious freedom policies?
ParlaMint-NO_2009-02-25.ana.ud2362e488	I think it is very difficult to find some sort of empirical basis to claim that freedom of religion in Norway is being restricted. On the contrary, Norway is one of the countries with absolute freedom of religion. What we're doing in the big church deal, like the representative Eriksen Soreide and I worked with him last year, is, of course, acting. on looser ties between the State and the Norwegian Church and greater opportunities for the Norwegian Church to, for example: to appoint their own religious leaders. We have a unique funding system in Norway, where not only the Norwegian Church, but all other religious and life views are paid by the Norwegian State for its activities. There are not very many countries where you find a similar system. The religious communities are also covered by Norwegian laws and regulations. You cannot break the Accounting Act, for example: even if you belong to a religious community. However, where Norwegian laws and rules break faith, or principles within religious communities, we need to find practical solutions. Freedom of faith is very, very important, but some other laws are also important in Norwegian society, and some common rules are to be adopted. I am absolutely sure that Eriksen Soreide also agrees.
ParlaMint-NO_2009-02-25.ana.ud2362e493	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e496	In that comment to Erling Rimehaug, it says that the government has been driven ‘on a case-by-case basis, and from loss to loss, it serves only those who want to fish in the murky water that occurs after such a stir as we have now had.’ [[...]] And we see that the largest opposition party in Stortinget is clear both with fishing rods and bait to pick up the catch. The government has stumbled. But I think the general question here is whether the solution should be that religion should remain in the private and enclosed space, or whether we must dare to participate in the debates and recognise the place religion actually has for us as a society and not least for the actions and expressions of individuals. Is it so that the Government agrees that we need more space for religion in public space, or do you agree with the Danish Prime Minister, who believes that religion should not have room in public space?
ParlaMint-NO_2009-02-25.ana.ud2362e508	Me and the Government are strong followers of freedom of worship and religion. We are strong supporters of getting organized and having their ceremonies and meeting freely, and we are also supporters of communicating their message into the public space. But this is not something that the state can rule. We can organise, for example: Yesterday we adopted the NRK poster, which says that the NRK will communicate Norway’s religious and cultural heritage and also the diversity of religions that exist in Norway, but otherwise it is up to the different religious communities to market their activities and engage in munitions activities – which I am sure the representative Dagrun Eriksen fully agrees with me. We cannot take over from the state, but we can facilitate, primarily through good funding and by providing a high level of freedom of expression and the ability to reach out with their message.
ParlaMint-NO_2009-02-25.ana.ud2362e513	Then the oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2009-02-25.ana.ud2362e518	There are no changes to the configured question list. We then go to the first question, which is from the representative Arne Sortevik to the Minister for Transport. - The council has not yet arrived, so we'll wait a minute. – Then the Council of State is present, and we start the ordinary Questionnaire.
ParlaMint-NO_2009-02-25.ana.ud2362e530	I must first be allowed to say that now it's a draw! Last time I was late. The question is as follows: ‘The planning and external quality assurance of large transport projects has evolved into a very time consuming process in which normal time use is estimated to be around. Nine years. And then the actual construction time comes. When the plan preparation, by which I mean a ‘reserve’ of planned projects, is small in addition, time use will have an extra great delay effect when the level of funding is increased. What will the Council of State do to reduce the time spent planning large-scale transport projects and increase planning?’
ParlaMint-NO_2009-02-25.ana.ud2362e546	I'm sorry that I was a little late. As the representative of Sortevik points out, the planning processes for the transport project are often time-consuming and complicated, as they often have considerable consequences for people both locally and regionally. The planning processes of major road and rail projects must follow the planning and building laws of their various facilities for managing the municipal plan and the regulatory plan. The Code of Planning shall ensure that all recordings and objections and all misstatements are properly handled, the Code of Conduct shall ensure the rights of all persons who have to dispose of land and rights, and the procurement legislation shall ensure fair competition. However, there is a potential for streamlining in terms of reduced time use without compromising quality. I attach great importance to this potential being taken out, and I refer to their efforts to contribute to this. The state road system is focused on improving the efficiency of planning. I'll show you. for the work of the department, to provide better clarifications on where and when detailed planning for the implementation of concrete projects is being carried out. Examples of this are the department’s work on concept-valuation services for rural and urban road sections, the work on route plans for the main road network and the work on national transport plans, where corridor arrangements and dedicated urban transport services have been carried out. Proper overarching clarifications provide a better basis for prioritising its efforts in the detailed planning of implementation measures. In practice, it is not easy to build a ‘planning reserve’ for the current case, with a large increase in activity and funding scope. Regulatory plans, which provide the legal basis for implementation, become obsolete. This is related to changing the plans over time through new requirements in society and new legislation. Examples of this in recent years are new road standards with stricter safety requirements. The state road system is also focused on processes for the development of existing roads. This will focus on developing strategies for action on longer distances along existing roads with different levels of effort. These may be measures that do not require plan clearance or where there are sufficient simple regulatory planning processes that take between 1 and 1 and 1/2 years. Otherwise, I will refer you to the work of the State Road Administration to involve users, landowners, interest groups and other governance powers in both summary planning and detailed planning. There are many examples of good-performing planning processes, and the department carries out extensive development and training work to improve communication in planning. These are measures that will make planning more effective both in terms of time use and quality.
ParlaMint-NO_2009-02-25.ana.ud2362e561	I thank you for your answer. It may seem like we're over planning in Norway, that we're not just building roads as if we were a poor post-war country, but that we actually have a plan that reminds us of an old-fashioned Soviet state. We have three heavy phase plans before it's all about putting a machine to work. If there is political disagreement about the choice of trajectory related to environmental considerations, it may come to the fore. There may be several times more than normal time use over the nine years indicated. In the worst case, it can go significantly further. Yesterday we got a final clarification about E6 along Mjösa. It's a pleasure, but at the same time it's an example of how delaying such a long planning process can be when there's political disagreement. Will the Council of State facilitate the use of state regulatory plans as one of several measures to speed up planning?
ParlaMint-NO_2009-02-25.ana.ud2362e570	When it is to be built e.g. a new road, it is important that those who are landowners along the road are taken seriously. It is important that the environmental disadvantages that the road can cause to the community are taken seriously, and it is important that local authorities take part in and make their decisions without being pressured by a centralised state where, as they sit in the state apparatus, they may occasionally have insufficient knowledge of local conditions. Therefore, it is important to keep track of the planning procedures that we have. But it has also been, in my time as Minister of Transport, a government plan as a tool where there is no intention of reaching agreement locally. There must be a limit to how long things can go on due to local inconsistency, before one happens, when there are important societal interests that need to be met.
ParlaMint-NO_2009-02-25.ana.ud2362e575	Thank you again. If the average time use now is nine years – and it is too long – what is the aim of the Council of State? As far as the plan reserve is concerned, both the Prime Minister and the Minister of Transport said last October that we are going to build a railway and repair a road to an extent that the nation has never seen. However, in the context of the package of measures presented by the Government, we have heard reactions such as ‘more money and few projects’, ‘having money and missing plans’. After more than three years of red-green government, there is a lack of plans to implement road projects when there is fresh money, almost flat. It testifies to a government that may not entirely believe in its own will, ability and capacity to obtain the necessary extra funds. What will the Council of State do to increase planning so that increased financial frameworks can also speed up projects?
ParlaMint-NO_2009-02-25.ana.ud2362e586	First, when it comes to the package of measures: they are about completed planning smaller projects that can give a lot of work to many. It was never about one starting the big projects. We have advanced some major projects, but it was a package that focused primarily on employment. It was the government's focus, and there's the government's focus in that package. And then it is clear that many good road and rail projects – not least on the maintenance side, which have been a neglected area for a long time – are important. This government has made a shift in its trade policy. This is not how we came in after the Bondevik II government – which the Progress Party supports wholeheartedly – that there was a lot of planned projects, nor is it so that when we add a lot of money, including for planning, we can only turn on a switch and the projects are ready. It takes some time to digest such a change of pace, but when we present a national transport plan, we shall see that the rate should be increased and so should the planning capacity.
ParlaMint-NO_2009-02-25.ana.ud2362e596	I would like to ask the Minister for Transport the following questions: ‘In the Glåmdalen newspaper of 19 February 2009, we can read: ‘Rv 2 war over’ The Council of State can now confirm that she will do everything in her power to ensure that we finally get ahead of work on Rv. The 2-trace in Hedmark?»
ParlaMint-NO_2009-02-25.ana.ud2362e603	The question about the choice of new rvs. 2 through the municipality of South Odal has been conflicted throughout the planning of the project. The conflict ends, among other things differing views on the extent to which soil protection is to be taken into account for the choice of trasé. I am aware that there is a finally approved regulatory plan for this section. As I also briefed the Stortinget on in the 2009 state budget, I will present my own proposal on the development and financing of RV. 2 on the route Kongswinger–Slomarka when there are sufficient clarifications. In particular, external quality assurance (KS2) shall be carried out from the estimate of costs. The project will be referred to in the forthcoming National Transport Plan Map Communication for 2010–2019.
ParlaMint-NO_2009-02-25.ana.ud2362e612	I thank the Council of State for the answer, which maybe didn't give me that much answer. It is clear that the time is running out, and in the previous question it was also a matter of such processes taking a long time. People are now starting to become very impatient after getting a clarification on this important road. This is about both housing and industrial policy, it's about a lot of different things. This road is also a major transit tower for, among other things. goods coming from abroad. So there is a great need and a strong desire – I stress a strong desire – for this to be clarified as soon as possible. That is why I want the Council of State at least to clarify something more than she did, when, how and at what cost this road is now finally to be completed – because it has to be completed soon.
ParlaMint-NO_2009-02-25.ana.ud2362e619	I've done the right thing for the process as he goes. External quality assurance shall be carried out. There is a system that the previous government has set up, and that is now fully operational. It is a good instrument to ensure high-quality road projects. But it takes more time, because it is for external consultants to go through the entire project again. However, I hope that we will get a case for Stortinget as soon as possible and, as I said, we will come back to this matter in the Storing Message of the National Transport Plan, which we will be submitting in a short time.
ParlaMint-NO_2009-02-25.ana.ud2362e626	I thank the Council of State for the answer – which was an answer. You might want to think a little bit more about what you're going to think about developing tribal pathways. When it's a national task to build a tribal road, the state should also have the authority to decide where to go. The reason why I'm saying this is that things take a very long time. We must take care of our democracy, we must hear those who need to be heard. But then, things take a very long time. It costs money, it can cost human life, and it doesn't create any living lust when you live in such a great uncertainty as the choice of vitrace, in this case rv. 2, for those who live along it, for those who walk along it, for those who live off the road, and for those who live on the road.
ParlaMint-NO_2009-02-25.ana.ud2362e633	Yes, democracy takes time. Democratic processes take time, democratic processes cost money. But I haven't seen an alternative to the good democracy that we have in Norway, which I could love, and I hope the representative doesn't want another regime either. It may not cause bulging that things take time, but it also does not cause bulging to become centralized and to feel discouraged by the fact that decisions are taken without that decision being taken, making it possible to try and say something. That's what's happened in this case. Basic owners have tried their case for the judicial system and have not reached it, but have at least had the possibility of what is a good legal state worthy of trial: trying it out. I don't want to criticize it. On the contrary, it is an important part of both the judicial system and our democracy that everyone should be heard.
ParlaMint-NO_2009-02-25.ana.ud2362e643	I have the following questions to the Council of State: ‘The planning of the development of Fornebu has provided that a path should be the support of the collective offer. Former Minister of Transport, Terje Moe Gustavsen, promised to allocate 600 million. kr for such a solution. Different path solutions have been explored, including an automatic path. The Ministry of the Environment put an end to the automatic path by setting its foot down for a connection to Lysaker station. Will the Council of State now work actively to establish a path solution for Fornebu?’
ParlaMint-NO_2009-02-25.ana.ud2362e652	The development and operation of the collective system at Fornebu is a municipal responsibility. It is Akershus County Municipality in cooperation with the Municipality of Oslo to finance, build and operate the system. The town council is planning power. It was Akershus County Council which decided on 10 May 2007 that Fornebubana should be established as a regional urban railway solution. The decision no longer constitutes a collective solution for Fornebu. On that basis, the Ministry of the Environment has converted the municipality of Bærum’s plan decision to facilitate the provision of an automatic train at Lysaker station. During the whole process with Fornebubana, I have kept to the promise of a government contribution to the Ministry of Transport of 600 million. kr. According to St. prp. No 1 for 2001–02, these State resources for collective treatment of Fornebu can be used through the alternative use of national pesticides. The scheme is part of the budget frame for the whole national road network. In the light of the management reform, it will assume the economic obligations of the national road network from 1 January 2010. The responsibility to comply with the promise of State resources for collective treatment of Fornebu is thus transferred to the district of Akershus, in line with other commitments and state obligations that have been prioritised within the state framework of national highways. Work is well under way on the urban trajectory between Skøyen and Fornebu. This work is carried out in collaboration between Akershu County Municipality, the State Road Administration, the Swedish Railway Agency, the Municipality of Oslo and the municipality of Bærum. There is an agreement between Akershus County Municipality and the Municipality of Oslo that Ruter AS should be responsible for the project.
ParlaMint-NO_2009-02-25.ana.ud2362e663	I thank the Council of State for the answer. There is no doubt that the state has a responsibility for the development of Fornebu. The State has pushed up the rate of utilization of housing and jobs at Fornebu in Bærum and has made demands for public transport. In response to me on 11 October 2006, the Council of State said: ‘I realize that one in this case needs some time locally to do a distribution work, which is supposed to be completed in January 2007.’ It's now over two years ago. What does the Council of State think about this, and what dialogue does the Council of State have with the Government Party locally, which has definitely delayed this process?
ParlaMint-NO_2009-02-25.ana.ud2362e675	It is true that the country has focused on the high use of the Fornebu area. The main argument has been our coordination of land and transport planning, sustainable development and environmental conditions, as stated. the national policy guidelines on co-ordination of land and transport planning in 1993. It has been important for us to follow this up with the municipality and county council, but the responsibility for this path is clear to me. I have never felt that one from Akershus County has neglected the responsibility they have with Oslo Municipality to build the track. The decision I referred to on 10 May 2007 was made by the county on a free basis where one saw that an urban railway solution would be more likely. Of course, the State must follow up what it has promised in this matter. We took an active part in the planning work through the State Roads and the Railway Agency, which also means a considerable use of resources by the state – and that should be lacking.
ParlaMint-NO_2009-02-25.ana.ud2362e682	I thank you again for the answer. There are several reasons why a path solution for Fornebu is becoming more important than ever. An example is the AC/DC concert at Telenor Arena which clearly revealed that E18 is not at all dimensioned for bus solutions for Fornebu. In addition, StatoilHydro is now to be established on Fornebu. That is why I ask again whether the Council of State can be an active driver, because there is no doubt that it is the government's own parties who have trained this matter in the county council. My question was therefore whether the Council of State could be an active driver in order to get a track solution as quickly as possible. For the state has a responsibility, and then you can't constantly push it over to local authorities, when government parties also train it locally. Finally, the Council of State can confirm that the 600 million. kr, which was promised in 2001, is price adjusted to today's dollar value?
ParlaMint-NO_2009-02-25.ana.ud2362e691	When it comes to a quick and good solution, both the municipality of Akershus and the municipality of Oslo have had a constructive and positive attitude to it. There is no doubt that the responsibility for creating a plan for this work lies there. I record that the representative Tenden repeats that the state has a responsibility. Yes, the state has taken that responsibility both by making funds available – what I have said we should continue, even if one has changed the solution when it comes to the urban route, to another system – and not least by making competence available through our budgets. But again, the state's responsibility is limited there. It is Akershus and Oslo who must take the responsibility that lies, also through the local processes. Local inconsistency is known to occur from time to time, cf. the previous question. But then we also have to take local responsibility for resolving this inconsistency and come to a positive solution locally.
ParlaMint-NO_2009-02-25.ana.ud2362e703	I have the following questions for the Minister of Local and Regional Affairs: ‘The debate on one Agder tribe has been going on for several decades in the South without results. The issue of county concentration has encountered considerable resistance among the inhabitants of East Agder. The matter is now facing final political clarification in the two states. Sees the Council of State more beneficial than the disadvantages of such an association, and the Council of State is in favour of the two states retaining the same number of large-scale representatives as they are today from both countries also at a possible association, i.e. 10 additional mandates?’
ParlaMint-NO_2009-02-25.ana.ud2362e712	I'm not sure what Andersen thinks with results. If one with zero results means that the Agder states have not merged, that is true. The county councils have asked me to attend a meeting to discuss various aspects of the association issue, and I have invited both counties to a discussion on this at the beginning of March. I look forward to this meeting with interest. Where the role of the Minister of Local and Regional Affairs in mergers of county councils is involved, the department is responsible for the merger process, according to the law of division, after a positive decision has been taken by the county councils. Then it is that Stortinget has agreed that county and municipal associations should be on a voluntary basis. This means that it is up to the county itself to assess — and, if necessary, to decide — whether they see more advantages than disadvantages in a merger. I just want to say that a merged Agder won't be a very large group. The total population is today about 275,000, not so different from the national average. The area will be about 16 500 square kilometers. When the number of large-scale representatives in the Agder counties is involved if the county councils go in order to prepare an association, one in the fall’s decision will have the same electoral division and the same number of anti-aliasing mandates as today. In any case, the Agder County will have the same number of large-scale representatives for the forthcoming parliamentary term.
ParlaMint-NO_2009-02-25.ana.ud2362e721	Thank you for that – I just get to take that answer to notice. I'll take a closer look at that. But I'd like to follow up, because this is a very topical question in the South. If there is political support in the respective counties in order to move forward in this process of union, which is expected to be clarified during April, does the Council support the view that a referendum should also be held on the question of the association of these two states, in line with what her own party in East-Agder has voted for? And shouldn't a result of such a referendum then be respected both by – of course – the county councils and also by the Storting?
ParlaMint-NO_2009-02-25.ana.ud2362e728	Let me tell you about genocide: such practices are in Norway in that area, they are advisory. It is also the case that in the big news of a strong local democracy, which is now being treated in the Stortinget, we formally facilitate the legalisation of local populations. We propose it – and in addition, the production of statistics. But if there's going to be a referendum in Agder County or not, it's up to the county to decide. Then I can add that I have also registered, as the representative Andersen, that here there is a debate in different parties, and here there is also different views – as far as I understand – in the various parties, both in East-Agder and in West-Agder, and also internally among local voices.
ParlaMint-NO_2009-02-25.ana.ud2362e735	I notice the Council's response with a certain interest. But I also want to challenge the Council of States: let's imagine that there will be a no from East-Agder County about going further in the process of association during this spring. Does not the Council of State feel that the matter of County Association in Agder in that case has been put to death? It is well – at least as I judge it – unmistakable that the state and the Storting should go in and use coercion to merge the two states if there is no political majority in the East-Agder district for such an association.
ParlaMint-NO_2009-02-25.ana.ud2362e740	I think in my first answer, I did both clean and clear things for the process, i.e. the initiative is taken locally, the decision is made locally, before the department comes in at all. But I can tell you from my side that I think it's taking an interesting initiative. I'm looking forward to the information I'm about to get at the meeting that's been set up. So I can also use the opportunity to say to this with electoral districts that it is laid down in the Constitution that we should have 19 electoral districts, and it requires constitutional changes to change that number. There's something that takes time. So if there were any changes to the Constitution, this could be put into effect first at the 2017 elections.
ParlaMint-NO_2009-02-25.ana.ud2362e751	‘The most concrete result of the so-called regional reform, the transfer of responsibility for the majority of the national roads to the states, is now also in the process of slipping into the sand. The task is transferred without financial compensation, employees and with continued strong government governance. In what areas does the Council of State consider that the reform has transferred decisions of major importance to local democracy?’
ParlaMint-NO_2009-02-25.ana.ud2362e758	The processes of administrative reform have been demanding. I've never hidden that on. I am content with what is now in the reform. I believe that the reform will bring growth-driven regions based on regional advantage. The reform provides opportunities for good regional development under regional governance. The county councils are given an enhanced development role in their state. They have new tools and tasks linked to the design and implementation of regional and national industrial policies, including: through 49 pst. ownership of Innovation Norway. The establishment of regional research funds with DKK 6 billion in capital is a major investment by the Government. It is an innovation designed to ensure regional knowledge development and better interaction with right educational institutions. The county councils are also responsible for vocational training, the national road network or the associated ferries, regional water management, parts of the aquaculture and marine resources management, cultural tasks – and, besides, tasks that currently lie with the county in the environmental and agricultural fields. The counties are strengthened. This allows them to see several different sectors as a whole within each region. Regional interaction between the individual county council and other public and private actors — and with other county councils — will of course be necessary to achieve good results. So for the transportation tasks: it's not right for the county to take over the main part of the road network without compensation. When the State assigns tasks to municipalities or county municipalities, the State shall follow up in budgetary context so as to cover the additional expenditure incurred by the sector as a result of new tasks. The government has put the principle that resources should follow tasks, underpinning the administrative reform. Proposals for a comprehensive financial framework for the reform will be included in the municipal proposal in May. From my point of view, it is important that this is a scheme that enables the county councils to discharge their responsibilities after 2010.
ParlaMint-NO_2009-02-25.ana.ud2362e775	With that answer, the Minister of Local and Regional Affairs must feel that the county councils and their own state politicians have misunderstood the Government's proposal on how and under what conditions this should be done in total. Their description of the Government’s proposal for transfers of national roads is as follows: ‘Missile, unacceptable, disclaimer, unlawful’. Local authorities' own organisation, KS, writes: «The proposals of the Ministry of Transport express clear distrust of the county councils as a transport authority.» [[...]] If the Council of State has the right to fully compensate for this — including the enormous delays in maintaining and rehabilitating national roads — it will be completely unnecessary to do what the Minister of Transport has proposed, namely to put Section 7 of the Road Code aside from these issues.
ParlaMint-NO_2009-02-25.ana.ud2362e785	I understand that these are headlines that Bent Höie really appreciated. We know the position of the Right on the new governance reform. But let me underline: the headlines have now come in response to a hearing note that was due on February 12. I stand by what I have said before and as I have underlined here today: it will come, as a warning in the hearing note, a closer clarification, first in the national transport plan when it is presented, and then a final financial arrangement in the municipal bill for 2010. Now the representative Bent Höie used the expression ‘full out’. I can't use that at this point. That's because we know that there's a lot of lag here. It's going to be something to count it in and compensate for it in one year.
ParlaMint-NO_2009-02-25.ana.ud2362e792	The sport in which this government has excelled is, of course, political magic. The biggest gastric plaque is the regional reform. It also shows the management of the tasks transferred to the counties. The whole reform shows a total lack of confidence in local democracy and in local decisions and assessments. A good example is the Ministry of Administration's letter to the counties concerning transfers of game species and inland fish to the counties. Let me quote: ‘Canada goose and stripe goose are transferred. Grey goose and shortbow are not transferred’. Further: «Shrimps: FK is transferred from hares, herrings, beavers, beavers and bismam. Wild rabbit is a foreign species and the result of illegal releases. It requires specific follow-up and is not transferred.» The boundaries of this government's trust in county municipalities are in the management of wild rabbits. The county authorities do not have sufficient confidence.
ParlaMint-NO_2009-02-25.ana.ud2362e809	I have to say, there was an interesting prose Bent Höie referred to. What matters to his main question, if the management reform means a strengthened local democracy, I still think of something far more than the characteristics of a sports section. For Right's alternative here – whether we go to Rogaland, to Northland or to Hedmark – is a development where the respective Stavanger, Bodø or Hamar are to be the regional developer. And then my claim, which I think I have good evidence of, is that it means a completely differently strengthened local democracy to let the populace from a whole state take responsibility for both regional development and many other tasks pertaining to this area.
ParlaMint-NO_2009-02-25.ana.ud2362e817	‘In the debate on the Climate Change Act, it is claimed that a tight quota allocation to Norwegian industry is important to cut CO2 emissions. Similarly, it is claimed that several free allowances for industry provide less CO2 cut. At the same time, the Government chooses to sell all allowances that are not allocated to Norwegian operators, thereby maintaining the number of emission rights in the CO2 allowances system. How does the Government’s ‘tighter’ approach result in greater CO2 cut than the option, where is the Norwegian industry allocated more CO2 quotas and thus at EU level?’
ParlaMint-NO_2009-02-25.ana.ud2362e839	I am concerned that the quota system should give businesses a clear signal that releasing greenhouse gases means a cost and a disadvantage for all of us. A good allowance system does so in two ways: first, by setting a total cap that is so low that it results in companies having to reduce their emissions; and secondly, by the fact that the individual company that pollutes is itself paying for the allowances it needs to respond to its emissions. The total quantity of allowances in an allowance system determines the amount of emissions within that system. For an allowance system to reduce emissions, i.e.: be tight, the total quantity of allowances in the system must be lower than that which the companies would have released if they were not regulated by the quota obligation. The total emissions within the system are reduced to a level corresponding to the total quantity of allowances. Norway has a tighter quota system than the other European countries measured against emissions in 2005. We are thus contributing to the reduction of emissions from the enterprises included in the European ETS by the Government's decision to set a significantly lower quota quantity than the Norwegian enterprise is expected to need in the period 2008-2012. The sale or allocation of allowances free of charge will in the short term not affect the emissions of existing activities. However, the allocation of free allowances may affect investment decisions relating to extensions or the establishment of new activities. The greater the proportion of free allowances allocated to the enterprise as a result of the investment will be in employment. There can then be a tendency to invest in polluting activities at the expense of other activities. In the long term, an industrial structure with higher emissions than would otherwise be achieved, which is more emission-intensive than what is socio-economically sensible. This is some of the reasons why the Government did not wish to establish a general allowance reserve for the allocation of free allowances to new and extended establishments.
ParlaMint-NO_2009-02-25.ana.ud2362e848	I think this answer is evidence that the government is looking at areas in a sector rather than looking at total emissions. When the Government in the allowance proposition, which was dealt with in the Storting a few weeks ago, justifies having a tighter allocation, it was with the argument that it would give more cut than anyone else would get. But when one still sells the profit quotas, one keeps the total amount of emissions. So the council obviously believes that having a tight allocation gives an incentive for the industry to cut emissions faster than it would otherwise do. But then the Council of State must respond to how industry can afford to cut emissions, when, at the same time as obtaining the minimum possible allocation of free allowances, the capital needed to invest in new technology is also deducted, and the Government's climate allowance law states that those already established – that is, the old industry – receive a greater share of free allowances than new industry, which does not have CO2-free technology today, but which can still invest in technology with lower emissions than established industry.
