ParlaMint-NO_2009-11-18.ana.ud553e26	The representative, Hans Olav Syversen, will put forward a proposal for a representative.
ParlaMint-NO_2009-11-18.ana.ud553e507	Better adapted training and greater focus on basic skills are the very floor plan of the Knowledge Lift. It is important for motivation that all students are given challenges and opportunities to extend and challenge their own potential. As the SSB report confirms this week, it is important that the learning pressure in Norwegian school should be increased. In 2004, party leader Kristin Halvorsen mentioned national tests in school as parody, and stated that SV would have away national tests for all primary school students. Today, the Minister of Knowledge is standing up to defend national tests for all pupils. Does this mean that Halvorsen has given up its resistance to national tests for all from 2004 and can we expect that the Council of State will now actively contribute to all municipalities using the results of the national tests in order to obtain appropriate training for all students?
ParlaMint-NO_2009-11-18.ana.ud553e516	The national samples in 2004 were parody. It also turned out afterwards that they were poorly professionally thought out. They were carried out with a publication that invited them to rank — a ranking that gave the impression of schools that there was no professional basis for giving. That's why we took a very important step when the red-greens got the majority in 2005. We took a break in the national tests in 2006. We've reworked the content of the national tests. They are of a very different professional nature today. We publish them in such a way that they can be used at school and in the municipalities, but not so that they invite them to rank schools. Thus, both teachers and students and parents see a completely different benefit in today’s national tests than was the situation in 2004. I find it strange that the Right People have not taken more self-criticism for ideological and political reasons to have rushed through a test system for Norwegian school for which there was poor professional basis. Now we've got a completely different grip on it.
ParlaMint-NO_2009-11-18.ana.ud553e521	Then we go to the last main question.
ParlaMint-NO_2009-11-18.ana.ud553e524	I have a question for the Minister of Transport. Although the budget’s appropriations for transport have grown annually, this has not been enough to follow the increase in costs in the civil engineering sector or the need to upgrade infrastructure in line with population and traffic growth. Now we see that the government is once again failing to prioritize the money to the area that is most important, namely to make sure that people get home safely. Every year too many people die in traffic – last year the whole of 256, and four times as many were seriously injured. During the examination of our national transport plan, it was agreed that action should be taken to reduce traffic accidents. Meeting accidents bring great human suffering and loss to society. The economic loss of society is conservatively estimated at between DKK 7 billion and DKK 10 billion each year. We know that the construction of semi-trailers on the high-traffic roads of two and three fields can give us 80 pst. reduction in the number of deaths. Despite this, despite the enormous human and economic losses caused by car accidents on society, the government in its proposal has only granted money to 9 km of mid-stations. This is, of course, much lower than the need and seven times less than in the 2010 Right Alternative Budget, where we want to realise another 60 kilometers of middle. The right will go to the fight against traffic death, and the question we're asking is how the government can defend such a weak bet to save lives. The specific question will then be: what will the Council of State do actively to get out of this deadlock and ensure a follow-up to the objectives of the national transport plan on middle-parties?
ParlaMint-NO_2009-11-18.ana.ud553e538	Midwives are one of the most important means of preventing meeting accidents. It's also so that these so-called lockdown fields with rumblings have a lot of meaning. In the case of road safety, the Government is also busy with measures other than midpoints, e.g.: to focus on speed and rush, on seat belts and on youth. The road network is arranged in such a way that it costs a lot to continue with the development of the middle parts. One started at the farthest end, where one got more for the money. We need to intensify our efforts. One's going to start at a distance of a few miles, so that next year's number is 33 km. The red-greens in the committee have brought up two themes for me, and I see the importance of looking at the possibility of change within the framework available. It's one of the debts of Trygg Trafik. The second is if there are more middle pieces. I'm set to see if we can do that, so we can do this further in 2010. But let me say that a national transport plan of 322 billion kroner, one of which is also going to have more quadruple roads, is making a big difference in relation to today.
ParlaMint-NO_2009-11-18.ana.ud553e547	I stick to concrete measures that physically separate traffic. So, as I said, Norwegian highways need 750 km of middle parts. These are sections of many accidents in which pitfalls would save more than 70 lives each year, according to the Road Directorate. The government's goal is specifically to build 84 km of pitfalls in the first four years. So next year, it's only going to be built nine. If you assume that the need is 750 km, you can see that the government’s coverage rate is frighteningly low 1.2 pst. If this continues – we have played a bit with numbers – it will take 83 years with the government’s corrective action before there are pitfalls in every place the trades union believes there is a need for it. This, of course, is too passive. The right is uncertain whether we can count the Council of State as an ally in our fight against traffic death, and therefore ask even more concretely: How many kilometres of highway will the Council of State laws be secured with mid-terms every year during this metropolitan period?
ParlaMint-NO_2009-11-18.ana.ud553e556	I am set to follow up the national transport plan. It is my ambition that he should be followed to the point and the point. It also applies to the kilometres with the midpoints that Halleraker has already referred to. Then it is that road safety has to go on many fields. The individual of us sitting in a car, either as a driver or as a passenger, has a responsibility. So we need to intensify. We're going to spend $6 billion over these ten years on road safety measures. What we see is that we have to work right. Right now we have a happy number that shows that from last year, the corresponding day today, the number of traffic fatalities has fallen by 50.
ParlaMint-NO_2009-11-18.ana.ud553e563	Three follow-up questions are raised – first Ingerd Schou.
ParlaMint-NO_2009-11-18.ana.ud553e566	Governments are busy doing the right things. Traffic safety is important for people to come home safely. The midpoints are 100 pst. effectively eliminate the meeting accidents. What, then, is the reason that 200 meters on the E39 at Flekkefjord, which has taken six lives in the last few years, is not a priority of the Government – 200 meters at Flekkefjord? An immediate measure could also be to set up concrete pottery.
ParlaMint-NO_2009-11-18.ana.ud553e571	It's right as Ingerd Schou says. There are tragic accidents. Let's hope that Flekkefjord doesn't happen anymore. Let's hope that with different measures, we can reduce the gaps in the pact with what we see now, and keep the zero vision at bay. And then I also have to say that I'm very happy for Right's commitment now when it applies to both traffic security and traffic overall. One of the reasons we haven't come around in general, either with road maintenance, road safety or road development, is that we wear ourselves out with many years of neglect, even from the previous regime.
ParlaMint-NO_2009-11-18.ana.ud553e578	Arne Sortevik - for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e581	It is also true that to correct many years of neglect, we have never had more money than we have now. The frail facts are that almost 100 lives could be lost in meeting accidents in 2010. They call the facts that a pitfall of between 500 and 750 km of today's road network is needed to eliminate the meeting accidents. The economic fact is, it could cost almost 5,000 million. kr, between 50 and 70 m. kr per. fatal accident. Why, then, does the government build a parking lot at a speed of 9 km per year? Is there a lack of money, a phase-in of the economy to avoid overheating, or is there a lack of priority in eliminating causes of fatal accidents?
ParlaMint-NO_2009-11-18.ana.ud553e586	So in 2010, it's going to be 33 kilometers with midpoints, and then we're going to take care of the expansion of the coming years, so we're going to achieve the goal of 750 kilometers over the decade. So I ask myself, why are we no longer here, even when we compare with Sweden? It also has something to do with our types of ways. For the Swedes, this has been much easier to get in place, because they have a wider route initially. It's more complicated here, the simplest is extended. Now we're going to do the best we can. And then we have to bet wider than just middle parts. If it had been that simple, we would have just set it up. Here we need to invest widely in road safety measures. Here we have a significant strengthening already in 2010, and we have double efforts in 2009.
ParlaMint-NO_2009-11-18.ana.ud553e593	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e596	The Minister for Transport said in his reply to the representative Øyvind Halleraker that she would follow up on the NTP ‘to the point and to the point’. Then I will challenge the Minister of Transport on the following: The government is behind about NOK 1.5 billion on the road budget, at the base of NOK 1 billion on the rail budget, and the promises to double the reward schemes for the urban areas have not been fulfilled. In total, the government is down by over DKK 2.5 billion. In addition, the Minister of Finance has warned of restrictions on the use of state money, and he has warned that the level of taxation should not be increased. I want to challenge the Minister of Transport on this calculation.
ParlaMint-NO_2009-11-18.ana.ud553e602	In the National Transport Plan, the Government announced an increase in the period, i.e. one would not distribute these amounts per year. year(s) and end of year(s). It is also shown in the 2010 state budget, as the Ten say. There's something below the mean, so it means a stepping up. And then we're always going to evaluate the annual budgets, so now our systems are. When the Minister of Finance now announces narrowing down, I believe we all understand the need for it. At the same time, this government prioritises transport, and has presented an ambitious national transport plan, which I intend to follow up.
ParlaMint-NO_2009-11-18.ana.ud553e607	We can then see that it was a peaceful morning for the Minister of Defense in her first meeting in the spontaneous Question Time in Stortinget, but she is naturally warmly welcomed back. The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2009-11-18.ana.ud553e615	There will be a number of changes in the list of questions set out, and the President refers to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative of Trine Skei Grande to the Minister for Foreign Affairs, has been withdrawn. Question 3, from the representative Jan Arild Ellingsen to the Minister of Defence, has been transferred to the Minister of Justice, who is directly responsible. Question 13, from the representative, Elisabeth Røbekk Nørve, to the Minister for Oil and Energy, lapses, as the questioner has a history of disease. Question 15, from the representative of Terje Halleland to the Minister for Oil and Energy, has been transferred to the Minister for Finance who is directing him. Question 17, from the representative of Torgair Tåldal to the Minister for Agriculture and Food, must be postponed until the next Question Time when the Council of State has left. Question 18, from the representative of Per Roar Bredvold to the Minister for Agriculture and Food, will be answered by the Minister for Oil and Energy on behalf of the Minister for Agriculture and Food, who has left. Question 19, from the representative Svein Flätten to the Minister for Fisheries and Coastal Affairs, has been transferred to the Minister for Finance who is directly responsible. In addition, question 9 disappeared when the questioner was not present, and question 14, when the questioner had a disease defect.
ParlaMint-NO_2009-11-18.ana.ud553e641	‘The national tests for English in the South Trøndelag show that the three best 8 classes in Trondheim are at private schools. The difference between the best public school and the best private school is a total of 1.5 character points. Due to differences in the funding of public and private schools and resulting parental funding requirements, many parents will be excluded from sending their children to private schools. Is the Council of State concerned that many children are excluded from choosing the best schools, based on their parents’ finances?’
ParlaMint-NO_2009-11-18.ana.ud553e648	Let me just make a few comments first about what the national tests can tell us about schools, because there are some assumptions in the question that I don't agree with. For example, national tests for 8th class measure what the student has learned from 1st to 7th grade. When you start in 8th grade, you start in a high school -- it may not have been a 1-10 school -- and you don't measure the quality of the school you actually attend. But that gives the teacher and the school a starting point to evaluate how the students perform, and what kind of student mass you have. So the question is, what is a good school, based on how you perform in relation to the national tests? Unfortunately, social backgrounds, i.e. the educational level of parents, the minority background and the ability to master the Norwegian language, have a major impact on school outcomes. This means that a school that has a student base where parents have largely poor advice and low education, or there is a high proportion with a minority background, can well be a very good school, even though they score less than the average nationally. It has to be a premise when I answer this question, because it's not necessarily that these private schools that Tord Lien refers to are the best schools when we measure what the schools actually do. So I understand the question this way: is there a goal for the red-green government to reduce parental pay at private schools so that it is possible for more parents from an economic point of view to choose private schools? It's not. We don't plan to reduce parental pay at the private schools. Our strategy in dealing with these issues is that municipalities and school owners work systematically in relation to what the national tests can tell us, namely how the municipality or school is ranked in relation to the average of a country. We do that by having a greater focus on quality — and there is much more attention now than it was a few years ago — by each school following up on the results they have received and analysing the background for them, and by each teacher following up on their students.
ParlaMint-NO_2009-11-18.ana.ud553e662	I note that I should have used the 5th class as an example, but the results are basically the same there. I feel that the Council of State meets itself a little in the door with its argument today. That social background affects the results, we all know, but it's reinforced that many groups have no opportunity to send their children to schools that I choose from the results to interpret as at least marginally better than public schools. My main reason for fighting for private schools is that they're going to be a corrective to the public school, which I believe today's debate has shown that they are. They are a corrective in terms of the focus on quality control and they are a corrective in terms of professional results. And when the Council of State said earlier today that there are too few private schools in Norway to be able to compare them properly with the public on other parameters, then I expect the Council of State to agree that we had tolerated a little more private schools in Norway.
ParlaMint-NO_2009-11-18.ana.ud553e671	No matter how the representative Tord Lien asks, he won't get that answer from me. The focus we have, as a red-green government, is to make sure that the public schools become as supreme as possible. There are many public schools that run very well, which are a great inspiration for other schools – and then there are many schools that have something to go after. Of course, all schools should have something to stretch after, because there are no schools that should be stifled; there should be development work all the time. But I have no faith that privatising a large part of Norwegian elementary school will lead to the healthy competition that will make the public school stretch. I have much more faith that we're concentrating our resources on the common school that we have, and that's going to be a good school for everyone, no matter what the background. We have to take it as our starting point and make sure it gets the best quality possible.
ParlaMint-NO_2009-11-18.ana.ud553e676	I'm very glad I had another follow-up question, because I think the Council is in on something here. Because even in countries where there are very liberal rules for this, most kids go to public school. It's the public school that needs to be in focus. Although the Progress Party would have an impact on its policy – and we will have a beautiful day – 80 pst. by students to go to public school. So that's where we agree: that's the public school we need to focus on. So here in Oslo you have free school choices, which also opens up competition between public schools, which I think is quite right. In Oslo, some of the best schools in the country have been created with public funding and public operations. Then I ask the State Council if she sees that the competition between schools for students, for resources, for the best teachers, is involved in drawing up the whole Oslo school up and down, and that free school choice is part of the explanation for that.
ParlaMint-NO_2009-11-18.ana.ud553e683	It's amazing how someone can believe that if you compete with others, it should be so powerfully stimulating. My perception is that if you compete with yourself, you can really be able to get speed on both yourself and the environment you're part of. After all, parents in Oslo do not shop school places around and around the world. You're busy with the local schools. You're concerned that they have good quality. I know that many people, for example. examines the number of students per year. learner at one school or another, and then go after it, because it is a quality sign that is clear to parents as to how their own children are being followed up. What we know develops a good learning environment in each school is good school management — and teachers who do not teach their students just for themselves but participate in a community and learn from others [[President clubs]]
ParlaMint-NO_2009-11-18.ana.ud553e692	At school, you also learn the time!
ParlaMint-NO_2009-11-18.ana.ud553e698	From the representative of Trine Skei Grande to the Minister for Foreign Affairs: ‘After the signed experience, 12 Uighurs have been sentenced to death in China for the past few weeks. What initiatives will the Minister of Foreign Affairs take against the Chinese authorities, and in international forums, to prevent the execution of death sentences?’
ParlaMint-NO_2009-11-18.ana.ud553e706	This question has been withdrawn.
ParlaMint-NO_2009-11-18.ana.ud553e712	This question, from the representative Jan Arild Ellingsen to the Minister of Defence, has been transferred to the Minister of Justice who is directing him.
ParlaMint-NO_2009-11-18.ana.ud553e715	I am glad that the Minister of Justice is the right person, and that he is not away, because that makes the probability of getting an answer much greater! My question is as follows: ‘The defence as the rescue service operator needs optimal equipment. Often it is pointed out that the heat-seeking cameras the defense has on their rescue helicopters are too bad. The quality of these cameras can be directly lifesaving. Does the Council of State realize that the Ministry of Defence and the Ministry of Justice will soon find a solution to a problem that has persisted for too long?’
ParlaMint-NO_2009-11-18.ana.ud553e724	I'm happy to be here – also because this is an important question. As the person responsible for the rescue helicopter service, I am concerned that the service has the necessary prerequisites for people in need to be rescued as soon as possible. Time is the most crucial factor in search and rescue, and as a result, over the last few years, several hundred million dollars have been invested in setting up an obstetrician with doctors both at Banak, Bodø and in the OR. In addition, Rygge is converted into a fixed base for bystander with a doctor. This is fully in line with the decision of Stortingen in Innst. S. No 156 for 2001–2002, where the Stortinget asked the Government to establish a 24-hour presence watch with doctors on the continental rescue helicopters. In addition, as is well known, a new base has been established in Florø with bystander and doctor, and it has now opened on 1 September 2009. I know that the questioner, the representative Ellingsen, and I've been equally concerned about these conditions for a long time, and now I'm happy that this is in place. In addition to these major measures, the operational budgets for the rescue helicopters have been significantly increased in order to carry out heavy maintenance on the helicopters, which appears to be very well maintained and operationally safe. These measures are, in my opinion, the most important measures that need to be taken in order to have an effective rescue helicopter service that is to be provided with the best possible preparedness across the country. In the case of helicopter heat-seeking cameras, the Ministry of Justice and the Ministry of Defence are in continuous dialogue. That's what we've been doing with the other measures, we're totally dependent on that. We cooperate well on this and understand that the cameras are no longer optimal, and that there is newer and better technology in this area – and also in the market. However, it should be pointed out that the cameras are still working, and that the defense is doing a good job of maintaining the quality of these – as well as possible. I can assure you that, in cooperation with the Ministry of Defence, concrete measures are now being taken to find a solution to the need for new heat-seeking cameras as soon as possible.
ParlaMint-NO_2009-11-18.ana.ud553e737	I thank the Council of State for the answer. We probably remember both of them on 16 May 2002 when we had a heated debate here on the rescue helicopter service. It's correct, as the council says, that the assumptions that the Stortinget at the time let, and that there was a great deal of agreement, were faster response, there was a doctor on board, and there were some qualitative changes. Because there are important assumptions, as the Council itself pointed out, I'm glad that he now showed that you're in dialogue to look at the cameras as well. Because it's a paradox, at my discretion, that if you have a doctor on board, if you move out earlier, but don't get the help because, for example, the heat-seeking cameras are too poor, as the other assumptions that the council pointed out do not help, because the tool to find the injured person who is gone does not do his job. Then you will not have to use the doctor, and you will not have to use the amazing tool that the rescue services in Norway are using. So it would have been tempting to challenge the Council of State whether he has a time horizon on this, and whether it's parallel to the phase-in of new rescue helicopters. In that case, the Council of State has too much time, at my discretion.
ParlaMint-NO_2009-11-18.ana.ud553e746	This is largely linked to the budget. If you want new cameras, it costs money, so we have to find a solution. As far as the time horizon is concerned, we are looking at the future budgets that are coming. But at the same time it is that in the case of the large liftings for the rescue helicopters, I have to say that the Stoltenberg administration has actually shown that it is possible to act reasonably quickly to make these great promises. In 2001–2005, this happened very little in relation to the base structure, and we know that in the last four years, there has been a 24-hour shift of medical care, which costs much more than the cameras, but which has actually been prioritised to put in place a rescue service that helps to get a quick response where it really applies. But I fully agree with the questioner: we also depend on good technology, and it works with it.
ParlaMint-NO_2009-11-18.ana.ud553e755	Once again, I will be generous: I will, of course, give the government the brilliance, for there is no doubt that the Stoltenberg government has taken greater hold – and faster grip – than the Bondevik II did when this was the case. Well, of course, it has to go a while from decision making in the Storting until it can be implemented, but all the credit for what has been done in terms of medical and base preparedness, because it is positive. But there's another paradox in this, I think. If the Council of State is thinking of looking at another helicopter he's responsible for, the police helicopter, then they have the cameras on board, which I think are moving to the degrees that the rescue services have. And even though police helicopters – at least to some extent – operate with tasks other than rescue primarily, there has also been a lifesaving tool for them in aid actions. I therefore hope that the Council of State will be able to look at the experience of police helicopters when looking at the speed ahead towards new heat-seeking cameras. Because it is a fact that the Council of State itself has some influence on the budget he mentioned instead?
ParlaMint-NO_2009-11-18.ana.ud553e762	I have a lot of influence on the budget! I am very pleased about that, and that is why I have agreed to be the Council of State. That's why we've also done a lot, in my opinion. We've been working on putting these placekeepers in place – especially. But this is how we see a lot of good equipment – including the police, as the questioner points out here. And it's clear that when you sit in police helicopters and look at the camera equipment you have there, you get real inspiration to help refurbish the camera equipment on the Sea King machines. It has given us good inspiration to continue that work, and I am convinced that cooperation between the Ministry of Defence and the Ministry of Justice will bring a good solution to this in the near future.
ParlaMint-NO_2009-11-18.ana.ud553e772	« The road system of the Member States classifies the state of road surfaces on the national road network into five categories, from very good to very poor. The corresponding classification is not used on the county road network, inter alia. because there is no common maintenance standard for the whole county road network. This is determined by each county. From 1 January 2010, the counties will take over highways and highways. How will the Council of State ensure a common standard on the road and ferries?’
ParlaMint-NO_2009-11-18.ana.ud553e779	There is a lot to say to road users and society that the road network is well maintained and that the operation is carried out in the same way as possible around the country. This is particularly important when you see it in the light of road safety. Large changes to the default may have an adverse effect. Prior to the administrative reform, the municipalities have all a responsibility for a company that is as large as today’s national road network – approx. 27 000 km of state roads and 27 000 km of state roads. The standard for maintaining national roads is adapted to traffic, so that the low-traffic road has a lower standard than the high-traffic road. It is the state road authority that manages the county roads today and makes agreements with each county municipality on the basis of which standard will lead to the maintenance of these roads. In many cases, the national road standard is the basis for the conclusion of operational and maintenance contracts. The county is now responsible for most of today’s national road network – about 17 000 km – as a result of the administrative reform. This is a much larger traffic area than the current state road network. The county councils and the municipality of Oslo took over the road network from the state with the standard it has and with existing rights and obligations. It means taking over the responsibility of the state for a series of running contracts, including: functional contracts, which may relate to both operations and maintenance. Similarly, the county will enter into contracts that will bind the standard to the ferry equipment. National guides to the standard on the public road network will otherwise be assessed on an ongoing basis, while ensuring the freedom of action of the county councils. This may apply to both development and maintenance measures and operations.
ParlaMint-NO_2009-11-18.ana.ud553e794	Thanks for the answer. The description is well known, i.e. the actual and physical movement of responsibility for poorly maintained roads. Now, the Council of State's answer was that it might be problematic to have too many standard deviations. If one common standard goes from one country to another that owns 19 different standards in the worst case — that at least there is a possibility to deviate from a uniform standard — that gives cause for concern. There is also cause for concern that we will have a split of standards both on the road network and on the ferry network in Norway. What is the reason why we want to wait to see if there should be government leadership and not start it from the start of the reform?
ParlaMint-NO_2009-11-18.ana.ud553e801	It's my impression that there's a strong commitment out in county councils to secure a good and well-functioning behalf. In fact, most of the counties have their own transport committees that follow closely, which have now set a course for how to deal with the situation in 2010, and which I do per year. Date is safe for me, the product will be very good for the new responsibility that they are now given. Then I still announce for the sake of order and security that we shall follow closely. There is, of course, an important point here, which the Blackvik representative must also take with him, and that is that it is the same competence as it is today when it comes to these roads, which is to follow further. I'm thinking about the State Road Service.
ParlaMint-NO_2009-11-18.ana.ud553e808	Thank you again for your answer. I stand here with a copy of Manual 111, which describes the standard for operation and maintenance on today's national road network. I allow myself to quote from the foreword: ‘To implement the standard on a country-by-country basis, road users are ensured against crossing quality or regional border offers and between districts. The standard requirements specify the levels at which society is earned.’» This is the standard we have today. The question is what standards we get after 1 January 2010. Is it so that the level at which society is served changes when the states take over the highways? Or will the Council of State ensure that the same operational and maintenance requirements as we have today also apply when county councils are to take over ownership of today's national road network?
ParlaMint-NO_2009-11-18.ana.ud553e822	It's not like today, despite this manual, that there's no difference between states and states. It is a cooperation and listening process that takes place in relation to the priorities of the individual counties. There are many stories that go on that, when one also today crosses a state border on today's highways. What I would like to repeat is that I have more confidence in the management of this by the county councils, in regional elections, which, in contact with their local representatives, with spokesmen, etc., will also focus on the standard and on their new responsibilities. But let me underline one more time: we're going to follow closely.
ParlaMint-NO_2009-11-18.ana.ud553e832	I have the following questions for the Minister for the Environment and Development: ‘In the context of an overall spatial and transport planning, municipalities experience that the failure of the State to coordinate objectives, instruments and progress hinders their own urban development. Will the new Council of State at the Prime Minister's office address these issues?'
ParlaMint-NO_2009-11-18.ana.ud553e841	I have recorded – I have actually been abroad – that there has been a wide-ranging discussion of the Council of State at the Prime Minister's office. This is under my responsibility, and that is why I respond. In St.meld. No 26 for 2006-2007, the Government's environmental policy and state of the state of the state of the state of the state of the state of the state and in previous communications such as St.meld. No 23 for 2001–2002, Better urban and urban environment, and St.meld. No 31 for 2002–03, the Stockholm Communication emphasises the need for state activities to build up under local urban and urban development plans and strategies, where the plans are consistent with national policies. These are the leaders who have been asked to follow up on regional and local land plans by the county councillors in the letters of allocation. Nevertheless, conflicts and uncertainties arise in the meeting between the municipality as a planning authority and the state as a landowner and sector manager. The Ministry of the Environment and Statsbyggen have cooperated on how the state can best sweep its own door even by locating state-owned businesses. Cooperation has resulted in a report that was available in August this year. The report contains a collection of examples of state location in cities and agglomerations. Examples have been selected in dialogue with state enterprises. Let me add that several of them were from the representative's homeland and were located, according to that report, just in the Drama, which had a few of the best examples of how to put state businesses in the center of the city in a positive way. The report shows that good solutions can be found, especially where the municipalities actively use the municipality plan to influence the location. It points out, however, that the own objectives of State enterprises are given priority. Activities often experience the national targets as obstacles, rather than seeing the potential and positive effects of good localisation. A key challenge is to better integrate national objectives into the target structure and internal priorities of state enterprises. I, as responsible for the planning part of the Planning and Building Act, want to bring together common national guidelines that can be incorporated into governance documents for state enterprises and businesses. It is essential that state activities comply with the overall objectives of environmentally friendly urban and local development. This includes, inter alia: activities with many employees and large public visits are made easily accessible by being centrally located in cities, where there is good collective coverage.
ParlaMint-NO_2009-11-18.ana.ud553e858	I thank the Council of State for the answer. When the wording of the question was ‘the new Council of State at the Prime Minister’s office’, it was intended that the question should be asked there. The reason that one used that concept in the question was that the Stortinget was operating with the coordination minister Schjøtt-Pedersen on his questionnaire manual at the time. What the Council of State says is excellent, and of course, special examples from the Drama must be very good to bring with them. But we know that in many things have e.g. a statement of objection by the agricultural manager, such as: the transport authorities wish to build a one-way route, as in the municipalities of Hå and Sola. That's where agricultural management says no because of soil protection. The question then becomes whether the Minister for the Environment and Development feels the need to bring the new Council of State to the Office of the Prime Minister and involve him in these matters, where it is contrary to the policy of the State.
ParlaMint-NO_2009-11-18.ana.ud553e867	I don't think I'm going to continue such a pingpong around this council, but recognize that one of the most central problems in Norwegian central government is that we have a very fragmented state, where the different departments often work for different goals. They take care of different social interests, and they may conflict with each other. The coordination of municipalities, county councils, state agencies, state enterprises and the state as such is a difficult and difficult task. The coordinating body we have in Norway is the Prime Minister. Otherwise, it's a huge challenge to get better cooperation all the time. Of course, I am prepared to engage in matters where the representative of Greece or others in the Grand Duchy believes there is a need to do more to bring the various bodies together.
ParlaMint-NO_2009-11-18.ana.ud553e874	I thank you again for the answer. It's really not State Council Solheim that's the starting point for this question. He is becoming more subdued, but I accept that this is the responsibility of the Minister for the Environment and Development. For Storting, it is a little confusing when we are first told that we should have a Minister of Coordination, that there is a Council of State at the Prime Minister's office. Then my conclusion is that the job of this Council of State is primarily to manage the Prime Minister's office for the Prime Minister. It doesn't need State Council Solheim to answer. But I am glad that the coordination work to be done then is in good hands, especially given that there are now double staffing in the Prime Minister's office to deal with this issue.
ParlaMint-NO_2009-11-18.ana.ud553e883	I have to agree that it is in very good hands with Prime Minister Jens Stoltenberg, and with the Council of State Karl-Eirik Schjøtt-Pedersen to coordinate it all, it is in very, very good hands. But even in as good a hand as it is, this is a real, big problem. You notice – how to bring these processes together – in a lot of areas. We have e.g. a number of state establishments. There may be a contradiction between their desire for a particular location and the desire of a municipality or community to locate elsewhere, given transport pattern, or otherwise. These are processes where there is no solution once and for all, but which require daily involvement and review. If the representative of Greece brings in such things from Buskerud, I am more than prepared. It's e.g. a discussion around the hospital location in Drammen, where there are considerations that speak for both one and the other.
ParlaMint-NO_2009-11-18.ana.ud553e893	I will allow myself to ask the Minister for the Environment and Development the following questions: ‘Concession on the planned 420 kV lines between Ørskog and Fardal and Hardanger is currently under appeal. If the powerlines are built according to the concessions, they could have serious environmental consequences. Among other things, the power lines will affect UNESCO's heritage area, unique fjord landscapes that are at the core of the world's leading destinations, and protected areas. In what way and when will the Council of State be involved in these matters to ensure that the environmental aspects are taken care of?’
ParlaMint-NO_2009-11-18.ana.ud553e902	Let me start by saying that the question raised here is among the most important and difficult environmental challenges Norway will face in the years to come. If we are to expand significant new renewable energy in Norway, an important objective of this will necessarily be exports. It will also require grids, and it will then be faced with balances between important considerations in the development of new renewable energy and the local environmental damage that can result from a grid. So this is a big and important and difficult field. The power lines to which the representative Lødemel refers involve significant natural interference. These are difficult issues precisely because the security of energy supply and the production of more new renewable energy necessarily have consequences for the environment and other societal interests. I therefore understand that the planned pipelines have created great commitment and considerable resistance in several of the municipalities and regions that could be affected. As referred to, these cases are now under review. The Ministry of Oil and Energy is the concession authority in complaints against electrical installations. The Ministry of the Environment will have an important role to play in this treatment, and I have to ask for understanding that I cannot express myself specifically now. However, I can promise that the consequences for landscapes, natural diversity and cultural memories will be carefully assessed before final decisions are taken. I would also like to assure the representative of Lødemel that both the Minister of Oil and Energy and I are very aware of the environmental challenges associated with the necessary strengthening of the grid in Norway. The Government has received the agreement of the Storting to a strategy to strengthen environmental, aesthetic and local community concerns in power lines, and of course this should be used as a basis for further work on these issues.
ParlaMint-NO_2009-11-18.ana.ud553e913	I thank you for your answer. The new 420 kV powerlines in Hardanger and between Ørskog and Fardal are highly controversial. Among other things, we see: that the NHO Travel Life strongly warns against the consequences of these lines. At their 2007 national meeting, an issue was agreed where the NHO Travel Life reacted very strongly to the fact that Statnet is planning power lines in fjord and mountain landscapes in the West, which are among the most important profile areas of Norwegian travel life. In the Municipal Report of September this year, it appears that such a line can have major consequences for UNESCO's World Heritage Site at the Geirangerfjord, and that this may result in the removal of this area from the World Heritage List. The major negative impacts are not cost-based nor did they contribute to the costs associated with air voltage. Will the Council of State ensure that the negative consequences of air voltage are taken into account and that this is included in the final decision-making framework?
ParlaMint-NO_2009-11-18.ana.ud553e920	It is obvious that all the negative effects of such a grid, as is highlighted here, must be included in the overall assessment that needs to be made before a conclusion is reached. I think we already have to face up to the fact that many of the new renewable energy sources that we in Norway want to expand have precisely this kind of balance. There is not a single new renewable energy source that is conflict-free, as some seem to think in the debate. Even something as nice as solar energy is enormously land-consuming. Wind power will all have, but not necessarily in every place. A large expansion of renewable energy in Norway will bring with it a significant grid, which will either have to go into soil and marine cables, which are significantly more expensive, or into air cables, which have many of the counter-arguments against them that Lødemel draws. So I just want to warn that this is going to be one of the significant environmental debates in Norway in the future, and it can only happen on the basis of all the arguments coming out in full transparency before conclusions are drawn.
ParlaMint-NO_2009-11-18.ana.ud553e927	I thank you again for your answer. I have a little follow-up question. These lines will also have major negative consequences for the proximity to large areas of housing and buses. There are many well-founded protests from people who point out that the lines will have a major impact on the quality of life in their neighbourhood. In the Naustdal in Sogn and Fjordane, a possible construction of the line leads to a family getting the whole life base on the garden laid in ruins. The same thing is true for Standal on Sunnmøre, where a garden that the family has built for generations might be dislocated. Also in Nordfjordeid, in Ålfoten, in Sykylven and many other places, the new 420 kV powerlines can have large negative consequences. The right and the other opposition parties have called for new policy guidelines for the use of earth and sea cables, where the environmental aspects and proximity to the bustet are strengthened. Will the Council of State take the initiative to make such changes to the guidelines for cabling before the final decision is taken in the concessions currently under review?
