ParlaMint-NO_2009-12-04.ana.ud2465e53	The representative, Nikolai Astrup, will put forward a proposal for a representative.
ParlaMint-NO_2009-12-04.ana.ud2465e805	Let me first thank you for the interpellant. I also believe that these are questions that we should discuss more often. It helps to put migration policy in a broader perspective – as the interpellant did in its contribution by expanding the entire content of migration policy and also the opportunities we have to implement the policy we actually want. It must be a hope that we can just discuss what is possible and what actually brings about, more in the future, both in terms of asylum policy and migration policy as such. I would add – as the inter-pellant also pointed out – that there is also the possibility of discussing general justice policy issues, because these issues are interrelated. The EU five-year programme in the field of justice and home affairs, the so-called Stockholm Programme, is expected to be adopted by the EU at the summit of 10–11. December of this year, on which the interpellant was in. It is still the case that the Government has to pursue an active European policy and work specifically to safeguard Norwegian interests vis-à-vis the EU. Norway is served to be part of the enlarged area of freedom of movement in Europe through our relationship with Schengen cooperation. This means that we have an external border in common with the EU countries, among others. by the Mediterranean Sea. Boating of migrants across the Mediterranean, trafficking in human beings, high asylum entry rates, the many unaccompanied minor asylum seekers, and the reception situation – I stress this – of asylum seekers in some countries make it apparent that Europe faces challenges that can only be solved through well-developed European cooperation. I have even said that I believe that one of the greatest opportunities we have, and one of the greatest challenges we have – especially since I took over this field – we have in the European arena. I want Norway to be an active contributor to addressing the challenges of immigration into Europe, while upholding the humanitarian principles. I am pleased that the Swedish government has wanted to involve as well as non-EU countries, as well as international organisations and European non-governmental organisations, in a very open process on the design of the new action programme. On the Norwegian side, we have, among other things: through good Nordic cooperation, had the opportunity to exchange views on the action plan over a longer period of time. It concerns both bilaterally between the undersigned and Minister of Justice Beatrice Ask before I took over this field, and now also through the meetings we have had with the Minister for Migration, Tobias Billström, which I will come back to. This autumn, the Swedish Presidency of the European Union has had consultations with the EU Member States, among others: Norway on the direction and content of the new five-year programme. In this context, we have communicated our views directly into the process, for example. through meetings with representatives of the Swedish Presidency and the European Commission. It was a meeting, among other things. at State secretarial level, in addition to ministerial meetings. We have also communicated Norwegian views and input through the note to which the representative refers in his question. The Stockholm programme has also been the subject of meetings with the Swedish Minister of Justice, Ask, and the Swedish Minister of Migration, Billström, last week in Stockholm and in Brussels this week. The EEA Agreement and Schengen cooperation are important European cooperation instruments that Norway naturally needs to focus on when the EU is reviewing its plans for the next five years. On the Norwegian side, however, we have placed great emphasis on taking advantage of the opportunity to make representations in key policy areas, such as the rights of individuals and the protection of privacy. We have emphasised that Norway supports the focus of the draft five-year programme on family, social security, alternative criminal responses and Schengen cooperation. One of the main objectives of the Government is a humane, solidarity and judicial asylum and refugee policy. This implies compliance with international obligations, such as the European Convention on Human Rights. The draft Stockholm Programme clarifies that it is still necessary at European level to have a targeted response to the migration challenges, based on solidarity and shared responsibility, and that human rights remain one of the cornerstones of European cooperation. There is reason to pay tribute to the Swedish Presidency too much of the direction of the Stockholm programme in several fields, in my opinion. The government has underlined the need for cooperation in the field of refugee and migration. The last meeting expressed support for the further development of the Common European Asylum System. As a Schengen and Dublin member, Norwegian authorities are committed to the implementation of the existing directives in the field of asylum. The Government is committed to following up the openings for cooperation existing at European level. Among other things, Norwegian authorities want to participate in the planned European Asylum Support Office, the European Asylum Support Office, EASO, which has also been the subject of the recent meetings we have had. We believe that such a support office will contribute to harmonisation and more consistent procedures and better information exchange between European countries. We have signaled to the EU that we want to participate actively in the construction and further development of the EASO. Norwegian authorities also support the development of cooperation with countries of origin and transit both in order to better control migration flows against Europe and in order to cooperate on regional protection programmes. We have stated that we want to be more actively involved in such programmes. In the recording of the Stockholm Programme, we expressed the positive opinion of the Norwegian authorities that the draft focuses on the situation of single minor asylum seekers. We believe it is particularly important to focus attention on this vulnerable group and that a structured approach to issues related to this group is essential. The five-year programme should focus on the rights of single minor asylum seekers and have concrete measures to improve the treatment of minor asylum seekers’ cases. Norway has a long tradition of resettlement. The five-year programme provides a positive indication that the draft signals a greater commitment from European countries in this area, which will increase the importance of resettlement. We have signaled that Norwegian authorities are willing to share their experience with EU countries in this field. Furthermore, we have stated that we value the fact that the fundamental rights of individuals have been given greater place in the new programme and that data security and data protection have been raised on the agenda. However, we have stressed that there is not necessarily a contradiction between effective data exchange and data security. We are also positive that the rights of vulnerable groups, such as crime victims, children and women, are underlined in the programme. There has been an ongoing theme in the meetings we have had with the Swedish Presidency for a long time, including. trafficking victims, but also children as victims, in particular as regards sexual abuse and Internet abuse. However, we stated that this could be emphasised even more clearly in the programme. As regards police cooperation and judicial cooperation in criminal matters, the draft Stockholm Programme focuses on serious organised crime. We share the EU's priorities on this point, and I have, in many respects, in my meetings with other European Justice and Home Affairs Ministers, emphasised that Norwegian law enforcement authorities will cooperate with European colleagues in every possible way to reverse the emergence of serious cross-border crime. The time aspect prevents me from going into it in detail, but there is reason to point out that we in Stockholm last week signed the police cooperation agreement – the so-called Prüm agreement – which gives Norway great opportunities to fight crime. It is also essential for Norway to have an accession agreement, including: in the case of DNA searches in other European country databases. The Swedish Presidency has given us very good drag help in this regard. As the representative of Greece refers to, there are several ongoing processes of change in the EU. On 1 December, the Treaty of Lisbon entered into force – the appointment of a new EU Commission. This is important for the further development of EU cooperation, and it is important that it is also reflected in the announced notification of Norwegian refugee and migration policy in a European perspective. The impact we are now in the process of doing will be aimed at elucidating developments in this field and the opportunities and limitations offered by Dublin and Schengen cooperation. This message is expected to be promoted during 2010 and, as a response to the interpellation of the representative of Greece, will be a very good opportunity for the Stortinget to discuss this in its breadth.
ParlaMint-NO_2009-12-04.ana.ud2465e843	I would like to thank the Minister of Justice for a positive response to the interpellation. It is clear that the Minister of Justice has a desire to be part of the European asylum and integration policy, just as he wants to be part of European police cooperation. This is linked, and it is positive that the government is now actively working to get the decisions made. It is difficult for the opposition to know how active the government has been in the process of influencing the decision to be taken in Stockholm next week, but the Minister of Justice has at least had several meetings with my party colleagues in Sweden, Billström and Ask, and has obviously benefited greatly from it. I look forward to the Government coming to Stortinget with this big message about asylum policy that has been wanted for a long time. Clearly, there are major changes in migration patterns, but also in how Europe now intends to deal with the influx of asylum. The last play now is that the UDI will allow asylum seekers who are refused in Norway to obtain a work permit quickly. I have to say that the Right has something skeptical about it. After all, we have promoted a number of measures to open up increased labour migration from outside EEA cooperation, for example. to the fishing industry in Finnmark and to the mines there. Russians who want to come and work in Norway have serious problems getting to it. It is also important to see the labour immigration systems in the context of the general immigration and asylum policy, because these are two different things, but it is clearly linked to the fact that the UDI is now thinking of making it easier to obtain a work permit. In the newspaper on Monday, there was a larger notice with the State Council of Storberget, where he said: ‘Norway cannot pursue a policy that differs significantly from other countries in Europe. Closer cooperation with the EU shall contribute to the resolution of the asylum crisis.» I now perceive that he underlines this in his response to me, and that is right-wing positive to. I hope that this is a line the Government will follow up, and that Norway is now focusing on a policy that largely harmonises with the policy in our neighbouring countries, for example. Denmark, which has for a long time been subject to strong criticism from many in Norway, but which has actually implemented measures that prove to be effective. It's positive.
ParlaMint-NO_2009-12-04.ana.ud2465e857	I would just like to repeat that a debate on European migration policy and European justice policy is helping us to have a more general view of the whole debate. I think the debate deserves it. It also helps us to create tools that actually produce better effects than many of the tools that may have been discussed in the policy on previous occasions. What is interesting in European cooperation, both in terms of migration policy and justice policy, is that it is now very much about operational mechanisms that enable us to coordinate both responses and take decisions. That is why I believe it is absolutely essential that Norway be present and discuss it, among other things. with a Presidency at all times. From the Ministry of Justice, we have chosen to meet the existing Presidency and also the in-depth Presidency, so that we constantly remind them of the role Norway wants to play in this field. Now that the police cooperation agreement has been signed, the next objective in the field of justice is that we should be able to participate in cooperation, for example. wetting transfer. At the same time, we see that with regard to a good part of the operational instruments in which we are involved – whether it be the Schengen Information System, the VIS or other types of data-processing – we are totally dependent on being close to the decision-makers. On these issues, we have the opportunity to do so in Brussels – to be allowed to sit around the table. At the same time, there is often a feeling of narrowing and effectiveness in the European context, but it is now also clearly a major challenge that we contribute to setting good common standards in the political debates that take place in Brussels and in Europe in terms of migration. Now, if you're going to get a good and effective Dublin agreement, a new generation, I think it's absolutely vital for Norway to be here and come up with opinions on what kind of standards it should be. Especially when we know that there are a good number of countries that, among other things, When dealing with asylum seekers, we have every interest in helping us to get good rules and also contribute to a policy aimed at a greater burden-sharing. Therefore, this will be a policy area that will require a lot of us, and not just give us benefits. But overall, I mean the whole of Europe, and not least those who migrate, will benefit greatly from the fact that there is a great deal of international cooperation in this area.
ParlaMint-NO_2009-12-04.ana.ud2465e866	Earlier today, Stortinget has discussed the preparations for the Copenhagen climate summit and how Norway is dealing with one of the greatest challenges of our time, climate issues. Another of today's really big challenges is migration. How do we ensure that migration is used for something positive – that people voluntarily move on, get protection, get a better life, work, family life across borders – so that we counteract the darker features of migration, that people are pushed out, that people end up in an uncertain situation, that their status is not clarified, and that people are forced to travel by family or circle? This is one of the greatest challenges of our time and an enormous field of tension. There may be no more complex subject area in Norwegian and European policies at present. There is an enormous field of tension between the individual's need for freedom, protection and a decent life and the need for regulation of society. One challenge for us as parliamentarians is that much of what is the tool, the means, in the field, is determined by others other than the Storting. It's not like that in this field that all power is in this hall. It's in many other arenas. First of all, it is about what goes directly on this interpellation – the conditions in other countries and the conflicts in the world, where there are crises, wars and environmental damage that pressure people to escape. EU policy has a very strong impact on Norwegian policy. What is determined in Brussels has a direct impact on Norway. As many people have experienced, we cannot be a lonely island in European politics. We need to follow the processes very closely, but we also need to follow the decisions taken in Brussels. Then we have the Dublin cooperation. As a result, the immigration policy of another country determines the possibility for a person who has been in another country first to apply for a stay in Norway. This means that Norway sends persons back to the first candidate country, rather than dealing with an application here. So in the field of regional policy, we see that there are other countries' legislation, other systems, which govern important and very central tools in the field of migration. I am pleased that the interpellant in its first post has a positive attitude towards migration and points to the positive sides. I would like the Stortinget to be able to discuss this field much more and more times a year in peace and quiet on an overall level, without constantly jumping for the media and constantly taking the debates after that there have been situations. Our problem is that many of the debates come after the media have written about them, after, for example, writing about them. has recorded a large increase in asylum arrivals. Thus, the debates will then be held. It's going to focus on the negative. The focus is on tightening up, and you really don't get a complete and balanced debate on this. I believe that the political environment needs opportunities to discuss this area, not only in peace and quiet, but also in the run-up to the processes, so that we can discuss it in full, and so that perhaps Europe, rather than discussing how to build dams around Europe, can discuss how to build channels into Europe. To a certain extent, it has been done in relation to labour immigration by setting up employment offices, for example: in African countries. It provides information on how to legally seek access to Europe. In several areas, a single European responsibility and initiative for finding more legal access to the European Community may be discussed. One of the main challenges is, as I see it, what goes on implementing decisions. Here we have a common European challenge. It does not help with all kinds of measures, whether restrictive measures or internment schemes, some of which have been addressed if decisions, residence and not least return are not managed. Here, it is important that the countries of Europe jointly find tools that can make their home country accountable to their inhabitants, and I think it is a great deal to go on with a wide range of joint actions. With this, I would like at least to mention that we have more and more regular debates at a general level in the national assembly in Norway, not only to be in front of the important debates that are coming, but also to find common instruments across party boundaries – because this field needs to be.
ParlaMint-NO_2009-12-04.ana.ud2465e887	It is undoubtedly an important matter that we are debating today. That's why, of course, it's also very commendable by the representative of Greece and Right that one is promoting this interpellation. Migration is a major challenge. It is also an increasing challenge. We see that asylum numbers are increasing in Norway. This means that we also need to get more involved in this problem. It is important that we cooperate here with the EU – Dublin cooperation and Schengen cooperation. There is also something the Progress Party supports. But while, on the one hand, we have a cooperation with Europe and are trying to solve challenges with other European countries – and the EU – we also need to have a national effort on it; we need a national governance that is based on intrusions, rapid procedures, etc. European cooperation does not have to be a sleep cushion in any way so that we do not have to make an effort at national level. So we need to have two thoughts in our head at the same time, both European cooperation and national efforts, in order to meet these challenges. As I said, this is an increasing challenge. That's why it's important that we get this kind of debate, and focus on it, in the national Parliament. It can also be repeated, so that, if possible, we can find cross-political solutions to some of these problems and challenges. We probably don't get cross-political agreement on all of these questions, until that's enough distance too big, but anyway, it's important that we take this up for debate, and that we focus on the challenges and problems we're facing.
ParlaMint-NO_2009-12-04.ana.ud2465e898	This is an important debate. It is really a pity that the Stortinget did not discuss the Stockholm programme until it is ready for decision in the European Union, but at least we will be glad that the debate is coming. We should really have debated this yesterday, when we discussed the Justice Budget, and maybe spent a little more time on it rather than on some less important things, which we actually discussed yesterday. The interpellant concentrated on asylum and migration policies, but the programme also includes important issues of justice policy. I hope that the Minister of Justice can help us to highlight a little more concrete what priorities have been set by the Government, and say something more about what this will mean for Norwegian justice policy. In recent years, we have seen a rapid increase in the number of burglaries and rants carried out by gangs from new EU countries. Norway is not the only country in Western Europe that has experienced it. The theme is natural to discuss in the context of the development of the Stockholm programme. Norway is, in part, quite lagging behind in combating this type of crime. The question is, to what extent we inspire other EU countries to do something stupid that we may not have started with here at home. Therefore, I would like to challenge the Council of State to clarify what has been Norway’s contribution, and if the Council of State believes that the programme provides sufficient hope that new joint measures or plans may be put in place to stop and combat this type of crime. The councils were in a row of cows and full prisons. There has been a repetition of the Norwegian debate. The rescue queues are now almost removed, but are likely to increase again. In a hurry, the majority of the Judicial Committee had to re-prioritize funds for increased custody capacity because it came as a bomb that, after a police conflict, more police would cause increased pressure on custody capacity. It also has an important European dimension, because it is due to a large number of foreign criminals. Many prisoners in Norwegian prisons come from the EEA territory and take up a good deal of accommodation. There is reason to believe that some of these also continue to coordinate criminal acts from prison cell. The prevention of the prison regime creates national challenges, but the question is also how European co-ordination related to settlement transfer is to be done more to meet the challenges facing Norway — on which the Council of State was involved. The Justice fraction in the Right has asked questions about this, but no clear answer has been given to how the Council of State sees it necessary to carry out the settlement transfers to EU countries. Not least, some prisoners are to be returned to the countries from which they come, so it is also to ensure their return. I also want the Council of State to respond to this. I want to get into what the Council of State said about social security issues. The councils were in on it, but he did not say exactly what input Norway has made. It is absolutely right that social security issues should be given an increasingly prominent place in EU cooperation and that it should be important. We did not discuss this much in the budget debate yesterday, although we are, therefore, strongly lagging behind at national level in relation to, for example, the situation. Civil defence, so on behalf of the Right, I want to challenge the Council of State to say something about the concrete input that has actually been made in the area of social security, and not least what credibility Norway has in relation to the fact that we do not follow up what was the Storting's premise when we dealt with the paper on social security. The Prüm decision is good. But it took two years. And that is our challenge in relation to European integration: that we must have separate agreements. Developments are extremely rapid in the field of justice policy. I therefore want to challenge the Council of State whether we are at risk of similar treatment periods for the various legislative instruments that will eventually be out of the Stockholm programme. On the right, Prüm agrees that Norway has an important role to play. However, we are given the opportunity to discuss the question of DNA analysis later in connection with a proposal Right has promoted for Stortinget today. In this context, it is worth noting that the EU is already working on legislation that could make it difficult for us to pursue national policies in relation to DNA analysis, namely that we cannot maintain, for example, the EU. The monopoly of the Federal Institute of Forensics. So the Council of State should take into account the fact that it is already possible for EU policies to influence national policies in the field of DNA analysis. Finally, a few words about the Data Storage Directive. We will have time to discuss it later – but can the Council of State also say something about the significance of a Norwegian veto for our credibility in relation to the EU? There were a lot of questions. Governments should at least be able to respond to some of them.
ParlaMint-NO_2009-12-04.ana.ud2465e919	I would also like to thank the inter-pellant for the inter-pellation – it is very good that we have taken some proper rounds of EU policy in this area. Our committee is primarily responsible for the burden of asylum and immigration – not the other parts of judicial cooperation. But there we have André Oktay Dahl, among others, who is a member of the Justice Committee. I think finding some good systems for how we in Stortinget can interfere with this kind of thing at an earlier time has proved to be important. Several debates we have had during this short autumn we have been gathered, among others. on the Data Storage Directive, we should have taken to the landfill at a much earlier time than we have done. Just being early in the processes is important. Now the Norwegian people have said that we should not be a member of the EU. Then, at Stortinget, we have to adapt to it and make sure that we still get involved with, and discussed, all the cases while they are in the process of the EU – that is to say, commend the inter-pellant. It is a comprehensive document, this Stockholm programme. It has a lot of different sides. Even I can only begin by saying that from SV's point of view, we were critical in our time – we were opposed to connecting to the different parts of judicial cooperation. We had two main objections: one was about privacy and privacy. Here I believe we have got it right. The other concerned fear – and it may be even more important – of getting a downward spiral, with narrowing of refugee policy in different countries. That's where we've been right. And what I think it is essential to have a discussion about the Stockholm programme is precisely that when we have a cooperation that we are part of, it is extremely important for us to have an offensive role, where we contribute to raising the minimum standards that exist in the EU in the field of asylum, to ensure that people applying for asylum are properly treated. There are very clear wordings in the Stockholm programme. The formulations are very clear that even if you have to have strict border controls, people should have the opportunity to apply for asylum. In particular, there are single minor asylum seekers, who are a very vulnerable group. Joining this and helping to strengthen the EU's work on this is extremely important for Norway, because within the field of asylum and refugee, we have the tradition of having a fair and legal asylum and refugee policy – from Nansen onwards. We can sometimes think that the tension in refugee policy in Norway is great, but then one has not heard the European debates. It is probably right to say that the range between different European countries is at least as large as the range within Norway in this particular field. So it's good that the Swedes have taken this initiative. I mean, there's a lot of good here. There are also many things that we are critical of, but that is a good basis for further work, and it is important that the Minister of Justice, the Ministry of Justice and the Government do a proper job. Because it is clear that when we are linked to a system in which we send refugees back to a country they have first been in, it is extremely important that we are sure that that country is conducting a proper asylum process and has a decent level of reception for asylum seekers. I share the concern that has been reported by NOAS through their reports, in the case of Greece. A clear breach of a good part of the fundamental rights to be enjoyed by asylum seekers can be demonstrated – also in relation to the entire procedure that is linked to the institution of asylum. Greece also has a very high rate of rejection – much higher than what we would find natural if we were to deal with matters in Norway. The Soria Moria declaration is clear on this, the refugee convention is clear on this: although we have cooperation with other countries, in Norway we have a separate responsibility to ensure that people applying for asylum here receive treatment that is in line with what is of the basic conventions to which we have attached ourselves. So there are many other things that can be mentioned here: in the meeting with different organizations and departments different places in the office you get different input. Some of what I've picked up is, among other things, the possibility of searching in Eurodac – there is only one opportunity to search for asylum seekers once. However, when you know that there is a ‘delay’ in the system on registration elsewhere in relation to the application to Norway, there should be an opportunity to apply more than once in Eurodac to people who are asylum seekers. That would make sense. As far as the UDI is concerned, I would just like to say in the end that their proposals make me think I'm worth discussing, because it gives an opportunity to direct people who are actually labour immigrants into that area. [[President clubs]]
ParlaMint-NO_2009-12-04.ana.ud2465e940	The President will remind you that speaking time is not a minimum time.
ParlaMint-NO_2009-12-04.ana.ud2465e943	I would also like to start by thanking the inter-pellant, Trond Helleland, for taking the initiative for an important debate. Norway is not an island in the world, and interaction with Europe on migration issues is important. The Stockholm Programme shall provide the framework for EU work on police and customs cooperation, rescue services, judicial and civil cooperation, asylum, migration and visa policies for the years 2010 to 2014. For one who sits on the municipal committee, the key issue is asylum and immigration. There is a long-standing and ongoing work in the EU to cooperate and coordinate asylum policy. The Stockholm Programme shall replace the Hague Programme, which has set out the guidelines for this work in the years 2004 to 2009. One objective is that asylum applications should be treated in the same way throughout the area. The EU has taken some steps along the way, including: through the Dublin Regulation. Unfortunately, however, people still have to deal with a sort of asylum lottery in Europe. The outcome of an asylum application is still to a certain extent commendable to which country it is dealt with. It is absolutely necessary to coordinate Norway’s policies in the field with other European countries. However, it is also important that this is not primarily a competition to have as restrictive a policy as possible. Then we can quickly find ourselves in a situation where the consideration of people for flight and for human rights can be described with a downward spiral If we are to be able to handle asylum policy in a good way, it is also important that our decisions are based on knowledge. Yesterday the report ‘Why Norway’ was presented. The researchers Jan-Paul Breek and Monica Five Aarset have examined the explanations underlying asylum seekers’ ports in Norway. The report shows the processes and causalities that have led asylum seekers to end up here. Some of the answers can be found in the impression that asylum seekers have Norway. Norway appears to be a secure country that respects human rights. The ability to get work and to build a good life is also an important reason. Measures such as family reunification and other immigration policies can also help to make Norway attractive. However, information on this policy varies widely between groups. A good reputation, such as: Norway is a humanitarian state, and it can also help asylum seekers to get here. Researchers point out that it is important to distinguish between measures targeting different aspects of the immigration process. When politicians try to control migration flows, they can choose to do so either before potential asylum seekers leave their home country, during the arrival phase, or during the integration phase — that is, after a person has been allowed to stay. I would like to quote Break's comment on this: ‘Politics are often tempted to try to control the flow of asylum by regulating the latter part. One must be careful to introduce integration measures in order to achieve migration policy objectives.’.» This is an important point that I, as the Christian People's Party representative, also stand for. The four-year rule for family reunification is such an example. It may have unintended effects and have serious consequences for those who may have to wait up to 6-7 years to be reunited with their family. Disability of family establishment and family reunification for those who have demonstrated the need for protection also hampers the possibility of good integration and quality of life for those on whom we are internationally obliged to take care of. In this context, I would like to say that in the case of family reunification, it can therefore be seen as an important capital in terms of integration. It could be interesting to get some comments from the Council of State on just this last one.
ParlaMint-NO_2009-12-04.ana.ud2465e968	I thank the interpellant for addressing this matter in Stortinget. I'm not going to start an EU debate, but I'm going to start by saying: we need people in Norway, and we're going to be very happy that immigrants came to Norway in the 1970s. At least I am very happy that these immigrants were allowed to come, because then we were allowed to be born in Norway, with the possibilities it has given us. But we can learn from the migration that was at that time. It's actually going very well. We hear that the minorities in very many areas are topping up some negative statistics, and then you don't see the positive on the other hand – what a class trip this is actually. You have parents who are illiterate, who come from a village far into Punjab, you are born in Norway, and then you are trained to be a doctor at the University of Oslo and may receive H.M. The King's gold medal for excellent research, which some have just received. The class trip has been huge, and the possibilities it offers are enormous. I do not think we should make a problem out of the fact that there are as many people coming to Norway as the representative Stokkan-Grande so far had. I'm not going to misinterpret him. I don't think he thinks it's a problem either, but we need to find the good solutions. The problem is not that there are so many. The problem is caused by three relationships, which I had to deal with yesterday. One is that we have 11,000 applicants who have their applications pending, where the proceedings have not been initiated. Here, in the left hand side, we've proposed giving 100 million. kr more to the UDI, so that this procedure can be avoided. The second is the 3,500 people who have been finally rejected, but who do not return, among other things. because they themselves do not choose to return, because we are unable to achieve good return agreements, and also partly because we do not know who these people really are, and where to return them. Of course, this work needs to be intensified. Then you have a third relationship. It is the problem that those who are allowed to stay get a wrong signal when they come to Norway. The signal early in the 1970s was that you can come here as long as you work. When you work, you feed yourself. The values that children learn when they see their parents at work are that it's through work that you can feed yourself. It's the good standards that go beyond inheritance. What happens now when new people come to Norway is that they sit and wait – waiting, and preferably sheep. We in the state take care of them; they are not allowed to participate in the work. And when some of these are given the opportunity to stay in Norway, after they have been granted a permit, they are waiting for a passive everyday life. Once you have become very well used to, and very well known to, the welfare arrangements that we have in Norway, it is very difficult – after almost sitting and staring at the wall for two to three years – to start working. We must succeed in changing the spinal cord reflex that many people from other countries – I would say non-Western developing countries – have. They have social challenges other than Western countries, greater degree of corruption, poverty. They have a different spinal cord reflex than that the natural spinal cord reflex will be in a country like Norway, where the state is your friend, not an enemy, the police are your friend, and not an enemy. The police are there to help you, and the state is not the one you're asking, but the one you're actively contributing to and willfully paying taxes to. This integration debate must help to change the reflexes of the spinal cord. If you can do that, asylum seekers will no longer become a problem, but can help to do something about the aging wave we are going to face in the coming years. We in the Left agree with the UDI Director, who is today concerned with making it easier to obtain a residence permit. I would be very interested to know if the Government agrees with the UDI Director, whether one is willing to see if one can grant a residence permit and a work permit instead of all having to stand in the asylum queue, and whether they can change queues, as suggested by the Left, and get into the jobseeker's queue instead – so that one can use the skills they have. Director Ida Børresen says, among other things. to NTB today that ‘UDI can thus save resources and reduce processing time, prevent groundless asylum seekers from waiting a long time for a refusal and allow society access to the necessary labour’. As she assesses it, and as we in the Left see it, there will only be positive aspects associated with our being able to give asylum seekers in Norway the right to change queues, get them out of the asylum queue and into the employment queue. It will be beneficial for asylum seekers. It will be beneficial for society, and it will be beneficial for the generations that later grow up and have seen their parents at work.
ParlaMint-NO_2009-12-04.ana.ud2465e1002	I would like to thank you for a good, sober and factual debate on an important and difficult question – really a battery of questions like this. I'm not going to give the Council of State any new challenges, because he's got so many from other people who have been involved in the debate. He'll get to spend the three minutes on it. I noticed that the chairman of the committee, Holmås, was pleased that this was taken up, so that we could debate it in advance. It is now a week before the EU adopts the Stockholm Programme. It could have been an advantage if we had had this debate, not necessarily as an inter-pelling debate, in the Stortinget at an earlier stage in order to be able to get in the front line and give signals to the Government about what the Stortinget seems to be important, when Norway is going to join such an important and broad programme as the Stockholm Programme. Holmås was also concerned that there were sides to this he did not like. He collected one winner after another, at least he felt it himself, because SV had been against participating in judicial cooperation and had got right at the point after point, on which he said that much of what is in the Stockholm programme is good. So to the extent that I'm going to polemize with someone in this final post, it's going to be with the committee leader. In my view, in his conclusions, he was positive that Norway is now actively participating and is trying to influence European policy. But then it is also important that we participate in judicial cooperation in the same way as other countries. The representative, Raja, stated that there was a lot of waiting in Norway. That is, I suppose, the main problem in asylum policy today. It takes too long to deal with the matter. When they are treated, they become conversion decisions. There will be new rounds. There will be people sitting around on asylum receptions that are actually cleared for departure. It was stated in the Address Paper that there are now 3,300 who are in Norwegian asylum recipients and have received a final rejection. This is a problem. Perhaps the government could start by looking at how the state itself has put this up. For example, there is a waiting reception when you are waiting to go home instead of a departure centre. That kind of symbol policy is also important to give a signal about what this is. What are you waiting for when you sit at a waiting reception? Well, you're waiting to go home. Why don't you call it an exit center? I look forward to the big message being presented, and that it will not be exposed for too long, because now it is urgent to have a proper and wide-ranging debate on this issue. I have the impression that many people in the hall also believe.
ParlaMint-NO_2009-12-04.ana.ud2465e1015	If I were to reach out to all of those challenges, it would take more than three minutes. I have to ask Storting's understanding of that. There were many challenges here, but I want to grasp what I see as important threads in the debate. First of all, the Storting is given the opportunity to discuss these questions. That is one of the main reasons why I have asked my post that the first document we are going to provide for the Storting of some size in this field is the Storing Message. It gives us ample opportunity to discuss where to go in the future. But the Storting also has the opportunity to raise these questions. This interpellant debate is a very good example of that. It may be a call to all of us to raise the debate on the challenges we face in terms of migration, not only here in the Chamber, but also elsewhere. To the representative of Bekkewold, I just have to stress that I am 100 pst. Agreed. On the issue of adaptation and cooperation into Europe, there is always one overall principle there. That is the humane principle that we are applying in Norway and that we are going to stick to. We're not messing with that. The human rights standards applicable in this field must apply. It's not just about migration, it's also about justice policy. It is interesting to see that when Stortinget was invited yesterday to take a position on, among other things. agreeing to the privacy rules outlined in Europe, which will manifest themselves through a completely new police record law, Norway will also be affected by European teams in improving our standard of what we regard as important areas, whether it be privacy, human rights issues, etc. I perceive that there is a reciprocity in it, but there is a general principle there, and I intend to govern this part of European cooperation between Norway and the EU too without throwing these principles on the boat. I believe that we can establish many points of contact. We have many contact points across Europe related to these issues. It is an advantage for us to sit in what we call the 'Mixed Committee' in the Council together with the other ministers in this field. There we have direct access, bilaterally and multilaterally. We are invited to attend the informal ministerial meeting in Toledo, Spain, in January. It gives us a rich opportunity to continue to influence. So to the representative, Dahl, who has a lot of questions about the Prüm agreement and settlement transfer agreement: it's fine that Norway is allowed to join. It takes time, but the Prüm agreement has not yet been implemented in Europe. Norway is at a level with many other countries, so we have the absolute opportunity to make a significant impact on this.
