ParlaMint-NO_2009-04-02.ana.ud2081e78	The representative, Jørund Rytman, will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e960	That is what we are doing all the time, and we expect this improved teacher training to provide a better basis, so that we are in a better position in wage negotiations as well. I don't want anything against the fact that you differentiate wages any more, even in relation to the teachers and the pay they have. So here we provide a basis for any wage negotiations in the future to lead to results that teachers deserve. As far as the University and Higher Education Council is concerned, I repeat that I have not found any documentation for the year 2014 – also by contacting them; there is nothing that is professionally presented that supports this. It's just a wish that then they'll be able to implement it. I actually think I know the institutions as well. Even though they themselves have these ambitions, I still want to say that here it's 'thinking of a number'. What we're doing is doing thoroughly and professionally in order to get better education now in the four years the teacher's education lasts, while at the same time doing our best to develop good masters and to make any five-year education also of good quality and good.
ParlaMint-NO_2009-04-02.ana.ud2081e967	The cord shift is over.
ParlaMint-NO_2009-04-02.ana.ud2081e970	I think it's one important perspective to bring with it, which comes a little bit in the shadow of the debate here today, and it's that in today's school we have a lot of skilled and committed teachers who every day make a great effort to ensure that Norwegian students get the best education and education possible. All in all, we have a good school in Norway, and we have a lot of good teachers. Some, including opposition politicians, have repeatedly tried to draw a picture of Norwegian school in crisis — and that we have too poor teachers. That picture doesn't match the reality of school. We have a good Norwegian school, but with some challenges. These challenges have taken government parties seriously, and we continue to take them seriously – from the increased focus on early efforts to the importance of basic skills, increased hours in primary school, more physical activity in school everyday life and a system of permanent further education of teachers, to take some examples where the Government has taken responsibility and made important steps. Today, we are dealing with a new and improved primary school teacher education, a well-worked message with several measures that will make future teachers even better equipped for the important task they have in school. Not least, it is good that the process has been so extensive and broad, and that the various institutions, the professional environments and not least the teachers themselves have been heard, and that they are largely satisfied with what is proposed. Different speakers have already been involved in what steps you now want to take, and I don't need to repeat all of that. An important grip I still want to link some comments to, is the connection between theory and practice. It is very good that the message states that there must be a stronger link between theory and practice. Didactics, learning to learn away, shall be continuous in all disciplines. It is important to have good professional competence – skills requirements contribute to it – but it is also important to have expertise in how to disseminate it to students. It's one of the teachers' most important roles, and it's good that it's a continuous feature. Many of the measures proposed by the Government are widely accepted by the Grand Duchy, and that is good. But not so surprising, the debate has been largely about the length of education, and there's going to be a bit of a strange debate. The Progress Party, the Right and the Left are trying to build up the distance between us and them. The reality is that the distance between them is probably so great when we see what they want with a fifth year. I think the sector should be happy that it is not the right side that premises for the new teacher training. For the Workers' Party, it has been important to do something about the four years we have today in teacher training. How can we make them even better? At the same time, we know that there are projects with five-year masters that we support. The message also states that the Government wants to increase the number of master’s students in teacher education. Quality assurance is also important, as well as the development of master's offerings which are needed by the institutions and which meet professional requirements. It is therefore good that the Ministry should set up a sample to look at this. The solutions of the right-hand side are a little too simple and too little thought. It must be allowed to ask the Progress Party and the Left how thoughtful their proposal for a five-year master is. Is that team in what they're proposing? I noticed that the representative Dørum did not give a clear answer to it in a line change earlier, but that it had to consult and process. And then I ask myself, how much difference is there really on the left and what the government is proposing to put down a sample that's going to look at this? The right-hand year of practice, with a ten-point task, can hardly be described as a master, but as a five-year education. Most people who want an extended education do not want a five-year education – they want a five-year master's degree. For the Workers' Party, research-based education is important for all four or five years, for those who have it, of the teacher's study. Now it's most important to do something about the four years, and then we'll meet the development of several professionally sound five-year offers later. So finally, the representative Gundersen said in a reply earlier that the message was ‘contaminated’ because of a lack of action. I'll say, on the contrary. The communication is full of measures, which have also been referred to in the debate here today. We believe that with this communication we have provided a good basis for a new and improved teacher training that is professionally sound, not just a political mark.
ParlaMint-NO_2009-04-02.ana.ud2081e989	The Storting message about the teacher, which deals with the teacher's education, the role and the job of the teachers, together with a number of other actions The government has recently completed, does, as I see it, three main choices that it is necessary to make. First of all, we make the choice that we say that the teacher is a number. 1, no no. 6 or No 7, not at the back of the line as one we're supposed to be, not one we're going to characterize negative, but one we're going to back up and pay what it costs to back up. That is why we have entered into the partnership GNIST, with all the different measures in it. This is why we are now implementing an old SV proposal, which is a permanent system for the further training of teachers. That's what the background is for us to implement another old SV proposal, simply to provide guidance to all new teachers when they get out of school. That's why we're doing what a lot of teachers are doing, that's why the principals have to gain more competence through an offer of their own teacher training for all the principals. That's what the background is for us to take on what's going to be a tough and long-lasting job to do, to clear up time in the school so that teachers can be teachers, and to give their teachers back to the students, and to clear up time for other tasks that others can take care of. The teacher must be able to spend more time on the core tasks. That's choice number. 1; the teacher is no. 1st@item: inlistbox Then we have to make the choice that we have to have a top quality in education. In the past, a frequent debate on teacher training has asked whether the most important thing is to strengthen the skills of teachers, or whether it is to strengthen the understanding of learning processes, the learning skills of teachers. The answer here is, we have to do both. Through this two-part division, we receive a teacher training with a greater specialisation and a larger room for in-depth training, not least in 5- to 10-year-olds. By the fact that no subject other than pedagogics and pupil knowledge is mandatory, the deep room for deepening is given, which means that we secure a great many teachers in the future with a heavy deepening in their field of study. At the same time, we introduce the new subject of pedagogics and student skills, and we have seen a strengthening of the practice and of the quality of institutions both when it comes to research and education, which will follow up education in a much better way than before. Higher demands on students, higher demands on institutions and better follow-up to the link between theory and practice. Pedagogics and learning skills are a subject that can better take care of the teaching of communication. The third option is that we have to say that recruiting teachers in the years to come becomes a main job in school and in society. It's over the year, not least from the previous government, done too little to have more places to study, to get more people to search, to get a completely different recruitment bet. We're sitting at the beginning of a problem today, as we look at it. They'll be more serious if we don't implement and follow up the measures the Government has now taken. The recruitment campaign that is now being conducted under the auspices of GNIST is one such measure. There must be not a one-time lift, but at least one three-year bet. It's like, as it's told me, that it's the biggest recruitment campaign in the public sector ever. Campaigns are good and good, but they are the material content that is most important – therefore a number of measures such as the write-off of student loans, the Lector II scheme, etc. and not least the training itself, the possibility of continuing training and the way in which the job is out of school. That's the most decisive thing about whether we can get a lot of good kids to look for the teacher training and get more people to work. In my view, there are many interesting and constructive contributions from the opposition beyond what the Government has proposed. I'll praise the opposition for that. Some of them I disagree with, and others are difficult to implement. Many of them, of course, are a bit confused, because there's an unsavory opposition between them. I do not want to put any emphasis on it, but rather say that it is very gratifying that there is a broad agreement on the important key concepts of the message.
ParlaMint-NO_2009-04-02.ana.ud2081e1002	It's going to be line change.
ParlaMint-NO_2009-04-02.ana.ud2081e1006	The Council of State was so far in wanting to make a statement. As the Council of State, he must deal with the policy of the Government and not the SV. Then he can talk about claims, because if he were to talk about SV's policy, requirements would not have been so very central. But let's assume that he represents the Government and is concerned about demands. In the case of five-year master's degree training or not, the training association has written the following in a consultative note to the Committee: ‘The League of Education considers that the teachers of the future in primary school need master-level skills and believes that the government has too low ambitions on behalf of teachers and school.’ Is the Council satisfied not to represent an adequate level of ambition for the future school?
ParlaMint-NO_2009-04-02.ana.ud2081e1016	I am very pleased to have provided a big message about the role and training of teachers, who reform and clearly improve education, and who point towards several master students in the future and a full review of it, but not least take the necessary quality measures today. The representative Anundsen's problem and the opposition's problem is that they have no model for a five-year master. They have one thing in common, they have five in common. And then they have some different models that might meet the requirements of the NOCUT. Then the representative Anundsen himself has done almost a killing on Right's model from the speaker's chair just, where he regularly slaughtered one of the parties' models. And the representative of Dørum has confirmed that we need to have a long hearing process, and we need to discuss it over and over again. In other words, they have about the same need for a wide discussion about the way forward. The important thing now is to implement the quality concepts of four-year education and get more at the master level, as the Government proposes.
ParlaMint-NO_2009-04-02.ana.ud2081e1023	I think there's a lot of consensus that the teacher is a number. 1st@item: inlistbox It is also good to hear that the Council of State has woken up to the fact that there is a recruitment problem in the school. We've been trying to draw attention to that for a long time. In the teacher's message, it is also about the Lektor II scheme. It was also the Council of State so far within the post. There was a slightly tragic case on TV 2 about a student who was placed on a farm one day a week, who was stopped because the farmer had no teacher training. Now I realize that the government has decided to clean it up, and that's very good. But there's a lot of evidence here that you have a bureaucracy that doesn't take over the signal that's coming in quite wide, that you also need to find new models of how to attract new skills into school. The question is then: how is the Council of States going to get bureaucracy on another track, so that it starts to be constructive in this respect?
ParlaMint-NO_2009-04-02.ana.ud2081e1030	This is a very important question, I think. On the one hand, there is no point in weakening the requirements for those who are required to be trained in the field of education to have a heavy and broad competence and to be teachers through various teacher training courses. There are other important tasks, both educational and other, where they may be important contributions. There I believe the representative and I myself am quite a few. It may be in different ways outside the school, but not least the Lecturer II scheme is a good example of that. I agree. That's why we've seen it going on. That's why, as the message also says, we're now looking at opportunities for second-cycle candidates with a completely different background, who can get into a race faster than learning. This is why we also need more practical correction and provision for more students to be trained in the company. That's what we'll get back to in the competence message soon. I want to say I am very happy and positive that the representative Gundersen is busy with just the same problem.
ParlaMint-NO_2009-04-02.ana.ud2081e1035	This government has stumbled into a number of debates – around hijab and blasphemi paragraphs, discussions that gradually, when they took shape, showed that there was a lack of a general competence on religion in our society. It wasn't a particularly high level. Future teachers shall meet students with all kinds of background. They're going to be in a much more multicultural society than our teachers met. Therefore, it is incomprehensible to me that the Government does not now want the RLE subject mandatory for the first time. We're going the opposite of what you do in Europe. They say it's not important. Doesn't the council realize that a teacher needs to know why milk and meat can't be mixed up for any students, that some students can't draw God, and why some students come with henna on their hands after a festival? Why is this knowledge no longer important to this government?
ParlaMint-NO_2009-04-02.ana.ud2081e1042	This is a good example of important knowledge in the school. That's why we're so focused now that the very basis of values on which to build the school, the knowledge of different ways of life, the understanding between people with different backgrounds, the fact that Norway was a society that is often, must be fundamental to all teachers who are going to work in the school. It is one of the foundings of the new subject of pedagogy and learning, and it must be important in all subjects. I believe that the Christian People's Party is in complete agreement. Where I think they make a mistake, when they say that this must lead to the subject RLE being mandatory. For this is the values and knowledge that must affect all teachers in the school of modern society. It cannot be removed at a certain level. The RLE subject shall be a subject of religion, life and ethics, and it shall be a subject of knowledge, a subject of development in that field. Therefore, my response to this is that the important values and concerns must be taken into account for all teachers, not just by making a particular subject mandatory.
ParlaMint-NO_2009-04-02.ana.ud2081e1052	It's like this for me that when I ask the University and Higher Education Council if they can deliver a five-year master's degree in 2014, five years from now, and get the answer yes, and it gets deepened in a hearing in the committee, I base it on that. I use it for the same reason that the government actually does when it believes that the university and higher education sectors should deliver good results even if it is cut in the budgets. You trust that people can get something, and the answer was, give them that you want to, and that you make funds available. That's why my question goes on: The left wants a five-year master, and it's obvious that SV seems to be serious. I think that's a little surprising, because SV is a party like in other areas, for example. as regards the abolition in 2015 of petrol cars, there is no fear of ambition. First, I have a sense of representatives and state councils who have ambitions. But what is it that makes you afraid to have ambitions on a master degree? Because the government doesn't get any further than that point than you say you have to have a group to figure out if you're going to have it. It's this turmoil, the mistrust of the university and higher education sector that I don't think I got a good answer from Aasland State Council.
ParlaMint-NO_2009-04-02.ana.ud2081e1057	There are a lot of arguments that we're going to have a great deal of future teacher training in Norway, which is a five-year integrated master's degree for everyone. I have great respect for the position of the Left when it comes to it – there is no doubt that the Left is it of the opposition party that has had the most consistent position here. But there are very good arguments against us now embarking on a major reform that will take all the attention away from the quality work that is needed in the next few years. 2014 is short-term in view of the enormous quality challenges in the sector, with the building up of the necessary skills, with the improvements in content and increased requirements that focus on the students, and with the recruitment challenges that lie ahead. If we're going to make that transition fast, there's a 1 500-2,000 coal that disappears straight into an already-pressed recruitment situation, at the top of the Left's proposal to get a lot more out of the school. I don't agree with the left-hand grip. I record in the opposition that there is internal disunity, but I respect that there is a good argument for a long-term goal here.
ParlaMint-NO_2009-04-02.ana.ud2081e1064	Recruitment becomes a main job for the Government, says the Council of State. I think we agree very much on that. We already see today that we have great problems recruiting and not least keeping the teachers who are in school today. So it's like the government's adding up to a whole day school, the government's adding up to fewer students per. teacher, etc. That would mean that we need more places to study. We need increased resources for the municipalities, etc. I can't see that the government's putting up so clearly to be able to achieve these goals. In fact, I want to know: what will the Council of State do in terms of financial measures in the budgets to achieve the goal of getting to a full day school, getting fewer students per. teacher, etc.?
ParlaMint-NO_2009-04-02.ana.ud2081e1071	The fact that the Government is more ambitious than the Progress Party is both when it comes to introducing a new and holistic school day and getting more teachers, means that we also need to have greater ambitions about learning places in teacher training in order to reduce drop-outs and keep more of those starting school. That's why we're taking these extensive grips. We'll get the new ones to go to school and give them better support. We take quality measures in education to reduce non-response, and we have increased the number of places of study in teacher training, in PPU and in pre-school education. This is absolutely necessary. But we all have to be clear about the fact that a few more places of study are right and important today, not least in PPU, where we see it is a good search. We also see that there are rooms for several five-year-old master's degrees where there is a good search. So we add up to that. But we also have to be busy with the recruitment itself, get interested in and want to be teachers. It's the biggest defect in basic education today. Then we come back to the revised and later related to what it means in the budget.
ParlaMint-NO_2009-04-02.ana.ud2081e1077	The cord shift is over. The following speakers shall have a speaking time of up to three minutes.
ParlaMint-NO_2009-04-02.ana.ud2081e1082	It is quite right that the opposition parties have different arrangements for their solutions. But at least we agree on one thing: we want to raise the ambitions of Norwegian teacher education. Government parties only agree on a small thing, and that is to keep a low level of ambition for Norwegian teacher training. I took the floor because the representative Lena Jensen said in his post that when the KRL subject became mandatory in the previous teacher training, it happened without any foundation in the environments. It is very interesting that what we have now experienced in the treatment of this message is that the educational educational communities have wanted RLE to be mandatory in teacher training, but have been overrun by the government parties. Like several others here, Lena Jensen has pointed to the need for calmness and consensus on the teacher's message. I also find it very strange that there has not been a single initiative from the government parties to achieve a broad agreement on general teacher training – or primary school teacher training, as it is now called. If the desire for peace and consensus was as strong as it is now expressed, I think it is very strange that we have had the process we have had, where all the parties have written their respective comments, and the opposition parties have written together in very many notes. The main problem with the message, in addition to what has been mentioned, is that it gives many perfectly correct descriptions, but it does not take the consequences of the descriptions it gives. It says, for example. in the message that 11,000 teachers today are in other professions. In addition, the message does not suggest any action to get any of these teachers back. The message also includes: The right has pointed out in many ways, that we have a major recruitment problem, especially in relation to the fact that many teachers are now losing their pensions. We know that 40 pst. teachers in primary school are over 50 years old, half of teachers in upper secondary school are over 50 years old, and many of them lose their pensions when they are between 55 and 60 years old. This message does not attempt to clean up. Some of the problem is that when the Stortinget has now waited so long for this message – since the fall of 2006, when it was to be launched immediately, we have done so in confidence that the reasons given by the Government have been correct, namely that there should be a complete message that would take important action. It's been the reason one waited so long. The government parties say that everyone has been so satisfied with the message, that there has been unison agreement. Well, the Education Association, which organizes almost all the teachers in this country, believes that the message is defensive. And when the RLE environments at the colleges around believe that this is a message that doesn't take into account any of the important things, namely how to get into a good religious dialogue, it's not a unison consensus. When the government parties in this ageing period have voted against a student loan write-off, no to a teacher II scheme, no to senior measures, no to recruitment plans and no to measures to get teachers back to the teaching profession, then one cannot come and blame the opposition for having a defensive policy.
ParlaMint-NO_2009-04-02.ana.ud2081e1097	I just want to make a few brief comments. I know a very great concern for the teachers of the future and their competence to meet a multicultural society. I am particularly concerned that none of the speakers of the government parties in their speeches – only on direct questions – has mentioned the importance of RLE in the new pedagogical subject. It's just by making RLE mandatory, and available to all teachers, that all teachers get that knowledge. What is now being added is that there are educational environments that should have the primary responsibility for training in religion, life views and ethics. All credit to the educational environments, but they have nothing to do with the creed of a Hindu student. All credit to what educational environments can now do, but what about the large community of competences built on educational institutions since 1997, which can do so? Why shouldn't they be part of this anymore? This is to trick the teachers when RLE is not admitted as a modular subject or as a study score. Those who wish to take a dip in RLE will have no synergistic effect on the pedagogical subject and its as-RLE content. I'm seriously concerned about how we're going to meet the multicultural societies of the future with the scheme that is now taking place. Today's debate has shown that it's going to be just like home-school cooperation: On direct questions from the Christian People's Party, they say that yes, this is important, but you don't do anything about it. Unfortunately, the government has left. Let me briefly say two more things. One is a general concern that I believe the whole Storting must address: What about the practically strong students, the practical-esthetic subjects – linking practice and theory closer together? We have a formidable challenge to get into the Norwegian school that all students should know the sense of mastery. So I'm also concerned that the mentoring/guidance system that really the whole Storting, but especially the Government, is now adding up, comes as an additional task. I believe that this needs to be put within firm, structural grips, where both the mentor and the person to be covered by the mentoring system are released in the form of a reduced educational obligation in order to achieve this. That would give you a good solution. It would have said that it was not an extra task, but that the Government and Stortinget believe that this is so important that we dare to put money in the pot for it.
ParlaMint-NO_2009-04-02.ana.ud2081e1112	There has been a good deal – and I have done it – of the points where there is a similarity between the government parties and the opposition. I'm not going to remove it. I think it's important. But it's really true that there's a disagreement between, for example, Left and government parties in the case of a five-year master's degree course. It is that when the Left wants to fight for something, we do it the same way we fight for something in other areas of policy. Now I'm not going to ask either State Council Solhjell or State Council Aasland to outsource their departments to the Left – that's not the way it's going, that's the way you decide such a relationship – but I think we know so much that we know what it takes to get to something, when we first want something. And to that: SV has a significant will in important parts of environmental policy. Left's happy. It's almost a paradox that you shouldn't have it, because the only thing in the big message that comes close to an ambition for a five-year master's degree is that there's a sample that, among other things, is that. shall ‘determine and, where appropriate, when’. So the Council of State went a step further than its own document and the comments of its own government parties, saying, once in the future. When is it in the future? We are a country that is applying for the World Cup and the Olympics, SV adopts programme entries for 2015 – but a master’s degree, no that should not be. And then you try to make fun of the fact that the opposition is working. Consultations are common in Norway — unless one wants to follow a command principle that is not appropriate in our state practice — and it is common for one to learn through hearings. But there's a sketch in the document, and that sketch tells you in which direction you want to go. The Trade Union Committee has had serious consultations with the University and Higher Education Council, and they answer what they want. And when you wonder if someone is dissatisfied, the local government's Central Association, the student organisations, the student organisations – those who wear the shoe – will answer that they want a different ambition, to set a course. Since 2015, we have lived in Norway for quite a long time because it is more than usual that more than half of the birthplaces have higher education than basic education. Our teachers should then be equipped with such a weak ambition to cope! To me, it's incredible. Where is it that the main part goes to get something else? Well, between the Government and the Left, for example, there's a problem. on the will to invest in continuous obligatory training. The left will have an obligatory continuing education for all teachers in all subjects at regular intervals, and we don't have to caricate in how to do it. We're practical people, and we know how to do it. The government has an ambition that will take 32 years to pursue further education for teachers. The second difference is that the Left wants the professional requirements to apply not only to new teachers, but also to those teachers who are in school today. You can't send a stronger signal to the teachers who are there than to those we want to recruit into all kinds of teacher training – than to make professional demands and then say that society takes the cost of continuing training to build up on these requirements. That's where the difference lies. And if you look at the program in the future, it's in the will to prioritize the heads first, and then the difference in the handles will also make you believe in the ambitions. It was necessary to say this, for there is a struggle for ambition, and the SV and the Government have weaker ambitions than the Left. It is a fact of school policy.
ParlaMint-NO_2009-04-02.ana.ud2081e1125	We have high ambitions on behalf of the school. To achieve those ambitions, we have to have the right means. That's why we've spent time, and that's why we've been thorough and systematic, because that's exactly how we get a teacher training that keeps a high level of quality. We are not flinching, as the honourable Member has said in this debate. On the other hand, it is the Right and the opposition parties that have systematically strangled throughout the period by making individual proposals in the hall. I can't help but draw a little on the smiling band when the Right Representative mentions the municipal economy – and poor municipal economy – as an argument. I guess it's not exactly a people's demand that the Right should once again come into government and govern the local economy here in the country. There's not much to boast about, but we actually have a lot to boast about: we've strengthened the local economy by over 30 billion dollars over these four years, and we're going to continue that line. The Christian People's Party wants a broader settlement, and that may be a reasonable wish. But then the Christian party should first of all look at the Right Party, the Left Party and the Advance Party, because in the bourgeois camp there is much more. As I record it, the Christian People's Party more agrees with us – the red-green – than with the others in the bourgeois camp. So maybe you should clean up the civil side before attacking the government in that way. So to my top score. New teacher training is good, but it's actually not enough. We record that the status of the teacher is low in Norway. That means that we, as politicians, have a special responsibility also in terms of status. We can do a lot through new education, yes, but we also have to talk nice about the school and the teachers. We need to talk about school and teachers, not talk them down. And when the head of the church, education and research committee here at Stortinget calls the school a nursery, it's talking the school and the teachers down. When the Progress Party Bureau, as I mentioned in a previous line today, talks about the teacher having a blank mandate to destroy people's future, it's talking the school and the teachers down. So I hope at least that we can agree across politics that it should end that kind of argument. Now we talk the school and the teachers up – then we get a good school.
ParlaMint-NO_2009-04-02.ana.ud2081e1136	The representative de Ruiter says that the red-green government has high ambitions. Well, where has it become of them? The ambitions of this message are not so high. If you were to set a really high level of ambition, you would have done what everyone wants, that is, to have a master's degree of five years for teachers as well. What happens instead is you try to shoot around by saying that on the civil side it has to be cleaned up. I do not know whether the representative of the Ruits and other speakers who have pointed out this point are aware that there are four different parties, on the civil side, which have no duty or normal desire for concrete coordination. We're not in government together. We don't have those obligations. And yet – without sitting and negotiating – there is quite a lot of consensus on the non-socialist side, and that would have been seen if you had read the attitude that is being treated today. So there's no need to clean up the civil side. If you're going to have some political cooperation after the election, the distance is less on the non-socialist side than it was between the present government parties. So I think you should first keep track of your own. I have to say I am disappointed that the government parties say that at some point in the future it may be that, etc., but that in 2014 it is completely impossible to complete a master's degree course. But the Socialist Left Party, as the representative of Dørum pointed out earlier today, has decided to ban petrol cars in 2015. I have to say that I think it's a very unrealistic starting point, and I could imagine seeing the professional foundation for this. So you're ambitious! There's a target! But when it comes to the future of our children and what kind of education they're going to get, you don't set a goal, and then 2014 is too early. It doesn't really matter, and I have to say I'm disappointed that you're not more able to find the good solutions in the long term and fill in the process that's now. What we're facing right now is a government that says we're going to make some master's degree courses, and then we're going to put down a group to see if that makes sense. Everyone, except the Government, says it makes sense. We don't have to wait any longer to figure out if that makes sense. So let's agree that that's what we're going to do, and then we're going to fill in how the arrangement finally gets through a proper process. There is no one in this big business who says that we should not have a good process until a master's degree course. Everyone agrees that we need to have a proper and tidy and good process, and so we trust the University and Higher Education Council to know what they're talking about when they say that it's possible to do this in 2014.
ParlaMint-NO_2009-04-02.ana.ud2081e1143	There was something Anna Ljunggren said that made me take a three-minute post – and there were a couple of others who pushed on the same tune. She said that when she went to school, she had an excellent teacher who was strict and set clear boundaries. That kind of teacher I think we all remember, and we know how important it is for teachers to get the security that you dare to set limits. We've been through this with the practice. There are many who have been involved today, and I am amazed that you do not take it so seriously that you will look at the Right's proposal for a year of practice. I think getting a safe practice before you have to stand all alone in the classroom is very important. But then the representative continued to say that the right-hand side black paints the school, and that we partly lack confidence in the teachers. There are also several people who have crept on, and I think that is a hopeless premise and a rather low level of debate. Then we can just pair back that the school now has no entry requirements for teacher training for many, many years, and that was a strong downgrading of what having a level of knowledge, a level of competence, actually means. And there is not exactly a good story for the government parties, since they also voted against the introduction of the knowledge requirements when the Knowledge promise came. Besides, there's a lot of evidence that you're not completely briefing yourself in reality, because Monday morning had just an article about this, and it says: ‘Only one of three lecturers would re-elect the teaching profession. Lecturers warn against choosing their own profession. The longer they have worked in school, the less willing they are to recommend students to choose the same path of life." Is it that you think it's the right side that stands and creates that kind of attitude on the part of the teachers themselves? This is a very fundamental challenge in how we can raise the status of the teaching profession, and how we can get a completely different attitude to being a teacher, and how important that job is to society. And then we can't do that – customs is probably an unparliamentary concept, as far as I've heard, but I can say something pretty close by. Being a teacher is a very important job. It's a hard job. It's a leadership job in a large community of many different individuals. That's the role we're going to train people for, and then I just have to repeat that I miss the level of ambition in the message that exists. Especially since it has taken two and a half years to get it out, based on a pretty thorough NOCUT evaluation, I would have thought it would take more steps.
ParlaMint-NO_2009-04-02.ana.ud2081e1159	The representative Dørum has presented the view of the Left in an excellent way in this setting. But as a representative of Finnmark, I would like to link some comments to the Sami teacher training and to the teacher training at the Finnish University of Finland. A key task for Sami teacher training is to care for, disseminate and develop the Sami languages, Sami culture and traditional knowledge and to train teachers and pre-school teachers in line with that. But the search for Sami teacher training is unfortunately very low, and it is obvious that it is a major challenge to recruit enough Sami language teachers for Sami and Norwegian kindergartens and schools. I am therefore pleased that the majority sees the seriousness of the situation and believes that it is important to have targeted recruitment measures to ensure a sufficient number of qualified Sami language teachers. It is positive that the Ministry will implement measures to identify the recruitment basis for Sámi higher education, assess an extended debt forgiveness scheme and link parts of the newly submitted continuing training strategy with continuing training in the same way for teachers. In connection with the latter, I have great faith that the three colleges responsible for training teachers in Sami languages, namely the Sami College, the Bodø College and the Nord-Trøndelag College, will be able to further develop good and attractive offers. The left also supports the delegation of the possibility of establishing a framework/samian teacher training sympathetic training within the framework of national regulations to the Sami College, because it is the environment at the Sami College which, in our opinion, is of the best competence in this respect. Finally, I would like to say a few words about teacher training at the Finnish University of Finland. Teacher training is very important for our region. For higher education, a relatively small peripheral teacher education, it is obvious that it is important to facilitate the coordination and organisation of the new training courses across the main strands. I am also pleased that the Committee makes it clear that, in order to introduce an activity requirement for teacher training, it is important that this is determined on the basis of completed study credits, where both initial and continuing training are seen together. Substantial provision of further training at each institution will also ensure the breadth, relevance and vital professional environments. In addition, cooperation with other Nordic teacher education institutions is very important for the Finnish Higher Education College, and I am pleased that the Committee notes that work sharing between institutions will become increasingly important in the future. That is obviously true, but I would also like to remind you that cooperation between institutions that are geographically very distant from each other can provide few economies of scale in some contexts. I therefore hope that the Ministry will take this into account in the further work on the implementation of the new teacher training.
ParlaMint-NO_2009-04-02.ana.ud2081e1176	The problem here is not a lack of ambition. The problem here is that many in the opposition did not carry out the necessary steps when they themselves had power, but today it seems exciting to create illusions about what one can do that is completely unrealistic. Let me first deal with the new teacher education, which is a comprehensive reform to which there is broad support. Many of the grips could have been executed before. It's e.g. proposed by SV i Stortinget a systematic re-introduction of mentors. The proposal was not made in the previous period, but there is now broad agreement to split the education into two runs. It is a comprehensive quality reform that, together with the improvements in the content of the institutions that we propose, will be extremely important in the years to come in order to improve teacher education. In another field, on the other hand, I think we have to go a lot deeper into the problems that could be created especially if we were to follow up the Left Party and the representative of Dørum here. It's about recruitment. The proposal for a year of competence every seven years, which the Left now has, is the last mentioned in connection with the presentation of the message. It is a proposal that would lead to more than 5,000 teachers in addition to the coal we would lose with the Left's policy because of a five-year education quickly being taken out of school – well over 5,000 teachers in a situation where according to the statistics now there are more vacant positions in the school than there are unemployed teachers! Everyone knows that there is a completely unimplementable policy if we are concerned that students should have competent teachers. It will take the teachers from the students. That's also why there was no year of competence when the Left itself had power. There was not even a day of competence for the students in the school. That's what the challenge is now. We need to start the systematic training lift that we are doing, at a rate that the recruitment situation in the school tolerates. It's a good ideal, which we're all a lot of people about, that all teachers should have professional competence in their subjects. But let's also imagine that we dragged out to a school and told you that no, you've been working at school for 30 years and taught in physical or music or mathematics or whatever it should be, but we see from the papers here that you don't have 30 or 60 credits in your profession, so to be qualified to teach, you first have to have it. I think there might be quite a number of people who would wonder if we had heard the word «real competence», if we understood that having worked for many years in spite of everything gives a good deal of experience. It's a good ideal, but now we have to start with the new teachers, set skills requirements, and then we have to carry out the further training, which we've got in place for the first time, at the pace that the recruitment process can take.
