ParlaMint-NO_2009-11-04.ana.ud60e26	The representative of Christian Tybring-Gjedde will put forward two proposals for representatives.
ParlaMint-NO_2009-11-04.ana.ud60e531	Dagrun Eriksen - to the last follow-up question.
ParlaMint-NO_2009-11-04.ana.ud60e535	I think that a temporal escalation plan would have been a good muscle for the council to have. But now leave it. Governments have reduced a sample to create a common understanding in the sector of how this is done. I've been thinking a lot about this sample and wondering what the purpose is. Now I have the council here and can be asked directly: is it for the sector to now accept the reality that the government has of how they really feel out there? Or is it for the Government to accept the reality that the sector actually describes, quite unambiguously? If I can also allow myself to say that, it sounds like it's the opposition that's moaning a little bit. I've been following this sector quite carefully, and that wasn't this strong demand from the past. That's when the rest cuts came and the red-green came, that we got the big challenge by the sector starting with it. What is the mandate of the sample?
ParlaMint-NO_2009-11-04.ana.ud60e546	This working group's mandate will allow the representative to know more, and I would like to send it to him. But I can briefly say what the workgroup is going to do. I think it's actually an answer to a lot of what's made here, both as problems of being understood and perhaps problems of being heard, in both directions. When the government grants money and our academic institutions experience that they don't see anything about that money, we have a problem. What this working group will do is to try to find out what are the barriers, the problems, the challenges within the systems that are. Through a dialogue and an exciting way of working, you need to look for something that can be a common understanding. On the specific question from the representative about who it is that should affect others with their understanding, I would say that this is mutual. It is important that both parties, both authorities and the sector, respect each other's way of looking at it. [[The President clubs.]] If we can come to a better understanding basis, nothing is better than that.
ParlaMint-NO_2009-11-04.ana.ud60e553	It's important that we respect the way others view it, and it's also important that we respect the speaking time, which is limited to 1 minute. We move on to the next – and last – main questions.
ParlaMint-NO_2009-11-04.ana.ud60e558	North Norway, and especially Finnmark, is now experiencing the biggest conflict since the Alta action nearly 30 years ago. Today we have lawless conditions for the peasants, where the peasants are invaded by pure ones who destroy what they have built. It has been decided that there will be more than 60,000 reindeer in Finnmark, we have more than 100,000 today. The national audit has also been critical that there is too much purity in relation to the grazing basis. We also see that all over North Norway there are major problems on the road network. Salting the roads has led to major traffic problems because clean comes down to get salt from the roads. We also see that yesterday the Minister of Agriculture said in Altapost that they want to set up a mediation committee. I think with all due respect that a mediation committee is not the right way to go. We believe that we must take action. This is not something that has come overnight, it has been for many years, and it has not been shown action by the minister. I demand that the Minister – it is time – show action to the farmers in North Norway. The cleaners say that you have to step in to reduce the problem. If the mediation is that they're going to fence in, my question to the minister is who's going to have to take the money with the fence. Then it's a paradox to me that there's never been more agriculture in the country than with the Central Party in power – where they're sitting today. We see what's happening in North Norway, and it's clear that agriculture will be abandoned when you don't get the chance to survive. My question to the minister is, how can we get a quick solution to this, instead of just talking?
ParlaMint-NO_2009-11-04.ana.ud60e569	In some cases, there are some knowledge challenges both in the agricultural industry, in the sewage industry and also in the political environment. I would like to stress that this question points to that. What is the situation in Alta has a background in an old area of conservation that was established in the mid-1930s, where there was a restoration of cleanliness to ensure the rejuvenation of the forest, as it is called. It has been quite calm in the years that follow, but in recent years there have been major conflicts, probably related to legal issues, which have to do with equal rights and the different attitudes to the issues in Finnmark. What I have taken up in connection with the meeting that was in Alta, to which the representative here refers, has been to seek peace, create dialogue, and not least to create cooperation in Alta to find solutions to the challenges that exist in relation to that area of peace. The meeting we had yesterday resulted in the municipality setting up a cooperation committee where the municipality takes responsibility for getting the reindeer industry and agriculture together. It tells both parties that they agree. In addition, the Ministry establishes a mediation board to be chaired by the County Council of Finnmark, in which the rapporteur of Alta, the reindeer management and industry organisations, both for reindeer management and agriculture, are to be involved. It also says that they want to be on it. Unfortunately, this conflict has gone too far, I agree with the representative. But with the work we are doing now, we should seek to avoid new conflicts and to seek cooperation where reindeer and agriculture, both of which live from natural resources, are to have a more peaceful coexistence. I'm pretty sure we're going to get a lot further in the work done here.
ParlaMint-NO_2009-11-04.ana.ud60e580	I'm not particularly impressed with the answer. It looks like only Finnmark matters to him. I'm recording that the rest of North Norway, like Nordland and Troms, doesn't matter. I would like to refer to a headline in Folkebladet, where Norway's second largest island, Senja, is completely stopped. There's 260 animals on the island, and they get to stop all nutritional developments. It could be deportation. The business life is tied to hands and feet because of 260 pure. And then we're in on that supply as well. Then my question to the minister is, When are you going to use the whole country? When are you going to take Nordland and Troms seriously, too, and not just traveling on a trip to Finnmark?
ParlaMint-NO_2009-11-04.ana.ud60e587	With respect, I would like to stress that it is important to distinguish lobster from canary. This conflict that we've seen has been very big in Alta municipality. We've captured that case. Then we also have to take with us that there are rights for reindeer operations in large parts of North Norway, including Middle Norway and down to Hedmark. Those rights exist and shall be exercised under laws and regulations. What I have been concerned about in the context of the conflicts that have arisen is that both reindeer farming, agriculture and all actors should deal with laws and regulations. They must respect laws and regulations. That's true in Alta, like anywhere else. That conflict on Senja that you mentioned, I haven't been aware of, and I don't know. And of course, in case it comes up, we're going to have to deal with it properly and properly.
ParlaMint-NO_2009-11-04.ana.ud60e592	Three follow-up questions will be raised – first Harald T. Nesvik.
ParlaMint-NO_2009-11-04.ana.ud60e595	I would like to raise a follow-up question to the Minister for Agriculture. The main conflict is very often between different industries, but also between the reindeer industry and the district municipality. In many ways, district municipalities are affected in these conflict cases. I have also noticed the meeting that has been in Alta, and I have also noticed the article in Folkebladet that is going on cabin expansion and business development at Senja, where you feel you are not getting enough good work done. In addition, we have a clean-up agreement that has a framework of over 100 million. kr, which is the agreement between the reindustry and the State. My question to the Council of State is this: Will the Council of State take an initiative related to the KS, the reindeer industry and the agricultural industry, just to see how we can improve on conflict management in these matters, so that the district is not unduly affected?
ParlaMint-NO_2009-11-04.ana.ud60e606	I have taken initiatives in the last few days to deal with conflicts in line with the law we have to deal with. Of course, as representatives of the Government, we address the challenges that come from different places. In the case of reindeer grazing and reindeer feeding, we must remember that this industry has rights according to age use. It's the Norwegian law that lays the framework for it. However, this industry must also deal with regulatory plans, planning and building laws and the necessary planning in the municipalities. Then it is important that the municipalities plan their areas correctly and properly. I perceive that here, too, the reindustry has quite a lot of objections and thus great opportunities to influence the processes. What has happened to Senja in terms of business development and cabin construction, I am sadly not aware of anything else. I will make the necessary contacts with the necessary bodies to ensure further work in this area in order to ensure conflict resolution.
ParlaMint-NO_2009-11-04.ana.ud60e615	The next follow-up question is from Svein Fleet.
ParlaMint-NO_2009-11-04.ana.ud60e619	Some of the reasons for the conflict are the market access problems of the reindeer industry, with slaughterhouse capacity and the following for large populations. Now the state council wants dialogue, and he sees that the situation is difficult. But it is also about concrete instruments. The National Audit Office has pointed out that the Ministry will not suspend competition in the use of marketing funds. Of course, it is not possible to achieve the optimum effect of the means used. My question to the Council of State is this: Why would the Council of State rather criticise the Riksaudition than look at optimal solutions for the use of marketing products, including outsourcing of competition, as the Riksaudition points out?
ParlaMint-NO_2009-11-04.ana.ud60e628	First of all, of course, we're going to look at the comments that have come from the Riksaudition and the appropriate follow-up of it. In the case of this particular case, to which we have received comments, we have an information office for meat, which today makes this marketing on behalf of all other meat production in the country. From the department and from the industry it was a desire to use the Information Office for meat for a period when it was very difficult to dispose of reindeer meat. It was one and a half to two years ago. A campaign was launched, and this campaign was very successful. Increased demand, and today there is a high demand for reindeer meat and small market problems. In fact, there are challenges to slaughterhouses, because we want to increase the output. That is why we have opened up the use of capacity in Sweden on the slaughterhouse side to meet this need. We're going to tackle those challenges, and the industry is working closely with it.
ParlaMint-NO_2009-11-04.ana.ud60e637	The last follow-up question will be asked by Rigmor Andersen Eide.
ParlaMint-NO_2009-11-04.ana.ud60e640	Cleaning industry is about tradition, and it's about Sami identity. We know that there have been major changes in recent years. This applies in particular to land use interventions, pasture loss, loss due to predators and climate change. In particular, the sewage industry has challenges in Finland related to production variations, low slaughter weights, very high reported losses due to predators and low productivity. The grazing basis of the Finnmark range has been degraded by emaciated animals as a result. This is worrying, especially from an animal health point of view, but also from an environmental and economic point of view. The opposition has repeatedly suggested that we want a roll-out message on the reindeer industry in order to provide a thorough explanation of these important issues. I understand from the answers given, that the Council of State is not entirely satisfied with the situation in the reindeer industry. Then I would like to ask the Council of State: will he consider submitting a big message on this matter?
ParlaMint-NO_2009-11-04.ana.ud60e649	I think it's more important to act than to write political big messages in this situation. We have a situation, which is described by the representative, where we have challenges in reindeer management, in Finnland in particular, and especially with high numbers. We are working very actively to get a sustainable reindeer operation based on the use of reindeer management legislation, and based on the use of the reindeer management agreement, which has economic instruments, in order to ensure a better balance between food availability and the number of animals. The Purity Act is now fully operational, and rules of use are now being put forward for the various grazing areas, which will involve targeted plans to reduce the purity where it is too high. In other areas it is in balance, so it has to be continued. I am busy working further within the framework of the law we have, and the rules we have today, rather than presenting a new big message now.
ParlaMint-NO_2009-11-04.ana.ud60e658	The oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2009-11-04.ana.ud60e664	There will be a number of changes in the set question list. In this context, the President shall refer to the list distributed at the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from Kent Gudmundsen's representative to the Minister of Defence, will be answered by the Minister of Finance on behalf of the Minister of Defence, who has been removed. Questions 19, 20 and 21, from the representatives of Geir Jørgen Bekkevold, André Oktay Dahl and Anders B. Werp to the Minister of Justice, must be postponed to the next Question Time when the Council of State has left. Question 22, from the representative Tina Bru to the Minister for Justice, will be answered by the Minister for Health and Welfare on behalf of the Minister for Justice, who has been removed. Question 23, from the representative Jan Bøhler to the Minister for Justice, has been withdrawn. Question 24, from the representative Elisabeth Røbekk Nørve to the Minister for Oil and Energy, has been withdrawn. Question 26, from the representative Trine Skei Grande to the minister at the Prime Minister's office, is postponed to the next Question Time and will then be answered by the Prime Minister. Question 30, from the representative of Solvency Horne to the Minister for Children, Gender Equality and Inclusion, must be postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2009-11-04.ana.ud60e687	We then go to the first question to be answered, from the representative of Torgeir Tjældal to the Minister for Finance.
ParlaMint-NO_2009-11-04.ana.ud60e693	I want to start by congratulating the Council of State on a new job. ‘For years the Ofoot Firen IKS has used vans with installed seats for smoke diving equipment in their emergency cars. The seats are not in use during the call-out, but are there for the attachment upon arrival at the point of damage. A new regulation now makes it impossible for the Ministry of Finance to acquire cars for smoke divers at favourable prices. The new rules require cars to be registered as a passenger car, which makes cars over NOK 100 000 more expensive for purchases. Will the Council of State amend this Regulation?’
ParlaMint-NO_2009-11-04.ana.ud60e707	Thank you for your congratulations – it'll come along well, I guess. In general, the Ministry of Finance has not introduced new rules in the case of smoke diving cars for fire services. As a general rule, in addition to the first row, seats shall not be allowed to be fitted in vans with reduced charges. If this is done, the vehicle will be regarded as a vehicle for the carriage of passengers, and thus a passenger car charge will be paid. Specially equipped fire service vehicles are exempt from charge, following the decision of the Storting on a one-off charge for motor vehicles. However, the exemption applies to vehicles fitted with special equipment of any size, such as water tanks, pressure chambers, etc. Smoke diving cars, as described here, fall outside this exemption. It is the State Road Service which first classifies vehicles in a chargeable manner. However, the decision may be appealed to the Directorate of Customs and Fees. In some cases, the Directorate may assess whether the types of vehicle in question may nevertheless retain the tax classification, following a careful assessment. In that case, a derogation would mean that the vehicle will continue to be considered as a van in a fiscal sense. I would, however, like to see whether it will be possible to include smoke diving cars in the above-mentioned regulation for the fire service special vehicle, and – in case of – what kind of requirements one then has to meet for the equipment and equipment of smoke diving cars.
ParlaMint-NO_2009-11-04.ana.ud60e720	I thank you for the answer and hope that there can be a solution there. What I want to ask the Council of State is that in the case of emergency vehicles in general – police cars, fire trucks and ambulances, that is. everything with blue light – does not charge, in line with today’s Defence.
ParlaMint-NO_2009-11-04.ana.ud60e727	I can promise the representative we'll look at this. As I said in my first answer, there is a certain hope here that you can find out about a system in the case of – in the first instance – smoke diving cars.
ParlaMint-NO_2009-11-04.ana.ud60e732	Then we go on – not to question 3, but to question 1. Unfortunately, the President overlooked question 1, from Kent Gudmundsen's representative to the Minister of Defence. The question will be answered by the Minister of Finance on behalf of the Minister of Defence.
ParlaMint-NO_2009-11-04.ana.ud60e738	I allow myself to ask the following questions to the Minister of Finance: ‘Change Eiendom has now put Olavsværder marine base for sale. This happens despite, among other things, The centre party in the election campaign announced a rematch in the government about closure. Can the Council confirm or cancel whether the sale process in Shifte Eiendom will proceed?’»
ParlaMint-NO_2009-11-04.ana.ud60e747	I guess the order of the questions is secondary, only one gets a proper answer. I'll try to give it to you. I can answer Mr Gudmundsen's question, confirming that the sales process is under way, in accordance with the decision taken by Mr Stortinget, to close down the Olavs protection. This will be done in accordance with normal procedures for the sale of State property, the so-called disposal file. Defence construction will implement property taxing during 2010. The execution of the sale is expected to take two to four years. Before the property is offered for sale, among other things, it must: NATO deletes it from its inventory registers. This may take up to two years, but a request has already been sent to NATO for such deletion. Some uncertainties relate to regulatory issues, environmental remediation and market interest in the property. Therefore, it is difficult to be more precise in the indication of the date of sale itself.
ParlaMint-NO_2009-11-04.ana.ud60e758	Soria Moria II reads as follows: ‘The presence of defence in the north shall be increased through all three areas of defence, as part of the Northern Region Strategy. This is the first priority of the defence and shall be the design of the structure. In addition to the fact that the Coast Guard will sail more north, the presence of the marine in the north must also be increased as a preventive measure and clarification of Norway’s area of interest.’» By completing the sale of Olavsvermung base, the aid point in the north will be lost and the aid point will be lost for increased operational activity. As a result, the Government will have difficulties in complying with the policy of Soria Moria II. What does the Minister of Finance have to say about this?
ParlaMint-NO_2009-11-04.ana.ud60e768	The decision to close the Olavs protection was taken in the spring of 2008, in connection with the long-term defence plan. At that time, there was no permanent operational activity related to Olavsværm. I assume – I was not involved in that discussion – that before one made this decision, one had carefully assessed how one should set up the Defence Forces, among others. in North Norway. What is well the ratio — in so far as both north and south — is that one has had a certain concentration in terms of strengths than is the case today. In my view, this also reflects the view that the northern regions are still an important part of the defence business. But, as I said, the Stortinge decision in this case in 2008 is firm.
ParlaMint-NO_2009-11-04.ana.ud60e773	An underwater boat takes five to seven days from the northern areas to Haakonsvern base outside Bergen. Return journey means 10 to 14 days of travel to and from the northern regions. The Government Declaration states that there should be an increase in operational activity. If the Government has any intention of fulfilling its political platform, it will have to maintain the Olavs protection base, if you think you need to have an increased operational activity. Does the Minister of Finance see this?
ParlaMint-NO_2009-11-04.ana.ud60e778	I'll be careful to go too far into the defence minister's field, but just refer to the decision the Stortinge made in 2008, to put down the Olavs protection.
ParlaMint-NO_2009-11-04.ana.ud60e787	Now this question was asked to one finance minister and answered by another, so I could really imagine asking if it's okay to be back again, since we're from the same state. But we can take the question to be asked. It is for the Minister of Finance: ‘The ratio of equivalency to market values for dwellings varies widely across the country. The results may be both unfair and illogical. The government proposes in the State budget a major and fundamental transformation of this system, and the papers that replace an injustice with a new one are already many. Does not the Council of State see that this is such a major and fundamental reform that it should receive a completely different treatment than to come as a surprise in a state budget?’
ParlaMint-NO_2009-11-04.ana.ud60e796	The question of what it's like to come back again, we get to take the Christmas table to the Hedemark bench. So to the answer to the question, the need for new valuation rules for housing has been there for many years, and it has been working on new proposals for changing valuation in many ways. The government's 2010 government proposal is partly based on experience with previous valuation proposals. There are, among other things: put in place the weaknesses of very detailed and administratively demanding valuation systems. At the same time, the Government's proposal involves less a change in principle from the current rules than previous proposals. The law provides that all assets are to be valued on the basis of turnover value, and taxpayers may require that any high equivalency of dwelling or leisure property be reduced to 30 pst. the market value. For new dwellings that today would like to be valued at 30 pst. by the owner who has paid for the building and land, the proposal will mean minor changes in the valuation. The main difference between the current and the new system will be that one will get more consistent and fair equation values below the 30 pst ceiling. the market value. In the context of the 2010 tax proposal, the Government presents a thorough analysis of the impact of a fairer valuation of dwellings, combined with an increase in the asset tax base. A comprehensive documentation of the weaknesses is provided in the applicable legislation. The bias in the current equation value is also well documented in various publications, including: of the Central Statistical Office, in recent years. That proposition, on legislative changes, sets out the practical solutions relating to new valuation rules. These have emerged in close cooperation with the Directorate-General for Taxation, and it is clear from the budgetary documents that the proposal is practicable as it stands. Against this background, the Government, like in many other budgetary matters, has found it both appropriate and appropriate to present this matter in the 2010 State Budget without a prior consultation.
ParlaMint-NO_2009-11-04.ana.ud60e815	I thank you for your answer. The question of whether it becomes more fair I think will be much discussed. As far as I know, last time the Minister of Finance was the Minister of Finance, such a review was put in the drawer, precisely because it was almost impossible to create justice. I rather think it reminds me of a little bit of a pinching operation, where you isolate the property tax to apply much less, and we all agree on that. The right-hand side appreciates raising the bottom subtraction. Our goal is to get rid of the wealth tax completely. But you isolate the effect of the taxes on wealth to a few, and then you put the road quite open so that you start to turn on the constraints that the Minister of Finance was in, and then you can start to increase the housing values without making any impact on so many people. Now the Minister of Finance has a very great need for savings. Does he then see that this gives an opportunity to turn up the values again? You have a story behind you, where the values are raised by 65 pst. during the previous grossing-up period.
ParlaMint-NO_2009-11-04.ana.ud60e820	The proposal for 2010 is now available in Stortinget. We'll get back to future tax proposals as time passes. It is true that we dealt with this matter a few years ago. A 1996 tax return was presented, which was dealt with in the Stortinget, where the majority of the Stortingen at the time outlined a method of taxing called the Lundteigen model in the population mouth. This is a matter that has a long political history, and we believe that we are on good ground when we now present this proposal in the budget for 2010. There has been a long discussion and much prior work in terms of taxiing. I think it might also make sense to look at what is now happening in some municipalities where you are now introducing property taxes, and where municipalities have done extensive taxing work. Experience with the charging system may need to be reviewed.
ParlaMint-NO_2009-11-04.ana.ud60e831	We will probably come back to many discussions about property taxes on housing. What worries me is that the property tax goes very hard on Norwegian ownership of Norwegian jobs in Norwegian industry and Norwegian value-creating companies. The second effect of the change in taxes on wealth is to isolate the wealth tax to a lesser extent, so that you can easily turn on the screws for those that it really does turn on. We both know developments in South Hedmark quite well. There we lack local ownership and a lot of the county is branched – it's owned from outside – and now in times of crisis, a lot of jobs are laid down. Kongswinger is a good example of how evil this policy is. Does the Minister of Finance see major challenges in the fact that today’s wealth tax discriminates against Norwegian ownership and employment in Norway?
ParlaMint-NO_2009-11-04.ana.ud60e838	I think it is difficult here and now to agree with Mr Gundersen's representative on the taxes on wealth. What I think is right to stress is that if you look at the taxation of capital, if you look at the taxation of Norwegian business, I would argue that Norway has a tax system that is competitively consistent with the rest of the world around us. We'd better get back to this after a while, but I think that the food tax in Norway – as I said – can withstand comparison with any tax in the surrounding countries with which we compete. But these are questions that we get plenty of time to discuss in the future.
ParlaMint-NO_2009-11-04.ana.ud60e846	First let me also congratulate you on the comeback as Minister. ‘There has long been a high level of publicity around the equation in Norway. In 2007, the bulk of the population provided further increased access to the so-called tax lists. In the light of technological developments, there is reason to ask whether data protection is currently adequately protected and whether current practices could lead to an increased risk of criminal abuse. Will the Council of State initiate a broad review of current practice so that any changes may take effect before the 2009 equation is ready?’
ParlaMint-NO_2009-11-04.ana.ud60e855	First, thank you to the representative Syversen. With regard to the publication of tax lists, there is a long tradition in Norway. The background to the scheme is that secrecy can provide the basis for speculation on the general equation work and on the equivalency of individuals or groups of taxpayers. Furthermore, the publication also represents some form of community control with the Equation Authority. The difference between fair values and values to be used in the equation may also promote debate on tax rules. The rules of the Equation Act on the publication of the tax lists were last amended in June 2007. The decision was made, among other things, by the stork. that full tax lists can be supplied to the press in electronic form. Information on income and tax conditions is a key premise of the societal debate, and access to this information by the press is important to strengthen the critical debate on fiscal issues. Publication of the tax lists contributes to greater transparency in society, but I will keep up with the use of this practice to see if there are adverse consequences of the way in which the tax lists are published. The Minister of Justice has also announced that he will ask the police to assess whether there is a link between the publication of tax lists and crime.
ParlaMint-NO_2009-11-04.ana.ud60e868	Thanks for the answer. I can largely subscribe to the reason why there's transparency around the tax lists, to a certain point. I also understand that the Government understands that the developments we have seen recently can provide the basis for a review in different areas without closing the whole issue of publication of the tax lists. Among other things, I sit on a clip from the Address Paper, which tells us that an elder has been committed with a background in, according to the police, that those who were responsible for the burglary had checked the tax records. I take it as an expression that even the Government does not have a firm view of this fully, but is willing to adjust the practice if you now get the empirical evidence that provides the basis for it.
ParlaMint-NO_2009-11-04.ana.ud60e879	That's right, as the representative of the Seven says here, that we want to keep up with it. As I also mentioned in my answer, I will look at this together with the Minister of Justice, and see if it is necessary to propose or make changes to prevent crime and other things from happening in relation to the publication of the tax figures. I can also promise that if we come to that conclusion, we will try to arrange it so that any changes will come in good time before the tax lists for the income year 2009 are presented.
ParlaMint-NO_2009-11-04.ana.ud60e889	Let me also join those who congratulate the Council of State on being back in position. In the time he has been gone, he has also had promising statements on transport policy, so we look forward to that! But now we're going out and out, and I have the following questions: ‘Transit passengers coming from abroad and going on domestication are subject to unnecessary and time-consuming checks at the OSL Gardermoen and other major airports in Norway. In our neighbouring countries, flexible solutions have been found to this. In Norway, similar initiatives have stopped altogether, despite the positive will of airlines, Avinor and OSL Gardermoen. Will the Council of State take the initiative to resolve this matter, so that the many hundreds of thousands of travelers can get a simpler journey?’
ParlaMint-NO_2009-11-04.ana.ud60e900	Thank you very much also to Mr Halleraker. I am happy to come back to many other discussions in the hall here at the end of the day. The Ministry of Transport has asked the Ministry of Finance to assess whether customs rules can be changed so that a so-called One Stop Security can be introduced on Gardermoen. This is a safety regime whereby passengers arriving at the Gardermoen with aeroplanes from abroad and continuing on domestic flights shall only be checked once for the entire journey. This will then happen at the aerodrome where the journey begins abroad. Checked baggage will then be carried directly from the foreign aircraft to the domestic aeroplane and passengers will only move within a so-called secured zone. A system of One Stop Security may, on the one hand, involve simpler check-in procedures and shorter transit times for transit passengers. Then one has to look at it against the consequences that this may have for customs handling of baggage, if it is possible to achieve satisfactory customs control with such a system. Both baggage management and the transit passengers' movement route on the Gardermoen will be challenging here. In the Ministry of Finance, we are now really going into this matter. The matter is highly prioritised, but it is too early to say something concrete about how the assessment is based. The Ministry of Finance will also keep in touch with the Ministry of Transport on this matter.
ParlaMint-NO_2009-11-04.ana.ud60e907	I thank you for the answer, which I see as partly positive and that the matter is still in the process. We have registered that the OSL Gardermoen and Avinor have presented solutions that they believe are acceptable, and that they need a government approval on it. It is therefore on the table of this Council of States. It is true that the Minister for Transport at that time was already in the election campaign and said that she was prepared to implement and accept these solutions. Then it will be the authority approval it stands on. Is it true that there are other issues in Norway than what we see in Sweden that have found good solutions?
ParlaMint-NO_2009-11-04.ana.ud60e918	Well, I could say so that I'll do what I can to see if it's possible to find a good system, and then it makes sense to gain experience from abroad. And then we get to say it this way: "There's hope in hanging strings."
ParlaMint-NO_2009-11-04.ana.ud60e923	I thank you for the answer, and believe this can solve itself. I see that it is positive from the Council of State.
ParlaMint-NO_2009-11-04.ana.ud60e928	We move on to question 6 from the representative Per Roar Bredvold to the Minister for Food and Trade. But I don't see any Minister of Economic Affairs and Trade in the Chamber. I expect him to be aware that he is no longer Minister of Culture! Then we get to go to the next question. However, I do not see any Minister of Transport here, who was formerly Minister of Local Affairs. We then have to take a break until a councillor had to be happy to be in the hall. The President must say after 28 years of seagoing service here that this is a rather unusual type of break. – We have now been informed that none of the three state councils that will answer the next questions in the Questionnaire are in the house. Therefore, the Storting takes a break, and it will be called when the question mark is re-opened. The meeting was cancelled at 9.00 p.m. 11:41. --- The meeting resumed its negotiations at 9 a.m. 11:45. President: Per-Cristian Foss
ParlaMint-NO_2009-11-04.ana.ud60e943	The size will then continue the treatment of the query retrieval. The President will inculcate in the Councils of State that were not present the importance of showing respect for the Storting by being present in the Questionnaire.
ParlaMint-NO_2009-11-04.ana.ud60e949	I would like to ask the Minister for Economic Affairs and Trade the following questions: ‘Many construction companies now have to cancel their employees, possibly going to lay-offs. This particularly affects districts where unemployment is already relatively high, such as in parts of Hedmark. What will the Council of State contribute to the re-filling of order books to a more common level?’
ParlaMint-NO_2009-11-04.ana.ud60e958	Let me first regret that I was not present when the question was to be asked. It has not happened before, and it should – hopefully – not happen again. So to the question. The construction industry is among the first to experience a demand failure when economic downturns occur. In addition to parts of the competitive industry, the construction industry is among those who have noticed the effects of the recession. Unemployment in the construction industry is now significantly higher than in the economy. Enterprises in the industry report a decrease in order intake and a decrease in order stock, but also that the decline in order reserves is reaching a surface. The industry expects a significant decrease in activity during the next year. Although the situation is still difficult, there are some points of light. Money and credit market conditions have now improved significantly. There are also clear indications that economic activity is on the way up again after a very weak trend towards the end of 2008 and into 2009. GDP growth in mainland Norway is estimated to be weak in 2010, but unemployment is expected to increase slightly. The government has therefore found it appropriate to add to a budget for 2010 which is weakly expansive. Together with significant demand impulses from monetary policy, economic policy will help to mitigate the effects of the financial turmoil on, among other things, the construction industry. We have said, and we insist that we are prepared to implement the measures necessary to combat the negative effects of the international recession. The government will do what it can to prevent unemployment from falling at a high level. So far, the backlog in the world economy has turned out clearly less in Norway than in most other countries. Unemployment is still at a moderate level, and the decline in production has been clearly more limited in Norway than in our trading partners. An important reason why the financial crisis has not resulted in higher unemployment is the Government’s action against the financial turmoil last autumn and in spring. The government has provided and has received broad support to implement comprehensive measures to remedy the business situation. We believe that the budget that we have submitted for 2010 will be a continuation of that line.
ParlaMint-NO_2009-11-04.ana.ud60e973	I thank the Council of State for briefing me on a few measures, but I do not know if he has any concrete measures – for example, on the Council of State. can promise to simplify laws and regulations, to look at tax policy more generally, to give priority to more rapid procedures in municipalities and counties, to look at the use of temporary employment, to look at land plans or other plans and to encourage construction, restoration and demolition, or to see whether the State can carry out some measures. These are the things I want answers to – if the Council of State has any concrete, rapid action? It says in the Glamdalen on 21 October that Fjeld cancels 25 employees – that is, there is one company. Another says, "Dead in the construction industry". Such things happen both in Hedmark and in the rest of the country. Then we have to have some quick steps, and they can be simple. There are many people who have received permissive notices, and there is a part that has been cancelled. This creates a major disturbance in the districts.
ParlaMint-NO_2009-11-04.ana.ud60e980	There is a lack of demand for the services and products provided by the construction industry, which is the main cause of the crisis, not rules on temporary employment or tax rules. Thus, what the State can do is contribute to keeping demand so high that unemployment, the number of lay-offs and redundancies are minimised. When the 2009 government budget was presented last autumn, it was criticised by the right to be too expansive. It turned out that there was too little expansion when the financial crisis came to an end, and we got the crisis package in January, which contributed with very large stimulus to the economy. One of the most stimulated sectors was the construction sector, both through increased appropriations for maintenance and rehabilitation of state buildings, such as hospitals, universities, higher education buildings, cultural buildings, etc., by a strong strengthening of the framework of municipalities to carry out such rapid maintenance, and by stimulating the economy as a whole, which also means that individuals continue to demand such services. In addition, the low interest rate has led to... [[The President cut off]]
ParlaMint-NO_2009-11-04.ana.ud60e989	I thank the Council of State for the answer. It is true that the crisis package that came helped a lot. It helped something in the construction industry, but there was a lot to do, and it was of course also sought after. In the construction industry, there was not much, but something was. I see that the Council of State is in dialogue with the shipping industry. It's another industry that has problems now, and I hope, of course, that we get a solution there. But my specific question is about the construction industry, and there are many, many companies, both large and small, that are now struggling with order servers. They're few, there's little order in general, and there's little to do. In addition, you go towards a winter, and then it's usually less to do than in the summer. So there's a real crisis in this industry. I really hope that the Council of State will take this into account. It can be solved with some simple grip, which I, among other things, bordered up in my previous post.
ParlaMint-NO_2009-11-04.ana.ud60e998	No job is more important to this government than to make sure that we reach the goal of working for everyone. Having an activity in the construction sector is an important factor in doing so. That's why we have very strong state incentives. The criticism from the opposition, even after the 2010 budget was presented, has not been that the state spends too little money. The concerns have been raised as to whether we spend too much money, among other things. because excessive government use can also lead to a higher dollar rate, a higher level of interest rates, and thus to a more difficult situation for other parts of industry. Finding that balance is a very difficult art. But we think we have found that balance in the budget presented for 2010. For 2010 too, there is a large amount of money for transport investments, for the local economy, which spends money on the school and elderly care sector, for the upgrading of buildings, etc. I think that this will also lead to the construction sector being commissioned, performing sensible work, and providing employment in Norway.
ParlaMint-NO_2009-11-04.ana.ud60e1006	I want to start by congratulating the Council of State on new tasks. So to the question: ‘The Government has been severely criticised by the National Audit Office for cleaning up train running settings and delays, despite the fact that the National Audit Office has taken this up on a number of occasions. Former Minister of Transport Liv Signe Navarsete was a little responsive to criticism, and blamed for the train chaos on former governments. Does the National Audit Board take seriously the criticism of the Riksrevision, and what action will the Council of State take to clean up the chaos of the East?’
