ParlaMint-NO_2009-03-25.ana.ud1338e22	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2009-03-25.ana.ud1338e400	This spring we have experienced that the Government has stumbled into the debate on freedom of expression. They will basically punish religious criticism. On freedom of religion: they would basically punish opinions they don't like, economically. On the freedom of organisation: they will take the tax deduction from organisations with opinions they do not like — and now the right to parent. I remind the Prime Minister that this question is about human rights. It is not that the Prime Minister likes Steinerskolen and Dagfinn Høybrätten likes KG. Nor is it appropriate for Norwegian integration policies to follow these human rights. The Prime Minister should confirm here in Stortinget that he understands that Norway has obligations in relation to parental rights and in health schools with which we cannot simply scour and choose, either in national meetings or in a slightly loose way, that it may be necessary to follow this principle in some cases to be dealt with.
ParlaMint-NO_2009-03-25.ana.ud1338e409	Of course, Norway will follow the international conventions to which we have joined – human rights. It's quite obvious. But sometimes it's against national decisions, because the Christian People's Party knows that very well. We have therefore been sentenced in the Human Rights Court in Strasbourg for violations of human rights by the large majority of the CRL in this House on the Stortinget. So it's not a foreign issue for the bulk of the population that you can make decisions that prove to be contrary to international conventions. We have been condemned in the past for a decision that most parties on the Stortinget voted in favour of. Otherwise, we have not wanted to restrict freedom of expression – on the contrary. This government proposed to remove the blasphemy paragraph, while the previous government wanted to continue the blasphemy paragraph. There is no doubt that we respect the conventions we have signed. We practice them. That is also one of the reasons why I am opposed to the decision taken by the SV National Meeting.
ParlaMint-NO_2009-03-25.ana.ud1338e416	The size goes on to the next main question.
ParlaMint-NO_2009-03-25.ana.ud1338e420	As the Prime Minister says, we're in the national meeting season, and that's probably the start of a long campaign. I think we already notice a change of pace in Norwegian policy – naturally. That is what democracy is all about. The Prime Minister, not least when he became prime minister of this red-green majority, and many times later, stressed that a change of government does not give up, but small steps in a different direction, which over time can provide significant distances. I agree. That's why I think we need a different majority in Norway. At one point, it goes in a direction that I have to say, when you add up – it's been three and a half years, you see it in small steps, maybe at times benevolent – starting to become something that we in the left are startled by. The government is going in a direction that I want to characterize as equalization, suspicion of other people and minorities, and intolerance. I think we have to go in a direction towards diversity, trust that people can do something, without having to be careful in all respects, and tolerance. I'll give you some examples. Recently we have heard an increasing attack on cash support, which can be said a lot about. But the point is that there are fewer and fewer people who use it. The vast majority of people run the course that Jens Stoltenberg and I have gone, and want to go, namely with kindergarten and two family incomes. But most of us are happy that people have such a valve to live other lives. That's what the government is going to do. Another example is respect, which we've been through in this questionnaire, respect for the little troublemakers in business, who are met with suspicion. There is a lack of respect for and attack on the independence of non-governmental organisations. I am not going to talk about the ideological gust of the SV National Assembly, because they are in the pit of shame today, I understand, and I am not inside Parliament's Chamber. It is not least the slightly helpless, sloppy government in the matter of fundamental rights and principles. The election campaign has begun. For me, it's imperative that today's majority disappears. I don't want any more uniformity of this country.
ParlaMint-NO_2009-03-25.ana.ud1338e429	I've been very clear in this room that I want a diverse society. I've been through several questioning hours, also related to some of the questions that are now being raised. It's e.g. not correctly that this government has attacked non-governmental organisations. Firstly, we have significantly increased support. Secondly, we have reviewed a decision in the Distribution Committee on the support for voluntary child and youth organisations, where the Distribution Committee – based on guidelines that were set up in a wide-ranging sample and which the Bondevik II government reduced – had called for non-discrimination in the case of trustees and organisations. Then the Divisional Committee followed those guidelines, and then in the Government we tried it because we thought it was undermining the independence of non-governmental organisations in relation to the handling of homosexuals. It's an example that this government stands by diversity, and that this government defends the right of organizations to be different, by trying to convince the Committee on Distribution to withdraw money support for the Salvation Army, which I think was the example. Then we have proposed to remove the blasphemic paragraph. It's a little strange to hear this from someone who put in a government that argued to keep it. When that government dealt with the suspension of the Freedom of Speech Commission and made a big deal about it, it argued in principle to keep the Blasphemy paragraph. We have argued in principle to remove it and proposed to remove it. In the case of cash support, this government has said in the Soria Moria statement that we will not liquidate it until we have full child care coverage, and then the parties have to make their program decisions. Then we're going to make it clear before the autumn elections what becomes the different parties' attitude to cash support.
ParlaMint-NO_2009-03-25.ana.ud1338e438	Let me first say that there is a big difference between letting a sleeping paragraph continue to sleep and making a newly activated paragraph, where, fortunately, the government has come up with better thoughts after the road there had not looked quite neatly into the media. I understand that the Prime Minister is doing what he can to cover all these pages that are the small steps that I think are perfectly clearly documented. My list is long, and the Prime Minister will have it served in the election campaign. I promise. I understand that he's trying to cover it up – just as a capable finance minister, who's also SV leader, is trying to cast shadow over all the ideological slag she's leading. I will dry out the claim that the three government parties that Stoltenberg is running are in a way taking the worst of each other out. It's a social democratic template for how we're all going to live our lives, which he and his party want to tree down on us. We have an immature, premature SV that is once again exposed with its ideological slag – it is in and of itself an independent goal for the election struggle to get rid of – and a non-ideological centre party that seems to be in most cases just getting a few dollars for the farmers. [[President clubs]]
ParlaMint-NO_2009-03-25.ana.ud1338e445	It's obvious that it's the election campaign that's started. I think there's a suggestion here of things I don't think is right. Because it is not right that we are against a diverse society – on the contrary. In many areas, I have shown that we have provided more diversity, more value creation, and I want to pursue a policy for it. Second, it's that it doesn't just keep being against a government. You also have to be for something alternative. It is a challenge for the opposition to clarify what is the alternative. Thirdly, social democracy is about diversity. Social democracy is about us believing that the community is helping to create a diverse society. We believe that you have the good, strong community at the bottom, you can have diverse societies and creative people. I believe that the Norwegian, Nordic model of society shows that there are few communities that have such strong communities, with good public welfare systems, a good public community school and public pension schemes, and that it has created diversity in society. Safe people are awake, safe people are betting. That's why I think the community is making diversity.
ParlaMint-NO_2009-03-25.ana.ud1338e454	There will be four follow-up questions – first Ulf Leirstein.
ParlaMint-NO_2009-03-25.ana.ud1338e457	The big difference between today's government and the opposition is the belief that the individual can decide for himself, for his own life, and to a greater extent than what is being done today. A key is freedom of choice. In virtually no areas, the Government has chosen to facilitate increased freedom of choice. On the contrary. On the contrary, you talk about the community and present standard solutions that people most have to deal with, because the government believes and knows that it's the best for them. On the other hand, we have an important part of this, which is volunteering. Many people in Norway are engaged in volunteering. Yesterday, the Financial Committee gave an opinion on a proposal from the Christian People's Party, in which all the bourgeois parties concluded on proposals for a voluntary meeting, including: in the case of VAT and a number of other schemes, precisely in order to safeguard that part of Freedom Norway. The government has totally rejected these proposals. Why is it that the government that sits today knows better than most people and therefore does not facilitate freedom of choice? Why don't you meet Freedom Norway?
ParlaMint-NO_2009-03-25.ana.ud1338e466	Firstly, I believe that having a good welfare society, strong Community solutions, gives more freedom of choice. The most important thing is the freedom to choose — whether you want to have a job or not, be at work or not. Unemployment limits people's freedom of choice, because you can't choose to live the life you want, go to the job you want to go to. When we put a massive effort into securing jobs, basically, it is to ensure one of the most important choices, namely the freedom to go to work, take a job, if you want to. Similarly, the most important thing we do to strengthen the freedom of choice of families with children is the possibility of having a kindergarten, so that you can choose it, if you want it. That's the way it is in a lot of other welfare areas. In addition, we would also like to open up the freedom to choose between different public services. It was the Labour Party in Oslo that introduced free home elections. It was the Workers' Party that introduced free hospital choice in its time, and there are many other examples of it. The most important thing is that the services are there. That is what guarantees freedom of choice.
ParlaMint-NO_2009-03-25.ana.ud1338e475	Erna Solberg – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e478	In all the well-being of solving problems for people, who have the Norwegian left side, they systematically choose to attack it that people can choose things other than the left side want people to choose. It is symptomatic of many of the ideological debates we have, that the Norwegian left side has a deep mistrust that people can make elections on their own behalf. This is the case with the cash support. It's about school. Yes, it's also going to apply to kindergartens gradually, because the government has promoted a proposal that's going to squander private kindergartens in the future. However, in some areas it also appears that this process contributes to a deterioration in the welfare of Norway. It is currently helping to increase the number of people in health queues. In the context of saying that you have to have a better public system, you get more people in health queues and a more class-based health system, where those who can afford to buy themselves out of line.
ParlaMint-NO_2009-03-25.ana.ud1338e485	I believe that the most important contribution to human freedom in this country and over the last century has been the construction of the Norwegian welfare community. The Norwegian model has given an incredible number of people freedom, and it is a very fundamental understanding that you have the freedom to avoid experiencing unemployment, the freedom to care for your children and the freedom to go to school. There are very important freedoms that have been developed through the welfare community. It is not true that there has been a longer health queue because private hospital services have been closed. It is true that there has been a slight decrease in the use of private hospitals, but the rise in public hospitals and hospital activity has been greater. Overall, more treatment is now available than in 2005. There are several people who are being treated in hospitals. The sum of public and private has increased the offer.
ParlaMint-NO_2009-03-25.ana.ud1338e492	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e496	What this round shows is that the Prime Minister appeals to celebrations and spells when he is challenged by fundamental questions about the freedom of choice of people in this country. I think I would remind the Prime Minister that in the election campaign before this big period he went to frontal attacks on people's freedom to choose the form of care for their own children, under the following punch line: We cannot premise those we believe have chosen incorrectly. I think it answers the whole question that was asked by the representative Sponheim. We know the loop at the same time, regardless of party speeches. What shines through in this government's policy is that you want to narrow the freedom of choice, because you know better than most people how to set up their lives. We also see this in the case of voluntary organisations, as the government has promised exemption from VAT. But you don't follow it up in practice, and you tune it down into the Storting these days.
ParlaMint-NO_2009-03-25.ana.ud1338e503	Let me just dement that quote, because it has persecuted me for many, many years that I have said that you should not premise those who have chosen the wrong one.
ParlaMint-NO_2009-03-25.ana.ud1338e508	That's what the Prime Minister said.
ParlaMint-NO_2009-03-25.ana.ud1338e513	First of all, I don't think I've ever said that. But if I have said that, I don't mean it, then it's wrong to say it. It's such quotes that just live their own lives. I don't know exactly where it appeared, but I can take a strong distance from what I've never said, and I've said it, I'm still taking a distance from it. So it's completely wrong. But when that is said, I would say that the whole discussion about cash support has been a different discussion, namely a discussion about how to provide support for families with children. I am a strong supporter of families with children, both in the form of services and kindergartens and in the form of cash. But I have thought that it was the wrong device to give the support only on the condition that you do not have children in kindergarten. We have many other transfer schemes for families with children, which do not make it a condition that we do not make use of a public offer. I still believe that this is a crucial aspect of the cash support.
ParlaMint-NO_2009-03-25.ana.ud1338e520	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e523	On the 50th anniversary, the Prime Minister received many well-deserved favors. But he also got the comment that he might not be the great ideologist. It's this question that comes up today, when you get to all the details, because there's actually ideology in the details as well. The Prime Minister said that support for non-governmental organisations has increased. Yes, it's increased. But it does so by preventing the free movement of income, by preventing the objective support schemes, and rather by going in and supporting exactly what you like. You get a sentence against yourself for a violation of human rights, for a violation of freedom of expression, and you go in and you meet it with the intensification of freedom of expression in the editor's poster. And when you do a big rock of museums in this city, you do it by not wanting to debate, and you do it by not wanting to hear the National Assembly. Why are inequalities and different opinions so incredibly painful to this government?
ParlaMint-NO_2009-03-25.ana.ud1338e530	First, it's a paradox, as I see it, that we're now criticized for not accepting different opinions, while I'm usually standing here and being criticized for having too many different opinions. Both parts can't possibly be true at the same time. But when that is said, I would say that I am in favour of debate, and I am in favour of discussion. I'm also concerned with ideological questions. I am pleased with all the good words the opposition gave me on my 50th birthday. I think the words were more well-worded on 16 March than they are today, but that's the way it is! So I just want to stress that we have given increased support to non-governmental organisations. We're open to looking at how we can compensate for VAT in some way. The non-governmental organizations themselves say that it's about $1 billion. We have said that we are willing to increase the aid by that amount. What we're now discussing is how we're going to give increased support to non-governmental organisations.
ParlaMint-NO_2009-03-25.ana.ud1338e539	Let's go to the next main question.
ParlaMint-NO_2009-03-25.ana.ud1338e542	Politicians are escalating. We will see that later today when we get a demonstration outside the Size. Police officers from all parts of the country have traveled to Oslo to document and tell us how problematic it is within the Norwegian police force. It is in stark contrast to what the Prime Minister said on 22 March, when the Prime Minister almost said that there is full control within the police, but then by pointing out what the Government has actually done. I had hoped that today the Prime Minister could see a little ahead instead of pointing to what the Government has done. The situation is at least that in 2008, the police committed 2 500 cases with a known perpetrator, who should have resulted in prison. Almost 2,000 offences were committed where the perpetrator was known, which should have resulted in fines or other penalties. Police statistics now also show that there are major challenges to reporting issues in the near future. The newspapers today are also full of issues about raids, raids, etc. in Norway. My question to the Prime Minister is: When the police today show their arrogance in the form of a demonstration in front of the Grand Duchy, is it perhaps time for the Government to take this up and have a dialogue with the police instead of increasing the level of conflict?
ParlaMint-NO_2009-03-25.ana.ud1338e551	I am at any time prepared to look forward, as the representative Sandberg says, in terms of the need to bet on fighting crime. We are committed to both combating crime, crime itself, police and prison, and combating the causes of crime. Crime is very serious. It's a very serious social sin. It hits a lot of people. It affects the victims, but it also affects all those who feel insecure. And those who experience being robbed, those who experience an invasion, feel like a very strong intrusion – far beyond the material wallpaper that ran, the burglary, or whatever it might be, is causing them. So crime is a very serious social sin. That's why it has to be mobilized. That is why it is also being mobilised against crime. As far as the police are concerned, the police have been significantly strengthened in recent years, and we want to continue to strengthen the police. Only this year do we significantly increase police efforts, with more than 700 new annual works – partly by providing more money, and partly by getting 450 new civil servants in the police force, enabling police officers to do police work. There is a historic commitment to the police, which is also followed up by the fact that we have almost doubled the admission to the Police College compared to the level that was when we had the progress party-supported Bondevik II government. Then you put significantly less effort on the police than what we are doing now. We're dedicated to improving the research methods. That's why we're now in the middle of a significantly larger bet on the DNA register and taking DNA samples, which increase the clearance rate. We are also concerned that those who have done something wrong will be punished, and that the punishment will be executed. When we took over after the advance party-supported Bondevik II government, the payroll queue was about 3,000. It's greatly reduced, to about 400, and we're going to continue to bet on reducing it in the future.
ParlaMint-NO_2009-03-25.ana.ud1338e562	I record that even though the Prime Minister has been 50 years old, he is still at a level where he owes no responsibility to anyone else. I note that the Prime Minister is answering the exact same thing today that has done for six months, that you have done enough. Now the situation is that the process time increases, the percentage of information goes down. In fact, the police have offered to increase their working week by two and a half hours, which is equivalent to 500 years of work. This only costs $300 million. kr. That rejects the Government, I understand. This is not the case because you think you've done enough. I think that's a little strange, because if you had really done enough and the measures the Prime Minister refers to had been satisfactory, I don't understand why hundreds of police officers and women travel to Oslo to tell the Stortinget and the Government that there's a crisis within the police. Does the Prime Minister really think that these police officers and women are wrong?
ParlaMint-NO_2009-03-25.ana.ud1338e570	That would be an advantage for the debate on the representative Sandberg referred me precisely. I haven't said we've done enough. I have said that we have done significantly more than the previous government, supported by the Progress Party. I'm a little tired of hearing that the Progress Party says we're doing so little. We're doing more than what they provided when they supported the previous government. So I pointed out what we've done, and I said we'll do more of that. We're going to continue to strengthen the police, because there's still a lot of work to be done. We will continue to improve research methods, including: Through the introduction of more DNA registration, and we're going to continue building down the atoning queues, because it's important that those who have done something wrong are punishing themselves. In terms of terms and conditions of employment, we have a very good tradition in this country so that we do not engage in wage negotiations either in the Stortinget or in the general political debate. It belongs in tariff negotiations, wage negotiations, and police working hours are part of the issues raised in negotiations.
ParlaMint-NO_2009-03-25.ana.ud1338e579	As a result of time, there will be only one follow-up question – Elisabeth Aspaker.
ParlaMint-NO_2009-03-25.ana.ud1338e582	When thousands of police today gather in Oslo, it's not to salute the Government. You can only wonder what kind of Baluba Workers' Party would do if it was the Right who, in government, had outrun the police's trade unions, violated the rules of the labour market, and established a new working-time agreement through dictatorship. Does the Prime Minister realize that the police are upset about the Red-Green Government's attack on professional rights? And does the Prime Minister realize that the police feel that they have failed by a Minister of Justice who has kept the police talking and not followed up the promised budget promise in 2008 – the year that would be the year of the police?
ParlaMint-NO_2009-03-25.ana.ud1338e587	We have not been running with what Aspaker says, that is to say talk. We've done things. I can repeat the list. I have the impression that – what to say – patience has been put to the test a little bit in order to hear again all the amazing things this government has done. But it's like we've put a lot more emphasis on the police, put in many more posts, almost doubled the recording at the Police College and only this year provided about 700 new positions in the police. It's concrete action to strengthen the police, and it's very important. In terms of pay and working conditions, I believe it belongs in negotiations. When it comes to the regulations we make, we do it because the police are in a special position, and then we say compensation for that is to be negotiated.
ParlaMint-NO_2009-03-25.ana.ud1338e594	Let's go to the last main question.
ParlaMint-NO_2009-03-25.ana.ud1338e597	The Prime Minister has probably recorded that the Minister of Health has started a quite comprehensive debate on Norwegian drug addiction. During the course of the year, the director of the State Health Authority stated in the news that an unknown number of offences are occurring in this area every day by refusing such treatment to patients who have the legal right to receive treatment in order to become drug free. I wrote a letter to the Minister of Health on behalf of the Højres Storingsgruppe in mid-February and asked the Minister of Health to give the Stortinget a statement that would allow the Stortinget to participate in the debate. The Prime Minister said he was a member of the debate. I assume that means that he is also a member of the debate in Stortinget. The Health Minister replied after three weeks that he did not want to give the Storting any explanation, among others. With reference to the fact that he has reduced a sample — the Prime Minister is also well aware of this. At the same time, the Minister for Health has answered all the questions in the last year, referring to the fact that the response to the increasing health queues, the increasing waiting times, the dramatic number of Corridor Asians — in short, all problems — will be presented to the Stortinge in the form of a reform in April. Now, two weeks ago, there was a notice that the Storting will not receive anything in April. On the other hand, Stortinget will receive a big message – of all things – in June, i.e. Right at the moment when the size falls apart after the end of the four-year period. It is the strangest time I think some government has delivered a big message to Stortinget. [[The President cut off]] Does this mean that the Government considers
ParlaMint-NO_2009-03-25.ana.ud1338e606	The government has done a lot both in the field of drugs and in the field of health during the four-year period we have been sitting. We've reinforced our efforts, we've implemented the psychiatry escalation plan, we've stepped up in a rush, and we've made major and demanding structural changes, for example. a contraction of health south-east. We have. It has been presented to the Stortinget, it has been debated in Stortinget, and it has been part of the work that has been carried out. So we're approaching the end of a big period. Then a government can think that no, now we kind of go in for landing; now there's nothing more to put forward and something more to do. But that's not how this government thinks. This government has made a lot of progress, even though we've left behind the first four-year period. That's why we have the ambition to present things that point inwards in the next period, beyond this period. This means that we believe that it is useful to present a big message on what we think about the new major health reform, the cooperation reform, which we intend to implement in the coming years. It's going to take time, it's going to be a lot of challenges, but we think it's important that the government clarify its position. Then the voters can decide on it, along with many other things, in choices. Then the government has a clear position, a clear position, and then we have shown that we also have ambitions for the next big period. That's why we're submitting that big message.
ParlaMint-NO_2009-03-25.ana.ud1338e613	I perceive that the Prime Minister has now released the cat from the bag, namely that this big message is intended for use in the election campaign, and it has been carefully chosen to time it so that the Storting should be cut off from the possibility of even getting involved with it. I also interpret the Minister of Health's refusal of the request to give the Storting an opportunity to intervene with what the Government is doing with regard to the provision of drugs in this country. The question I'm really asking the Prime Minister is, how do you interpret the lines of this, namely, that you carefully try to avoid the Storting getting involved with what the Government is doing? Is it to be interpreted so that this is just an expression that this government, because it has a majority behind it in the Stortinget, considers Stortinget to be a superfluous part of the Norwegian government? Or is this an active line to prevent the Storing from interfering with what the Government is doing?
ParlaMint-NO_2009-03-25.ana.ud1338e620	The government believes that the Stortinget is an important part of the Norwegian Government. The government believes that the Storting is a crucial part of our democracy, and we are concerned that the Storing should fulfill the tasks and do the things that the Storing is supposed to do. This means, for example: the adoption of laws, which means, for example: to adopt appropriations. For this reason, in all the different areas – in the rush, in the hospital, in the psychiatry – many documents have been presented, on the one hand, their own documents and, on the other, budgetary documents, which have given the Storting ample opportunity to debate, discuss and adjust what has been presented. But then we warn that we also want to do it in the next big period, with new measures, and then we present a big message about the interaction reform, to clarify what is the Government's vision and ideas of that reform.
ParlaMint-NO_2009-03-25.ana.ud1338e625	There will be follow-up questions – Harald T. Nesvik.
ParlaMint-NO_2009-03-25.ana.ud1338e628	I fully agree with what the Prime Minister said in his first reply to the Representative for Wage, that the Government has made a lot of progress, especially in the area of health. The big problem is that there is also a lack of parallel decision-making in this field. Every time problems are raised in the Stortinget as a result of the approaching of 290 000 in health queues, and the fact that you do not actually deliver in the rehabilitation field, the Minister of Health comes on the track and says that we have now reduced a sample and are going to provide an interaction message in June, and then we are going to get the answer to that. Now that 4,000 people are in line and are waiting in the hospital to try and get out of bed, the Minister of Health responds to a selection. That is, it's going to be another year before we get some answer to how these people are going to get help. In addition, the Prime Minister himself has said that there will be 10,000 new hands in the care of the elderly, and the municipality's central association says it is currently less than 5,000.
ParlaMint-NO_2009-03-25.ana.ud1338e638	First, in the case of new annual works, we have promised 10,000 more annual works of care and care. That's what the documents say, that's what the Soria Moria statement says, and that's what all the documents we have published on this matter say. Then I may have used the term care for the elderly in some debates. But everyone who sees what we've written, and what I've written, knows that we're talking about care and care. That's the one. The other one's a rush. Fortunately, the Minister of Health has done much more than reduce a sample. He has significantly increased his efforts in several budgets in the field of drug care. At the latest when he reduced the sample and announced that we should have a separate review – with excellent members, also from Stortinget – he said that we should grant 60 million. To strengthen the lowthreshold provision of drug users. Once again, it is a combination of implementing concrete things — strengthening care and increasing treatment provision — and seeing that we need a more fundamental debate on the correctness of the device.
ParlaMint-NO_2009-03-25.ana.ud1338e645	So the oral questioning process is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2009-03-25.ana.ud1338e650	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 3 and 4 from the representatives of Borghild Tenden and Per Roar Bredvold, respectively, to the Minister for Transport, were answered by the Minister for Oil and Energy on behalf of the Minister for Transport, who has left. Questions 5 and 6 from the representatives of Torbjørn Andersen and Gunnar Gundersen, respectively, to the Minister for Transport, are postponed to the next Question Time when the Council of State has left. Question 9, from the representative Arne Sortevik to the Minister for Renewal and Administration, is postponed until the next Question Time when the Council of State has left. Question 11, from the representative of Dagrun Eriksen to the Minister of Knowledge, has been transferred to the Minister of Labour and the Minister of Inclusion, who is directing him.
ParlaMint-NO_2009-03-25.ana.ud1338e665	We go to question 1, as usual from the representative Svein Flätten to the Minister of Finance.
ParlaMint-NO_2009-03-25.ana.ud1338e671	My question to the Minister of Finance is this: «Legal assistance costs to ensure taxable profit are deductible in addition to the minimum deduction only when the costs are not considered to be incurred in securing minimum deductions based on employee income. This means that legal costs to ensure disputed remuneration are not deductible, which means that employee’s claims are largely borne by tax and attorney’s fees. Will the State Council consider changes in the rules for employees in pay disputes?’
ParlaMint-NO_2009-03-25.ana.ud1338e680	Costs incurred in acquiring, maintaining or securing taxable profit may be deducted from general income. The deduction of labour-related expenses is initially granted as a minimum deduction. Minimum deduction is a standardised deduction which shall include the different deductions from the taxable persons relating to labour income. The minimum deduction means that employees may claim a deduction from labour income of a certain amount, regardless of the actual cost of labour income. Therefore, they do not need to demonstrate their actual costs. This implies a simplification of the general rules on deduction. If the actual costs which the minimum deduction is intended to cover exceed the minimum deduction, the taxpayer may instead charge the actual costs. In addition to simplifying the general rules on deduction, the minimum deduction also has a policy function for distribution. It contributes to creating a certain progressive effect within the otherwise proportional general income tax because the minimum deduction has a relatively greater effect on lower income than on higher income. Legal assistance costs are deductible in line with other costs incurred in acquiring, maintaining or securing taxable profit. However, when costs relate to labour income, the minimum deduction will replace the direct deduction. This means that the employee cannot claim a deduction from the actual cost of the minimum deduction. If the actual costs of legal assistance, together with the employee's other costs relating to labour income, exceed the minimum deduction, taxpayers may instead deduct their actual costs. The economic reality of this is that the taxpayer receives only an effective deduction of costs in excess of the minimum deduction. However, this is not particularly true for legal costs in labour disputes, but generally applies to employee service costs. The considerations behind the minimum deduction indicate that labour income costs are generally covered by this standard deduction. Therefore, only very limited derogations have been made from this point of view. The main exception concerns the costs of weekly commuting, etc. I do not have concrete plans to propose granting a right of deduction for specified types of work-related costs, other than the minimum deduction. Such costs should continue to be included in the minimum deduction and should be deducted only if they exceed the minimum deduction. This also applies to the deduction of legal assistance for the purpose of securing pay claims. In cases where the employee obtains his or her claim for taxable remuneration or compensation, he or she will often also be covered by the employer in whole or in part of his or her costs. By means of the so-called net method, this coverage can be applied against costs and thus become effectively tax-free, without reducing the minimum deduction. It is only costs that the worker himself must cover, which fall under the deduction limit as a result of the minimum deduction.
ParlaMint-NO_2009-03-25.ana.ud1338e693	Let me first of all thank the Minister of Finance for her thorough review of the many good qualities of the minimum deduction. Let me also say that I wish that maybe she would look at those qualities in a different way when we discuss in other contexts the size of the minimum deduction, which the Right recently has often suggested to increase for several reasons, partly to get people to work, but also to increase purchasing power. It's a discussion we've had against this with interest rate reductions, and what gives the most effect. As far as the question is concerned, I have seen the clear message from the Minister of Finance, that she will not do anything about this. I think it's a little bad that she won't consider it, because these are very special circumstances. And in the time we go into, I don't ignore that this can become more topical than it has been.
ParlaMint-NO_2009-03-25.ana.ud1338e700	I believe I have given a review of how the current tax system works, and what the minimum deduction should cover. If you have actual labour costs and labour income in excess of the minimum deduction, you have to attach documentation of these costs. The question that fleet travels is just about this. As for the general discussion of the size of the minimum deduction, I am pleased that our government has increased the minimum deduction. There has been an important part of a significant redistribution that has been achieved by the red-green government, as opposed to the main profile of the tax proposals of the Right and the other bourgeois parties, which are about removing, for example, the tax proposals of the Right and the other bourgeois parties. the wealth tax, which would be a gigantic gift package for the most wealthy people in Norway.
ParlaMint-NO_2009-03-25.ana.ud1338e707	In terms of fiscal policy allocations, I would recommend that the Minister of Finance read our alternative budget better, because we have always been in favour of providing better conditions for those with lower and medium incomes, including by increasing the minimum deduction. In addition, we will reduce the wealth tax in order to improve companies' lives. There's no contradiction between the two things. I just want to repeat that I hear the answer. However, it is still a fact that those who come into this situation can experience cases where they do not get full coverage for their expenses — of course, slightly depending on where the level of expenditure on legal assistance remains.
ParlaMint-NO_2009-03-25.ana.ud1338e714	I have gone through the legislation on minimum deductions and any documentation of costs in addition to that. But just a small line to the question: As far as the tax profile is concerned, it is the sum of the proposals from the Right that show what kind of profile the Right has in the distribution policy. It's a clear profile, going the opposite of what the red-green government has achieved in these four years, which is a significant redistribution for those who have low and medium incomes, and for those who have low wealth. 400000 people who paid taxes on wealth in 2005 are now free to pay taxes on wealth. An additional half a million have been reduced in taxes on wealth, because we've closed gaps on top, which means that some zero-taxors have actually had to start paying taxes.
ParlaMint-NO_2009-03-25.ana.ud1338e724	«While several banks have benefited from having Community funds made available, bonuses are paid to brokers who surpass what most have imagination to imagine. What is the Council of State's view on this, and what means will be considered to overcome this obscurity?'
ParlaMint-NO_2009-03-25.ana.ud1338e731	I am very happy to have this question, because I think the representative Syversen is addressing something that is very important and important. He and I agree that both the pay and bonus systems in the brokerage industry in some cases far exceed what can be seen as a healthy and well-earned remuneration of labour. The system of exchange of sovereign debt, which we adopted last year, did not impose any direct demands on bank directors. It was because the scheme was on purely market terms. There are no other countries that have made the kind of demands associated with that scheme. In the case of the State Financial Fund, we are in a different situation, because there is a system that involves State aid. There is legal state aid, but there are very clear limits on the remuneration and remuneration of senior management. Freezing wages and salaries are required for 2009 and 2010 and no bonus payments for 2009 and 2010; otherwise, the terms and conditions for additional management salaries are to be clarified in the agreements made with the State Financial Fund. This applies to senior executives with an agreed fixed salary of 1.5 million. kr and over. As I have previously stated in the public debate, I believe that it is also necessary for the remuneration of the brokers – those who are not part of the management of the banks – to see what kind of development they have had in bonuses. My general opinion is that the remuneration in this area is, in fact, very high in relation to what you might think is a reasonable remuneration. I believe that in the wake of the financial crisis, we will have a different focus on this. This too will be embedded in the part of cost control that banks agreeing with the financial fund will also be required. I have previously announced that I intend to put down a commission that will review different aspects of the financial crisis. I believe that the theme of what kind of incentive schemes make sense for the future should be included in the mandate for this selection, because, in many cases, in addition to having such huge bonuses, the bonus scheme has been such that it encourages a short-term perspective. It focuses on short-term returns, because those who participate in these markets themselves have personal gains. So that's a question that I think we have to follow up.
ParlaMint-NO_2009-03-25.ana.ud1338e749	I share a lot of the general starting point that the Council of State presented. I choose to believe that when the concrete agreements are to be made with the banks that choose to take advantage of the opportunities of the financial fund that are established, this will also be made at the broker level. So my question is related to the transparency of the brokers' wages and other bonus payments. The Council of State itself has been very high in terms of private individuals paying bonuses at a level that we agree on is out of all reasonableness and called for transparency in some way. How does the Council of State feel about the same transparency with regard to government pension fund bonuses?
