ParlaMint-NO_2009-12-09.ana.ud773e67	The representative Peter Skovholt Gitmark, who has been on leave, has again taken the seat.
ParlaMint-NO_2009-12-09.ana.ud773e710	The representative, Dagrun Eriksen, has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2009-12-09.ana.ud773e715	When the Stortinget dealt with Culture for Learning in 2004, the then government, including the Christian People's Party, wanted to further develop the primary school, among others. by strengthening the stage of childhood. It was therefore proposed to increase the number of hours during childhood, in particular during the first steps. They thought that such an extension was necessary, both for professional and educational reasons. Today, the Christian People's Party will cut dramatically during the hours of childhood and believes that the government is giving priority to mistakes when we prioritise, among other things. hour extension. Is it so to understand that the Christian People's Party represents one policy of position and one policy of opposition?
ParlaMint-NO_2009-12-09.ana.ud773e722	No, that's not right. But what has happened since 2004 is that it has been applied quite a lot more hours than what was there at the time. At that time there was a pressure from the school to get a little more room, and as Tingelstad Wøien said, a little more time to dress on kids, etc. We've been through the research quite carefully to see if this will give us more learning. I can see the arguments that Aksel Hagen referred to here instead, that this solves some societal challenges regarding how we can get society to go around. But what worries me is that the Workers' Party, the Government and the Red-Greens are saying that this is going to give us more learning, and that there is going to be an answer to the challenge of learning to read and write and calculate. There's no research that shows. That's why we believe it's time to stop and not give all day school to students. They need less mandatory time, more freedom and more flexibility.
ParlaMint-NO_2009-12-09.ana.ud773e727	We believe that research clearly shows that homework is important, and that it is important to provide homework in cases where there is no working family. It's not always a mother or father sitting at home in the daytime, ready to welcome the kids and give them homework. At a time when everyone is concerned with social cohesion, related to both learning and well-being and the connection between the two, we are surprised that the Christian People's Party, almost as the only party, will not join the team and develop a good overall offer, where the parents are not disconnected, but invited to enter the SFO and school to participate in this important activity. The Christian People's Party here achieves – unintentionally, probably – through this cut, is that by not getting more hours, however, the kids get longer stay in the SFO, an SFO that gets worse and more expensive with the organization of the Christian People's Party than the government has.
ParlaMint-NO_2009-12-09.ana.ud773e732	We fully agree that being present for those who do not have parents there and offering voluntary homework is important. What we don't agree with is that this is going to be a challenge for the SFO. Several representatives, especially from SV, have underlined that this is part of the dream of full-day school and mandatory SFO. There are some challenges, especially in the districts, both in terms of rushes and the presence of them. But what I haven't yet managed to get a single answer to is these extra hours are going to give more learning to the students, but where is the research that emphasizes it? Where is the research that says we get a better school with this? The Christian People's Party model is a good school, with good teachers, fewer students per year. teacher and SFO which are voluntary and of good quality. It's the good school, and not the coercion imposed by the red-greens.
ParlaMint-NO_2009-12-09.ana.ud773e739	I think it's brilliant that the representative of the Christian People's Party is involved in high school. I think we have a common understanding here. But what surprises me a little bit is that the Christian People's Party believes that practically directed theory is more important than practical work. The representative of the Christian People's Party also said that if one chooses the practical occupation, one binds himself to the same subject in high school. Then I wonder, where does it say? The point of practical work is that you should be able to try something out, find out what is appropriate, gain experience, so that you can make the right choices later on. The question is, where does this stand, and why does the Christian People's Party want a practical, correct theory in high school? I don't understand.
ParlaMint-NO_2009-12-09.ana.ud773e746	Now we come back to the device. I noticed what Tingelstad Wøien said. Nothing will please me more than that I have read the education line wrong, that it is actually such that it should be a subject for everyone, that it should not exclude further running, and that it should also be possible to choose it in the same way as usual elective, if you get it back. If I have misunderstood here, it's a pleasure to lay down flat, because I think it's a good solution for the school. What the Christian People's Party wants is to get more practically corrected theory. We think it's possible to teach in a way that makes math, for example. can be used in a more exciting way than simply dosing from the tablet. What we also want is to get the electoral professions back. Today, one in high school can choose 2nd foreign language or Norwegian depression. In my time, we could choose a moped ride. We could choose typing. We could choose depression in the loop. I think that's breathing space and air breaks that both theories and practically strong students need. That's our model of high school.
ParlaMint-NO_2009-12-09.ana.ud773e753	The representative, Eriksen, is a very good example of ‘the gentle South’. Her mood has also contributed to a good discussion in the Committee. It is really interesting to read about the Christian People's Party's policy in the field of education, perhaps especially in the field of higher education, because it must be said that there is a striking amount of policy for the South in the comments of the Christian People's Party. I therefore thought I would allow the representative Eriksen to take the opportunity to elaborate on whether the Christian People's Party also has a policy for other parts of the country, because it is unfair that there are also important and good institutions outside this belt that are so neat down there on the sun coast.
ParlaMint-NO_2009-12-09.ana.ud773e759	I'll take a copy of this and send it home! I've done my job as a South African representative. It is clear that there are a lot of other good institutions, and I understand that the other representatives of the Committee may not likewise highlight their institutions. But I want to say, when I first get this chance and the challenge, that if you had followed a little bit in the debate in the South, you'd probably have seen the South feel like it's in the blinds of the red-greens. We have few people sitting around the government table. We have a political advisor who certainly does a brilliant job, but we're not sitting around the government's table. We are not seen when the major national rounds are going on. Our University, the University of Agder, receives a grant far below what you should have had in relation to the research done there. And then when you're in a blind zone, it's actually the job of the opposition and the Agder bench to make what the government doesn't get. We also see that there are many other good institutions, but we need to open up on the blinds to the red-green.
ParlaMint-NO_2009-12-09.ana.ud773e766	Then Stortinget has been told! The cord shift is over.
ParlaMint-NO_2009-12-09.ana.ud773e771	When we in the Left joined this election, we defined the three major challenges for society: to create a climate-neutral society, to build the knowledge society for the future and to renew the public sector. Policy is, of course, a priority, also to be able to prioritise within a tight framework. But one thing is clear: within all three major challenges, the knowledge is equal. That's why it's important for us to make a real boost in research, higher education and knowledge at school. Our alternative budget is largely characterised by our great increase in knowledge. It is structured as follows: firstly, we have a huge increase in research and basic appropriations. When we're talking about free research, when we're talking about the innovative part of research, when we're talking about researching what we might not know we wanted to know, but as when we get knowledge on the table, what we're going to live on is essentially basic appropriations. But it's also about quality in education, giving quality to all the new students who are going into our higher education and research institutions. The quality of that education is characterised by basic appropriations. That's why it has been important for us to actually do what we said in the election campaign, to increase that allocation by 350 million. kr. The second effort in the field is research recruitment. We're facing a huge pension wave that could threaten all of Norway as a research nation. We know that we're getting more and more students into the institutions. There is therefore constantly too weak a bet from the Government on that very thing. When I last sat in this committee, I experienced SV as very pushy to the Government when it came to research recruitment, but now it's not that important anymore. I'm amazed at that. As a general rule, it is important that we, as politicians, keep what we promise. That's why we're doing it in the field of education. We get up the Research Fund to NOK 150 billion, and we get 11 months of student support. I just have to say a little bit about 11 months of student support, because that's perhaps the most amazing thing we experienced in the entire election campaign. One thing is promises, and now we see that the most common use here is the concept of ambition, but I would very much like to be around that table where all three parties sat with their party program and said that we should do this, and see who argued against it. Was it such an angel of the kind of Crown Princess, or was it anyone else who hung over his shoulder and said that this is a program post we shouldn't care about? Who is it that has argued against all three programs, all three parties' promises, all three that went into the campaign with great weight in that area? For me, it's amazing that you can negotiate away something you actually agree on. It's true, as Aksel Hagen says, that when several parties sit together, you sometimes have to negotiate away something you've been for, but being able to negotiate something that everyone has been for is a political art – but not a political art to succeed. The second initiative is the feeding effort to the left. The knowledge society that we will live on in the future will be based on new ideas: not on the old-fashioned oil, but on the knowledge of the future. That's why it's important to strengthen the Tax Fund, and it's important to strengthen the BIA. With today’s allocation, you just make sure that those in line get what you’re in line for. There are no possibilities for new areas there. I think it's very nice that the government is making so many government councils in this debate, but I think it's incredibly funny that the Minister of Industry didn't prioritize it. The third priority we have in this area is the free funding of research within the Research Council. It's not always that everything fits within the programs. It's not always like all the good ideas fit into the framework of the different programmes. It's not always such that the brilliant research ideas come right where you had planned for them to come. Therefore, the free resources within the Research Council are very important. We also have a great commitment to climate. It's about renewable energy and CO2. Here we see that we have a capacity within the sector that is not being used, and we cannot leave it unused. That's why we've added to that sector as well. Then I'll go to school. I think it's very nice that in this room there's been a consensus, at least rhetorical, that the most important thing in Norwegian school is good teachers. Good teachers are the very key to knowledge and building a good school. Good teachers are the key for children to develop their abilities. That's the point of a good school. A good school sees the individual student, sees the potential of each — what opportunities lie there — grab them and develop them. It can only be done with good teachers. This is why it is important to focus on continuing training — that you actually receive further training during a career. Today we have a pace that means we don't get to the goal, and we see that teachers have received further education, before maybe 30 years. The other thing I want to mention is recruitment. I think it would have been very healthy for Norwegian school to recruit pedagogues with a different background than just a teacher's school. That's why we have scholarship schemes and seniors, which allow us to keep the good teachers a little bit more, and we also want to put in scholarships that allow people with different backgrounds to get the good educational background to become good teachers. If there's one area where I think it's important that we put down the political campaign and invite it to do, it's out of school. We should have a big and open debate about non-response, where we listen to each other and put as many ideas in the pot as possible to see how we are going to move on. I think we're going to look at how we've developed our entire high school system, from reform 94. The heres were razed in the first post here. I think we might have to revise some of the thinking from then on. Some of the problem with high school today is that you have downgraded both education and academic education by saying that everything is equal, all the time. We see that those who dream of becoming good professionals – becoming good tradesmen and good tradesmen – almost perceive it as a degradation when one does not go the bookway. I think it's time for us to make the two races the same value, and we don't do that by making them the exact same. We do it by making them very different. We're actually doing it by jeopardizing the degree programme in crafts and other subjects. It has to get more into schoolwork. But I also think that if we're going to get rid of the drop-off, a much larger whole is needed to get it done. It’s about having a school that needs to see students — even when you meet on tough thanks. It's all about getting the health sister back into Norwegian school — which we think is important — and having good specialised educators who don't just sit and treat papers about students' problems while we give money to unskilled assistants. Now we have to get so many special teachers that they can actually be out to meet the students. Here we need an overall bet, and we need all the good ideas on the table at the same time. We hope the government adds up to one of these things. So some words also about church. I'm worried if we can keep our people's church as wide as we want. This is a development that has happened over time, there is nothing that has happened in this budget. But we now see that the church has been under pressure — both municipal economic and other pressure — which makes it difficult to keep the broad church as it is. I think it's also time to raise the political lines and make an ambition about what kind of church you want and look at what's needed to get it to – not to punish the church politically. I reacted very much to the SV's line to me where one claimed that the Left's budget was unrealistic. I expect SV to document it in his lines later – there is not a single figure in the Left's budget that has not been retrieved from the Ministry of Finance. I have to say that maybe it's a little bit like that on the sea you know others – from the time you put in the opposition and made the budget. But there are actually no points that can be pointed out that are unrealistic in the Left's budget. I don't think this is fine, at least when you don't document it. Then I'll take up the suggestions that the Left is on, and the ones that we're alone about.
ParlaMint-NO_2009-12-09.ana.ud773e812	The representative of Trine Skei Grande has taken up the suggestions she referred to. Otherwise, the president will note that she believes the representative Skei Grande mixes the Crown Princess and the Princess in his mention of an angel – with all due respect!
ParlaMint-NO_2009-12-09.ana.ud773e817	I'm sorry! That was by no means the intention.
ParlaMint-NO_2009-12-09.ana.ud773e822	I have recorded that the old school party Left look and often – even here in the hall today – tries rhetorically to present itself as the modern and forward-looking knowledge party. To say that not even Sponheim, when he left all his political pondus in an attempt to be engaged in this topic, was able to overinterpret so many. There's another aspect I've noticed lately, and it's that the Left has been strikingly close up to the Progress Party in many of the cases that have been dealt with in the church, education and research committee lately. This puzzles me a little bit because the Left tried to illustrate a political demarcation precisely against the Progress Party in the election campaign. So what does this mean? Is there an attempt from the Left to sharpen the role as a clear opposition party? Is it just symbolic politics in the absence of own policies – without real political content – or is it such that we now see the contours of a new Oslo model at national level, with the Left in the head and as glue?
ParlaMint-NO_2009-12-09.ana.ud773e836	There is no basis for saying what the representative here says, from the committee position. The left has not changed any positions in relation to what we stood for in the last period, in opposition to this government, but it is clear that going to elections with research, higher education and knowledge that was essentially not the great selection magnet. But that doesn't mean it's not important. That doesn't mean we're not going to fight for it in upcoming election matches. That doesn't mean that this will come down on the agenda any further. It just means that we have to be even more good at marketing our knowledge policy, because I think it's better for the future, it's right, and that's why we're going to do it, sail if it doesn't lead to the big electorate.
ParlaMint-NO_2009-12-09.ana.ud773e841	First, a comment on what's incredible or not. I think Trine Skei Grande also sees that even if you, for example. Left, set with all the power alone, it would be impossible to enter the entire batch programme within the given budgetary framework of a given financial year. Free learning material has long been a battle cause for SV and the red-green comrades. As you can see, it is a pleasure to see that there is now almost general political outreach in the budget papers that this system has come to be, except for the Left, which in its alternative budget is struggling with money in many good directions, but which is thus withdrawing this reform and will have a need test. What's the reason for this? Is there ideological opposition to universal welfare schemes? For it can hardly be bureaucracy – that it is less bureaucratic for each student to apply for such a scholarship to buy textbooks.
ParlaMint-NO_2009-12-09.ana.ud773e850	No, we're against the system because it's unfair. It results in that those who have mass get the same amount as those who have little. I thought SV would be on the team with us regarding such things. But I had also expected Aksel Hagen now to explain why he thought that the alternative budget of the Left was not economic. I notice that he does not use the opportunity to explain. It's actually the fact that all of our important, big stakes are about equalizing differences between people, while the system that this government is adding up to is giving the same amount to everyone. That means those who can't afford the last run, still can't afford the last run. We want someone who has bad advice to get a lot, and that whoever has good advice and can pay the books their sails, can make it seam.
ParlaMint-NO_2009-12-09.ana.ud773e857	I would also like to take the opportunity to say that I am impressed by the multi-tasking of Skei Grande during this process, with several new tasks and new committees. But what I'm asking is that the opposition, including the Left, uses very big words, black paints Norwegian school and Norwegian education systems, and among other things. present opinions here as ‘a major pension wave that could threaten the whole of Norway as a research nation’ and that the criticisms in the comments are based on the fact that appropriations following the climate agreement are virtually non-existent, because they follow up on something that everyone has agreed on. The big paradox is that despite big words, there are only minimal changes the opposition has had imagination to do in its alternative budgets. So I wonder if the Left can point to the enormous differences – and I mean the really big differences – that make the Left Party so very different from the Government.
ParlaMint-NO_2009-12-09.ana.ud773e865	I can mention one really big difference: one really big difference is NOK 73 billion for the Research Fund. One really big difference is NOK 2.1 billion more to the whole field of education. That's our big re-priority. It's actually a very big difference. There is such a big difference that the educational situation says it would have been very good. But what has been frightening during this process is not just what this budget and the continuation of the cutback that this government introduced in higher education and research have resulted in. The scary thing is that they say that higher education and research have to count on big cuts in the future. When we're going to tighten up, these are the areas where we're going to tighten up. We're just going to run primary school, and then there's higher education and research we're going to cut. That is what the government parties have said in this debate.
ParlaMint-NO_2009-12-09.ana.ud773e872	The cord shift is over.
ParlaMint-NO_2009-12-09.ana.ud773e875	I have to say that I scratch my fingers after getting involved in the debate on research and higher education, but then I spend 5 minutes on something that is the responsibility of Tora Aasland, so she comes back on it forcefully. That's something that's incredibly wonderful about being in opposition, I'll say. I've been in the Storting in opposition for 16 years, and the art of adding one million or two extras in almost every area, so that you can win that race at any time, is great. The problem is that it will not be adopted. So the basis of the budget that is now being presented to the Stortinget is a political profile that we are fully committed to. I have to say that I am jumping above the decibel level to the Right, and over something that I perceive as a debate that has gone quite out of date. If we were to sum up what has happened in the knowledge debate over the last few years, it's that the Right has put its own kennels on the boat, and that there's a red-green SV-led profile of what is now very broad consensus in the knowledge field. It is very rare that the Right challenges us for more commercialisation and privatisation of Norwegian school. We stopped it; there is no cry out of neither students, teachers, nor parents about the more commercialization of Norwegian school. That's right, so they don't talk about it. There is also no call for more ranking in Norwegian school. Right many of their primary positions in this area, but it's very rare we hear about it now. On the contrary, the right’s proposal for national tests was poorly professional and tried to be carried out at the head of teachers, students and parents in Norwegian school, with the aim of ranking. It led to a wild insurrection, not legitimacy. Therefore, SV took a break in this, along with the red-green government, found a form of it, and has now carried out a test scheme that gives goals and meaning in Norwegian school in a completely different way. That's very good. But it's not right-wing policy – it's SV policy to have done this. It was absolutely necessary to have a critical approach to how national tests were to be carried out. So I want to say that then there might be a disagreement with the Right in this area, and it's that they want us to publish the results for national trials in such a way that they invite for ranking. We believe that this is simplifying what can be achieved through national tests, because it is much more limited than what is often mentioned in the debate. I'll be happy to come back to it, but the rest of my post I intend to use on non-response. The debate that the representative Aspaker tried to raise, namely that there is a contrast between the learning environment and academic achievements in school, went well into cambrosilur. After all, we are all aware in all the workplaces that well-being and good cooperation, clear leaders, which teachers should be in each classroom, provide a good basis for learning. These things are playing together. It's not like there's contradictions. So there's a lot of concern, and the absence is the most worrying. It has been stable high for 15 years – 30 pst. by high school students do not complete. We know that those who do not complete high school and only have primary school are more vulnerable to unemployment, are more often ill-appointed, are more often disqualified, etc. Here we're talking about something that we don't get, but that if we had done it, would have had a big impact on the individual, on society, on the economy and on everything for many, many years to come. Full childcare is a very good starting point, because early work is also about preventing absences. Let me say one more thing about kindergartens: I don't mean kindergartens are going to be schools. I just believe that the value of preschool education is going to permeate the kindergartens, but that there are a lot of opportunities there to support children's development. Early school effort from 1 to 4. class is about early capture of those who are struggling to crack read codes and numerical codes, and to quickly insert the effort. It's working. Focusing on high school, I very much agree. I was out last night talking to students who have been on trial in the field of employment. We need to develop that further, and we need to use it in such a way that the other subjects are also turned into more practical approaches. We have now received results from the pilot projects that have been in connection with practical letters. We know that the dropout among the students has gone down dramatically. Two-thirds of them want to take a diploma in the usual way. So to the teacher, the teacher is crucial. Fortunately, there is now a broad consensus on strengthening teacher training – continuing training. However, those who believe that it is only to put more on for further education and training have not come to realize that some of the restrictions on using the offer of continuing education and training are the lack of teachers and the lack of temporary workers. So it's unlikely that these means of continuing training will be used if you don't have the opportunity to get more teachers. This is therefore interrelated.
ParlaMint-NO_2009-12-09.ana.ud773e898	It's going to be line change.
ParlaMint-NO_2009-12-09.ana.ud773e901	I had the pleasure of campaigning with and against Øystein Djupedal – last in 2005. He was crystal clear in his speech when it came to publishing any results of tests, national or not national, I would say. I have experienced well, partly because of leakages and partly because of deliberate publication by the Education Directorate, that more and more information from the national tests has benefited the public. I'm very happy about that. But I get very skeptical when I hear the statements of the Council of State today, because it may sound like the information that it's okay that she, the Directorate of Education and the Rectors, have, for a whole lot, not to feed the population – the taxpayers and the parents. Why is the Minister of Knowledge so afraid that ordinary people get knowledge of the state of public school?
ParlaMint-NO_2009-12-09.ana.ud773e908	The results of the national tests are published in accordance with the Public Health Act. However, how they are presented by education authorities is of great importance for their use. We don't present them in such a way that they organize rankings. It's because there's some of the most depressing thing going on around Norwegian schools. There are many explanatory backgrounds on how schools and municipalities do this with regard to national tests. It is also the case that they should be used and analysed in each school. They have the right to know what the results are, the parents have the right to know, and the teachers have the right to know. Everyone who does a job in each school or municipality has the right to know the results. But let's say this: a school that scores lower than the average, but that has many students where parents have little education than primary school, may well be a better school than a school that scores better than the average, but where parents generally have high education. So measuring what the school's effort is is what's important when schools are going to review the results of the national tests.
ParlaMint-NO_2009-12-09.ana.ud773e915	Mahatma Gandhi once said: "First they ignore you, then they laugh at you, then they fight with you, and you win." Governments used their posts to go hard on the Right and the Advance Party's wishes for the introduction of national tests. But the bourgeois habit. It was national tests. The discussion now concerns publication of the results. That's not what the Council of State and the Government want. At the same time, we see that it's up to VG and other major newspapers to inflate and make their own comparisons. Then you cannot get the quality assurance that you could get if, for example. the directorate provided the same figures, to which everyone is given access. So my question is, can the Council of State elaborate on the big difference between what we in the Advancement Party and the Right want, that the Directorate provides the right representation of the figures that appear, and what is the situation today, that it is posted on the Internet, and that commercial actors such as the VG can present their own results and measurements?
ParlaMint-NO_2009-12-09.ana.ud773e925	It's a brilliant quotation from Gandhi that the representative Hanekamhaug is now coming along. I have used it many times myself, especially in the context of kindergarten development, because it was a controversial matter that people were actually against in their time. But now we have full coverage – we've got it. In the case of national samples, they have not been carried out in the form proposed by the Right Party and the Advance Party. There is another device on the samples. They are published differently. The problem of presenting them in such a way that one gives the impression that ranking and competition between schools – which I believe is the difference between how the Progress Party and SV and the Government view this – is itself a driving force, we have no faith in that. We cannot prevent others from using public information in this way. But for us, it is important to say that the results of national tests must be used in each school and in each municipality in a sense, so that you can see where the school is going to make a difference, because there are so many other factors that affect the results of national tests.
ParlaMint-NO_2009-12-09.ana.ud773e932	The state councils later clearly believe that attack is the best defense. I strongly distance myself from the charismatic representation of the Higher School Policy of the Council of State. The right has never raised the issue of neither ranking nor commercialisation of the school. The right is determined by its school policy, while the SV is moving. Governments themselves have called for only a sample of students to be tested — today she stands up and defends the testing of all students. SV has twice programmed free school meals – and breaks the promise sovereign twice. SV has left grades in high school – Soria Moria insists that there should be grades in high school. What does the Minister of Knowledge think about her being an SV leader is now set to implement a policy that her party is obviously totally opposed to?
ParlaMint-NO_2009-12-09.ana.ud773e939	It is not in SV's program that SV is against grades in high school. I'm absolutely sure we're getting right in terms of the relationship between learning and nutrition, in the long term. It's something that more and more people are becoming aware of. The smallest proposal in this draft budget is, of course, the Right's proposal to remove fruit and vegetables in Norwegian school. On the day right it takes away from its own meetings, I think maybe Norwegian students will have a little more hearing for the proposal. Then the representative perceives it quite correctly, and that was not exactly – what to say – something kose insert representative Aspaker kept in relation to SV either. I think it's refreshing with a little conflict in the school debate, for my part, but it's quite wrong that the Right now has heard about the things that they themselves promoted as their focuses in school policy. There is no call after several private schools, so the Right is low on it. And the national tests have not been carried out as requested by the Right.
ParlaMint-NO_2009-12-09.ana.ud773e946	After she became a minister of knowledge, the Council of State has made a lot of statements, and one of them is that she wants to red tape the teacher's role and catch the so-called time thieves that the teachers are struggling with. At the same time, we feel that there is a proposal from the Education Directorate that requires the removal of positive and negative characters, i.e. that all sub-characters should be removed from Norwegian school. It is definitely a ban that means more bureaucracy, more writing and much more work for teachers. It also means more imprecise feedback to the students. We have a character system where all parties are familiar with what kind of signals it gives, and what that means. Is this a proposal that the Council of State stands behind, or does she consider withdrawing the ban, which neither teachers nor students understand the background?
ParlaMint-NO_2009-12-09.ana.ud773e952	I also supported that information about the pluses and the negatives, so I will examine that matter a little bit more closely. But the point about rating is that there's a little bit more than a 3 or a 4, with or without plus, because it's important that students get feedback about what they're going to do. Some of the things we know that we are poor in Norwegian school are assessments. The teachers say they get too bad feedback from the principal, the students say they get too bad feedback from the teachers. So the teachers complement a number character with a more detailed message to the students about what's good, and what they have to work on, it's not unnecessary bureaucracy. There should be precise feedback, which makes the student more aware of where you are related to your own learning.
ParlaMint-NO_2009-12-09.ana.ud773e957	It would have been tempting to comment on SV's perception of being in opposition, but I will leave it. I've been worried about the content of the school debate. We've gone all the way out of the way by talking about private schools. We have run out on the wrong track by just talking about food and not food. So the council says something about what's been called out in school. The Christian People's Party does not feel that there is a cry, either from research environments or from the school, about this number-of-hour increase that this government has agreed to. And there's one thing that's surprised me a lot: why does SV want to go in for the 6-hour day for adults, while for the kids, it's wonderful with all day school? We're recording that a lot of trial arrangements are being arranged on a 6-hour day. Will the Council of State now also have some trial schemes with shorter school days for children, to see who really learns the most?
ParlaMint-NO_2009-12-09.ana.ud773e966	This could have been a good point if it was that SV would have a 7 1⁄2 hour day for schoolchildren, but it's neither SV's nor the government's policy. I am very impressed with the Christian People's Party's alternatives in this budget, when you propose to take away five hours at primary school and argue that you want a more practical approach. First of all, there's a cut-off proposal of almost $1 billion, and second, these five hours in minus will lead to fewer hours for teachers to work on the subject with the same syllabus. It means less practical approach, it means fewer trips, and it becomes less possible to get to this in a varied and exciting way, adapted to each individual student. That being said, I agree with the discussion in relation to what we are going to do in the future. There's something about the teacher's density in the hours you're going to have – how to adjust and find the right balance, how to ensure better quality in the SFO, and how to get to the content of the hours of free homework. Within a mindset around a whole school day, these balances have to be made. But that the Christian People's Party budget proposal should be the way to go, I do not understand.
ParlaMint-NO_2009-12-09.ana.ud773e975	In fact, I thought that I was going to brag a little bit of the state council posts, at least at one point, and that was the focus on apostasy, which I think is becoming very important. I think it's going to be a huge challenge while the Council of State sits. I have, together with Abid Q. Raja, presented a number of proposals in the Stortinget in a separate Document No. 8-proposals, on measures to be taken. In my post I said that here we need a great political effort where all ideas must be put on the table. So my question to the Council of State is, is she interested in having such a political virtue, or are the red-green ones going to do what they usually do, that they decide, and that's what they do? Or is it so that we from other parties can actually contribute some good ideas, as we have tried to do in our Document No. Eight proposals?
ParlaMint-NO_2009-12-09.ana.ud773e980	I do not recall all the individual proposals in document No. The 8 proposal, so I have to make a reservation about it, but the large numbers of drop-outs we have in high school are a much bigger social problem than what is reflected in the public debate. It's a difference challenge. There are much bigger class divisions in Norway than most people think – we see so much difference in how to meet on the labour market later in life if you have primary school and not more than that. So I'd like to raise that debate up. We've done a lot of things that can help – many of those things we don't know about until years have passed. We have 16-18-year-olds today that we can make an effort to prevent the problem in the long term, but we also have some adults who were undereducated when they were young people themselves, and who we know have a much greater chance of being dissatisfied if they only have primary school. There I am also absolutely sure that a much larger pressure can be inserted. So I'd like to have a big, public debate on this and a good and good idea from other parties, and then we can come back to the individual proposals.
ParlaMint-NO_2009-12-09.ana.ud773e985	That's the line change.
ParlaMint-NO_2009-12-09.ana.ud773e988	The right to freedom of belief and life is a fundamental human right. Freedom of belief and life means that the individual has the right to believe what he or she wants, to express and to live in harmony with his or her faith, to change his or her faith, and to have a view of life that involves not having any religious faith. The fact that we live in a society where people have different religions is a question that addresses our entire welfare society. The school has done a lot in recent years to take care of the diversity of life that exists among their students. Hospitals have increasingly taken into account the fact that people there have different religions. Not too long ago, I gave a prize to a lady who had worked with several different nationalities in the care of dementia. Here we are not good enough in all areas of our welfare society, which should increasingly take into account that people have different religions. It's about respect for each one. In the Soria Moria Declaration, we are just calling for a contribution to the creation of more life-synthesis neutral serums. It's not so easy for anyone who loses their love and who may not belong to any community of life at all, that there's no room where you can have a last moment with their very closest. We say that the welfare society should take care of us from cradle to grave, but we are not good enough to take care of the people of a society characterized by many religions, as it is today. In the Oslo area is now approx. 8 pst. of the population members of religious and life views other than the Norwegian Church. And about half of the municipalities only have church buildings that are suitable for burial rituals, even if you do not belong in the Norwegian Church. So here we have to make a lot of effort in terms of digging, and also in other areas of our welfare community. The task of the State is to contribute to strengthening and protecting freedom of belief and freedom of life. In Norway, the country has an objective of pursuing an active, supportive belief and life-view policy and of actively promoting religious and life-seeking activities. Norway is in a special position to provide financial support to the religious and life views. We have a grant scheme that ensures a high level of economic equality for all religious and life-seeking communities in Norway. In 2008, it was approx. 400,000 eligible members of religious and life views outside the Norwegian Church – there will be grants to more than 600 religious and life views. More than half of these are members of Christian religious communities. The Catholic Church and the Pentecostal movement are the two largest groups, approx. 20 pst. are members of Islamic religious communities and 19 p.m. are members of life-vision societies. In the attitude of the state and the Norwegian Church, the Stortinget points to the need for an overall belief and life-view policy, and that such a policy must primarily affect the various practical aspects of the functioning of the religious and life-view societies in Norway. In accordance with the position of the Grand Government, the Government will present a case of belief and life-view policy in dialogue with the religious and life-view societies, with a view to creating a comprehensive policy in this area. The Ministry of Culture and the Church, which changes its name if not for too long, administers a grant scheme for privately owned church buildings. The aim is to give religious communities outside the Norwegian Church, private foundations and voluntary organisations within the Norwegian Church the opportunity to build church buildings with lower self-financing. The name of the grant scheme may seem somewhat misleading, as “church buildings” are primarily associated with the Christian faith, but the arrangement thus includes construction, or parts of building, which a religious community uses to exercise its religious faith. In practice, the scheme has helped to finance a wide variety of religious buildings — from small prayer houses to large mosques. For the Government, it is important to contribute to dialogue and cooperation between the religious and life views communities in Norway. Openness and conversation promote mutual understanding and contribute to respect for inequality and common values on which our society is to build.
ParlaMint-NO_2009-12-09.ana.ud773e1007	It's going to be line change.
ParlaMint-NO_2009-12-09.ana.ud773e1010	Fortunately, in Norway, we have freedom of religion, which means that we have a diversity of life - vision organisations. These are also supported by the State budget, as the Minister quite rightly says. In the alternative budget of the Progress Party, we propose the deletion of entry 76, the contribution to advice on faith and vision of life. We're transferring the same amount of crowns to Item 70, Grants to the belief and life-view societies. The reason for this is that we believe that the Stortinget is not going to grant money to these umbrella organisations. The Progress Party believes that it is the religious communities themselves that must be given the responsibility to grant to their organisations. Will the Council of State consider giving the communities of faith and life responsibility to finance their own umbrella organisations, which they hope they have chosen at their own discretion?
