Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-6rGKWEZvYMy86hkGBvmjRY	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-MXHR3xRcwWgtykB3nKNFcH	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4968944	Naraghi, Laila	F	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-99zzxtf5KceNjYWeY1swEX	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-SnP3n8v8rEEG9PVLgfXN9n	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-VZiMFo63iWJfVyKpoqDMGK	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-FvMSMGLSj9iVToCL9g1djZ	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035705	Lantz, Gustaf	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-RuDXTQ2WWggQBE794eH7S2	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-MPhCovNLh16iUjWQJwAfuC	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4973765	Quicklund, Saila	F	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-AaiaNWqcz23fsLBA9Lr7T7	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-QKTu3KA2yqzbWcGkevBxdc	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035676	Sköld, Linus	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-P4c8HPrB4CdpABsSHVuAk4	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-2vg2ULsD14RxQwPnHffvP9	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-FkTF9wfAShEeNeSvjo6UCg	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-TTC7ac9uYZxxVcPhLinzN8	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3363827	Ohlsson, Carina	F	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-LqiZXwHrbbNmN6bK8ZHzG3	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-8LCfQgCkBcYZGCTmMrmCWq	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4943175	Coenraads, Åsa	F	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-UwnUEzPLAC9BYfJKH5PYkX	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
