ParlaMint-NO_2022-01-19.ana.ud1e28	The representative, Mr Grete Wold, will put forward a proposal for a representative.
ParlaMint-NO_2022-01-19.ana.ud1e463	With regard to the introduction to the last question, we are at full speed into a health-care discussion related to pandemic management. Then there's another government council other than me that's going to stand here and answer that. But it is an undeniable fact that, as a government, we base the measures that now apply on the same health advice that Raja and the previous government used. There's no doubt about it. So to the next, if that's how I haven't taken any active grip: yes, that's what I'm trying to convey. It's possible that I'm bad at speaking, but we opened up significantly in the university and higher education sector last week, i.e. five days ago. There is a clear expectation presented to all universities and colleges, both from the government and from me as State Council, that it should be organised for physical attendance and education at all the country's institutions and campuses. It is also the case that all pupils and students at individual level should have all or part of their physical education. [[President clubs]] It is also such that there is a possibility of exemption from the 1 metre if it is sound... [[The President Clubs Again]] [[The President cut off]]
ParlaMint-NO_2022-01-19.ana.ud1e470	The President has been kind today, but will ask people to stick to the speaking time. Jan Tore Sanner – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e477	I think we all share the concern about the high price that children and young people have paid, both socially and professionally, under the pandemic. I agree that it is important that both students at school and young people at the university are given the opportunity to come back, but what we also need is a plan for how to help these young people over time. This has been pointed out in several technical reports and research reports. It is pointed out in the first report of the Corona Commission. There is now a coal coming from high school that has had two years during the pandemic and is now going to start at universities and colleges for the autumn. So my question is whether the government will plan how young people and children can be followed up over time, both socially and professionally, to deal with the deep wounds that the pandemic has created for many.
ParlaMint-NO_2022-01-19.ana.ud1e484	I think the representative Sanner is quite right that we're going to draw with us the late effects of this pandemic for quite a long time. Many people have lived in an exceptional situation, not only children and young people, but of course students as well. Some people even claim that there are quite a number of adults who have lived in an exceptional situation, which is now soon extending over a period of two years. I think the most important thing is that we manage to get rid of the pandemic and get into a situation that looks a little like the normal I see we all want to get back to. To take my field, which I can answer on behalf of: the recording, or the proposal, to make a plan to have an overall overview, both related to the status and challenges, and to what measures you can possibly take from the community to contribute as far as advice is concerned, I think it's a good and constructive input, which I'm going to take back from here.
ParlaMint-NO_2022-01-19.ana.ud1e491	We're going to go to the next main question.
ParlaMint-NO_2022-01-19.ana.ud1e496	Earlier this month, new export figures showed adventurous figures for Norwegian exports of seafood in 2021. In total, Norway exported 3,1 million tonnes of seafood to a value of more than 120 billion. kr. The farm was 71 pst. of the export value, while the volume was 44 pst. The potential for growth is also enormous, especially in the case of aquaculture. If we do the right thing here, we can increase production many times by 2050. Right is very concerned that we are able to trigger the enormous potential we have, that the industry can also in future create enormous values, produce good and healthy food and maintain Norway's position as the second largest exporter of seafood. If we are to do this, we must facilitate growth, development and modernisation. At the same time, we need to manage the various fish health and environmental challenges facing industry, such as salmon, waste challenges and land conflicts. On Monday 7 December 2020, Professor Ragnar Tveterås of the University of Stavanger presented the report ‘Value Creation Potential and Roadmaps for Marine Agriculture’. This and other reports show that marine potential and potential are very high. The Solberg Government has been very clear that a desire to facilitate aquaculture at sea and has worked well over several years to lay the foundation for a regulatory basis. Such new legal work takes time, and the legal framework is not yet in place. Justly, most relevant laws also apply in the Norwegian economic zone, but it is necessary to have specific rules that are specifically adapted to marine farming. The question to the Council of State is therefore: Can the Council state what time does such a regulatory basis — or legislation, if one is willing — come into place, and at least what timetable will it be worked on?
ParlaMint-NO_2022-01-19.ana.ud1e509	This is an important area. The marine industry is important for Norway. It provides high value creation, and it provides jobs in District Norway. If we are to achieve the growth that the government wants, and as I see a broad political majority in this Chamber want, we must increase sustainability. One element of it will be the success of marine aquaculture. That is why we are already working on a new regime for marine aquaculture. It's a work that has a high priority. I can give a timeline on that work when we have come up with something further. For me, it has been important to get that work going as quickly as possible, and I am satisfied that it has already started.
ParlaMint-NO_2022-01-19.ana.ud1e517	For aquaculture, it is important to get this in place as quickly as possible, for many reasons. Several of the breeding companies are already in operation, but in order to continue their activity, business operators need to be able to run and clear-cut. They are now facing large investments without fully knowing the rules and framework conditions that will apply to this type of activity. So I'm not happy that the Council of States can't give a time horizon today. The question is therefore: In order not to lose out on time and position in the industry, is the government prepared to establish a temporary permit scheme until a final one comes into place?
ParlaMint-NO_2022-01-19.ana.ud1e524	It is good to hear that impatience has increased since going from government position to opposition, for this is a work that had not started when I sat in the Council of State chair. It's going on now, so we've changed the pace. I want to make as high progress as possible so that this can be put into place, and that marine farming can get started. So, within what is defined as production areas, good opportunities already today to try out aquaculture in far more open areas than what we have traditionally had. It actually happens when we speak, so it's not like we're completely stuck. But I'm speeding up. I will also be able to inform the Storting properly when we have a schedule, and this work has a high priority for me.
ParlaMint-NO_2022-01-19.ana.ud1e529	It opens up for follow-up questions – first Linda Hofstad Helleland.
ParlaMint-NO_2022-01-19.ana.ud1e534	We would have liked to have yes or no if the Council of State wanted to initiate temporary authorisations for marine aquaculture. Then I would also like to ask about the conflicting interests that the Council of State is now trying to reconcile. The fishing industry contributes to over 18 000 farms along our coast, and they now experience, we hear, that their fishing areas are under pressure. Not least we also saw it in the consultation on the allocation of sea winds. Now we know that the government is delayed in view of the announcement of internal disagreement in the government about the cable, but that now requires wisdom to ensure the coexistence we depend on in order not to lose that value creation potential. So how has the Minister followed up the work of the Marine Wind Cooperation Forum? And is he also following up the work of a maritime dialogue forum to ensure closer dialogue between coastal communities, businesses, knowledge environments and decision-makers on maritime and coastal issues?
ParlaMint-NO_2022-01-19.ana.ud1e543	We're gonna make sure we have good dialogue. We also have very good dialogue between the departments responsible for this area. In the meetings I have had with the fishing industry, it has been pointed out several times that they also have bad experience. They felt little cared for related to one of the projects that the previous government landed, so there is a job to do to ensure good coexistence. We also have an approach in which we want to check whether marine wind and marine farming areas can overlap, and that we can also get that to where we have common infrastructure, where we ensure that we also have a smaller set of land. But the concern for fishing industry will always be important, and my goal is not to get into the situation that the previous government did, that there are still very bad examples of poor interaction.
ParlaMint-NO_2022-01-19.ana.ud1e548	Geir Jørgensen – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e553	Interestingly, the same government that is now distributing 53 new oil drilling permits, at the same time, is in favour of a large-scale sea-window construction, with the climate argument in the front row. Both of these bets are taking off the sea. The same thing makes plans to use 56 000 km 2 for new shooting areas. At the top of this is the plans for aquaculture at sea. It is often heard that industry and those who have invested have to be given predictability, and then the question is asked to the Council of State: when all these land-intensive plans appear to be realized, where is the predictability of the traditional conventional whitefish industry, which loses the area plan?
ParlaMint-NO_2022-01-19.ana.ud1e563	For me, it is absolutely essential that we be able to maintain the traditional whitefish industry when developing new industries and when other interests related to the sea come into being. I think we have a good starting point – we have a good governance and a strong tradition to achieve coexistence. But we also have examples of how bad it is when that coexistence is not exercised. In the government we have a very good dialogue and a good cooperation across the different departments that are responsible. In my role as Minister for Fisheries and the Sea, it is difficult for me that we have to be able to do this in the best possible way, so that we do not overstep the fishing industry.
ParlaMint-NO_2022-01-19.ana.ud1e568	Geir Jørgensen – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e573	I thank you for the answer and will now go to what was the main question from the representative Olve Grotle, about aquaculture at sea. Now we've got the first offshore marine installations, for example. a farm in Hadsel, Northern Ireland, where there has been a very high mortality rate in the two outposts – almost 30 pst. This is a big problem for not just offshore aquaculture, but for the whole industry. In 2020, 52 million dead salmon were registered in this industry. These are numbers from the Veterinary Institute. At the same time, we read in the Hurdal platform that the government is opening up to consider more criteria for the traffic light system, which today is solely about salmonmus. Will mortality be a criterion in a new system?
ParlaMint-NO_2022-01-19.ana.ud1e580	We will evaluate several criteria. What is about fish health will be an important criterion to consider for us. But the requirements for what should be criteria in the traffic light system are quite high. They have to be able to operate in a system that has to have objectivity, and it has to be measurable, so there is a lot of work to do in order to be able to land what is to be the new criteria in the traffic light system. But to me, it is absolutely essential that what is the most important system we have to ensure that future growth comes in those areas where the environmental impact is acceptable is further developed. We need to be sure that there is a system that works, that all parties can deal with, that is fair, that makes us achieve the goal of sustainable growth.
ParlaMint-NO_2022-01-19.ana.ud1e586	Let's move on to the next main question.
ParlaMint-NO_2022-01-19.ana.ud1e591	Reconstruction of the Defense was one of the main initiatives of the government of the Progress Party, and the acquisition and phase-in of new material and weapon systems was carried out in all defence sectors. In addition, a number of reforms and restructuring were initiated internally in many defence departments. The maritime defence carries out a general assembly when the vessel is to be put into operational operation. It gives status to the ship and to crew and equipment. The same has been done in other parts of the Defense. The size is being informed today by the government and the Chief of Defence's annual report. It only gives piecely and divided insights into the total capabilities and needs of the defence. Brigademønstringer will clearly demonstrate the capabilities of the defence, and the Stortinget will be better informed in terms of material, personnel, organisation and objectives. A general muster will detect any defects and will be clear and be able to be corrected. It will be useful for the work of the Storting and, at the same time, provide the now-reduced Defence Commission with an opportunity to assess the status of future needs and plans. The security policy situation in Europe is today more challenging than it is for a long time, and it is essential to demonstrate that the defence capabilities and capabilities are in line with the assumptions of the Storting. A general term will also show where the shortcomings are, and it will also show whether you need extra funding for the defence to achieve the goals you have set. Today there is no such mechanism. It goes from budget to budget and revised budget, but the targets do not necessarily have to be met, and there will be no extra money to achieve the objectives set. It's very unfortunate. My question to the Council of State is: does he see the need to make a general model throughout the defence, and will he take the initiative to implement this?
ParlaMint-NO_2022-01-19.ana.ud1e604	That's a good question to ask. The defence sector is governed by long-term plans to be made for four years at a time, where investments are decided by the Storting at the end of a period, in order to be carried out in the next period. There's this council of states of the opinion that there's a system that's a little small to also take care of the need for changes that come along, lag or things that you see need to be adjusted. It is one of the reasons why the government is now aiming to promote a cause for the Storting early in this period, precisely in order to be able to see whether it is necessary to make adjustments, but of course also to promote the changes that this government has announced in the Hurdal platform, for the Stortinget, where it is necessary to go to Stortinget with that kind of thing. To the question of getting an overall assessment of the status of the sector: it is a major effort to do so. However, the security policy situation is absolutely necessary both for the defence, for the Storting and for the government to have a good overview of the situation at all times, and what changes may be appropriate to make. So if we don't call it a general monastery, I'm at least prepared to assess the need or possibilities to report to the Storting in an even better way than what is usually done.
ParlaMint-NO_2022-01-19.ana.ud1e611	Thank you to the Council of State for a very wise and sensible answer. I have an additional question that goes into one of the same things, and that kind of just shows that it's such a need. This applies to the Northern Norway Brigade, which has been fed to materials in different categories for several years, but there are several projects that have been exposed, and it is therefore difficult to find answers to material status. What I want to know is what is the actual material status. I would think that a general lady would reveal what material status is, and then I wouldn't have to ask this question, but I'm asking it now, when not such a muster has taken place.
ParlaMint-NO_2022-01-19.ana.ud1e618	I cannot immediately answer what is material status in Brigade Nord, as the representative asks. I should be allowed to come back to that, if necessary. Having a good follow-up to the long-term plan and the investments adopted is, of course, a heavy responsibility both in the defence sector and in the ministry. I can assure the representative of that. One of my responsibilities is to follow up the decisions taken in Stortinget and to implement them in line with the wishes of Stortinget. It does not exempt me, the ministry, the defence sector or the Stortinget from making re-priorities or adjustments when one sees that it might be necessary. There is also an opportunity in the annual investment proposition, which is presented to the Spring Storting and where the status of the acquisitions being made is also reported.
ParlaMint-NO_2022-01-19.ana.ud1e625	It opens for follow-up questions – first the Haarek Rivers.
ParlaMint-NO_2022-01-19.ana.ud1e630	In 2013, when the government took over Solberg, the Maritime Defense was in a very serious situation. Vessels were at berth, crews were missing, spare parts were missing, parts were picked from individual ships and used on others. The word cannibalisation has been used about the situation in which the Maritime Defense was. In the state budget in 2016, the government granted Solberg approx. Three hundred and thirty million. kr for exceptional maintenance of maritime defence vessels. This also dripped into the maritime industry, and then Minister of Defense, Ine Marie Eriksen Soreide, said that this was a win-win situation, i.e. it served both the Maritime Defense and many local industrial companies. The question to the Council of State is: What positive effects do the Council of State see of the intensified maintenance carried out by the government of Solberg, which has continued in two long-term plans? Does the current government intend to continue the high maintenance effort?
ParlaMint-NO_2022-01-19.ana.ud1e639	It is a fact that there has been a significant strengthening of defence in recent years, and I have in various contexts given credit to the previous government for addressing some challenges with a lag that has been in the defence sector for many years. This government has the ambition to strengthen it further. It's clearly signaled in the Hurdal platform, and it's also shown in the budget for 2022, which is strengthened in relation to what the previous government put forward, so it's obviously our ambition for the future. The representative of Rivers is well-known that we are facing very large investments in the future. It's submarines, it's the maritime fleet, it's helicopter, it's tanks. We have many areas in which to make material acquisitions. Nevertheless, it is at least as important to maintain and take care of the equipment we have. It also provides opportunities for industry to cooperate extensively between the defence sector and the Norwegian industry. We also want to facilitate that.
ParlaMint-NO_2022-01-19.ana.ud1e646	Then we move on to the next main question.
ParlaMint-NO_2022-01-19.ana.ud1e651	We're still in a pandemic. Fortunately, leave falls, and more people come to work. It is now important to continue the work of the Solberg Government on the ‘Learn All Life’ competence reform in order to ensure that we have the right skills in place, in order to strengthen the competitiveness of the years to come. The NHO competence survey reports that six out of ten member enterprises lack labour with the right skills. So it's urgent. We need to make it possible for individuals to choose to take education and that there are enough relevant and flexible training services that can be combined with work. The first has been addressed by making the Loan Fund more accessible to adults who want to take education. The second is to make it easier for institutions to set up self-paid post-graduate education aimed at workers. Changes in the ability to re-use the content of regular study offers to develop self-payment education offers have been important to make it easier to put in place more services. However, this week the Council of State notified that they had notified the changes to the self-payment regulation that were due to enter into force from 1 January of this year is deferred until next year. It's interesting to know more about the assessments that have been made behind this decision, which means that a chooser is postponing new rules on self-payment. Could the Council of State explain the possible changes the government considers related to the self-payment regulation and further whether parts of the regulatory changes dealing with the possibility of reusing educational arrangements can be implemented as planned?
ParlaMint-NO_2022-01-19.ana.ud1e662	I think we all share the goal of both flexible education courses, the ability to connect to and pursue continuing education for good adult age groups later in the education cycle, and the mobilising of a larger part of the population related to closing the gaps in skills that we are clearly going to have in the Norwegian society in the future. It is also a topic that is very high on my agenda, and which we have already taken a number of decisions to put in place, including: reopening of the Nesna campus and a significant escalation in the specialisation of nurses and the number of nurses in general. With regard to the regulation to which the representative refers, it is my impression that the work of the previous government was speeding up. We have received a great deal of feedback from the sector that it is difficult to deal with, and that it could actually work counterproductively in relation to the own-payment charges. There are things that we need to consider, and look at, before we might choose to implement the regulation as it existed from the previous government, or we choose to make changes to it at the next turn. We have to get back to that.
ParlaMint-NO_2022-01-19.ana.ud1e670	I am not surprised that the sector does not have a bad time, but I am somewhat surprised that the Council of State does not have a bad time, for business, where one has workers who do not have the right skills, are the ones who report this need. Then it's thoughtful that the first government is doing is postponing something that could challenge the university and higher education sectors to open up this kind of education. Because today there are too few continuing training services aimed at business needs, and they need to move through both small and large flexible programmes that can be combined with work and family life. Norwegian working life places high demands on the knowledge and competence of workers. That's also one of our foremost advantages. We must then provide for the possibility of up-to-date and formalised competences, and there must be an offer that hits everyone. It is urgent, even in the university and higher education sectors, so I would like to ask the Council of State: how will the government ensure that higher education becomes available to people who are already at work and that universities and higher education institutions can facilitate the creation of educational facilities for those who are at work?
ParlaMint-NO_2022-01-19.ana.ud1e677	I am extremely uncertain whether the regulation adopted by the previous government would have worked according to the purposes set out by the representative here. I believe, on the contrary, that there is a pretty great chance that it could have been counterproductive, and that it would have been given a smaller range of exactly the educational courses and training mechanisms that are requested here. However, there is something that the government and I need to go a little deeper into and evaluate, and that is why we chose to postpone this amendment. Otherwise, as far as the more general problem is concerned, we have announced a full review of the Law on Higher Education. We're going to go through the funding system. I think the funding system for the sector is going to be very central to how to achieve the goals and needs of society for continuing education. Then, of course, it's also about looking at both the dimensioning and the configuration of our systems for higher vocational education and the vocational education system. All those things are announced in the Hurdal platform, and all those things are going to be presented to the Stortinge in the next year and the year after.
ParlaMint-NO_2022-01-19.ana.ud1e684	The oral question procedure is now over.
ParlaMint-NO_2022-01-19.ana.ud1e698	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 1, from the representative Bjørna Moxnes to the Prime Minister, has been transferred to the Minister for Labour and Inclusion. Question 3, from the representative Ingerd Schou to the Minister for Foreign Affairs, must be postponed until the next Question Time, when the Council of State has left. Question 15, from the representative Hege Bae Nyholt to the Minister for Culture and Equal Opportunities, has been transferred to the Minister for Children and Family, who is directly responsible. Question 17, from the representative of the Minister for Agriculture and Food, Mr Steffensen, has been withdrawn. Question 18, from the representative of Ingunn Foss to the Minister of Justice and Defence, has been withdrawn.
ParlaMint-NO_2022-01-19.ana.ud1e718	This question, from Bjørna Moxnes to the Prime Minister, has been transferred to the Minister of Labour and Inclusion.
ParlaMint-NO_2022-01-19.ana.ud1e723	‘In the election campaign, the Workers’ Party presented a 100-day plan with 40 proposals that the current Prime Minister’s party would work to bring forward a new government within 100 days. On 22 January, the Støre-regierung has been sitting for 100 days. Parts of the plan have been implemented, while several points have been followed up only partially or poorly. There are several points that should have been implemented. How will the Prime Minister ensure the action needed to comply with the 100-day plan, and when will the Prime Minister see that the 100-day plan will be fulfilled?’
ParlaMint-NO_2022-01-19.ana.ud1e730	I thank you for the question and the opportunity to talk about the Labour Party's policy. As the representative of Moxnes is probably aware, it is the Hurdal platform – which the government has presented to the Stortinget – that we must govern. There the representative naturally finds the Workers' Party and the Center's most important things. I would like to talk about how the government has spent the first 100 days. For example, we have promised fairer taxes, where those who have the most have to pay more in taxes, including that we should protect them with revenues below NOK 750000. That's what the promise has to do with hold. We promised a double of the union deduction. We have put forward that, it is agreed by Stortinget that it will be implemented. We also promised an increase in the commuting deduction, so that the equity would go down to NOK 15 000 – but here I am forced to report that we are overfulfilling. And the fact is, it's even lower, it's $14,000, which is a thousand more than what we actually promised. It means something to the wallet, it means something to the everyday expenses of a lot of ordinary lives around the country. The same also applies to reduced kindergarten prices, with DKK 2800, which are also proposed and agreed in the Stortinget. It means more justice, that means more social distribution. It shows very clearly that the country has received a labor party-led government, which has also given the country a new course. In my own field there have also been important changes. The big business in the world of work is in progress. The proposal to remove the general aspect of temporary additions has been submitted. The proposal to reintroduce collective redress is right around the corner, it's coming soon. The proposal to streamline the use of hired labour is now out of the question. It's the same thing about strengthening the right to a full-time job, which we've also been listening to. Together with our friends in SV, we've also been freed from the unsocial cuts from the Right and their friends. We have reinstated the holiday money for the unemployed. We have straightened up again cut in the spectacle support for children. We have also prevented people on the redundancy scheme from falling out of the pandemic scheme. Today is Wednesday, and on Saturday the government has a seat for 100 days. This government is working full weeks, so here it can still come deliveries in the form of suggestions. But the real changes are those that are being made near people across the country – and that they can see that there is now a clear new direction for the country, that it is a government that has different priorities than Erna Solberg, which made the richest even richer. I believe that I can, on behalf of the Prime Minister, promise that this government will continue to influence its work in the future.
ParlaMint-NO_2022-01-19.ana.ud1e743	You have to listen to self-crust, it comes from the heart. Red supports many of the points in the 100-day plan, and it is good that the government makes good suggestions, last but not least to bring the crew agencies out of the construction sites around Oslofjord – important. But then many are impatient. In the fall, the left-hand side made a record choice with a historically strong majority for a new and fairer course for the country, as it says in the Hurdal platform. There are 100 mandates behind the shift, which the government could mobilise to a greater extent in order to ensure the effectiveness of cleaners, taxi drivers – for all those who need dental reform and strong common well-being across the country. So the question is, how will the government use the large majority to ensure more force and clearer direction throughout the period?
ParlaMint-NO_2022-01-19.ana.ud1e748	I have to admit that this thing also came from the brain, but it can happen that the heart was involved, because it's clear that these are things that matter to a lot of people around our country. Then I have to remind you that Red was the only party that went to the election that they wouldn't be in government, that they wouldn't have power, that they wouldn't have responsibility. So it's like the government is executive, you know, Moxnes, and it's in the exercise of the power of action, in being able to work out and make suggestions that mean something for ordinary lives around the country. We've shown that we do, we've shown it in the central area, we've shown that we're following up a lot of what makes up the 100-day plan. And I remind you that there are still a few days left to deliver part of what the representative asks for. When the representative himself says that there are some things in the 100-day plan he can support, I thought it was a pleasure. I hope that other party can do that too.
ParlaMint-NO_2022-01-19.ana.ud1e755	Red puts power and influence ahead of positions. That's our position. We want to make a big change in Norway and want to push and push the government in the right direction to bring about the change that a large majority has voted for in the autumn elections. An example of this is the promises made by several teams about free dental health – here only a few years old get 50 pst. Discount – and it is by redistributing from those who buy the most expensive electric cars to those who live in parts of the country without any real possibility of using an electric car. Yesterday, Støre was quoted in the VG as saying that it was never the goal to achieve all the 100-day plans. But election vows that are concrete and have a deadline are mandatory. So how will the government make proposals on those points that were not prioritised in the budget?
ParlaMint-NO_2022-01-19.ana.ud1e760	The representative from Red must of course think that position is irrelevant, but position also has something to do with power. I only record that the Red Party has chosen to choose that they will not take the responsibility of exercising power – that of sitting in government, drafting proposals and submitting them, as the Labour Party and the Central Party have done a lot in cooperation with the Swedish Government. As I said, Saturday is our 100-day date. This means that we can assume that there are some other things that will be delivered in the next few days. It has been important for me and everyone else who has had the 100-day plan at hand – he has distributed and been dedicated to having him implemented – and not least for all those who have accepted him and have had expectations for us, that this is something we are going to give priority to. I can make sure that we do that. It also shows the Hurdal platform. The majority of what is in the 100-day plan will be reflected in the government platform.
ParlaMint-NO_2022-01-19.ana.ud1e770	‘The Government has notified the reintroduction of collective redress rights for trade unions in the event of illegal rental. This means that both members and non-members may experience that the union is going to court on the basis of their employment. Does the Council see any problems in the fact that a trade union can take legal action on behalf of someone who may not want to do so?’
ParlaMint-NO_2022-01-19.ana.ud1e777	Studies indicate that there is a breach of the rules on living quarters in parts of the world of work. Such offences are unfortunate, not only for the individual worker, but may also have social consequences. There is some reason why the government has warned that collective legal rights for trade unions should be reintroduced in the same way that that court previously found. The proposal is part of a comprehensive policy to promote fixed additions, directly in the enterprises, to strengthen organised labour and to fight down social dumping and labour-life crime. It is the peculiar imbalance of power that exists in the relationship between one that is rented, on the one hand, and the tenancy and manning agency on the other, which also contributes to creating the need for collective redress. These are employees who like to have short-term contracts, and who, in fear of losing new jobs, may be anxious to deal with issues related to violations of rules or health, the environment and security are not adequately cared for. At least I've met people who have told me that they've hesitated to mention that they want to do union work, because they've been hired, and they've been afraid to lose a job if it was known in the company that they want more people to be organized. We also know that few of the residents are organized, and it can be demanding in many ways to go to court on their own. I don't think we can expect illegal tenants to be challenged by unorganised people with short-term tenants who are concerned about their contract. As far as the representative Molberg is concerned, I would like to stress that we are well aware of the argument that not everyone who is hired necessarily wants an action on their own living conditions. Of course, we have also considered this. However, if we want rules here, it is a matter of course. that the use of hired persons has an impact on the entire working life. Collective legal proceedings shall concern and exercise the interests of the individual lessee in a specific case. It's about the seventh and last thing about what kind of work we want, and not least about being able to protect the individual from being in such a situation, which can be a very stressful situation. You must not forget that such a rule will be taken as an advantage for the lessee. It is a follow-up from the trade union's side that can help to make a fixed addition or that one is replaced as a worker. There is also reason to believe that the lessees and trade unions in the vast majority of cases will also have common interests in determining whether the lessees are illegal or not. There is some reason why the government believes that the proposal is both necessary and well-founded.
ParlaMint-NO_2022-01-19.ana.ud1e790	I thank you for your answer. I also understand the objections of the Council of State to this. But there was a reason why the government of Solberg removed the possibility that trade unions could take legal action. The background for it was simply that it is worrying that someone other than the one in question could go to court on behalf of someone who might not want to do so. The Association of Lawyers has been quite clear that such a rule may violate the right to a fair trial and it may violate Article 11 of the European Convention on Human Rights on Negative Freedom of Organisation. The representative Mimir Kristjánson referred earlier in this room to the author Franz Kafka, and I allow myself to do the same. I remind you that Kafka has written an entire novel about what it's like for a human being to experience being part of a trial that you haven't asked for. Will the Council of State consider at least the modernisation of the proposal, so that only those who are members of the trade union are covered by the proceedings?
ParlaMint-NO_2022-01-19.ana.ud1e803	When the representative of Molberg recalls that there was a reason why the former Prime Minister removed this rule, I would remind the representative that there was a reason why he was initially introduced. The representative Molberg refers to one recording by one actor, but I'm curious about what the representative Molberg and the right party think about, for example. The Labour Inspectorate and the Petroleum Inspectorate, who are very clear in their hearing recordings, give feedback that it is difficult to supervise the legal basis for tenants, that it is difficult to find out what is involved in illegal accommodation. They would like to welcome collective redress as an instrument. I would also like to know what the representative Molberg thinks, for example. an important and serious actor such as State Building itself, after a review of 40 of their contracts, that it has been found that in 50 p.m. Of these cases, it was difficult for them to do the same for the legal basis for the residence relationship. Does it not show in a very clear way that there is a need for a bigger system of follow-up of illegal accommodation?
ParlaMint-NO_2022-01-19.ana.ud1e808	I think the Association of Lawyers is a special heavy body to which attention should be paid, especially when it comes to the principal aspects of this question. Let me make it clear that the Council of State and I share the desire to defeat unprofessional actors in the world of work and illegal renting. There are many ways in which we can pursue this, for example. increased supervision may be an option and, through its trade union, individuals may also receive legal assistance in bringing legal proceedings. Nor have the courts refused to allow trade unions to bring actions under the general rules of the Arbitration Act on behalf of their members. So my last question to the Council of State is: Why does the government not consider today's instruments to be sufficient, when the option is to introduce a rule that can be felt quite intrusive for those who do not want to sue their employer?
ParlaMint-NO_2022-01-19.ana.ud1e813	I have to admit that I think it's a little provocative when a representative from the Right says that this can be a solution with increased supervision. Has she not read the annual reports of the Labour Inspectorate over the last few years while Erna Solberg has been in government? Hasn't she seen that there's been a development there that doesn't necessarily make it easier to discover relationships as illegal lodgers? It is also quite provocative to hear Molberg's representative talk that trade unions can play a role instead of through collective redress, when the previous government made it more expensive to be professionally organized over the eight years they ruled this country, while we have also strengthened the position of trade unions, by proposing to double the trade union deduction now in two years. It is clear that organised working life is part of the first line of defence against unprofessional practices, and collective redress will help to strengthen it. I have put great emphasis on the feedback we have received – I kept telling our own supervisors – the Labour Inspectorate and the Petroleum Inspectorate, who are asking for this and say that this will be an important tool.
ParlaMint-NO_2022-01-19.ana.ud1e831	This question has been raised.
ParlaMint-NO_2022-01-19.ana.ud1e839	‘The 100-day plan of the Workers’ Party for a new government states that the government shall submit proposals to terminate the privatisation of the clean-up team in the Defence within 100 days. What is the status of this proposal, and can the government guarantee that it will take place through the transfer of activities, in consultation with the trade union movement and in a way that respects the rights of employees and improves the purity of the defence?’
ParlaMint-NO_2022-01-19.ana.ud1e846	Let me first point out that the government's basis for the work we do is the Hurdal platform. The working party has a 100-day plan. That said, the Hurdals platform states that the clean-up service should be returned to the Defence with the use of its own employees. That work is well under way in the Ministry of Defence. There is extensive work, and therefore it has not been possible to do this during the first 100 days. Defence construction will carry out its mission – with the support of other agencies, they will be given the task of implementing it after all investigations have been carried out in the Ministry of Defence. So that work is now well under way. I can ensure that human resources are respected and that both the rights and obligations of the personnel concerned are respected in line with the law and the contract work, including those related to the business transfer. Defence sector purity covers about one million square metres. This makes the assignment one of the largest clean-up deliveries in Norway. Many are affected. There are many contracts that are to be cancelled and replaced by own employees. Therefore, the return of cleanness to the defence requires careful planning in order to ensure a good transition to the new regime and where both quality and efficiency requirements are properly met.
ParlaMint-NO_2022-01-19.ana.ud1e855	I thank you for the answer from the Council of State, and I am glad that the government of the Hurdal platform has made it clear that the clean team in the Defense will be taken back. This is a privatisation process that has been so unhappy that several buildings in the defense had to be closed because they were too dirty, and so unhappy that the previous defense minister, Frank Bakke-Jensen from the Right, at some point took the clean-up in his own offices because he was not satisfied, while the ISS continued to wash for the rest of the defense. That's a reason we're impatient – not only in Red, but also among those who work with cleanness in Defense. I will try to ask the Council of State again: When is it possible to expect that a decision can be made to ensure that these are taken back in public?
ParlaMint-NO_2022-01-19.ana.ud1e862	The decision was taken at the Hurdal platform and the work is well under way. I would like to ask for respect for the fact that in the kind of agreements that have been concluded, there are both cancellation periods and conditions to be taken into account in view of the employees who work in these companies that are currently on the job. So this is necessarily a matter that needs to take some time. So I don't want to go into characterizing the work of the companies that have had these assignments. For the government, it's a goal of improving quality. It shall be done with its own staff and implemented — implemented — as quickly as possible. That work was actually started in the department almost one day after the government change. But as I said, this is a kind of thing that takes time – it's a huge and extensive work. It's a large area, there's a lot of contracts, and in all of these contracts, there are different notice periods.
ParlaMint-NO_2022-01-19.ana.ud1e869	I thank you once again for your answer. I have no doubt that the government quickly started this work. It is quite right that the Council of State points out that in such contracts there is a certain period of notice. That's why it's a little strange to introduce to the voters that this should be done within 100 days, but I understand that it's not the council that's to be charged for, because he's from the Central Party. The concrete question in this context is: What is ‘some time’? What's the deadline you're waiting for – what's the notice period we're talking about? When can we expect that this promise made by the government, both the Central Party and the Workers' Party, and the Hurdal platform will be implemented?
ParlaMint-NO_2022-01-19.ana.ud1e876	I think I'm not going to date it, because I don't actually have an overview of it – the different agreements and when they can be transferred and taken care of by my own employees. My response to this must be as quick as is practicable. That's the government's goal, and that's what we're working on.
