ParlaMint-NO_2022-03-02.ana.ud27e28	The representative, Tobias Drvland Lund, will make a proposal for a representative.
ParlaMint-NO_2022-03-02.ana.ud27e552	It is, as it was said, a brutal war, and the reports we get from there make a strong impression. Ukraine's inhabitants are hit very hard. The representative then argues that this also affects the energy market. It is also partly a misguided policy, precisely because the sanctions that we have agreed on also affect the energy market as such. As far as the assessments are concerned, there is no doubt that the most important thing we can do to keep prices down, because they are driven by gas prices, which are now high, is to invest more in renewable energy. I have good conversations with my colleagues in Europe about how we should do it, but it is clear that they are still quite dependent on gas. As I said earlier, our main role there is to be a stable contributor to the gas market. We have an offensive attitude in Norway when it comes to, among other things. sea wind. We believe that it is one of the important things we can do to get a lot of new energy on Norwegian base, renewable energy. There we have now given a mission to find new areas in addition to the Southern North Sea and the Utsira North. Then we have to look at how we can start a concession treatment related to wind power. There we have the formulations, to which the Storting has joined, about local anchoring, and we're working on it. We're also going to look at upgrading existing hydropower plants. Then we have to work with Europe to help them also have a holistic view of this.
ParlaMint-NO_2022-03-02.ana.ud27e563	I think it would make sense if the Minister of Oil and Energy would eventually come back to the Storting and give a broader explanation of the consequences of this, if – as it looks now – the war persists for a long time. It is not given that this is over in a short time. In any case, the sanctions regime will be in place, but war acts in Ukraine may also continue for a long time and may have major consequences for the energy markets in Norway and in Europe, above all. But I'm glad the Council of State is pulling out the sea wind and the potential there. Will it now be appropriate, in the light of the current situation, to provide for the development and announcement of phase two on the Southern North Sea II, which is the most advanced project and is the closest to being realized? Can we also expect that Utsira Nord will be forced as a result of the current situation?
ParlaMint-NO_2022-03-02.ana.ud27e570	We work as fast as we can with sea wind on Norwegian Sockets and Southern North Sea II and Utsira Nord, and have declared these areas. What they're going to look like is now at the hearing. So we'll get back to it, and I'll do everything I can to get us started quickly, and that we can also expand more than the areas that lie there. Then I would like to comment that it is difficult to predict how this will turn out in the future markets. But I want to be very clear that the government has also set up for ordinary people here at home, with the power support system. And I want to be clear that we're going to continue to set up in the future as well. It's a little too early to finally conclude on what kind of consequences the sanctions and Russia's invasion of Ukraine have for the gas price, but I'd like to come back to talk more about it.
ParlaMint-NO_2022-03-02.ana.ud27e577	There will be follow-up questions – first Nikolai Astrup.
ParlaMint-NO_2022-03-02.ana.ud27e582	We agree that sea wind can become an important piece in this, we agree that Norwegian gas is important, and we have to keep pressure on it, and there have been many rounds of it earlier today. We also agree, I think, that in the short picture, Europeans cannot fire their gas stoves with heat pumps. They must also have gas supplies. But some of what we can contribute to is more sea wind. The additional energy message has still not been provided, and it is therefore not too late for the government to determine, in the supplementary message, that phase two of the Southern North Sea II is to be expanded with hybrid cables, and that we can get started with that process as well. So my question is: Is it not relevant for the government, or is there any government now going to consider in the light of the fact that the situation is completely different from that of the government when the members of the Vippetangen were standing on top of the sea wind and put forward the bet on the sea wind earlier this winter? And will it be relevant for the government to continue the power support system, in view of the fact that we can expect very high current prices in the future?
ParlaMint-NO_2022-03-02.ana.ud27e589	What's very important for me to clarify is that it's the first phase of the 1,500 MW we've said we want in a radial to Norway. Then the Ministry of Oil and Energy, by me, has sent a mission to the NVE to assess this. It is exactly the same thing as the previous government announced in the Energy for Work paper, which was presented in June, that this needs to be investigated, and we have done so. We'll get back to that, and it'll also be mentioned in the Energy Communication. But that mission, along with identifying new areas, has been sent to the NVE. So it's going on.
ParlaMint-NO_2022-03-02.ana.ud27e594	Ove Trellevik – for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e599	As a result of the war in Ukraine plan the EU now for that 40 pst. of the gas they import from Russia, not coming. The European Commission has also pointed to natural gas as an important source of the energy transition Europe is going through in order to achieve the climate objectives. In addition, of course, there is a very strong focus on renewable energy. Norway should have had a strategy to contribute more to security of supply in terms of both gas and sea wind energy to the EU. But it looks like it's a little bit different strategy. Gas pipes to the continent are quite ok, but hybrid cables create very big debate in the government. But why is there such a big and fundamental difference in strategy in these areas when the EU is asking for both?
ParlaMint-NO_2022-03-02.ana.ud27e605	In 2021 Russian gas stood for about 32 pst. of the gas consumption of the EU and the United Kingdom. As I have just explained, the government has commissioned the NVE to determine the network solution to be used for the next 1500 MW on the South North Sea II. After the NVE has investigated the effects on the power system of different sea wind connection solutions, we should consider this. We don't want to stop at 3000 MW on the South North Sea II; we want regular opening of new areas in the future. Therefore, a thorough investigation of the marine network is important. We must have plans for the necessary capacity, so that the actors also know what they have to do with. We're busy working together. The previous government also pointed out that we have to investigate the effects of this, and that is what we have started. Then we'll decide when we've got the investigations.
ParlaMint-NO_2022-03-02.ana.ud27e610	Let's move on to the next main question.
ParlaMint-NO_2022-03-02.ana.ud27e615	I am delighted to welcome the Minister for Transport to Question Time. The Minister for Transport has a written question, No. 1241, by Terje Halleland from the Progress Party, with an overview of the road project mentioned in NTP 2022-2033 and the road project mentioned in the Innst comments. 653 S for 2020-2021, starting during the first planning period. The Minister of Transport has done well for what the State Road Administration has put into its implementation plan for the period from 2022 onwards, which shows that the State Road Administration has not taken into account that Stortinget’s plurality wants the following projects to start early in the first planning period. It applies to rv. 282 Holmenbrua, rv. 15 Styrnefelt with arm to Geiranger, E34 Bakka–Solheim, E14 Stjørdal–Storlien, E39 Vågsbotn–Klauvaneset, rv. 13 Vikabergellet and E16 Ferne's south hand. Is the Minister for Transport behind the State Road Service's proposal for an action programme?
ParlaMint-NO_2022-03-02.ana.ud27e622	It is important to note that what the State Road Administration has presented is their implementation plan. It is their interpretation of Storting's treatment of the national transport plan. It's true, as the representative Sve says now, there were also a number of sections that had a majority behind them in the Stortinget. What's also worth noting is that there wasn't a single majority on how to finance these projects. But what I have recently written to the committee, on request, is that we now want – in the light of the mission that Stortinget has given us, that we should go through road standards and how we should develop roads – to also look at the entire portfolio. That is, I want to come back to Stortinget with an assessment of the projects for which there were majority comments.
ParlaMint-NO_2022-03-02.ana.ud27e627	A large majority in Stortinget has been very clear on these eight projects. These are potable projects where it is more than ready to use full gas when it comes to planning. That is what the party of the Council of State, the Labour Party, has also said in the Stortinget. So my further question is: is the Council of State really behind the position of its own party in Stortinget, or is it the state's road system that kind of governs the government now, and that governs what development should be like? Because it is very special that such a clear and clear order from Stortinget is not carried out by the State Road Administration. This is an important road project that has a wide number of people behind it. So is the Council of State standing behind its own party, or is it the State Road Service that rules?
ParlaMint-NO_2022-03-02.ana.ud27e632	I've just said that we're going to take the entire portfolio, that's what there were majority comments behind, into an assessment and come back to the Stortinget about how we're going to handle these projects. Then I have to repeat that it wasn't a total funding of all those projects. But I agree that there are a lot of important projects here. Some of these projects have also been identified by the State Road Service as planning projects for the next phase. So we're going to get back to Stortinget with it in the appropriate way.
ParlaMint-NO_2022-03-02.ana.ud27e637	Let's move on to the next main question.
ParlaMint-NO_2022-03-02.ana.ud27e642	It was quite right that the Minister of Transport stayed standing, it is nice to see him in the oral questioning. We go a little further where Frank Edvard Sve ended, because the Minister of Transport says there was a little bit different funding of the NTP between the different parties. That's right: the Labour Party and the Center Party added extra billions to the planning framework and was very eager to bring in more projects. There were ten-to-twelve projects listed, but there were six projects on which the main agreement was to be implemented. Then the Minister of Transport has so much black that the Road Administration has pointed out something else, and that they are now going through the portfolio. So what I'm really wondering is: is it now that the agencies kind of govern the Minister of Transport, or is it he who governs the agencies? It also seems to be the case in other questions: Avinor is referred to when important decisions are to be made on aerodromes, for rail it refers to what the stations have responded to, etc. So is it that the Council of State has abdicated and left to the institutions to design the transport policy?
ParlaMint-NO_2022-03-02.ana.ud27e651	I'm standing here, so I've barely abdicated. It is that the Storting, on a proposal from the previous government, has approached what we call portfolio management. In other words, the way you think about it gives both the State Road Service and the Bane NOR a greater degree of freedom, in the sense that it's going to work with portfolios. It's because history has been such that we have had a number of unfortunate examples of cost gaps and projects that have been difficult to implement. Therefore, the portfolio management tool has come up and forth. This means that the agencies have a greater degree of freedom to prioritise within the total portfolio to which the Stortinge has joined in connection with the national transport plan. So it will be – as it always is – so that corruption and government prioritize by presenting the major projects to the Stortinget for treatment, with cost frameworks and everything, and then the Stortinget makes decisions in a normal way.
ParlaMint-NO_2022-03-02.ana.ud27e660	Thank you for that answer. I can take a concrete example. The council has just been asked by SV about the progress of a known project for some of us, Ringeriksbanen. The Council of State answers that start-up will take place in 2024 — at the earliest — or in 2025. On 9 September, a current prime minister, Masud Gharahkhani, said: «From the Workers' Party we are crystal clear that the work on the Ringerix track will be started in 2022. We are the best guarantor for a quick start." It seems that the election promises have been forgotten, that the NTP’s majority comment on following the planned progress plan is parked, and that the entire NTP is now moving away from Storting’s decision. What's happened? Is transport a priority, or is the cost of reversing the rail reform so high that it will mean postponement of important railway projects?
ParlaMint-NO_2022-03-02.ana.ud27e670	That's when the granddaughter's president is excited about the answer. State Council Nygård – please. [[Laughter]]
ParlaMint-NO_2022-03-02.ana.ud27e678	It is now the case that, in the case of the Ringeriksbahn and the FRE16 project, the previous government has given it the project to New Roads, and part of that mandate and agreement is to review and optimise the projects in order to reduce costs and benefit. That's what you're working on. In connection with the national transport plan, it has been noted that there is no desire to delay the process, but from my point of view there is nothing else to report on the progress than that there is 2024 Stortinget at the time had as possible the start of the Ringeriksbahn.
ParlaMint-NO_2022-03-02.ana.ud27e685	There will be follow-up questions – first Erlend Larsen.
ParlaMint-NO_2022-03-02.ana.ud27e690	It may seem that the new government leaves the national transport plan in more areas than the examples just mentioned by the representative of Greece. In Bodø, there is a expectation that a new aerodrome will be built so that areas will be freed for the necessary urban development. I understand that two years of Korona has weakened Avinor's ability to make investments, but this is more than Avinor's ability to contribute. This is about social development, not least as a result of the withdrawal of the defence from Bodø. Then the government must mean something, and what they think about new airport in Bodø seems very unclear. In January, Avinor announced that a new aerodrome had been delayed to 2029. A little later, in a speech in Tromsø, Prime Minister Støre said that they should keep the schedule by 2027. This timetable has not been confirmed by either Prime Minister or Minister of Transport, nor in response to a written question I recently sent to the Council of State. Can the Council of State answer yes or no if the government has a plan to complete a new airport in Bodø in 2027?
ParlaMint-NO_2022-03-02.ana.ud27e699	Let me first say that we agree that ‘New City — New Airport’ is an important measure for Bodø and for the region, and we are very aware that the Stortinget has made a decision to move on with that project. It is also important to note that in the decision-making basis and the size at that time it was very clear that Avinor was going to take the final decision. It was obvious to everyone, I think. At least it should be clear to those who tabled that draft budget, that is to say to the previous government, and we did not make any changes on that point. It's really no secret that Avinor's economy is stressed and stressed by the pandemic. I think they're all going inwards. This means that Avinor has chosen to postpone a number of projects, including this. Then we've said from our side that we want to have dialogue with Avinor and follow that situation closely, and we'll of course see how we can get this project going in a good and planned way.
ParlaMint-NO_2022-03-02.ana.ud27e706	The oral question procedure is now over.
ParlaMint-NO_2022-03-02.ana.ud27e720	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 1, from the representative Rasmus Hansson to the Minister for Fisheries and the Sea, must be postponed until the next Question Time when the Council of State has left. Question 2, from the representative Ingerd Schou to the Minister for Development, must be postponed until the next Question Time when the Council of State has left. Question 5, from the representative of Marius Arion Nilsen to the Minister for Climate and Environment, will be answered by the Minister for Industry on behalf of the Minister for Climate and Environment, who has been away. Questions 6 and 7 from representatives Terje Halleland and Rauand Ismail respectively to the Minister for Climate and Environment must be postponed to the next Question Time when the Council of State has left. Question 22, from the representative Seher Aydar to the Minister of Health and Welfare, will be raised by the representative Bjørn Moxnes. Question 27, from the representative of Ola Elvesuen to the Minister for Economic Affairs, is proposed at the request of the Minister for Economic Affairs to be moved and answered in response to question 5, to be answered by the same Council of State.
ParlaMint-NO_2022-03-02.ana.ud27e748	This question is postponed to the next Question Time when the Council of State has left.
ParlaMint-NO_2022-03-02.ana.ud27e762	This question is postponed to the next Question Time when the Council of State has left.
ParlaMint-NO_2022-03-02.ana.ud27e770	‘In a statement in the Defence Forum on 6 February of this year, it appears that the scope of unaccompanied foreign service, course or education posts, known as ‘functional absences’, has increased. How will the Council of States follow up to reduce this functional absence?’
ParlaMint-NO_2022-03-02.ana.ud27e777	Thank you for the question. It is quite right that there are not insignificant challenges of absenteeism in both education, training, leave and other internal conditions. It's something that every business has to deal with and plan for, because it's not just in defense, it's most of the way of working. So the defense must also be prepared for this. The Government is concerned that the Defence shall have a robust staff to meet challenges as such. That is why we also want to continue the ambitious multi-annual escalation plan for the Defence Operational Departments. This will also help to reduce the challenges of absenteeism. At the same time, it is important for me to stress that regardless of the manning situation, it is the defence and the responsibility of the individual head of department to provide the service in a way that ensures both health, the environment and safety, and that the activity is put at an adequate level. I am sure that the Defence and Defence Commissioners will take the best possible care of this. The Ministry of Defence will follow up the defence through the administration, and the defence is among others. entrusted with reporting without delay on material risks and deviations from the objectives and tasks of the establishment, so that they will emerge from the letters of assignment and from the instructions of the Defence Officer. It is also important to focus on the balance between tasks and resources allocated. The ambition of the government to step up with several annual works is therefore essential to reduce the challenge we face.
ParlaMint-NO_2022-03-02.ana.ud27e790	Thanks for the answer. It is particularly important at these times that the defence has a maximum focus on its core mission, and then it is particularly important that the positions are occupied to the greatest extent possible. Is it possible to say what this absence may mean by reduced operational capability and, where appropriate, preparedness?
ParlaMint-NO_2022-03-02.ana.ud27e795	Unfortunately, it is not possible for me to be precise on that on the standing foot. However, in the current situation, it is particularly important that the different departments in the Defence Department are aware of this and, if necessary, postpone the course or other absence that may be postponed, in order to have sufficient operational capability and preparedness in the situation we are facing.
ParlaMint-NO_2022-03-02.ana.ud27e800	Also in the defence, it is important that skills are filled and further education is provided. However, I have seen from some other public agencies through reports that there has been little agreement between the further training you have taken and the use you have received for it afterwards. So the question is: Will the Minister take a more thorough look at this competence need – what are the competences that are more ‘nice to have’ and what are the competences that are ‘need to have’ – just to strengthen the overall competence of the defence?
ParlaMint-NO_2022-03-02.ana.ud27e805	That's a very good question that's being asked. The defence has a special challenge with some of the employment relationships that, as we know, expire at the age of 35, where we have someone who has a shorter commitment, and who in this context also gets a lot of training and education to facilitate a future career after the Defense. I think that is also important to be continued. But this is a topic that we have to focus on, because it is important to have relevant refresher training, relevant training and education, while at the same time trying to facilitate those who will not be able to complete their entire professional career in Defence.
ParlaMint-NO_2022-03-02.ana.ud27e815	‘Maritime helicopter wings only plan to deliver approx. 200 days with NH90 to Coast Guard in 2022. This is far below ambition, and the NH90 remains a capacity that poses major challenges. In the following years an upgrade of the NH90 fleet, Block 2, with a cost estimate of 1.3 to 1.8 billion, is planned. kr towards 2028. Upgrading military materials is, as you know, very resource-intensive and reduces availability and capacity. How long will the Block 2 upgrade take and how will it affect the availability of the NH90 fleet?’»
ParlaMint-NO_2022-03-02.ana.ud27e822	I have to say I share the Elves' concern about the availability of the NH90. We've also been on this topic in a previous questioning session. The availability of the NH90 in 2022 is very worrying, and so are the prospects for the next few years if we continue on the same track that we've done up to now. But I do not intend to continue in the same track as before. That is why I announced on 9 February that I would like to look at the entire maritime helicopter capacity and what kind of action space we have. I don't exclude going away from the NH90 in this context either. The defense, supported by the Defence Equipment and the Defence Research Institute, has now launched assessments of the entire maritime helicopter capacity. The aim is to provide a sound solution for the future. However, we must be prepared that it will take some time. The Ministry of Defence has received an assessment and recommendation regarding the lease-in of helicopter capacity to the Coast Guard in addition to the NH90. It shows that renting may be relevant as one of the options for parts of the Coast Guard tasks. The defense recommends that the rental issue be included as part of the assessment in the overall review of maritime helicopter capacity. It has also instructed the Ministry of Defence to do so. It will, of course, take some time before those assessments and recommendations are in place. At that time we have to use it in such a way that, in the future, we will have a proper maritime helicopter preparedness. So the question about Block 2. There is some uncertainty about this upgrade of the NH90 helicopters. This applies both in project planning and as a result of the overall assessment of maritime helicopter capacity. If this upgrade is recommended, the Magnitude will be promoted for approval. Any Block 2 upgrade will also adversely affect operational availability. It is therefore important to work to reduce the negative impacts as much as possible. Preliminary evaluation of the timeline suggests a two-step approach to the development of solutions from 2023 at the earliest. The upgrading of Norwegian NH90 is likely to take place at the earliest in the first half of the 2030s. This describes a little bit how challenging this situation is.
ParlaMint-NO_2022-03-02.ana.ud27e833	Then I understand the Minister's answer to that that you have not taken a decision on whether to start the Block 2 upgrade. And if it was to be launched against assumption, it would come at a later time than what you had first planned for. That's to the point of clarifying, but my question is, when will you decide whether to take this upgrade, and have the minister or department reflected on what can alternatively get out of the 1.8 billion. kr, e.g. for the purchase or rental of other helicopters.
ParlaMint-NO_2022-03-02.ana.ud27e838	That's exactly the assessment we're currently in, and I think we first need to make an overall assessment of the maritime helicopter capabilities before we decide whether to implement Block 2, because we're not throwing good money after bad money. One thing is the cost of completing Block 2, but we also have large annual operating costs with the NH90 without getting the hourly production we need, which we were going to have out of the NH90. So the answer is, first, we're doing an overall assessment of how we can solve the capacity, in both the short and the long term, in the best possible way. Then we will decide whether to implement Block 2 and whether it would be reasonable and necessary to do so. If the Block 2 upgrade becomes applicable, that project will be submitted to Stortinget at the earliest in spring 2023 as part of the planned investment proposition.
ParlaMint-NO_2022-03-02.ana.ud27e845	The Coast Guard just came up with its annual report for 2021, and the number of helicopter days that have been available to the Coast Guard is alarmingly low. I want to warn you that we're going into a situation where this availability gets even lower. I suppose that's in our common interest not going to happen. The Minister repeats that he will now review the maritime helicopter capacity overall in order to conclude. The question then arises: When do you see that this question has been concluded and will take action?
ParlaMint-NO_2022-03-02.ana.ud27e852	That mission has now been given to the Defence Agency, with a mandate to look at both a short-term solution with rental and a long-term solution, which also means whether the NH90 should be part of that structure or not in the future – as I have said before. This is working intensively, and the paradox is that if we implement Block 2 now, operational capability will be even worse in such an implementation. So it's also necessary to spend some time looking at the whole concept, especially in the situation we're in right now. So I wish I could give an exact answer when I want to come back. I can't do that, unfortunately. The defense must have this investigation done in a thorough manner, so that we now make some decisions that stand for the future.
ParlaMint-NO_2022-03-02.ana.ud27e864	This question is answered by the Minister for Industry on behalf of the Minister for Climate and Environment.
ParlaMint-NO_2022-03-02.ana.ud27e869	‘The electricity prices we have experienced in the last half of the year are largely due to the fact that the EU has, over time, pursued a poorly thought-out energy and climate policy, where climate action has been given priority over sound energy policies and security of supply. Such strong and rapid climate action results in high costs for the population and business. With lessons from this – will the government take the initiative to include forests in Norwegian climate accounts and use quota purchases to a greater extent, rather than costly and inefficient climate measures such as electrification and the like?’
ParlaMint-NO_2022-03-02.ana.ud27e876	Thank you for the question from the representative. I have to say that I do not share the representative's analysis of the reason for the high power prices we have experienced in the last year – but that is not the question. As I understand it, the issue of government, in order to avoid climate action in Norway, is going to count on the inclusion of CO 2 in the climate account in the forest and to use quota purchases to a greater extent in order to achieve Norway's climate targets. Neither do I share the views of the representative here. On the contrary, I believe that economies early in the green transition will strengthen their own competitiveness. Therefore, the government in its political platform has signaled that we will cut emissions by 55 pst. compared to 1990, as a partial target, well and mark, on the road towards net zero emissions by 2050. That is why we have also said that we will continue Norway’s climate cooperation with the EU and further develop cooperation to include a strategic industrial partnership that strengthens Norway’s ability to create jobs across the country, which are green, profitable and future-oriented. This work started last week when the Prime Minister met the President of the European Commission, Ursula von der Leyen. As regards the role of forests in the Norwegian greenhouse gas emission accounts, the Minister for Climate Change and the Environment has explained this to the Stortinget in the past, among others. in the ordinary Question Time on 24 November last year. There he explained why the government does not expect all the inclusion of forest in the achievement of Norway's climate objectives under the Paris Agreement. If we were to count on all forest uptake, in the same way as the EU, this would significantly weaken our climate target, and such calculation would also be contrary to the principles of the Paris agreement on progress and the highest possible level of ambition. Therefore, the government has no plans to take initiatives to change how we expect to absorb forest in the assessment of the Norwegian climate target. We actually aim to achieve the climate target. I also want to remind you that there is actual emission cut that matters to the world, not calculation methods. That's not what determines whether we're going to stop global warming or not. With regard to the issue of the use of quota purchases to a greater extent, I believe it is a matter of outside-EU quota purchases, as Norway will meet its climate change target in cooperation with the EU. The climate agreement with the EU consists of three pillars, as the representative knows: the EU's farm quota system, the contribution distribution for sectors such as transport, agriculture and waste, and the forestry and land-use legislation. Norway participates in the effort allocation with a target of 40 pst. emission reduction in 2030. Forest and land-use legislation means a measure that emissions from the sector shall not exceed the uptake, the so-called net zero obligation. These obligations can be met in several ways, including through the purchase of credits from EU countries, and as of now Norway has not purchased any such allowances. By 2050, Norway will be a low-carbon society, and we need to start that transformation right now. It is essential to put in place rapid emission measures in Norway, and such cuts must be at the heart of a strategy for economic growth, value creation, exports and jobs across the country.
ParlaMint-NO_2022-03-02.ana.ud27e892	This question was sent only hours before the Russian invasion of Ukraine started last week. It is a tragic, pointless war, which I hope with all my heart will stop as quickly as possible. But this war shows even more the lack of thought and vulnerability of Europe's energy and climate policy, which has been leading the last decades and is still under way. Europe and the EU have cut down on regenerative nuclear power plants and basic power generation and made themselves highly vulnerable throughout the energy field, with 40 pst. of the gas imported from Russia. The Minister here says that climate action should work, not only in terms of quota purchases, and then I also assume that the climate minister will stop electrification of the socket, since it is not a climate action that works, but is moving emissions from Norway to Europe.
ParlaMint-NO_2022-03-02.ana.ud27e899	What is happening in Ukraine is absolutely terrible. Russia is violating international law, and Norway strongly condemns the military action. In a very short time, Europe and the West have gathered on extremely severe sanctions, and they will have an effect. Then as a nation we have to have more thoughts in our heads at the same time. Of course, we are concerned about the energy situation in Norway. We work together on energy policy with Europe. Norwegian natural gas is particularly important for Europe and is also an important source of income for Norway. At the same time, the need for the green shift does not stop. I've met over 200 companies in all the counties of the country in the last few months. I have not met one company that asks Norway to reduce its climate ambitions — rather, on the contrary. I'm meeting a business that's ahead of me, that's going to cut emissions, that's going to increase its green investment, create new jobs, and that's going to export green solutions to the world. So now turning Norway into a slowdown in climate change will not benefit Norwegian business, nor will it help the power situation we are now facing.
ParlaMint-NO_2022-03-02.ana.ud27e906	Then I don't quite know which company and business the minister has met, because everyone I meet is experiencing sky-high electricity prices, they are experiencing increased taxes, and they feel that their job and life's work are at risk. Worse still, there may be new demands, bans and climate taxes. It could be that this is the Council of State and the Government's plan: to defuse and defuse business so that they either go bankrupt or flagged out. It will reduce climate emissions in Norway, but it is not very thoughtful. That is a very bad policy. My question is then again: Will the government take over the new realities of the world, in the real world, that energy is power, understand that reasonable flow is vital to the population and business, and change climate policy, so that the population and business are not ruined by costly symbolism policies.
ParlaMint-NO_2022-03-02.ana.ud27e913	My example in life is Sam Eyde, and Sam Eyde and Kristian Birkeland laid the foundation for the industrial venture Norsk Hydro in 1905, based on pure and reasonable Norwegian hydropower. It has been a pretense for Norwegian industry for all years, and the government has to work to ensure that it remains a pretense for Norwegian industry, Norwegian business and Norwegian households for all years to come. That is why energy and power policies are now working intensively to ensure that this is the case. This does not mean that we should reduce our climate ambitions – rather on the contrary. It is a world market out there that increasingly demands low carbon footprint products and services and that will have environmentally friendly solutions. I'm meeting a business in Norway that's all about this, which will export green solutions. To tell them that it's not so dangerous whether you cut emissions or not, or that we're going to trick a little with the numbers, to make it easier for the world's richest country to take global responsibility for really getting emissions down, while cutting other emissions and creating jobs in Norway – sending Norwegian companies would be a completely wrong signal.
ParlaMint-NO_2022-03-02.ana.ud27e936	Questions 6 and 7 are postponed until the next Question Time when the Council of State has left. So we go to question 27.
ParlaMint-NO_2022-03-02.ana.ud27e946	‘Telenor will sell Telenor Myanmar to M1 Group, which several media have demonstrated that it has entered into a partnership with a local company linked to the military junta in Myanmar. The purpose of the sanctions rules, introduced by the EU and the United States, is to avoid adding values to the junta. Can the Council of State ensure that any sale of Telenor Myanmar would not result in a militaryly controlled company having access to the values of the company?’.»
ParlaMint-NO_2022-03-02.ana.ud27e953	Thank you for the question. As I have said before, even on several occasions in the Grand Duchy, what is happening in Myanmar, absolutely terrible, is primarily for the local population. I can assure you that this is a matter that concerns many people in Norway, including the representative and also those who have signed it. For Telenor, there are no good solutions to the situation in Myanmar. The company has made it clear that they have had to choose between alternatives that can all have serious consequences. Telenor indicates that non-compliance with local laws and regulations would pose a risk to the lives and health of employees. Recently, Telenor also informed that the company’s senior staff in Myanmar, including a Norwegian, are refused entry by the military junta. This is a very serious situation. The Ministry of Economic Affairs and Fisheries and I personally have had a number of meetings with the company on the situation in Myanmar. We have been concerned about how Telenor has assessed and balanced the different options, based on our expectations about, among other things. the responsible undertaking. And I can assure the representative that there are few other issues in which I have asked more questions to a board than in this particular case, to the board of directors of Telenor. However, according to company law and state ownership principles, it is the responsibility of the board of directors and management to decide how best to deal with the situation in Myanmar. It shall also apply as regards the framework within which the sale of the establishment and, where appropriate, other alternatives are subject, including the penalties applicable at all times. Of course, we expect all companies, regardless of their ownership, to be active in relation to the rules of penalties in force at all times, and not least to companies that are on the list of penalties in force at all times. In this context, too, I have stated that companies must make ongoing assessments of the situation and options for action. It has been important for me to make sure that the Telenor board does not lock itself into a corner based on past facts in the matter, but that they continually assess this situation and at any time do what they think is best on the basis of an overall assessment, where many factors are involved – the safety of employees, the consideration of 18 million mobile customers and, in general, other issues that are important in such an assessment situation. Telenor points to the fact that there is just concern about human rights and the danger of a breach of Norwegian and European sanctions, which means that Telenor has no choice but to sell Telenor Myanmar. The company also shows that Telenor has assessed all alternatives and found that sales are the least unfavourable solution for employees, customers and society around it, and that the sales process has led to numerous and thorough assessments relating to sanctions, human rights, privacy and the security of employees and others involved.
ParlaMint-NO_2022-03-02.ana.ud27e968	The sale should be formal to the M1 Group, but there is no doubt – when you go into this – that it is the company Westicom that is going to take over, with its strong ties to the military junta. Reuters says that the Shwe Byain Phyu group will take over 80 pst. on the control of what is today Telenor Myanmar. Since Norway and the Norwegian State are the main owners of Telenor, there is a risk that any sale would have adverse effects on Norway, because funds are transferred to something controlled by the junta, although Shwe Byain Phyu is not currently on a penalty list. Has the Department made an independent assessment of whether this is correct and of whether the money will end up with the military junta?
ParlaMint-NO_2022-03-02.ana.ud27e975	As I said, the department has ongoing dialogue with the Telenor board. We've had a number of meetings, it also had the previous government, when this situation first arose. We have asked many questions, and I have engaged myself strongly in the matter. It is the telenor board that has to make the assessment and make the decision on what is best in order to safeguard all the interests of the company, including, of course, the safety of employees, considering 18 million mobile customers, taking into account the fact that one operates in a country with a very brutal military regime, which has shown what they are capable of doing, both by representatives and other extremely violent activities. In that situation, there are no simple solutions. But we expect, as I said, that all companies are actively dealing with sanctions rules and the sanctions lists in force at all times.
ParlaMint-NO_2022-03-02.ana.ud27e980	I hope that the Council of State does more than just ask questions, because a government listens to a clear owner with a clear position, as we have seen in connection with Equinor – without me knowing the process – withdrawing from Russia in the light of the invasion of Ukraine and the situation there. We're in a similar situation in Myanmar in many ways. Myanmar is the only regime – at least as far as I know – that actively supports Russia in the invasion of Ukraine. We are then in a situation where those who fight for democracy and freedom in Myanmar are at risk of having their metadata in Telenor transferred to the regime, and they will then be used. Then one has to weigh things up against another: there is a risk for the employees, but a much higher risk for 18 million customers – and the data can be deleted. Will the Council of States contribute to their deletion before a transfer is made?
ParlaMint-NO_2022-03-02.ana.ud27e987	I can assure the representative that the questions he raises have been raised by many, including the undersigned. I can also assure you that the Telenor board has made very thorough adjustments for different reasons. As I said from Stortinget's pulpit in the previous round, there are also aspects of this case that, for the sake of the safety of the employees and others on the ground in Myanmar, cannot be communicated outwards. There are no simple solutions. The metadata that this refers to, that is, who called, where one was, and how long the call lasted, are data that is currently on the ground in Myanmar. This is a country with a very brutal military regime that can, in principle, penetrate any data centre or any data storage facility and ask for its delivery, with the fatal consequences it may have for those present if those orders are not followed. So you shouldn't make it like there are some simple solutions here, because it's not.
ParlaMint-NO_2022-03-02.ana.ud27e996	Then we go back to question 8.
ParlaMint-NO_2022-03-02.ana.ud27e1004	‘Leaders in the Transport and Communications Committee of the Stortingen have come out in the media to scale down several important road and rail projects across the country. The State Road Service also presented its plan for the implementation of the National Transport Plan a short time ago, in which several of the government parties’ priorities in the NTP were not included. Is the government’s future priorities such that highways and racial protection will take precedence over the development of the main road network with effective corridors between the major cities and regions?’
