ParlaMint-NO_2022-02-16.ana.ud409e28	The representative, Sivert Bjørnstad, will present a proposal for a representative.
ParlaMint-NO_2022-02-16.ana.ud409e567	The government has justly weighed the entry requirement for mathematics for teacher training, but I think one with the grade 3 will also see that going from 3,000 MW to 1500 MW is a halve. I also think one will be able to assume that if one retains the same target for CO 2 tax, but halves the pace there, one does not come to a goal at the same time. That's the problem. In addition, I would like to challenge an arrow on climate policy that the Prime Minister has not talked so much about, but that is very important, and it is about nature and land degradation. There is now quite a bad place for Norway. We're estimated to be able to get a net emission of 27 million. tonnes from that sector. It was before the Workers' Party and the Center's party decided to remove the ban on the re-cultivation of bogs and to introduce a government platform to increase land degradation and more power to the municipalities to build up green land. Then there's a new math question: Has the government calculated, in the same way that they calculate in the context of a government budget, how much emissions will increase when one now removes the ban on the cultivation of bogs and adds a more degressive land policy?
ParlaMint-NO_2022-02-16.ana.ud409e579	I don't know what the representative had in math, but for me it's like 3,000 MW is 3,000 MW, and you take the first 1,500 and they clear up the next 1,500. So 1,500 plus 1,500 is 3,000. So if the representative comes to another number, if you add 1,500 to 1,500 and you get 1,500, he's going to have less than the grade 3 in math, so he should do something about it. This government is committed to achieving its climate objectives also related to land and moor. But we're concerned that we're going to use our nature in a proper way. We think a decision on protection, that is, no activity that beats everything in the same category, is not the right answer. But it is quite right, as the representative says, also in this area, that in all areas of the economy where the Minister for Climate Change is concerned, we need to look at the potential for cutbacks.
ParlaMint-NO_2022-02-16.ana.ud409e586	There will be follow-up questions – first Sveinung Rotevatern.
ParlaMint-NO_2022-02-16.ana.ud409e592	It's probably a little late for this representative to do something about his math character, but I can assure him that he would have come into the teacher's ball, both before and now. The problem is that when you plot to build 1500 MW now, without the possibility of hybrid cables and most likely get a wretched project, you think you can subsidize it. When you do not want to clarify the framework conditions for the next 1500 MW – whether or not it will be possible to export – you know nothing. That's the problem that the actors are now facing. The result is a challenge. And the answer about land policy doesn't make me safe. We're at a net emission of 27 million. tonnes. So it's not a good enough answer that the Prime Minister says we have to use our nature in a reasonable way. One must use an ant, drain it and release mass CO2 and methane. It's used, but it's not climate policy. It's Central Party policy, and it was Labour Party policy during the previous period, and now it's government policy. How, then, should one come to terms with the climate measures we now have? That's what the Storting needs from the Prime Minister, and that answer didn't come now either, but he can get to try one more time.
ParlaMint-NO_2022-02-16.ana.ud409e604	We are concerned that we should protect ants and not build in ants. We are concerned that decisions should be taken at a level that opens up where it should not lead to emissions, to develop nature and exploit nature where it is. Using the land we've been using has been Norway's tradition both at sea and at land. So I repeat that this area is one of several areas where we have to cut. It must be part of a climate plan that both binds the state and provides leadership for municipalities, and that will be seen in the plan that the government will put forward.
ParlaMint-NO_2022-02-16.ana.ud409e611	Mathilde Tybring-Gjedde – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e616	When the government promised an enhanced climate target, there were enough people who expected that policies would then be put in place that are close to achieving this goal. For the time being, the government has only submitted a budget cutting CO 2 emissions less than the Solberg government budget, and a sea wind bet has been presented that has been scaled down and at least pushed out in time. In the meantime, we have the Hurdals platform where it says that the government will rapidly develop a new climate plan for the whole economy. The right agrees that climate policy should be clarified quickly, but the speed at which it comes depends on the processes being set in motion. My question to the Prime Minister is this: Will the government now take on the knowledge base Climate Change 2030 when they are about to prepare this climate plan, or will they ask underlying agencies to start a new knowledge base? In this case, have the underlying agencies been asked to start that work already?
ParlaMint-NO_2022-02-16.ana.ud409e624	This isn't mathematical, but the definition of fast is interesting, from a government that set for eight years. When did it come to the climate plan? Was it after four months? Was it after two years, three years, four years? It took time. I can confirm that the knowledge material that is in the Klimakur course will be included. Then, of course, we'll go out and update it with the underlying agencies, so we have an up-to-date knowledge base when we're going to make our plan. But I think we have good margins to go on when it comes to being out quickly, and in addition, we are now – as I said in my previous answer – implementing a policy in a wide range of areas to transform the course so that we can create jobs and cut emissions.
ParlaMint-NO_2022-02-16.ana.ud409e631	Let's move on to the next main question.
ParlaMint-NO_2022-02-16.ana.ud409e636	Today, the SSB came with very happy national accounts figures. They say that through 2021 we have picked up the decline that has been through the pandemic, and the economy has simply come back where it should be. We already know, from the numbers last autumn, that fortunately we've managed to get more people employed than we had before the pandemic. In other words, it goes very well in the Norwegian economy. The SSB writes that the enormous growth in energy prices has given the state huge revenues and a GDP growth of over 20 pst. Oil and gas export revenues have increased enormously from 2020 to 2021, over 500 billion. kr in increased income. It's good for the state. However, the SSB also writes that a new move in 2021 was that the international prices of energy were reflected in the Norwegian electricity price. It has also given the state several tens of billions of extra income, both for 2021 and we know not least for 2022. Many households notice, on the contrary, that the economy is becoming more demanding, that the electricity bill is unfortunately too large. The same thing also marks volunteering, and I have a few local examples. For November and December, a Southfired leisure club experienced an increase of DKR 140 000. With the support of the government – the Center Party – with the support of SV, they will get NOK 30 000 back. I Grane has an extra NOK 110 000. Risøy Folkehochschule, which I have visited, gets no power support. In November and December, they have increased costs of NOK 430000. I could still do that. Why is it that when the state gets such huge revenues, and one sees that there are so many others who are struggling, the government won't support, for example. The Christian People's Party's proposal for a maximum price of 50 cents, which would have hit everyone, and given much better compensation?
ParlaMint-NO_2022-02-16.ana.ud409e647	After all, the country has used these large incomes to bring up a insurance scheme to provide relief for families and households. It is a comprehensive scheme that costs billions of dollars and covers 80 pst. by the flow calculation of what is more than 70 ø/kWh at spot price. You can now see from the invoice that you have received a more reasonable electricity bill, which is already high enough. It's high too after, I admit it, but there's been a significant help in it. Then it's not that these revenues that come to Norway through energy do not benefit the community. It gives us the opportunity to build both reserves for difficult times, to strengthen a government budget that allows us to have an active welfare state, and to be able to put under a pandemic to help people, organisations and businesses get through the pandemic and deliver the results that the representative correctly points to, and to which the Central Statistical Office now refers. Norway is one of the countries that comes out of the pandemic at the highest speed. Now it's important to control that speed so it doesn't affect the economy in the next round by getting too severe a price and cost pressure. Then we've set up for sport and volunteering, I want to say it. Municipalities can now follow-up sports facilities in particularly difficult situations. I do not believe that the maximum price is a good idea to meet the power users' needs over time. It will intervene in the way we get power into the market. Power is produced by 1682 hydropower plants in Norway and should not be regulated by a maximum price. There should be supply and demand, and then, as a welfare state, we must ensure that we can socially care for those who become vulnerable and vulnerable, as we have done through insurance schemes and a number of other measures.
ParlaMint-NO_2022-02-16.ana.ud409e658	The Prime Minister calls it a guarantee scheme, I want to call it a patchwork scheme in many ways, because there's been a proposition after the announcement to the Storting because I think the government sees that one doesn't hit. And there's some purpose one wants to hit. The problem is that there are many ideal actors, from child protection to hospitals, etc. – I gave an example of a folk high school, which is really an ideal institution – that is struggling with the high power prices. This also applies to small enterprises and households. That is why I agree with what the Prime Minister says in the end: this is about social distribution. And there I mean the government just doesn't do it well enough now. NVE, the government's department, has announced a high electricity price over a long period of time. Prime Minister Støre himself has said that then you can be willing to extend the scheme, and that is good, but the scheme is not good enough, because it does not meet well enough. My example is Sørli leisure club, which gets NOK 140 000 more in electricity costs only for November and December, almost NOK 200000. One must sell – at the head – 5000 to 6000 waffles with a good profit only to cover the bill, and that should not be the case. Why doesn't one want to do more for the volunteer? Why would someone let them take the bill instead of the state making the bill?
ParlaMint-NO_2022-02-16.ana.ud409e667	I think we'll always get there that there'll be groups that can feel that they're being hit by the rise in prices. Now we have the energy prices that are high. That's what we've been dealing with. So it's not a patchwork, it's following evolution. We have reduced the electricity charge, a majority here in Stortinget have increased housing support, we have increased social assistance for those who are most affected, we have increased support for the students, we have increased support for housing construction and given billions of dollars to households. It's following developments and responding when it comes. It's not a patchwork, it's answering in the areas where the challenges are. We have also supported sport and volunteering through the municipalities. But I think we'll never get there that the state can be the guarantor of any increased expenditure. Expenditure goes up and down, and organisations and businesses, as well as households, have to take a certain amount of money and plan for it. Compared to other countries, Norway and the Stortinge now provide people with amounts far beyond what you see elsewhere. And then I said, if these high prices persist, of course we'll follow closely and be there for people. If this comes back again the next autumn and winter, we now have several tools that we know, and that we can use again.
ParlaMint-NO_2022-02-16.ana.ud409e674	There will be follow-up questions – first Kjell Ingolf Roppstad.
ParlaMint-NO_2022-02-16.ana.ud409e680	I agree with the Prime Minister that the state cannot be there for everyone, always. That is not possible, and that is why I will give tribute to parts of what has come. I am particularly pleased with increased housing and social assistance, which will reach many of those who need it the most. But what I don't understand is, we can accept that someone doesn't want to give support to businesses, and that they have to tolerate this, etc., but volunteering is in a completely different situation. Here in the city there is a school, St. Sunniva, which has an increased electricity bill of over 600,000 kroner. Voluntary organisations do not have this capital. I also know that part of the sports clubs, which uses a different type of heating, e.g. gas, not included. Clubs in this city have announced increased quotas. It hits children and young people, while the state incurs billions. I believe that the situation is exceptional. It also admits the government when one comes with this aid scheme, but it does not hit well enough. What is the background to the fact that the Norwegian Church, National Colleges or various organisations that have an ideal purpose, which does not earn one penny but which only facilitates children and young people, should not be included?
ParlaMint-NO_2022-02-16.ana.ud409e687	There are a wide range of schemes that now make different groups. The main emphasis is placed on households, i.e. the families, who experience this in the family budget. There are now also schemes via municipalities, which Stortinget has treated quite recently, which make it possible to follow-up, for example. a sports facility that risks having to shut down the football business because they are unable to keep track in turn. Then I'm going to be aware that there are some people who will feel that they are still exposed, and that it is demanding and difficult. It's an extraordinary situation we're in, and then we get experience of how these systems work. We have placed great emphasis on schemes to follow-up especially families, which are the starting point of the individual economy, and agriculture and the greenhouse sector, which have particularly high electricity costs, and also the voluntary nature and sport of municipalities.
ParlaMint-NO_2022-02-16.ana.ud409e694	Let's move on to the next main question.
ParlaMint-NO_2022-02-16.ana.ud409e699	The EU wants to introduce carbon duty, the aim of which is to prevent companies from moving out of Europe to countries with lower carbon prices and less ambitious climate policies. The inclusion of Norway in the EU carbon duty system is an important issue, but also how to set up the carbon duty system. An important issue for Norwegian enterprises will be the CO 2 compensation scheme, which is very important for Norwegian industry. On 29 November, the Council of State, Barth Eide, said to the European Committee that the debate on carbon duty is ‘a discussion we need to be heavy inside’, and that ‘the discussion is now taking place’. However, this week's Business this week we could read that Norway is not heavy within this discussion now, because the departments disagree about carbon duty is EEA-relevant or not. The Prime Minister will soon travel to Brussels to meet decision-makers and attend seminars on green industry. The question to the Prime Minister will be: What will the Prime Minister say to Europe about what are Norwegian positions in the question of carbon duty? Is this a scheme that we're covered by? What consequences will the CO 2 compensation scheme have for Norwegian industry, and in what way will the Prime Minister involve Stortinget in Norwegian positions in a system so important to so many, both workers and businesses around the country?
ParlaMint-NO_2022-02-16.ana.ud409e712	This is a very important issue, and it is important because the policy is in shape in Europe. The ‘Fit for 55’ plan, in which they will set out a broad policy area to achieve the 55 pst targets. Norway should be in partnership with the EU on this issue. The reason why I am going to Brussels with a very broad agenda is that we want to highlight that Norway can contribute to this. We will implement our commitments in cooperation with the EU. Then this is one of the questions that is for discussion. Let me just say that whether it's EEA-relevant or not, it's important to have a thorough investigation of, so we're safe on it, but it's important anyway, because it's about how our most important market behaves in relation to the world around it. That is why one of the issues we want to discuss with members of the European Commission and the President of the European Commission, is going to go into what you see in this area, whether this is going to be the way of the future to deal with the issue, whether products produced with high carbon 2 images can come from somewhere else and that can get a clear way in. We are committed to ringing around the CO 2 compensation scheme until another system has to be put in place to meet the same needs. I think I have to say that we cannot today conclude on just how it will develop – but we have a high level of readiness to follow that is the question, the CO 2 compensation scheme, which is important for Norwegian industry, it is very expensive for the community, but it is important – and whether the new schemes currently being discussed can over time become new schemes that may also be relevant to Norway. I believe that a message for Norway will then be that, with our close connection to the European market – we are dealing more with the European market than many EU countries – it is natural to see very close cooperation on this issue. The European Commission will be hearing from me next week.
ParlaMint-NO_2022-02-16.ana.ud409e728	The Prime Minister refers to this frontier tariff as a way of dealing with these issues in terms of carbon leakage, but the reality is that the EU has decided. They're going for a carbon toll. Now the question is, how is it to be arranged? The issue of EEA relevance is important, and as early as November, State Council Barth Eide concluded that the border tariff will not hit us, because we are within the ETS – the EU quota system. In other words, Barth Eide confirmed that it was EEA-relevant. But then we read in the paper this week that this discussion is still going on, while the EU is now shaping its positions on how the details of this scheme will be. And it is in the details that the interests of Norwegian companies lie. The question is: Tok Barth Eide's mouth too full in November, when he said that this question was really settled, that it is EEA-relevant? Or is there still an ongoing dialogue between the ministries as to whether this carbon duty is relevant to Norway?
ParlaMint-NO_2022-02-16.ana.ud409e737	This is an ongoing debate. Councillor Barth Eide was quite right in what he said. We're part of a quota system, we're dealing with Europe, we have the same rules, and it's clear that this is also part of that whole. But that's what the representative says: how the details are designed is what's important to us. That's what we need to have dialogue about to watch. It can be assumed that as usual we are dealing with Europe, as integrated as our industry is, we find solutions that match the main track that the EU has to choose, but there are also aspects of Norwegian industrial production, Norwegian power generation, which means that we have to look very carefully at it. We have e.g. held the debate on proof of origin and so on, which is seen as problematic in parts of the Norwegian industry. One of the topics useful to discuss, as one does at the professional level between professional authorities, but also at the political level, and also with me, is getting more insight into and understanding about these details. And then I would say, of course, the Storting will be kept constantly informed about those discussions.
ParlaMint-NO_2022-02-16.ana.ud409e742	Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e747	I am absolutely sure that the Ministry of Finance's office will follow the questionnaire and note that the issue of whether it is EEA-relevant has now been clarified by the Prime Minister, and it is good to confirm it this way. The question to the Prime Minister, when we agree that the details are important, is: How should the government anchor Norwegian positions in the Stortinget? This is of major importance for Norwegian industry, for Norwegian jobs and has a significant impact on value creation in Norway in the years to come, and the Prime Minister represents a minority government dependent on support in Stortinget. So the question is, how will it be anchored in the Storting?
ParlaMint-NO_2022-02-16.ana.ud409e754	It sounds boring, but I want to respond appropriately: if these are matters that are budget-relevant, there will be budgetary communication. If there is a change in laws, of course it belongs in the Stortinget. However, it also belongs to the body to which the representative referred, where we have a rather ongoing dialogue on issues that take place between Norway and the EU, in the European Committee and in other ways. But it's wise to keep the Storting informed about this, because it has great significance for many areas. As with the taxonomy developed by the EU, with which the representative’s government intervened – they were not always the same on the ball there in relation to the deadlines. We focus on having good contact and will ensure that Storting gets the information it needs.
ParlaMint-NO_2022-02-16.ana.ud409e759	The oral question procedure is now over.
ParlaMint-NO_2022-02-16.ana.ud409e773	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 1, from the representative of Audun Lysbakken to the Minister for Fisheries and the Sea, has been transferred to the Minister for Climate and Environment, who is directly responsible. Question 4, from the representative, Mr Elvenes, to the Minister for Defence, must be postponed until the next Question Time, when the Council of State has left. Question 10, from the representative Turid Kristensen to the Minister for Children and Family Affairs, has been transferred to the Minister for Justice and Security, who is directing him. The question will, however, be answered by the Minister for Children and Family Affairs on behalf of the Minister for Justice and Security, who is suffering from disease. Questions 12 and 13 from the representatives Sigbjørn Framnes and Silje Hemdal, respectively, to the Minister for Transport, will be answered by the Minister for Industry on behalf of the Minister for Transport, who has a history of disease. The questions are proposed, at the request of the Minister of Industry, moved and answered before question 29, to be answered by the same Council of State. Question 13, from the representative Silje Hemdal, will be raised by the representative Helge André Njåstad. Questions 14, 15, 16, 17, 18, 19 and 20, from the representatives of Terje Halleland, Roy Steffensen, Morten Stordalen, Tor André Johnsen, Erlend Svardal Bøe, Dagfinn Henrik Olsen and Mona Fagerås respectively to the Minister for Transport, must be postponed to the next Question Time, as the Council of State has a disease incident.
ParlaMint-NO_2022-02-16.ana.ud409e795	This issue has been transferred to the Minister for Climate and Environment, who is directing it.
ParlaMint-NO_2022-02-16.ana.ud409e800	One can discuss who is right, but the climate and environment minister is good at answering questions to everyone, I notice, so I'm sure it's going well. The question is as follows: ‘In Fördefjorden several million tonnes of mining waste and chemicals have been authorised. This is an important spawning area for coastal cod, but also farming. Seafood Norway and Norway’s Fiskarlag have stated: ‘The lack of an adequate investigation into the risks related to food safety, fish health and fish welfare is a fundamental defect in the application, which in itself suggests that no operational concession or emission permit should be granted.’ Why does the government give priority to maritime food?’
ParlaMint-NO_2022-02-16.ana.ud409e809	This decade we're going to develop new green industries, both on land and at sea, and we're going to do it at the same time as we take care of vulnerable ecosystems. That's why it's more important than ever to see things in context and make sure that all the decisions we make are based on solid knowledge. The permits granted to the Nordic Rutile project in Fördefjorden are based on a comprehensive knowledge base. In fact, the knowledge base in this case indicates that the maritime landfill will not have a negative environmental impact on the coastal cod spawning area or on the farming industry. In line with the Pollution Act, where the main principle is that pollution is prohibited and where exemptions are made, both disadvantages and benefits of measures are assessed before any authorisation is granted. Environmental considerations shall be burdensome in land management at sea as well as on land. It is therefore essential that in every case where the pollution law permits landfills in mining operations, a thorough and specific assessment has been made for each case, and this is the case here. On the basis of the knowledge acquired, both the environmental impacts of sea landfill and the need for food safety have been assessed before authorisation was granted. The dissemination of mineral particles, mineral composition and chemical properties has been carefully evaluated. The Environment Directorate will closely monitor the operation of mines. The authorisation granted also imposes strict reporting, emission control and en-route environmental monitoring requirements. In line with the permit, the company shall establish a monitoring programme to be submitted to the Environment Directorate in good time before mining starts. Some of the proposals for this programme have been finalised and submitted to the Scientific Committees on Food Safety, Fish Health and Fish Welfare, the Food Authority, the Directorate-General for Fisheries and the Institute for Marine Research, which have made comments on the programme. Environmental monitoring is subject to conditions both before, during and after operation of the landfill. This is just an example of the kind of balance we're going to have to do more of. On the one hand, it is absolutely necessary to generate minerals for the green shift. It requires mining. We cannot let everything happen in the middle of Africa, under much more demanding conditions, both for workers and for the environment. At the same time, both mining and waste disposal must be minimised. These balances need to be improved when we are going to count both on climate emissions and on natural accounts.
ParlaMint-NO_2022-02-16.ana.ud409e822	I thank you for your answer. I fully agree that there must be balances, and that we should conduct mineral extraction in Norway, but when the Fördefjord case has become so controversial, it is precisely because the local resistance in the Wevring and Sunnfjord areas is so strong, and that the interventions in nature and the local environment will be very large. After the project was started, and permits were granted, an alternative project has been launched to show that it is possible to extract minerals from the Engebøjellet in a much more sustainable way. And it's a challenge for the climate and environment minister, not only passively accept that this is a permit, because when the assumptions change, there's also an opportunity to look at permits again. I believe that the Minister for Climate Change and the Environment agrees that the authorities must constantly pursue the most sustainable, most gentle way of extracting minerals – and so there is an alternative here.
ParlaMint-NO_2022-02-16.ana.ud409e837	I agree. It is important to ensure that the best available knowledge and technology is constantly used — whether for the extraction itself or for the landfill. Some extraction must be, some disposal must be, but it is embedded in the permit and the existing agreement to try to reduce the amount of waste as much as possible, so if it becomes possible, with alternatives to at least parts of the deposit, i.e. in its own mine, it will always apply. The best possible standard should be monitored on an ongoing basis. But I have not seen any basis in this case for this permission to be withdrawn. The important thing is that you have a follow-up in line with the plans that have been given and that have been part of the prerequisite for granting the permit.
ParlaMint-NO_2022-02-16.ana.ud409e842	After the emission permit has been granted, changes to what is to be emitted have also been notified by Nordic Mining. It implies that potentially more harmful chemicals are also to be released into fjords without proper investigation. And as we've been through, in the spring there are both breeding and spawning areas. It has also, among other things, by the Institute for the Exploration of the Sea, have been warned of this project. Seafood Norway and the Fiskarlag are asking for assurances that the substance SIBX does not accumulate in the food chain and therefore would not pose a threat to maritime food safety. Can the Council of State actually give them the assurances, if any, that he will enter into it specifically?
ParlaMint-NO_2022-02-16.ana.ud409e849	I will then again show that it has been decided in connection with this case that there should be a monitoring programme. It's under construction. The central authorities involved in its preparation or input into it are the Food Authority, the Fisheries Directorate and the Marine Research Institute, precisely because much of its competence is there. A continuous evaluation of compliance with the authorisations granted shall be carried out. Here, as usual, it will always be a prerequisite for the best available technology, that you always use the highest possible standard for what you're doing. But at the same time we have to admit that not least the green shift actually leads to that we have to use more minerals. Even in a circular economy, where we're going to reuse them, we have to produce them first, and we need a lot more than we have today, and then we need mining. I believe that it is right to operate mining in Norway, and that we can actually set a high standard, both for the extraction part itself and for the landfill part. And there we have to follow continuously along the way.
ParlaMint-NO_2022-02-16.ana.ud409e859	«At the Noradconference on 25 January this year, the Minister for Development announced a strong commitment to food security from the government in the future. But she didn't realize what the stake would be. Can the Council of State explain this a little further?’ And the Council of State is welcomed back to the hall.
ParlaMint-NO_2022-02-16.ana.ud409e868	I thank you for the nice greeting, and I thank the representative for the opportunity to explain to you what I am most passionate about, and which I believe the world needs most: proper and nutritious food. It's not just man's most basic need. It is also essential to build more debilitating societies and to create the necessary ring-effects to achieve other key objectives. When hunger increases in the world, as we see now, it is very different that is also affected. Business is hit. We do not initiate the value chains that are needed to create activity, health, viable communities that create their own growth – from below. Today, 811 million people are starving. Nearly 270 million are on the brink of famine. So we know that in Africa south of the Sahara operates more than 70 pst. by the population of agriculture and fisheries. These small scale producers represent 80 pst. of all food consumed in developing countries. Yet, many starve. Our development policy should help them produce more and healthier food themselves, in a climate-smart and climate-resilient way – food that finds its way to local markets. Short-term food is more sustainable and is a crucial part of the solution. We have increased the food security, fish and agriculture budget by 500 million. And this is just the beginning. We have just concluded an agreement of 45 million. kr to strengthen small scale aquaculture in Tanzania, Kenya and Mozambique. We will increase core support for the International Agricultural Fund for Agricultural Development, a UN organisation that achieves good results in efforts to strengthen small farmers and value chains in vulnerable countries. We need to reconcile climate and development policies, strengthen the commitment to renewable energy, double support for climate change and at least triple support for climate adaptation. Lives live locally. When more than 70 pst. Of the world's poor living in rural areas, there is a need to invest resources to contribute to change and results. Through our partners, not least in civil society, we will support those who work for changes in attitudes and increased access to services in local communities. Only through such a forward-looking development policy can extreme poverty be eradicated and sustainability objectives achieved.
ParlaMint-NO_2022-02-16.ana.ud409e883	The Development Minister has been talking about food security for a while. At the same time, the government has implemented the core allocations for the World Food Programme, abbreviated WFP. This is a multinational UN actor who has good access to the areas where we want to help. How is the food programme to be included in the notified food security strategy that the government intends to submit?
ParlaMint-NO_2022-02-16.ana.ud409e888	The World Food Programme is a key and essential partner in government support for food security. We therefore concluded an agreement in December to secure WFP 1.6 billion. kr in core support over the next four years. In addition to core support, the WFP is allocated significant contributions related to humanitarian response in the country affected by humanitarian crises. I would also like to stress that the WFP is important as a humanitarian player, but is also becoming increasingly important in the long-term solutions to ensure food security in the areas where they work.
ParlaMint-NO_2022-02-16.ana.ud409e895	In connection with the announcement of the strategy that came on 25 January, the Council of State stated: ‘Food in the stomach helps kids learn better at school’. To me, something's creeping. First, the government cuts in contributions to Norwegian education aid, i.e. to the school. The government also cuts into the food program. At the same time, the Council of State speaks of ‘food in the stomach’ as a means of achieving better education. Does the Council of State see these signals as confusing?
ParlaMint-NO_2022-02-16.ana.ud409e905	I'm going with joy to clarify the confusion. Through various actors in the education sector and in the food sector, school food programmes are an area in which we go in with increased effort over time, precisely with the same reason that I have been in the past: without food in the stomach, the children learn little. Then I will also clarify the misunderstanding that the government is depriving the world's food program. The proposed level of 400 million. SEK in core aid for 2022 represents an increase of 100 million. kr from 2020 level.
ParlaMint-NO_2022-02-16.ana.ud409e915	‘Norad recently presented a report on how assistance can mobilise private investment in developing countries in order to achieve sustainability objectives. One of the main findings of the report is that the opportunities for profitable, sustainable investment in developing countries are in the thousand-billion-dollar class, but are largely untapped. How does the government evaluate the findings of this report?’
ParlaMint-NO_2022-02-16.ana.ud409e922	The path out of poverty goes through sustainable economic growth – I am sure that the representative and I are in complete agreement. We're going to use business support to build local value chains: local production, local preparedness, local jobs, community building from below, and also business development. Increased private investment is essential for creating that growth, and Norfund is our main tool in this work. Through equity, loans and guarantees Norfund helps to reduce the risk to other investors. The new climate investment fund, managed by Norfund, will make an annual contribution of 1 billion. kr from the treasury, matched by the corresponding amount of Norfund’s surplus capital, could trigger the multiple capital of commercial operators. This will be a very important contribution to reducing emissions and job creation. Norad's report, to which the representative Schou refers, is an important reminder that we must bring with us the private sector if we are to succeed in achieving the sustainability goals. The report shows that we need to work on a wide range of instruments, from political and regulatory framework conditions to technical and financial ones. The Government is therefore committed to further developing risk mitigation measures, such as the guarantee and operating aid scheme. The framework conditions for renewable energy also need to be put in place to allow serious actors to get on the road. Much of what we fund through multilateral channels is going to promote just this. Risk reduction measures are particularly important where investment is most needed — in the so-called MUL countries, the least developed countries. We recently concluded an agreement with the World Bank’s Guarantee Institute – MIGA – on renewable energy, in particular targeting these poorest countries. Through knowledge programmes such as the Tax on Development, we contribute to strengthening the competence and capacity of authorities to facilitate more predictable investor framework conditions. Poor people most live in rural areas. According to the World Bank, spending on food-producing sectors is two to three times more effective than on other measures to combat poverty. Food producers in the world are, as the representative knows, part of the private sector. Increased agricultural investment is essential to succeed in the fight against hunger and poverty and increase job creation. Norway is part of the public-private cooperation Farm to Market Alliance together with, among others. Yara, Rabo Bank and the World Food Program. This alliance contributes to thousands of small-scale farmers having both access to markets and predictable incomes. This is smart assistance that helps trigger the huge funds for those who need it the most.
ParlaMint-NO_2022-02-16.ana.ud409e941	The aim of development policy should be to ensure sustainable growth. A good way to achieve this is to ensure — as the Council of State just stresses — that private investment is mobilised. It is not surprising that the Norad report shows that this potential is heavily untapped. Will these findings affect how the government is setting up its development policy?
ParlaMint-NO_2022-02-16.ana.ud409e946	I agree with the representative Schous' analysis of this matter, and there are many exciting proposals in Norad's report that can inspire us to look at how we can ensure increased capital flows to developing countries. It's a cross of thought that less than 5 pst. of global private capital currently invested in developing countries. I believe that the rapidity of the aid is to reduce the risk of private capital entering this type of country. I have therefore commissioned Norad to look at possible measures to mobilise increased private capital to meet the sustainability targets in this year's letter.
ParlaMint-NO_2022-02-16.ana.ud409e951	One of the first governments in the field of development was to enter into budgetary unity with the Socialist Left Party. Among the consensus reached, there was a strong tax cut for development and cut in business development and trade, 50 million respectively. NOK 100 million. kr i k cut. These priorities are contrary to the findings of Norad. Does the Council of State also see this?
ParlaMint-NO_2022-02-16.ana.ud409e956	I can assure the representative that creating safe, decent and green jobs is one of the most important things that the government wants to contribute to development policy. But I must stress that this effort does not go beyond just one budget line. On the contrary, this includes, inter alia: support through the development banks, through the IFC – i.e. the private sector arm of the World Bank Group – as well as a wide range of fields of action on climate, sea, renewable energy and vocational training.
ParlaMint-NO_2022-02-16.ana.ud409e970	This question has been raised.
ParlaMint-NO_2022-02-16.ana.ud409e978	‘Norway is one of the few countries that permits sea landfill and has several active sea landfills. A maritime landfill can lead to serious contamination of the fjord environment, damage to fish, animals and plants and pose a threat to other businesses. The alternative to maritime landfill is to require better resource use and refilling. Will the government be in the front line and put in place a ban on maritime landfill?’
ParlaMint-NO_2022-02-16.ana.ud409e985	It is quite right, as the representative says, that there are few countries that have landfills at sea and in fjords. Then there are also few countries that have the same topography as Norway, with deep fjords that are actually suitable for landfilling, better than a number of other comparable areas. Both landfills in sea and landfills on land have environmental consequences, and we cannot, in fact, establish on a general basis that landfills on land are always better than landfills in the sea. In some cases it is the opposite, and each case has to be assessed in concrete terms. This is an important example of why we need to have a solid, evidence-based knowledge base before creating stencil rules that may not be consistent in the case to which they apply. Based on a comprehensive knowledge base, the environmental impact of maritime landfills is carefully assessed before authorisation. As part of the pre-authorisation assessments, the options for sea deposition of tailings are considered. All those engaged in mining operations are required to prepare a waste management plan, which I was also involved in a previous response, and must describe in this plan the alternative use of the masses and the possibility of refilling masses in the mine. The holding shall continuously work to reduce the need for landfilling and the waste management plan shall be kept up-to-date and regularly reviewed. As you can see, it's already embedded that you have to consider how much you can put back in the mine, where it's appropriate. Many environmental technologies use metals, and access to mineral raw materials is a prerequisite for success in the green shift. Among other things, many minerals are needed for increased electrification of the transport sector, and more and more of these minerals are needed. For example, an electric car needs three times as much copper as a conventional car. Environmentally strict regulation of mining can thus contribute to the establishment of a sustainable society, and the materials in turn can contribute to technologies that reduce greenhouse gas emissions. In any assessment of mining and possible landfill, we need to make a thorough and concrete assessment in which different possible solutions are weighed against each other. It will also apply to the assessment of any new mining project in Norway. By means of a permit, we can provide a good framework for the operation, with emission requirements, continuous environmental monitoring, emission control and reporting, while at the same time monitoring the operation at mines will be closely monitored by the Environment Directorate.
