ParlaMint-NO_2022-01-18.ana.ud386e80	The representative Siv Mossleth, who has been on leave, has once again taken his seat.
ParlaMint-NO_2022-01-18.ana.ud386e639	The representative Bears Moxnes has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2022-01-18.ana.ud386e645	Thank you for the reply from the Council of State that this may be the case with a state regulatory plan. In this case, there will be a relatively violent attack on the community in Oslo, and it should be noted that the Council of State is opening up. So probably the answer when it comes to splitting different functions, not quite as well. The functions will be split because there is not enough space for everyone on the site in Gaustad - it is too small. This means that readiness for surgical damage is maintained at Gaustad, while preparedness for gas poisonings and other intra-medical conditions is added to Aker. This means that all patients in need of combined surgical and in-house medical treatment, for example. in the case of a gas explosion, the need for simultaneous treatment in two different hospitals. Today we have it at a hospital. This is the dangerous thing, according to the emergency environment that exists at Ullevål today, and it does not respond to Kjerkol. People in Oslo and Eastfold deserve a proper answer: Why is this more sensible than today’s overall emergency environment on Ullevål?
ParlaMint-NO_2022-01-18.ana.ud386e652	The representative of Ola Elvestuen has spoken twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2022-01-18.ana.ud386e657	I take the floor first of all to say what I forgot to say instead, and that is that the left naturally votes for all the minority proposals in the case. It should have been quite clear in the submissions as well. What is crucial is that we have a government that respects the distribution of power that we have, and the responsibility that the municipality has as a regulatory authority. Because it's too big a project on one too small a plot. It's the most expensive project you put up to now, and without a spare area, unless it was to be Ullevål. At the same time, it is an important matter for Oslo also as a regulatory plan, because the plot goes into natural areas and is definitely much larger and with greater volume than anyone else would be allowed in Oslo, and it goes across state protection interests. [[President clubs]]
ParlaMint-NO_2022-01-18.ana.ud386e664	Time's up. The representative Seher Aydar has also had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2022-01-18.ana.ud386e671	We're dealing with a case about hospitals in Oslo. I thought that the Center Party, which claims to be occupied with local democracy, didn't have to pinch its arm because we're taking up what the local people think about hospitals in Oslo. Actually, I think there are quite a number of Central Party electors that climb in their arms when they hear that the Central Party of the Stortinget argues for overcoming both local democracy and not least the professional authorities, just as it is being done here. I think there are quite a number of Workers' Party voters who are also clinging to the arm today when they see that the Workers' Party listens more to overpaid directors than to the trade unions. It's a shame, but that fight is definitely not over.
ParlaMint-NO_2022-01-18.ana.ud386e678	This debate is about both hospitals, capacity and preparedness for Oslo and its surroundings. But it's also about specialties and operations that we can't have anywhere else in the country, because we're too few people to get good at it if we don't collect it. That is why this debate has a local dimension, a regional dimension, but not least a national dimension, and I think it has been gone in this debate. There's also another thing that I think has been gone – I heard the council replied, even though I wasn't satisfied with the answer. That was the answer to the question from the representative, Tone Wilhelmsen Trøen, who asked about the ideal hospitals, Lovisenberg and the Diakon home. It is a hospital that was until long before the state thought the idea of a hospital in this city. In the case of psychiatry, in the case of orthopaedics, and in the case of other types of treatment, hospitals have been at the forefront. They have space, they have competence, they have opportunities, and they've built up and done a lot to modernise their buildings. They are also part of the plan in Health South-East – but are they really, when they are almost on the brink of bankruptcy because they have contributed to the community, paid the bill for the corona treatment, lost income because they have not been able to operate and assist? They have an area, but they have no money. We have to use every opportunity, because one thing is certain: the population growth in Oslo is getting so large that we don't have time to wait, because the capacity of the hospitals is being blown up. Then we have to use the ideal hospitals, modernize the national hospitals and build new ones, allowing technology and knowledge to go to the needs of every citizen in this country. I respect the discussion about land, but I have even more respect for our goal in such a way that people get the best possible treatment.
ParlaMint-NO_2022-01-18.ana.ud386e685	The representative Carl I. Hagen has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2022-01-18.ana.ud386e690	It was Per Olaf Lundtägen who took this up with state control plan, if that could be the case. I am pleased that we have received a response from the Council of State, which was quite clarifying. But I have a question for Per Olaf Lundtägen: If the central party in government accepts state regulation plan, will the central party's big group agree to it? If the answer is yes, will Per Olaf Lundtägen also meet in the Chamber and vote in favour of the State regulatory plan for Gaustad? I'm asking Per Olaf Lundtigen because he's got speaking time left.
ParlaMint-NO_2022-01-18.ana.ud386e695	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2022-01-18.ana.ud386e712	At the request of the Health and Welfare Committee, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to six lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2022-01-18.ana.ud386e719	First, I would like to thank the Cooperation Committee. I assume that those who represent the minority in the case present their proposals and reasons. Let me start by saying that we support the intention of what is in the proposal here. The aim of the Workers' Party-Center Party administration is to equalise dental services with other health services. We don't just aim to do this, it's also been implemented. Already in the state budget for the current year, we can find a number of measures that help to step up a dental care scheme that contributes to a more inclusive and socially equitable dental service. I want to show that it's set at 100 million. SEK to strengthen public dental services in county municipalities, SEK 168 million. NOK to give 50 pst to 21- and 22-year-olds. Discount, 50 million. kr to strengthen the reimbursement scheme for children and young people who receive orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic orthopaedic. kr to the TOO scheme. Because there is no doubt that many people are facing major economic challenges with their dentist. A check at the dentist costs about NOK 1000 today, and dental fillings are between NOK 1000 and NOK 2000 depending on the severity. Furthermore, we can find a price of NOK 5000 to NOK 10000 and a prosthetic price of NOK 20,000. For people who have extraordinary challenges with their teeth, it will result in huge costs that can lead people not to go to the dentist and rather choose not to do so. We know the dangers of this: the problems get bigger, and the teeth are known to be part of the body and affect the rest of the health. The Labour Party and the Centre are concerned that this has to be done and that we have to help. We want to expand our common healthcare, and dental care is part of this, but we are also concerned that it needs to be implemented politically in a way that ensures lasting solutions. That is why we propose to go through a number of different investigations in the State budget, and they are as follows: ‘The government is asking for an investigation into the status of dental services in Norway, including social and geographical differences in use and access, reasons for differences, the relationship between private and public supply, and differences in prices and treatment’. [[...]] Furthermore, ‘set up a sample to make proposals to ensure that dental services are treated in the same way as other healthcare services, including self-employed models’. This will ensure that we investigate a number of the proposals that emerge in this case, both legally and economically, and it is worth noting that no corresponding reviews of the dental field have been carried out since 2007. Many have changed, and there has been little progress in the field under the Right-Leaded Governments. We've started work, and we're going to work to make sure that dental care is equal to the other health services. For us, it's about building our common healthcare service, where people get the help they need, regardless of the wallet or where they live.
ParlaMint-NO_2022-01-18.ana.ud386e741	In the last decades there have been great advances in Norwegian dental health. Today, Norway has a dental service at the top of the world, and figures from the Central Statistical Office show that almost 80 pst. of the Norwegian population has good dental health. In other words, we in Norway are good at taking care of our dental and oral hygiene and cleaning our teeth. The way we have organized our dental care works well, and the Right has, over eight years in government, helped to make it even better. Since 2013, we have increased the protection systems for people with special needs, and every year, half a million people receive support for dental treatment from the population. We have also strengthened the TOO scheme, which targets torture and assault victims and people with severe dental distress – last in the state budget for 2022, when we increased the scheme by 20 million. kr. In fact, dental treatment is free of charge for one in four residents of Norway, including children and young people, drug addicts and older people who receive home care or live in an institution. The proposal we are discussing today proposes to do dentistry free of charge for everyone, but the proposal says little about what it will cost, and how it will be financed. It's estimated that it'll cost up to 12 billion. to do dentistry free of charge for all in Norway. There's a lot of money to spend on a dental service that's already world-class, in a country that already has good dental arrangements, and there almost 80 pst. the population has good dental health. If that's how I got 12 billion. kr extra in the trap that I could use on the health and care budget, I probably had not prioritised free dental care for everyone first. Then I would give priority to using the funds to give people who are struggling with drugs and mental health, a better offer, to bring down waiting times, which have increased due to the pandemic, so that people come back to work and everyday life faster, or to give a lift to health professionals. For this also becomes a priority issue. Right will work for us to have a high-quality dental care service, and we will strengthen the support systems for those who need it the most. We will continue today's dental service, which works well. But the right is also open to see how we can do better dental care in Norway, and that was also why we, in the government in connection with the paper on health care priorities, said that we would promote our own message to the Norwegian Dental Service. I am very happy to see that the new government has chosen to follow this up further, and I look forward to receiving a separate report on dental services in Norway for treatment in Stortinget.
ParlaMint-NO_2022-01-18.ana.ud386e756	I got a picture of Karius and Bactus in my head after the previous debate, but we'll try to get a step further. Dental health as a part of and condoned by a strong public health service is an important field of government initiative. This government has seen dental health on the agenda, and together with SV here on Stortinget, an already this winter has come with a clear direction and a clear strategy for how to achieve the government's goal of a gradual extension of the public dentistry service, with a common goal of balancing it with other health services. Already in the current year, a dental service expands and assigns county authorities the task of offering a 50 pst. reduction in the price of treatment to all aged 21 and 22 years. From before, we know well that 19- and 20-year-olds have 25 pst. own-payment. In addition, the multi-disciplinary supply of psychology and dental treatment to people who have suffered torture or assault, and people who are seriously afraid of dental treatment, strengthens by 60 million. kr. This is an offer that calls for a long waiting period for treatment, and the reinforcement allows for a better supply and focus on those parts of the country that have a long waiting period. In the context of the treatment of the State budget, a number of important clarifications have also been provided for further dental work. Among other things, the majority of the Stortinget government has asked the government to start an arrangement to clarify the status of dental care in general in Norway, especially the geographical and social differences you experience today, and differences between private and public dental services. Not least, then, there will be a selection to come back to us with suggestions to ensure a dental service that is balanced with other health services, as well as schemes and models for introducing self-employees. The Labour Party, the Centre Party and the SV have already raised dental health as a particularly important area, and the work to smooth out differences in our country has started well. The representative is not asking for a new policy, and many of the proposals that are being put forward are already being clarified and worked on. If I'm allowed to, "Push kiss, you'll get a kiss." It was a song I learned from River and Trond-Viggo in the growing up of the 1980s, to the toothbrush before bedtime. Now we can really kiss our teeth with certain that we have a big deal and a government that takes dental health seriously.
ParlaMint-NO_2022-01-18.ana.ud386e771	It's time we recognized our teeth as part of our body. Too many people are struggling with dental health, and those who are already struggling to get their ends to meet are hard hit. The Dental Scheme must be strengthened through better reimbursement schemes, where we should give priority to the elderly and vulnerable groups. Many Norwegian pensioners already have a very poor economy, and expensive dental treatment does not help improve the situation. Dental practitioners must be an integral part of the interplay of the health sector, which is necessary for patient safety, joint action against lifestyle diseases and to ensure the economy of patients. In the state budget for 2021, the Progress Party was given the advantage of introducing a free dental test scheme for those receiving home care or living in nursing homes in Agder and in Rome. For many older people, this made an important contribution both to better dental health and to a better private economy. Unfortunately, these are funds that the government parties have now removed. That means that many older people have to go out with large sums, from an already desperate economy, to fund their own dental health. For the Progress Party, the most important thing will be to help those who need it the most. Parents should not get their economy threatened by taking care of their teeth. A basic objective of dental care in Norway must be that all have equal access to dental services, regardless of background, economics, gender or disease. Too many people go to the dentist almost an impossible mental problem. These we have to help. Many odontophobia, torture and assault spaces depend entirely on a good TOO scheme to improve their dental situation. The organised dental care provided by this scheme allows these patients to have their own follow-up to the challenges they face. Several of these patients have major dental problems, which pose a risk to the development of serious infections. Many have mental problems and struggle with extravagance and guilt. In addition, when there is enormous waiting time for an evaluation interview on the TOO teams, this could lead to a serious deterioration of already existing mental problems. The waiting times are up to four years, which means that many people who are victims of abuse or torture, or who have odontophobia, will not receive absolutely necessary dental care. It is unacceptable, whether the psychological treatment and dental treatment of interdisciplinary treatment teams are free of charge. It doesn't mean that the help is free when it waits for years. Therefore, the planned dental care for this group needs to be considerably strengthened over the years to come. Furthermore, the Advance Party points out that dental care needs to be strengthened through better reimbursement schemes and that dentists must be an integral part of the interplay of the health sector. It is necessary both in the context of patient safety, joint action against lifestyle diseases and in order to safeguard the financial rights of patients.
ParlaMint-NO_2022-01-18.ana.ud386e784	For too many years, the dental health of the North has been the most obvious marker in the great class divisions of our society. It should not cost more to go to the dentist than to go to the doctor, and it is time to get something done with the dental care of the Nordics. There is a need to strengthen the welfare of a dental reform to ensure that more people can receive public treatment and that dental care becomes part of public health. I am pleased that the SV’s large-scale group in the course of the year’s budget was given the money to start this work. At the same time, we still have a long way to go to realize a fully-fledged dental reform. It is important to ensure that older people and others with home-based care and in-situ care are actually granted their rights. The fact that dental health is the great class distinction is also shown in dental regulations for children. A report from the SSB in 2019 showed that children from families with lower income were less likely to receive dental regulation than children from families with good income. The entry from the representative of the Workers' Party must be said to be bold and perhaps at the limit of a little shameless, in order to present SV's victories in the budgetary process as government policy, I find it strange. I understand that the representative needs to brag by the government, but honesty is the longest, and the most honest one had been that the representative from the Workers' Party mentioned SV in his post. I am pleased with the penetrations that SV got, but it also shows that the government needs to pushes from Stortinget to realize a fully-fledged dental reform. With that, I'll take up SV's proposal.
ParlaMint-NO_2022-01-18.ana.ud386e795	The representative Marian Hussein has taken up the suggestions she referred to.
ParlaMint-NO_2022-01-18.ana.ud386e800	If you break your leg, you should have access to health care, no matter how thick your wallet is, or how many zeros there are behind the sum of your savings account, if at all you have one. What's nice about our health care system is that it doesn't matter what's wrong with you, you get help. But then there's one exception: the teeth. You can see a difference in the economy of people by looking at their teeth. The unemployed, disabled and students are above the national average among those who say they have an unmet need for dental treatment. There are invisible cows in today's dental system with people who never get the treatment they need because it costs money. When people have to drop the dental visit or take up consumption loans to pay the bill, it shows that we have a big hole in the welfare state, and that's this hole Red will close. Tooth problems can have a major impact on the general state of health. Infections in the gums can cause cardiovascular diseases, which cost many years of life. The state of health of the mouth and the ability to chew have an impact on general health, nutrition, social life and quality of life. In other words, the teeth are part of our body and part of our health, and they also have to be treated like that. In the summer, Ipsos made a poll on the order from Red, and one of the questions was whether people agree or disagree that the richest in society should pay more taxes to finance a public dental service for everyone. Almost 70 pst. replied that they fully or partially agreed. Of those who said they would vote in the Labour Party or the Center Party, it was 86 pst. who agreed. And just for information, everyone means everyone, including people who are 30 or 50 or in a completely different age group. If we're going to get down the differences and do what's needed to ensure a dental offer to everyone, the government can't hesitate on the Right Tax Cut to the nation's richest. Then we don't get the dental reform that we actually need. In practice, when teeth are not treated as part of the body, it is suggested that the differences in society are reflected in the health of the population. When people have to pay several thousand to drill, the consequence is that people who have poor advice cannot meet their health needs. Fortunately, there is a new government, which says it aims to equalise dental care with other health services. It's important, but in practice, the government does too much, too little. The time when we thought the teeth were a private matter must be over. A dental reform can be a major welfare reform for equal health care for all of us today. I take up Red's proposal in the matter.
ParlaMint-NO_2022-01-18.ana.ud386e819	The representative Seher Aydar has taken up the suggestions she referred to.
ParlaMint-NO_2022-01-18.ana.ud386e824	Good dental health is important to all of us. It matters to our somatic health, to our mental health, to our social life, and not least that we get the food we need at all times. It goes all over this if you don't have good dental health. I believe that the most important thing we do now is to build stone on stone in terms of dental health and its implementation in the Norwegian health care system, and that we first prioritise those who need it the most. An example is the TOO system, where those who need it most are given the most priority. I agree that the waiting lists that are not good for patients must therefore be given even more priority. At the same time, I am pleased that the previous government promoted a big message about priority – sometimes difficult for us politicians – in the primary health service, where it was also announced that a separate announcement should be made about the dental service for the Stortinget. I am pleased that the current government is behind this and will deliver a message. I am pleased with the message about dental care coming, so that we can jointly prioritise within that message. Pending this, the Christian People's Party will not vote for the proposals today, but we are looking forward to that announcement coming to Stortinget, with the whole of Norwegian dental service.
ParlaMint-NO_2022-01-18.ana.ud386e836	It's said a lot about the importance of dental health to us, so I'm not going to give a long speech or a seminar on it. What we know is that everything is related to everything, including in our body, and we notice that when we have toothache. Poor dental hygiene and bacterial build-up in the mouth lead to diseases in teeth and gums, and it has been shown that association between dental diseases and poor dental health leads to diabetes as well as cardiovascular diseases, as well as dementia. So it's the way that a policy is going to be consistent, it's going to be related. Patient focus supports Red’s proposal, and this is also to be considered as a explanation of vote, as it comes out slightly differently in the setting that exists. This means that the patient’s focus believes that the Red’s proposal is good and correct.
ParlaMint-NO_2022-01-18.ana.ud386e845	Tannhelse is on the political agenda. That's what we've fixed on the Hurdal platform. The aim is a gradual expansion of the public dental service with the aim of equalising it with other health services. The first step was through the budgetary agreement with the Socialist Left in November 2021. The County Dental Service was strengthened in 2022 by an increase in free income. We have also strengthened the framework of county councils so that they can provide dental services to 21 and 22-year-olds with 50 p.m. self-payment. The interdisciplinary psychological and dental treatment of people who have suffered torture or assault and those who are seriously afraid of dental treatment is increased by 60 million. kr. The public support for dental regulation has also been increased by 50 million. NOK 2022, and the tariffs increased from the turn of the year. The government will follow up the decision of the Storting to set up a sample to make proposals to ensure that dental services are treated in the same way as other healthcare services, including self-participation models. I would also like to follow up the request decision on an investigation into the status of dental services in Norway, among others. social and geographical differences in use and access, reasons for differences, the relationship between private and public supply, and differences in prices and treatment. It becomes an important part of the knowledge base for the work of the sample. This shows that the government has taken several steps towards getting dental health into political processes. We will also follow up the Hurdal Platform's objectives of better prevention, expand public responsibility for young people over 18 years of age, strengthen social welfare and ensure that those entitled to free public dental care receive a better and better offer. The priority message presented last year is now being processed in Stortinget. The government has chosen to support this message, including the proposals to provide a separate message on dental services. The new sample will naturally take time for the investigation, and I will already inform you that the grossing-up message will be submitted only after the sample has delivered its setting.
ParlaMint-NO_2022-01-18.ana.ud386e858	It's going to be line change.
ParlaMint-NO_2022-01-18.ana.ud386e863	For many years the Labour Party has promised free dental service in Norway, but has not been able to deliver on it. The Hurdal platform also states, as the Council of State said in its statement, that a gradual expansion of the public dental service will aim to equalise it with other health services. If dental services are to be provided free of charge for everyone in Norway, it will cost up to 12 billion. kr. I think the Council of State agrees with me that there is a lot of money, especially in a country where 80 pst. of the population have quite good dental health, where we have good arrangements for those who need it the most, and where we have a well-organized dental service. My question to the Council of State will then be: if you want to expand your dental care, which will cost 12 billion dollars. How, then, will the Council of State give priority to other health care tasks today?
ParlaMint-NO_2022-01-18.ana.ud386e870	I hear the Right won't spend 12 billion. kr, it has been clearly stated by the representative in his statement and now repeats it in the change of line. I also hear that the Right wants to be with and discuss how to gradually make the Public Dental Service more and more accessible. There's an interesting discussion in the continuation. The government has already begun a gradual expansion of public dentistry, it has been reinforced by the budgetary agreement with the Socialist Left Party for this year's budget, and we have given priority to those groups that need the most public dental care and, unfortunately, not to the same extent as many others who have access to a good private offer, priority or have the opportunity to prioritize good dental treatment.
ParlaMint-NO_2022-01-18.ana.ud386e875	It is quite right that the Right will be involved in discussing dental care, but our starting point is that we have a very good dental service in Norway today. Our starting point is also that if we're to strengthen dental care, we have to do it for those people who need it the most, for example. The TOO system, the screening system, children and young people and other groups that require public intervention — not everything for everyone. What I'm registering is that the Council of State does not answer my question about how to prioritize with respect to the 12 billion. kr which this will cost. The Council of State does not reject my claim that it will cost 12 billion. kr. I think maybe a little because of that is that one does not have a good enough response to how one should give priority to different health care tasks, for example. mental health or the reduction of waiting times. I'll try again and ask the Council of State, where will the Council of State and the Government find the 12 billion. Do you really want to delete this item? And is the reason why the Workers' Party hasn't managed to do this before, that you haven't been able to find that money?
ParlaMint-NO_2022-01-18.ana.ud386e884	12 B.C.E. kr is a number right has to own itself. I'm recording that the Right says that 12 billion. kr they do not want to use on dental health. And that it should be the subject of a priority, I also leave to the Right to explain. I would like to repeat my answer. We want a gradual expansion of public dentistry with the aim of equalising it with other health services. Then it will be a priority in each state budget. We will also follow up on what lies in the request decisions in Stortinget from before, in particular what is about investigating, among other things. social and geographical differences in the use and availability of dental services, reasons for differences and also the relationship between private and public supply and differences in prices and treatment. The latter was something right in its time in government was very reluctant to do. We want to do something about that.
ParlaMint-NO_2022-01-18.ana.ud386e891	It was probably the speeches of the previous speaker that made me aware that it may sometimes be more important to make visible how a government that is supported by SV finds money for dental health – and not when the right government received support from the Progress Party here on Stortinget, and they found money to give tax relief to the richest and took both glasses and other support, other reimbursement schemes in popular security from weaker groups. So my question to the Council of State is, when can 21-year-olds and 22-year-olds expect to get 50 pst. discount on dental treatment? Can I ask all 21-year-olds in Oslo to contact the County Health Service?
ParlaMint-NO_2022-01-18.ana.ud386e898	We have strengthened the public dental service for which the county councils are currently responsible, both through increased free revenues and a strengthening in which we point to this by giving priority to 21 and 22 year-olds. I come from a county that is now merged, the Nord-Trøndelag, where, on one's own keel, the priority was even higher to give free dental treatment. Our wish is that there should be equivalent access to dental care, and that it should also be the same payment system, but we have to do this gradually. Then I think we got out of it well in the negotiations this year, where SV was clear on their priorities, and Norwegian citizens benefited by strengthening our public dental service.
ParlaMint-NO_2022-01-18.ana.ud386e907	A lot of people don't go to a dentist just because they can't afford it. There are quite a number of people sitting outside a dental office with a dental bill they know they can't pay. They must live with pain and suffering. So it's pretty far from the goal that the government has set to equate dental services with other health services, and what the government actually does, which is half the price of 19 to 21 year olds. Does the Council of State think it's enough to actually target, or can we continue to make sure that everyone can go to the dentist and get the treatment they need?
ParlaMint-NO_2022-01-18.ana.ud386e914	The Hurdal Platform states that we should gradually expand the public dental service, with the aim of making it more equal to other health services. Then it's red that's impatient and wants a reform within four years. I have to say that I am unsure whether it is practicable, and whether it is possible to finance it. You'll have to look into Red's alternative state budgets to find out. But my task is to implement the Hurdal platform, and there we have also started in this year's budget, where we were only given the opportunity to submit an additional letter. We also negotiated with SV, which had a clear priority in the direction. So that's what we're working for: a gradual expansion.
ParlaMint-NO_2022-01-18.ana.ud386e920	Red sets over 3 billion. For dental reform in its alternative budgets. It's actually completely possible to fund a dental reform if the government wants it. Then I hear the government says that what we're presenting is not realistic to the government. Then the question is, what is realistic? What way is that government going to follow to actually achieve its own goal of treating teeth as part of the body? What is the government's realistic path to that goal within their own period of government?
ParlaMint-NO_2022-01-18.ana.ud386e927	Now we're going to follow up two decisions from Stortinget. One is about putting down a sample to look at several elements, and the other is a proposal contained in the priority message currently being addressed by the Stortinge, about a separate hoarding message for the dental field. We're going to follow up both of the two political processes, and they mean I'm pointing in one direction. I was more questionable as to whether it is practicable to carry out a dental reform in the format described by Red. And then I guess I'm even more questioning about whether it's possible to get a majority of Red's alternative budget, but it's another bowl.
ParlaMint-NO_2022-01-18.ana.ud386e934	The cord shift is over. The speakers who are given the floor hereafter also have a speaking time of up to 3 minutes.
ParlaMint-NO_2022-01-18.ana.ud386e941	In 1996, my mother had breast cancer with spread to the lymph nodes. To stow the cancer and save her life, she was sent on radiation. Then she flew every day from Stavanger to Haukeland Hospital in Bergen to be radiant. On one of the trips on her way home from Bergen she discovered to her great dismay that when she had got a bowl on board the plane from Braathen's SAFE, as it was hot at the time, the one tooth sat in the ball again. It was the first tooth that smoke, but the next week the smoke teeth after the tooth after the tooth until she finally had three teeth left in her mouth. Despite the fact that my mother had been exposed to radiation damage in the health care system, although she had cancer, the propensities for getting new teeth at the time were tens of thousands of dollars. Her story is not unique. If you go to a website like www.spleis.no, you will find hundreds of stories with people who all of them, because of other serious diseases, because of childhood abuse, mental illness, disorders, cancer, or, for that matter, brain stroke, have to pay large sums to dental health, because the dental problems they get. Then it's a little strange to hear more representatives from this pulpit say that dental health is primarily a question of whether you're good at brushing your teeth, like the representative Svardal Bøe from the Right, among other things. was in the room. My mother was not bad at brushing her teeth – she is not in and of herself today either – but it helps very little to use fluorine and dental floss when you lose all your teeth because you have cancer and become damaged with radiation. As Ojala's representative was in, the relationship between dental health and all other health in the body is very close. Serious dental problems often come with other diseases, and serious dental problems continue to cause other serious diseases, which the Norwegian health system also has to take the bill to treat. This is so weird. My mother has cost Norwegian taxpayers a tremendous amount of money, my mother has honestly been a loss project for the state of Norway from the day she got sick, but never has anyone come up with the idea that my mother should have paid for half of her radiation cure, for half her cell poison cure, or for half of the treatment she receives for cancer in any other way. When it came to the teeth, the propensities were large and tall. Dental health has become a small part of the US in the Norwegian health system. Therefore, it is essential for Red to make teeth a part of the body. It's quite right, as many people have said, that there is also a question of money, but if the representative Svardal Bøe from the Right wants to get 12 billion. kr in the prisoner to solve this problem, we in Red can contribute as much as 50 billion. kr caught to the representative of the Svardal Bøe if he is willing to support our proposals to increase the taxes to those with large assets, large incomes, high inheritances, etc.
ParlaMint-NO_2022-01-18.ana.ud386e956	I don't know how much I'm going to be annoyed by the representative from Red. Those are often very big words. If he had listened to the post that I made, the very starting point for the Right was that we want to join and strengthen the dental service for those who need it the most, and the starting point for it is that we have quite good dental health in Norway, when 80 pst. has good dental health. We in the government have strengthened the shielding systems. We have strengthened the TOO system for those who experience, among others. Anxiety for going to a dentist, and it is already today that one in four people in Norway have free dental health through very good arrangements, just to those who need it the most. I am very aware that Red has a lot of money to spend. One shall treasure whole business leaders as well as others who create values. I think it's a policy that works badly, because if we don't create jobs, we don't create business, and we don't get money to fund good welfare services in our country either. The right shall be involved in and strengthen the dental service. That is why we have said that we should be involved in the big message that you are about to start from the government. When we're going to strengthen dental care, we're going to do it based on those who actually need dental care the most.
ParlaMint-NO_2022-01-18.ana.ud386e965	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2022-01-18.ana.ud386e982	At the request of the Health and Welfare Committee, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to six lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2022-01-18.ana.ud386e989	First of all, I would like to thank the proposers for focusing on an important issue and thanking the Committee for a good work on the proposal for a representative. The case is about ensuring a good hospital supply for patients in mental health protection and interdisciplinary specialised drug treatment. In this proposal, a specific focus has been on the location of specialised hospitals for psychiatric treatment and co-location with somatic hospitals. Over several decades, it has been a gradual restructuring of mental health services. The Roadmap for Mental Health 1998–2008 provided additional impetus for these developments. The reduction of large daily institutions is a consequence of this restructuring to a more outpatient, decentralised and local/municipal service provision. A change in social perception of mental disorders leads to a change in treatment methods. The Committee shares the commitment of the representatives of good care in the field of mental health protection and the provision of up-to-date knowledge and good plans of good quality and a matching capacity. The Committee believes that mental health is as important as physical health, and that for people with mental health disorders it is absolutely crucial to get help where they are. The vision of the various parties will come to light during the debate. The Committee has carried out written hearings and received several recordings from the Association of Nurses, the Association of Psychologists, Actis, the Association of Representatives, the Association of Doctors at the OUS, the Redd Rikshospitalet, the Friends of the Rikshospitalet, the Independent Group of Hospital Actionists in Oslo and the People of Aarhus. The Council of State has delivered its opinion on behalf of the Centre Party and the Labour Party on the proposals in letters to the Committee of 23 November 2021. The Council of State points out that action in the Hurdal Platform will capture the intention of the proposal for a representative. Furthermore, the Council of State points out that many people in need of mental health services will also need services before somatic health. In order to provide a whole range of services, it will be important to have good practices for interaction between somatic departments, mental health protection and the TSB. In addition, the Council of State points out that the Stortinget will have the opportunity to discuss an overarching plan for mental health services when the government submits it to notify the escalation plan. The Hurdal Platform notes that the government will provide funding to facilitate coherent patient courses and to increase patient cooperation between the municipal health services and the specialist services, provide more resources to hospitals through increased basic funding and address changes in the management of hospitals and the health services model. More resources have already been given and some of the work is running. The government will return to the Storting in its own way with regard to the follow-up to these measures. We look forward to a good debate in the main hall when it comes.
ParlaMint-NO_2022-01-18.ana.ud386e1008	Psychiatric health is a priority for this government. Making sure that you have buildings that are both health-promoting and can provide good quality to your patients is incredibly important. This government is clear that we should have an offer in the field of mental health protection and multidisciplinary specialised drug treatment that is characterised by both increased capacity and enhanced quality. The National Audit Office has pointed out that there are major deficiencies in both these areas, both in the specialist health service and in the municipalities. That's something we're taking very seriously. Daily services shall be adequate compared to the need. It's vital for some patients, but it's also necessary for society. But it's about finding the right balance. It is also true that for some people, too long hospital stays may be the wrong medicine in the length. Patients are different and should be offered and treated thereafter. We must agree that more outpatient activity has also been a desired development, and it is related to several factors that have also been developments in other countries with which we can compare. An open and user-friendly service is positive, together with an increased focus on municipal action, outreach and closer cooperation with other areas of society. There this government has already shown the ability to bet. Things have to work in good interaction, and we have a very important job ahead of us to make sure that the services for our very most vulnerable patients get better. We know that there are many patients in mental health protection and drug abuse who also have major somatic health problems and an expected shorter life expectancy. Then it's positive to think about more co-location where you get integrated services. There's something you can take more into account when you're planning new buildings. In the Hurdal platform, we are clear that we are going to make a stepping-up plan for mental health, with ear-marked means. That work is already in progress. We need to step up capacity, and we need to ensure that hospitals and businesses across the country are able to provide the services that patients need. We've already shown the ability to bet on that, and it's going to be more. I look forward to the further cooperation in this committee when we are going to put in place a stepping-up plan for mental health.
