ParlaMint-NO_2015-11-18.ana.ud1624e26	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2015-11-18.ana.ud1624e442	Now I am not the Minister of Energy, but I say as Minister of Energy and the EEA: Energy and climate are very important areas in our relationship with Europe and a theme that often goes back. We have very close cooperation with the EU in the field of energy and climate, and it is also the case that the EU sees these areas closely. We have a climate and energy framework, and today the report on energy union is being presented, and this is something we are following closely. Then, with broad support from the European Parliament, we have set up joint implementation of climate objectives with the European Union. So this is going to be the emission target. In terms of energy efficiency targets, we have high ambitions on the Norwegian side, but it is also true that in Norway we have a higher share of renewable energy and a different energy system than the rest of Europe. That's why we have other challenges. This means that when the EU makes directives for building energy efficiency improvement and for energy efficiency improvement, it is important that we review them thoroughly and that we ensure the necessary adaptations to Norwegian conditions. It's in the process we're now, for example. with the Building Energy Directive – a process to arrive at adaptations to suit Norwegian conditions. Regardless of EU policy, we have a good energy efficiency improvement policy adapted to Norwegian conditions through a number of instruments. With regard to the Energy Efficiency Directive, we aim to arrive at a Norwegian position on that Directive soon.
ParlaMint-NO_2015-11-18.ana.ud1624e451	I thank you for the answer, although I guess I did not get a complete answer as to whether we want to implement the directives or not. As far as energy efficiency is concerned, as late as yesterday, the government introduced a new technical regulation allowing for more use of electricity for heating, which is a breach of what has been a policy of the past. However, in addition to concrete targets for emissions reduction, the EU has several energy and climate objectives, both for 2020 and 2030, as targets for renewable energy share, increased energy efficiency and conversion in the transport sector. It is absolutely necessary that Norway, with its energy resources and competences, contribute to the achievement of these objectives by Europe. In what way should the government ensure that Norway contributes to the second two objectives of the EU for 2030, i.e. 27 pst. renewable share and 27 pst. increased energy efficiency? And a little bit in the extension of it too: Will this be part of the bilateral climate agreement between Norway and the EU or not? And if you don't want to contribute to these goals, what's the reason for this?
ParlaMint-NO_2015-11-18.ana.ud1624e460	The basis for the EEAG Communication on the joint implementation of climate objectives with the EU is a joint implementation in relation to the emission targets. No national binding 2030 targets are set in the EU on the share of renewables and on energy efficiency improvement. It is in line with what was Norwegian view in the debate on the climate and energy framework. However, increasing renewable efforts and increasing energy efficiency are important contributions to reducing emissions, and Norway will contribute there. We have a number of instruments to promote more efficient use of energy, we have strict energy requirements for construction, and we have different support mechanisms – through Enova thousands of large and small projects are supported each year that contribute to energy efficiency in construction, construction, industry, etc.
ParlaMint-NO_2015-11-18.ana.ud1624e467	It opens for follow-up questions – first Svein Abrahamsen.
ParlaMint-NO_2015-11-18.ana.ud1624e470	Norway was recently convicted in the EFTA Court of Justice that air quality in several places in the country does not meet the environmental requirements of EEA legislation. Emissions from the transport sector have a major impact on air quality and greenhouse gas emissions. In this context, I point out that last autumn the EU adopted a Directive establishing an alternative fuel infrastructure in the transport sector. This Directive requires, inter alia: large-scale expansion of electric car charging stations and shore-side power installations for ships in major ports. My question is: what will the Council of State do to ensure the rapid implementation of this Directive in Norway?
ParlaMint-NO_2015-11-18.ana.ud1624e477	In order to take the starting point for the question: it is correct that EFTA has made a judgment against Norway in the same way as the European Commission has brought an action against a number of EU countries for breach of the Air Quality Directive. For Norway, this applies from 2009 to 2012. We take note of the judgment, and we have already taken several measures. This alternative fuels directive is a directive that is to be assessed and which we will come back to implementing when it is ready to be dealt with.
ParlaMint-NO_2015-11-18.ana.ud1624e482	Terje Aasland – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e486	It may not have been as wrong to refer to the Council of State as Minister of Energy, perhaps not as Minister of Climate and Environment, because it is improper that, as European Minister of State – and with our close relationship with the European Union in matters such as energy, environment and climate – the Council of State has a considerable responsibility in those fields. We see developments moving towards becoming more and more dependent on, or involved in, the EU system in precisely these themes and areas. It is important, of course, that Norway should be as coherent as possible and that there are good anchoring processes in how the government thinks in its communication with the EU. My question to the Council of State will therefore be: Does the Council of State, with a background to development, see any need for the expert councils to be more closely involved with the Stortingen in our approach to the EU in such important national issues as the environment, energy and climate?
ParlaMint-NO_2015-11-18.ana.ud1624e493	There is no area in which, on the part of the government in European policy, we have placed so much emphasis on interactions between climate and energy policy, including between climate and energy ministers, and also in relation to the Stortinget. It was at an early stage that we stressed the need to have a Norwegian agreed position on the EU's climate and energy framework, and this is the case now, when we see the EU's work in the field of climate change and the EU's work on the Energy Union moving forward with an overall approach, which requires us to also have an overall approach. Through consultations we have with the European Committee of the Regions, where the specialist councils also report on important issues in their field, we contribute to the close involvement of the Stortinge in these issues, and it will also be in the future in the important months that we have in front of us in these areas.
ParlaMint-NO_2015-11-18.ana.ud1624e498	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e501	No one is going to accuse the European Minister of Inspired Voting here in the Grand Chamber, and that is why it might say that I am still being inspired by a follow-up question. From the government's side, there is often the impression that we are committed to all the EU's climate objectives. The reality is that it is wrong. The EU's climate objectives have three pillars. It's emissions cut, as the minister confirmed that we're joining, and then it's in the energy efficiency field and in the renewables field. Then really is my question to the European Minister: When we know that Norway is one of the five countries in the world that uses the most energy per capita – another country is Iceland, where they are watering in lava – is it by chance that we in Norway join the goals where we can buy ourselves from commitments and pay others to do the job, while the directives that oblige us to do the job at home, do we say no?
ParlaMint-NO_2015-11-18.ana.ud1624e510	The President doesn't think there's any special reason to lead the use of voice in the Storting, as long as the answers are good.
ParlaMint-NO_2015-11-18.ana.ud1624e513	If my voice usage had been more inspiring, perhaps the representative, Eidsvoll Holmås, could still find out that in the previous answer I actually said that we are joining one of these three climate targets, namely the climate target that concerns emissions cuts. It is the most important thing, and it is also the most important thing on the part of the European Union because it is the only thing that is binding on individual countries. We will reach that goal, for example: by actively investing in energy efficiency improvement and the development of renewable solutions. However, it is a difficult reality that Norway has a much higher renewable share than other European countries. It is a difficult reality that our energy mix is completely different from that of most other European countries, and not all instruments are agreed on at the common European level, which will fit Norwegian conditions. There are many other European countries that also believe that the use of the instrument needs to be added as much as possible to each country. That is why we put great emphasis on the emission target – but we also place great emphasis on national instruments to achieve it.
ParlaMint-NO_2015-11-18.ana.ud1624e522	Let's move on to the next main question.
ParlaMint-NO_2015-11-18.ana.ud1624e525	My question goes to Minister Horne. The police have revealed that known sexual offenders are circling around vulnerable and young people in shelters. There's a suspicion of assault, reports Kripos. This applies to several places in the country, and you are very concerned. This must be stopped. If these kids disappear, nobody's looking. Horne and I were present at a presentation of a Fafo report showing this. Children seeking asylum alone are extremely vulnerable. They can be very easy to lure because they are so desperately lonely and need contact with adults. It hardly helps to report and record if there are not enough adults to take care of. When one adult is going to look after 30 wounded, terrified, lonely young people who don't trust adults at all, I realize that it can go wrong. I don't think anyone would have accepted anything like this for Norwegian youths who don't have parents and bosses to take care of themselves. In its budget, SV contributes money to more adults and to its own actions for vulnerable children, as well as to finding missing children. This is very serious, and all these children are the responsibility of the Minister of Children, because they are in Norway. This has been confirmed by the Minister for the Child, among others. on this Fafo lunch. Then I would like to ask the Minister: what are the three main measures that the Council of State has now taken at the asylum recipients, in the care centres and in the transit reception centres to stop these children from being subjected to abuse while they are under our responsibility?
ParlaMint-NO_2015-11-18.ana.ud1624e538	All children coming to Norway, regardless of their residence status, are responsible for child protection. Many of these children live in emergency facilities outside the municipalities, and both the Health Directorate and Buffdir have now sent a letter to the municipalities that they must be very aware of the situation in which children on reception may be in. The fact that a child disappears is serious. The things are challenging, and they're very complex. There are children who disappear because they don't want to be here, there may be children who are being traded on human beings, there may be children who find relatives, and there may also be children who don't want to live there. That's why it's very important that we have good practice at the care centers we have. I have close and good contact with Bufetat up to several times a week to assure me that we have good practice on this, and that the safety of the care centres is ensured. We also provide good guidance for the new care centres, which are now set up at a rapid pace. It is also important that we provide adequate safety and routines at the centres – including in terms of the safety of the premises – that there is high adult density and that there are cameras on the outside. It is also important that child protection is aware of the routines they must have with the police. If someone disappears, you have to report them to the police. It's the police that's going to follow these kids, but it's often hard to follow them up, because it's hard to know where they've gone. This is a difficult topic. I share very much the concerns of the representative – and also the concerns of many agencies. But I'm doing the best I can by having good practice at the care centres and having good training for the employees who are there. I have good contact with the Minister of Justice about this.
ParlaMint-NO_2015-11-18.ana.ud1624e549	Unfortunately, I am not very sure of the answer given by the Council of State, because it does not help to be concerned. The concerns that the police are now reporting are about ensuring that resources are deployed, strengthening the staffing of the receptions so that there are enough adults there to take care of, and that these are not just routines that say that you write a report that you send to another floor and finish it and right in the drawer – because that's how it happens. It is even true that in the budget just presented by the Council of State, Horne, it opens up so that there will be fewer adults. At receptions for them under the age of 15 and at receptions for them over the age of 15, we know that today there is one adult to care for 30 children. How can the Council of State feel that there is increased security for children reported by the police as being at risk of abuse?
ParlaMint-NO_2015-11-18.ana.ud1624e554	In the care centres for which Bufetat is responsible, there is currently a crew density of two adults per child. There is an extraordinary situation we are now facing, last week 66 children arrived, throughout 2014 188 came. So in the last few months, we've only had more than 50 care centers in place to meet our demand. The most important thing I can do now is to make sure that adults who care for these children have good routines, good and close contact with the children, follow them up when they are at school – whether they have friends with them at home – and not least that it is reported to the police if you are concerned about escape and disappearance, and if there is a disappearance. I can assure the representative that I have close and close contact with the Minister of Justice as well, and both the UDI and the police have strengthened the capacity and resources for child-care competence at the receptions for which they are responsible to follow up these children.
ParlaMint-NO_2015-11-18.ana.ud1624e564	It opens up for follow-up questions – first Kirsti Bergstø.
ParlaMint-NO_2015-11-18.ana.ud1624e567	‘All children in Norway are ‘our children’,’ said the Council of State during the performance of a Fafo report on minor victims of trafficking in human beings, a report that, as mentioned above, struck firmly and clearly the opposite. Children disappear, children are attacked, the effort is in no way good enough. In the Question Time on 4 November, the Prime Minister said: ‘Shall all lone minor asylum seekers be treated as if they were child-restraint children? [[...]] And then my answer is, "No." I repeat the question: how is the Minister for Children supposed to protect children who are particularly vulnerable? Is it that safe and accessible adults can be replaced by good enough routines? And is it that the Council of State believes that there is a difference between our children and the children of the others?
ParlaMint-NO_2015-11-18.ana.ud1624e579	All children coming to Norway, regardless of their residence status, have the help they need, if they need assistance from child protection. However, all children coming to Norway do not have to be child-restraint children. There I fully agree with the Prime Minister: all children or all young people should not be under child protection. The size decided in 2009 to give them under 15 years of age an additional follow-up from child protection. It's a responsibility that we're now taking, and so we've increased the budgets for this. Then it's like when the children who live in asylum receptions come out to the municipalities, it's the municipal child protection out there in the municipalities that have an extra responsibility to follow up all the children. It is important that child protection is aware of. That is why we are also working against the municipalities. We have sent a letter stating that the municipalities must be aware that both children living in care centres, children living in reception centres, and children living at normal reception with their parents are entitled to the same child protection services as other children.
ParlaMint-NO_2015-11-18.ana.ud1624e588	Eirin Sund - for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e591	I hear the council say that there is no difference between children whether they are our children or those of others. But it is now the case that single minor asylum seekers are an enormously vulnerable group who have often experienced cruel things that we cannot imagine, on their flight from war and conflict, and who therefore need extensive and long-term follow-up, support and security. I know that the Council of State believes that there is no difference between their children and our children, but at the same time she is now presenting a budget that just opens up to make a difference between our children and those of others. The differences actually increase by one, among other things. lowers the requirements for care and supervision in care centres. Then I have to ask: what is it that makes lonely children after a traumatic flight, and who have a lot of luggage with them, deserve a worse offer than what our children would have received?
ParlaMint-NO_2015-11-18.ana.ud1624e596	I believe that the lone minors who come to Norway, whether they are over or under 15 years of age, get a good offer here in the country. The municipalities receiving asylum with single minors over the age of 15 are receiving an increase in the host grant, which is to go to health services and to the challenges that children face. Buffetat is responsible for the children under the age of 15. It is a difficult situation when we expect it to come at least about. 1 000 single minors – compared with 188 last year – to which we will have an offer. That is why we have strengthened the grant to the care centres by 1.2 billion. kr next year. We've also had to look at living in multi-hull rooms, and in the situation we're in now, we also have to look at whether we're going to go down on the manning factor. However, they shall be treated safely and well in the care centres in which they are located. And then it's not in the care centers, but out in the municipalities they're going to live.
ParlaMint-NO_2015-11-18.ana.ud1624e603	Heidi Greni – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e606	We all agree that the most vulnerable refugees are the lonely minors. They are in reception where there is too little adult density and too little opportunity to see the individual. The Minister for Children himself has called for a faster settlement of lone minor refugees, and I assume that the Minister agrees with me that the goal must be the shortest possible time in reception and the fastest possible settlement. In the hearing of the Committee on the State Budget, KS was very clear that the main weakness of the draft budget was the full funding of child protection measures. The main measure of housing for several single minors was the full funding of child protection measures, and they were also clear that the increase in the integration grant was not sufficiently targeted and that it could be cut off favourably, against full funding of the child protection measures. Why does the Minister for Children not want to listen to the KS in this matter?
ParlaMint-NO_2015-11-18.ana.ud1624e613	I am very happy that we have a close and good cooperation with the KS. In the additional number we have now promoted, we also need to look at whether we are looking at another financing model, a priced financing that has been set up by a very large number of municipalities, where municipalities can choose between a reimbursement scheme and a priced financing. That's where we're going to start a quick job. Then I'm very happy that, in addition to the municipalities, they cover 80 pst. of the costs of child protection measures in municipalities, the government has increased the special grant to minors for the current year, and we have also increased it by NOK 100 000 for each single minor for the next year. I have the hope that we will be able to proceed in the settlement of the lone minors. It's also a priority when we're dealing with housing. I hope that more people can live in families, when we see the great commitment of families who now want to be foster homes for the lonely minors.
ParlaMint-NO_2015-11-18.ana.ud1624e622	Let's move on to the next main question.
ParlaMint-NO_2015-11-18.ana.ud1624e625	Since 2000, 600 unaccompanied minor asylum seekers have disappeared from reception. In July alone, 13 children disappeared, and in September, 31 children disappeared. I am aware that it is PU and UDI at the Minister of Justice who are responsible for this, but as Minister of Children for all children, the Council of State Horne also has a responsibility. The Child Protection Act states that we should ensure that all children and young people are provided with the necessary assistance and care in a timely manner and that the law applies to all children living in the Kingdom. Then I wonder, what does the Minister for Children do to clarify where the 600 children have disappeared? What do we do to make this not happen again, to get control that this stops happening, and control that one has a process to figure out where the 600 children are going?
ParlaMint-NO_2015-11-18.ana.ud1624e631	It is serious when minors disappear, and the issues, as I said in a previous answer, are challenging, among other things. Because we don't know enough about the kids that disappear. These figures are also uncertain, and preliminary figures from the ongoing research show that children are often counted twice. We see that there are some kids who don't want to be here. We see that there are some children who, when they get a discount, choose to disappear, and we also see that there are children looking for other relatives. Unfortunately, there are also indications that some of these children are exposed to trafficking in human beings. I can assure the representative and Stortinget that this is something that concerns me too. That is why it is so important that we have good practice, that they receive good training, that they work with children every day at care centres, and that there is child-care competence on the asylum recipients of single minors. Those under 15 years of age, we're registering in a reporting system. We have also put in extra funds to follow these children to learn more about them, but it is not least important to report them to the police. As for how the police follow up, I am in close contact with the Minister of Justice about how we can improve this work. But we're in an extraordinary situation with a lot of kids coming, which requires us to set up. We do what we can to ensure that the children in need of child protection are given as much care as possible.
ParlaMint-NO_2015-11-18.ana.ud1624e638	We who sit in this room relate to the numbers that come from the police. Whether it is wrong that it is 600, or whether it should be fewer – that the number is wrong – is not important to me. I think one child who disappears is one child too much that disappears. I have to say that I am a little abandoned when the Council of State says that the situation is demanding, but nevertheless creates the impression that the situation is under control, when we hear that the Red Cross and others sound a strong alarm about how children – especially on the Tøen – are not being cared for, either in terms of their needs or in terms of their rights. One experiences, says Red Cross, that children disappear from reception that day, that the sibling splits. And it's massive care failure, they say. Then I think, is it to have the situation under control? Does the Minister for Children have control over the need and legal certainty of children in this demanding situation?
ParlaMint-NO_2015-11-18.ana.ud1624e645	Care centres shall work for the best of children and shall work continuously to prevent both escape and disappearance. All care centres shall have good procedures for disappearance and escape. To the situation on Tøen: it is Oslo Municipality that is responsible for the child protection service on Tøen. It is also the case that the PU should have a pediatric presence on the Tøen. We are in close and good dialogue with the Municipality of Oslo to ensure that this comes into place. This was a concern that I raised already in September with the Municipality of Oslo, and the directorate is in good contact with the Municipality of Oslo about how we can manage to provide both guidance and help with the challenge that we have. The representative was also involved in this with the sibling being split up. The sister shall not be separated even if they belong to different age groups. An assessment is also made on each case. This is something that I also mention with Bufetat, to ensure that the sibling is not separated, but that it is assessed in each case.
ParlaMint-NO_2015-11-18.ana.ud1624e654	It opens for further follow-up questions – first Geir Jørgen Bekkevold.
ParlaMint-NO_2015-11-18.ana.ud1624e657	As we hear, this is not the situation of recent dates. This is a concern we have had for a long time. One of my main concerns is that some of the children who disappear from reception are exposed to trafficking in human beings. The Christian People's Party (Christian People's Party) has put forward several proposals on improving care for lone minor asylum seekers, which I hope the Council of State will take a closer look at. One of the proposals is to set up a human trafficking team, as we had it at the Hvalstad transit reception in its time, and where you could also show good results. My question to the Council of State is: does she share the concern of the Christian People's Party that some of the children who disappear may be exposed to human trafficking? And will she be involved in taking the initiative to create a team that can work dedicated to this topic?
ParlaMint-NO_2015-11-18.ana.ud1624e666	It's true, as the representative says, that this is a long-term concern. That's why I'm very pleased with the Fafo report that we got a few weeks ago, which shows that there are some weaknesses in the system. That's something we're going to work on together – it's something that's both under my responsibilities and that's under the jurisdiction. Then I hear about a project that the Christian People's Party believes is good. I'm not negative about having good projects that show good results, if it can prevent children from being exposed to human trafficking.
ParlaMint-NO_2015-11-18.ana.ud1624e673	Karin Andersen – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e676	There is reason to ask why the Council of State has not taken the initiative for such measures. It is true that there are no children in Norway, Norwegian children under the age of 18, who do not have parents and bosses with them, who are not responsible for child protection. Everyone is, so we treat them differently. It's so bad to get rid of these kids, we're not looking. I hear the minister is satisfied as long as there are routines in which to send letters and register, but what we know is that no one is looking. No one's looking for these kids when they disappear. There's not enough adults there to take care of if there's someone who looks like nice uncles, who's offering to help out on asylum receptions, and who might be superior. Then I'm going to ask the council directly. Is the Council of State satisfied only that the disappearances are being reported and recorded, or will the Council of State do something quite specific beyond what it has now done, in order that these children are actually to be found and that there should not be any overlaps in reception?
ParlaMint-NO_2015-11-18.ana.ud1624e683	No one is satisfied when we see that there are children who disappear, but it is important that those who work closely with the children every day have good routines, that they have close contact with the school and see which adult people are in contact with these children. But it's also important that we realize and have routines in care centres that the adults who work there are actually conscious of that work. There is something I assure myself about every time I am in contact with Bufetat, that they have such routines. It is important that we report, and it may be that the police should have done more. There's something I'm raising with the Minister of Justice. But it's a demanding job we're in now, and very many of the kids that disappear will not be found, and it's almost impossible to get hold of them. Having good routines, having good training for those who are going to work with children every day, is one of the most important prevention work against escapes and disappearances that we can do.
ParlaMint-NO_2015-11-18.ana.ud1624e688	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e691	In August, the Left called for measures relating to the reception of lone minors on Tøen, and the Council of State also referred to contact with the Municipality of Oslo in September. The increase in single minors came, after all, before the other growth. Already this summer she said that the number of lone minors increased, and that is why one should have control of the Tøjen today. The councils referred to a lot of contact with the Municipality of Oslo. My question is: With the resources of the Municipality of Oslo and those of the State, is the Council of State certain that the situation on Tøen is now good enough, and that there are no longer any disappearances during registration on the island of lone minor asylum seekers?
ParlaMint-NO_2015-11-18.ana.ud1624e697	I was visiting a care centre at the end of September, and the feedback was that there was a problem with disappearances. That is why I was in close contact with Bufetat and asked them to contact the Municipality of Oslo to follow up that concern. It is the municipality of Oslo that is responsible for the child protection service on Tøen. It is PU, under the Ministry of Justice, who is responsible for children coming to the reception centres on Tøenen, and if PU believes that they cannot take responsibility for the children who are with them, they must contact Oslo Municipality Child Protection. The local child protection service in Oslo has been strengthened in order to manage children at the PU. Buffetat, for which I am responsible, is only responsible when they are going to the care centres. I had a meeting with the Municipality of Oslo last week to make sure that the situation at Tøjen is under control.
ParlaMint-NO_2015-11-18.ana.ud1624e702	Case No. So 1 is done.
ParlaMint-NO_2015-11-18.ana.ud1624e714	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 2 and 3 from Knut Storberget and Kjersti Toppe, respectively, to the Minister for Culture, must be postponed to the next Question Time when the Minister for Culture has left. Question 4, from the representative of Geir Pollestad to the Minister for Industry, must be postponed until the next Question Time, when the Minister for Industry has left.
ParlaMint-NO_2015-11-18.ana.ud1624e729	I allow myself to ask the following questions to the Minister for Municipal Affairs and Modernisation: ‘In the summer, we had an interpellation debate on how the Stortinget should be involved in the work of a new government quarter, how to avoid becoming a massive office desert, the possible use of R5 and R6 where eight departments are housed today, etc. In October, State Building presented a model and its city-forming principles for the project, which will provide the basis for a future state regulatory plan. How does the Council of State feel about this, and what will the interaction with Stortinget and Oslo City Council be like in the future?’
ParlaMint-NO_2015-11-18.ana.ud1624e738	State Building's recommendation on urban principles for a new government quarter is a response to the Ministry's letter of 26 June 2014 on the work on government regulatory plan. The mission is based on the decisions taken by the government in May 2014. Statsbyk's proposal does not address the possible use of R5 and R6 as this was not part of the assignment. The recommendations of state-building are based on the parallel tasks developed during the Idea phase in the spring, on the thorough evaluation of the evaluation committee and on the input of other key actors. The municipality of Oslo has made important contributions to the idea phase. State-building proposals show that it is possible to establish a functional government quarter with moderate building heights, where there is room for both a large park and the consideration for walking and cycling is given great weight. The recommendation of state-building shows a concrete proposal. It's just the town-forming principles, that is. the overall framework for streets, building heights and building limits proposed for further work on the regulatory plan. Around the turn of the year, the government will address issues related to State Building’s urban policy proposals. We'll also look at the possibilities of using R5 and/or R6. The Ministry of Municipal Affairs and Modernisation will, in the light of the government's discussions on these issues, lead to State Building's work on the regulatory plan. The regulatory plan shall be designed in such a way as to provide sufficient flexibility for the further detailed planning. State-building progress plan means that the proposal for a regulatory plan is submitted to consultation before the summer of 2016. The adoption may take place at the earliest by the end of 2016/2017. The final decisions on, inter alia: building heights, location of new buildings, spaces and outdoor areas are taken when the regulatory plan is adopted. Oslo Municipality is a particularly important player in the work of the government quarter. I attach great importance to the municipality being involved in the planning process. There has been close contact between the Municipality of Oslo and the Ministry, both at administrative level and with the City Council for Urban Development. I want the municipality and department to continue the good dialogue. I took this up at a meeting last week with the mayor, where I also informed about the further process of working on a new government quarter. I want a good dialogue with the Stortinge in this matter. I briefed the parliamentary leaders early in 2014 on the work on the new government quarter and on the recommendation of State Building in October this year. I will also keep the Stortinget and the parties informed about the status, progress and important choices for the project in an appropriate way. Otherwise, the Stortinge will be briefed in the annual budgetary processes.
ParlaMint-NO_2015-11-18.ana.ud1624e751	I thank the Council of State for an informative and thorough answer. The proposal for town-forming principles and the model put forward by state-building states, as the Council of State says, that R5 and R6 have not been taken into account and that they remain within Ring 1, i.e. that you do not look up against Hammersborg, along Møllergata, which was in some of the ideas. Governments say there will be moderate building heights in the models that state buildings have outlined, but there is office building on 8-12 floors in a very close range between Møllergata and Grubbegata. There's little light and room in that area. If the state regulatory plan will follow up within that framework, the project will be locked up quite a bit. So I want to ask the Council of State whether he will consider involving Stortinget more, in addition to the orientation of the state budget now, which is more of a status update and a neutral orientation without positions and signals.
ParlaMint-NO_2015-11-18.ana.ud1624e760	Let me first say that I and the government pay great attention to the fact that the new government quarter is going to be open. It's a part that's very central to the capital. There shall be open urban spaces, it shall be available, and it shall be safe for those working there and for those travelling in the area. And we're also going to focus on that right now. In that phase of demolition and construction, it shall be as open as possible. It's in the bottom. What I think has been positive with the sketch that has come from State Building is that they show that it is possible to realize the government quarter together in a way that makes it moderate building heights. In addition, when the department will assess R5 and possibly R6, it means – in my opinion – that we can get a very good solution. We have so far provided good information for Stortinget. The budgetary round is one thing, but we have also stressed the importance of having informal discussions with the parliamentary leaders.
ParlaMint-NO_2015-11-18.ana.ud1624e769	I thank you for that answer too. It is positive that the government will also look at R5 and R6, which, after all, is just a few hundred meters from the high block, and where some of the security arguments that we discussed in the interpellation debate can come into a new light. We have excluded the discussion about the Y block, because we thought it was safe impossible, where it lies above Ring 1, but State Building will lower and strengthen Ring 1, so that we can have a new building block in parts of the area where the Y block is today, called Field A in the model that State Building has presented. When you open to build on Ring 1 by lowering and strengthening it, will it mean that the government will also look at the Y block again, at the same moment as you look at R5 and R6? It belongs together with the high-block in an integrated environment. With regard to the forthcoming architectural contest, is it right that it should come after the state regulatory plan has been completed or will it be able to advance, so that it will also have more open opportunities?
ParlaMint-NO_2015-11-18.ana.ud1624e780	Let me first say that there is nothing in Statsbygg's proposal that changes the assumptions for the Y block to be demolished. That decision has been made, and it is very well justified. The sketches of State Building regarding the possible lowering and strengthening of Ring 1 will have no impact on the safety associated with the Y block. It is not possible to have ministerial construction over that tunnel. Otherwise, I would like to stress that we need to put security at the bottom when we are going to build a new government quarter. That it gathers makes it easier to handle security, as the police have also underlined. We believe that this can be handled at the same time as ensuring good transparency while it is being built, and also when it is built. There should be open room, it should be accessible and pleasant to people most. In the end, in terms of the architectural competition, we consider different ways of doing it, but it'll come later.
ParlaMint-NO_2015-11-18.ana.ud1624e800	This question is postponed until the next Question Time, when the Minister of Culture has left.
ParlaMint-NO_2015-11-18.ana.ud1624e814	This question is postponed until the next Question Time, when the Minister of Culture has left.
ParlaMint-NO_2015-11-18.ana.ud1624e828	This issue has been postponed until the next Question Time, when the Minister of Industry has left. That being the case, it is no. 2 completed.
ParlaMint-NO_2015-11-18.ana.ud1624e843	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
