ParlaMint-NO_2015-12-02.ana.ud524e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2015-12-02.ana.ud524e403	The government has brushed dust from an old SV proposal on air passenger charges. Although Jan Tore Sanner in his time called the proposal old-fashioned, fiscal spokesperson in the Right calls this good climate policy. Then I have to conclude that this is good, old-fashioned climate policy. The N.H.O. can't quite decide whether the proposal has zero effect, or whether it has enormous effect. That's why they're trying to claim both of them. That's how we have to cut the transport emissions by 40 pst. By 2030, we have to get more people to choose trains and fewer to fly. In my naivety, I thought that the point of an air fare was to get fewer people to fly. That's why I have a question to the Prime Minister: does the Prime Minister hope that the fee will have a zero or a high effect?
ParlaMint-NO_2015-12-02.ana.ud524e410	I hope that the combination of the measures we are doing with this – which we have started now and which comes from more – means that we have a great impact on emissions. One of the effects is e.g.: what has been mentioned is that 25 pst has been added to the agreement on the Stortinget. reduction of landing charges if biofuels are used in the fuel. It will also mean less emissions. We're busy pointing out behavior. Perhaps someone who is flying today will consider travelling by other means or assessing whether the meeting can be conducted by modern means of communication – which we are building up across the country, and which we might all be able to use more at regular intervals. Then you get a little less air traffic out of this.
ParlaMint-NO_2015-12-02.ana.ud524e415	Rasmus Hansson – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e418	Air travel is perhaps the climate of the very least priced service in the entire Norwegian market. That is why it is very good that the government is stuck to this flight fee that has been proposed. It must be a very embarrassing day for all the representatives of the Labour Party and the Central Party. We hear how these two parties react to a fee equal to a pint of dart – at such a service. The problem with the levy – which can, of course, also be differentiated regionally, the rural problem is a reconstructed problem – may be that the NHO is completely wrong, that the levy will not work particularly, and that it needs to be much larger, as is the case with the Greens' Alternative State Budget. Is the Prime Minister open to assess the continued increase in the fare, so as to ensure that travel activity is reversed from aircraft and across from a collective location?
ParlaMint-NO_2015-12-02.ana.ud524e425	I think the most important thing we should ensure in the future is that the fuel aircraft goes on, gets greener. It's actually among the things that are technologically possible in the future. If we can get greener fuel on the planes, the flight itself is not a challenge. Therefore, I believe that our objective must be to produce other types of fuels related to Norwegian aircraft – not just Norwegian, but all aircraft. We look at a range of such measures in the future. We have to do that in relation to the follow-up in the future of the Green Tax Commission, but we also have to implement our objective to 2030 of 40 p.m. reduction of emissions in Norway. We know that the transport sector is one of the areas where emissions have increased most.
ParlaMint-NO_2015-12-02.ana.ud524e430	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e433	What I think has been most interesting in this debate is how many people have forgotten what they themselves have preached: that we should have less taxes on work, less taxes on businesses and more on consumption. Even senior executives in different newspapers have apparently forgotten this assumption. Everyone has agreed on this. If this is the start of a debate related to what the Green Tax Commission can give us of input, there will be a lot of adjective use in the future – which I understand the NHO has become an expert. But the Prime Minister comes from Paris. What did the Prime Minister think of how to internationally think about taxes on labour versus taxes on consumption?
ParlaMint-NO_2015-12-02.ana.ud524e440	The negotiations in Paris I do not think has come to the stage of this round that the instruments are still so busy. The most important thing to do with this is not to subsidize environmentally harmful behaviour. We have now had a number of developing countries that have gone ahead with eliminating the subsidies they have on fossil fuels. Thank you very much. The Indonesian president said he had done it last year and his polls went straight down. It is well proven that this is not a good measure of poverty. It is the higher income groups and intermediate income groups that use most of this, including in developing countries. I think the main focus related to stimulation and money use is there. Otherwise, there is intense work, in which I believe it is a positive success, to have an agreement that sets out clear national targets for individual countries – as they have provided – but also mechanisms to strengthen it. But there are 14 exciting days for climate, what's happening in Paris.
ParlaMint-NO_2015-12-02.ana.ud524e447	Let's move on to the next main question.
ParlaMint-NO_2015-12-02.ana.ud524e450	The positive thing about the last question is that the economic incentive works. But as has been pointed out, the Prime Minister has been in Paris, and I assume that she also participates closely with the Norwegian delegation in the further work. There are great expectations of the role that Norway can play in the negotiations, both as an important player in finding the necessary compromises and solutions in the final phase of the negotiations, and as a driving force behind new initiatives. I am therefore pleased that the Prime Minister has participated in presenting several new initiatives in Paris and believes that one can do so with a credibility based on the budgetary agreement we have, which adds 420 million. kr extra into those parts of the budget relating to international environmental work. But there are three points: the Prime Minister has gone in for $216 million. kr into a new allowance buy-in fund, with the abbreviation TCAF, but some questions can be asked about this: When we now apply to new allowances buy-in, do you still think that this should be offset against emissions in Norway, the rich part of the world? Isn't that exactly what has been the problem in the past and that you don't achieve the goals? The left will be towards such a solution. The Prime Minister, together with Presidents Obama and Holland, has also taken steps to double the commitment to renewable energy in the poorer parts of the world by 2020. Is this a sign of a new policy, since that part of the government's proposal has been reduced by nearly 80 pst. in proposals over the last two years, and what is the starting point for the increase? So does one also agree that the green fund should be doubled if it ensures verified emission reductions against deforestation, and then the question is: is this new means, or is there a redistribution of forest resources, on which we have a commitment in any case?
ParlaMint-NO_2015-12-02.ana.ud524e462	There were many questions in one question, and I promise I won't be able to answer all of these. First, I would like to say that it is enough that Norway has a high credibility in what we do because we are among the largest «climate financers» internationally, but also because we have been active in these areas for many years. Although I am pleased with the budget now, I do not think the budgetary agreement is the only reason for this. Some of the measures we have now promoted are those which are not mentioned in the budget and in the budgetary context, but which are good. Let me start with the promises of energy: it's not really a question of what to do in developing countries, it's a question of all countries – developing countries and industrialised countries – promising to promise their own actions and their own research resources on renewable energy, on technologies that contribute to less energy use. So it's essentially a question of raising what we're doing, among other things. in the environmental technology system, the climate technology system, what we are doing through our long-term research plan, which can be transferred and commercialised next time by companies to enter other countries. The interesting thing about that initiative is the great private business dimension of that initiative to be able to realise things in developing countries after the technology has been invented. But it is not primarily the arrangements under the aid chapter this is about; this is our own commitment to it. So to the question of set-off, it's like you're now adding that every country has its own national obligations. Our commitment is 40 p.m., in cooperation with the EU. When we're going to have an implementation with the EU, that doesn't mean we're going to buy allowances outside to implement it.
ParlaMint-NO_2015-12-02.ana.ud524e476	I thank you for the answer, and we will certainly find out more of the details of the contents of these initiatives later. But I'm going to look a little bit shorter: on November 24 there was a headline in the VG where it said that «Erna confirms that the climate agreement can go on». I have also been confronted in interviews later that the government has deviated from the objective of the climate agreement that we should reduce to 47 million tonnes of emissions by 2020. And then my question is: we have an agreement with the Christian People's Party and the government parties that we should strengthen the climate agreement. Does the Prime Minister continue to stand firm by the fact that a strengthening of the climate agreement involves not only new measures but that the measures will have an impact and that we will achieve the goal of reducing 47 million tonnes of emissions by 2020?
ParlaMint-NO_2015-12-02.ana.ud524e483	It is also important to note that during the course of the day VG changed the title of the same statement that it might be “coming” to smoke, and it is slightly different. It is not that I have said that it is going on, but there are some of the major actions that are important in the future, for example. the large railway effort, the large collective effort, which will take place in the whole transport sector, which, on a large scale, will only start to be realised in terms of emissions after 2020. This is because we started later than we might have, with the goals we set in 2008. As I also say in that interview, we aim to try to achieve these goals. We are committed to having good instruments that can realise emission reductions now, but also that we are doing the right things in the long term. But we haven't given up the goal, and we're working in relation to it, and it's important to find good measures that work, which are also good in the long term.
ParlaMint-NO_2015-12-02.ana.ud524e488	It opens for follow-up questions – first Trine Skei Grande.
ParlaMint-NO_2015-12-02.ana.ud524e491	It is good that the Prime Minister stands by the objectives and also mentions the major changes needed in the collective field and investment in Norway to make the green shift. Next Wednesday is the Green Tax Commission report. From the questions here in the hall, I don't think we're going to get a trace of help from either the Center Party or the Workers' Party in order to do the green shift, and to be able to use the tax and tax system to achieve the changes we need in Norway. But the Prime Minister has promised that she will help us get the green shift, so it is we in this room who have to do this job. Next Wednesday is the Green Tax Commission report. My question is, how has the Prime Minister planned to put up the work related to it?
ParlaMint-NO_2015-12-02.ana.ud524e500	As is natural, the Green Tax Commission report will be sent to the hearing, but we will continue to work on this. In the budget agreement, we have agreed that we will present a status report in the revision, and that the plan is to implement parts of what the four parties that have an agreement in this area had to agree on, towards the 2017 budget. That means that we want an inclusive process with the parties with which we have a budget agreement, with which we hope to have a budget agreement in 2017, too, to find ways to implement. But we also need to ensure that the proposals that they have are properly highlighted by various parties on the road, and that we take with us the whole will of Norwegian democracy and the ability to listen to people's input into the proposals that come. So it's not like I know a lot about the content today, but we know that what's out of the quota sector is essentially the agricultural and transport sector. And it's going to be hard.
ParlaMint-NO_2015-12-02.ana.ud524e507	Åsmund Aukrust – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e510	The Prime Minister traveled to Paris at the same time as proposing a major cut in international climate finance and saying that we almost did not reach our international climate commitments and meet the climate agreement. I hear the Prime Minister owes it to others, but it is the Prime Minister who is responsible and has had it for the last two years. Instead of blaming others and talking about things that have happened before, she should fold up her sleeves and say that we should do this. But that's the opposite that happens. We see a climate minister who does not have an impact on the government and who has to go to the Stortingen to get a majority. We've seen that in each budget. We saw it when we were going to pull the oil fund out of the coal, we've seen it by the Climate Act, and we've seen it in the electrification of the Utsira to mention some of the things. The Prime Minister himself says that it is difficult to stand up for the climate in a government where not everyone is so concerned about it. With this as a hindrance, the Prime Minister sees that the globe's climate is served by a new settlement in Norway on how to achieve the goal of cutting 40 pst. by 2030?
ParlaMint-NO_2015-12-02.ana.ud524e517	I understand it is unpleasant for the Workers' Party to be reminded of the fact that when this government joined, we did not come to the covered table in the climate area. There was a lack of 8 million tonnes of the commitments and reductions we were going to have, and it was not enough to reach them either. This government, together with the Christian People's Party and the Left, has helped us to take more action. We have increased the environmental technology fund more than the Workers' Party was willing to give us when we negotiated. I'm glad they want to add more, but they wouldn't when we negotiated. We see that companies make large investments because there is more money available for the investments they make. We're turning around to create a biodiesel market and clean diesel fuels. We did that through the budgetary agreement that we had last year, in an area that went back one step under the previous government because of the changes they made within the charging system. I understand it's unpleasant. The government is ambitious. We have even more ambitious partners at Stortinget, and then we get far.
ParlaMint-NO_2015-12-02.ana.ud524e522	Rigmor Andersen Eide for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e525	The Prime Minister has just been to Paris, and I have noticed that she was in the noise and opened the corner and opened the purse. That is positive: more money for rainforests, green climate funds and climate ratio. It is good, and it is important that Norway takes the lead in this area. Does the Prime Minister think that it is possible to buy out of the crisis, that we can thus continue as before, or is there also a need for drastic measures at home to cut Norwegian emissions?
ParlaMint-NO_2015-12-02.ana.ud524e531	The government believes we should cut emissions in Norway. The government came, after agreement with the Christian People's Party and the Left, to the Storting last year with an ambition to cut 40 pst. of our emissions by 2030. So we already have cooperation in the Great Britain on the objectives up to 2030. This will happen, not through the purchase of allowances outside Europe, but through mechanisms that help cut emissions at home and mechanisms within the EU – within a closed system. The level of our commitments in the non-quota sector will then be negotiated with the EU over the next year. They base their burden-sharing principle on this. We're going to have this with us into all the big issues we're going to deal with over the next two years, for example. National Transport Plan and Energy Communication – and we come with the Green Tax Commission. There are very many of these major areas that will then help to make an effort to do more about the climate.
ParlaMint-NO_2015-12-02.ana.ud524e538	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e541	The follow-up to Paris is becoming important and demanding. It is incredibly important that it is based on professionally based considerations and not just on symbolism policies. I have to say that I am surprised that the Prime Minister in previous vocabulary has chosen such an easy entry into some of the issues, and thus jumps over key principles. The right has been concerned that we are part of the EU ETS, and aviation is part of the EU ETS. There are too many allowances in your system. The solution is to tighten the number of allowances, not to impose charges on sectors that are part of the ETS. The government itself says in the national budget that this will have no climate impact, precisely because aviation is part of the quota sector. On the other hand, one has not assessed what could have had climate impact, namely charging flights outside the EEA territory or fuel. It has not been evaluated. Can the Prime Minister not only acknowledge that this is a purely fiscal charge combined with the purpose of meeting an urgent budgetary need?
ParlaMint-NO_2015-12-02.ana.ud524e550	We have imposed a flat fee on all air travel, including those travelling outside the EEA territory, into the agreement at Stortinget. We have done that because it is an action we can do quickly, it is an action that can be implemented without major ESA issues being linked to it. All other forms – and we have discussed them – will be longer and more difficult. It may well be that in the future we can imagine other solutions to this, and as I said, the most important thing is to produce forms of fuel that help reduce emissions. That's one of the solutions. But this is a charge that – as the allowance system is today – will have an impact on emissions, and that will apply to all trips out.
ParlaMint-NO_2015-12-02.ana.ud524e555	Let's move on to the next main question.
ParlaMint-NO_2015-12-02.ana.ud524e558	The National Climate Goals of the Storting stated – as has just been mentioned here – that Norwegian CO2 emissions are to be cut from today’s 53.8 million tonnes to a maximum of 47 million tonnes in 2020. The Prime Minister announced in the VG last week that the ‘climate agreement can be cancelled’, as it said. I think the answer she gave to the representative Elvestuen underlies that it seems that it is what the Prime Minister thinks it will do. The impression is that the Prime Minister is not so concerned about the year 2020, but in the interview with the VG, one can clearly get the impression that the Prime Minister believes the goal can be achieved shortly after that. Then I expect the Prime Minister to be aware that what she herself has communicated to Stortinget is that she is not prepared to achieve the climate agreement's objectives in 2030. The forecasts in the 2016 government budget estimate that emissions in 2030 are estimated to be 52.5 million tonnes. In other words, while Germany has now cut by 27 pst. Since 1990, the Prime Minister is currently running counter to not wanting to cut anything in 40 years. That's why we say that the climate agreement is about to become a loss of climate. Norway’s climate change target for 2020 is not just a few years late – as the Prime Minister suggests – we are now expected not even to be in target ten years later. Therefore, it is important to know when the Prime Minister sees that it is likely that Norway’s climate targets for 2020 will be achieved, since she has more than suggested, both in the VG and here in Stortinget today, that they will not be achieved by 2020.
ParlaMint-NO_2015-12-02.ana.ud524e570	I assume that the forecast referred to here is the forecast based on measures and Norwegian climate policy up to the revised national budget 2014. We will have updated revisions of this in the future. Many measures have been taken here. There are also many corporate investments that contribute to smaller emissions in the future. It is more a judgment on the forecasts of the red-green time than it is on the actions of this government, for one does not have the measures in the budget for the current year, in the budgetary agreement for the current year, in the revised national budget for the current year, the measures in this budget, and what has been agreed in the budgetary agreement. We've done a lot with respect to, among other things. Fuels, cars and the transport sector, which, in our opinion, could be a good contribution to this. But then it's a challenge that big investments in public transport take longer. They will only be realised between 2020 and 2030 and will have a greater impact than they will before 2020. We're working on the goal of achieving the 2020 targets, but that's how we got into this with a backlog -- with a forecast where 8 million tons were missing -- from the period of the red-green government. I understand that it is uncomfortable for the representative to hear it, but it was the fasit after the red-green government.
ParlaMint-NO_2015-12-02.ana.ud524e579	The only thing unpleasant is to hear a government that has no answer other than to repeat the time's most worn-out speech point, namely that of the 'covered table'. We have heard that so many times now that it is time for the Prime Minister, at least for the sake of change, to come up with another concept, also because it is wrong. The Prime Minister has come to the table. Climate change has shown what action Norway needs to take to achieve its 2020 targets. After all, there is no one other than the government itself who believes that a quantum leap has been made in the last year that makes us now suddenly to be in a significantly different situation than the one that was the starting point when these projections were made. The most eloquent example is that in the sector of the Prime Minister himself, the transport sector, the government does nothing, but is sometimes pressured by the Left, fortunately. Last week, when we asked the Minister for the Environment if she could mention one single measure to increase the proportion of zero-emission cars that the government has initiated, she could not mention a single one. Therefore, I would like to ask the Prime Minister if she can mention one such measure that the government has taken.
ParlaMint-NO_2015-12-02.ana.ud524e586	With the way we cooperate with our cooperation parties, it is so that we, among other things, has had a good working group who has worked on how to tax in connection with the one-off fee. We will have a good working group working on issues related to the follow-up to the Green Tax Commission. Then it's like many of these measures we do four games in common, because we've agreed on these things together. When we contribute – with the budgetary agreement and the budget we have – to even better conditions for other and new types of fuels, it also helps to reduce emissions in the future. Our work is not that we do not sit and talk to the four parties that have agreed to strengthen the climate agreement – we do. We are strengthening the climate agreement in our work.
ParlaMint-NO_2015-12-02.ana.ud524e593	It opens for follow-up questions – first Heikki Eidsvoll Holmås.
ParlaMint-NO_2015-12-02.ana.ud524e596	I also note that the Prime Minister is not able to provide a single example of initiatives that the government has taken to follow up what the government sees as a goal. If the Prime Minister had been a little fresh, she would have quoted her climate policy spokesman in DN on Saturday, who said that Norway had to ‘pollinate more to bring down global emissions’. It's probably a message that had created a good mood in Paris. Therefore, I assume that one agrees with Nikolai Astrup, and does not believe that he should take care of his mouth. Therefore, I ask: In the Right World – how much does Norwegian emissions have to increase in order for world emissions to decrease sufficiently – to reach the two-degree target?
ParlaMint-NO_2015-12-02.ana.ud524e604	I understand that it is a rhetorical question, but this is a political point we hear in many situations: that emissions in Norway are less of something, and therefore we should produce more of it. Today there is pressure in the Nation on the agricultural sector in Norway that we should produce more red meat in Norway, because it gives less emissions than if we buy it from other countries. I think Nikolai Astrup's good point is that we're good at technology, and we're good at being effective in production methods. In some areas, if we produce more, it has a total impact on world emissions. But there is a bit of justice in this, which I am concerned about -- that there will be some countries that are not as effective or equally good, that will experience it as relatively unfair that a very high technologically developed country, which is therefore perhaps producing more efficiently, would take over all production in this area. That is why I do not necessarily agree that this is the answer, but in some areas we have to be more good at looking for the effect than at self-spipping in the Norwegian climate debate.
ParlaMint-NO_2015-12-02.ana.ud524e611	Then we open for the next follow-up question, which is from Anna Ljunggren.
ParlaMint-NO_2015-12-02.ana.ud524e614	It surprises me that the Prime Minister, on repeated calls to say what the government will do to reduce greenhouse gas emissions, owes it to others. Unlike today’s government, which has made electricity more expensive and gasoline and diesel cheaper, it has been important for the Workers’ Party to pursue policies that contribute to lower emissions, including: in the railway sector where we increased the investment by over 400 pst. In the 2012 climate agreement, with the exception of the Progress Party, all parties on the Stortinget agreed that by 2020 – i.e. in four years’ time – Norway would cut global greenhouse gas emissions equivalent to 30 pst. of Norway’s 1990 emissions. The Prime Minister is now cancelling the 2012 climate agreement, and the government’s proposal for a State budget states that Norwegian emissions are higher and that they continue to increase. Is it difficult for the Prime Minister to take the lead in a more offensive climate action and an initiative for a new climate settlement when, as she herself says, it is difficult to stand for the climate in a government where no one is so concerned about it?
ParlaMint-NO_2015-12-02.ana.ud524e625	The Ministry of Transport can now show that with the decisions we have taken, we are far ahead of what the Workers' Party proposed on the railways in its national transport plan. This is one of the areas in which we have invested more money – almost so much money that it may be a challenge to use them rationally for the next year with the bets now made after the agreement on the Storting. We have increased the Climate Technology Fund, which the Workers' Party would not increase any more when we negotiated with them. I have the advantage of having been in two climate negotiations, and I have never experienced the Workers' Party as being forward-looking. I've experienced them coming back, not willing to do a lot in these areas, and most concerned that we're going to do a lot out and not much at home. It is my experience after sitting and negotiating two climate agreements with the Workers' Party. This government has not canceled the 2020 targets, but we have said that they are harder to achieve because we do not have the things we agreed on in the 2008 conciliation, among other things. because the red-green government didn't implement everything they were supposed to do.
ParlaMint-NO_2015-12-02.ana.ud524e632	Let's move on to the last main question.
ParlaMint-NO_2015-12-02.ana.ud524e635	I want to follow the track that has been the subject of the last main questions, precisely the relationship to climate. It seems to me that the prime objective of the Prime Minister's climate policy is to avoid a broad climate settlement in the UK. There is no doubt that the road to 2030 and the emission reductions that we absolutely have to implement and that we have undertaken to implement until then will be demanding. The government has indicated no direction until 2030. They have not materialised the measures or shown which way to go. Therefore, it is quite essential to know whether the government intends to make concrete progress when the Paris Summit is over, the road for Norway up to 2030 – for so far we have not had the opportunity to see what the government is thinking about. I understand that it is difficult for the Prime Minister to recognise that it will be an advantage to create broad consensus and unlock the measures by 2030. But I think the fear of the Prime Minister may be based on the fear that one will have an open discussion, and that the government will show its true self, where they are actually the party that has the most extreme climate position every single harvest in the form of its state budgets. They have not submitted one state budget where the cooperating parties or the Stortinget or environmental organisations have said this was a good government budget, on behalf of the climate. So it's a little bit amazing to hear the answers. So I ask: does the Prime Minister think it would be an advantage for Norway, when it comes to achieving greenhouse gas reductions by 2030, that there is a broad consensus on the measures proposed by the government?
ParlaMint-NO_2015-12-02.ana.ud524e646	I think it's great if we have a broad consensus on the measures we're proposing, but the first round we had today, I don't know if gave great hope that there's going to be a large width around them. The discussion on air transport and their contribution to emissions also provided a picture that some batches do not take over, for example. the polluter pays. Now it's like we have two climate settlements behind us. The first climate agreement and the first climate communication were almost without action and became much better through the negotiations at Stortinget, with measures and more ambitious objectives. But many of those measures took a long time before they even started. The next climate agreement also had to be tightened up in Stortinget, and so we've done a lot of it now, and we've done more, among other things. in the case of peat restoration and other measures which are not clearly contained in the climate agreement. In the spring, we had the big message related to the future objectives and what we have reported to Paris and the Paris process. Then we have laid the foundations through a broad majority of the Grand Duchy, which has joined the 2030 objectives, the method of cooperation with the European Union, and the five points and areas on which we are actually going to have the cuts. And then the government is working so that in the individual cases that come to Stortinget, we're going to show that we're on our way. This means that the national transport plan should reflect the need to do something in the transport sector, that the budget should do so with regard to taxes and taxes when it comes to the harvest, and that when the energy message comes, it will be fully possible for the Storting to be involved in the discussion on the different parts. It is, of course, when the sectoral plans are put forward in the future for the different areas, it is important to implement the climate objectives – it is not by creating a separate document that is being discussed independently of what are the sectoral plans. And that's what the government has been thinking.
ParlaMint-NO_2015-12-02.ana.ud524e657	All first: By 2020, which is the closest target, the Prime Minister — from the last climate settlement was concluded, in 2012 — has taken responsibility for climate policy in Norway for two out of three years. It is a significant liability that cannot be depreciated. It is the government that is responsible for whether Norway reaches its 2020 targets, and no one other than the government. That's the one. In the case of the polluter-pays principle, we agree. It is therefore amazing that the government is increasing the charge on renewable energy as electricity while keeping petrol and diesel taxes low. Then you can't quite see the outlines of the government's green tax commission, but on the basis of the fact that there is a great deal of consensus in the Grand Duchy, I ask again: will the Prime Minister take an initiative to create the road by 2030 through a broad majority in the Grand Duchy, and can we expect the Prime Minister to take an initiative for a new climate settlement?
ParlaMint-NO_2015-12-02.ana.ud524e664	When we are finished negotiating with the EU on the question of how to take out the composition of our 40 pst target, we come back with a case to the Stortinget that will form the basis for the discussion on how to implement it. It'll take some time, and on the way we're going to do a lot in this government in terms of climate. Many major sectoral areas are being addressed, such as, as I have mentioned, the national transport plan with the ambitions for what will happen in the future. When Stortinget discussed our goals for 2030, the Workers' Party proposed that there should be a separate case now, after the Paris meeting. It fell. The majority of the population agreed with the government that we should actually bring forward the EU decision and our agreement with the EU first, and then take the round that is attached to it. Then I hope that we will be able to create a broad basis, like a settlement, whether it is a broad basis for future emission reductions and the future policy to be associated with this.
ParlaMint-NO_2015-12-02.ana.ud524e673	It opens for one follow-up question – from Åsmund Aukrust.
ParlaMint-NO_2015-12-02.ana.ud524e676	I'm always worried when I hear what the Prime Minister is saying now, that it's going to be very difficult to achieve the 2020 target, but reaching the 2030 or 2050 target – in a way – is completely unproblematic. The truth is, the more difficult it is to create a zero-emission society in 2050 than it is to cut big already next year. So the budget we saw now was the first government budget to come after the Storting adopted the 2030 targets. You would think that this is where you were going to get out of the road by 2030. Nevertheless, the Prime Minister presents a budget that will increase emissions. So I want to follow up on Terje Aasland's question about a climate settlement in Stortinget. It's not just the Workers' Party that says that this government represents an extreme point. Trine Skei Grande has said that the climate minister has left his entire job to the Left. Ola Elvesuen has said that the Prime Minister could not have traveled to Paris with credibility if it had not been for the Left. Does the Prime Minister agree that a new climate settlement is necessary to achieve our 2030 objectives?
ParlaMint-NO_2015-12-02.ana.ud524e684	I appreciate the Left's contribution to our work also in the field of climate, but it's probably a little political self-interest in promoting that kind of claim. We had a pretty good conscience about our budget, even if we had gone to Paris before the deal. We had good initiatives, and we feel that we get a lot of feedback that we're just doing a lot right. Our commitment to climate technologies and our commitment to research, the promises we make in those areas, are at the heart of this major innovation initiative related to the renewable sector. So the government has a lot to be proud of and is going to be it too in the future – and we're going to grab it. So it's going to be hard to achieve the 2050 targets, it's going to be hard to achieve the 2030 targets, and we're going to have to make changes in our tough society. But there's also time to get technology, and it's important to have the right incentives for it. There we have done a lot, through the cooperation we have with the parties on the Stortinget, but also through our own policies within, for example. the transport sector in the last few years — unlike in the past.
ParlaMint-NO_2015-12-02.ana.ud524e693	So the oral question procedure is over.
ParlaMint-NO_2015-12-02.ana.ud524e705	There will be some changes to the set-up questionnaire, and the President will present the electronic question list to that effect. The proposed changes to the ordinary Questionnaire are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 7, from the representative Else-May Botten to the Minister for Industry, will be raised by the representative Odd Omland. Question 9, from the representative Kjersti Toppe to the Minister for Health and Welfare, will be raised by the representative Per Olaf Lundtigen.
ParlaMint-NO_2015-12-02.ana.ud524e720	‘The CO2 tax affects competition between renewable and fossil energy. The national climate target of the size indicates that emissions are to be no more than 47 million. tonnes for 2020. Does the Council of State consider it necessary to make pollution more expensive in the coming years, and what level of climate pollution charges is needed to achieve Norway’s climate targets for 2020?’»
ParlaMint-NO_2015-12-02.ana.ud524e735	Let me first take the opportunity to congratulate the representative, Serigstad Valen, on the Vice-Chairman's office in SV. So to the answer: the climate challenge is global and needs to be solved globally. Norway is involved in negotiating a new climate agreement in Paris. We are working to achieve a long-term global goal and to contribute to increasing efforts over time. Like other countries, we have reported in advance an indicative emission obligation that is in line with the UN two-degree target. The government conducts offensive climate policies and reinforces climate reconciliation. Climate policy is also strengthened in the 2016 budget. Among other things, the Climate, Renewable Energy and Energy Conversion Fund has increased significantly more than was foreseen in the climate agreement. The green shift effort has been stepped up through increased support for climate and environmental technologies. In addition, the reduced rate of the electricity charge for shipping will stimulate the transition to electricity. The climate agreement was concluded in 2008 and renewed in 2012. The 2008 agreement states that it is realistic to have a target of reducing domestic emissions by 15-17 million tonnes of CO2 equivalent in 2020, including a contribution from forest uptake. The reduction was seen in relation to the emission projections in the 2007 budget. The Climate Action Group has subsequently interpreted this as an emission level of 47 million tonnes in 2020. The basis for the assessment of the possibility of domestic emission reductions by the climate agreement was SFT’s action analyses, existing instruments and sectoral climate action plans. The sectoral objectives were based on estimates which could need to be reconsidered if changes in future forecasts, costs, technology developments or other changed assumptions were to be provided for. In the 2012 climate agreement, the majority noted that slower progress than expected in the development of climate-friendly technologies, higher costs of domestic climate action, higher immigration, stronger economic growth and greater oil sector emissions would have an impact on the achievement of climate objectives. The majority also said that these conditions do not change the ambition to reduce national emissions. The comparison further showed that the costs of implementing measures in Norway were substantially adjusted. In addition to participation in the EU ETS, climate and environmental taxes are an important instrument in climate policy. The government put down last year's Green Tax Commission. The selection shall include, inter alia: assess whether and how changes in climate and environmental taxes can contribute to lower greenhouse gas emissions, a better environment and good economic development. The committee will present its report next week. I will not in any way advance the content of it, but I would like to remind you that the government parties and cooperation parties in the 2016 budget agreement agree on cooperation on the follow-up of the Green Tax Commission.
ParlaMint-NO_2015-12-02.ana.ud524e755	I would like to thank the Council of State for its congratulations, and I would also like to thank you for a timely response. Environmental technology is a great asset, but it is far from sufficient to achieve the climate objectives set by the Stortinget. The price of emissions must be raised. So I almost have to ask again: what does the Council of State think that the level of CO2 emissions must be in order for us to achieve Norway’s climate target for 2020? Is it the case that the Council of State has to wait until the Green Tax Commission has presented its proposal before we can get an answer to that?
ParlaMint-NO_2015-12-02.ana.ud524e763	Norway is pursuing an ambitious climate policy, and the cross-sectoral economic instruments in the form of levies and participation in the European quota system are the main instruments of Norwegian climate policy. Over 80 pst. the greenhouse gas emissions in Norway are covered by the allowances and/or CO2 tax – a CO2 tax proposed by the Syse Government in 1990 and introduced the following year. According to the OECD, Norway has some of the highest charges in the world on fossil energy. There is also a variation in greenhouse gas charges in Norway, and it is precisely to get an overall approach to these issues that we have found it right to put down the Green Tax Commission. Having said that, I believe that there are many different instruments to achieve climate objectives, through taxes and taxes, but also through a wide range of other instruments we have, through climate technology, research and other measures that we have taken during the functioning of this government.
ParlaMint-NO_2015-12-02.ana.ud524e776	But then I will take the Council of State to the floor: can I then understand how I can get a concrete answer to where the Council of State believes that the level of CO2 tax must lie at any time after the Green Tax Commission has presented its work? Can I, for example, Does the Council ask the same question again in January and get a clear, concrete answer to what the CO2 tax will be in the years to come in order for Norway to achieve its climate objectives in 2020?
ParlaMint-NO_2015-12-02.ana.ud524e787	The representative has to ask the Minister of Finance questions right when he wants to. And then he will probably get a complex response, simply because I think it is necessary to use a wide range of instruments to achieve the ambitious climate objectives that Norway has set itself. So it's not like we're solving all the challenges of CO2 taxation alone, we're solving them not least by stimulating new technologies, through research and through the way transport works in our country. Therefore, I believe that we should keep up the momentum by employing more instruments, and the more positive instruments we use, the better, in my opinion.
