ParlaMint-NO_2015-04-30.ana.ud2311e57	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2015-04-30.ana.ud2311e1100	It's going to be line change.
ParlaMint-NO_2015-04-30.ana.ud2311e1103	Now, on 19 May, Stortinget has the full opportunity to deal with the matter from the Control and Constitutional Committee, so we don't need to go into it any further. But I'm glad that the representative Keshvari also shows considerable commitment to the pulpit. He was in the midst of one support, as he called it, in the contract work, which was considerable inadequacies. I wonder which of these contractions Keshvari is so pleased with. And can he tell Stortinget what practical consequences we'll see of these contractions? The second claim in the post of the representative that I think is very interesting is that this government, unlike the previous one, according to the representative, enforces laws and rules, and then the declared long-term child of asylum. Does this mean that for the future we will not see more things with long-term asylum children?
ParlaMint-NO_2015-04-30.ana.ud2311e1111	I am very pleased with the fullness of the agreement we have received and the combination of all the constraints. It is clear that in this field things are very closely linked. One of the most important things we have been given is a two-thirds of the reception structure, where we have integration reception for those who have been given residence and are going to be in Norway, and return reception for those who have been refused and are going out of the country. When it comes to the results of these contractions, we see it clearly already now. In 2014, there was an increase in asylum seekers to Europe of 56 p.m., while Norway had a decrease of 4 p.m. It shows that the claims that came from the Workers' Party and from everyone else before the Progress Party came into government, namely that it is impossible to do anything about the influx of asylum, it only depends on what is going on in the world around us, is not correct. The sum of all these mitigations has produced a result that allows us to achieve more sustainable immigration in the future.
ParlaMint-NO_2015-04-30.ana.ud2311e1118	The representative did not answer any of the questions I asked, so I take the opportunity to repeat them. I understand then that the representative does not have any restrictions with which he is particularly satisfied, with which he wants to promote the importance of the Storting, and what practical consequences it has. The second question was very concrete. When we talk about law enforcement, is it such that the representative Keshvari can guarantee that there are no more cases of long-term asylum children, since we have now received a government to enforce laws and regulations?
ParlaMint-NO_2015-04-30.ana.ud2311e1125	I've repeatedly highlighted the things that are tightening up, that I'm satisfied with. I can mention closed reception of asylum, which was an impossibility, and as Minister of Justice Grete Faremo of the Labour Party thought would be a violation of the UN Convention on the Rights of the Child and what was worse. I can mention record shipments with a target of 10 to 100 this year. I can mention the 24th age limit. I can mention increased maintenance requirements. I can continue with the whole list. That's why I'm saying it's the whole thing that's important, and it's the one that's given the result. When it comes to enforcing laws and regulations, there is a very clear prerequisite for us not to have people living in limbo here in the future. If you come to Norway, you have to be treated with respect, in a proper, thorough and dignified way and have your protection needs assessed. And if you don't have protection needs, we demand the same respect back. That's why we have return centres, so that people, especially those with children, can return as quickly as possible and resume their lives, and school, while they have something to come back to, and not stay here for many years, as they stayed under the Workers' Party.
ParlaMint-NO_2015-04-30.ana.ud2311e1132	I believe to have recorded that the view of the Progress Party is that the establishment of a minority government has strengthened democracy by making political processes more open and strengthening the role of the Stortinge. The new Asylum Agreement between the Government Parties, the Christian People's Party and the Left has agreed on a system of permanent meetings between the party leaders of the Cooperation Parties and the responsible State Council for Asylum and Immigration Policy. The most special feature of this scheme is that it also opens up the participation of the government in these meetings. Does this mean that the cooperation parties are to be closed into enclosed spaces together with the government's offices to find solutions to conflicts in asylum and immigration policy? I find it difficult to see that this is part of a more democratic and open decision-making process between government and enlargement. Does the representative agree with me?
ParlaMint-NO_2015-04-30.ana.ud2311e1141	I do not agree with any of the speakers here, because that is not correct. The meetings of the party leaders with the Minister of Justice will follow up on the part of the agreement that we agree on. It does not imply the introduction of any secret government by Norway, nor the lock-up or lock-up of anyone. The government doesn't have that kind of needs. But it is quite natural that when you make agreements with parties, and in areas that are very demanding, you have follow-up meetings, that you have a dialogue with each other, and that you have a dialogue in advance and after new regulations, laws and changes, so that it is in line with what you have agreed on. So what these dialogue meetings are about is probably not as scary and scary as the representative has perceived it.
ParlaMint-NO_2015-04-30.ana.ud2311e1148	Nobody wonders whether the Progress Party wants a more stringent immigration policy, we know that they do, and that in this area they have never been a champion of long-term asylum children, or anyone else, for that matter. It may therefore be interesting to hear whether the representative can say a little about the original agreement that was concluded when the government agreed with the Left and Christian People's Party. For it was only necessary to look at that agreement – even though the Christian People's Party rejoiced that it was a very good agreement, and so did the Left, to realize that there had been a finger in the game in the Progress Party and a formulation that would mean a strong tightening for the long-term asylum children, namely the passport that the parents had to cooperate in order for the assessment to be made more humane. Then the question is, Did the Progress Party know this? And was it a deliberate tightening that the Progress Party would have wanted in asylum policy?
ParlaMint-NO_2015-04-30.ana.ud2311e1157	The premise for the question, that the Progress Party has never cared about anyone in this case, I take a strong distance from. On the contrary, the Progress Party has been very concerned about increasing respect for the institution of asylum, for the Convention on Refugees, and that is why we believe that certain restrictions are necessary. That is why we are committed to returning those who do not have the right to protection and stay in Norway, in order to release resources to those who are actually persecuted and need protection. There are a lot of them in the world. So that part is wrong. With regard to the issue of the original agreement, it is clear which areas we wanted to tighten up. There is no trickery on the part of the Progress Party. The two main embellishment points of the original agreement are the one-off solution for long-term children, who have been implemented and with whom the cooperation parties are satisfied, and the second is the amendment of the regulation on permanent arrangements. Both of them are in place. There's no attempt from anyone to trick anyone here. In return, we've got a lot of contractions on other points. That's where the contractions are, not in these.
ParlaMint-NO_2015-04-30.ana.ud2311e1164	I feel that the Progress Party is trying to obscure reality. The agreement on embellishment for the long-term children was a strong tightening in its wording. The hearings showed this, and it was only necessary. One hour to look at it to understand that that's what it was. The problem when you were going to put this into practice in a proper agreement was that it knew everyone – I guess the Progress Party knew that too. The state councils knew it was guaranteed. Thus, an agreement was not put in place that was in line with the intention, but on the contrary, it was stated and looked at that the Ministry of Justice transported many more long-term families of children to, among other things. Afghanistan while the negotiations went out on time. This is a very bad treatment for the long-term asylum-seekers. Does the representative therefore think that it would have been better to put these matters at risk until the new regulation was put in place, as it is now?
ParlaMint-NO_2015-04-30.ana.ud2311e1171	I have to repeat my previous answer, that there's a premise here that we've been trying to trick someone. The issues that Andersen's representative addresses are a little bit of an explanation of why it took time to get a regulation in place and a solution to it. It is clear that it needs to be consulted – it takes time. The whole point of the consultation is to get the feedback that is needed from professional organisations and others. Secondly, you have to sit down, based on what you've heard from the hearing, and see if you need to make some changes, so that it is done in the agreement. If there had been any attempt at deception, as the representative from SV almost states, we would never have sat down with people. The whole reason it took some time was that you were going to put all of these things in place. And then I think it's a little strange that we, who have got a solution to this, are criticized for taking a few months too long, all the time the representative's own party put eight years into a majority government without doing anything for these children.
ParlaMint-NO_2015-04-30.ana.ud2311e1176	The cord shift is over.
ParlaMint-NO_2015-04-30.ana.ud2311e1179	The importance of children's best in asylum and immigration policy has been mentioned as important by all parties here in the Chamber, but in the last year we have really experienced that agreement on words does not always mean agreement on politics. I am afraid today's debate will not give us the clarifications that many are waiting for. We do not yet know how the agreement concluded between the government and the cooperation parties here on the Storting will turn out in practice. However, from the centre party we are pleased with the agreement that ensures that long-term children who were transported in violation of the intentions of concluded agreements are now allowed to re-test their cases. We can in principle see the unfortunate fact that regulations give retroactive effect, but in this case it is both right and fair. In parallel with the fact that Stortinget was informed that there would be an embellishment in practice for forced repatriation of long-term asylum children, we experienced that the broadcast of this particular group doubled compared to previous practice. There's every reason to respond. The person who deals with the situation in the case we are dealing with will have to wonder that there is no majority for any of the proposals being put forward. The SV and the Center Party are alone in making concrete proposals. The final decision by Stortinget will be that the proposal for a representative is annexed to the Minutes. The committee procedure has also been special. I have rarely experienced so much postponement and so much restraint from the various parties in promoting their views. We know the reason for this. It is that, after the proposal for a representative was promoted, discussions between the government parties and the cooperation parties continued to arrive at agreed solutions that would replace the very critical way in which the government has worked on adjusted policies for long-term asylum children. The cooperation parties state in a note: ‘The majority indicate that the cooperation agreement and the asylum agreement have taken effect towards a more liberal and humane treatment of long-term asylum children.’ They fail to say that there is a lack of follow-up to these agreements that has created the obvious dissatisfaction it is to the Ministry of Justice and their follow-up to what should be agreed policies. The SV representative proposal does not lead to a majority for a new policy, but it has clearly contributed to speeding up the process of obtaining the supplementary agreement to the co-operation agreement between the government, the Christian People's Party and the Left. It shall be highly commended by the proposers. Then I will continue to wonder that the contractual practices between the government and their cooperation parties here at Stortinget are so poorly thought that supplementary agreements to the previously concluded ancillary agreements are necessary. The Centre Party has made two separate proposals for decisions in the case. We ask the government to ensure that long-term asylum children sent out after 1 July 2014 and until today will be re-tested in accordance with new legislation. On 1 July it was chosen as a limit because it was at the time when UDI’s recommendations on change of practice were made. These have only been followed up by the government this year. It is not essential, but it is nevertheless worth recording that most of the broadcasts of long-term children in 2014 occurred in the second half of the year. I am registering that the central party will be the result of the government parties and the cooperation parties in the reassessment requirement for long-term children sent after 1 July. This is not the case in the committee configuration but in the new agreement. I am pleased with this decision, although I am in doubt that the four-year limit is a proper consideration of what should be defined. In the past, three years have been used, in a new regulation four and a half years. The reality is that the link with Norway does not depend solely on years. In our second proposal, the Stortinget is asked for the government to incorporate a provision in the foreign regulation to make an up-to-date assessment of the conditions for sending asylum seekers when the implementation takes place for a long time after the decision has been taken. This is a follow-up to the proposals we received in the hearing, which are supported by several organisations. SV has made a similar proposal. In the open hearing, NOAS indicated that we today have provisions in the foreign regulation that a new assessment is to be made, but only those who are expelled under the criminal law, not the ones that apply here. The need for such an assessment is, of course, at least the same in these cases. There may be new information relating to the life situation of those being transported or new circumstances in the country of origin. We have been through a difficult year with too much uncertainty [[President clubs]]
ParlaMint-NO_2015-04-30.ana.ud2311e1211	Then I'm afraid the time is up.
ParlaMint-NO_2015-04-30.ana.ud2311e1214	Then I must finally be allowed to take up the proposal of the Centre Party in the matter.
ParlaMint-NO_2015-04-30.ana.ud2311e1219	The representative Heidi Greni has taken up the suggestions she referred to.
ParlaMint-NO_2015-04-30.ana.ud2311e1222	First, I would like to commend the initiative for SV in an area where the Left, Christian People's Party and SV often stand alone. SV was important for us to arrive at, and this proposal for a representative has definitely helped to put in place a solution for the asylum-seekers. For the Left, it was important to ensure that all children who could be expected to be covered by the decoration of the asylum child legislation that we had in place in December are covered by the scheme. Therefore, children who were sent out with a residence period of more than four years will have the right to have their case assessed in accordance with a new regulation. This does not mean that an automatic stay will be provided, but we guarantee the right to have the matter reviewed. 60 children were re-assessed after the new liberal legislation we got in place in December. These are children who have been rejected, and who have been sent out of the country, who are now getting a new chance. It is not going to come from the fact that the Progress Party has also had an impact. Some of them I'm going to be so honest to say that we would have liked to be there. That's the way it is when you make agreements. It was necessary to have a majority in order for the returned asylum children to be given the opportunity to have their cases re-examined. That's how we saw it over and over here, the only way to make a deal. One of the achievements of the Progress Party was a change in the notification deadline, which has been extended to several countries today, from 12 to 6 months for family reunification without a residence requirement. As has been achieved in the media, there is disagreement as to whether this is in practice a liberalisation or a tightening. As of today, the family abroad is subject to reporting obligations. However, the agreement provides for the notification requirement to apply to the refugee in Norway. It is an understanding of the agreement for which the Right and Advance Party have expressed an understanding. So what becomes the final solution remains to be seen. In any case, we can rest assured that there is no need to tighten up the right to family reunification without a maintenance requirement, which means that the right to family reunification is no longer a reality. The derogations are already good and they are not subject to any changes. The restrictions on family reunification apply only in the case of multi-series. The Foreign Affairs Act already provides for this, and other measures against multinationals also welcome the Left. I have also not registered that we have received any criticism in this area. Finally, we have agreed in the agreement that UDI should be used for the follow-up to the provisions of the Foreign Affairs Act on the reassessment of the need for protection before permanent residence. This does not mean that the legal basis for refusing permanent residence is changed. Any change in practice must take place in a different way. The agreement shall cover only budgetary resources for any procedure. It is difficult to know in advance what kind of meaning that point of agreement will have in practice. Asylum lawyer Arild Humlen believes that the intrusions will not be of great importance in practice. He says to Dagbladet on April 9th: ‘If you have asylum, the strict rules of the Refugee Convention are to withdraw it. In the 30 years I've worked, I can't imagine situations where it's been. Where there have been such changes in the situation in the home country. Perhaps after the end of the apartheid regime in South Africa.’ International rules set clear frameworks that also need to be addressed by others. The refugee convention is part of that framework and there is no room for agreement on any important provisions in this respect. We therefore do not share the concerns expressed by others on that point, but we follow up the agreement. We have a close dialogue with the ministry and are involved in its implementation. Through the asylum agreements, the Left has helped to ensure that 152 children with previous refusals have been allowed to stay in Norway. The one-off solution, which was a single amnesty for a group of asylum children, has given 72 children as of 10 April this year. From this pulpit, the representative Heidi Greni raids that this is nothing new. No, no, no, no, no, It is an amnesty that has secured residence for children who would otherwise have been sent out of the country, an amnesty for which there was initially no majority on the Stortinget, for the Right, the Workers' Party, the Advance Party and the Center Party were opposed. But we're moving the majority and using power on what we think is most important. 80 children were allowed to stay on 10 April after being evaluated after the permanent liberalisation we had in place in December last year. A lasting solution for long-term asylum children is important – a solution that works, which is made because the child’s best is crucial. Through our cooperation with the government, we have put in place a more relaxed and humane policy towards children who have been here for a long time and who hardly know any country other than Norway.
ParlaMint-NO_2015-04-30.ana.ud2311e1251	It's going to be line change.
ParlaMint-NO_2015-04-30.ana.ud2311e1254	Let me also start by congratulating the Left – as they express it themselves – on having had an impact on an important issue in their policy. But I am sure that the representative of Skkelstad also notices that the representative Keshvari of the Progress Party has a – let's say – slightly different description of what this agreement involves, and emphasizes other things. But I only have one question to the Left, because the Left took the initiative at some point in political discussions on this matter with the Labour Party. There we agreed that the Left would come back with a proposal for concrete solutions. It did not follow the Left up, and my question is just: Why did not the Left follow up the agreement you had with the Workers' Party?
ParlaMint-NO_2015-04-30.ana.ud2311e1261	It is right that the representative Sivertsen here points out that we took the initiative in two rounds – with Helga Pedersen and not least with Eirik Sivertsen – and we were then to come back. But in the meantime, before we had the opportunity to come back, Eirik Sivertsen had told the media that there was no current issue in the policy area to review it. In the rotunda here, the same Sivertsen tells me that this interview was given in advance, but I did not know that. And if it was so imperative for the Workers' Party to meet us, there was probably both telephone, e-mail and SMS, and it is even possible to talk to me.
ParlaMint-NO_2015-04-30.ana.ud2311e1266	My point of addressing this matter is just to correct the impression that the public may have got that the Workers' Party will not follow up the political invitations and agreements we have. But let me ask the representative, Mr Skelstad, what he thinks about the tightening up of the agreement, and that is really the same question that I asked the representative, Tuskedal: Is it so that the representative, Mr Skelstad, is in favour and will defend the tightening up of the supplementary agreement and open up to it?
ParlaMint-NO_2015-04-30.ana.ud2311e1273	In line with the Tuskedal representative, I would say that it is clear that some of the restrictions, and as I also pointed out in my post, are definitely not the desired policy from the Left. But we prioritised our work on this that child was the most important thing to put in place, and we got that in place, which maybe also the representative Sivertsen could enjoy, because this is a far brighter and more liberal policy than what the representative Sivertsen was at when they were in government the last time. Then I see that there is a rustier policy in the field of the Workers' Party in their national meeting, and I hope that it may be the end of visas, but today the Workers' Party alone is the most rigid party in immigration policy.
ParlaMint-NO_2015-04-30.ana.ud2311e1280	I would like to ask the same question as I asked the representative of the Christian People's Party, for the agreement that has been concluded, because there is a counter-performance in terms of tightening the legislation to impose family reunification requirements. It could also include many young people, as the Left says, being the main priority in their efforts to liberalise asylum policy. Does the Left have an overview of how many kids this applies, and what consequences will this have for them? The response of the Christian People's Party could be interpreted in such a way that they hoped this would be contrary to international agreements, and that they did not make any assessment of it until it was resolved. Does the Left share that vision as well?
ParlaMint-NO_2015-04-30.ana.ud2311e1287	From the pulpit instead, the representative said that there was no new policy that mattered. For my part, it's very important, all of the children that we've now got in place, who are coming to us. I understand that the representative of Mr Greni clearly believes that in many ways it is immaterial, but it is definitely not immaterial for a social-liberal party like the Left. And the centre party is probably not the party that has a push on, even though I saw it was good paces also in connection with SV's proposal. I just have to be allowed to say that these rounds are necessary to come back to, and as the representative Tuskedal says, we are not proceeding from this pulpit.
ParlaMint-NO_2015-04-30.ana.ud2311e1293	Then I tried again, because the representative was not about my question in the answer. The question is quite simply: is there any person who has an overview of the impact of the tightening of family reunification legislation on young people, or is it such that the Left too hopes that this is contrary to international agreements and will not be implemented?
ParlaMint-NO_2015-04-30.ana.ud2311e1298	I don't know if I have to repeat myself for the third time with what I started with. I also said what was the tightening that was part of the agreement. The representative Tuskedal indicated that this must also be seen in relation to international law. As of today, we do not have an overview of what the status of it is. But I would also like to point out what Mr Greni pointed out from the Chair, that she felt the great breakthrough both with the one-off solution and not least the number of children who are now staying was insignificant.
ParlaMint-NO_2015-04-30.ana.ud2311e1303	Left, SV and I also believe that the Christian People's Party could fully agree on the policy in these areas. We're very much in agreement, and we've been to several crossroads before, among other things. when we introduced new changes in 2004, and when we set up a scheme in 2007 where 1000 children stayed. I understand the situation when you make an agreement that also has pages you don't like. Sometimes they're so serious that you take this one's. It did SV in government on some of these matters. I just hope that the Left can remember every time they refer to the eight previous years, that there was a difference in that government as well. The fullness of the agreement currently concluded contains some points of increased legal certainty. That's good. However, the budget cuts in the amount of legal certainty subsidies to these very groups. Is that what the Left wants?
ParlaMint-NO_2015-04-30.ana.ud2311e1310	This applies to the agreement, we do not carry out the budgetary procedure. But I'm going to give the honor to SV for their input to this, because there is no doubt that SV has contributed strongly to the fact that through this document we have put in place an agreement that we believe is going in the right direction. Then it's like when you work together, you don't always get through for everything. We're not part of the government. Either we make an agreement, or we don't make it. Distinguishing – I don't know if it's brought the policy so much longer. What has definitely led us a few steps further is that this is a significant improvement in the situation of the children, which I am absolutely certain is that SV is also happy about.
ParlaMint-NO_2015-04-30.ana.ud2311e1315	The cord shift is over.
ParlaMint-NO_2015-04-30.ana.ud2311e1318	Then I want to start by presenting the suggestions from SV in the setting. The history of the long-term asylum children is both long and bad. It has made us acquainted with many children who have become Norwegian and become rooty, who do not know about any other home country, and who have lived for years with unsafe and rescued parents. I think many saw the total inhumane in the practice of asylum when Neda in 12 years saw us in the eyes and said: I like Norway, but Norway doesn't like me. Children are not responsible for the actions of adults, nor are they responsible for the actions of their parents. They have their own rights and needs, and through the Children's Convention we have committed ourselves to them. There is and was a need for better practice in this area. It has also been shown that the Association of Lawyers and Legal Aid Officers that have been carried out, because when the cases have come to court, several have won. It proves that the administration has also been too strict. We took a look at this in the big message Children on the run. There was a slight improvement. The agreement that came into place in the end was an improvement. But the story was bad. It started with the government entering into an agreement with the Left and Christian People's Party, which they said was a strong liberalisation, and which turned out to be a strong tightening. Time elapsed and transmission increased. The government had a one-sided focus on getting the most out, and the police warned that if you were to get the return numbers, you would have to send out the long-term asylum children. The Minister of Justice knew that. Nevertheless, he said in Stortinget when SV proposed that these matters should be suspended until this new legislation was put in place, as we have done all the time before we changed the legislation, that the practice had changed, and that the police had no longer ordered to send these long-term families out. It was not correct, it was not followed up, but the other points were followed up. And there's going to be a control case here on 19 May. This was the background for, at least as I have understood it, the position of the Left and the position of the Christian People's Party, that they did not vote in favour of the proposals to put these matters at risk. Then they had not sent these families out of the country. They could have been here and had their cases dealt with according to the regulation that has now been adopted, without having to experience the trauma of being sent out. Because it's traumatic to be sent out after you've turned your head off in Norway. When these broadcasts increased, SV called out several times. We finally saw the need to promote these proposals, because there was no end to this matter. Nor did it seem that it was possible for the Left and Christian People's Party to reach this agreement before the Minister of Justice was revealed that he had not followed up what he had said in Stortinget, to order the police to another practice, and that practice had not changed. On the contrary, there was an increased pressure on sending and returning numbers that caused the number of long-term children who were sent out to double. I'm happy for what's been made of improvements now. I think I have to thank the Christian People's Party and the Left for that – I don't think anyone else has contributed significantly, to be honest. That's good, but we have a long way left. Therefore, the SV in today’s proposal also promotes that when sending out some long-term families of children, they also need to look at their overall situation, because the asylum case may have changed, but especially the children’s relationship with the kingdom may have changed. This cannot be the case for those who have been here for more than four and a half years, because it is true, as many have said, that this connection can come much sooner and can be strong – it can be devastating and erroneous. So there is a need for new assessments related to the transmission of children who have been in Norway for a long time. SV is promoting these proposals today, and we're going to repeat them, because I'm afraid they're going to be voted down, sail if I know there are more parties in the Chamber that agree with the proposals.
ParlaMint-NO_2015-04-30.ana.ud2311e1339	The representative, Karin Andersen, has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2015-04-30.ana.ud2311e1344	Both the representative Karin Andersen and other representatives from SV have recently used to give strong kick to their former partner in the Red-Green Government Workers' Party. Various characteristics have come up; I will not go into them. Furthermore, the representative has spent a lot of time clinging to the Left and Christian People's Party and congratulating them on their efforts. Then I remember that effort is an effort between four cooperation parties, and the new solution is made by all four. When the representative is first in the red corner, she can also give us her opinion here: Is the new arrangement now in place, more or less liberal than the SV itself, to manage then one set by a purely majority for eight years? - A simple answer.
ParlaMint-NO_2015-04-30.ana.ud2311e1351	That's what I said in my post. I said that I am pleased with the changes that have now come. It is largely a matter of stipulating what was going on in the Children's Grand Notice, where we concluded that practice had become too strict, and that a change in practice was desired, but there was no way of agreeing in that government to change the regulations. So I'm very happy that it's come. You must have excused me, President, but I have not experienced either the Right Party or the Advance Party as any champion for this. To put it that way: not in any of the years I've been sitting on the Stortinget, I've experienced that they've been some champions neither for the long-term children nor for a more humane asylum and refugee policy. On the contrary, there has been a narrowing that has been the goal, and I feel that the Christian People's Party and the Left have fought a battle and got through those liberalisations, while the Right and the Advance Party have been tightened up.
ParlaMint-NO_2015-04-30.ana.ud2311e1356	I first thank all the representative Andersen for seeing the contribution that the Christian People's Party and the Left have made. Then I want to replicate to SV that they are a clear opposition party, and they have probably been in the red-green period as well. Not always informed, but they clearly put their finger on matters that require thought, especially in this area. There's a message called Child of Flight, which is from the red-green period. Then I would like to ask a hypothetical question: does the representative Andersen think that we would have achieved the same thing that we have achieved now if the red-green government had continued?
ParlaMint-NO_2015-04-30.ana.ud2311e1363	You don't have to answer hypothetical questions. Now the election result was as it was, and the Left and Christian People's Party chose to support a Right-Fremskritsparti-government where the Advance Party has been given care of refugee and asylum policy. There is an SV critical to, and I believe that the Christian People's Party would have achieved a lot more of its policy in this area and most areas if they had rather cooperated on the left. I am absolutely convinced of that. And then I'm absolutely convinced that we've got more than this and avoided the contractions that the Christian People's Party now has to agree to in order to get this necessary little improvement in place.
ParlaMint-NO_2015-04-30.ana.ud2311e1369	I have previously given honor to SV and Karin Andersen, for there is no one who doubts the heart layer and to see what is not good in the world around us. That is definitely what the representative Karin Andersen is doing. A reflection on this matter that I could imagine that the representative Karin Andersen had been over his former government partner, the Workers' Party, who is now in many ways standing back as a defender of current and more rigorous regulations than we have now had: does the representative Andersen believe that it would have been possible with the party that is now standing as it might least give rise to everyone in the field of asylum and immigration policy to have a similar agreement?
ParlaMint-NO_2015-04-30.ana.ud2311e1376	I feel that this is exactly the same question that the Christian People's Party asked me, and I do have the exact same answer. But I want to say that I have seen a slight change in the Workers' Party under new leadership in terms of positions on the particular refugee issue. I have experienced that the rhetoric has changed. But I am absolutely convinced that if the Left and Christian People's Party had chosen to cooperate on the left, it would have been possible to get better solutions to this and other nuclear issues, such as climate and environment, which the Left is also very concerned about, and that it would have been without the negative constraints that the Left has now had to say yes to, as part of the agreement, and which I understand you would have preferred to be without. I feel convinced that it would have been possible to do so, and that we had not seen the discarding practices that we have seen in the last year.
ParlaMint-NO_2015-04-30.ana.ud2311e1383	I hear what Andersen's representative says, that she is dealing with the 'new Workers' Party' in the opposition. So some of us, not least the representative Andersen, have been involved in politics for a long time. Does the representative, Andersen, really think that there is a shift in the current most rigid party in the field of asylum and immigration policy? It's been a national meeting where there were clear signals – I'm going to be ready – but is it a ham change? After the eight years they have lost battles, which may not have completely led up to this field, which also pointed out in the previous line exchange with Mr. Sivertsen today? Does the representative, Andersen, feel sure that this is really a change of heart?
ParlaMint-NO_2015-04-30.ana.ud2311e1390	What I feel and believe means terribly little. That's what's being done in practice, that counts. In this area, SV knows that we have to fight hard, and that there are a lot of counterpowers in the big parties. There has been an iron triangle between the Progress Party, the Right Party and the Workers' Party in the asylum cases, so it remains to be seen. There are some proposals that have now come, where I am pleased that the Workers' Party has extended itself in terms of refugee policy. But we're clear that this is a game where we know we have to fight hard for these kids. I'm very pleased that the Left and Christian People's Party is in it. But I have been very surprised that the Left and Christian People's Party has been willing to sit still for so long and see that a Minister of Justice from the Progress Party has increased the deployment of long-term asylum children, while training has been given an agreement to secure what was initially agreed.
ParlaMint-NO_2015-04-30.ana.ud2311e1397	The cord shift is over.
ParlaMint-NO_2015-04-30.ana.ud2311e1400	I have to admit that I am tempted to use most of my posts to refute the claims made by the representative Andersen, who has a description of reality – which is also partly supported by both the Workers' Party and the Centre today – which, in my opinion, is very far from the facts. It will be dealt with in May based on an attitude of the Committee on Control and Constitutional Affairs, and I will rather refute the claims of the three parties mentioned there, and deal with what this proposal is about in my speech here today. I would like to refer to the cooperation agreement between the government parties, the Christian People's Party and the Left on the foreign field, where we include. agreed to introduce two regulatory changes for long-term children. The so-called ‘one-off’ solution already entered into force on 1 July 2014, while amendments to the foreign regulation which would give a stronger emphasis to the situation of children when assessing whether to grant a residence permit entered into force on 8 December last year. Many children have already stayed in Norway as a result of these measures. I also recall that the implementation agreement between the four parties was concluded on 28 February 2014 and that is what is in a way the starting point for the further work on the two amendments. Representatives propose that long-term children who have been transported be given the opportunity to be dealt with in accordance with new legislation. The Supplementary Agreement concluded between the Government Parties and the Left and Christian People's Party, among other things, provided that children who had a residence period of four years or more and were transported for the period from 1 July 2014 to 18 years. March 2015 shall be given the opportunity to have their cases dealt with in accordance with new legislation by the submission of a request for conversion from the rest of the world. This part of the proposal is thus considered to be taken care of, even if there are different dates in the SV's proposal than the text of the agreement. In the additional agreement, we also found reasonable and appropriate limits to such a scheme, and by setting the limit by the fact that the children must have had four years of residence in Norway before being transported out, I believe we are catching up with those who, according to the foreign student's practice, will have a connection with Norway that can provide the basis for a residence permit. The government is working to get this scheme in place as quickly as possible. Measures will be put in place to try to reach out with information on the scheme for all the families in the target population. I therefore believe that the supplementary agreement also takes care of the interests of the children transported out in a satisfactory manner. The proposers also call for the possibility for the foreign authorities to be able to reverse decisions on their own initiative. This is a possibility for the alienation authorities to already have today, and it follows from the Administrative Act. Furthermore, the proposers request that the legal aid scheme for asylum seekers be extended with respect to long-term children and that good regulatory information be ensured. The Government, the Left and the Christian People's Party have agreed to introduce a grant scheme for non-governmental organisations contributing to the interests of long-term children, including by providing information and, where appropriate, providing legal assistance. The change in legislation has been made well known to the public. The minority of the Committee would like to introduce a provision for an up-to-date pre-dispatch assessment if more than one year has elapsed since the last assessment of the case. I remember that everyone who has been refused a stay is obliged to leave the country before the expiry of the leave period. Refusal is granted following a thorough assessment by the foreign authorities and all applicants for a stay in Norway are entitled to a two-way handling. I think it would be unfortunate to introduce a system, or a rule, that gives the impression that the foreign administration's decision is not final. In addition, I point out that the foreign authorities are continuously assessing whether the general security situation in a country requires that the exit obligation should be suspended. Then I think it is with respect to report that the representative of the SV, who has then partly taken advantage of these proposals already through a vigorous effort by the Christian People's Party and the Left, should be a little more excited than what we have been illustrated by the pulpit. I think it's very clear that these changes – despite the fact that the representative in the line change here would not wonder what things would have been like if the same majority had remained after the 2013 elections – based on the eight years of experience, show that the Christian People's Party and the Left have at least had a significantly greater impact than the SV had in the previous eight years.
