ParlaMint-NO_2015-02-18.ana.ud2278e26	The called alternate of Hedmark County, Hege Jensen, has taken the seat.
ParlaMint-NO_2015-02-18.ana.ud2278e464	The events and terrors in Copenhagen merge into the range of terrors we have experienced both in Europe and in other parts of the world. It affects children, it affects minorities, and it's a grotesque and highly speculated form of terror we're facing. I fully agree with Denmark's Prime Minister Helle Thorning-Schmidt when she stresses that this is a timely reminder that we must stand up for the values on which we have built our open societies. It's tolerance, it's freedom of expression, it's freedom of speech, it's freedom of the press, it's tolerance for others to express opinions that you don't agree with, and then you can make your counter-arguments. It is also the case that those who come to Europe to our societies, in many ways, accept a contract that means that here we have free dissent. It's the hub, among other things, in our societies. What we have also seen, which worries me very much, is that children have now been attacked by terrorists and extremists. It's actually something completely new. The attack at the school in Peshawar, where over 130 children were killed in a bestial way before Christmas, was a reminder, and Boko Haram's mercenaries, not only in Nigeria, but now in Cameroon and Niger, where young schoolgirls, who have as their only desire to learn to read and write, are taken prisoner and exploited sexually. This is not something we can do indifferent to. The work now being carried out internationally, and which we must also fully support, to combat terrorism and extremism on a broad scale, is absolutely crucial in the years to come.
ParlaMint-NO_2015-02-18.ana.ud2278e475	I'm probably sharing all the thoughts that the Minister of Foreign Affairs put forward today. It's important to say that you have to fight the extremes, that you have to fight for the values that we stand for, but also that there is not a struggle between religions that we now see. In today’s VG, a former representative of one of the government parties says that these are Islamic murders, and that even others must be killed before one understands that this ‘applies to the paralysis and the growing indulgence of pressure from various Islamic press groups’. He has also received support for being a comprehensive concept, from the staging representatives who have now been elected to this room. Does the Minister for Foreign Affairs think that the concept of Islamic murders and snipeslamization is a comprehensive concept of meeting the discussion that we now have before us?
ParlaMint-NO_2015-02-18.ana.ud2278e484	I think the representative Skei Grande and I use the terms that we think are right to describe what we are now facing, and I agree with the considerations that the representative made in his first post, about the importance of protecting freedom of expression and about tolerance. So now we see that there is an abuse of religion among extremists, violent and terrorists. This is not an unknown phenomenon up through history. There have been others who have abused other religions in the past — with regard to witch burning and other types of activity, religion has been abused. When you shout Islamic words and expressions at the moment you commit cruel acts of terror, it's the abuse of religion, the abuse of Islam.
ParlaMint-NO_2015-02-18.ana.ud2278e493	It opens for follow-up questions – first Iselin Nybø.
ParlaMint-NO_2015-02-18.ana.ud2278e496	My follow-up question goes to the Minister of Culture, because after the last events in Europe, I think we can all agree that dialogue between religious communities is important. We saw the same thing back in 2006, when we had this caricature fight. There we saw that here in Norway we were able to have a good dialogue between the religious communities. While the imams in Denmark whipped up the mood and went down to the Middle East, our imams and our bishops had a completely different approach. They talked, they had good dialogue, they traveled down to the Middle East to calm the muddles. What does the Council of State see that she can do to ensure that we have good dialogue between the religious communities further now in the demanding time in which we stand?
ParlaMint-NO_2015-02-18.ana.ud2278e501	In fact, there is a great deal of work to be done in dialogue around our society. The former dialogue forums that were subject to the churches have today been very much involved in this which has to do with the Cooperation Council for Creeding and Living Societies around. I've been to visit several of these environments, I've been to Sarpsborg, I've been to Tromsø, and I was in Stavanger a few weeks ago. It's a big activity, and I think it's very important. It's underestimated what dialogue really means. Getting together, learning to understand each other's religions, helping to increase tolerance and respect for each other, and it's a prerequisite for us to be able to live in peace with each other that we actually also respect each other's beliefs and beliefs.
ParlaMint-NO_2015-02-18.ana.ud2278e507	Marit Nybakk – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e510	Initially, my question was meant for the Minister of Foreign Affairs, but I think the Minister of Culture can stay standing. Let me first say that it is important that we stand up for the freedom of assembly, for democracy, for freedom of expression, that we do not celebrate this. It's important that we fight terrorism internationally, and that's where the Foreign Minister does a good job, there's a lot of people doing a good job. But then we have a job to do in our own neighborhoods. We have a job to do in school to prevent radicalisation, prevent extremism. Not least in the big cities, it's about the neighborhoods of the city we're in now, and in other cities. How will the Minister of Culture in the Government work to improve the prevention of extremism and radicalisation in our neighbourhoods? It also has to be about inclusion, it has to be about participation, and it has to be about feeling taken seriously even if you have a different religion and a different culture.
ParlaMint-NO_2015-02-18.ana.ud2278e517	First of all, I think it is important that we agree that a prerequisite for freedom of religion is, in fact, freedom of expression. It must be at the bottom. We can't have a society where there's going to be a sense of self-esteem towards the press, or that one should prevent it from being possible to make statements. It may not be that the social debate cannot develop – it is incredibly important – but we must learn to have tolerance for each other’s stand, especially in terms of beliefs and beliefs. We have funds in our department that are distributed to the Dialogue Forum. In fact, we also have several meetings this year with the Council of the Cooperation Council for the Doctrine of Faith and Life, where these differing views are discussed. I've been visiting some of these meetings with the different institutions and also the different religious communities. I think it's incredibly important that transparency is created for you to have room to discuss this.
ParlaMint-NO_2015-02-18.ana.ud2278e524	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e527	My supplementary question goes to the Minister for Foreign Affairs. After the tragic events we've seen in Paris and Copenhagen, you can't escape the fact that a particular group is attacked just because you have the ethnicity or the belief you have, the Jews in Europe. There is nothing new about Paris or Copenhagen, the same has been the case in Brussels and Toulouse, and we also see flows in other countries, perhaps going a little east, where this is also infiltrated in pure party politics. So my question to the Minister for Foreign Affairs, who meets many of his colleagues in many contexts, is: How will we follow up on the Norwegian side, so that it is safe to be Jewish in Europe in 2015?
ParlaMint-NO_2015-02-18.ana.ud2278e534	A number of actions from the PST have been implemented in recent days to ensure, inter alia, that: The Mosaic Religious Society in Oslo, Kindergarten — and other security measures. But what the representative addresses is a much broader question. It's frightening that in the 21st century we now see an emergence of an antisemitism that we haven't seen in many decades. It's only a few weeks since Auschwitz-Birkenau marked that six million Jews were gassed in the heels of Hitler and the Nazis during World War II, and then one sees the blossoming of some of the same kinds of attitudes. This must be put back on with a hard-on. The first thing I did when I came to Copenhagen was to visit the synagogue, put down flowers, and I had a conversation with Melchior. From the Norwegian authorities, it will be a clear priority in the years to come to contribute to an international alliance against growth in anti-semitism.
ParlaMint-NO_2015-02-18.ana.ud2278e539	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e542	Increasing antisemitism is a major problem – and also the fact that one sees Jewish targets being attacked, both in Paris and in Copenhagen. I think it's very important – as some people have been involved here – both to focus on values that gather us together, and to avoid this becoming a struggle between religions, and also to contribute to increased dialogue between religious communities. It is also important that Norwegian politicians are concerned about contributing to conditions that may be unfortunate. Some of the things that play a little bit on the situation that has now happened are when the spokespersons of one of the government parties come up with statements about both Muslims and Norwegian politicians and their relationship with the State of Israel. One of them is Erlend Wiborg, who believes that former Prime Minister from Right, Kåre Willoch, contributes to Jewish hatred. How does the Minister for Foreign Affairs view the kind of statements that have come from Norwegian politicians in recent days?
ParlaMint-NO_2015-02-18.ana.ud2278e551	First, I would like to agree entirely with the representative Arnstad that interreligious dialogue is more important than ever, that religious leaders talk together and understand each other. Then it's important that religious leaders also send clear signals that what you're experiencing now, you take a great distance from it. As politicians, we have a responsibility now to underline the values that gather us and that we agree on – freedom of expression, freedom of religion, this with tolerance, tolerance for those who are different, and tolerance for those who belong to religions other than ourselves. It's an abuse of religion we're seeing now. You push religion in front of you and claim it as the cause of terrorist acts, extremist acts. This creates a lot of hurt and hurt feelings for those who belong to the religions that are pushed in front of them.
ParlaMint-NO_2015-02-18.ana.ud2278e560	Karin Andersen – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e563	We all defend freedom of expression, but it is also easier for those who now spread conspiracy theories about, for example. Jews – all the collective guilt for individual acts of terrorism thrown at Muslims. In Norway, we experienced a violent act of terrorism, which is directed at, among other things. democracy and equality, i.e. women. All of this often spreads on some closed channels, but some say it out loud. It has, among other things, representatives of one government party have now done so. I think that the Foreign Minister has no choice but to answer whether we do not all have a responsibility to object to these conspiracy theories, these misstatements. Will the Minister for Foreign Affairs contribute his response to these false claims, which also come from representatives of the government parties?
ParlaMint-NO_2015-02-18.ana.ud2278e571	I think I've been crystal clear in what I've said about freedom of expression, about freedom of belief and religion and about hitting hard on what's about intolerance. On the previous question, I was not allowed to answer this with the accusations against Willoch, which I think are groundless. Instead of polarising the debate further, I think we should stand up for the values that gather us. But everyone has a responsibility — both religious leaders and political leaders — to emphasize what gathers us together, and what principles are the basis for our society. We stand for openness. If there are people in the Norwegian social debate who want to limit this, it is contrary to what is the foundation of our society. We tolerate hearing arguments and opinions that we disagree with. That gives us an opportunity to argue against. Conspiracy theories – however much I dislike them – it's okay to get on the table, so we can hit it hard.
ParlaMint-NO_2015-02-18.ana.ud2278e580	We're going to go to the next main question.
ParlaMint-NO_2015-02-18.ana.ud2278e583	My question goes to the Minister of Labour. The aim of the reform was to achieve lower barriers to work for those who are able to do it. The premise that SV joined the reform was that no one should lose, and that was also the starting point for the bulk of the population behind the reform. People were not to lose social security, nor were people to lose housing. Now both of these things happen. The Minister of Labour is responsible for some of the most important areas of people's lives. It is the basis for people’s security that is managed in the welfare state, and in particular it is to see the Minister’s response to Tønsberg’s magazine on 7 February this year that ‘unfair reform has nothing to do with today’s government’s policy’. I would like to remind you that today's government is responsible for today's budget and that it is today's government that is responsible for the transitional arrangements, and it is today's government that is also responsible for funds for housing support or cuts in it. SV is involved in finding solutions, and we have also promoted more in the last round of the budget, but we are wondering about that discharge and want a clarity on that. I wonder: does the Council see its responsibility in the matter, and will he do anything about it?
ParlaMint-NO_2015-02-18.ana.ud2278e594	Thank you for the question. Yes, the Council of State sees its responsibility in the matter. The Council of State has shown responsibility, and the government has shown responsibility, and therefore a transitional arrangement was introduced to ensure that over 50 000 people did not receive a significant tax increase from one day to the next. That would have been the case if this transitional arrangement had not been implemented – as the government and I took responsibility for it and presented it, and I am pleased that a total increase was supported and adopted. I am not aware of the premise that SV in its time supported the unpremeditated reform, but once again: what is quite clear in the proposition put forward by the government at that time was to compensate for the tax on it being taxed as a salary – it was one of the premises of a new disability, that it should be easier to combine work and disability – and that it should be compensated for the gross income up to 15 p.m. But it is also clear that someone would then get a little worse out, and someone would get out better. But most would get out better, and so does today, which means that this reform is not austerity reform, but a defamation that we spend more money on in the future. And with that transitional arrangement, there are also many thousands who didn't get an increased tax increase. I'm willing to sit down and find solutions, and I've signaled that from this pulpit – still based on the premises that were in the premise reform. I didn't say we didn't take responsibility. What I have said is that this reform was presented by the previous government. This reform was adopted by the previous enlargement in 2011, with effect from 1 January 2015. We've been dealing with that. Any government must take account of the decision of the Storting. Then we've seen that there have been some unintended effects, and we've been trying to correct that transition.
ParlaMint-NO_2015-02-18.ana.ud2278e603	I'm glad the Council of State is open to the fact that there have been unintended effects. I wonder what the Council of State will do to ensure that the effects of the reform are adequately monitored and that all information on how it works for the individual receiving disability benefit today is brought to the table. Not least, I wonder what the Council of State is going to do to remedy the unsustainable situation in which the country's atrocities have ended. I would like to add that I am pleased to meet you in terms of future solutions.
ParlaMint-NO_2015-02-18.ana.ud2278e608	I do not share the view that there is an unsustainable situation in which all the people of the country have come into disrepute. When eight out of ten disabled people come out better, I don't think there's an unsustainable situation. I think that's a good situation. It shows that there is a reform that works well and that makes it easier to combine work and retirement. This applies to the tax restriction rule that has been repealed. I have a question back. It's a total expansion that has said that you want to have the same tax system. Is it that way to understand that SV and other parties do not want this to be taxed as remuneration but to keep the tax restriction rule? It's okay to get a signal on this from Stortinget. Is it so to understand that the tax limitation rule applies to some, but not to all? It's okay to get a signal on it too, because then we're talking about two different tax systems in the disability insurance system. It's never been the intention or the premise of the Big One that you should have.
ParlaMint-NO_2015-02-18.ana.ud2278e615	It opens up for follow-up questions – first Karin Andersen.
ParlaMint-NO_2015-02-18.ana.ud2278e618	I record that the minister has difficulty taking responsibility for what is now happening, but one thing the minister has to take responsibility for, and as the Stortinget has not decided, is to remove the shielding of half-life adjustments for the disabled, when they are going over to retirement. Such an old-age pension system is now, you have to be able to work longer to zero the effect of your lifestyle adjustment, but if you've had a disability, you can't work anymore. When SV put in government, we got in place at least half a shielding, so that those who had had had a disability should not lose that much when they were going over for an old-age pension. So it's going to be 6 billion. kr, fully phased in, to be taken from underage pensioners and given to the rich country. Can the Council explain why it is right that pensioners who have previously been disabled should receive a lower pension now than the original decision of the Stortinget?
ParlaMint-NO_2015-02-18.ana.ud2278e625	This is a debate that we have had in Stortinget in the past. But let me also remind you that Stortinget has made a decision to keep that shielding off for a while. When we presented this proposal in the state budget in its time, I thought – subject to my not remembering errors – that the principle is still the same, that it is right that it should not be the case that those who work for them are 67 years old can have a lower age pension than those who are dissatisfied with, for example. 65 years of age and disabled for two years until they are 67 years of age. I think that is a bad principle. At the same time, it is important to ensure that you have a good disability coverage and a good pension system. I believe that the rules we have today in this area are in a good way.
ParlaMint-NO_2015-02-18.ana.ud2278e632	Fredric Holen Bjørdal – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e635	Prime Minister Erna Solberg said that the government is taking the noise for what was decided in 2011. It is very different from what the Council of State Eriksson said to Tønsbergs Blade on 7 February, that the reform has nothing to do with the policy of today's government. In this context, I would like to remind you that this reform was unanimous, and that the Council of State has voluntarily entered into a government that is in the process of unbridled reform. But then I want to say that the signal that the Council of State comes with today's Question Time is positive and constructive, and I understand that he is willing to enter into a dialogue. That's why I want to ask if we can establish that the Council of State has now changed its opinion once and for all. He wants to take responsibility for the reform, but will he also let us put forward a policy that will give them additional burdens, as outlined in the 2015 state budget?
ParlaMint-NO_2015-02-18.ana.ud2278e643	That question has already been answered three times in this questionnaire. I record that there are some people who choose to use Tønsberg's Blade as a witness of truth rather than what the Council of State stands in this room and says. I had hoped that the magnification representatives would deal with what was said in the hall. What I have said is that it was not this government that presented the reform. It was the previous government that presented the reform. Any government must implement the proposals and decisions taken by the Storting. That's what this government is doing. I have said that we take responsibility for the decisions that have been taken. That is why we have also made a transitional arrangement that was not part of that reform. Me and the government will pursue a policy that we believe is for the best and for the benefit of most people, and will reserve the opportunity to come back to the Stortinge with the proposals we think are right, at the times they should come.
ParlaMint-NO_2015-02-18.ana.ud2278e650	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e653	There are a lot of people who are concerned about this. It is important, and then it is important that we have a debate on the right basis. There was consensus when one went into this reform, that one should have a change. It was then said from all sides that there was no guarantee that no one could lose. It's essential to get there, so we can have a proper discussion. Any change in a system will mean a change, not a status qou. Then the logical answer is that there will be someone who will be able to lose, and someone who will be able to win. What's the question, is how much they lose, those who lose. I would ask the Council of State to group those who lose: more than NOK 6000, NOK 6000 to NOK 12 000 to NOK 18 000, NOK 18 000 to NOK 24 000 and over NOK 24 000 per year, and tell us what is the reason they lose, so that we can get an informed debate further.
ParlaMint-NO_2015-02-18.ana.ud2278e660	I thank you for the question and for the invitation from the representative of Lundteg. I want to do my utmost to bring out the numbers and the groupings that are wanted. At the same time, let me say that I fully agree with Mr Lundtegen that when you present a reform that involves change, that means change, that doesn't mean that you're in a rest position and you keep everything that's in the old system. Of those who lose, it is, as I explained in the previous answer, people with occupational pensions, high debts, maybe combined with labour income, and spouse with high income. How does this turn out 100 pst? We don't know until we get a tax settlement. Among other things, many of these are now going to get half taxes in one month, which they haven't gotten in the past. At the same time, there will be other changes in the combination of work. Let me finally say that all the minimum pensioners, with the minimum benefit, with debts come out better than they did in the old system.
ParlaMint-NO_2015-02-18.ana.ud2278e669	Let's move on to the next main question.
ParlaMint-NO_2015-02-18.ana.ud2278e672	My question goes to the Minister of Culture. ‘A responsible gambling policy that contributes to limiting the risk of gambling problems must be the objective of Norwegian gambling policy. Over 100,000 Norwegians have a problematic relationship with gambling. This affects not only the player himself, but also family, friends and employers.» This could have been obtained from the Work Party application. It's not. I quoted from a letter to the members of the Family and Culture Committee, Oslo, on 14 January 2015, signed important organisations that contribute to providing people with quality of life and meaning, security and joy of life. I could mention more, but I mention organisations: Norwegian Sports Association, Norwegian Music Council, Rescue Company, Norwegian Blind Federation, Norwegian People's Aid, Cancer Association, Red Cross, Red Child, Norwegian Theatre Council, Blue Cross, LNU, MFO, National Public Health Association, Salvation Army, Actis and the Norwegian Music Corps. The government of Stoltenberg took several initiatives and actions in its time to prevent aggressive advertising of illegal games in Norway directed at the Norwegian gaming market. The Lottery Authority called for action in its 2014 report. My question is: What has the government done since 2013 to prevent aggressive marketing by foreign gambling companies on the Norwegian market?
ParlaMint-NO_2015-02-18.ana.ud2278e686	As the representative is aware, it is illegal for foreign companies to market these games in Norway. We have followed up that matter, in exactly the same way that the Stoltenberg government did in its time, when they sat in government. These are demanding issues that you have to follow up, and we work every day to see if there is anything more we could do to prevent it.
ParlaMint-NO_2015-02-18.ana.ud2278e691	I thank you for your answer. Something unclear. A little concrete. Foreign gambling companies are currently preparing and implementing advertising to Norwegian users. Large funds are invested in draining the market on which Norsk Tipping controls well and has good control. Norwegian Typing also contributes with large sums of money back and is considered to be an important social actor throughout Norway. At best, foreign gaming companies will contribute sponsoring funds. In its eagerness to change the Norwegian game policy, we have seen several initiatives to liberalise the market. How will the government take control of such an open and liberalized market?
ParlaMint-NO_2015-02-18.ana.ud2278e696	As the representative is also familiar with, the Sundvolden statement states that we will consider opening up private lotteries on the outside of Norsk Typing. The Sundvolden Declaration also states that we will address the issue of a licence scheme for foreign gambling to see if it is possible to combine social policy considerations and the increased total proceeds of volunteering within the framework of the EEA Agreement. We've got an interim report on that. The economic consequences are so clear that I see that it will be almost impossible to go on with it. There will be considerable consequences for those who are addicted to gambling – we have asked for an additional report now, to check both criminal and social policy – but, in the worst case, there will be a very large loss of volunteering in Norway, some 720 million. kr, which we will strongly warn against.
ParlaMint-NO_2015-02-18.ana.ud2278e703	It opens for follow-up questions – Sonja Mandt.
ParlaMint-NO_2015-02-18.ana.ud2278e706	We record that the government and the government are most concerned about liberalizing to get more games. At yesterday's meeting, Norwegian Tipping told us that more than 700,000 players are banned in the controlled legal market today. It's the last year a double of people who have been quarantined because they've played for and lost more than NOK 10 000. One can only know what it looks like in the illegal market, where no one looks at anyone in the cards, and no one can stop if it goes out of control. Why would the Council of State take the tool she has to regulate and control what Norsk Typing has, and be willing to let people play even more without borders, without card and without control?
ParlaMint-NO_2015-02-18.ana.ud2278e712	As I have said, the government has assessed two aspects. One thing we have had a wide-ranging consultation. This is about changing the lottery code, and it's about opening up an opportunity to have lotteries on the outside of Norsk Typing. The basis for this is very well known to the representative. It is because the previous government helped to open up the lottery on the outside, with an unclear code, which has resulted in a letter from the EFTA Surveillance Authority, ESA, which last year opened a case against the Ministry of Culture following a complaint from a lottery that experienced discrimination against the red-green government. I have received a very clear request from ESA that we should sort this out, and we are about to do so. That is why we have proposed legislation, so that it is actually non-discrimination, so it is not possible to challenge this exclusive model that everyone is calling for.
ParlaMint-NO_2015-02-18.ana.ud2278e717	So the oral question procedure is over.
ParlaMint-NO_2015-02-18.ana.ud2278e729	The President will inform the representatives that there are currently no changes to the list of questions drawn up.
ParlaMint-NO_2015-02-18.ana.ud2278e736	I allow myself to ask the Minister for Transport the following questions: ‘In the Question Time of 12 November 2014, the Council of State said that building Åland station in large planned residential areas south of Oslo ‘would delay the entire Follobane project for many years and cost it with billions of dollars’. Norconsult has recently investigated the technical solutions and costs of the Eastern Plan project. The conclusion is that it can be carried out as an additional work without delay for the Folloban and that costs are estimated at 1.4 billion. kr. On this basis, will the Council of State initiate an independent investigation of the Åland station?’
ParlaMint-NO_2015-02-18.ana.ud2278e750	This station, which we have discussed before, is a station like the then government, under Jens Stoltenberg's leadership, did not choose to continue after making thorough assessments of it. The last three government parties thought this was not a good idea, although it seems to be smart, because one wants to make it possible for more people to live in this region, and then it's important that one gets good collective solutions. But one made an overall assessment then, and we've also done that now when we say that it's not this Folloban tunnel with a station inside the mountain that necessarily is the good solution there. That is why one has a good cooperation between the Railway Agency and Router to look at how one should develop infrastructure for collectives in this area. And there's a sketched solution that we think takes care of the travelers in a potentially developed area far better, using today's Eastfold Railway, with several departures. Building public transport through the Router system is better than spending money building this tunnel. In addition, I note that yesterday's Evening Post, the Railway Agency also points out that there are several things Norconsult has not included in his investigation, which means that this is not an investigation that has received new, objective facts in itself. One has e.g. forget that a job has to be done with regard to the planning and building law. It's something that in itself takes a year, and it costs a lot of money. Many other elements were also mentioned in the Evening Post article. So my assessment is that, with the information we have today, there's no reason to reconsider your position. On the contrary, I would like to say that it is important that we continue the work we are already doing, investigating the infrastructure in and around Oslo, both on the state level and in cooperation with Router. I also note that the Labour Party's own representatives, both in the Transport Committee and elsewhere, also do not support the view that this is something that should be investigated. The representative Eirin Sund stated in the evening post a few months ago that the Workers' Party does not support this, and as late as today, the representative Svein Roald Hansen has been out saying that this proposal has no support in the Workers' Party. Then it becomes a little strange that I, as Minister of Transport, should start an investigation that does not even support the questioner's own party.
ParlaMint-NO_2015-02-18.ana.ud2278e761	Thanks for the answer. I think it's important that the Storting and we, who are concerned about getting the greatest possible environmental benefit out of the big investment in Folloban, are able to get actual information based on when we're going to assess whether there's any reason to think about it again. What I have to ask is whether we are talking about the same project, because in what Norconsult has presented, which of course is a work they have done on behalf of developers – it is not my role to do well for everything in that investigation – is defined a particular project with sidings. One of these is also available at Holmestrand station, which is now being built for 900 million. kr, and at Lillestrøm station – for the Fly train. They have calculated this to consist of some extra exploding work of 400 million. kr, as a separate additional work, and accommodation for 1 billion. kr. This will not lead to delays in the project and does not mean many billion kroner in extra expenses. It is important to know whether the Council of State is based on a separate study of this that has now been carried out — with the new perspectives that have come in — and whether there is something that can be seen — in addition to the general reasoning.
ParlaMint-NO_2015-02-18.ana.ud2278e770	There is no new information in what Norconsult has come up with – in that case I have to get the new information that the representative of Bohemia believes is available. On the other hand, there have been thorough investigations of this, because it seems to be a good idea. We in the Progress Party have also said that we went into this because we thought it seemed exciting. But we see the consequences. It will delay the Folloban project and thus destroy public transport for many thousands of people in Akershus and in Eastfold, and we will see what extra costs it brings. This is money that we think would have been better spent by getting ahead e.g.. on an Ahus track or on a tunnel under Oslo – rather than building a station that will still be 1 to 2 km away from where people want to live. So there's so much distance from the station area to where you plan for people to live, that it's unlikely that so many people will use this station – compared to the other plans. That's why I'm holding on – until new information comes – to the decisions that a total increase also... [[President clubs]]
ParlaMint-NO_2015-02-18.ana.ud2278e777	I also thank you for the additional reply. When the Council of State now says that it will delay the project, it is important to know why it will delay the project more precisely than that it is said that it will be delayed for many years – when such a recognised consultancy agency as Norconsult investigates this and says that this can be done in parallel without delay. It is an important premise, and 1-2 km do not vote for, for example. Those who live on the Bjørndal today. They want to live several times closer to such a station. It also applies to those who want to live in an Åland town. I think this is a big question that concerns how Norway is going to deal with the fact that ESA now demands that we have to get much better air quality in Oslo. The Government shall provide an answer to that question by April. Here you have the opportunity to take a great deal of action to provide very environmentally friendly transport for 60,000 people – and to provide 6 000 access parking spaces. What worries me is that this is called too small and is not willing to go into this more seriously in the light of the new challenges we are now seeing.
ParlaMint-NO_2015-02-18.ana.ud2278e786	As I have repeated many times, this station area will be better served by the Eastfold Railway. So it's not about getting collective offers to those who might want to move here, but we can do it a better way than what Jan Bøhler argues for. By using today's Eastfold Railway, getting better bus services, investing through the Router system, and through the NSB and the Railway Agency, you will thus offer a better offer than you get if you go in and do something that the red-green government also rejected, which is what the Workers' Party has rejected today – with the exception of the representative Bøhler. I think it makes more sense to get ahead of Ahusbanen, get a tunnel under Oslo, get built out and maintain the railway we have many places, and make sure that several thousand travelers in Akershus and Eastfold get Follobanen in place faster. There's no doubt that the tunnel into this area is almost a mile, and people don't want to live right at the tunnel opening. There'll be a distance into the tunnel that makes it less attractive. There is a huge need for maintenance on existing railways to get more people to travel with it. We're in the process of doing all this, and I don't feel that there are any new arguments that suggest that we should change our strategy to get more people to travel collectively – by building this station.
ParlaMint-NO_2015-02-18.ana.ud2278e801	I allow myself to ask the following questions to the Minister for Transport: ‘The national transport plan has a set of 350 million. kr to the pair Bjørset-Skei on E39 in Sogn and Fjordane. The plans are ready, and one had hoped for a start-up break in 2015. The plant is a transport year with over 3000 ÅDT. This means that the work will take longer than usual and that the funds earmarked for 2014–2017 will not be used in full. As a result, the road route may be delayed depending on the NTP plans. How will the State Council ensure progress as planned and when can the project expect start-up permissions?’
ParlaMint-NO_2015-02-18.ana.ud2278e810	This is a road map that I pay a lot of attention to, and which I think is important to get in place. This government, through its work, has ensured that work on a free E39 link across the West has received significant funds to start planning. We made trasé elections quickly after we took over, so we have good progress on the whole route as such. With regard to exactly the part of the E39 we are talking about here, the national transport plan, which was presented by the previous government – so I guess one knows it well – is based on the assumption that the start of the project will take place in the period 2014-2017, with a traffic opening after 2017. Thus, no concrete position has been taken in the NTP as to when plant start will take place during the four-year period. This will start to talk about a delay when we are 15–16 months within this large-scale period – that is, twice as long again – wrong. Nevertheless, we have said that this route is important. The majority of the Transport and Communications Committee – the members of the Right, the Advance Party, the Christian People's Party and the Left – also pointed out the importance of achieving this project as quickly as possible in the setting up of the State budget. I agree that it is important to eliminate this bottleneck on the E39 in Sogn and Fjordane. Therefore, plant start-ups in 2016 will be very high priority in the preparation of the State budget for the next year.
ParlaMint-NO_2015-02-18.ana.ud2278e823	I thank you for your answer. State Secretary Aarseth said at a press conference in Førde on 8 October last year that the progress of the road project Bjørset-Skei is going after the plans with start in 2016/2017, when the plans are ready. The State Secretary probably referred to the proposal in the 2014-2017 Action Programme, Route 4a Stavanger–Bergen–Ålesund with connections, from the State Road Administration. There it is starting in 2016. It is argued that the regulatory plan for the 11 km long parcel was extensive and complicated. One thought that the plan work took longer. It seemed to be a mistake. The cooperation between municipalities, landowners and the State Road Administration has been very good, and the regulatory plan was approved after a hearing and completed in 2013. According to Statens vägvesen everything is ready for start-up, and the thoroughfare can be started. A startup decision is only waiting for you, following the department leader in the State Road Administration. What will the Council of States do — when all is done? The Council of State has said that it should have increased the progress of the project in order to get this going as soon as possible.
ParlaMint-NO_2015-02-18.ana.ud2278e828	As I mentioned, that's exactly why, and because the majority parties in the Storting are very offensive about this, we're going to work to get it into next year's government budget, so that you get a quick start then. It is true that the government is offensive also in terms of transport in general and road. After taking over, we have accelerated work on at least 12 road projects as a result of additional appropriations or as a result of simplified planning processes. In addition, in the state budget that the Stortinget has now adopted, together with the Christian People's Party and the Left, we have been given a boost in maintenance far ahead of the national transport plan, which means that for the first time in many decades we are reducing the maintenance run. We were also able to make a rag election on the E39, which the previous government failed to agree after several years. I appreciate being reminded that we are offensive, and I am happy that we can also show that we are delivering. I work hard to ensure that the Bjørset-Skei section enters the budget and can be realised from 2016.
ParlaMint-NO_2015-02-18.ana.ud2278e837	I notice little about the offensive in Sogn and Fjordane. So far, I've noticed that it's cut on tunnel maintenance and cut on the E16. That's what's fasitating so far. And this project is over. It was planned in 2013. It's ready to start. There's only one signal waiting for from the state council. This will affect the whole progress of E39 through Sogn and Fjordane. It is a project where traffic is to be decommissioned at the same time as one is to be built out. If one does not start before 2016, those who have something to do with it say that one will not be able to use up the funds in the national transport plan for the period up to start in 2017, because one has to expect a slightly longer period of time for a project to be phased out while a major traffic is being phased out. That's the challenge, and the challenge for the Council of State is to give a signal this year so that one can start a complicated job that is very important to get done.
ParlaMint-NO_2015-02-18.ana.ud2278e842	As I said, we're working to get the funds in place next year's budget. I believe that the representative of Navarsete, who was formerly Minister of Transport, knows very well that the Vegvesen cannot begin to build without money for it. Thus, the Vegvesen has never had more resources than they have now, not just because you have had a steady growth, but because you have had an extraordinary growth in the appropriations this year. On the maintenance side, the appropriations have increased by 67 pst. compared to the budget submitted by the red-greens for 2014. It's a strong growth in just one year. On the investment side, there has been a growth of about 20 pst. compared with the red-green proposal for the previous financial year. This makes it possible to realise more projects. In addition, we should remember that when it comes to meeting the national transport plan in the budget that the red-greens provided before they went off, it was about 22 pst. – far below what you had to have to pay 100 pst. in the course of four years. It was also what the Road Administration took into account when they made their action plan. But we've had a growth that allows you to get started faster than anyone else would.
