ParlaMint-NO_2015-04-29.ana.ud2589e26	The representative Per Olaf Lundteg will present a proposal for a representative.
ParlaMint-NO_2015-04-29.ana.ud2589e470	I find this a little surrealistic, but I find reason to remember that the big community in 2014 collected 300 billion. kr in revenues from the oil and gas activities. Then it's the right thing that the representative Elvesuen says, that the oil price has fallen significantly, and the revenue cannot be expected this year to be particularly higher than 200 billion. kr. Some would argue that there is a relatively large amount of money. As for the future development of the oil price, neither do I believe nor hope that we will see the 130 dollar barrel again. But I'm also convinced that the world doesn't have access to the energy resources they need, nor is it based on an oil price of $65. So we want to see a growth in the oil price in the years ahead, I'm pretty sure. This will make many of the resources in all parts of the Norwegian base profitable, both for the companies and not least for the state, for many decades to come.
ParlaMint-NO_2015-04-29.ana.ud2589e479	It opens for follow-up questions – first Pål Farstad.
ParlaMint-NO_2015-04-29.ana.ud2589e482	My question goes to the Minister of Fisheries, but I want to start by referring to the Council of State, Lien, who believes that lower taxes on Castberg are being made to create growth and jobs in Finnmark. It's in a certain contrast to the Prime Minister's desire for green growth, or green change. This is, of course, direct support for a fossil priority – not a start on green migration. The left is also concerned with growth and jobs, not least in Finnmark, but we will focus on renewable resources. That is why I ask the Minister for Fisheries: does the Minister for Fisheries have no objections or objections to the government's line on issues where the renewable fishing industry is facing other non-renewable industries, as we see on the issue of ice, in Førdefjorden, among others. a total marine industry strongly disagrees with the government’s maritime landfill decision?
ParlaMint-NO_2015-04-29.ana.ud2589e489	The fishing industry and the petroleum industry are two very important industries for Norway. Both industries generate large economic values and many jobs, and it is a goal for the authorities to ensure good coexistence where different industries can operate. For me, as Minister of Fisheries, it is imperative to ensure that there is good dialogue and that emission requirements are put in place to enable us to combine fisheries and other activities in the future, whether they be mineral or oil and gas industries. The representative is busy with Finnmark. I am also in particular, and I think it is important to see that the county, like other counties, needs a more varied business life, and that there is joy in Finnmark these days for all the important jobs that come – in addition to a fishing industry, which is very important in Finnmark.
ParlaMint-NO_2015-04-29.ana.ud2589e494	My follow-up question goes to the Minister of Oil and Energy. The Norwegian tax system on the base consists of a special tax of 51 p.m. on oil production, which is in addition to corporation tax. The revenue is intended to cover the normal return on the special tax on large investments. Now we see that there is a large investment fall on Norwegian pedestals and foreign pedestals. We see that the tax system that we've had gives big revenues to the state, but that income is also based on the fact that there is activity on Norwegian soil, after the good lines that have been drawn up by the previous government, which has been joined by the Stortinget. My question is: what does the Council of State do to ensure that socially profitable investments continue to be made on a Norwegian base, and that this is not hindered by short-term economic criteria?
ParlaMint-NO_2015-04-29.ana.ud2589e505	First of all, I am pleased that the representative Henriksen points out that the Workers' Party is behind the frameworks for oil activity in our marine areas, even during this process. Then I want to say that what is the government and the authorities' responsibility is to establish a framework for the asset. Of course, part of the framework is the fiscal framework, which is not under the Ministry of Oil and Energy. In my department, the responsibility for managing these resources lies primarily with the resources that we have in our production. That's the resources we need to put the most pressure on and manage well, because that's where the time-critical resources will be found. Within this system, the authorities are setting the framework, but commercial actors are making the decision on deployment and operation. This has been a central principle for Norwegian oil management for more than 40 years.
ParlaMint-NO_2015-04-29.ana.ud2589e514	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e518	The representative of Elvesuen raised a very important question: how can we manage the Community's resources in the best possible way? The Petroleum Act is clear that one should manage for socio-economic reasons, one should take environmental considerations, etc. When Stortinget decides, it's up to the Oil and Energy Department and the Oil Directorate to follow up. In 2012, a unanimous decision was taken to electrify the Edvard Grieg field. It shall be prepared and connected when power from land to the height of Utzira comes. In connection with the PUD for the Johan Sverdrup field, which came on a Friday, the Oil Directorate says it will cost billions to get it done. Had it been done earlier, there would have been little expense, while one now suggests that it may cost billions to do what the Storing has decided to do. How is it possible that a decision on which the Stortinget has been so clear — both then and later, repeatedly confirmed in different contexts — will not be followed up in a better way? There may be a large extra bill in the community.
ParlaMint-NO_2015-04-29.ana.ud2589e527	As the representative Ropstad himself points out, the plan for expansion and operation was approved relatively long before I took a seat in the Ministry of Oil and Energy. Nevertheless, the device in the Edvard Grieg field is prepared to take power from land. The power demand in the Edvard Grieg field will be covered by the actual power of land, as part of the major solution for all the extensions of the Johan Sverdrup field and the three smaller fields of the Utsira Height, in line with what the Storting has been concerned about.
ParlaMint-NO_2015-04-29.ana.ud2589e534	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e537	We're still talking about a green shift from the government. Instead of subsidising the oil industry — or considering doing so — a green shift could be supported. The cooperation agreement between the government, the Left and the Christian People's Party states: «A tax deduction is introduced for ENØC home investment.» The State budget for 2015 left this promise and asked Enova instead to support households that would implement energy saving in energy conversion, e.g. install solar cells on the roof. In the state budget setting, the Right, Left, Christian People's Party and the Progress Party wrote that with this we will'stimulate a green shift in private homes through the establishment of a rights-based, unbureaucratic grant scheme'. Now it is reported that on March 30, there are six people who have applied to Enova for sun support – one, two, three, four, five, six people. Does the Council of State believe that the government's commitment to a green shift in Norwegian homes has been a success?
ParlaMint-NO_2015-04-29.ana.ud2589e551	The President is a little uncertain as to whether this is part of the main question, but the President leaves to the Council of State to answer.
ParlaMint-NO_2015-04-29.ana.ud2589e554	As we've already been to several times today, this government and the new majority in the Grand Duchy have strengthened the efforts of Enova by more than 12 billion. kr. That's $12. kr which can be used to make industry more climate-neutral, which can make industry more energy-efficient, which can facilitate the phase-out and reduction of fossil emissions from the transport sector. We have said that if the Ministry of Finance has continued to work with the implementation of the scheme originally described in the cooperation agreement, we have established within my department a system that is less bureaucratic and is rights-based. Then it may have to be more involved and made better known to others than the very most interested ones, who may have been interested in this so far.
ParlaMint-NO_2015-04-29.ana.ud2589e561	Let's go to the next main question.
ParlaMint-NO_2015-04-29.ana.ud2589e564	Should a few do something about problems that it's very difficult to solve, it doesn't keep saying that you're going to make an effort. One would have to make an effort. This is also the case in terms of halting the man-made climate change. We need people who want to make an effort. That's why I'm focusing on the question that the Council of State answered very much earlier in the Questionnaire: Is the Council of State convinced that the climate change we see today is essentially man-made? - Yes or no?
ParlaMint-NO_2015-04-29.ana.ud2589e569	When I heard the introduction to that question, I came to the point: Will, will, but will not. That characterized a lot of the climate effort of the red-green government. The answer to the question to the representative Eidsvoll Holmås is yes. That is why I am pleased that I am part of a government that, together with its partners at Stortinget, has facilitated the efforts of the times on renewable energy, which has facilitated the efforts of the times on trains, which every day facilitates people to buy cars that emit less CO2 per km, at a lower price than was the case under the red-green government. I am working on facilitating the power system of the future, which ensures that these cars can get the energy they need to drive. We are working on phase-out of oil fires in all public buildings, first the country's buildings, and will in the long term also phase out oil fires to ensure that we have renewable energy in sufficient quantities to supply all these energy-using points with renewable and climate-friendly energy. Was that clear enough?
ParlaMint-NO_2015-04-29.ana.ud2589e579	That was clear. Thank you for that – thank you for finally answering the question. One who was clear in the opposite direction of the Council of State was the party leader of the Council of State, Finance Minister Siv Jensen. Today – i.e. it was probably strictly taken yesterday – she came out of the closet as a climate skeptic, and it is important to know whether the Minister for Oil and Energy believes that the Minister of Finance’s lack of faith in man-made climate change will affect her willingness to grant subsidies to the oil industry, so that oil that would otherwise be at the bottom of the sea is pumped instead.
ParlaMint-NO_2015-04-29.ana.ud2589e586	Here there are so many questions about faith and doubt that it is almost like this that I would like to say that we should call Widvey State Council to come and answer some of this. But I want to say that I am happy that we have a finance minister who has less faith in charging and the ban line than was the case under the red-green government. I am pleased that I have a finance minister who – as part of the government collective – facilitates an offensive commitment to climate and renewable energy and facilitates the phasing out of the use of fossil energy sources in Norway. If the representative Eidsvoll Holmås now points to the Castberg solution, which we are going to discuss with ESA, it is not at all about getting the resources on the Castberg field produced. They're going to be produced anyway. It is about ensuring that they are landed to ensure optimal value creation and maximum ring-effects in Finnmark.
ParlaMint-NO_2015-04-29.ana.ud2589e596	Follow-up questions are given – first Siv Elin Hansen.
ParlaMint-NO_2015-04-29.ana.ud2589e599	The government writes on its web pages that global climate and environmental challenges require “a transition to products and services that have a significantly less negative impact on climate and environment than today” and that government promises a green shift. Based on what the Minister has said earlier today, I understand that he also recognises that fossil energy sources are a problem for the environment and the climate. In view of the seriousness of the climate communication and the government's own objectives, it will be natural, in the light of the SV's view, that the government prioritises money and efforts on new and renewable industries. Can the Minister for Oil and Energy guarantee that the government will not reduce the taxes on oil industry in order to develop more oil activities in the Barents Sea?
ParlaMint-NO_2015-04-29.ana.ud2589e606	I now note that there is a full crack between the red-green batches, which for just a few years ago combined a kerosene message that pointed out that predictable and stable framework conditions – and I assume that they also applied to the fiscal framework conditions – were fundamental to the development of this industry. I have heard in eight minutes from the Workers' Party that it is now expected that we will reduce the taxes on the base, while I now hear from SV that they will have a guarantee that we will not lower the taxes on the base. Both questions should have been addressed to the Minister of Finance, but stability and predictability in the framework conditions of the authorities are crucial for this industry to continue to be a significant part of the value creation and employment in the country and of the financing of the Norwegian welfare country.
ParlaMint-NO_2015-04-29.ana.ud2589e611	Terje Aasland – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e614	I think it's a little sad that you have to use a substantial part of the question-tretime to clarify whether part of the government believes that it's the man-made climate change that's the basis for what we're seeing around us now. It is both a sad and a significant political matter, of course, when an informed society can initially allow itself to take that kind of discussion. I am going to ask the Minister of Oil and Energy a specific question, because what is his constitutional responsibility is related to the oil and gas sector. In the future, they also need to reduce their emissions. What does the Council of State think is going to happen in concrete terms, and what measures does the Minister for Oil and Energy think are relevant to reducing emissions from the sector?
ParlaMint-NO_2015-04-29.ana.ud2589e621	I had the impression that the Workers' Party had given its support to the work done by the government to work with the EU in developing Norwegian and European climate policies. Europe is in many ways a priority region in the issues of both climate and renewable energy. I am pleased that at least there has been broad support for Stortinget. In that work, what happens on the base is entirely subject to the obligation of allowances. In addition to the quota obligation, we have now over several decades had the toughest fiscal framework to reduce CO2 emissions from some industry anywhere in the world. We're gonna be proud of that. This means that the CO2 emissions from the Norwegian base are falling, which means that we get electrification – power from land solutions – which means that we get carbon capture and storage on the Norwegian base, and it also means that the very most CO2-intensive resources are lying on the seabed.
ParlaMint-NO_2015-04-29.ana.ud2589e635	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e638	As far as climate change is concerned, I think it is worse to know and not act than to doubt and actually implement and act, as we are now actually doing with a new majority on the Stortinget, and it is important that this is reinforced. So to what's going on in the oil and gas sector: It's true, as the Council of State pointed out earlier, that of course we've had huge revenues from the petroleum sector over many years. Also now, if you look at the sector as a whole, it's huge revenues. But the question is how to set up the tax system when to bring in new fields. I'm not going to go into a detailed discussion about free incomes and other support schemes, but I'm going to ask the Council of State: does the Council of State agree that it has to be a precondition – and that we have to set up the tax system like that – that new fields are profitable both socio-economic and business-economic?
ParlaMint-NO_2015-04-29.ana.ud2589e645	Let me first say thank you to Ola Elvestuen for the great support I experience that the government has from the Christian People's Party and the Left. If I had said ‘not least left’, I would have had trouble, so it was good I didn’t. I believe that we have also put together the fiscal framework on a Norwegian base in such a way that there should be a balance between the business economy and the social economy in that system. This means that decisions are not to be made on the base that are purely business-economically profitable and that are not socio-economically profitable — and of course not the opposite. That system, I believe, has evolved over many decades on the base. The Minister of Finance must answer any questions about how it might develop in the future. However, I believe that the fiscal framework on the Norwegian base works well – even in view of what Elvestuen is concerned about.
ParlaMint-NO_2015-04-29.ana.ud2589e652	Let's go to the next main question.
ParlaMint-NO_2015-04-29.ana.ud2589e655	Let me just first clarify one thing that the Council of State said, that we had taken the floor to lower taxes on Norwegian pedestal. So the Workers' Party has not done that. But that's not what my question is. On Friday, a major matter came through the State Council to Stortinget, namely the plan for the development and operation of Johan Sverdrup, a gigantic industrial project. The Minister of Oil and Energy has well used words as a ‘wonderful project’ several times about this industrial project. The project is associated with significant expectations of Norway as a whole. There have been major questions about the societal impact and the proportion of Norwegian value creation related to Norwegian-socket expansions. Johan Sverdrup, who we now have for treatment in Stortinget, is no exception. I have a great deal of understanding for that. New figures show that unemployment has grown by 56 pst. in Stavanger in the last year, and this is caused to a great extent by a decline in the petroleum industry. So far, about 15,000 jobs have disappeared in the sector. Many are licensed or still living on final packages, and many face an uncertain future. Last week I visited Wasco in Mo in Rana. I visited Kværner Stord. Both companies depend entirely on contracts awarded through the development of Johan Sverdrup to secure the future and the basis for new knowledge, new development and secure prospects for the people associated there. Of course, the way in which the contract strategy is conducted and how it is carried out are of the utmost importance. Statoil as the operator and partners have a sovereign entrance to choose how they want to – let's say – end the contract process, but there is also a political dimension in this. Therefore, my question to the Minister of Oil and Energy: How will the Minister of Oil and Energy follow the further process related to the contracts of Johan Sverdrup, precisely to ensure the maximum share of value creation in Norwegian companies?
ParlaMint-NO_2015-04-29.ana.ud2589e667	I'm happy for every opportunity I get to talk about Johan Sverdrup. Johan Sverdrup is the largest development project in Norwegian history since the mid-1980s. It will employ several thousand people during the exploitation phase, and it will create tens of thousands of annual works in Norway and abroad during the time it is under development. So, of course, I am aware that parts of the Norwegian supplier industry have challenges, and that is why it is very gratifying to see that in this expansion – unlike five of the last five major expansions under the red-green government, I just remember – large contracts have already been awarded to Norwegian industry. It is such that Aibel shall build the deck to the housing platform, Kværner Verdal shall provide the steel chassis, and Aker Solution shall make a significant part of the future procurement and engineering. These are major contracts, which have already been won by Norwegian suppliers. I am sure that many of the Norwegian suppliers are competitive when it comes to winning more contracts on Johan Sverdrup, and there is no way to hide that the value creation in Norway is getting higher the longer in the contract structures of the Norwegian suppliers. At the same time, what was also fixed very clearly and as a good principle is that commercial decisions on Norwegian pedestal are not actually made in the Ministry of Oil and Energy; they are taken by the commercial actors out there. In fact, the competitiveness of the Norwegian supplier industry is not the responsibility of the Ministry of Oil and Energy, but the responsibility for the owners and managers of the Norwegian supplier industry. But as I said, we have seen that the supplier industry is competitive again and has won large contracts on Sverdrup, and it will do so in the future.
ParlaMint-NO_2015-04-29.ana.ud2589e676	There is no doubt that commercial decisions will form the basis for those contracts. I have not suggested anything else either. But of a total investment in the first phase of 117 billion. kr, it is clear that high expectations for the ring effects have been created, not least for Norwegian enterprises, Norwegian knowledge and Norwegian prospects. And there's no doubt that we're now inside a time-critical window. The Norwegian oil service industry has done a lot to reduce costs, and oil companies have also focused on this. Then it is in a way good to record that the Minister of Oil and Energy is happy to talk about Johan Sverdrup, but I am more concerned to know what the Minister of Oil and Energy thinks about the possibilities for the Norwegian oil service industry in connection with the window in the contracts up to Johan Sverdrup. Will the Council of State also have a significant commitment to enable Norwegian oil service industries to participate in the great value creation so far? Then have Norwegian contracts and a share of 117 billion. kr... [[The President cut off]]
ParlaMint-NO_2015-04-29.ana.ud2589e683	Time's up.
ParlaMint-NO_2015-04-29.ana.ud2589e686	I think it's important that we don't now have black paints. In 2013 we had behind us twelve years of continuous, partly very high growth in the investment rate on Norwegian pedestal. Looking at the activity level of Norwegian pedestal this year and to next year, it is expected to be significantly lower than in 2013, yet much higher than it was just a few years before 2013. So it's like many of the earlier questions in this questioning, that the oil price has gone down. Profitability in projects is more demanding, and therefore it is essential that both operators and suppliers on a Norwegian base have more control over the cost base than in the strong growth period up to 2013–2014.
ParlaMint-NO_2015-04-29.ana.ud2589e693	It opens up for follow-up questions – first Per Rune Henriksen.
ParlaMint-NO_2015-04-29.ana.ud2589e696	Since 1971, this has meant that we should have a Norwegian supplier industry, be an important part of Norwegian oil policy and the principles of oil policy. Now we heard that the Council of State disclaims responsibility for the supplier industry – this is not OED’s responsibility, this is the industry’s own responsibility. The industry has to be competitive, but what we've seen on a lot of occasions is that yards, especially in Asia, get the commissions on cheap tenders, but the result is very costly anyway, because of delays and extra costs that come to the top. This is also reflected in a report that the OED itself ordered from Kaupang in cooperation with, among others. LO and Norwegian Industry, which show that the value creation is going to be very bad with Asian participation. My question is, what does the Council of State actually do to make Sverdrup a Norwegian, not an Asian, industrial venture?
ParlaMint-NO_2015-04-29.ana.ud2589e703	Now there were a lot of statements in a short time. Let me start by saying that I don't think I have at any time sub-communicated, at least not knowingly and willfully, the great importance of the interaction between the supplier industry and Norwegian base operators for the success that the activity on Norwegian base has evolved into. I think it's a great awareness of both operators and suppliers as well. What I said was that the responsibility for the competitiveness of the supplier industry lies with the supplier industry. Then I just want to comment on what the representative says about Asia. That's right, and I also said in my reply to the Aasland representative, that if the big contracts go to Norway, it's going to be more valuable than if they're going to be in Asia. There is nothing to hide. But it sounded like it was all or nothing. In fact, it's in size, roughly simplified, 60 pst. in the case of contracts in Norway versus 40 pst. in the case of Norwegian contracts in Asia.
ParlaMint-NO_2015-04-29.ana.ud2589e710	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e713	The actual time horizon for Johan Sverdrup shows in many ways in itself the need for stability and long-termity and also the need for predictability in the case of Norwegian oil policy. Now, in a previous response, the Council of State poised that there were different positions on the red-green side when it came to oil and energy policy. But I have to say that there seems to be a certain distance between the Left and the Advance Party as well – and not only in terms of taxation and the socket, but also in terms of some other things. The Prime Minister quoted in his speech a White House Chief of Staff as saying that crises are an opportunity one should not miss. I don't know if those who lose their job in these days feel that way. I think that they look with concern at what is happening, and it is the supplier industry that will be the critical point for the years to come. My question is: What tools do the Council of State have to ensure Norwegian employment and competitiveness in the Norwegian supply industry for years to come, for example. in connection with Johan Sverdrup?
ParlaMint-NO_2015-04-29.ana.ud2589e720	I am pleased that the representative Arnstad from Nord-Trøndelag asks this question. One of the most important industrial companies in her state, Kværner Verdal, has already won a very important contract on just Johan Sverdrup. I would like to remind you that for the long-term employment effect in Norwegian oil and gas production, profitability is of course absolutely necessary. Therefore, companies – whether they are operators or suppliers – need to have control of costs. The level of development we saw in 2013 and 2014 is not sustainable in the long term. Then I would like to say that this government has strengthened its interaction with industry through the PETROMAKS and DEMO programmes in the Research Council. It also helps to strengthen the competitiveness of the Norwegian supplier industry. We know that the more sophisticated solutions are chosen, the better opportunities are for Norwegian industry.
ParlaMint-NO_2015-04-29.ana.ud2589e729	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e733	Johan Sverdrup is a huge project that will last for many years, and there is no doubt about profitability, even with an expected low oil price. But part of Johan Sverdrup is the electrification. One has been a little bit concerned about it also earlier, from the Christian People's Party, about Edvard Grieg and the platform there. The question is not whether it can be electrified, but as of today the platform is not prepared for an electrification, and it will cost several billion kroner in investments to get this in place. Then my question becomes: is the Council satisfied with how the operator has followed up the clear decision of the Storting that we should have an area electrification?
ParlaMint-NO_2015-04-29.ana.ud2589e738	As I said to the representative Ropstad instead, the plan for the expansion and operation of the Edvard Grieg field is approved by the red-green government. I have no reason to believe that the operator who has not followed up what has been given by directives from my department during the previous period. But it's a decision that's been made before my time. So it's like all three smaller platforms on the Utsira Height will receive power from land when Johan Sverdrup Phase 2 comes into production. It's based on 2022, which everyone works after, and which the Storting has been busy with.
ParlaMint-NO_2015-04-29.ana.ud2589e745	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2015-04-29.ana.ud2589e757	There will be a change in the set question list, and the President will show in this context the electronic question list. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Jan Bøhler to the Prime Minister, will be answered by the Minister for Foreign Affairs on behalf of the Prime Minister. Question 3, from the representative Sveinung Rotevatn to the Minister for Transport, lapses, as the questioner is not present. Question 9, by Mr Knag Fylkesnes to the Minister of Knowledge, will be taken up by Mr Siv Elin Hansen.
ParlaMint-NO_2015-04-29.ana.ud2589e774	This question, from the representative Jan Bøhler to the Prime Minister, will be answered by the Minister for Foreign Affairs on behalf of the Prime Minister.
ParlaMint-NO_2015-04-29.ana.ud2589e782	I allow myself to ask the following questions to the Prime Minister, who is answered by the Minister for Foreign Affairs: ‘In a speech on April 7, 2015, at the 25th anniversary of the Scandinavian Star murder fire, the Prime Minister said that she commends the Stortinget for having launched an investigation. This is a proposal for a representative, cf. Document 8:63 S [[2014-2015]] Does the Prime Minister’s statement of 7 April indicate that the government is in favour of scrutiny and will contribute to cross-political cooperation between the government and the magnificence in this regard?’
ParlaMint-NO_2015-04-29.ana.ud2589e791	The fire at "Scandinavian Star" 25 years ago is a disaster that still affects us very much. The disaster led to the death of 159 people. 24 of them were children. The fact that there are still unanswered questions in the matter, means that the grief and the lack are heavier to bear for all those affected by the disaster. This was also expressed by the Prime Minister on the Memorial Mark on 7 April. It is important that society can respond for the sake of the survivors and for the sake of the survivors. There were 482 people on board the "Scandinavian Star" that night the fire broke out. All those who struggle with the memories of the disaster also need to know. On 27 June 2014, it was clarified that the Advocate General agreed to re-examine the fire at ‘Scandinavian Star’. The decision came after the police officer in Oslo had requested this. It's this investigation that will provide the most important answers. For the rest of the family, I hope the investigation will bring the matter to the fore. Political judgements underpinning the decisions of the Oslo Police and the Riksadvokat are still under investigation. As regards the representative of Bøhler's question, I would like to stress that Stortinget is of course free to assess the need for an investigation in addition to the investigation that is now under way. The Prime Minister has given tribute to the initiative. We understand that the proposal for a representative that has been promoted is primarily aimed at assessing whether the information that Stortinget has previously received on the fire on «Scandinavian Star» has been correct and adequate, as well as the involvement of public authorities in the matter. The proposal under consideration shows that it is bounded by the investigation of possible criminal offences. If such an investigation initiated by the Stortinget can provide more answers than will be highlighted by an investigation, the government will attend to this work and give its support to the initiative. The examination of the proposal for an investigation has not been completed within the Committee on Control and Constitutional Affairs, it has been told to me, and there is no adjustment at present. It is not natural for the government to have views on how to design a parliamentary inquiry as to the mandate and relationship with the ongoing investigation, in addition to what the Prime Minister has already stated. If the Storting wants assistance from the government in carrying out an investigation, if that is the conclusion, we will, of course, come back to it when such a request may be made.
ParlaMint-NO_2015-04-29.ana.ud2589e806	I thank the Minister for Foreign Affairs for the answer. It is quite right, as it is pointed out, that this affects many people, and the survivors and relatives who were present during the memorial 25 years later were happy when the Prime Minister gave it the honor, because they have worked very long for an examination. I also perceive that the signals from the Minister for Foreign Affairs came with me now are in the same street. The background is the interpellation I had with the Minister of Justice in November 2013 here in Stortinget. The Council of State recommended that the Stortinget should assess a parliamentary committee of inquiry, where, among other things: would look at the Minister of Foreign Affairs mentioned, who was dealing with information for the Stortinget. Then the Minister of Justice said you should first look at what the police decided. Then, after the first investigation, the police decided that a new investigation and review of very fundamental points would be initiated. The dramatic thing is that 25 years have gone by without being willing to go into this. So I want to ask if the Minister for Foreign Affairs will assess the seriousness of the 25 years spent on realizing this need.
ParlaMint-NO_2015-04-29.ana.ud2589e815	As I also said in my reply, the ‘Scandinavian Star’ accident was a terrible tragedy, and there is still uncertainty about what caused this disaster. The fact that the police through the National Attorneyate have chosen to resume investigations also shows the level of seriousness, and the fact that a parliamentary inquiry is now being discussed in addition, I also believe that the matter is serious. Then Stortinget himself has to discuss any arrangements on this. That's the biggest thing's control function in relation to the government coming up here. But the Prime Minister chose to give homage to the initiative taken by Stortinget.
ParlaMint-NO_2015-04-29.ana.ud2589e820	I would also like to thank you for that answer. It is true that the Storting built its treatment at the time the police have now found out that there was no basis, i.e. that a perpetrator was appointed, that one would not enter into economic motives, ownership, etc. – you cancel it – and you just wanted to go into the very first part of the fire course. It accepted, one might say, the Storting through a big message that was presented at that time, and there's a very great need for the authorities to look at what has happened over the course of these 25 years, when you've slept in many ways in the hour on such important points. I fully agree that we must stick to the principle of power-sharing, that the Storting must delineate its parliamentary investigation commission in relation to the police investigation, but when this debate arose at the end of January – 21 January in the evening news – those who work with it in the police expressed that the Stortinges investigation would not interfere with the investigation, so they agreed that it was a proper procedure. I am really concerned about thanking the government for maintaining the positive attitude of the Prime Minister, and for allowing us to move on with the matter.
ParlaMint-NO_2015-04-29.ana.ud2589e831	I record what the representative, Mr Bøhler, stated that if you were to fall on this with an investigation also in Stortinget, you would limit it to the police investigation. Mandate and other forms of office is far beyond the sphere of competence of the government, and this is what the Grand Government must decide. But on this day, when it was marked 25 years later, the Prime Minister chose to comment on it and say that she welcomed this initiative. The exact year she spent, I guess I said in my answer. The Prime Minister has given tribute to the initiative. Then, through the committee procedure and the ordinary procedure, the Storting will decide how to follow this up.
ParlaMint-NO_2015-04-29.ana.ud2589e840	I allow myself to ask the Minister for Transport the following questions: ‘The NRC Focus had a depressing report on the taxi industry on 24 March, highlighting, in particular, women’s insecurity related to the use of taxis. What should and should be a safe and safe transport, turns out not to be too many women. What measures does the Council of State consider that it can put in place to make taxis safe for users?’
ParlaMint-NO_2015-04-29.ana.ud2589e849	Let me first thank you for the question, because I think the theme is very important. It is safe to take taxis in Norway — regardless of sex, age and where in Norway. In general, it is safe for users to take taxis in Norway. In all of them, most of the cases, this is something that goes without a problem, and that's what it has to be. The market economy consists of self-employed people, and it is up to the industry itself to provide transport that is both safe and secure for the users. The dross are part of a publicly available transport service, and it is therefore a task for the authorities to establish framework conditions that are appropriate to ensure the safety of users, so that the authorities also contribute here. Anyone who drives a taxi or a bus must have a ticket issued by the police. In order to obtain a driving licence, he must have such a reputation that the police do not find him unfit to work as a driver in the professional transport of persons. The police assessment is based on a review of police records. The fact that a person has a satisfactory reputation at a given time is no guarantee that one will behave properly in the future. It's unfortunately some of the risks we have in a society, but nevertheless, a driver's ticket is a kind of premedication to make sure that you don't let anyone go as a driver. The police may withdraw the driving licence if there are offences of importance in order to be able to hold a driving licence, so that it is possible to reverse an authorisation granted. A driving licence may also be seized if the holder is suspected of criminal offences which may be essential to the right to obtain or hold a driving licence for any reason. What came out of the NRK program is that after a taxi centre had called an alarm, it had been discovered the use of falsified driver's vouchers. I think that's probably a bigger security problem. I would therefore like to see this legislation reviewed, to see if there are any improvements in the control and follow-up of driving passes. This work will take place with the Ministry of Justice.
ParlaMint-NO_2015-04-29.ana.ud2589e864	I thank the Council of State for the answer. I agree with the Council when he says that it should be safe for everyone to use a taxi, and that in those very, most cases, it is going well. But in Oslo, there's as much as 20 pst. by girls who take taxis, who experience harassment, unwanted behaviour. That is why I think it is a problem that needs to be taken seriously. I'm glad the Council of State is going to carry out a review. The problem is so big that I want to ask the Council of State: Have there been any contact with the industry now? The industry is calling for action and the Consumer Council is calling for action. In addition to that review, is there any other measure taken by the Council of State that can be put into action to prevent women in particular from experiencing such behaviour?
ParlaMint-NO_2015-04-29.ana.ud2589e871	Yes, we have and have long had a good dialogue with the taxi industry, precisely because we are also discussing regulation of the industry as a whole. The point of passenger safety and safety is an important part of this, so we get a lot of input. For example, one of the themes that has been discussed is: to facilitate more video surveillance in the taxis. There is something that some taxi drivers have requested. We know that in some taxi companies they have tried to use it, but they have been stopped by the Data Protection Authority. I've told the NRK that I think this is interesting to go on to see what we can do to facilitate. If you are monitored in the taxi, you will also be able to prove bad behaviour, harassment or any criminal offences committed by the driver. However, this must be weighed against the protection of privacy of both the driver and the passenger. These are the considerations we now need to assess in order to see what is the best way to ensure passenger rights and safety.
ParlaMint-NO_2015-04-29.ana.ud2589e876	Among other things, the Norwegian Taxi Association wants greater driver control in order to be more able to hatch unwanted drivers. Now it's just that you can withdraw the permission, which is the means. There are quite strict requirements to be able to withdraw permission and driver's voucher. We see that a lot of rape cases are being committed – unfortunately. But are not the proposals made by the Taxi Association, that there should be greater control over drivers, a proposal that we should go further?
ParlaMint-NO_2015-04-29.ana.ud2589e881	Well, absolutely, I think it's important not only to consider, but also to implement a little bit of the process that we have now, look at regulation of the industry in general and how to make it easier to unlock those drivers that obviously have nothing to do in the industry, either because they pose a safety challenge for the passenger, or because they cheat in the way they run the system. Focusing on the role of centres — rather than individual permits — is part of the drug use. But there's also a back page that makes us want to make sure that we make the right choices before we implement it. It is also natural that the industry should listen well – and that we hear what the Storting has to say on that matter.
ParlaMint-NO_2015-04-29.ana.ud2589e897	This question lapses, as the questioner is not present.
