ParlaMint-NO_2015-10-06.ana.ud1650e15	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2015-10-06.ana.ud1650e362	The parliamentary leader of the Right is committed to telling us that they follow the will of the people. State Council Sanner told us that the government is listening to the inhabitants and that they have provided a predictable and good financial framework for the municipalities. It may be predictable, but in that case it is bad news for the municipalities. For if Sanner had really listened, he would have discovered that there are very few, if any, municipalities that believe they have a good financial framework. It must be allowed to be somewhat surprised at this kind of statement. There is no popular requirement for lower taxes here in the country. There's no popular requirement to sell State Forest. There is no public requirement to change the work environment law, on the contrary. But listen to the government – no. The answer is that the people and we don't understand that much. Now the people say they don't want Sunday open shops. But listen to the government – no. Students, teachers and parents will have a higher educational density in school. But the blue-blue doesn't think that's a very good idea. It would be interesting to know who it is Right talking about when they keep telling us that they listen to people and people. The outcome of the municipal elections and yesterday's polls can not be said to be proof that people and residents are particularly pleased with the listening capacity of the blue parties and the government. I have not seen a single action or demand from the people around Norway that the differences in the country should be increased. We want a society of small differences, said the Prime Minister, but it is the opposite policy that is being pursued. It concerns tax policy, social security, outsourcing of competition, privatisation and the Labour Environment Act. We have been promised that the concession laws are falling, and that the sale of Norway is important. If we are to believe in leaks from the coming state budget, the differences between people in this country will only continue to increase. More and more research shows that countries with small economic disparities generate higher growth and are better equipped for conversion. But the government doesn't care much. To those who still believe that more to those who have the most from before leads to more for everyone, all the research shows that the theory is wrong. On the other hand, we now see that the distance between people is increasing. When a small group owns more and more of capital and wealth, when the large majority receives an ever smaller share of cake, when an economic policy is pursued that excludes and creates inequality, it can have serious consequences. This gives us every reason to continue the work of a policy of community and small differences, an active policy of knowledge and industry, a policy of creating security and freedom for individuals, the creation of community values and income for individuals. That is what is the solution to many of the challenges we are now facing, a solution that is modern and effective, and which the majority of the people in this country obviously want. Finally, until now, the mantra of the Right and the Advance Party in the debate has been that we are opposed to change, we will not build the country, and, understandably, unemployment is the cause of red-green people. I only find one covering word for it – it gets too stupid.
ParlaMint-NO_2015-10-06.ana.ud1650e379	Three themes have been throughout this debate: 1st@item: inlistbox Norway's contribution to creating security and a better everyday life for the large number of refugees, asylum seekers and migrants who are travelling through Europe 2nd@item: inlistbox National and international responsibility for climate and environment 3rd@item: inlistbox The need for change in business and the large increase in unemployment in parts of our country The right parliamentary leader, Trond Helleland, said in his main post yesterday that we are doing each other better when we challenge each other's ideas and solutions, and we make each other worse when we suspect each other's values and motives. It's well said and a challenge for us when we're in a difficult situation. We experience a turbulent labour market. In my part of the country, the fatherland friend could tell on Saturday that the time off increases by 18 p.m. compared to the same time last year. 4.1 pst is out of work in South Africa, and I think we're at the top of the country. A policy of work, activity and conversion is both necessary and welcome. It is a prerequisite for creating a robust Norway and for implementing the green shift. At the same time, we're going to build a society with opportunities for everyone to have a safe and healthy everyday life. The most important welfare in people's lives is having a safe job to go to. This means that we can pay the mortgage, support ourselves and our families. Therefore, safe jobs and new industries that can give us more weight to stand on are fundamental to this government’s priorities – while the Workers’ Party did not prioritise new jobs when Jonas Gahr Støre launched its main election campaigns in the municipalities. It's alarming in the situation that our country is in. I am particularly pleased that the government is now increasing the apprenticeship grant again, for measures against youth unemployment and for targeted measures for engineers. The situation in the South and the West is good. 350 new jobs for PPU means that a lot of engineers can retrain themselves to work at school, where we need more good real-time teachers. Increased investment in infrastructure means a lot to keep the wheels running. High employment and low unemployment are the foundations of the Norwegian model and are necessary to ensure well-being. Our society has its backs to carrying those who are out of work through this necessary conversion, which the red-greens could have started a long time ago. We need to use that possibility now that we have it.
ParlaMint-NO_2015-10-06.ana.ud1650e400	The new motto «green shift» must be given content in order to make a difference for people in their daily lives. What's the opposite of green? In my world, it's black. So green shifts are going from fossil to renewable natural resources. It's going in the direction of green energy: hydropower, geothermal, solar panels. It's going in the direction of biofuels: petrol and diesel from plants and trees. It's going from carbon that's from fossil energy – fossil carbon – to materials that have a base in green carbon. So the green shift is concrete. Going to a green shift must be based on the fact that it must be profitable for people and business. Low oil prices will make it even more difficult to achieve profitability in the processing of this green carbon, whether it is used for energy or for construction materials. Therefore, radical new economic instruments, new economic conditions, are needed to achieve this profitability. The profitability must be in terms of both production, technology development and industrial processing of this green carbon – raw materials from primary industries, because that is what we are talking about. In its basics, we're talking about cod, thymote and spruce, to be concrete. We're talking about the future of working life for young people in this business and working life, that you should be able to train yourself with a hope and a dream that you should do something interesting and socially useful. So we have to ask ourselves: what do we want with fisheries, what do we want with agriculture, what do we want with forestry? A green shift will require a change of policy in these areas. The Centre Party has put forward a concrete proposal for the establishment of a green investment company for the development of green carbon companies. It's a proposal that's now in the nutrition committee. It is a proposal that goes into concrete terms on the industrial side and is based on the tradition we have in Norway, namely an interaction between public, trade and private – i.e. the interaction between public, trade and private – to ensure the industrial development of products based on green carbon. This is an important concrete input that can give content to the green shift, and there is content that is now needed. We don't need any more honorary words without content.
ParlaMint-NO_2015-10-06.ana.ud1650e411	First, I would like to thank the Prime Minister for a good report. The situation is serious, and the prerequisites for solving it are good. It's a serious hindrance: the financial situation, the unemployment rates and the greatest humanitarian crisis and migration we've had since World War II. Against this background, government policy should be assessed. I note that the Prime Minister protects about a double-communist government and legitimises two-message communications about the practical policy to solve what she herself refers to as the biggest challenge for the country. I'm excited about the long-term consequences of an attitude that, according to my concepts, is a laissez-faire attitude on an important topic. The language of the throne contained the formulations it is fully possible to join. But when we get to the instrumentation, the differences emerge: tax policies that create greater differences, we have 8 March markers like in the 1970s, labour policies where hundreds of thousands of workers go on trains – general strikes. Do you remember when it was the last time? Yes, 16-17 years ago. Most certainly, this government is leading us back to old days in many ways. The government's lack of willingness to listen to what people have to say is disturbing. Prison in the Netherlands was introduced despite massive opposition from PST, lawyers, relatives, trade unions and human rights organisations. Sunday-open shops are to be conducted, even if the resistance is like from here to the Churchnes. There has not been any conversion during the Stoltenberg administration, says the rhetoric. Alcoa in the list has changed since 2009 in the period until today and they will continue to change. The world's purest aluminium production has not come without conversion. The oil business of the Node companies that developed into participation in the exclusive world class, the establishment of the Mechatronic Innovation Lab at the University of Agder, where the government luckily followed up the Workers' Party's bet, or the Eyde network, which is now on the way up in the elite division of the process industry. Crime has led to the world’s lowest repeat crime, and crime has fallen in recent years. That's how I can keep going. Is this because we haven't changed? No, the conversions have given us a great advantage. That's why it's so important to have a legislation on leave that protects us from retaining the competences that these migrations have given us. The active substances are different, although the objectives may be the same. Community solutions such as the primary choice are key services such as education and health: Yes, says the Workers' Party. No, the government says. Tax policy that distributes and redistributes: Yes, says the Workers' Party. No, the government says. The Norwegian model is referred to as this: The biggest threat to the Norwegian model is that we are unable to change in time. It's not a threat. The threat is that you do not cooperate with the trade union movement.
ParlaMint-NO_2015-10-06.ana.ud1650e426	The opposite of the green shift is the black one, said Lundtegen. No, the complementary to green is red. So there's no more red policy we need. I want to address an important issue from the throne, namely security policy. We see a world of increasing terrorism, organised crime, piracy and digital threats, which also means more and more widespread consequences for international stability and development. Wars in Syria and Iraq and the emergence of new terrorist groups face increasing challenges. Conflicts and lawlessness are driving people on the run and attracting foreign fighters. This also directly affects Norway. Security policy needs to be adapted to a new era by looking at the threats in the context. Development and security are two sides of the same coin. It is more important than ever to pursue policies that contribute to stability, prevent radicalisation, violent extremism, organised crime and conflicts. Therefore, it is gratifying to see that the government presented a number of measures and initiatives in this field just before the holiday. We need to address terrorism, organised crime, piracy and digital security challenges in a context. It is important to continue international and regional cooperation with organisations such as the United Nations, NATO and AU. The Government will also strengthen the ability of the countries and relevant organisations concerned to prevent and address global security challenges. The government is now setting up a 100 million aid programme. against mafia activities and illicit trafficking. This includes, inter alia: trafficking in human beings and environmental crime. And it is proposed to set up a 100 million aid programme. against radicalisation, violent extremism and terrorism. Norway is therefore not free from organised crime, piracy, the threat posed by repatriated foreign fighters, terrorism and digital attacks. This can threaten our way of living in our liberal society in the longer term. Therefore, we need to secure Norway, our well-being, our values. We must be better equipped to meet the unforeseeable, and here we must work long-term with a number of instruments. In the international field, aid, diplomatic, judicial and military instruments must play a better role together.
ParlaMint-NO_2015-10-06.ana.ud1650e441	The Prime Minister pointed out many of the major challenges ahead of us. Some of the challenges are international, i.e. most of them are. The threat to the funding base and the joint solidarity financing of our well-being is one of them. Therefore, there are high expectations related to proposals that are now coming to limit the international concealment of incomes and wealth in tax havens and regimes, which make them with the strongest back, as the Prime Minister said, not at all with and bearing any load, because they are hiding away. This is the great threat to our welfare state and its financing. It's not that any disadvantaged or sick or disabled people get an income they can live on, or that we have a welfare state that helps people who have a difficult life. There is no threat to the welfare state. It is all of these that hide their income and wealth and do not participate in a joint financing. Then there is reason to remember that many of the companies that are now involved in eating the money for common well-being in care and health and other services are just these companies. When you invite for offers on child protection and care for the elderly and other things, you give orders to companies that hide in tax havens, and in a subtle way, they suck away all income, which means that they are not on the split layer neither here nor there. One of the other international threats to our most important resource, human beings, we've seen in the newspapers in the last few days, and that's unfortunately nothing new either. It's the case of those who are called the downloaders. I take it up because I see the Minister of Justice sitting in the hall. It is gross exploitation of children, who are injured for the life of assault, by people who sit and use image material from others who have committed the assaults and are therefore part of it, and of course there is a problem. I don't know how many times the Storing has discussed these things, and that these are what we need to protect. I don't know how it's possible to increase police resources then to a mild degree, but this can still happen. Some of these men that VG has revealed have also been taken before. There are no new situations. I would ask the Minister of Justice, when he is here, to take the floor and explain how he will ensure that this is given priority, because this is a very serious crime.
ParlaMint-NO_2015-10-06.ana.ud1650e452	I note that the Prime Minister answers very evasively both to Gahr Støre's questions about our proposals for changes to the law on permitting and to the challenge of the municipalities interpreting the Minister of Finance's statements on housing. At the same time, throughout the debate, I think that the representatives of the government parties have spent a great deal of time characterising the Labour Party's policy rather than talking about their own policies. I think Right Kårstein Eidem Løvaas spent almost all his time talking about the Workers' Party's rhetoric and policy rather than talking about Right Policy. Greece called for cooperation and constructive action. We should then perhaps expect a slightly more appropriate approach when we ask the government representatives – a legitimate question – how the municipalities should respond to the crackdown from the government in view of the great challenge we are now facing with ever-increasing arrivals of refugees, but also in terms of proposals that were promoted in the Storting yesterday on changes in the permit code – to mention something. I take the government parties' commitment to the Workers' Party over their own policies as a clear sign that the government's representatives have lost both confidence and ideas. We've put behind us a local choice. Local politicians have asked for and been given the confidence of the people, and with this comes a great responsibility. We have seen too many examples, I believe, that municipalities have refused media transparency in important information, either in terms of ways of organising businesses that prevent transparency, that elected representatives are not well informed by the administration, or that there may be employees who are refused to talk to journalists. In my view, this represents a democratic challenge that we have to take seriously, and it fits well with a local election. People don't know what's going on, and they don't get the opportunity to react before decisions are made. The public sector shall be the guarantor of transparency and the guarantor of the freedom of expression of employees. This fall we have the opportunity to seize. We're going to have an evaluation of the municipal law and the publicity law that's expected just before Christmas. I want to promote an interpellation with the Norwegian Minister of State on transparency in Norwegian municipalities. Newly elected municipal government representatives now have the opportunity to put this on the agenda and contribute to a new culture of transparency in public Norway.
ParlaMint-NO_2015-10-06.ana.ud1650e459	This government wants to create the patient's health care system. This means conversion, new forms of work, and not least that patients should be granted more rights. This is something the non-socialist parties have always been the proponents of. We want to introduce new statutory rights for patients. This government has also arranged for more people to be treated in hospitals. Patients with mental health and drug disorders are a priority, and this group has been given a boost with the new government. Health undertakings have been entrusted with the task of dealing with several. The ‘Golden Rule’ has been reintroduced, and is a rule that areas of mental health and intoxication alone should grow more than somatic. The rule works. The waiting time for treatment in specialist healthcare in mental health and drug treatment has been reduced by almost 10 days. Hospitals are now turning their priorities towards treating patients with mental health and drug problems. In addition, money was allocated in 2014 to 200 new places for treatment by NPISHs. We wanted health regions to buy more services from private and non-profit actors with free capacity. Under red-green rule, drug institutions such as Phoenix Haga in Eastfold or the Finnmarks collective did not treat patients with drug problems. They're doing that now. The competence was requested. We have also announced that we will give 400 million. kr to strengthen municipal services in the field of drugs in 2016, as part of the escalating plan for the drug field. Those sitting at the bottom of the health policy table have been raised with this government. It must be a cross of thought for the Workers' Party that it had to go to a blue government to get to this. The Labour Party is also opposed to the reform of the free choice of treatment adopted by us. The reform will give patients with mental health problems and drug rights to choose and approve treatment institutions — a new right. The main organisation of the drug field supports this. Through the closure of the facility, hospitals have also been given the opportunity to treat several patients. The government has strengthened the hospitals' economy and facilitated growth in its two budgets, compared to the red-green economy in eight years. The working party calls for more money, but is not willing to introduce reforms that benefit patients.
ParlaMint-NO_2015-10-06.ana.ud1650e474	Yesterday, the representative Trond Giske stated that it is not the responsibility of the Right Party or the Advance Party that the oil price has fallen, or that it was the responsibility of the Workers' Party that we had the financial crisis. He continued to say that the policy taken to deal with crises is always the responsibility of the government. The results of the policy are also the responsibility of the government. Every government must ultimately be judged on the results it produces. I fully agree, and that is why I found some newspaper covers from September 2013. After eight years of oil-based speed in the economy, the Evening Post wrote that the economy was slowing down, and we were on the way to increasing unemployment and lower wage growth. It was the legacy of the red-greens. That same month, our country had the headline: ‘Ernna’s new government inherits a waste bomb’ The indentation was: ‘Hearing director Erna Solberg shall rule a country where schools and hospitals rot. Seven out of ten municipal buildings should be cleaned up, roads missing asphalt, and Norwegian churches should be upgraded.» As we all know, the inheritance fee was not removed until the Right Party and the Advance Party presented their first budget, so the inheritance after the red-greens came at a significant cost. The good news is that we thus have a concrete list of uplifts in these countercyclical times: everything that rotted on the root under the red-green. But we have to do it smarter than the red-greens did in the financial crisis. It is possible that 300,000 jobs were created under the red-green, but according to LO's chief economist Stein Reegård, the entire employment growth fell to foreign labour. Net immigration from 2008 was close to 260,000, and LO’s chief economist was in no doubt that this forced the Nordics out of the labour market. So I fully agree with the representative Giske: the policy put in place to deal with crises is always the responsibility of the government – in this case: the responsibility of the red-green government. The results are also the responsibility of the government – in this case: the responsibility of the red-green government. Every government must ultimately be judged by the results it produces. So the red-greens slowed the economy, higher unemployment, lower wage growth, a land that rots on its roots, and employment that has pushed the Nordics out of the labour market without creating lasting jobs. Let me also add: 15,000 more poor children from the red-green government, who promised to eliminate poverty with a pen stroke. I've been on my own. I know how difficult it is to halve your income while making mortgages and fixed expenses, without any guarantee of getting your job back. In 2014 about 11,000 oil jobs were cut without any increase in unemployment. They got a new job where they needed more. If we were to follow the pressure of the Workers' Party, these would go further on half the salary before they were terminated anyway. This government has been shown to act when necessary, and it should continue as it dictates.
ParlaMint-NO_2015-10-06.ana.ud1650e499	Yesterday it was said from the left that a government must take responsibility for the policy being pursued, and I think it was repeated in Political Quarter today that the government must take responsibility for its watch. So that's the level we're at right now. Of course you take responsibility. Of course, this majority takes responsibility for the policy adopted during this period. But the question has to be asked: Was Norway well prepared for the situation that came? The answer is simply no. The Labour Party has talked a lot about its legacy in this debate. Speeches shall be presented with pride. The usual self-satisfaction that characterizes the Workers' Party, you walk forward, anyway. However, increasing unemployment was predicted because Norway was not prepared for the changeover. That's why for many years, the Right had spent time warning against an economy that was too oil-dependent. The red-green government did the simplest one a politician can do: traveled around the country and promised billions here and there. Then it might not be too dangerous for the results to be missing. Fifteen thousand more poor children were the result. Teachers who did not receive the continuing training they wanted were the result. Young people who became invisible in a welfare system that was unable to prevent alienation were the result. Economic projections showing a future budget deficit were the result. This is the legacy – the legacy of the red-green government, and that's where we took over. What Norway needs now is a responsible economic policy, with a level of taxation that encourages future investment, massive investment in infrastructure, research and education, and repatriation of employment services in our welfare system. In the debate, the Labour Party calls itself constructive, but one has to ask: is it constructive, for example. to create so much confusion around the local reform that their own municipal politicians react? Is it constructive to say that the government doesn't do things the government actually does? Is it constructive not to be able to give clear answers on fiscal policy? Is it constructive at one moment to produce the law of permacy as a static invention, so that it needs to be adapted to the labour market? To call the behaviour of the Workers' Party in this Chamber constructive is to deprive the word of any meaningful significance.
ParlaMint-NO_2015-10-06.ana.ud1650e515	I want to send a greeting back to the previous representative: you are the world of disclaimer and, not least, of abuse of the word ‘constructive’, because the policy of the Right is the opposite of being constructive. I wanted to take the floor because I was a member of the Council of Europe delegation who had a study trip to Catania in Sicilia in the fall. In a meeting with their counties, she stated that of course it was difficult and, not least, challenging to accept 300,000 refugees over two years of age. But she said, we're doing it and we're going to keep doing it, because it's our duty to help people in need. But she underlined: we expect the rest of Europe to take its share of the burden. The keyword here is the Dublin Convention. Later in the day, when we met the 26 young people who survived the shipwreck that killed over 800 people, I understood how powerful the driving force in humans to create a safe and good life for themselves and theirs is. Unfortunately, thousands of people have not achieved this. They found their grave in the Mediterranean. Who are these people digging these mass graves out on the ocean? Well, it's cynical people, for whom human life doesn't matter – only money, prepaid of course. Then people will literally sail their own seas, where the probability of dying at sea is great, very great. The last thing I heard from Sicilia was that the human traffickers have now begun to kidnap each other's refugees, and then to demand ransom for them. It just shows how cynical people can be. This must be taken. I want – like Karin Andersen – to ask the Minister of Justice, since he is in the Chamber, if he can tell a little about how Norway works to pick up this kind of network, where the traffickers really show how evil people can be. Such meetings set their mark. That's why I think many times, in a sentence where a party leader and state council member of the Norwegian government can say to Kommune-Norway: Don't accept the refugees who are seeking help here, that there is little dignity in such a message. It is in stark contrast to the job that the Norwegian team at the Siem Pilot has as its trademark, in both words and actions. Each refugee taken on board shall be met with dignity, and each situation — no matter how heartbreaking it may be — shall be resolved with dignity.
ParlaMint-NO_2015-10-06.ana.ud1650e535	Sitting government spends more money on the state budget than ever, but for every year that goes, the share of culture for the whole country becomes less. In combination with a tight local economy, the difference between the services provided by municipalities is only greater and larger. Norway has been given a Minister of Culture who is looking for money for culture anywhere other than in his own budget. Let there be no doubt: we have received a Minister of Culture who has so long distances from everyday culture in Norway that she has lost her eye contact. The government makes it easy for me to point out the lack of ambition, but I wish it were more difficult. For the losers now are the ones who live their lives in the municipalities. It's also cultural life, and they would have needed predictability for their important work. Before the summer, a total accumulation of cultural ministers commissioned in the form of decisions to mention five points in particular in their library strategy. It is amazing when increasing efforts on the purchasing system for children and young people are then ignored. I allow myself to ask the government representatives what is the reason for this. It would also be natural to get an explanation of why the strategy does not mention one of the most important tasks of the libraries. It would have been natural for music to be mentioned at least. Of course, it is a challenge for libraries to manage this responsibility when the Minister of Culture does not have an opinion about it in his future library strategy. The fact that the government is now shutting down the over a hundred-year-old library service for Norwegian sailors is also a paradox in a sea of fine words in the library strategy of the Minister of Culture, with the background of the western pearl Karmøy. I only have one thing to say in conclusion: I am a little afraid of Wednesday. I know that once again the Minister for Culture is the budget player in the government negotiations – unfortunately a lost loss.
ParlaMint-NO_2015-10-06.ana.ud1650e550	It has struck me as I have heard the speakers of the right parties both in the debate here and in other debates lately, how conscious they are of swearing the Workers' Party and trying to doubt the leaders of the party. During Jens Stoltenberg's leadership we heard from the Right: «This had not happened under Gro Harlem Brundtland.» As if Right as if had been so happy in Gro Harlem Brundtland earlier. It was the leading Right-wing people who ran the campaign ‘Be quit’a!’ during Gro Harlem Brundtland’s leadership. Now we hear under Jonas Gahr Støre, "This had not happened under Jens Stoltenberg." As if Jens Stoltenberg was a better leader than Jonas Gahr Støre. Of course, this is done deliberately from the right to speak down or spread falsehoods about the Workers' Party and its leaders. Perhaps at long last, Right Kårstein Eidem Løvaas went into yesterday's debate. He said, "I miss the good old Workers' Party." Why did Eidem Løvaas say it? Since both Eidem Løvaas and I are related to his native South Odal, I have entered the election statistics for the South Odal. In 1967, the year Eidem Løvaas was born, the Workers' Party received 67 pst. break-up in the municipal elections. Is that what the Arbeiderpartie Eidem Løvaas misses? In 1985, the year Eidem Løvaas had the right to vote for the first time, the Workers' Party also received 67 pst. digestion in the south of Odal, then at the fallout. Is that what the Arbeiderpartie Eidem Løvaas misses? Did Eidem Løvaa press the Workers' Party into his chest? Of course he didn't! Right and Eidem Løvaas have never had the sense of the Workers' Party and never had the sense of the Workers' Party leaders. They've never had the sense of either Harlem Brundtland or Stoltenberg, but they say it in retrospect, in a strategy to talk down today's leaders. And it does, of course, Right-Awareness – a party that opposed the general voting rights of men, against the general voting rights of women, against the eight-hour working day, against the establishment of the State Loan Fund for Education, against the introduction of disability benefits and against the statutory right to further education. So I'm not saying that all these reforms are the Labour Party's profits alone, but the labour movement was on the barricades for these reforms together with others. When the various pieces of the welfare community were adopted, it was against the will of the Right. That's the truth. Once new reforms have been adopted, the Right has first protested, then they have accepted, and gradually they have applauded. But they've never been in the driver's seat. That's the truth.
ParlaMint-NO_2015-10-06.ana.ud1650e559	I wish the representative Myrli and his colleagues in the Workers' Party spent more time talking about their own policies. That could be interesting for more people. I am pleased that both the census and the Prime Minister's speeches today focused a lot on the challenges we face in the wake of a low oil price and rising unemployment. Tomorrow, the state budget will be presented, and it is already announced that it will be a budget for work, for activity and for conversion. We need to provide solutions to the challenges we see today, and we need to make Norway more robust for the future. In the last period of recession, in the context of the financial crisis some years ago, the situation was different. At the time, we had a petroleum industry that went high on a high oil price, and that had both a high and an increasing level of activity during this crisis. Today the situation is different. We don't have the same traction from the oil industry, and we have to take the concept of conversion more seriously and figure out the supports that will carry our welfare society forward. In the Prime Minister's speech today, she was clear that one of our main challenges in the future is building a business structure that is even more climate friendly than the one we have today. But at the same time, she stressed that the petroleum sector will continue to be the rootstock of our economy for a long time in the future, although it will not contribute to the same growth impulses of the economy as we have seen over the last decades. It's allowed to have more thoughts in your head at the same time. We both need to be able to develop a petroleum industry while building other industrial structures. And from a climate perspective, we should not forget that the oil produced on a Norwegian base has low climate emissions in its production compared to other oil provinces, thanks to both strict legislation and a supplier industry and a competence that has responded to the environmental challenges. Norway is today a major gas producer, and we have to take with us the fact that gas has half the climate emissions of coal when it is produced for energy purposes, and will thus be an important part of more climate-friendly energy production in Europe in the future. The most important thing is to create new jobs, both within existing businesses and in new businesses, and we have many points of light in this work: we have a population that has a high level of knowledge, we have a well-functioning partnership in the labour market, we have a government that sets rates on knowledge, on research and on development, and our task is to facilitate good innovation and industrial development and growth in the future, with many new jobs.
ParlaMint-NO_2015-10-06.ana.ud1650e576	Increasing unemployment requires action. For the Workers' Party, always high employment and low unemployment and close and good cooperation with the social organisations have been the very foundation and foundation of the Norwegian welfare model. The Labour Party facilitates growth and new jobs with active industrial policies. We want to have a diverse business life in different regions and communities and that the entire country's resources are used and used in the best possible way. The Labour Party will invest in the skilled worker, provide more apprenticeships, update equipment and machine parks in vocational training, invest in vocational teachers, strengthen vocational schools and improve access to professional letters and not least ensure decent and safe working life in Norway. Unemployment among young people is growing. In the past, increasing unemployment among young people was a major phenomenon in Europe. Now this is becoming a reality in our country too. It is important to put in place measures to prevent young people from moving into permanent unemployment. Work gives the individual the opportunity to realize their own dreams and create security for themselves and their own family. The following is in the Common Era: ‘Standing without work is serious for it. The public equipment is ready to assist those who have become unemployed in new jobs. Follow closely the situation of young people and other vulnerable groups.» In stark contrast to what the government itself says, the situation for a number of businesses across the country is very critical. The government has chosen to send out refurbishment work in response to tenders. This has now resulted in at least 60 pst. the volume of these enterprises is transferred to commercial operators. In Nord-Trøndelag, Frisknet won the entire county. It's also a commercial actor. In the South Trondelag, Euroschool, a commercial actor, has taken almost all of the county. On the Fosen they have won all tenders. This almost halves the action sites from the turn of the year and affects Noris AS in Rissa, SAVA AS in Ørland and Bjugn and Fosen Vekst in Åfjord. Rosenvik AS on Orkanger is another company that is heavily affected by this bidding round. Seven employees must leave the end of the year. These are groups that lose their jobs and are very uncertain about what the future will bring. These are jobs dealing with assistance and follow-up for vulnerable groups. As far as the tendering process is concerned, my clear impression is that the government is striving to get commercial operators to carry out reintroduction work in the future. This will ultimately lead to the decommissioning of the societal tasks of today’s companies. The Minister of Labour and Social Affairs wants a greater diversity of actors in the reintroduction industry to justify the launch of several screened actions. That's absolutely the opposite, because this is where vulnerable groups are pushed into unemployment.
ParlaMint-NO_2015-10-06.ana.ud1650e598	«The labour market needs fewer and fewer people who are good in mathematics – unless they also have a high level of social competence.» This wrote economist Mari Rege a few weeks ago in a chronicle in today’s Business with the title «Knowledge Is Not Enough». Rege has a point, although under no circumstances will I work politically to get fewer math talents in Norway. But that's not what Rege really means either. What she's doing, on the other hand, is pointing to some of the absolutely essentials of living, producing, contributing and exploiting the entire potential of a human being. It's neither about knowing the number of years, pugging the periodic table, quadratic equations, nor that one is the fastest reader in the class. These knowledge is of little value individually and alone. Knowledge of the students must be used as a building block for more knowledge. It must be able to be translated into practice, and students must learn to do so at school. There are skills that create more flexible and adaptable people. In 2013, the red-green government dropped the Ludvigsen Committee, a selection that would take on nothing less than the future school scheme — the students' education in the future school. The committee worked for two years, and some of the main conclusions presented before the summer were: more creativity in the school students need time to go deep; the school needs to facilitate in-depth learning students need to be trained in sorting knowledge and being critical students need to be reinforced in mental health education that needs to be cleared up in the curricula These are not simple and simple recommendations. The Ludvigsen Committee has challenged us politically to see more of the context and the whole of the school, and it engages more than us. The Federation of Education has held debates. The student organisation has it on the agenda, and the NHO and the trade union movement follow the recommendations with interest. In the autumn there will be consultation conferences, and then there will be what we politically choose to do. As usual, the working party has been at the forefront and has, among other things, recently promoted a proposal for a representative to focus on more mental health in school, knowledge among students and action. It would be a good start if the Storting could gather on this proposal. Yesterday we had a line chord shift in this room to take the most important one first. The father with it is that one is in danger of forgetting something on the road. Don't let that be the fate of the recommendations of the Ludvigsen Committee – there can be great consequences for students' learning in the future school.
ParlaMint-NO_2015-10-06.ana.ud1650e631	This year's debate is marked by the situation we have with increased unemployment and poorer economic prospects. The refugee crisis, which we have not seen in post-war times, is also a feature of the debate. This requires that we think new. Conversion is the very word of these two days. Of course, then there are natural themes to get into research, school, education and competence, i.e. knowledge, and there is a broad consensus in this room about focusing on knowledge. Prime Minister Erna Solberg also took this up. But I noticed that there was a bit of a funny introduction to the theme, that of going about the Shanghai index, which is one way to rank universities in the world, and which is questionable, as the University of Oslo – which went on, as the Prime Minister said – takes a pinch of salt. It's hard to measure universities, but what I feel that maybe more problematic about drawing out the Shanghai index in a reasoning around knowledge is that it signals a further focus on ranking, on elite betting, and that government policy is along those lines there. More knowledge and skills are needed throughout the country, in all sectors, wherever in Norway, and whether you work in the public sector or in the private sector. Of course, we need to strengthen the competitiveness of business, but if we are to succeed in something close to the ambitions of the public sector, whether it is in the justice sector or in the transport sector, with which the government is represented right now, it requires much more pressure on the development of skills and research in the training of professionals and those who are to train engineers, those who are to train nurses, those who are to train in all the other welfare professions, and those who are to train teachers. There we have seen a lack of initiative from the government. There is a lot of elite bet – too much elite bet – in the university and higher education sectors, while we see that professional training does not receive the corresponding bet. Better quality is needed. More and better research is needed to achieve a promise – not least because it is absolutely necessary to achieve the goals we have in society. So I have high expectations for tomorrow, that there will be more money for knowledge and more money for research. But I also hope that you think about breadth, and you think that the whole country is going along, and that it won't be an elite bet again.
