ParlaMint-NO_2015-02-12.ana.ud1982e36	The representative of Ingunn Gjerstad will table a proposal for a representative.
ParlaMint-NO_2015-02-12.ana.ud1982e401	In this case of amendments to the Constitutional Act, it is proposed to set up a Board of Appeal to deal with complaints concerning individual decisions taken by the Board of Supervisors. The case has its background from the opinion of the Committee on the Foundation's Law from right back to 1998, where this was proposed. A few years later, the Stortinges treatment concluded that the complaints as a provisional scheme were to be dealt with by the Ministry of Justice and Defence. With the exception of legal liability, the responsibilities of the Foundation were transferred on 1 January 2013 from the Ministry of Justice and Defence to the Ministry of Culture, i.e. the transfer of regulatory competence and responsibility for the management, supervision and control of foundations in Norway, including the Foundation’s supervision. As you know, the administrative responsibility of the Constitutional Act was transferred from 1 January 2014 to the Ministry of Justice and Defence to the Ministry of Industry and Fisheries. The responsibility for handling complaints about the individual decisions of the Foundation’s Supervisory Authority under the Constitution is therefore now with the Ministry of Industry and Fisheries. Since its establishment in 2005, the number of foundations has increased sharply and the total equity of the foundations has increased from 43 billion. kr in 2005 to 125 br. kr in 2013. There has also been a large increase in the number of complaints, and they have proved to be more complicated and time consuming than provided for in the law. To this end, the Economic and Social Committee is in agreement with the assessments of the Ministry, which considers that the cases are more suitable for an expert body in the form of a complaint subject of its own than for ministerial proceedings. Finally, I would like to stress the need and the need for independence and professional expertise, and that it is important that the Board of Appeal has its own secretariat. It is important to ensure independence, and it is not ensured if this is co-located in the premises of the Lottery and the Foundation. This is also supported and pointed out by several hearing bodies. Since there is cross-political agreement on this matter and on the proposal from the government, I stop here.
ParlaMint-NO_2015-02-12.ana.ud1982e416	I am very pleased that a Joint Nutrition Committee recommends that the Stortinget adopt the proposals for amendments to the Constitutional Act to establish a complaint. The proposal involves transferring the handling of complaints about the individual decisions of the Foundation’s Supervisory Authority from the ministry to an expert body, a complaint subject. It will help to ensure that treatment is independent of political considerations or other ministerial governance. In this way, we can also ensure the greatest possible level of non-discrimination for the complainants. The Ministry shall not be able to instruct by name in individual cases or to amend the terms of individual decisions in accordance with Section 35 of the Administrative Act. However, the Ministry of Economic Affairs and Fisheries will be able to give general interpretation opinions on the Constitutional Law, since the legal responsibility lies in the Ministry. Since the amendments to the Constitutional Act in 2005, there has been almost a doubling of the number of complaints sent to the Ministry. The cases have proved to be more complicated and time consuming than what was assumed, and they travel difficult and complex judgemental considerations. In the light of both time use and professional expertise, these arguments also argue that complaints should be moved from ministerial proceedings to an independent complaint subject. The Board of Appeal shall consist of three members. They are appointed for a period of four years, with the possibility of re-appointment. The Board of Appeal shall also have a secretariat. It is the Ministry of Culture that is responsible for the creation of the subject of complaints, and the Board of Appeal will be subject to the Ministry of Culture on administrative matters. The annual cost of an action for damages has been estimated at 1.8 million. kr. The term proposed is financed by an increase in the annual fee for foundations. The maximum cost increase is added to foundations with the highest equity, so that the levy increases by the amount of equity. It is reasonable to assume that a high-equity foundation has more ability to pay for the review procedure than a foundation with little equity. In addition, the larger foundations often require more resources for the review process, and poor operation of a large foundation will have greater consequences than for a small foundation. The annual supplement to the annual fee payable by the foundations for the operation of the name is from NOK 6 to NOK 4100, depending on the amount of the Foundation's equity. In general, these amounts are very small for almost any foundation. The proposal also covers all expenditure and revenue resulting from the proposal within the current budgetary framework of the Ministry of Culture.
ParlaMint-NO_2015-02-12.ana.ud1982e433	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2015-02-12.ana.ud1982e439	Then the Storting is ready to go to voting.
ParlaMint-NO_2015-02-12.ana.ud1982e511	Two proposals have been put forward during the debate. It's proposal No 1, by Else-May Botten, on behalf of the Labour Party and the Centre Party, proposal No. 2, by Rasmus Hansson, on behalf of the Greens/Greens/EFA There is a vote on proposal No. 1 from the Workers' Party and the Centre Party. The proposal reads as follows: ‘By June 2015, the government is asked to submit proposals for the law on good trading practices in supervisory capacity, which also includes the distribution of food products.’ The Socialist Left and the Greens have given their support to the proposal.
ParlaMint-NO_2015-02-12.ana.ud1982e536	Recommendations of the Committee The members of the Committee from the Right, the Progressive Party, the Left and the Christian People's Party. The Committee's recommendation II is promoted by an overall committee.
ParlaMint-NO_2015-02-12.ana.ud1982e547	The Green Party has announced its support for the vote. The Workers' Party, the Centre Party and the Socialist Left Party have announced subsidiary support for the suspension.
ParlaMint-NO_2015-02-12.ana.ud1982e556	It is then put to the vote on proposal No. 2 by the Greens/Greens/EFA Group. The proposal reads as follows: ‘The size calls on the government in its proposal for instruments to strengthen competition in the food market, consider lowering the limit for dominant actors in the food market from 40 % to 30 % by model from Finland. Any changes to the Competition Act will be added to other instruments to promote increased competition in the food market.» The Socialist Left has announced its support for the proposal.
ParlaMint-NO_2015-02-12.ana.ud1982e655	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2015-02-12.ana.ud1982e665	The legislative decision will be taken until the second reading in a later meeting in Stortinget.
ParlaMint-NO_2015-02-12.ana.ud1982e677	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? I don't think so. - The meeting's been cancelled.
