ParlaMint-NO_2015-06-19.ana.ud1781e49	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e485	It's going to be line change.
ParlaMint-NO_2015-06-19.ana.ud1781e488	It's interesting that the representative Limi spends so much time talking about the Labour Party's policy, so now I'm going to give the representative the opportunity to talk about his own. In the vote on the revised national budget, the Progress Party, together with the Right, underlines the importance that the government conducts a responsible economic policy based on the rules of action for the use of oil money. In the last period, the Progress Party proposed what they called a new anchor for economic policy. In reality, it meant scrapping the rule of action and no longer having a framework for the use of oil money. From proposing to abandoning the rule of action to now establishing it for economic policy is a real turnaround from the Progress Party. Yesterday, the Thøgersen Committee presented its report, which several have been involved in, and the sample recommends keeping the rule of action, but having an oil money use that is far below. It is a strong emphasis on the fact that the economic policy of the Progress Party should be scrapped and not the rule of action. Is that what the Advance Party has done in government?
ParlaMint-NO_2015-06-19.ana.ud1781e499	I don't spend time commenting on the last statement, because it's probably falling on its own unfairness. The point is that the use of oil money needs to be adapted to the situation in the economy. The party in which the progress has been made, and which has continued in government, is twisting the use of oil against investment to build infrastructure, to build the country. We will still claim to be the correct disposal of the oil fund's returns, because we see that there is a huge lag in all public infrastructure in Norway. Therefore, we need to take a force to lift it and get up to a level that is sound and that is according to what the business community in Norway wants.
ParlaMint-NO_2015-06-19.ana.ud1781e504	The representative did not entirely respond to what I asked for. There is a difference between the policy pursued by the Progress Party in government and the policy pursued by the Progress Party in the previous period in opposition, among other things. you proposed a new anchor fixture, and to scrape the current rule of action, the one you are now basing on for economic policy. Does the representative have a comment on the Thygersen Committee's position, which underlines the importance of the rule of action and a lower future use of oil money?
ParlaMint-NO_2015-06-19.ana.ud1781e511	I assume that the representative has come to realize that the Progress Party is in government with the Right, which is a minority government, and that one is dependent on working together with two parties in the Storing to achieve a majority. That means that what we're currently running is the government platform. In the government platform, it is defined that the rule of action should be respected. On the other hand, for the government and for the Progress Party, it is a conscious attitude to channel more funds against investment and not consumption – try to limit public expenditure, but invest in what is important to build the future and to facilitate that we can continue to have value creation and growth, which, in turn, will ensure our future well-being.
ParlaMint-NO_2015-06-19.ana.ud1781e518	I think it's on the verge of when a representative of the Finance Minister's party says that there has been a strengthening of the local economy, because the representative must know that it has not been. It's a weakening of the local economy. Last fall, there was a $2.7 billion tax loss. kr, while in the SSB's new estimate, which we have received this week, we are expected to have a tax failure of 2.8 billion. kr in year. So in sum it's going to be 5.5 billion. kr. Then the government, along with the Christian People's Party and the Left, compensates for 1.2 billion. kr. So the municipalities get 4.3 billion. kr less during these two years than the size initially thought was the right level. How can this be referred to as a strengthening?
ParlaMint-NO_2015-06-19.ana.ud1781e523	The President is uncertain whether ‘freight’ is a parliamentary expression.
ParlaMint-NO_2015-06-19.ana.ud1781e526	It is a reality that the local economy will be strengthened in revision. The government's starting point is a tax failure of SEK 1.6 billion. kr. At the same time, you can see that you have a cost development that is slightly lower than expected — ergo is what is now being added to 1.2 billion. kr, a level which KS also expressed during the consultation we had in the Financial Committee that there was reasonable reason to be satisfied with. Then you could say that the municipalities of course will always want more money, and you see that you have a number of tasks that it is important to give priority to. But in sum, I note that good feedback has been received on the proposal that is now under way, which is further reinforced by 100 million. kr through the agreement concluded with the Left and Christian People's Party.
ParlaMint-NO_2015-06-19.ana.ud1781e534	Last fall, the government, consisting of the Advance Party and the Right, presented a government budget proposing to spend billions of dollars on tax cuts to the one percent richest part of the Norwegian population. The rationale behind this proposal by the minority government, and against the recommendations of an overall opposition, which would have lower oil money usage, was that these tax cuts will give more speed to the economy and lower unemployment. Is the representative Limi satisfied with the results so far?
ParlaMint-NO_2015-06-19.ana.ud1781e539	As the representative Serigstad Valen probably remembers, it was stressed from the government and from the government parties in the last year's budget debate that it was important to follow developments in the Norwegian economy closely. We record positive feedback from companies, those responsible for value creation in Norway, on the policy now being pursued, and want more from the same policy. This means that tax relief, which also includes more than one percentage of the representative’s share, is important precisely in order to increase activity in the economy, to limit costs to businesses and also to contribute to moderate wage settlements in order to strengthen competitiveness. Things are interconnected, and it'll be completely wrong to focus on a few, as if they were, for example, a few. has a high wealth, is provided with significant relief as a result of changes in property taxes. This is a much larger and... [[The President clubs.]]
ParlaMint-NO_2015-06-19.ana.ud1781e544	It's time! The cord shift is over.
ParlaMint-NO_2015-06-19.ana.ud1781e549	We see several warning lights in the Norwegian economy, and many have felt that jobs were initially considered safe, lost or insecure. That is why, in the Central Party, we have made several proposals in the revised national budget, which we believe can provide the basis for new jobs and new activities. But the most important thing for the Norwegian economy is that we have our own currency. If it hadn't been because we had a currency of our own, we would have seen a completely different effect of the oil price drop that we've had, than what we've now witnessed. Øystein Olsen described it quite clearly in his anniversary: ‘Without a currency of its own, the situation would be more challenging. The social partners had to do the job alone. Experience from other European countries has shown that it can be demanding.’ The batches in this room that have been trailers of the introduction of the euro should then be grateful to the other batches that have made sure that it has not happened. I remember well the first period I spent at Stortinget, in 2005, when Erna Solberg heard and clearly stated that her best argument that Norway should join the EU was that we were then linked to a single currency. It was a wrong analysis. Fortunately, the Right has not received a majority for that analysis. We have our currency, and it has helped us very much, not least the competitive business. A sign that the situation in the Norwegian economy is demanding is the tax failure we see in Norwegian municipalities. Before Christmas, there was a $2.7 billion tax failure. kr. The government chose to ignore it. Then we've had several rounds around municipal economy now as well. In the government's figures, there was an estimate of 1.6 billion tax losses. kr. The figures used from KS at the same time were 1.6 – 1.9 billion. kr. Nevertheless, the government only chose to compensate for 1.1 billion. kr. So even with the government's own figures, there would be a new reduction in the welfare offer in Norwegian municipalities, in the care of the elderly, in school. So added the Christian People's Party and the Left by 100 million. kr – a slight improvement, but still a contraction compared to the calculation, and what we decided in Stortinget before Christmas. So we've got new numbers from the SSB this week. These figures show that so far the tax deficit has been 1.4 billion this year. kr. It's a little bit higher than the tax failure was at the same time last year. If you write that tax error out of the year, we could expect a tax error of 2.8 billion. kr, if it's the same evolution the rest of the year that we've seen so far this year. In other words, in two years we have had a tax failure in the municipalities of 5.5 billion. kr. It has to cover the municipalities again. When municipalities are going to cover a tax failure as large as $5.50. kr, then how can they cover it up, when we know that 70-75 pst. of the budgets of the municipalities are growing up – i.e. to school and kindergarten and the kind of services – and care? These are the large, heavy budget lines for Norwegian municipalities. The most serious part is care and care for the elderly. Some municipalities consume up to 50 pst. of its budgets on it. So the results of the government sitting passive and looking at so much tax failure in Norwegian municipalities are that it will be cut in the country's care for the elderly – just the opposite of the Progress Party promised when they entered the government offices. So some municipalities try to compensate for the cut in the care of the elderly. That's why this year we see that we have a huge growth in property taxes, because that's what municipalities can bring in themselves, and they can secure their own income. Obviously, municipalities like Bergen, which are run by the Right Party and the Advance Party, don't do that because they think it's so funny. They do it because they see that this is absolutely necessary, because the limits they get from the state are too bad. That's why Bergen has now budgeted for a growth in property tax of 750 million. kr – thanks to the policy for which the majority of today’s population is responsible. If at some point you don't turn around and see that you can't budget with one number and then the reality becomes completely different, and then you have to leave the municipalities behind with the bill, and if you don't see that it affects the elderly and the land's owners, the conflict – and the understanding of reality – between the state and the municipality gets bigger and bigger. I hope that the government, the Christian People's Party and the Left will change that course during the year, and that they will offset the huge costs actually incurred by Norwegian municipalities. Then we have had a big debate on the revised national budget. It is the conversion of tax collection, customs and excise duty collection. Minister of Finance, Siv Jensen, has had a major project of excellence, and it is to combine this, get everything into the tax system and get a strong centralization of the country's tax offices, from almost 300 today to 33. So you have to shift skills and jobs that are close to people who are close to business and centralize it to 33 places. It did not get a majority in the Storting at the beginning of the week, but the reform is not finally stopped. And that's amazing – when we know that the main reason why the Ministry of Finance asked for an additional 120 million. kr, was the transfer of municipal tax collectors to the State – that the government receives a majority in favour of it today, when the majority of the population is against. Usually it's like this: if I'm going to build a house, and I've made a price agreement with the joiner, and then I decide not to build the house, then I don't transfer the money. But it's not like that now. And then you can't read anything else from the comment from the Christian People's Party and the Left, except that it's not clear enough – that the government feels that they can continue to work, and that they need the authority. It's important that the Christian People's Party and the Left in the future are very clear that you don't want to centralize the tax collection, that it's not the way to go, that it's an advantage to have municipal tax collection, and that it's proven to be very effective, almost up to 100 pst. the degree of recovery, with the best results to be reported. Then there is the transfer of customs duties and the collection of excise duties and VAT. on a border crossing from the customs office to the tax office. There, the government has asked for an authorisation to develop a new computer system, called SAFIR, which now has powers of 710 million. kr in the budget. What's interesting about reading the SAFIR project's central governance document is all that's left out of that cost estimate. One is, of course, what I said last time, which is at the very beginning: «The strict time limits have not been met in all parts of the solutions as thoroughly as the tax haven would normally have done.» It's kind of a way of writing it in the first place that you can make sure of yourself. The tax rate underlines that it has not been determined as thoroughly as they tend to do. And then you read more in the back of the report, where it says that the following is not included: Adapting the system to the State Road Service – in terms of processes and interfaces. Mapping: Adjust the mapping system portfolio when transferring the document fee to the tax bill – it is not included. Insurance industry: Adjustments in insurance industry’s systems related to the introduction of a traffic insurance charge — not included. The new needs of the customs system are also not included in the project. That is why I am amazed that the government and the majority of the population are so confident that they will give that authority. When we look at these big, complicated computer systems already, for example. the Nav discussion that we had in the control committee before the winter, and how many pitfalls there are, I find it strange that only such a power is given, when it is so clear in the central management documents that it has been determined too quickly, and it is so clear in the management documents that not all parts of the costs have been explained. I hope I'm wrong here. I hope, of course, that there will be no cost excess, and that there will be control. But there are so many warning lights that light up, both in the case of transfers from municipal tax offices to government, and in the case of transfers to customs. So the sum of the warning lights that light up in this reform should have made us in the Stortingen say no to transfer the tasks from customs to tax, just as the Stortingen said no to transfer the tasks from municipal tax office to government tax office. Nevertheless, the money is in, but I hope and believe that the Christian People's Party and the Left dare to be clear in, so we let go of such centralization.
ParlaMint-NO_2015-06-19.ana.ud1781e593	Would the representative like to make proposals?
ParlaMint-NO_2015-06-19.ana.ud1781e596	Yes.
ParlaMint-NO_2015-06-19.ana.ud1781e601	The representative, Mr. Schlagsvold Vedum, then took up the proposals behind it. It's going to be line change.
ParlaMint-NO_2015-06-19.ana.ud1781e606	It might have been tempting to comment on some of the mountain politics that the representative had, but I can leave that. In the comments of the Centre Party on this matter, it is said, among other things. that the policies of the police, colleges, municipalities and counties, health and transport are a particular challenge for the country. Furthermore, the comments state that the proposed model of making corporate tax municipal has a ‘strongly centralising effect’. The last one seems a little illogical and strange, but perhaps Battle Violence Vedum can explain what this means. Is this how we often get the impression that the centre party is closest to any form of renewal in society?
ParlaMint-NO_2015-06-19.ana.ud1781e613	I am not concerned about mountain policy, but more about the mountain people's homeowners, who are now going to be charged with a new house tax, thanks to the Right and the poor community economy of the Progress Party. Right here in the main hall should also be worried that now it's 750 million. The tax on housing in Bergen is due to their policies. It was removed when the Senter Party had the municipal minister and is introduced when the Right has the municipal minister. We'll see what it's like next time we have the municipal minister, if it gets removed again. So to the question, we're worried about the totality of centralising measures. In the hospital, Bent Höie has warned that he believes that in half of the country’s local hospital emergency surgery should be removed. We're worried about what's going on in the police. We don't think there'll be a better police force in the West by bringing together, for example. Hordaland and Sogn and Fjordane police districts. We believe that the challenges that lie in the Hordaland police district and further developed the Sogn and Fjordane police districts should also be addressed in order to keep me in the representative's home area. As regards the conversion of corporate tax, the comment is based on the answer I received from Minister of Finance, Siv Jensen, who says that there are some and forty municipalities serving on it, and the rest of the country's municipalities are losing on that conversion.
ParlaMint-NO_2015-06-19.ana.ud1781e622	The Central Party proposes to reduce the tariff-free quota and budget by 300 million. kr in increased revenue as a result. At the same time, we know that airports will disappear all over Norway the day the major airports in the Avinor system lose money as a result of the loss of tax-free revenues. It is also well known that the airports Torp and Rygge, which are outside the Avinor system, are completely dependent on their tax-free sales to get the operation to go around. The question is, how many billions is the Centre willing to spend on subsidising small airports around Norway?
ParlaMint-NO_2015-06-19.ana.ud1781e627	We in the Center Party are strong supporters of the system we have today with Avinor, which means that we've managed to get to an airport network all around the country. For large parts of Norway, small airports are their railways, because it is not possible to build in any other way. Therefore, the aerodromes are cross-support between Gardermoen and smaller locations. The change we're making on tax-free is a moderate change, because we don't want to have as large quotas as the government made up last year. We think it is an unwise policy – both health and alcohol policy – to have such large quotas, as we want a strong monopoly on wine that is present throughout the country.
ParlaMint-NO_2015-06-19.ana.ud1781e635	I can't wait until the end: when we have a system where it seems like airports are literally going on booze to live on, there might be reason for someone and everyone to look at the system. But we do that in other contexts. The representative Battle Force Vedum was within the interface tax and customs. I think I agree that we have to look at the fact that the solution that is now being chosen seems appropriate for the user. I also understand that the Minister of Finance agrees. But let's not forget that some reason for this is to strengthen the Customs Central function as a border controller, and there they have a great job in the future too. So, centralisation and tax offices: The concern of the Battle of Vedum is based on the fact that the red-green government centralised some of the state tax offices, and that there was bad experience with it?
ParlaMint-NO_2015-06-19.ana.ud1781e644	There were three different elements here. I can start with the Wine Monopoly. The Christian People's Party and the Center Party have a common model for aerodromes, that we want the Vinmonopole to take over that task. I think that's a wise and good solution, so that the revenue returns to the community. That's great. What we have expressed is that the model we are now proposing is that the Customs Service should not charge VAT on border crossings – they will do it for you and me if we have small imports, but for large business operators they should not do it, it will be subject to VAT. – may have some unfortunate effects, both in terms of collection and in terms of black economy. In the case of tax offices, there are always changes, but this is a major change in principle – excluding a level of administration a task. We believe that that level of government has done that task in a very good way, and it also shows the numbers. When we don't have any big reason to take them away from that problem, we don't see that you're going to do it.
ParlaMint-NO_2015-06-19.ana.ud1781e653	The cord shift is over.
ParlaMint-NO_2015-06-19.ana.ud1781e656	Today, when we revise the state budget for 2015, we do so in a breakup period. The industry, which has been the foundation of the economy and state finances for many decades, has in a sense reached a saturation point. Although the petroleum industry will undoubtedly be an important industry for decades to come, it is conversion and cost-cutting that characterise everyday life. At macro level, it is not necessarily only negative, because the industry has been a driver of pushing up the Norwegian level of costs and is responsible for a very large proportion of Norwegian greenhouse gas emissions. At the same time, it is very dramatic for those who are the victims of job closure, primarily for those who are told that the position will no longer exist, but also for those who face challenges when many jobs disappear at the same time. For the left hand side, the most important thing now is to make the switch through, as green, as soft and as efficient as possible. Thus, the main priorities of the agreement we have done with the government party are measures that stimulate the green shift and can contribute to green growth. We would like to get more, but there are important steps in the right direction. The agreement leads to a number of study places, strengthening the apprenticeship system, a separate pre-seed fund scheme, increasing the focus on nutrition research and climate research and strengthening the environmental technology system. In the 2015 government budget documents, governments wrote the following: «An oil price stabilising at a clearly lower level will impose high requirements on the ability to convert to Norwegian enterprises and workers.» Already in December last year, the Minister of Finance asked whether there would be the necessary measures to convert Norwegian business before the revised national budget, due to the sharp fall in the oil price that we saw. In that case, the Left was ready with a number of suggestions to contribute to this conversion. Today, at an early stage, the Left makes one of these proposals – a proposal for a new depreciation rule for energy efficiency measures for Norwegian petroleum industry. The proposal will both reduce oil spills in Norway and counteract the trend of job losses in the supply industry. There is an urgent response in many ways to re-maintain the socket. The knowledge and competence of the oil industry are crucial for Norway’s competitiveness in the future. The people who are now missing the job are among the most advanced and specialised technicians and engineers – from innovators. The proposal from the Left to pay for environmentally friendly measures on Norwegian soil will increase activity, increase number of jobs in industry, cut short-term Norwegian soil emissions, and drive technology development that can contribute to cleaner world-wide energy extraction in the long term. Oil industry has contributed to growth and well-being for many decades. Now we are in a new situation, where we can no longer expect oil revenues to continue to grow. Then offensive action is needed to secure jobs, skills and tax revenues. A big effort on a socket can put Norway in the driver's seat to reduce oil industry emissions and create new jobs on the purchase. It is a win-win proposal for both the industry and the environment, and we hope to have broad support from Stortinget when matters are to be dealt with in the autumn. On Tuesday, the Left will present a package of measures to create 50,000 new green jobs in Norway. New depreciation policy for an item is only one of 15 actions in such a package. Actions will be central to the Left's draft budget for 2016, and thus also to the negotiations to be held by the Left with the Government Party on the same budget. 2016 will be a decisive year to get to the green shift. Left is a guarantor that it will happen. I finally let myself, on the last day before we take a summer vacation from the meeting activity to Stortinget, draw up a slightly larger perspective. The next 15 years will be invested in new energy production, buildings and transport around the world for unimaginable 575,000 billion. kr. More than two billion people are to be lifted out of poverty. Cities shall be developed to accommodate approx. a billion more inhabitants. The world economy will grow by more than 50 pst. of only 15 years of age. The same 15 years will determine whether the world is reaching the two degree goal and limiting the temperature rise of the earth to two degrees. If we're going to make it, they're going to have to collect CO2 emissions from fossil energy – coal, oil and gas – not to exceed 565 billion. tonnes. This means that most of the known fossil energy reserves cannot be exploited. Overall, it is a huge challenge, but it also offers great opportunities for new growth, new value creation and a better everyday life for most people. It allows us to put people first. We must systematically and quickly realise the green shift and move from a fossil economy, where growth and prosperity are based on increasing use of oil, coal, gas and other non-renewable resources, to a green economy, where growth is based on renewable energy and smart household with scarce resources. The vision for the Left is that by 2030 Norway will lead in the global transition from fossil to green economy. Norway has every chance to make green choices for energy production, land use, food production and infrastructure investment or to demonstrate that this type of action also gives better lives for each individual person, as well as being profitable for the economy as a whole. Less use of coal and oil improves air quality. Better public transport means that less time has to be spent on cars. In developing countries, reduced subsidies for petrol and kerosene will release funds for health and education. Large investments in green technology can be just what is needed to create new growth, both in Norway and elsewhere in the world. Green transition is therefore no threat to future well-being. It gives us who are living today, a better life and a sure future for future generations of children and grandchildren.
ParlaMint-NO_2015-06-19.ana.ud1781e695	It's going to be line change.
ParlaMint-NO_2015-06-19.ana.ud1781e698	The representative called it ‘very dramatic’ in his article for those who lose their job. What concerns me in particular, maybe, is the increasing youth unemployment you see. The figures are clear: 10,000 more young people without work only in the first quarter of 2015, youth unemployment at 9.4 p.m. The situation is particularly serious in the West, the warning lights are blinking. At the same time, one sees that this government has a waiting-and-see strategy. The main effort is tax cuts to the richest of the country. The dynamic effects are absent. So what I want to challenge the Left is whether they think the government is doing enough to counteract youth unemployment. Does the Left not agree that there is a need for concrete, targeted measures for conversion and not for further tax cuts without dynamic effect? It would have been interesting to know what the Left will give priority to in the budgets of the harvest. Can the representative here and now wait for a new tax cut until unemployment is on the way down again?
ParlaMint-NO_2015-06-19.ana.ud1781e707	Thanks to the questioner for raising a very important issue. The left, together with the government party and the Christian People's Party, in the budgets we have made for the plurality, has really invested in things that lead to change, increase rate and new value creation. Tax incentives that make business owners rather invest in new jobs are a very important part. As far as the left is concerned, I can confirm here and now that we are going to be a driver in order to say that the tax and tax system also leads to both a green shift, less consumption that is harmful to the climate, and more investment that is good for Norwegian value creation and future well-being.
ParlaMint-NO_2015-06-19.ana.ud1781e712	The representative of Terje Breivik is concerned with local democracy, and he is concerned about the proximity of the population to the user. If we're going to believe what he's talking about, he is. In connection with RNB, we have now had discussions on the local tax collection. There's been a change in the law so far, but there's 120 million in it. kr to implement the amendment to the law that has been stopped. Will the representative of Breivik be clear and clear and ensure that this is not implemented when the Minister of Finance is going to try new rounds in this attempt at centralisation?
ParlaMint-NO_2015-06-19.ana.ud1781e717	In any case, violence against Vedum shall have a ‘creed’ to allow it to vary the same theme in its questions. The left is clear and clear, we said a clear no to this reform of the RNB agreements that we are now putting behind. And as Schlagsvold Vedum knows – he himself has read the comment: To the extent that we need to reconsider this, we need to put it into a completely different context. And even though we've now indirectly told the government that it's okay if the government comes back with this case again, it doesn't mean that we're going to change our vision.
ParlaMint-NO_2015-06-19.ana.ud1781e724	That's good to hear. But then my follow-up question is, why do Christian People's Party and Left allow themselves to use their power in this hall to allocate 120 million? What about a reform they are opposed to?
ParlaMint-NO_2015-06-19.ana.ud1781e730	I have great, great trust and expectation, when the government hears what has been said here today, that is, that there is money in a budget line that is not needed for the money to be used – I take it for granted. There is no big problem for Norwegian government finances that an actual allowance for money is made when the budget year is over.
ParlaMint-NO_2015-06-19.ana.ud1781e735	The cord shift is over.
ParlaMint-NO_2015-06-19.ana.ud1781e738	The global differences between people, both in income, in wealth and in opportunities, are unacceptable. They are not primarily sad or an expression of unfortunate coincidences or circumstances; they are the result of a misguided policy for which world leaders are responsible. The global differences are unacceptable. They deprive millions of people of the opportunity to create and live good lives. They deprive many countries of the possibility of building safe societies in the way we built our own in Norway. And these differences – the unacceptable differences – are made possible, maintained and reinforced by states that are declaring themselves out of international solidarity. The tax havens – there are thousands of billions of dollars to go to health, school, police and business development that are locked away in the accounts of a few rich owners, without transparency, without being taxed, without anyone making money giving anything back to the communities where the values come from. Just two weeks ago, it was not possible to reach an agreement in the Financial Committee on a definition of a tax haven at all, and the fact that it was so difficult to define what a tax haven is was used to argue that we could not withdraw the oil fund from tax havens. Just a few days ago, a proposal to ensure that Norwegian companies operating extractive activities in other countries had to report on their subsidiaries and their activities in tax havens was put down. Today, however, we agree that companies operating in tax havens must report on this through country-by-country reporting. We're strengthening the country-by-country regulations. I want to congratulate a Norwegian civil society that has pushed like that in the last few days to get this done. And I want to thank both the committee leader Hans Olav Syversen and the government parties for having been very negotiable and for the fact that a total increase can adopt these changes. It's amazing. It's a change of the kind that may not get so much attention in the media, but that has very big effects. It's not every day that we on the Biggest can make a decision and be sure that it actually leads to a more fairer world, completely materially. We do that today. I'm very proud of that, and I think everyone in the Big One is. Many of those who belong to the generation in the Young Right who had the slogan ‘Limits of Policy’ are the ones who govern the country today. The slogan is still used diligently, and I've thought in the past that the slogan is a purely ideological right-wing slogan. I have thought that these policy limits were about fewer laws and regulations, lower taxes and less governance. Once I've heard Jan Tore Sanner, Erna Solberg, Ine M. Eriksen Soreide or Torbjørn Røe Isaksen, or Vidar Helgesen for that matter, talk about these boundaries of politics at Young Right-Seminar, in school debates and in introductions, I've seen it as some kind of Progress Party light. But in the last year, we've been illustrated what the slogan 'Margins for politics' really means, and what it really means. It involves not doing anything about obvious problems and not grasping completely obvious opportunities. ‘No one knows for sure how many children are carrying the death mark on their foreheads in the ruins of the big cities and bombers — but there is no doubt a shocking number.’ That's what Johan Falkberget, a former big-time representative from my home country, said in his text "Be merciful" just after World War II. Now we're there again. We are witnesses to the greatest refugee disaster since then. Millions of people are fleeing in and around Syria. They need our help, and this could be the government's finest moment. Those who conspired the slogan "Humans, not billions" could have shown what it means in practice. Instead, they found the calculator and sent out half of the intelligentsia on the right-hand side of Norway to make arguments like Carl I. Hagen was alone about the last time it was about bringing some thousand refugees to Norway. Tens of thousands of people are out of work in Norway. Only 22,000 people in the oil industry alone have lost their jobs in the last year, because Norway is far too one-sided and for too many years has invested in even more oil addiction. Those who have warned against a sudden fall and serious consequences for those affected by the fall in the oil price have either been swept off as industrial enemies or as against jobs. But then it is striking that those who have been the most aggressive in pushing arguments about jobs ahead of them to invest even more in oil, do not turn out to be missing a mine here on Stortinget when the jobs are lost. In the spring, the government could have invested in new industrial investment in the West and helped to give the small extra push to trigger investment – but no. There are, I suppose, limits to politics. In our time, the government could have announced new renewable energy support schemes, based on technology development and the potential for industrial construction, rather than the market to manage alone, and that we are only expanding the cheapest first – but no. The policy that created the hydropower adventure in Norway, which created aluminium as the metal adventure in Norway, and which created the oil adventure in Norway, seems to have become too old-fashioned for the government. There are, I suppose, limits to politics. In the spring, the government could have said that an unemployment rate of up to 10 pst. Among our young people is totally unacceptable. We push thousands of young people into an adult life with more temporary work, uncertain job prospects and expensive housing. It doesn't seem like the government's going to do anything about it. They have set the limits of politics. We in the SV agree, to the extent possible, with the slogan «Limits for Policy». Well, we can connect to that. Not everything is to be governed by politics. We in SV could think of a Norway with less political governance and moralisation over single-parents, disabled people, women's wombs and your privacy on the Internet. But what the country's unemployed need now is not a limit to politics. The refugees who desperately look for the chance of a new life need are not limits to politics. They need proper policies. They need a policy that works, they need a policy that exists for the people who need it, policies that are not determined by the last focus group, opinion polling or mood wave in the media. That is why we propose in SV 1.1 billion. kr to green conversion and against unemployment. We propose to make it possible to receive 10,000 Syrian refugees to Norway in two years and a strong increase in humanitarian aid — with fresh funds and without hard-handed cuts in aid to the poor. We suggest room for better care and school in the municipalities, which provide more work, and which provides not least a better age and growth for those who need it. It should have got a majority today, and it could have got a majority today, because we can, and because others like us need it, and because they deserve it, because we can and should be merciful and solidarity, and then some other things better lie, like tax cuts and tax-free quotas. Let those with their eyes and later in the debate today put forward shell words such as ‘goodness posers’, ‘goodness industry’, ‘skillism’ and ‘naïve’, hide behind that sarcasm in order to hide that they themselves are incapable of prioritizing what is most important. From this point of view, SV is the party that has the highest priority in this year's budget audit. So we're the ones who set the limits that need to be set for politics. I want to address the SV's proposal.
ParlaMint-NO_2015-06-19.ana.ud1781e773	The representative Snorre Serigstad Valen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2015-06-19.ana.ud1781e778	On the wall of the Coffee Brenner, we can read about the modest beginning of the chain. Founds Thomas' job in the store every day from seven to seven, and in the evenings he baked tomorrow's food. Founding Steinar worked evenings and weekends, he was dependent on keeping his job in an IT company to make it go around. New jobs are created by that type of commitment and effort. When SV then increases the wealth tax and introduces new top taxes, people like Thomas and Steinar are punished. They don't get enough capital to get loans to invest in premises and machines, and the extra hours will never pay off. So after suffocating Norwegian entrepreneurs with such high taxes that it does not pay to do anything extra, tax the richnesses that invested in Norwegian jobs, and stop oil expansion à la Johan Sverdrup: How has SV planned to finance the Norwegian welfare state and the wave of older people in the future – without limits of policy?
ParlaMint-NO_2015-06-19.ana.ud1781e787	The founders of the Coffee Brewery and other companies may start their adventure from below with a huge fortune and a very high income, but that's not consistent with the founders I know, the founders I'm talking to. On the contrary, the main challenge in the Norwegian economy is that we have unilaterally chosen to invest the really big sums in oil. It has led to an unsustainable society in the climate, but it has also led to an unsustainable economic environment in which we have a huge need for investment in the mainland, precisely to create the jobs to which the representative Nordby Lunde refers. There is no wealth tax that prevents entrepreneurs in Norway from looking up, it is that the money has been over-incorporated into oil industry alone and pushed up the price level in all other industries. Then I can finally add that if the representative Nordby Lunde really cares about these entrepreneurs, next year she can vote in favour of SV's proposal for a lower corporate tax than the right-wing government stands for.
ParlaMint-NO_2015-06-19.ana.ud1781e796	Here in the East, trains are often a good alternative to aircraft, but this is not the case, for example, in North Norway and the West. The Socialist Left Party proposes to introduce an airline seat charge of NOK 100 per ticket from 1 September of this year and budgets a total of SEK 817 million. kr in tax revenue. The ticket price is likely to increase significantly because fewer passengers cause the cost per flight to be allocated to fewer heads. The question is short and good: is the aim of the proposal to hit District Norway hard, or is there only an unintended consequence of the proposal?
ParlaMint-NO_2015-06-19.ana.ud1781e803	It is a bit special to hear the progress party first believe that a plastic bag fee that will take in 1 billion kroner. kr, is not going to make any difference in people's everyday lives at all, and then say that an airline seat fee of 800 million. kr means a lot more. But now it is such that SV's tax and tax arrangements must be seen in the context, and we believe that we need to move money from polluting consumption to environmentally friendly consumption. That's the one. We also believe that those who do the work in Norway, those who have the usual hard jobs, those who like to wear out their bodies after a hard professional life, will be left with more, and those who have the most will be left with less. For this reason, we propose that a normal employee in Norway should receive several thousand dollars in tax cuts, while the richest should receive significant tax incentives. Thus, we have room to introduce more green charges without affecting the wallet of most people. That is not the option of the Progress Party. They spend the big money and lubricate them beyond the richest elite in Norway.
ParlaMint-NO_2015-06-19.ana.ud1781e812	The cord shift is over.
