ParlaMint-NO_2015-11-25.ana.ud453e26	The called alternate for Oslo, Peter N. Myhre, has taken the seat.
ParlaMint-NO_2015-11-25.ana.ud453e407	In fact, there is a very large and extensive work going on. This is mainly about technical opportunities and resources to manage an overview of resources. In the past, this Narre project has been intended to pool these resources. What we're working on now is getting to a system that allows the operating centres to see all the emergency resources first, a system that we can gradually develop with the corresponding follow-up of where the volunteer organisations have their emergency resources. That work is well under way. In addition to our own professional environment, we are now talking to other professional environments to see how a purely technical person can solve it. I'm not a technologist, but as I understand it, it should be quite easy to solve at an overall level between emergency situations. That discussion is well under way; a separate working group has been set up to deal with it. In addition, we will then have the dialogue with the voluntary organisations on how to obtain the corresponding labelling, or GPS marking, of part of their central rescue resources. There's also a discussion about whether we can't already use DNK and the new emergency switchboards to get GPS signals. It's an exciting and important work.
ParlaMint-NO_2015-11-25.ana.ud453e414	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e417	We were very pleased that we got a deal about the police reform at Stortinget, and we think it got much better when it went from here than when it came – to say it like that – and we are happy about that. What we are concerned about is that we get some feedback from concerned rapporteurs who are afraid of the local police force. We have decided that there should be local grounding of police force, and there should be police force out where people live. I would like to challenge the Council of State on how the Council of State will actually follow up that point in the conciliation, so that the rapporteurs do not have to worry about the disappearance of the local police force.
ParlaMint-NO_2015-11-25.ana.ud453e426	We have a comprehensive follow-up process in the Department for all aspects of the police reform. We have rigged our own project organisation to follow up all the parts of the police reform that it is important that we get the results out of what lies in both the proposition and the setting, and in the broad consensus that I am very happy that we got together with, among other things. The working party. It also strengthens the strength of the content of the reform that it is such a broad majority. We have rigged a completely separate project organisation to follow this up to the point and dot. I follow this up in my meetings with the police director and follow this very closely. An example of an action that has been implemented, which can help to ensure at least some of the rapporteurs, is the project called ‘Political work on the ground’, which we have recently received an evaluation, which shows that the police are much more effective and provide much better police services around the districts where this has been tested, and it has been in Troms, in Rogaland and in Westfold. The results are that the police are more effective, the investigation is much faster, and the case remains are going down because you get freed up capacity. It means once again that one gets freed police resources to be out there doing professional prevention, etc.
ParlaMint-NO_2015-11-25.ana.ud453e434	Let's move on to the next main question.
ParlaMint-NO_2015-11-25.ana.ud453e437	My question goes to the Minister for Climate and Environment. The agreement in Paris is going to be one from below and up, i.e. that it is the sum of the obligations of the different countries that make it possible to avoid catastrophic global warming or not. So there will be no international carbon price, but yet the pricing of emissions in the years to come will be very important in order to achieve the target in the different countries. In Norway, we are waiting for the recommendation of the Green Tax Commission, which is crucial for the follow-up to how we are to praise our emissions. And the Left, the Christian People's Party and the Government Parties agree on a follow-up of the Green Tax Commission with a working group with the parties, to be chaired by the Prime Minister. Our obligation is to reduce our emissions by 40 pst. by 2030, and both the Prime Minister and the Council of State have stated that much of this needs to be done in the transport sector. The Council of State also pointed out earlier in this questionnaire that it is important that we have proper environmental measures that work. My question as to whether the Council of State is now being asked is that user charges, CO2 taxes and mineral oil taxes need to be increased in the years to come, in order to reduce emissions in the transport sector and to make alternative fuels also competitive.
ParlaMint-NO_2015-11-25.ana.ud453e451	It is quite right, as the representative Elvesuen said, that the whole point of the world's climate work now is that things are going to happen from below and up. Therefore, it is very gratifying that 170 countries have delivered their emission targets. We delivered our targets at the end of March. We're going to cut 40 pst. Until 2030 and has outlined here the five areas in which we have to do it. Transport is one of the five. We know that transport accounts for about one third of Norwegian emissions. That means that we have to do a lot in transport in Norway, and that's why it's very good what was done now through the budget agreement, and what we have to do more through the Green Tax Commission. And I think, just when we've set a pretty ambitious goal of cutting 40 pst. By 2030, we need to be prepared to use new tools, as well as to strengthen some of those we have today. So I think it was good that we four parties got the country a budget. As I said earlier today, there is no doubt that it is on this side of the political centreline that offensive climate and environmental policies are now being provided. What was agreed through the budgetary agreement, that one should follow up the Green Tax Commission quite quickly after this comes, and that the Prime Minister is also asked to sit in the chair of that review, I think it is quite clear that we need to have good cooperation, and we have to look at everything we can do, because there is no doubt that we have to cut a lot in transport in Norway.
ParlaMint-NO_2015-11-25.ana.ud453e458	I thank you for your answer. I think it's important to take on board how much change we need, and how fast they need to get. According to this summer's report, almost all new cars sold in ten years' time must be zero-emission cars. By 2030 the whole heavy transport sector must be fossil-free. This has to be done in addition to efforts on public transport and good urban and urban development, and calls for zero emissions in emerging areas, as has been done by the four parties in this budget unit. The question then remains: is the Council willing to set the level of fees in a range that makes it work, in order to achieve the emission targets by 2030? There is no doubt that there are strong instruments that need to be, and it is important that this is already signalled for both Norwegian business and all residents of the country.
ParlaMint-NO_2015-11-25.ana.ud453e467	I fully agree with the representative of Elvesuen that strong instruments must be used. We are doing a lot now within new state planning guidelines to plan cities and agglomerations in such a way that we reduce the need for transport. We do more in public transport, pedestrian and cycle routes and rail, but we know that in a country like Norway there will be a need for some use of a car. Then the cars used must be in such a condition that in the long term they release almost nothing. It is a pleasure that the Norway Group next year has purchased three electric trucks. So much of what we thought a few years ago was science fiction, we see now is reality. We see that technology is playing along. When we now conclude an agreement with the EU, the EU will make strict demands that we follow this up, so that we have to use more instruments.
ParlaMint-NO_2015-11-25.ana.ud453e472	It opens for follow-up questions – first Pål Farstad.
ParlaMint-NO_2015-11-25.ana.ud453e475	My follow-up question goes to the Minister of Agriculture, because the other sector to which the Prime Minister draws attention in what the representative of Elvesuen referred to is the agricultural sector. Agricultural debates tend to discuss production objectives and income. There are important debates, but the climate needs to be higher on the agenda, including in this sector. That's why I'm looking forward to what the sample that's going to look at agriculture and the climate challenge is coming up. But before that: does the Minister of Agriculture agree with the Left that agriculture must also cut its emissions as part of the green shift, and what will the Council of State do about it?
ParlaMint-NO_2015-11-25.ana.ud453e482	The government also aims to cut emissions from the agricultural sector. In 2013, the agricultural sector stood for 8.7 pst. of the emissions. What is important in the future is to bet on research and innovation and to put new technologies into practice, which can reduce emissions. It is about optimal feeding, optimal fertilisation and good drainage conditions. Over the agricultural agreement, we're spending over 150 million. kr for targeted measures to reduce emissions. I believe that there is a discussion in the future regarding the fact that we also have a goal in Norway to increase production. We want, for example: to raise the production of beef, and we have increased the production of sheep meat. In isolation, it will increase the emissions of those outputs. But if we're going to have an agriculture all over the country, we're going to bet on these parts of Norwegian agriculture, because it's those that eat grass, which we have in large parts of the country. So the emissions are going down, but the production is going up, and so we have to do this in a smart way.
ParlaMint-NO_2015-11-25.ana.ud453e489	Per Rune Henriksen – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e492	My follow-up question goes to the climate minister. What we hear here from the discussion on the issue so far suggests that reducing greenhouse gas emissions is a complicated issue even in the world’s richest country – and in the best country to live in, to which we have been measured. What I'm concerned about in front of Paris is how we can achieve good international agreements that ensure global development. We see that we have problems in Norway in achieving our targets. Developing countries are much closer to it. We have always said that we need to reduce global emissions, and we must therefore also be prepared to contribute internationally to achieve this. What the government took from the previous government was high sums spent on international cooperation on climate change. It's just a saga – now it goes down every time it's a crossroads. So my question is, how will the government change from rhetoric to action in terms of international climate context?
ParlaMint-NO_2015-11-25.ana.ud453e499	I think it's a little strange in this room to hear the expression 'a story only' – when I think 'a story only', it's that nothing happens. I said earlier today that we are the world's leading supplier of international climate finance. We're continuing the climate and forest effort, we're now getting even more results based, and we've also got cooperation with the private sector. So first of all, I think we're getting more out of the money now, because we get with the private sector, and second, we've said we're going to keep going with it. And the countries we work with, trust Norway, that's why they now deliver offensive emission targets, because they see that these instruments work. The fact that the Brazilian Development Bank is now working a lot more with the environment is because the Amazon Fund works. So what Norway has started is now having good ring-effects, and we're going to do more of this. It is important for us to cooperate with other countries, because the climate challenge is global.
ParlaMint-NO_2015-11-25.ana.ud453e505	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e508	It is good that the Council of State has spent a lot of time preparing for the climate summit and talking to its colleagues around the world. It is a great recognition that our Council of State will also be allowed to conduct talks during the climate summit on ambitions. So that's how the Council of States is well-known, that we live in a global world where trade is important, and if we're to get the green shift, which we're all concerned with, the green solutions must take advantage of competition, so that it's the ones that are also being elected to the seventh and last. My question is simply whether the Council of State will also stress this in the talks and in the meetings she is going to have in Paris, that there is a competitive advantage for the green solutions.
ParlaMint-NO_2015-11-25.ana.ud453e513	First, I have to correct. What I was referring to was that under the pre-COP, the one that took place 14 days ago, I had the great joy and honour to conduct conversations within ambition. I think that when we get into the final phase in Paris now, it's the big countries that have to sit in the driver's seat to join and land such an agreement. We've been in this whole year, working a lot with other countries and stressing all the time that the Paris Agreement has to be of such a nature that when we leave Paris, there's no doubt that we have to change the way we plan for society. To bring about that change, we also need a private business that sees that green solutions are the future, that investors see that it is where it has to be invested. That's why it's so important that we get this in place in the agreement, and that Paris becomes a turning point in the way we cooperate internationally around the climate.
ParlaMint-NO_2015-11-25.ana.ud453e518	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e521	When the climate minister sits on the plane to Paris, she has brought with her suitcase both cut the rainforest rate and cut the state power's renewable effort. She also has a new charge on air travel, which costs business and people more than a billion dollars. kr annually. In the national budget, the government writes: ‘Extra measures in Norway for ETS will not contribute to the reduction of the total emissions of aviation in the EEA territory.’;» My question to the Council of State is whether the Council of State agrees with the wording that this does not work. Or is this phrase in the State budget 'a saga only'?
ParlaMint-NO_2015-11-25.ana.ud453e531	We have for a long time had CO2 tax on Norwegian air travel. We know that domestic flights account for 1.3 million tonnes of CO2. Getting an air tax now could mean that someone is considering: Should I get on that plane, or should I consider getting on the train? So one of the important things for the future when we're going to cut emissions is to set a price on emissions. As I said, we already have a CO2 tax on domestic flight fees, and now it is somewhat reinforced, through 80 kroner per ticket. So turning to the idea of setting a higher value for emissions is one of the things we need when we're going to convert Norway into a low-emission society.
ParlaMint-NO_2015-11-25.ana.ud453e545	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e548	It's my impression that the Council of State obviously has no impact on its government. In today's Business yesterday, Sundtoft says that it is in the transport sector that the government is planning to do the biggest climate cuts. Sundtoft says that the car and fuel charges will be changed, so that the car fleet is dominated by emission-free cars. I agree. In the answer I now get from the climate minister, I am not interested in knowing what the Left and Christian People's Party has come through to force the government to negotiate. I want to know the contribution of climate minister Sundtoft. Can Sundtoft provide an example of one significant change in car and fuel charges that she has received from the government college in order to achieve the objective of an emission-free car fleet by 2020?
ParlaMint-NO_2015-11-25.ana.ud453e555	That's an interesting way to ask questions. The same representative, Eidsvoll Holmås, has been a member of a government and knows that one never refers to who gets through for what in a government, but what a government collectively stands for. This government, together with the Left and Christian People's Party, agreed on the principles of car charges in the revised national budget this year. These are the same principles that have now been followed up by the government, along with the Left and Christian People's Party, where we put more emphasis on car emissions and less emphasis on engine power and weight. Therefore, the car charges are changed in this way. We've said, as part of the 2030 goals, that we have to take a lot of transport. This government has done more on public transport and rail, and we are now doing more on car charges than the previous government. I am pleased that the government is working on this overall, and also now has a good offensive policy with our two cooperation parties.
ParlaMint-NO_2015-11-25.ana.ud453e562	‘Say no more’, President.
ParlaMint-NO_2015-11-25.ana.ud453e567	Rasmus Hansson – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e571	The essence of Norwegian climate policy in the last ten years has been bold national targets and a categorical rejection of breaking down the targets on how to implement them in each sector, whether the government has been red or blue. As is known, national emissions have not fallen, they have increased, and in a sector where transport emissions have increased dramatically. Now we are in the interesting situation that the government and the climate minister say that the transport sector will take a large part of the 40 pst. the commitment to the EU. And the question is, when do we know how much cut the transport sector will take, and can the Council of State already tell us: what is a large part of the 40 pst? to be taken in the transport sector?
ParlaMint-NO_2015-11-25.ana.ud453e578	What this government has contributed to through the 2030 targets, where we outline five areas where we are going to cut, is to make it clearer where Norway is going to contribute. Transport is one of those areas. Then we're going to negotiate with the EU to see how much we're going to cut out of the quota sector. But we already know before the negotiations that we are going to get a target that I see far closer to 40 pst. than the second scale, and we know that transport accounts for one third of Norway's emissions. That is why we are now preparing to cut off in the transport sector. That's why we're spending more on public transport, more on rail, and that's why we've started the change in vehicle charges to reward the cars that release at least. What's interesting when you look at the projections of emissions is that they're slightly downgraded in the future because there's a lower estimate of the amount of transport per person.
ParlaMint-NO_2015-11-25.ana.ud453e585	Let's move on to the next main question.
ParlaMint-NO_2015-11-25.ana.ud453e588	I'm taking the chance to stand, President.
ParlaMint-NO_2015-11-25.ana.ud453e593	Good thinking, Minister. The message from the climate negotiations in Paris is that the world will not impose emission reductions on Norway. We have to take action ourselves and decide to do the job at home. Through the 2008 climate agreement, we have agreed here in Stortinget that Norwegian greenhouse gas emissions will go down by 2020, to a maximum of 47 million tonnes. Since then, the expected emissions for 2020 have declined due to successful policies. Yesterday, the prime minister let the climate deal die in the VG. I shouldn't be surprised, because in Sundtoft's budget, the national emission target for 2020 is not mentioned once. It seems that the Minister for Climate and Environment wants us to forget that the Stortinget has adopted a national target for emissions reduction. The budget shows that emissions are expected to increase in the coming years to 54.9 million tonnes by 2020 – contrary to the agreed objective of the Stortingen to cut to a maximum of 47 million tonnes. It is obvious that the Health Council does not have a significant impact on the government when the government no longer has any serious plans to reach the climate agreement. When is the Council of State going to dry out telling the Storting that the government is declaring the climate agreement, when it is obvious that they are heading towards a climate loss?
ParlaMint-NO_2015-11-25.ana.ud453e604	This government is not heading towards a climate loss. That's exactly why we first spend a lot of time and resources on international climate work, with a very competent Norwegian negotiating team that is really working for us in Paris to have a global agreement that sets the direction for the world. That is why we are working to achieve the global emissions target for a climate-neutral world, where we are also talking for Norway about regular adjustment of emissions targets, preferably every five years – and a robust and committed reporting system under the new agreement. That's why this government came to Stortinget with new targets for 2030, where we say we're going to decrease by 40 pst. We've also outlined five areas to do it, to make it more concrete. It's this government that also works to try to reach the 2020 climate deal. As the Prime Minister said, the goal is that we should do it. But this government did not come to the table of climate policy. We have had to step up our efforts on a collective basis, we have had to step up our efforts on the railways, we have had to do more to change car charges – but it is also this government that has got numbers on the table, and seen that we have never been so close to achieving this goal that we are. The national budget for 2015 is a policy-based projection up to and including the revised national budget for 2014. What we have now entered the 2015 and 2016 budget is not included in that projection. We work every day to reach the climate agreement – and the Prime Minister said the goal is that we should do it – but perhaps some of what we do today on the railway, does not come true until 2021. By definition, we have not reached the climate agreement, but that is good climate policy.
ParlaMint-NO_2015-11-25.ana.ud453e611	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e614	I want to repeat the question that I asked instead. I'm not interested in knowing what the Left and Christian People's Party has got the government to do, but I'm interested in knowing what the government itself or the government as a college has been able to do, because I think it seems obvious that the Council of State does not have a say in the government in the climate field. Can the Government Council Sundtoft provide an example of one significant change in the car and fuel charges implemented in the government college, which she has helped push through to achieve the objective of a zero-emission car fleet by 2020, which is the period for which the climate agreement applies?
ParlaMint-NO_2015-11-25.ana.ud453e621	The representative Eidsvoll Holmås knows exactly how one sits and works in a government, where all departments come with their input, and where then there was a collective decision by the government. But it's this government that does more to meet the climate agreement, to achieve our climate goals by 2020, where we've been honest about how we are at this time. It's this government that's been raising ambitions until 2030, and it's this government that's working everything it can internationally to get a strong and clear agreement in Paris, which sets the direction for where we're going. It is this government that is working towards a low-carbon society in 2050. It is possible that it is completely different from what the previous government did, and how it worked, but we work as a college.
ParlaMint-NO_2015-11-25.ana.ud453e628	To get time for the last main question, only two follow-up questions will be allowed – first Kirsti Bergstø.
ParlaMint-NO_2015-11-25.ana.ud453e631	The oil industry is the sector in this country that emits the most greenhouse gases. The oil industry has almost doubled its emissions since 1990. Can the Minister for Climate and Environment mention a victory that the College of Government has held and that significantly cuts emissions in the sector that emits the most – the oil sector?
ParlaMint-NO_2015-11-25.ana.ud453e637	It is quite right that much is emitted from the oil and gas sector in Norway. The oil and gas sector also has the highest CO2 tax and is part of the European ETS. What is taken through the CO2 tax and the allowances system makes the industry itself very interested in reducing its emissions, just to reduce costs. What Statoil is now working on, reducing its emissions – they set their own target by 2020 – they were in the early stages. This shows that the policy is working. By setting a price for emissions, the industry does this itself. That's how we want to work, that's how we want to use the market – using the tax and tax system to make the industry itself reduce emissions. We don't sit and reduce this for the oil industry.
ParlaMint-NO_2015-11-25.ana.ud453e650	Åsmund Aukrust – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e653	Climate summits and the outcome of an international agreement are the sum of what all countries contribute, and there is no doubt that there has been a poor Norwegian charge: the Minister of Finance will provide a government budget that will increase emissions. The Minister for Climate Change proposes a major cut in international climate contributions, and yesterday the Prime Minister went out and almost canceled the climate agreement. What has been the climate effort the Council of State boasts of is things she herself has lost internally, first in the government – and then the Right and Advance Party have lost against the Left and Christian People's Party here in the Stortinget. It's not much to brag about for a climate minister. So she does a big cut in international climate aid – she points to a special situation. We have to remember that the first thing this government did was to propose 400 million. kr i cut in the rainforest bet. The climate minister should be very aware that of all the acute situations in the world, the climate crisis is perhaps the most acute. My question to the Council of State is whether she will be satisfied with an outcome in Paris where several countries do like her – that there will be less money left for international climate contribution after the Paris agreement has been concluded.
ParlaMint-NO_2015-11-25.ana.ud453e662	I believe that the most important thing we will agree on in Paris is an agreement on a long-term goal that sets the direction, so that no one should be in doubt – when we leave Paris – that we should transform the world into a climate-neutral world. Then we need good political decisions. We need cooperation with business, with investors. We also need to get civil society and each one of us to realize that we need to change the way we live. We are very clear that we should cooperate with other countries so that they can reduce their emissions. That's why we're the world's leading international climate finance player. We will be further, despite the emissions. The fact that we're long-term, that we're working concretely with other countries, that's what's going on in Brazil, so that the Secretary-General of the United Nations draws it out as one of the best climate examples in the world has ever seen.
ParlaMint-NO_2015-11-25.ana.ud453e669	The size goes on to the last main question.
ParlaMint-NO_2015-11-25.ana.ud453e672	My question goes to the Minister of Justice. All batches at Stortinget, with the exception of SV and MDG, have merged on 18 concrete measures for regulatory tightening in order to ensure border control and with those entering Norway in the Great Asylum and Refugee Flows Norway. This has been well received by the public and seen as political Norway taking responsibility for a difficult time. That's what we in the Workers' Party are set to do in the continuation. At the same time, we are critical that the government has not made adjustments to the asylum flow in the past. In very many areas, and not least in the handling of asylum seekers coming to Norway, we have experienced a government as a hesitant, which does not implement at the necessary pace and which does not appear to be particularly effective in dealing with the challenge posed by the number of asylum seekers in recent months. Why has the government not established UDI ambulatory teams, which would lead to a faster procedure? Why has the government not implemented the transfer of legal capacity from other departments to UDI? Why has the government not done well enough to strengthen the Foreign Office of the Police, nor has it strengthened the work on the identity clearance and security assessments of asylum seekers coming in sufficient? The government could and should have taken a clearer grip on many of these issues, and at a much earlier time. It is a government's responsibility to act, especially when the situation is difficult and the challenges are great. My question is, why didn't the Council of State start this once the extraordinary situation became known, why did he wait so long? Or does the Council of State really think that he had to wait for the decision of the Storting to implement the points I have now mentioned?
ParlaMint-NO_2015-11-25.ana.ud453e683	I am very pleased with that question, and I am even more pleased that the Workers' Party has now turned around in its attitude from in ours. There is no doubt that the attitude of the Labour Party and the majority of the population in the spring and, in fact, up to the end of October has contributed to the fact that the signals have been that Norway has been a country with relatively open arms. The government has worked hard to correct and balance the impression by implementing a number of restrictive and intensive measures along the way, and unfortunately we have not received much drag help from the Workers' Party in that context. On the other hand, I am very pleased that we are getting that Draid Aid from the Workers' Party now, and I hope it is right as Mr. Lauvås says, that the Workers' Party will now hold a tough course and not wave in the question of whether it is important to gain control of this asylum flow or not. The assessment of the absence of en route measures is completely incorrect. It's a reality I don't know at all, and no one else who's actually working on these issues, recognizes. We have implemented a number of measures to deal with what has been the growth of time in asylum arrivals in Norway. It has meant that we have not been close to having a processing capacity system that could handle it. We now, in just over a month, got more people to Norway than we expected to get for the whole year. Obviously, it puts an entire system under pressure. That is why, in record time, in less than three weeks, we have set up our own reception centre in the Council, a whole new way of dealing effectively with asylum applications – an important contribution for us to be able to handle this at all. UDI has worked hard to find emergency shelters to ensure that we have food and shelter when people get here. We have ensured that we have received the health study that is going to take place. There's been a tremendous effort to make sure we're able to handle this. Unfortunately, neither the Labour Party nor anyone else could prepare in advance for the situation we have experienced in Norway, but fortunately we now see a positive development.
ParlaMint-NO_2015-11-25.ana.ud453e690	Now it is such that the Workers' Party has not turned into anything at all. The Workers' Party has held up a strict and fair asylum policy for a long time. What is the situation is that the Progress Party has turned around. But we can see that positively, because now they finally realize that they are part of reality and have to take responsibility for the tasks that the country is facing. There are several examples that the Minister of Justice has not been as quick as one could expect, and he is still saying away. It is also quite clear that the government has not been able to use the powers of a government. The question then is: can the Minister of Justice now confirm to the Grand Government whether he believes he has the powers to see a more effective government, which will address the challenges we know will come, both at the border and with settlement and integration in the municipalities?
ParlaMint-NO_2015-11-25.ana.ud453e697	I'm not so happy about this question, but I'm more amazed at it. I think it's interesting, because those who have followed this debate over time have obviously seen a positive change in the attitude of the Workers' Party in my opinion – from being a rather restrictive party to becoming a very liberal party and now again being on the restrictive line. I think that's positive. It may be that someone has realized that the Progress Party has turned around, but I have now experienced that the Progress Party has always been on the restrictive line. So, of course, the government is working to get a balance. We have an asylum agreement with the Christian People's Party and the Left, and we have been concerned that we should implement both tightening and some liberalizing measures in the areas in which we have had an agreement with those parties. It is important for us to follow up, but that there has been some spin-off in the case of the Progress Party, I think there are few who can agree. In terms of speed, I think we should stress that the job done both in the department and out in all sectors has been formidable. It's made a fantastic effort, and instead of complaining and saying that one should be even faster, which would be practically impossible, one should actually be proud of the efforts that have been made. In the case of powers, we have a review of all the powers now, and we will return to Stortinget if we believe there is a need for further powers. [[The President clubs.]] But the representative does not provide a single example that we have not taken advantage of the space for action we have.
ParlaMint-NO_2015-11-25.ana.ud453e708	The President will remember the time of speech. We get time for a follow-up question – from the representative Kari Henriksen.
ParlaMint-NO_2015-11-25.ana.ud453e711	I just want to remind the Minister of Justice that this serious matter is not about how the Workers' Party has behaved or what signals the Workers' Party has given. This is about a Minister of Justice who either has or has no power to act, about a Minister of Justice who is good at talking, but perhaps less good at acting. In fact, the government with the Minister of Justice has had room for action to take action, and the fact is that they have not used that space of action. Security is crucial. Now we see that there are at least 1,500 people who have disappeared from asylum. The Minister of Justice has so far not used the powers he actually has to build capacity. The majority decided on an emergency basis to imprison asylum seekers last week. We were pleased, and we were also pleased with the evaluation that we had put in there, and also that the law is temporary. But it would be strange if we don't have places when it's urgent to adopt a new law, so when does new capacity open up for imprisonment, especially in Finnmark?
ParlaMint-NO_2015-11-25.ana.ud453e719	I totally disagree that this debate is not about signals from the Labour Party. It's about signals from the Stortinget, it's about signals from all over Europe. Because we see very clearly that signals from decision-makers have an enormous impact on the flow of refugees and asylum flows. I hope that the representative Henriksen has brought with him. If we do not risk the Workers' Party re-entering with signals that help steer the asylum flow towards Norway. I think we have to have that with us. We must be reflected in that discussion and in what signals are to be sent out. I am very pleased that the Workers' Party is part of the big, broad agreement that the Stortinget has now come to, and which I believe provides a very good basis for us to get this situation better under control. I also record that Henriksen makes a number of claims that the powers have not been exercised. What powers are not used? We've used the space we have. We have submitted an additional number to the state budget to manage this. We've given the money we can under the authority. We've reorganized and challenged the organization to handle this. So the reality picture Henriksen comes with is directly wrong.
ParlaMint-NO_2015-11-25.ana.ud453e726	Then the oral question procedure is over.
ParlaMint-NO_2015-11-25.ana.ud453e738	There will be a number of changes in the questionnaire, and the President will refer to the electronic question list in this context. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Kjersti Toppe to the Minister for Transport, is moved and answered, at the request of the Minister for Transport, in response to question 6. Question 4, from the representative Heikki Eidsvoll Holmås to the Minister for Climate and Environment, will be answered by the Minister for Oil and Energy who directs him. At the request of the Minister for Oil and Energy, the question is moved and answered to question 6, i.e.: at the end of the Questionnaire. Questions 7 and 8 from the representative Kari Henriksen and the representative Lene Vågslid to the Minister for Justice and Security, respectively, were moved and answered, at the request of the Minister for Justice and Defence, before Question 1.
ParlaMint-NO_2015-11-25.ana.ud453e751	So let's start with question seven.
ParlaMint-NO_2015-11-25.ana.ud453e758	President, I don't get my question on the salap – then I get to borrow the script from the Minister of Justice, and then he'll get it back! The question is: ‘The robber radio operates radio broadcasts made by people like zones, on the topic in question, from prison and outside. The transmissions are available to them as sons in Oslo prison and to few other prisons in the eastern part of the country. There is no national transmission surface. Voluntary organisations and public agencies use the channel to disseminate useful information. The radio channel won this year Prix Radio 2015 for local broadcasting surface. What concrete action will the Council of State take to ensure equal access to these broadcasts for all as zones in prison?’
ParlaMint-NO_2015-11-25.ana.ud453e772	It would have been tempting to say that the representative Henriksen could only continue on the script, so she would get the answer! I am very excited about the Robbery House, which operates the Robbery Radio, and they got 589 000 kroner in support over the hood. 430 item 70, a grant scheme for voluntary activities in the field of criminal law. It has been delegated to the Directorate of Criminal Welfare to allocate funds to non-governmental organisations. The robber house must therefore seek financial support from the Directorate, including any extension of its activities. I very much agree with the representative Henriksen that the Robber Radio is a good move. However, there are many good measures for which funds are sought above the budget chapter and line. The Directorate of Criminal Welfare has informed that measures were applied for for about this year. 39 million. kr, and what was for distribution, was $12 million. kr. That means that you have to have a strict prioritization on the part of the directorate, but the robber radio has been funded. In the draft budget for 2016, it is approx. 11 million. kr which is allocated to the breakdown by application. The Directorate of Criminal Welfare is delegated to continue examining these applications and will publish the new allocation pot after the Stortinget has adopted what the Stortinget wants to adopt on this point, and the Robberhuset may also apply for funds. In view of the fact that this has been delegated to the Directorate of Criminal Welfare, I think it would be wrong for me to give some leadership that the Robbery House should be given priority in front of others.
ParlaMint-NO_2015-11-25.ana.ud453e783	Thanks for the answer. I am very pleased that the Minister of Justice is expressing a positive attitude towards the Robber Radio and the Robber House, which is a volunteer organisation that is doing a good job for the prisoners. It is true, as the Minister of Justice says, that there are appropriations that determine both the nature and the nature of the actions, and we record that, after this government joined, subsidies to non-governmental organisations have been reduced. These include: A result of this is that many organisations are concerned, because they believe that the allocations they have received cover the growth in wages and prices – not to mention them as zones in the Netherlands, which do not have this offer at all. But back to the Robber Radio and the action being taken: they want schemes similar to those they have in the United Kingdom, with national coverage. Does the Minister of Justice support this?
ParlaMint-NO_2015-11-25.ana.ud453e792	Based on the system we have, where these are funds allocated on application, it is difficult to say within that system that this is what should result. But I believe the Rooster Radio is a very creative and constructive action, which was launched in 2013, and which, as I understand, has very happy listeners. It's a way of working out that I have a lot of sense for. It's incredibly important that you have things to do in prison as a feeling yields benefits, and that's useful, and that also gives learning experience in a whole new way. I'm not going to draw my own personal experiences about radio business, but I've been an avid actor on the local radio in Larvik, in my youth, and that gives me an incredible amount of learning and power. There is also something that I think is good that a sheep through e.g. measures such as the Robber Radio. But the fact that it is going to be a national offer, I think it is a little too early to establish and decide.
ParlaMint-NO_2015-11-25.ana.ud453e799	I support what the Minister of Justice says, and the assessments he has of the effects that the Rooster Radio has on both prisoners and employees, as well as on non-governmental organisations and others who use this radio station to send out important information. But in addition, I think this radio station has an important function related to freedom of expression, because this way of giving prisoners the opportunity to get a voice in public space is an important contribution to freedom of expression. Therefore, I believe that the Minister of Justice, who is responsible for the good functioning of freedom of expression in Norway, should also consider whether this is a measure that is so good that it should become part of the ordinary work in prisons, among others. the principle of subsidiarity, and that the media also become part of it.
ParlaMint-NO_2015-11-25.ana.ud453e804	I don't reject that kind of thinking. I think this is an exciting measure. It has many advantages, and it creates creativity and gives creative power and can also affect freedom of expression. At the same time, it's important, the way the system is today, that I don't put any leads on the future applications from the Robber Radio. But I think this is one of many exciting actions that take place in criminal custody, and the fact that it's driven by the inmates, and that they kind of run an activity to develop themselves, too, I think it's a useful contribution. I think I can see that this is an exciting project, and after two years of operation, we take with us the results that this project has given. And then we'll see what the future will bring in this area as well.
ParlaMint-NO_2015-11-25.ana.ud453e813	Then we go to question 8.
