ParlaMint-FI_2018-06-12-ps-64.u1	As previously announced, Mr Paavo Väyrynen has returned to the House today. Welcome!
ParlaMint-FI_2018-06-12-ps-64.u63	Mr President! Since 2002, Finland has been involved in the stabilisation and reconstruction of Afghanistan at the request of the international community. Despite the progress made over 15 years, Afghanistan is still a fragile country. Following the end of the International ISAF crisis management operation and the transfer of security responsibility to local authorities, the security situation in the country has again deteriorated. The difficulty factor for stabilisation in Afghanistan is high. In the event of a prolonged crisis and a deterioration in the security situation, it is appropriate to recall the limitations that always relate to foreign military intervention and a more permanent presence. Despite good efforts, the internal stability of Afghanistan, the construction of a functioning democratic regime and the rule of law have not been sufficiently achieved. A number of international terrorist groups continue to operate in Afghanistan and neighbouring areas, which would require not only security but also economic progress in the well-being of ordinary Afghans. We therefore need Afghan society's own responsibility both for the development of the country as a whole and for internal dialogue. Mr President! I visited Afghanistan as President in 2012. At that time, Timo Soini, then Chairman of the Committee on Foreign Affairs, and Niinistö, Chairman of the Committee on Defence were also involved in the parliamentary delegation. The experiences of that trip were memorable and impressive, even today. Our soldiers played their part in the security of Afghanistan with great knowledge and skill. It became equally clear that, as foreign troops leave, the security situation will deteriorate if there is no political solution to the country. That is exactly what has happened now. It was also clear from the experience of that trip that change in Afghanistan requires not only security measures but also these genuine opportunities for living, especially job opportunities for young people, and also the health of the country's administration. The fight against corruption must take place genuinely, not only in words. Over the years, our parliamentary group has consistently emphasised the primacy of good governance and human rights in Afghanistan policy. In order for Afghanistan to get on its feet, all forms of corruption must be eradicated from its administration and sustainable pillars must be built for the functioning of the rule of law. Improving human rights, especially the role of women and girls, will support the security and development of society as a whole. Finland has made a strong contribution to the stabilisation and development of Afghanistan. Nearly 2,000 Finns have served in crisis management forces. Finland has spent more than EUR 600 million on crisis management and development cooperation. It is fair to say today that the results achieved cannot be satisfied. The eyes are turning strongly inside Afghanistan. The parliamentary and presidential elections in the country over the next few years will be the next test for the integration of national democracy and the rule of law and the emphasis on Afghan own responsibility. Mr President! It is known that there is no military solution based solely on force in sight. After fifteen years of constant fighting, one should look the truth in the eye. The Finnish Government must work in the European Union and to a wider extent to change the strategy based on the military use of force in Afghanistan. The Social Democratic Parliamentary Group supports Finland's efforts to stabilise Afghanistan and accepts an enhanced presence in Afghanistan. At the same time, we note emphatically that there is no prospect of a military solution. We need a strong dialogue within the country and a peaceful solution to the crisis.
ParlaMint-FI_2018-06-12-ps-64.u64	Mr President! Afghanistan has been in civil war since 1979. The situation in the country is still very weak. The view of the Blue Parliamentary Group is that improving the security situation is the first and biggest of the challenges facing Afghanistan. In Afghanistan, along with Taliban, there are many other armed groups that make their living through, among other things, a thriving drug business. Ethnic and regional tribes compete for power. Central government is weak. However, the government is seeking peace through political negotiations. According to the UN, achieving peace calls for the Taliban to enter into negotiations, something that has not been done before. The exclusion has been seen as an increase in the number of terrorist attacks that the movement seeks to improve its negotiating position. The Taliban acts mainly with the support of Pakistan. Pakistan and Afghanistan are long-standing regional rivals. The war in Afghanistan is therefore not only a civil war but also a regional conflict. The major NATO-led military crisis management operation ISAF was closed in 2015. The operation failed to bring peace or defeat the Taliban movement to Afghanistan. The mission was replaced by a much smaller, still NATO-led Resolute Support operation, in which Finland participates. The purpose of the mission was to train and advise the Afghan security forces to which responsibility for the security of the country was transferred. There will be no international troops involved in the fighting. Since the end of the ISAF mission, the security situation in Afghanistan has slipped from one year to the next. The second worst terrorist attack in Kabul took place a year ago in May. The United States is planning to strengthen Operation RS for 16,000 soldiers, which is hoped to prevent the country from re-entering Taliban control. Finland is prepared to increase its participation in the operation by 20 soldiers. Mr President! The position of women in Afghanistan is poor. Although the end of the Taliban regime meant an improvement in the position of women, the position of women in rural areas is, above all, still weak. In many places women are subject to conservative rules based on the Islamic legal system. Almost half of women are married at the age of 18, one in ten at the age of 15. Domestic violence against women is known to be widespread. Only 19 percent of women can read, in rural areas less than 10 percent of the population can read. According to UNICEF estimates, four out of ten children from Afghanistan are not educated at all. The Blue Parliamentary Group sees women's education as one of the most important means for the future of Afghanistan. According to the population survey, women in Afghanistan feel illiteracy and lack of education are the main problem. Most of Finland’s development aid is targeted at gender equality work, which focuses on strengthening the education sector, securing girls’ schooling and promoting women’s literacy. Promising progress has been made in these areas. Mr President! Finland has been a small giant in peacekeeping operations. It has achieved good results through determined work and has earned international appreciation. Finland builds peace, promotes literacy and reduces maternal mortality. How is the situation in Afghanistan reflected in Finland, and why should Finland invest around EUR 46 million a year in the stabilisation of Afghanistan as the crisis management operation expands? Last year, over 400 asylum seekers arrived in Finland from Afghanistan. Emigration will be prevented and regional stability promoted best through peace-oriented efforts. Finland maintains its international relations by participating in a joint crisis management operation. The Blue Parliamentary Group supports Finland's participation and the expansion of the mission.
ParlaMint-FI_2018-06-12-ps-64.u65	Mr President! Afghanistan has long been in a fragile situation in many ways and still is. The main problems are the uncertain political situation and more than 20 terrorist groups in and around the country. If stability deteriorates, terrorism will be strengthened and uncontrolled emigration will increase. Insecurity is also increased by organised crime and the increase in kidnappings. Resolute Support has helped the Afghan authorities to strengthen regional stability and fight terrorism. One of the most important tasks is to improve the quality of the leadership of Afghan security forces, to reduce corruption, which is always worth paying attention to, and to transfer police forces from combat to actual police missions. Indeed, international support has produced results: the security forces have been able to prevent the rebels from occupying major settlements. In this context, it is also worth remembering that terrorist organisations are also criminal organisations that receive funds from smuggling, drug production and, in the case of the Taliban, from mining. A new problem in Afghanistan is the strengthening of the ISKP branch and its attacks on Shia Muslims and other religious sites. Mr President! According to the UN, the human rights situation in Afghanistan has improved in certain areas over the last 15 years. However, violence against women and children, abuse and child marriage remain serious problems. Afghanistan has extensive drug production. It is estimated that the country produces about 80 percent of the world’s raw opium. Most of the output ends up financing illegal armed activities. Finland has been involved in anti-drug activities by supporting the creation of alternative livelihoods for farmers and increasing the capacity of public authorities. Finland’s Afghanistan policy has been quite rational because it combines political influence, international relations, development cooperation and both military and civilian crisis management. In 2015, 5214 asylum seekers came to Finland from Afghanistan. The Finns believe that cooperation on returns in particular is an important part of Finland's Afghanistan policy. The objective must continue to be to return and to work together more effectively with regard to asylum seekers who have received a negative decision. In 2015, the Government set an asylum policy action programme when the Finns of Finland were still working on it — if anyone remembers — as one of the key objectives of concluding a return agreement and effective returns to Afghanistan. The deal's done, and that's good. Persons who are illegally resident and have received a negative decision, as well as those who have committed crimes, must be brought back to their country of origin effectively by developing cooperation between the Finnish and Afghan authorities to become more effective. The Finnish Immigration Service updated the security situation in Afghanistan in December 2017, when it was concluded that the country is not in a state of war as a whole and that the general circumstances of the country are not grounds for granting international protection. Here I could remind you that Kabul is probably one of the fastest growing cities in the world at the moment. The True Finns also demand that the possibility be fully realised to return a person to another peaceful part of his or her home country if the part from which the asylum seeker has come is not considered safe. The ethnic divides divide Afghanistan politically. The majority of the population are pashtu, but significant sections of the population are also Tadzhik, Hazarat and Uzbeki. Local and regional forces have a lot of power. The government is also divided according to ethnic groups, and its internal conflicts are great. Here is another example of the fact that so-called multiculturalism does not always seem to work. In the future, it might perhaps be worth considering the development of more autonomous regions in Afghanistan. If nothing has been done since the 19th century, perhaps we could consider changing the whole pattern. The Finns Party considers it important to participate in this Resolute Support crisis management operation as planned. The aim must be to transfer security responsibility to Afghanistan's own security forces, the military and the police, so that they will ultimately be able to maintain stability in the country's security situation independently and in a credible manner in accordance with the principles of good governance. The Resolute Support Action Plan emphasises the need to prevent terrorism and is always to be welcomed. The countries participating in the mission have come to the conclusion that Operation RS needs to be continued in order to achieve a more sustainable security situation. We agree. The focus of the Finnish Resolute Support operation is on advisory activities. The Finns of Peru support the increase in participation from 40 to 60 soldiers. It enables the formation of appropriate groups, as well as the management of the Finnish group, self-protection, maintenance, management and national support in accordance with the circumstances. Finland must stay with other democratic countries in Afghanistan, because those who are involved have the power to speak. — — — — Thank you.
ParlaMint-FI_2018-06-12-ps-64.u66	Mr President! Since 2002, Finland has supported the stabilisation and reconstruction of Afghanistan as part of the international community. We have participated in the work through military and civilian crisis management, development cooperation and humanitarian aid. Despite considerable efforts, Afghanistan remains one of the poorest countries in the world and a very fragile country. Security responsibility has now been transferred to Afghanistan's own security authorities, but the security situation has not improved in the desired way, quite the contrary. International support is still needed to achieve lasting peace and stability. The Group of the Greens therefore believes that the continuation of the Resolute Support crisis management operation is justified and we support the increase in Finland's participation. Mr President! Wars do not end by war, and lasting peace will not be achieved with weapons. The only way is to negotiate peace. In Afghanistan, this requires the inclusion of all the parties involved, including tribal councils, Taliban leaders, women's networks, young people and the international community. We must also be able to negotiate with terrorists. President Ashraf Ghani of Afghanistan has been willing to build a dialogue. Support for this is a key task for Finland and the international community as a whole. Mr President! Although the situation in Afghanistan is still very difficult, Finland’s years of work there to improve the position of women and girls and to promote human rights and the rule of law have not been wasted: Infant mortality has decreased, sexual and reproductive health services reach an increasing number of women, and the share of girls starting school has risen to 40%. The freedom of expression situation has improved and the media field has expanded. More than half a million people have been trained in human rights. But we're in the middle of a job. Moreover, violence against women and child marriages, for example, remain serious problems. The torture of prisoners is systematic and continuous. Mr President! In addition to military crisis management, civilian crisis management, political influence, humanitarian aid and development cooperation should form a whole. This calls for a better dialogue with the various actors in the same region, so that the joint efforts for peace, stability and development can be realised. It must be possible to commit to crisis management operations and the comprehensive crisis management work carried out alongside them for years to come. This must also be reflected in resources. I'm afraid so. The Sipilä government cut not only development cooperation money but also crisis management. A radical reduction in crisis management was included in the Government Programme. Fortunately, the Government Programme has not been implemented, but Parliament has approved the operations with separate funding one at a time and the participation has been kept at the level of the last period. Crisis management is long-term work. Building trust and lasting peace takes time. You can't do that. You can't do that. Minister for Defence The recent throws from Niinistö about cutting down crisis management were irresponsible. The Greens believe that in order to ensure a long-term perspective, we need a crisis management strategy prepared in a parliamentary way for Finland. It should define the objectives, priorities and sufficient resources for action over the parliamentary term. Mr President! Although Finland is no longer a major country in crisis management, we are a respected player in the world. Soldiers, reservists, authorities and volunteers serving military and civilian crisis management tasks are skilled and competent. Thank you so much. The promotion of the Women, Peace and Security resolution is strongly reflected not only in our activities in the target countries but also in the participation of more and more Finnish women in crisis management tasks. These strengths must be maintained. Mr President! Participation in crisis management increases the performance of national defence. Crisis management is an effective means of supporting people in conflict areas on the ground. It will prevent problems and address the root causes of refugees. Nevertheless, the importance of crisis management lies first and foremost in Finland’s taking on its international responsibility.
ParlaMint-FI_2018-06-12-ps-64.u67	Mr President! In Afghanistan, the United Kingdom, the Soviet Union and the United States/NATO have each, in turn, tried with military force to solve problems for which there is no military solution. The Soviet Union tried to use weapons to export atheism and communism, the United States of America’s freedom and democracy — both projects failed just as badly. Afghanistan is today's Vietnam. Finland is practically a party to war in Afghanistan. When the ISAF operation was converted into Resolute Support, it was given the impression that the capability of Afghan security forces to conduct and conduct operations across the country has been strengthened. At present, however, the rebels have a larger area in their possession than at the start of the ISAF operation. In Obama's time, no military solution was achieved, even by 100000 soldiers. How can you do that with a fraction of that amount? President Trump's request to his allies to increase troops in Afghanistan is not about a new strategy, but about an old one. The chairman of the Committee on Foreign Affairs, Mr Vanhanen, said, surprisingly quickly, that Finland too should increase troops if the request from the United States leaves. On the contrary, Finland will be forced to break away from NATO-led military operations and withdraw its troops.
ParlaMint-FI_2018-06-12-ps-64.u68	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u69	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u70	Ärade fru talman, Mr President! The World Bank estimates that as many as 15 million children under the age of 18 are forced to marry each year. Child marriages remain a strong tradition also in Afghanistan. This is one of the main obstacles that makes it difficult to achieve positive social development. According to UNICEF, almost half of women in Afghanistan marry under the age of 18 and more than one in ten are under 15 years of age. Boys too are at risk of being forced into marriage as minors. Girls forced into marriage often drop out of school, which reduces their chances of employment. In addition, maternal mortality rates due to early pregnancies are the worst in the world, particularly in Afghanistan. Afghanistan is indeed Finland’s largest bilateral partner for development cooperation. The Swedish Parliamentary Group considers the efforts made by the education sector to ensure girls' schooling and to improve women's literacy to be particularly important. The focus of the government's aid efforts is therefore in the right place. At the same time, however, it has to be said that the drastic cuts made at the beginning of the parliamentary term have weakened Finland's development policy in a way that cannot be defended.
ParlaMint-FI_2018-06-12-ps-64.u71	Madam President! We have heard excellent group speeches here. In particular, I found it interesting to hear Mr Mustajärvi's reflective and questioning speech. Afghanistan is still a fragile country and needs support from the international community. The Christian Democratic Parliament Group shares this view in the report. In recent years, Afghan asylum seekers have also come to Finland to prove the serious situation in Afghanistan. The creation of peace and stability is of the utmost importance for us and, in particular, for the people who live in and have left the country. For this reason, our parliamentary group supports the Finnish line in providing financial support for the country and continuing to participate in the international crisis management operation. Although our group fully supports international support, we are concerned about the slow pace of progress. Afghanistan is still very politically divided. The establishment of a true lasting peace seems truly distant. Political tensions are compounded by large-scale corruption, as is well highlighted in the report. The international community must make an ever stronger effort to influence the fight against corruption. The assistance provided must be found and reach out to the most vulnerable Afghans. Mr President! Democracy, economic stability and a functioning civil society cannot be created in the midst of war and terrorist attacks. As stated in the report, the unrest has increased in recent years since the end of the International Mission for ISAF. The transfer of security responsibility to Afghanistan's own security authorities has therefore not been a successful solution in all respects. Should I have done something different? This is a question which certainly raises a number of concerns. It is clear, at least, that the Afghan Government and the security authorities need international support for a long time to stabilise the country. Continued efforts should be made to support the rule of law and the police force in Afghanistan. The Christian Democratic Parliamentary Group welcomes the Finnish approach to continuing support for the Afghan police sector and supports the sending of experts to support this valuable work. Afghanistan is Finland's largest bilateral development partner at the moment. We believe it is important that the promotion of the status and rights of women and children is at the heart of this cooperation. Investing in women's education and rights can provide a basis for a sustainable future. We are also in favour of investing in human rights issues. The Christian Democratic Parliamentary Group welcomes the government's approach to concluding bilateral return agreements and achieving safe and effective return practices. We need an effective system for returning asylum seekers who receive a negative asylum decision. However, we would like to remind the government that every asylum seeker must be guaranteed fair and individual treatment. The increased efforts of the government in the asylum process have undermined the legal protection of applicants, to which legal scholars have also drawn attention. The process of seeking asylum must also take into account the person's religious convictions and the resulting threats to the asylum seeker. For many Afghans, turning to Christianity can mean almost a direct death sentence if they return to their homeland. Mr President! Finland has long participated in various crisis management operations in Afghanistan. The contribution of Finns has been appreciated, and at the same time the participation has increased under demanding operating conditions for the Defence Forces, and we consider it important that Finland participates in supporting the Afghan security authorities as an advisor and leader. This is important work to stabilise and develop the country. The Christian Democratic Parliament Group supports the continuation of Finland's participation in the Resolute Support operation. We are also in favour of increasing the force to 60 soldiers. Mr President! We need a broad, comprehensive vision to stabilise Afghanistan, we need the nerves of the cow, we need the ability and we need the will to start over and over again.
ParlaMint-FI_2018-06-12-ps-64.u72	Now, after the round of group speeches, I will give the ministers three minutes' answer.
ParlaMint-FI_2018-06-12-ps-64.u73	Madam President! Thank you for these group speeches, they were well prepared, they had been examined. It is pleased that when serious issues are being discussed in Parliament and are being sent to our people, men and women, for these serious and demanding tasks, it is being done with due justification and insight. And for that, thank you to all the groups. There is no military solution to this situation, we know that. President Ghani has now taken a negotiating initiative in February in the direction of Taliban, and the first cease-fire proposals and cease-fires may be the solution. I remember well when Mr Heinäluoma was the chairman and we visited there in 2012. That's when they could still live in a hotel. They can't now. I went there again when I was a minister, and the situation has not improved. But how bad would it be without being there? It must be remembered that the Taliban hold almost 40% of Afghan land and the Taliban's goal is to rule Afghanistan in accordance with Islamic law, sharia. In addition to the central management and the so-called ministers, the Taliban is organized into governor-led provinces and groups led by regional warlords. This control system is fragmented, but it has not weakened Taliban's fighting power. In addition, there are more than 20 international terrorist groups in Afghanistan that seek to exploit this fragile security situation and instability. We are also talking about the activities of our neighbours, Pakistan's role is twofold. There is reasonable doubt that they are helping or providing supplies and that they are also enabling Taliban to operate. It is also good to remember that a famous terrorist, Osama bin Laden, faced his fate specifically. In Pakistan before that, I believe he escaped from Afghanistan. It will not be easy, but this is precisely the multilateral international rule-based cooperation that is needed here. The second case is to pick up his gear and run away. By the way, Mr Mustajärvi's speech, but I think that the conclusion was irresponsible.
ParlaMint-FI_2018-06-12-ps-64.u74	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u75	Madam President! Thank you, too, for the good group speeches and support for the government line. Criticism came, as it should be in democracy, and this time from the left. In this respect, I agree with the Left Alliance's parliamentary group that the continuation of the Resolute Support mission should not be justified too much by the development of national defence. Yes, more or less all military doctrines have already been applied for, obtained and put into practice by the Afghan operation — many, for example, even in field medical training in garrison training. And it's a good thing. Therefore, the RS mission is about Finland's foreign and security policy, and we would undoubtedly be more effective in developing Finland's national defence by putting this same money in even if the reservists' refresher exercises, I do not deny it at all than by participating in the RS mission. But as I said, this is part of Finland's foreign and security policy, and it includes not only crisis management but also development cooperation and political engagement in Afghanistan. As far as the reduction of crisis management operations is concerned, they have been carried out in accordance with the Government Programme during this parliamentary term, Mr Mustajärvi. The so-called fragmentation operations have already been eliminated, for example, UNMOGIP, UNDOF and Althea. In accordance with the Government Programme, we have concentrated our participation in more impressive and larger operations, such as this RS and the ORI mission in Iraq, and the largest UNIFIL mission in Lebanon, where we are already in the fourth decade and at present 340 soldiers. In other words, Finland will continue its active participation in international crisis management.
ParlaMint-FI_2018-06-12-ps-64.u76	I'm opening a debate. I would ask those Members who wish to use the reply to press the V button and stand up. I will start with two minutes of speeches.
ParlaMint-FI_2018-06-12-ps-64.u77	Mr President! First of all, the good news: I remember a period of mass murder at Kabul Stadium. The boys played football on the victim's skulls. The bad news is, of course, that today, corruption, still poverty, violence, human rights violations, drugs and so on and so on are being held back in Afghanistan, and everything has been involved, as has been said here, in a number of ways in the nuclear state of Pakistan. The biggest mistake, Mr President, would now be to give in to the Taliban and withdraw from those regions. In many ways we need support measures. Of course, we need a regional political solution. What has been overlooked here, however, is that the UN has decided to give a mandate to NATO, which is only doing the task assigned to it. It is pointless to take NATO as guilty of what has happened or has not happened in Afghanistan. Instead, I would like to ask: while it is important to assume responsibility on behalf of the international community, would it not be possible for the European Union, in addition to this NATO operation under the auspices of the UN, to do something on the civilian crisis management side, which was widely discussed in the recent agenda item and the need to assume increased responsibility as an international actor, to stabilise the situation in Afghanistan?
ParlaMint-FI_2018-06-12-ps-64.u78	Madam President! There has been a commendable debate here on the situation in Afghanistan, and the centre, in its own group speech, wanted to highlight in particular this need to find a political solution and the road map of the future which, in our opinion — and only so — will enable the Afghan operation to be resolved. Military solution, the final solution, is not possible in Afghanistan either. So we have to find the road map. But I too would like to raise the question: what really is the role of the UN in this operation, has the UN done everything in its power, and, as in that previous speech, does the EU have such resources and abilities and skills to resolve such international operations? I am indeed concerned about the situation in Afghanistan. The situation of women and children has certainly improved, but work must continue to be done to ensure that children are able to attend school, and especially on the issue of equality between women. There is also the issue of drug trafficking, which finances important activities in Afghanistan. Should we Europeans also look at ourselves in the mirror, for when we buy those drugs, are we in this way contributing to the bad development of Afghanistan? I would also like to see an answer to these questions. But, in particular, on this road map, I ask the minister concerned: is there such a road map, and is it practically possible to do that?
ParlaMint-FI_2018-06-12-ps-64.u79	Madam President! “ Finnish War Calculator in Afghanistan ” — Headline 15. The President Lieutenant Jukka Kansonen lost his life in an armored mine, an IED. Pekka Jylhä was in the same car, and he was seriously injured, injured for the rest of his life in an ISAF crisis management operation. The security situation in Afghanistan and Kabul remains weak, as the ministers went through in their own speeches, and we have also held this issue on numerous occasions in the Committee on Defence. When the current Minister of Defence, Niinistö, was chairman of the committee, we raised, among other things, this case of Pekka Jylha and concern about how the Treasury did not deal with it. The crown did send his sons but did not care for his sons to the end. In your time, Minister Niinistö, the matter has been corrected and in a better situation and we have a crisis management veteran programme in which we take care of these men and women who are leaving, but I would like to ask you: how has this programme now worked, what kind of insurance cover, and are we still having this debate? It would also be interesting to hear about self-protection in this operation. Finally, Mr President, I think it is important that we carefully consider which operations we are involved in and how many operations we are participating in or whether we are looking for precisely the kind of operations where we are able to be even more impressive.
ParlaMint-FI_2018-06-12-ps-64.u80	Mr President! The fact is that the results of the present presence in Afghanistan are not at all what was thought 15 years ago. This operation has lengthened, become much more expensive, called for much more troops, and the internal development of Afghanistan is not what we thought in the early 21st century. As has been pointed out here, it is now once again thought that some progress can be made by increasing strength. It is likely that the situation can be restored, but this dilemma, which is why we are now going there with more power, will then be re-emphasised in a moment. This was at least my own conclusion when I came to this country and listened to both the citizens and the political influences of the country and then the soldiers who are there. This makes you think about the whole logic of the entrance. Western military power and technology are absolutely superior, and yes, the ground is not a problem, but then the question is: what happens afterwards? The United States has been faced with this same issue in Iraq for the same time now, and this is also the issue of Afghanistan, that it is easy to say the good objectives we have, but if the internal development of that country does not start and there is no national dialogue and no agreement on the basis of it, then these good intentions will be left in the air. Or we must accept that we are permanently present and that we are paying for the troops as well as for development aid on a permanent basis. So, yes, I come to the conclusion that the international community should rethink this strategy for Afghanistan and make a strong contribution to this dialogue and that this increase in military power can only work in such a way as to encourage and help the Afghan parties to reach a common table.
ParlaMint-FI_2018-06-12-ps-64.u81	With regard to this speech by Mr Heinäluoma, I would like to continue: The Afghan truck mechanic and poet Matiullah Turab writes: ‘Oi,the world’s ticket bearers,who assumed that our security name was a threat to peace and security,as well as weapons and ammunition. “ — Puts the time right at the heart of the international community, precisely the speech that has fortunately been made here today on what we can do with a crisis management operation if we do not have an impressive peace process going on at the same time. We need a strong peace process alongside military crisis management operations and we need civilian crisis management to strongly support the security situation in Afghanistan that is currently very weak. I would like to ask the ministers: how do you see this, how can we bring a genuinely stronger peace process alongside the crisis management operation, because it was Taliban or Afghan, and war will not solve it? Peace and peace, a political solution, is the only way.
ParlaMint-FI_2018-06-12-ps-64.u82	Mr President! At the beginning of its term, the Government had the objective of significantly reducing participation in crisis management. The plan was that troops would have been reduced so that in 2017 we would only have had 90-120 soldiers in military crisis management missions. Well, as we know, this has not happened, fortunately. The Parliament has decided on additional funding and military crisis management has remained at the 2015 level for some 500 soldiers. Today, too, we are prepared together to increase the number of soldiers in the Afghan operation. It seems that the government has understood the importance of participating in military crisis management as part of Finland’s foreign policy. Minister for Defence, of course. Niinistö flashed a few weeks ago about cutting out crisis management. So I ask the Ministers for Foreign Affairs and Defence: what is the government's line now? Has it changed its mind since the government programme and wants to maintain a high level of military crisis management, what has it looked like in practice, or is it going to reduce participation significantly, as the Minister of Defence said recently? And do you think it would be sensible to establish a crisis management strategy by means of parliamentary cooperation so that we can avoid cooping and act on a long-term basis over the parliamentary term and together define the type of operations we are involved in?
ParlaMint-FI_2018-06-12-ps-64.u83	Mr President! Somehow I expected a strong taste of guilt, but it's okay. I have tested the resistance to social pressure before, so that it is familiar. You should think about why these problems of international conflict are so deep. There are wealthy countries and there are fragile countries. Quite often these prosperous countries are involved in the situation of fragile countries, and that is not so long ago. Take, for example, Africa, North Africa, the Middle East, Iraq or Afghanistan, where many countries have a very questionable heritage, both in the East and in the West. If you think that there has been war in Afghanistan for at least the last 40 years, then it can be summed up in such a way that foreign soldiers have a watch but the Taliban has time, and it seems to be there. In view of the fact that good objectives are recorded which are acceptable in themselves, and when time and again it has been demonstrated that the objectives set have not been achieved, then new objectives are set and new errors justified. And here I am using the wording that I have said on other occasions before that naïveism is not an idea, even though it is at the end of the word. Not to be fooled indefinitely by the fact that if you declare all possible good things, they themselves become real. But there's a war going on in Afghanistan, isn't there? On the other side there is not a UN force, but a NATO-led force, although there the UN decision is the basis. But let me remind you of what the Committee on Defence has said four years ago in its own opinion. It says: ‘The committee considers it important that,after the end of the military presence inAfghanistan, an evaluation process is being
ParlaMint-FI_2018-06-12-ps-64.u84	Värderade fru talman! Trots att processen är utdragen och har stött på många motgångar är det nu skäl attdra sig till wheres de massmord och den barbari som hotade Afghanistan, och säkert större områden, med Talibanerna i spetsen när det begav sig.
ParlaMint-FI_2018-06-12-ps-64.u85	Mr President! In my reply, I will address development cooperation and development policy, and in my actual speech I will talk about military crisis management. This government report shows that Afghanistan has become the most important partner of Finland’s development cooperation. I remember very well the decision-making of Vanhanen's second government. There was an increase in the number of troops in Afghanistan, and the Minister for Foreign Affairs and Defence put pressure on the then Minister for Development to give more money to development cooperation as well. The then Minister for Development refused to do this because it was found that this was not justified in terms of the quality of development cooperation. Afghanistan is a very difficult environment for development cooperation. It is difficult to go there with the Finnish forces and to give money to international organisations. It's hard to even monitor what's going on in there. Effectiveness is weak. That is why I was opposed to an increase in funds and not an increase in them. But since then it appears that there has been another line, and it has been given to these political pressures. I do not think that this is good development cooperation, that as much of Finland's money is spent in Afghanistan as it is spent. I hope that this aid to Afghanistan will be examined in the course of the report as part of Finland's wider development cooperation and development policy, and that it will be considered whether and how this should be done in the future.
ParlaMint-FI_2018-06-12-ps-64.u86	Reply, Minister Soini, three minutes.
ParlaMint-FI_2018-06-12-ps-64.u87	Madam President! Mr Pakkanen asked about the role of the European Union and what has been done and thought about it. The European Union has renewed its Afghanistan strategy in 2017, including four priorities: first peace, stability and regional security; second, democracy, the rule of law and human rights; third, economy and education; and fourthly, migration. The EU's annual funding is EUR 200 million. This is the fact. But then, if we think about this big picture, it is of course a regional picture. It's also a picture of the Muslim world. The Sunni Muslim-led Taliban. It's about power. It is also a matter of many parties — drug dealers, arms dealers — benefiting from this situation. There are a large number of actors who want this to continue, because they benefit from it, they spend money on it, they use violence to help them. But if we have spoken before this about what international rule-based cooperation is, then I cannot come to any other opinion than the experienced Member of Parliament, Ilkka Kanerva, who said here: the UN has given a mandate to this action. What is the larger mandate than the mandate given to this activity by the World Organization? And really, mass slaughters have taken place in the football arena in Afghanistan. Is that what we should watch while we have an international mandate? We can't do that. We cannot be numb in the face of this disaster. But the world is evil, there are not always optimal solutions, and when there are no such solutions, you have to be involved in making things more bearable, and that is the line of this government. You also have to think that every girl who got into school, every child who learned to read is better than no one could have learned and no one could have gone to school.
ParlaMint-FI_2018-06-12-ps-64.u88	We will continue with Minister Niinistö's answer, three minutes.
ParlaMint-FI_2018-06-12-ps-64.u89	Madam President! Representative Heinonen brought up a sad memory of the days of the ISAF operation when Jukka Kansonen died of an IED bomb and Pekka Jylhä was seriously injured. We must not forget these sacrifices that have been made in this operation and in other operations. And it is true that the Treasury was clammy at the time. The situation is better now, at least as far as the opinion of the organisations is concerned. I understand they have been satisfied with this programme of crisis management veterans, and the level of this insurance cover has also been reasonably satisfied.
ParlaMint-FI_2018-06-12-ps-64.u90	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u91	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u92	We will continue the debate with a 1 minute response.
ParlaMint-FI_2018-06-12-ps-64.u93	Mr President! Surely it is justified to send advisory troops and self-protection to Mazar-i-Sharaff, a familiar Finnish region. The perspective of Afghanistan is not very flattering. Unfortunately, the security situation has deteriorated all the time. If you think about it from the perspective of Finland and Europeans, of course, the risk of refugees and the introduction of drugs into these areas is a clear reason why we also have a personal interest in getting things right in that area. Crisis management is needed, civilian and military crisis management, both sides are needed. At the same time, however, we must seek a political solution more forcefully, starting with the fact that the export product may not produce any results there, but that it must be found on its own basis as a regional political solution. What it is, exactly, is different. It's a local negotiation. But in any case, support is a political solution, because it may be more durable on the long run than living on weapons.
