ParlaMint-RS_1997-12-29-0.u44	Injury of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u150	Thank you. Since we're on the verge of committees that are so-called. I think we should take a break, use it for dinner, take a break until 20.15 and 20.30, respectively. And I ask the parent committees to hold their sessions immediately and consider all the materials. I say, parent committees, but if other committees can do that, I mean. If they can make it, it would be desirable. [[After break at 21.10 p.m.]] I suggest we get back to work. Before that, I ask professional services to determine the quorum. A total of 167 MPs are present in the hall. We've got a quorum and we can keep working. The parent committees have finished, and some committees that have managed to finish their work in the session will give us their views. National MPs Tomislav Nikolic, Stevo Dragisic and Milovan Radovanovic issued an opinion at the session of the Legislative Committee. Do they want a word? Yeah. ) There is a word from MP Milovan Radovanovic.
ParlaMint-RS_1997-12-29-0.u152	Ladies and gentlemen of the People's Parliament, as a member of the Legislative Committee, I have issued an opinion on the draft of certain laws that are on the agenda tonight in this House. Namely, what it's about. I can't get rights out of law enforcement. We cannot on the Legislative Committee, whose conclusion I did not agree with, determine certain amounts of the law on the budget for items, or divisions that we do not know are legitimate and that the law should exist as they were made. Section 1 envisions a salary of three million and twenty-four thousand dinars for 1998 for the president of the Republic of Serbia, i.e. for the Office of the President of the Republic of Serbia. Now we in the Serbian Radical Party have countless evidences that just the inaugurated president of the Republic of Serbia in this assembly, of course without the presence of radicals, by the will of the Socialist Party of Serbia and their specific helpers, the candidate of the Socialist Party of Serbia, allegedly became president of the Republic on formal grounds. However, we have evidence in the Serbian Radical Party...
ParlaMint-RS_1997-12-29-0.u153	Mr. Radovanovic, please talk about the budget.
ParlaMint-RS_1997-12-29-0.u154	I'm talking about division one. - President of the Republic.
ParlaMint-RS_1997-12-29-0.u155	Be nice and talk about the budget.
ParlaMint-RS_1997-12-29-0.u156	Mr. President, I am talking about the division of the 1st-President of the Republic of Serbia and regarding this division, I have only singled out an opinion on the Legislative Committee, and I want to explain what the conclusion of the Legislative Committee is, and in my opinion, is not based on the law and legal order of this country. We in the Serbian Radical Party have evidence that the Socialist Party of Serbia candidate did not win the necessary majority in these elections, or the Socialist Party of Serbia and their representatives on election committees, especially in Kosovo and Metohija, stole 285,000 votes...
ParlaMint-RS_1997-12-29-0.u157	Mr. Radovanovic, I'm asking you to talk about the budget.
ParlaMint-RS_1997-12-29-0.u158	I'm talking about the budget.
ParlaMint-RS_1997-12-29-0.u159	You're not talking about the budget. You're talking about things that have nothing to do with the budget.
ParlaMint-RS_1997-12-29-0.u160	I'm asking you to let me finish. So neither does the candidate of the Socialist Party of Serbia get this number of votes, nor has the president been legitimately elected, and the draft budget law provides for an analytical conto 9100 of three million and twenty-four thousand dinars for the president's cabinet's salaries, and that part includes a certain portion of it, a certain amount of salary. That is why we single out the budget law for someone who is not a legitimate representative, legitimately elected president of the Republic of Serbia. Furthermore, on September 21st this year, there were countless illegal actions the same as the representatives of the Socialist Party of Serbia related to the directing and counterfeiting of election results, which is why we from the Serbian Radical Party objected to the Republic Election Commission, the Supreme Court and the Constitutional Court of Serbia, but without any positive results, although we have incontrovertible evidence that we are right and that countless injuries have occurred...
ParlaMint-RS_1997-12-29-0.u161	Mr. Radovanovic, September 21st has nothing to do with the budget.
ParlaMint-RS_1997-12-29-0.u162	Section 4. The Constitutional Court of Serbia is also scheduled for the work of the Constitutional Court of Serbia to be set aside for the salaries of two million and three hundred and eighty-four thousand dinars, which I, in the Serbian Radical Party and myself, as an MP of the National Assembly of the Republic of Serbia and as a member of the Legislative Committee that has set out its opinion, would not mind that the Serbian Constitutional Court judges under the constitution and the law of this country, are tried on the basis of material evidence, where it applies positive legal regulations. He doesn't do it and every penny that separates them, and doesn't do their job, doesn't respect this country, this people, these citizens, don't respect this legal order, he's in vain taken from the citizens, from the mandatory public incomes and given to them. In that sense, I, Mr. President, have singled out my opinion and have not strayed from the agenda.
ParlaMint-RS_1997-12-29-0.u163	Thank you. Does Mr Tomislav Nikolic, who singled out his opinion, want a word? He wants to. )
ParlaMint-RS_1997-12-29-0.u164	Ladies and gentlemen, MPs, one of the most important laws to be passed in the National Assembly during the year is the budget law. Unfortunately, the draft budget law has been submitted by the government whose task has been since the election of a new National Assembly meeting until the moment the new government is established exclusively to carry out technical and administrative tasks. Unfortunately, in the Republic of Serbia, three months after elections for MPs have been made, we do not have a constitutional government of the Republic of Serbia. Unfortunately, at two o'clock before the end of the Second Regular Session, we are still at the beginning of the debate on the budget, the most important law to be discussed, whose material we received this morning. What can a man quickly do in a very shrewd material, as in the last two years delivered to the MPs, from whom much cannot be seen, what can he conclude? First of all, it's about the inflationary budget. It's quite clear that you started predicting loans again, and you know where it took us in 1992 and 1993. This government is a bad host. The government does not pay salaries to those financed from the state budget. With this host called the Government of the Republic of Serbia, education, health, judiciary, military, police, pensioners, peasants, children are at risk. Is there a category of citizens that I didn't count? This government doesn't pay back the debts it owes to its citizens. The government predicts loans on the money market. And you know how it goes when big money shows up, the powers of the financial mob take it out into the street, turn the foreign exchanges, and then pay what's supposed to be paid out to people who expect salaries from the budget. There were very few amendments to the draft budget law, and how it could be an amendment when we got the material this morning, we started working on this session on quite another matter. This as a sin to the government of the Republic of Serbia, because it really continues to undermine the MPs and the National Assembly of the Republic of Serbia. The government could have gone on temporary funding. What tonight will force, pull back, with an hour on the wall to vote, is not the budget of the Republic of Serbia. Looks like you wrote it so quickly, how quickly you suggest it be adopted. There's a lot to talk about in terms of divisions, but it's not our place to get involved in how you spend the money you collect. We tried to do this earlier years, to warn you that there are many who were put on the budget by these laws in 1945, and from then on, uninterrupted, and now their sons or grandchildren are on that budget. Money is spent unintentional and non-domestic. That's why Serbia is sinking more and more. The prime minister's exposés did not say anything about whether or not this Serbia will begin to deal with it, but rather about the fact that through taxes and excise duties, some of the funds will be allocated to the citizens on the basis of the government's obligations. There's no one left to take taxes, no excises, no contributions. It's just -- it's all in the way. And what can be done is done by people at the top of the SPS, and there's nothing for the people. The industry has completely stopped, no basic system issues are being addressed that would fill the budget. You can convince us here that you have balanced the budget that everything will come from real income, that there will be no inflation, that you have reduced the cost to zero, but when the car factory in Kragujevac doesn't work, I don't trust you anymore. If a car factory can't produce 10,000 cars this year, it's free to talk about the budget here. One city dies, and with it and all the other great cities. And you're going back to the way you were. You're even predicting funds for the Constitutional Court's work and there's no man who wouldn't support it. Every state needs a Constitutional Court. The Republic of Serbia doesn't need a constitutional court like this. Let me remind you... (The President - Time) You might want to take a look at my corsage fingers, Mr. President, according to the Rules of Procedure, as head of the parliamentary group. Let me remind you, in 1995, MP Jovica Stojmenovic and I were illegally arrested on the street, sentenced to two months in prison. The Constitutional Court of the Republic of Serbia held a session during our blackout, at which the judge - rapporteur said the Administrative Board had no right to change the Assembly in extraordinary sessions and to remove immunity from the MPs. There was even a proposal to put aside the administrative board's decisions and the Rules of Procedure immediately, which would mean that Jovica Stojmenovic and I would get out of prison immediately. It's been two and a half years since. The Constitutional Court no longer considered it. He didn't even sit on it. If the Supreme Court of Serbia has resolved all objections and complaints from the Serbian Radical Party about the regularity of the course of elections in just half an hour, most likely this morning, before the session, that means that you have brought the judiciary down to the lowest possible branches. And from the lowest possible branches in the judiciary to the Javaljuk and the lawlessness is just one step away from us. The Serbian Radical Party, of course, will not vote for this budget, as you are trying to settle with this budget some items that the Serbian Parliament and the Serbian Government should not settle by law. It is the dispute in the Belgrade City Assembly over an additional 3% tax on all goods sold in Belgrade's territory. If the Belgrade City Assembly said it did not need it, why now, suddenly, the government of the Republic of Serbia appears as a proposing and even an amendment to one of the MPs to make it a commitment. Serbia doesn't know better than the Belgrade City Assembly what it needs and what it doesn't need. It makes a precedent and opens a box of evil. Next time you're going to cut your income somewhere, you're going to increase it somewhere, you're going to simply ignore the local self-government assembly because that's how it suits you at that point. And those who vote today for legislation to regulate relations in the Belgrade City Assembly may well consider whether tomorrow or the day after tomorrow they would have to object to such a way of resolving the problem, because the Republic of Serbia is going to hit some municipality in which they are in power, so it will reduce their income. On the other hand, again as every year, because there is a Law on City Financing, amendments are being proposed to increase the allocation rates for certain municipalities. And that's where almost all MPs are at risk and everyone would suggest a higher rate for their municipality. There's even the government and the opposition, just the MPs want to say the next day in their town -- I've asked for more for our city, but she hasn't given up the congregation majority. It's bad manners. Members of the ruling party must not give such amendments to their government. Or to ask for a change of government. We're simply entering some absurdities that no longer know who the government is and what is part of the opposition. The Serbian Radical Party as an opposition party will vote against this draft budget, but, you know, it's a big problem that the budget from the moment we received the material until the time of the vote comes down to 10 o'clock. In those 10 hours, we'll have an hour or two public debates over the budget. It is a manner in which the people's will and the people's congregation are annulled. That is why we are against this budget and that is why we have singled out opinions on all the committees that have already been established and in which we are members.
ParlaMint-RS_1997-12-29-0.u165	There is a word from MP Stevo Dragisic, who also issued an opinion.
ParlaMint-RS_1997-12-29-0.u166	Ladies and gentlemen, a session of the Belgrade City Assembly was held Thursday. The session discussed a proposal by the Belgrade City Assembly's Executive Board to launch an initiative to introduce a 3% fee again. The explanation was this -- the City Assembly was to adopt a conclusion proposed by the City Government. The conclusion was to propose to the government of the Republic of Serbia to submit this assembly a bill allowing the City of Belgrade to reintroduce a 3% fee. Following the adoption of the bill in this assembly, the City Assembly should meet again and make the appropriate decision. This was the explanation of the Executive Board and the path they wanted to do so. That was quite right. The representatives of the Serbian Radical Party have not disputed the way the Executive Board wants to re-introduce a 3% tax, but we resented that it wants to introduce that tax at all. The decision by the majority of councilors in the City Assembly decided not to initiate the initiative. The initiative failed at the beginning. And, then, today, in congregation materials, however, a bill appears which was submitted by the Government of the Republic of Serbia to allow the city to introduce this tax. It explains that this bill is adopted on the initiative of the Executive Board. So, the Executive Board took the authority of the City Assembly into its own hands and even violated the decision of the City Assembly, the will of the majority in the City Assembly. The Executive Board, as the name itself tells it, is the executive body. He executes the decisions of the City Hall, does the will of the City Assembly. If the City Assembly decided that one tax does not need it, that the citizens do not want to impose a new impose in Belgrade, then the Executive Board should not violate the will of the assembly. He had to agree with the opinion of the majority in the congregation and simply give up on such an intrusion. However, the next of all its own interests, political interests, the Executive Board of the City's Assembly suggested to the government, on its own behalf, that such a point be found today on the agenda. We agree that the municipal systems in Belgrade do not function, that public urban traffic is completely under collapse, that poor heating in Belgrade, that water supply is desperate, but that citizens should not pay for their own government's incompetence, but should give them the opportunity to choose a new power, able power, which will be able to provide funds from existing resources, to reconcile all these needs in municipal systems. Earlier, the assembly allowed the city to have that tax, but then the Socialist Party of Serbia ruled Belgrade. Nebojsa Covic was mayor. Understandably, they cover the inability of their own staff, by burdening the citizens of Belgrade, but we do not fully understand why today the Socialist Party of Serbia allows the Serbian Renewal Movement to cover their incompetence? I think we'll get an answer to that question very soon. On the other hand, an amendment has also been proposed by the President of the Executive Board, the amendment is even worse than the government's proposal itself. And worse yet, that amendment has been accepted. The amendment stipulates that it is now not going back to the City Assembly, because it is obvious that the will of most of the City's Assembly is completely different from the will of those who exercise power in Belgrade, but is predicted to collect a 3% tax by direct adoption of this law, neglecting the full will of the City Assembly. If the City Assembly said we don't need a 3% tax, we don't want to burden the people of Belgrade with that 3%, how is it possible for the Republic to impose that obligation anyway? If the city had not had enough funds, then the percentage of Belgrade's traffic tax participation could be increased, as it is now 7%. It could increase to 10%, increase the amount of funds that the Republic transfers to the city, because it is still taken from the taxes that citizens pay. Why should only the Belgraders be burdened with some tax to cover the incompetence of their own government?
ParlaMint-RS_1997-12-29-0.u167	Thank you. There is a word from MP Igor Mirovic.
ParlaMint-RS_1997-12-29-0.u168	Ladies and gentlemen, I'd like to make some principled remarks on the draft budget. First, it is politically immature and even cynical that the government, chosen by the National Assembly's assembly, no longer in operation, proposes a new assembly of the National Assembly's income and expenditure plans for next year. It was much smarter, more politically correct and rational to pass a law on the temporary financing of the Republic for the first quarter of 1998, with the new government calling this one to the National Assembly, according to its projects, according to its economic, political and all other definitions, offering its vision and its draft budget. This is a kind of precedent, but this is the precedent that best speaks about political status and the political analyses of those who have proposed this proposal. Secondly, I think that the projection of income, based on the forecasts of the Government of Serbia, really unreal, sets out that the growth of national income and all other parameters such as: industrial consumption, industrial production, price growth on a small scale, etc., are so unrealistic that they are not taking into account some real analysis, relatively independent economic circles, which talk about much smaller percentages, but about the percentages that the Government of the Republic of Serbia takes as real. Thirdly, and I have really talked about this on the Committee on Finance, as MPs, we can no longer tolerate expenditure items and divisions, which are in some way unreal and uncircumcised, unclear. There are almost every ministry of items that talk about special purposes, about some planned projects, in a certain way, clouding what is the essence of budget spending for the Republic of Serbia for 1998. For example, the Ministry of Sport in its department has a sum that is related to the construction of sports facilities at schools, and that we do not know at the same time what schools, in which part of the Republic, is the amount of investment for each school, therefore, for every sports facility that is built for that school, etc. I am absolutely against it, that, apart from the Ministry of the Interior, in any other section, there is an amount that has been determined for special purposes. We already have to clear up once with special purposes in all ministries and with the powers of ministers to distribute funds without the knowledge of the National Assembly (I limit myself only to the Ministry of the Interior, but even here I think that the Committee at a closed session can and must have insight into the cost of the ministry and all that the ministry intends to do under a sentence - special purposes - to obtain, invest in the Ministry of the Interior this year). For these reasons, I cannot accept the 1998 draft budget. And not only for these reasons, the eight points that lie ahead today talk about a completely unconsistent programme, which is represented by the Government of the Republic of Serbia in this area. Under the eighth item of the agenda, if I am not mistaken, you have even a proposal for a law on social security contributions, which is related to the construction of a hospital, in one city in Serbia, it doesn't matter in which city, so much is the programme and so much is the plan of income and expenditure inconsistencies, vague and practically brings every MP before the dilemma. I don't have that dilemma. I've defined myself, and I certainly won't vote for the draft budget for next year. The Serbian Radical Party advocates a completely different tax and budget system in the country. We are in favour of tax cuts, of all species and of all kinds of taxes, of spreading the tax base, and of reducing the tax rate. All the country's revenues must be contained in the budget plan, as well as all expenditures of the country, which must also be contained in the plan of the Republic of Serbia's budget. That is why I cannot accept that we have hundreds of types of income and hundreds of kinds of expenditure, which are not shown at all in the Budget of the Republic of Serbia, but are shown in some other plans, in other government programmes. It's clouding the situation, it's running away from reality, it's trying to put MPs in a certain way before the final act, not to talk about how we almost a few hours before this budget review get the draft budget. The most important act, the most important law of this congregation, we're considering completely unprepared, we're looking back at the application. That's what we need to break up with. I hope that we will finally abandon the practice of talking about such important laws in the way that the Government of the Republic of Serbia has served us.
ParlaMint-RS_1997-12-29-0.u169	There's a word from MP Jorganka Tabakovic.
ParlaMint-RS_1997-12-29-0.u170	Dear colleagues, first of all, I must express my exceptional dissatisfaction with the fact that I am getting a telegram on Saturday night, where the first session of the Second Regular Session is scheduled in three afternoons, where the first item of the agenda is the republican budget and following the laws. Since I've been in this assembly since 1993, as an economist, it's simply that one of the most important reasons for my presence in this room is this law, to which tax bonds, i.e. to all citizens, we put our hands in the pocket and give the legitimacy to budget users to spend that money. We here as 250 responsible people should give legitimacy to someone's needs, not privileges. In order for this to be done responsibly, the only way that I, as an MP of the SRS and my colleagues can do it, was not enough time, because at 10 o'clock to take over the material, and at 21.40 o'clock to discuss it, it's really not easy. However, since nothing had changed, it was not very difficult for me to examine this material. As so far, the unrealistic assessment of the social product contributes to seeing this budget as something that does not exceed 50% of the total social product created, which is redistributed by the will of the ruling party, or the ruling coalition. The social product last year was estimated at around 100 million. However, it is very skillfully avoided to say how much it has been accomplished. I don't want to argue with anyone in this room as much as the achievement of an estimated social product, because I'm going to be in a awkward situation for my colleagues on this left hand side, from the left coalition to admit that a large part of the social product is out of the legal flows, and as such it's impossible to cover it with these figures, which are contained in the budget. That means, there's no man and I'd give him a reward, which knows what a social product really is, and it's certainly not the 100 million, so over it 10%, on the basis of which we claim that participation in public spending is reduced. All that I argued about with Mr. Vlatkovic, the former finance minister, remained in force and day-to-day. Let's start with the arrival. If you, on the revenue side, predict only 340 million from the company's profit tax, if the tax is 25%, it means that you admit that only around 1,300,000 profits are generated in this country. Why do you allow and systematically allow a very large amount of social product or profit and profit to remain out of taxable flows, outside the channels? I don't think we should go through the state, which is going to make a lot of our income, based on which they're going to Alimentate Budgetary Users, based on personal income tax, which is minimal and all of you who are receiving your salary here may not know, but you know from your neighborhood that these salaries are about 200-300 and 500 dinars. There's hardly anyone who can boast of a 1,000-dollar salary. They're all taxable and five years ago we're saying that the tax and income ratio is 1:1 and he's still not. You're still giving us the "Other Incomes" item, which mentions some number of 732.420,000 inexplicable. I repeat, and don't hate to repeat it the sixth time in this room that you can't unexplainedly give us income, no matter how much we justify ourselves with a new plan. Because that's where the rent-in income comes from, the state of Serbia, the Republic of Serbia's boss. This is all that is charged from the execution of criminal sanctions in the criminal proceedings, means confiscation from such proceedings, as well as interest on deposits in view of public funds of the budget. Why am I saying that this time an extremely large number has remained out of sight and reach? If in a small town like Kraljevo there is a general problem, if such budgets are moving from Jugobank to Delta Bank, because on them the interest is 2.5% a month, why didn't someone show us here? So he reduced this amount by almost 50% compared to last year's. It's an extremely large income. So, you plan not to have any criminal sanctions or any more of the assets you're renting, so that you can comment on budget users' needs. So it's unacceptable to leave this kind of income unexplained. And another thing, double budget policy. The one that's in the public eye and the MPs and the one you're really leading, that's our reality. I was accused by Mr. Vlatkovic that it is not true that the deficitary budget is being financed. I'm saying it today. The proposal, which you have before you, speaks of 303 million debt, which is due back, which has been extended by the federal budget law and this law since 1993, since I was in this assembly this time until 2002. Don't act like unsolicited debtors and unfair people, saying you're funding real-source budget users, because that's just not true. And this paper shows no matter how late we get it.
ParlaMint-RS_1997-12-29-0.u171	There is the word of the People's Messenger, Živorad Tiosavic, and let the People's Messenger Milan Mikovic be prepared
ParlaMint-RS_1997-12-29-0.u172	Ladies and gentlemen of the People's Parliament, you know I don't usually bring any papers for a pay phone, because I can remember about as much as it takes to remember, but this time I'm forced. On several occasions today, I have tried to animate the President of the Assembly to give me the floor, to show him that the First Session of the Second Regular Session has been scheduled for an irregular, or illegal manner, in breach of the Rules of Procedure, because he called on Article 82, paragraph 1, where it is said: The President of the National Assembly sets out the day and hour of holding the National Assembly session with a proposal for the agenda at least seven days before the day for which the session is convened. I got a call on the agenda on the 26th and, as far as I can count, from 26th to 29th has exactly three days, Mr. President, not seven days. And why is this minimum of seven days foreseen? So that we MPs can prepare ourselves, so that we don't go out for this pay phone to improvise, especially on such important legal projects as the Republic of Serbia's budget. What if I'm talking about the budget now, when I'm not, I have to admit to both the viewers and the listeners, because I hope this is going on tonight, and I haven't been able to read it, not because I'm lazy, but I just haven't had time, because this important document was delivered to me a few hours ago. I'll talk about this budget with two aspects. About 15,900,000 were scheduled and I tried to translate it into dollars and that amounted to $1,830,000,000. Since the budget of a state has mirrored the country's economic power, my patriotic feelings are greatly injured by this amount. I don't know if there's a country in Europe that budgets smaller funds, including Andorra, San Marino, Liechtenstein and these other smaller states, or the least countries in Europe. That's one aspect of this budget. The second, which represents the paradox, is that these are also unreal assets and unfortunately I don't see a taxpayer, or a group of taxpayers in this country who can fill this revenue side of $1.830.000,000, because everything that could have been drained has been drained, and you know who's been in power for the last 10 to 50 years. If one of your former Prime Ministers, it seems to me his name was Radmilovic, a man to vividly explain what was waiting for him as Prime Minister in drawing up the budget, the economic situation in his time in this same country was called dry drenovo, alluding to the famous epic song -- where only Kraljević Marko was able to squeeze a drop out of that dry dreno. The current economic situation, I find it difficult to admit as a Serb and patriots, is even more difficult in this country, so also Musa Kesedjia could not help him now, which is that he is once again known from an epic song as an even greater hero than he is. The presidential candidate and federal foreign affairs minister freed the farmers' pre-election tax campaign for 1994 and 1995. If I had been his advisor, I wouldn't have advised him to release taxes in this country, but poverty. The aim of the government is not to free its taxpayers from taxes but from poverty.
ParlaMint-RS_1997-12-29-0.u173	Time.
ParlaMint-RS_1997-12-29-0.u174	What a time.
ParlaMint-RS_1997-12-29-0.u175	It's been five minutes.
ParlaMint-RS_1997-12-29-0.u176	It's exactly time for taxpayers to stand on their feet in this country. That we can take moderate taxes from them, and that time will come when Serbian radicals come to power.
ParlaMint-RS_1997-12-29-0.u177	He has the word Milan Mikovic.
ParlaMint-RS_1997-12-29-0.u178	Mr. President, ladies and gentlemen, the proposed budget is real and not real at the same time. It is realistic if in the first quarter of the coming year there is a full return of Serbia and Yugoslavia to the international community, which is not fully respected by all the provisions of the Dayton Agreement, the harmonic relations between Serbia and Montenegro, as well as our decisive moves that, in a democratic manner, only within Serbia, we approach the removal of dangerous tensions in Kosovo and Metohija. If we go this way, to which the SPO insists, if we approach the root democratic changes in the political and economic system, then the inflow of foreign funds and capital, by training the majority of businesses of all sectors, by developing primarily small and medium-sized enterprises in the country, by fast recovery of agriculture and by money derived from privatisation of the state budget, will be filled and income growth will occur in the budgets of municipalities and cities. However, unless all these urgent changes, which are in our national and national interest, are due to follow the budget, will be unrealistic and too short to reconcile the growing social misery, and there will be no speech on the progress of the economy and new investment. In any case, our first-class concerns must be socially endangered categories of population and maintaining the basic functions of our municipalities and cities. Today we have to share poverty, so every scale is poor. It connects to creating conditions for the production of wealth and the distribution of wealth with a new, wise and responsible policy. This morning, we voted on a whole series of proposals, to put them on the agenda of the proposals for certain laws. We have encountered one serious resistance from a part of the MPs. Laws have been proposed beyond the budget, which have one, two, three, four members each. So it is clear that the problems of the budget can really look for something that we could say -- it is a short time for us, and it is a short time for all of us, but with regard to these laws, which each one in particular is in the service of that, to reach a greater amount of money, to meet certain needs absolutely of particular importance. The law on the use of the agrarian budget has one very important thing, as it sets out in its provision of Article 2 - that the National Assembly, rather than the Government, will decide what will be used for a certain amount of money that is due to the court in law. Under the second law, on the participation of municipalities and cities in sales tax in 1998, it is directly questionable to the functioning of almost all our municipalities, almost all of our cities, and this is a question of existential interest for all environments and for all of these people living in that area. The next law is the law that was mentioned here, the Law on the Amendment and Completion of the Excise and Transport Tax Act. Please, in that respect, there's been a full explanation. It is 3% that have been mentioned here, where it is explicitly stated that it is not something that is related to a particular city, but that it is something that is approved under a special programme that gives consent to and the Government of the Republic of Serbia. The next law that was pointed out is the Law on Income Tax. Is it not important whether, at the moment when there are no conditions, it will be required and requested to pay the annual income tax to citizens when these conditions have not previously been met. (The president warns MP Mikovic on time. I'll finish right now, and I'm the head of the parliamentary group, so I can use my right. The next thing is the issue of amending the Law to a special republican taxi to tobacco processing and alcoholic beverages, where opposition is also expressed to expanding the law to the next year. This is where funds are to be made to represent the source of the income of the Republic Fund for Pension and Disabilities Insurance of Employees and the Republic Fund of Farmers. Whether these are irrelevant things, whether it is an irrelevant thing for the people of the Kings, whether they will have the opportunity to complete the construction and equipment of their surgical hospital, for which there was so far a law and for what it is now sought. Therefore, it was extremely serious laws, it was something that touched the existence of various environments, various people, various citizens, and in such a situation we cannot interpret any other fact why there is opposition against the bill we have mentioned and where there is talk of the Law on Excises and Sales Tax from these in Belgrade territory. Well, are we ready to be against Belgrade, against the citizens of Belgrade just because we are against the Serbian Renewal Movement.
ParlaMint-RS_1997-12-29-0.u179	Thank you. There is a word from the Messenger of the people, Radomir Djurdjevic, and let the Messenger of the people be prepared, Zlatan Perucic.
ParlaMint-RS_1997-12-29-0.u180	The Serb brothers, the Serbian sisters and all the others that you represent honorably and congratulating your national community, Mr. President, if the form of voting is restored by a 1945 deadlock, the most logical next event is that a measure of voluntary ransom is expected. It's the only name for this way of affecting an out-of-work people, who's completely disabled, who's impoverished and who can't really support budget-privileged individuals and groups anymore. We, however, are constantly being set up here by a diversion and a mimicry of discussions on all key issues. No one is against hospitals, on the contrary, they are in a sad state. No one is against schools that are in tragic condition, kindergartens and all other public and cultural institutions of this people. On the contrary, all we care about is the reverse logic of getting out of all these problems. It's not about seeing things differently. We've clearly all graduated 50 years listening to parole and we know that one situation is completely decommissioning, representing a false painting and a false essence. The fact is that countries of developed democracy, which are often called precisely by representatives of political groups who would want to adopt the budget here over their knees, discuss the national budget for a month, measure every dinar of savings, every dinar of income, measuring each expenditure. We're facing a situation where we have to adopt over our knees, we're simply holding ourselves hostage in this room, we're constantly covered with paper, like there's some secret printing at the base of this building. It's just that everything that's going on today is for Giniz's record book. When the material was delivered to us half an hour before this congregation began, a step further in this decision - making technique, and it was very innocently suggested that a five - minute discussion would be sufficient. If we follow the essence, the debate in such a way, and the adoption of the budget in this way, it is really superfluous, except that as people, we wash our conscience. I'm just wondering something like a man -- that's a word that could boost our collective conscience today; that's a word that could mobilize our morale, that we don't think one thing and do another. There's no fact here that we see the situation differently. There's a difference in the character of setting up for this problem. Could this interpartial discipline, which is nothing more than known Broz's democratic centralism, completely discourage us from every good intention, to betray not only our own voters, but our own and our own offspring. That's why we need a decent voice today -- that a man would say he didn't want to vote for a budget like this, that he didn't want to vote for a new grip in the pockets of the outcast people. That's the aspect, and that's the technique that's forced to make that decision, baptizing, of course, the Rules of Procedure itself. I think any other analysis would be excessive, she can't even show up in five minutes, anyway, and I don't know how long we've studied this Rules of Procedure. They say this is a century of absurdity. But if someone were to underline the absurdities of these positions offered, they would indeed be tragic, tragic in our time, tragic in our conscience, tragic in our future. (The President warns on time. ) Thank you, I think my exposure was shorter than the time allowed.
ParlaMint-RS_1997-12-29-0.u181	Thank you. There is the word of the Messenger of the people, Zlatan Peru, and let Nenad the Chanak be prepared.
ParlaMint-RS_1997-12-29-0.u182	Dear Mr. President, ladies and gentlemen, the Finance Committee has mostly voted in a very constructive debate, correct and tolerated, to adopt the budget law and the accompanying laws. A few words to say since the debate is in principle. Inflation is a bad ally of every government, every state, every opposition, every MP. The recession is also a bad ally of every government, every state, every opposition, every MP. The balance is a problem that always belongs to the discussion on this subject, the balance of budgets between income and expenditure, not to make burdens bigger, try to create an ambience for the economy, society can function better, try to meet the law of obligations acquired, found, for which we all in our parliamentary activities advocate to be implemented. It's all something that's talking about it. Whether speed is sometimes good or bad, ugly or better than temporary funding, for example, which is also possible. At this point, the Government of the Republic has tried and made an effort to offer MPs budgets and accompanying laws. It is my personal opinion that this is still less evil and better than going into temporary financing, that we therefore need to create an environment that we can during the year, when we evaluate it and if we evaluate it, change it the way MPs do in order to be changed, depending on the real possibilities and realisation and on what businesses and citizens are looking for. It's important to create an environment for a complete and stronger entry into reforms, into everything that we say here as an economic, budgetary, financial environment. If there's anything I'm worried about, it's to evenly deploy the burden. What I was worried about was what the minister was talking about, he said eleven salaries, ten or twelve percent more without an increase, and the thing got tense. If it is so tense as a budget, then it means that it is necessary to achieve everything possible for the beneficiaries of the budget that arise from the law, from pensioners, social, police, health care and others, to be able to finance it financially without burdening it more than the economy and society so far. According to what is the assessment of most of us in the Financial Committee, the budget has achieved this to the extent possible. It's not inflation, I hope it's not the other one either. Let me say one of my own personal visions and opinions, and it's about something I wouldn't say again and come out as an amendment. Political relations in one assembly, specifically in the Belgrade City Assembly, do not always have to be relations that are of the greatest interest to all citizens of Belgrade at the moment. As a Belgrade-born citizen, I must say that I am sure there is no political party in Belgrade, a citizen of Belgrade who will not say that Belgrade is in crisis from the point of view of municipal infrastructure, that this is probably a difficult legacy, a small amount of money, an expensive city, etc. Belgraders need to try to make something better. I hope the Belgrade City Assembly does. Do something better, and I have to tell you to do something even. On the contrary, only an increase in the price of municipal services burdens only the category of citizens. The communal tax burdens a slightly wider circle and those who have the privilege of having their headquarters in Belgrade and those who have the privilege of selling in Belgrade. It's a privilege in a two-million-dollar town to have a firm, work, sell, trade, etc. It is good and correct that we try to enable citizens of Belgrade, not only them, but practically all those who use this privilege in Belgrade, to try to provide better traffic, better water, a slightly better municipal infrastructure, which is expensive in every major city. Finally, we have accepted the assessment of the government of the Republic of Serbia that at this point a possible blockade in the City Assembly itself should not burden the fact that everyone also thinks that the citizens of Belgrade need to make this possible. Once again, Mr. President and People's MPs, for the reasons I have said, our assessment is that the budget is necessary at this point, that it allows the system to function as normally is normal and that it allows the government to fulfil its law of established obligations. Mr. President, my personal apology for taking more than one minute and 20 seconds, given that I rarely perform in the Serbian Parliament, I hope my fellow MPs will not mind. Thank you very much.
ParlaMint-RS_1997-12-29-0.u183	Thank you. The Messenger of the people is Nenad Canak, and let the Messenger of the people be prepared, Duško Vlatkovic.
