ParlaMint-NL_2022-04-06-tweedekamer-9.u1	We are going through the debate on the Modernisation of Electronic Administrative Traffic Act.
ParlaMint-NL_2022-04-06-tweedekamer-9.u47	Thank you, Mr. Chairman. Thank you to the Minister for the answers. D66 welcomes the fact that the government still sees a role for libraries and their support. It is also good that it will be checked whether the amount in question is sufficient. I do have one more clarifying question. I understand from the Minister's reply that it is also so arranged for businessmen to make a formal amendment by law if the paperwork is to be closed down. I would like to hear confirmation of that, because it does matter how I look at Mrs Leijten's amendment. I look forward to the Minister's answer to my question on the phone.
ParlaMint-NL_2022-04-06-tweedekamer-9.u48	The last speaker on the side of the Chamber is Mrs Van Weerdenburg from the Group of the Party for Freedom.
ParlaMint-NL_2022-04-06-tweedekamer-9.u49	Thank you, Mr. Chairman. I thank the Minister for the answers. I have a few final comments to make. The success of this digital way and the success of this transition from paper to digital falls or stands with the quality of that digital way. As we have seen again today, there is still a world to be won. In my first term I mentioned some examples, such as failing web forms and technical failures. So we're a long way from here. The Minister rightly indicated that the Secretary of State for Digitisation must work on this because it is her portfolio. As it happens, we will be talking to her next week about putting the information system in order, but I would like to add that she cannot do so alone. That seems to be a doer of death, but if my knowledge of state law is correct, then the Secretary of State is not in the minster's council and she does not have the right to vote in it either. Moreover, it should also be something of all rulers and all noses should be in the same direction. She's only just begun, but when I look at the task ahead of her and us, and the timeline along with it, it's all going incredibly slow. I therefore call on her to help her to arrange this as soon as possible. Thank you.
ParlaMint-NL_2022-04-06-tweedekamer-9.u50	Thank you. I'm gonna suspend for ten minutes, and then we're gonna listen to the minister.
ParlaMint-NL_2022-04-06-tweedekamer-9.u51	The Minister has the floor.
ParlaMint-NL_2022-04-06-tweedekamer-9.u52	Mr. Chairman. A number of questions have been asked and a number of comments have been made. First, Mrs Dekker's question. Yes, a change for entrepreneurs is always with a law in a formal sense. I would therefore like to emphasise this. Mrs Dekker also asked whether telephone or human contact is always possible. Last week there was a debate with the Secretary of State for Digitisation. It also stated in that debate on the digital government that there should always be a form of human contact possible. So that's her starting point for what she's doing. Then Mrs Rajkowski asked about the progress of the Federation Messages System. The planning is now that it should be ready 1 January 2024. It is expected that the number of organisations that connects will grow, as it gives them some relief. It provides for safeguards such as correct notification, renotifying, logging and correct notification text. In any case, I can promise on behalf of the Secretary of State that there will be a progress letter. Maybe the best time for that is early 2023, because then we will be a year ahead of introduction. So we'll know what's going on. Then the room can see if it's going the right way. I would therefore like to make that commitment on her behalf.
ParlaMint-NL_2022-04-06-tweedekamer-9.u53	I thought, "God, 2023, it's gonna take a long time." But of course that's almost again. Can you include in that letter how many organisations are involved? I'd really like it if we could add the 450.
ParlaMint-NL_2022-04-06-tweedekamer-9.u54	It seems to me very good to indicate at that time what is about the expectation, who has joined up until that moment and what the view is in it. We'll give you a good idea of that. That seems very useful to me to include. Mr. Chairman. I conclude on the basis of the debate that I have not been able to address Mrs Leijten's concerns, while I really believe that this legislative proposal is an improvement. I also saw that a number of changes had to be made following the opinion of the Council of State. That is what we have done, with a letter of amendment. That is why I would like to make the motion in part No. 14 which Mrs Leijten submitted, would nevertheless like to discourage. I am convinced, for my part, that this is a good legislative proposal, which also improves the legal protection and guarantees of people. In addition, I would really like to point out that we also need to make progress in this area. Requisitioning an opinion from the Council of State really means that it really is going to take many months before we can take the steps forward. But I realize that I simply failed to convince Mrs Leijten on this point. Mr. Chairman. Then the motion to part No. 12 by Mrs Rajkowski. At the back it is legally the same as registered mail anyway. At the front you can see that there are some aspects of authentication. At the same time, I think it is a good thing that we are not sure whether that is an additional investigation, or whether it is a legal one, or not a legal one, but a very sharp one, how it is arranged with the messages inboxes. Can you compare that to that classic signature moves? Is it sufficiently clear that it is you who sends it to the government? That is why I would like to give the motion for a resolution Chamber, because we can then dive deeper into it and look at that comparison as well. So we have the impression that it is, but it seems to us to be a good idea to look into it.
ParlaMint-NL_2022-04-06-tweedekamer-9.u55	It sounds good. If you can promise to inform the Chamber, I can also withdraw the motion. Saves another motion on the motion list. A commitment weighs equally heavy.
ParlaMint-NL_2022-04-06-tweedekamer-9.u56	I'll certainly inform the Chamber about that.
ParlaMint-NL_2022-04-06-tweedekamer-9.u57	President. - The next item is the joint debate on the following motions for resolutions: has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2022-04-06-tweedekamer-9.u58	Mr. Chairman. Then the question about being digitally accessible. In MyGovernment, the citizen can indicate the digital accessibility per organisation with a tick. These organizations also consult and decide on the basis of this, whether or not there is a check mark, whether a message can be sent digitally or by post. Organisations can also request permission to access people digitally directly with the digital application. So that's the different things in there. Mr. Chairman. On Mrs Van Weerdenburg's point: yes, every ministry has an obligation to take steps in the information system and to do better. It's not just on the shoulders of the Secretary of State. At the same time, I think it's really good that there's one person who's gonna give us this... how am I gonna say that? That there is one person who is going to make sure that we take the right steps and do so with sufficient speed. This is an important basis for a government: knowing where the information is and being able to provide it adequately. In this context, I, as Minister for Foreign Affairs, have promised the Chamber that I will give an annual overview of the progress made in the Wob requests. That is in response to an oral question by Mrs Leijten.
ParlaMint-NL_2022-04-06-tweedekamer-9.u59	I still miss your comments on the amendment to item No. 13.
ParlaMint-NL_2022-04-06-tweedekamer-9.u60	That is the amendment that is yet to be tabled. Oh, it's been filed. It would be nice if I could have the text of the amendment. Mrs Leijten's amendment concerns a more detailed regulation in the event of a malfunction. The literal text is: "In any case, the consignor shall not be held to have been in default for the duration of the period referred to in the preceding sentence." With the motivation that people can at least not be the victims of a technical malfunction. From my point of view, there is no need for an extension at the beginning of the period. A failure at the end of the period shall not be charged to the person concerned because he is not to be blamed. That is the way it is now regulated by the law. There is no need for a separate regulation on this point. The proposed scheme is: time-out is excusable if it cannot reasonably be considered that the consignor has been in default. The regulation we have in the law is wider than in Mrs Leijten's amendment. But then the question is whether we mean different things.
ParlaMint-NL_2022-04-06-tweedekamer-9.u61	I don't think so. It now says that there can be an extension. An AMvB can be made about that. Now we're just saying that if there's been a malfunction, the delay period for the duration of the malfunction will be extended. Whether it was at the beginning or at the end, no fuss about it. That doesn't have to be relevant. It may as well have been at the beginning, so that moment, when someone was sitting in front and thinking about it, also plays a role. It is therefore a question of thinking on the basis of procedures and government rather than what the Minister argued in the first term. But I didn't actually get up to do the debate all over again. I actually wanted to say that I would like to vote on the motion before we vote on the legislative proposal.
ParlaMint-NL_2022-04-06-tweedekamer-9.u62	The detailed rules of the AMvB do not affect the main rule contained in the law. The administrative organ may extend the legal deadline for the submission of a message due to the reduced electronic accessibility of the administrative organ. It's gonna stay up. You can't limit that. That's just Article 2:21 (1).
ParlaMint-NL_2022-04-06-tweedekamer-9.u63	This is a can-determine. My amendment makes it a provision, namely that it always happens. I won't tire the minister of what happens to you when you're in conflict with a government and what can happen to you the moment you don't have the legal knowledge or the skills to struggle through it. You're gonna end up in hell. This bill doesn't regulate that reversal, not at all. I just read it to you. I am now hearing the Minister's reaction, namely to hold off the defensive from amendments that are very logical. That defensive attitude only strengthens me more in the opinion that this bill does not fit with this time and with the government we want. I find it careless that we are doing this this way at the moment. I regret that the Minister does not go into this because I want to trust her. I also know that she has the best interests for everyone. I just think that this bill is not the instrument for that. That is why I tabled this motion, namely to double-check it with the Council of State. I want to vote on that first. I don't think we're gonna get anywhere else. I am not concerned with the Minister's unwillingness, but with the text and character of the law. They are different from what the minister is defending here.
ParlaMint-NL_2022-04-06-tweedekamer-9.u64	Article 2:25 of the law correctly regulates the reversal. It states that, at the moment when a message is not delivered properly and therefore a problem arises, it is up to the government to prove to the person who sent the message that it has arrived or not. When it comes to the data processing system, just to use the technical term, that is no longer the case with the person who sent the message from his or her living room. It is precisely in this law that we do something with Article 2:25 of the law, so that it becomes more humanistic. That's not in General Administrative Law right now. So that reversal is in the law. That's what I'm trying to tell you. At the same time, I realise that at least I am not convincing Mrs Leijten at the moment. But that reversal is in it. It is now also regulated that in the event of a malfunction, the government simply has a duty to extend the deadline. That's not gonna happen now. That is why we are taking a step forward, I say to Mrs Leijten.
ParlaMint-NL_2022-04-06-tweedekamer-9.u65	What is your final assessment of the amendment to item No. 13?
ParlaMint-NL_2022-04-06-tweedekamer-9.u66	I would advise against the amendment. At the same time, it may be good to put it on paper for a while, because the reversal remains in the proposal and not in the amendment. I am therefore going to send a short note to the Chamber so that I can better indicate what the legislative proposal provides for, but where this amendment just sails past it. I'd like to do that carefully. So I'm going to send a short note to this Chamber to further underpin that explanation.
ParlaMint-NL_2022-04-06-tweedekamer-9.u67	We look forward to that.
ParlaMint-NL_2022-04-06-tweedekamer-9.u68	The point made by Mrs Leijten is that we ultimately want the best for those who are going to send the mail. It's standing up. I see that's what stays in it. That amendment does not quite do that on that point. Anyway, we'll just put that in the letter.
ParlaMint-NL_2022-04-06-tweedekamer-9.u69	Would we like to continue voting until we have received that letter?
ParlaMint-NL_2022-04-06-tweedekamer-9.u70	No, I'm not. We'll make sure it's just there tomorrow.
ParlaMint-NL_2022-04-06-tweedekamer-9.u71	Oh, he'll be here tomorrow?
ParlaMint-NL_2022-04-06-tweedekamer-9.u72	Yes, of course. At least it'll be there by Friday at the latest. Sorry.
ParlaMint-NL_2022-04-06-tweedekamer-9.u73	Well, you said "morning."
ParlaMint-NL_2022-04-06-tweedekamer-9.u74	No, I see some people frowning. Friday at the latest.
ParlaMint-NL_2022-04-06-tweedekamer-9.u75	Yeah, a couple of civil servants pulled out white.
ParlaMint-NL_2022-04-06-tweedekamer-9.u76	That's why. That was a little too excited on my part. Friday at the latest, Mr. Chairman.
ParlaMint-NL_2022-04-06-tweedekamer-9.u77	Still, a practical question about these malfunctions. Sometimes there is a accumulation of systems. Take, for example, an objection that you submit to your own municipality. You sign that with DigiD. Suppose the malfunction is in the DigiD system, so you can't send it in time, because you've waited until ten minutes before the deadline. My first question is: should the congregation meet me in that sense, even if it was not their fault? How do you prove that? Because the municipality can't look at the back of DigiD either. The same question applies to the e-mail. If your provider, KPN, Ziggo or anyone else is out, which makes you late for a certain term, how do you prevent the municipality from saying: sorry, that's force majeure; we couldn't help it, so you won't get a delay?
ParlaMint-NL_2022-04-06-tweedekamer-9.u78	This is therefore dealt with in Article 2:25. You'll say to the government agency one more time: there was a malfunction. Then, on the basis of Article 2:25, it is up to the government to prove that there was no interference if it considers that it was not there. This is dealt with in Article 2:25: that the burden of proof rests on the administrative body. Now I'm quoting from the law.
ParlaMint-NL_2022-04-06-tweedekamer-9.u79	So the county official has to call Ziggo to check if there was indeed a malfunction at some point?
ParlaMint-NL_2022-04-06-tweedekamer-9.u80	No, this is about DigiD. DigiD is the data processing system; that's what it says. In the case of Article 2:21, the administrative organ may extend the legal deadline for submission. That's in 2:21 of the law.
ParlaMint-NL_2022-04-06-tweedekamer-9.u81	Yeah, but I'm trying to figure out if that's always in the public's favor. We don't want to put everything in the municipality. They don't have to have some sort of forensic department that's going to check everywhere whether or not it was, but yes, administrative bodies sometimes have a certain degree of distrust, I say with a look at Mrs Leijten. Of course I can think: oh, I'm late, but I'm just saying that there was a malfunction. But if there really was a malfunction and the citizen doesn't have to prove it, how do you find out?
ParlaMint-NL_2022-04-06-tweedekamer-9.u82	Because according to Article 2:21, third paragraph, it is arranged that if there is such a malfunction and you have indicated it, the government cannot object to it anymore. That's what the law says now. That is stated in Article 2:21, third paragraph.
ParlaMint-NL_2022-04-06-tweedekamer-9.u83	This also applies if the malfunction, for example, is caused by a private...
ParlaMint-NL_2022-04-06-tweedekamer-9.u84	Also with Ziggo, yes.
ParlaMint-NL_2022-04-06-tweedekamer-9.u85	Obviously.
ParlaMint-NL_2022-04-06-tweedekamer-9.u86	Like the post it used to be supposed to make sure it's delivered.
ParlaMint-NL_2022-04-06-tweedekamer-9.u87	On the one hand, I think: when we put a letter in the mail, we are not always sure whether it will arrive. However, I would like to continue on this point. At the moment there is a malfunction, there is an assumption that the IT is in order with the governing body in such a way that the malfunction is also logged, that people can see that there is a malfunction. Suppose for whatever reason I can't log in with my DigiD software that app doesn't do it to me too often; that's very annoying.That's very annoying.That's a screenshot, which sends and says: look, I had a malfunction; you can see the date and all the properties of the photo. I dare say that someone will say: we have looked into the system and we have not seen any interference. Is it going to work against the citizens again? So maybe in the letter we're still getting, something can be deepened that's being dealt with in a coulant way. That would give me a little more comfort.
ParlaMint-NL_2022-04-06-tweedekamer-9.u88	If there has indeed been a malfunction in the data processing system, then it is up to the government to prove it. In addition, Article 2:21, third paragraph, applies in the event of an excusable period. How that relates to each other, I can write down in the letter.
ParlaMint-NL_2022-04-06-tweedekamer-9.u89	Can we get another note?
ParlaMint-NL_2022-04-06-tweedekamer-9.u90	No, it's the same note.
ParlaMint-NL_2022-04-06-tweedekamer-9.u91	Same note? Saves another stamp. Oh, no! Thank you very much. So far. Thanks to the Minister.
ParlaMint-NL_2022-04-06-tweedekamer-9.u92	On Tuesday we shall vote on the motions, the amendments and the legislative proposal. At Mrs Leijten's request, we shall do so in that order. So much for this debate.
