ParlaMint-NL_2022-03-23-tweedekamer-7.u1	I am happy to give the floor to the Minister of Finance.
ParlaMint-NL_2022-03-23-tweedekamer-7.u62	Thank you. And thank you for the promise that there will be a more detailed answer to that. My question was actually more from the point of view that a lot of people cannot afford the car because the price of petrol is so high, and that it might be a solution for everyone, of course, but perhaps for a large group of people to make it temporarily free of charge. So it wasn't so much about the price of the bus ticket or the train ticket, but more about: can't we just make sure that people can leave the car, because they just can't afford it, and then possibly free with it? And for the climate, of course, that's a win-win. That must be very appealing to the Minister.
ParlaMint-NL_2022-03-23-tweedekamer-7.u63	I always appreciate Mrs Van der Plas for her very practical solutions. Only, she can also say from my answer that it is not unwilling, but that it may be impossible. It may be far too expensive, so we need to think carefully about it. And that, in fact, is the commitment in the letter.
ParlaMint-NL_2022-03-23-tweedekamer-7.u64	Mr Nijboer, last question.
ParlaMint-NL_2022-03-23-tweedekamer-7.u65	Yes, Mr. Chairman. I have ten more, but I'll say one, and I'll try to do it briefly. It's about the proportions of the package. The main criticism, of course, is that it is too generic and reaches the highest incomes too much. 2.1 billion is VAT and excise duties. And only 480 million, it's big money, goes to the lowest incomes. My question is: is the cabinet prepared to look into it, to get more money on those lower and middle incomes? We've heard ten alternatives here in the Chamber. I have already put forward four or five of them myself, and colleagues as well. Is the cabinet prepared to do so? Or does it say: we have had the criteria and try to push this through; in the Lower House we have a majority and in the Upper Chamber we see it?
ParlaMint-NL_2022-03-23-tweedekamer-7.u66	That's a very fair question. I think it has already been explained in detail by the Minister. I think I should use the word "explain" a little less. But it has been appointed by the SZW Minister, what choice we have made and why, and how we look at the package, and, of course, what measures we have considered and not wanted or able to take. It is very often also a question of time-scale; Mr Nijboer knows this like no other. I think that in the second term we should return to the great appeal of this Chamber or in what way there might be something more possible. But as Minister of Finance, I would also like to hear how it is going to be covered.
ParlaMint-NL_2022-03-23-tweedekamer-7.u67	Thank you. Then I would like to thank the Minister of Finance for the answer and give the floor to the Secretary of State for Finance.
ParlaMint-NL_2022-03-23-tweedekamer-7.u68	Thank you, Madam President. Yesterday during the debate a number of questions were asked about the composition of the package, and also why or not tax measures were chosen, as well as questions about the substance of these tax measures. First of all, I will explain why we do not propose certain tax measures, so we did not choose to do so. This concerns, in particular, interim adjustments to the energy tax, but also to income tax and also to the surcharges. Secondly, I will go into more detail on the timetable for the elaboration of fiscal measures and the question of why the government has chosen to regulate fuel taxes first by means of a policy decision. Thirdly, I will also answer a number of questions about the content of the reduction in excise duty and the reduction in VAT on energy. Finally, I would like to comment on the questions raised about the unpaid travel allowance, the care allowance, the solidarity levy, the energy tax and the energy surcharge for the Caribbean Netherlands. Mr. Chairman. When compiling the package, we looked at what was still possible for the current year. The Minister of SZW and the Minister of Finance have already explained this. In view of the very urgent situation, what can you do temporarily? It is a matter of temporary measures in this tax year; that is very unique......................................................................................................................................................................................... It should also focus on vulnerable households. I would like to see the two packages for 2022 in conjunction in this respect, because that is also important in the preparation. In the first package, there was a very strong commitment to reducing the free base for energy taxation and to reducing the energy tax rate in the first tranche. Of course, that works well for all households, but certainly for low incomes. In addition, there is of course the energy surcharge of €200. You can only take such an energy tax measure once a year. You can't take it in the meantime, so we could take it again next January. That has really to do with execution, so not with unwillingness. That's one of the reasons we didn't choose it. I have to admit that there is now quite a lot of emphasis on generic measures, in the form of a temporary reduction in VAT on energy, gas and electricity from 21% to 9%, and on the other hand excise duties on fuels. Generic means simple and efficient on the one hand, but on the other hand it also means that it does not only apply to a specific group. In the total package of 6.2 billion ECUs, I will add the first and the second package together to 3.7 billion ECUs through the energy tax and the energy surcharge. But there's a certain mix in there. Mr Grinwis has also specifically asked for this. In particular, he asked about these tariffs and the tax reduction of the energy tax. By the way, if you look at the tax reduction in the energy tax over the last few years, you can see that it was €311 and that this year it is €681, excluding VAT. Last year it was €461. Again, that is really an instrument, a button you can turn on, but that can only be done on January 1st of every year. The same applies to the rate. Mr Klaver and Mr Nijboer also asked why we did not increase the allowances and the child-related budget. I'm just being very honest about that, too. First of all, we usually do that on 1 January. If you wanted to do it temporarily, you could. This can be done with the care allowance, with the rent allowance and with the child-related budget. That's not impossible. Of course, that takes time to prepare, that takes a month or two, three. But where is the complexity and why have we not chosen to do it as part of a temporary measure? That is because that would mean that all those decisions should be amended. If we take the healthcare allowance as an example, involving 6 million people, it would mean that all these decisions would have to be adapted. In doing so, you naturally run into risks, for example the risk that you pay back too much for the year 2022, which means you have to recover it again. And then, in terms of performance, you just call a problem over you. But it's temporary. In our view, it would be much more useful to have this discussion about overall income policy. That is what the SZW Minister and the Minister of Finance have already said. That would be when we discuss the Spring Note and when we come back later in the autumn with the Tax Plan. Then the overall income policy is on the table. Commitments have already been made on research into vulnerable groups. If you wanted to turn those buttons, you wouldn't do that for a few months or six months. That's just the hard part. You are faced with increases in energy prices, which occurred before the war in Ukraine. This will then be reinforced. And then you would temporarily take a cure that isn't really intended for that. After all, care payments do not have to do with the rise in energy prices. That's a very volatile market. But it is a means on which you can have a discussion with each other in the context of income policy. In other words, we would like to have that discussion at the time of the issue of the Spring Note or the Tax Plan.
ParlaMint-NL_2022-03-23-tweedekamer-7.u69	Not about the care allowance and the like, but about the increase in the energy tax reduction, the answer that came up and which both Mr Grinwis and I have been asking questions about, I think we can all agree that this VAT reduction is aimed at the energy tax, at what energy costs to people, but to a very large extent ends up with people with a high income. My proposal, and in my view Mr Grinwis's question, was that, if you want that generic to end up with people with lower incomes, you could increase the reduction in energy taxes. The Secretary of State says that this can only be done on 1 January, but could we not say, as with the healthcare allowance, that if we really want to do so, in an emergency situation as it is happening now, we want to be able to do so as a Chamber? Then where does the Secretary of State say that's going? Is that legal? I don't think so, so isn't it just a gentlemen's agreement we have with each other that we don't?
ParlaMint-NL_2022-03-23-tweedekamer-7.u70	I understand the question very well. I have also indicated that it is indeed most appropriate, if energy prices are rising and you want to do something for households, that you are going to go to the energy tax instrument. So I agree with Mr Stoffer that in that respect you could say that it is best to lower VAT for a second. Only, it really can't, it just doesn't perform technically. I can very easily promise things here, but that is not going to be the case with this Secretary of State, and that is also the case with the health care allowance, and then come back to you after six months or nine months and say: we have incredibly many problems about us in terms of implementation, and I think that risk is higher than the importance you describe. Then I would prefer to opt for the second best solution of reducing the VAT rate from 21% to 9%, because that is much simpler in terms of implementation. But I admit that it is a different instrument than the instrument of reducing energy tax rates.
ParlaMint-NL_2022-03-23-tweedekamer-7.u71	For someone who has worked for half his life in civil engineering and so on, I understand that execution is quite difficult. However, for us, but also for the people who are watching the debate to understand it. I understand that the care allowance is complicated, because then you have income limits and so on, but that increase in energy tax reduction is a generic measure. Then where is the complexity to carry it through? When I look at it, I think: it seems pretty simple to me. I think that's what most people in the Netherlands think. If the Secretary of State says that it is difficult, then believe that it is, but I would like to get an explanation of what this difficulty is, so that we have really made up for that balance.
ParlaMint-NL_2022-03-23-tweedekamer-7.u72	That's really in the energy tax declaration system, the automated energy tax system. I have stated once again that I will come back to this later on what can be done in the interim in income tax. The energy tax really doesn't do that. That can only be done on January 1st. I can, of course, give the order: go change it so that we can do so in a next situation, but that is no good to us now.
ParlaMint-NL_2022-03-23-tweedekamer-7.u73	Mr Stoffer, finally.
ParlaMint-NL_2022-03-23-tweedekamer-7.u74	That'll be my last question, I guess. Could we not do it retroactively from 1 January at the beginning of this year?
ParlaMint-NL_2022-03-23-tweedekamer-7.u75	See, that's an interesting thought, because tax-wise you can do something with retroactive effect if it's in the interests of the citizens. I'm not gonna promise, but what I do want to promise is that I'm gonna let that work out for a while. We still have a second term, not right now. That's the interesting thing about these debates. We have this kind of debate about the jubelton and the unpaid travel expenses. I'm listening to what you're saying. Retrospectively increasing a tax is a very complicated story. That can only be done under very strict conditions. I'm not saying it's possible, but I'll go check it out. If we could, we'd include that in that note, then that obviously means that it has consequences for another part of the package, because I only have one pot of money.
ParlaMint-NL_2022-03-23-tweedekamer-7.u76	Well, that's quite a promise. I look forward to it.
ParlaMint-NL_2022-03-23-tweedekamer-7.u77	Did you hear the promise?
ParlaMint-NL_2022-03-23-tweedekamer-7.u78	I heard you very well. It's a, say, procedural commitment.
ParlaMint-NL_2022-03-23-tweedekamer-7.u79	But I take it seriously.
ParlaMint-NL_2022-03-23-tweedekamer-7.u80	That's right. My question concerns another aspect. If the package stays whole, the VAT on the energy account will go down from 21% to 9%. This raises questions about a specific aspect, namely solar panels. To this end, I believe that we should also adapt the drafts. That's a lot of trouble for citizens. They buy solar panels, can ask for VAT back and have to be calculated on a flat-rate basis. Then why don't we set the VAT at 0%? European can do that. For the State, budgeting is hardly a loss of revenue. Why don't we take care of this right away?
ParlaMint-NL_2022-03-23-tweedekamer-7.u81	The cabinet is coming up with this proposal very soon. One small correction, though. Mr Grinwis says this is allowed. No, we can't do this yet. The EU Directive will be updated as soon as possible, in the very short term. Then it's okay. Then we will also come up with that proposal, because all the arguments you have mentioned cut wood. By the way, this was not a new proposal. That was already in the making.
ParlaMint-NL_2022-03-23-tweedekamer-7.u82	Finally, Mr Grinwis.
ParlaMint-NL_2022-03-23-tweedekamer-7.u83	I'm very happy about that. I'm looking forward to that. Can the Secretary of State also state at what time the Chamber will be informed about this? I think this is good news.
ParlaMint-NL_2022-03-23-tweedekamer-7.u84	Yes. Very soon. Mr. Chairman. Then there's the unpaid travel allowance. Mr Nijboer and Mr Heinen pointed this out. Let me begin with the fact that this is in the coalition agreement. Mr Heinen pointed that out. The increase in the free travel allowance will be introduced. In cents this goes from €0,19 first to €0,21 and eventually to €0,23. The coalition agreement also provided financial support. I understand this morning it wasn't 100 million. I also had the rule of thumb that €0.01 came down to 100 million, so €0.02 out of 200 million and €0.04 out of 400 million. I hear it's 130 million, but we'll come back to that later. That's not what I'm talking about right now. I understand that Mr Heinen and Mr Nijboer asked if you could speed this up. Can you, for example, introduce it on 1 July? Here too, you could technically do this on 1 July. This means first legislation, which then means what for all kinds of software, payroll records and so on. Mr Heinen said, at least that is how I understood him: here comes the jubelton again. The jubelton was also in the coalition agreement. Your Chamber has asked: State Secretary, can you see if this can be introduced not on 1 January 2024, but on 1 January 2023? We did the best we could for that. This cannot be abolished on 1 January 2023, but it can be substantially reduced to the one-off exemption in the parent-child situation. Moreover, I say to Mr Heinen that he is not the only one. Also in the cabinet there are some who think: hey, there is 160 million to be achieved. That's not true. In the number series of the coalition agreement, with the abolition of the jubelton starting on 1 January 2024, 20 times 8 million stood at 160 million. To put it precisely, it's actually 20 times 7 million is 140 million. There was also another $20 million in it. If you bring that up, it'll be $7 million one time. Mr Nijboer has already said it. I have said before: Mr Nijboer can count. That turned out to be the same yesterday. So it was 7 million. That 7 million cannot be the cover to bring forward the unpaid travel allowance for a year. If we're gonna get the 130 million, you're gonna need 260 million. I understand the idea very well, by the way. I would like to say in this respect: let us seriously consider whether we can bring this forward. Then we'll have to find cover. That coverage must be found in the Spring Note and the Tax Plan. I'm not gonna promise that we're gonna do this, but I understand very well. You two haven't been the only ones who suggested this. There are others who have proposed this. I would add that I also see a great responsibility here with employers. It is nice to put an unpaid travel allowance in the law, but I believe it was Mr Klaver who said: you should also look a little wider, because it is not just the government that has to do it. Employers must also do something here, so they must also grant the unpaid travel allowance to workers.
ParlaMint-NL_2022-03-23-tweedekamer-7.u85	Thank you. Mr Heinen of the VVD. After that, Mr Klaver has a short question.
ParlaMint-NL_2022-03-23-tweedekamer-7.u86	Thank you for that answer. These are actually two points of discussion. On the one hand: can it be technical? And on the other hand, is there coverage? At the jubelton we actually had the same discussion, but you didn't need cover there, because it was actually a tax increase. I heard the Secretary of State say this is technically possible. So at least that's a point. I also hear the Secretary of State say: we can see if there are any other cover options. From the cover option I have in mind, he's not so charmed. I shall come back to that in the second term. I have also tabled a motion on this, in line with the jubilee motion of the SP, to see if it can be done in the same spirit as technically possible, can it be done budgetally? It is possible to do so. I'll get back to you on that.
ParlaMint-NL_2022-03-23-tweedekamer-7.u87	Fine. Mr Klaver had a short question.
ParlaMint-NL_2022-03-23-tweedekamer-7.u88	I think there is a lot of money going into reducing excise duties. That sounds like a good cover. I have one question. I was pleased that the Secretary of State went into the possibilities and indiscretions of the healthcare allowance. We also talked about the child-related budget and the rent allowance. These are other types of supplements, with a different size of the target group. Can the Secretary of State also specifically address these two issues and explain why he considers them undesirable?
ParlaMint-NL_2022-03-23-tweedekamer-7.u89	Yes. Of these other supplements, I don't have the numbers in my head right now, but of course that's much less than the 6 million of the healthcare allowance. But the system as such is the same. So you're gonna have to see if you can do it first. Yeah, it's possible. But then you'll have to go back into the whole administrative process of those decisions. You can't do it with a pencil stroke. That means you have to impose new decisions. That puts pressure on capacity. That's the first thing. And second of all, it's error-prone. So the question is: do you have to do this now for temporary? I'm not saying you shouldn't look at it in the overall package, but my suggestion would be: take it with you in the income debate next year and the years after that. The argument of the care allowance therefore also applies to the rent allowance and, in essence, to the child-related supplement. I am quite prepared, in preparation for the second term, to make a few officials happy, so that you can also make those considerations and also see how we have made the assessments so far. In the same way of thinking, the same applies to income tax. It's even a little more complicated there. Because everything you do in income tax, whether it's rates, the labor discount or the income-dependent combination discount, is part of the annual cycle, especially the first two. Declaration software must be delivered on time; therefore, we always do it once a year. This is done by external software providers. There are also packages made for business. The thing is, you can only really do that once a year. But what is also annoying is that the citizens, even if you would like to do it in the meantime, will not enjoy it. For example, if you were to do something in 2022, for example to increase the employment discount in order to give a piece of relief, that would have to be reflected in the provisional income tax assessment 2022, which has already been imposed. So the citizens will only benefit from this by the year 2023. So apart from the more principled point: what can you do temporarily and what can you do structurally? As far as income tax is concerned, I am looking at Mr Alkaya and also at the Minister who has said all the necessary about it. Of course that is an income-political question that you are asking. A solidarity levy must be set by means of income tax. It does not lend itself to a rapid decision-making process on a temporary basis. So for that too, the proposal to conduct the political debate is based on the income figures for 2023. As far as I am concerned, these are the questions. Then I'll move on quickly, Mr. Chairman, to the timeline. We have, of course, wrestled with the excise duty on fuels. I naturally agree on behalf of the cabinet with what the Chamber says on budget law and also on legislative proposals. We need to discuss legislative proposals here first. That's what we're gonna do with VAT. There's going to be an emergency bill. If it's okay, it'll go to the Council of State in early April. We then depend on how quickly the Council of State gives advice, but in such situations it must be possible quickly. There will be written input at the end of April. In May it could then be dealt with in the Lower House and in the Upper Chamber. We need to publish it in the Official Journal by 15 June at the latest in order to be able to introduce it by 1 July. We will therefore, in all honesty, ask for the sanctioning of the policy decision we have taken. Policy decisions are sometimes made in fiscal terms. Sometimes policy decisions are taken that give an interpretation of the legislation. That's what we'll take into account in that bill. Why we did it on April 1st is in a sense because emergency law breaks. It is something that is experienced directly at the pump, by the way, by everyone. We have of course also looked at the effects in the border regions, particularly of course at price differences with Germany, but also with Belgium. We're monitoring that, too. The Belgian Government, a very wide-ranging government, also opted for this measure and immediately introduced it, to the great pride of the Belgian Finance Minister, who came to tell me that last week.
ParlaMint-NL_2022-03-23-tweedekamer-7.u90	There is an interruption by Mr Tony van Dijck of the PVV.
ParlaMint-NL_2022-03-23-tweedekamer-7.u91	In any case, I am pleased that it is all possible with this Secretary of State. If we proposed something in the past, for example a reduction in VAT from 9% to 6%, that was just a bad idea. Then it was: the tax authorities can't handle it, that's impossible. Now it all seems to be possible. I don't know what kind of magic wand this Secretary of State uses at the IRS, but I'm happy about it. Now about Belgium. In my first term I asked why it is possible in Belgium to bring the petrol price to, I believe, €1.77 and put the soil at €1.70. This Secretary of State does not go beyond €0.17 reduction, so it will be €2.30 here. That's not gonna help the driver, is it? Should they be happy to pay €2.30 for a liter of gasoline? And that while this Secretary of State is filling his pockets with the VAT on that petrol of €2,33. This means that he collects a lot of extra VAT revenue. Why don't you just do like the Belgians? It's better for all the money that's leaking out. So just the energy price for the whole of the Netherlands at €1,70.
ParlaMint-NL_2022-03-23-tweedekamer-7.u92	I do not want to crush Mr Van Dijck's enthusiasm, because he thinks I have a magic wand. A generic reduction in VAT is much more complicated. You can do that, but you'll be stuck with it for ten years. This has also been explained in a technical briefing to the Finance Committee. The temporary reduction from 21% to 9% is possible. There was someone else, I believe Mr Ephraim, who asked if we could go straight to 0%. Well, that's contrary to EU law. We'll stay within the rules of what we can and can't do. Of course, we can constantly look at Belgium, but the Belgians, like the Germans, have considerably lower excise duties on car fuel. We have always pursued a policy here in the Netherlands, which we now temporarily deviate from. What do you have excise duties for? They have a price mechanism, you can differ politically on that, but in this coalition agreement we keep these excise duties firmly at that level. I would not like to follow the Belgians in everything, because if you look at the Belgians' public debt, you could also say: perhaps they should increase their excise duties a little bit. But aside from that... Of course, I should never have made this point, Mr President.
ParlaMint-NL_2022-03-23-tweedekamer-7.u93	Finally, Mr Tony van Dijck.
ParlaMint-NL_2022-03-23-tweedekamer-7.u94	No, because indeed, this cabinet is moving very hard towards Belgium as far as public debt is concerned, with 95%.
ParlaMint-NL_2022-03-23-tweedekamer-7.u95	I do not think so, but that is another discussion and I would like to leave it to the Minister of Finance. We're still within the rules.
ParlaMint-NL_2022-03-23-tweedekamer-7.u96	But in any case, in the fifteen years I have been a financial spokesman, we have said a lot of times: a lot of money is leaking to Germany and Belgium, for groceries and cigarettes. The Belgians are happy about it. I also said yesterday in the first term: it saves €50 on a tank! Well, you don't mind driving from Breda to Belgium for that. Then you pack your cigarettes and your groceries with you. And the middle class in the Netherlands complains stone and bone. They're even talking about a copper strike if this goes on like this. In other words, you think you're smart, but you're actually very stupid, because you're losing a lot of tax revenue and a lot of economic growth.
ParlaMint-NL_2022-03-23-tweedekamer-7.u97	I have, of course, indicated that, and then I think that Mr Van Dijck and I are getting a little closer together again, that we have been very sensitive to his arguments, just not in the extremes he is talking about. But also an argument for reducing the excise duty on fuels had to do with the border regions. Not only with Belgium, but especially with Germany. That is an even longer limit, but also Belgium. Of course, you always have to look at that. You shouldn't sell yourself out of the market.
ParlaMint-NL_2022-03-23-tweedekamer-7.u98	You're going to continue your speech again.
ParlaMint-NL_2022-03-23-tweedekamer-7.u99	Yes. So the policy decision will return to the emergency legislation. We do expect criticism, as you do in this Chamber. We've calculated it. Also the criticism of the Council of State, which is not happy with policy decisions that anticipate formal legislation. But I explained the dilemma we faced. Then there was another question: I do not see Mr Ephraim whether it is time to give back the Quarter of Cook permanently. I have already said what I wanted to say about excise duties. We talked about Germany and Belgium. Mr. Chairman. I've got a few left-over questions. Not insignificant questions, by the way. There's not many of them. In particular, there was a question about the Caribbean Netherlands. There was also a question, I thought, about the countries in the Caribbean part of the Kingdom. Let me start with that. The 5 million out of this package is for the Caribbean Netherlands as we are doing for the European Netherlands. The countries of Curaçao, Aruba and Saint Martin have their own autonomy and competence in that regard. That package does not relate to that. Let there be no misunderstanding about that. This means that of those 5 million, 1.3 million will go towards reducing excise duties. There will also be work on an energy surcharge. On average, a larger proportion of households live in poverty there. They're gonna need that. The Secretary of State for Foreign Affairs will, of course, develop this further. That is all I have to say, Mr President.
ParlaMint-NL_2022-03-23-tweedekamer-7.u100	Then I thank the Secretary of State, but there is one more question. Mr Heinen of the VVD.
ParlaMint-NL_2022-03-23-tweedekamer-7.u101	I would like to come back to the little interrupting debate we had on the possible coverage of a motion which I would then like to table in the second term. The Secretary of State pointed out that the abolition of the jubelton amounts to 7 million. That's right, and that's what the letter of inquiry says. But I'm gonna get that letter anyway. It does say that this amounts to 7 million a year until 2042. So if you add this up for roughly 20 years, you're going to be 140 million cumulatively. Isn't that right? If you cover this intertemporally and bring it forward, you'll have cover with that, won't you? I would like to hear the reaction of the Secretary of State.
ParlaMint-NL_2022-03-23-tweedekamer-7.u102	Yes. Thank you for this question, because this continues to cause confusion. That 140 million-dollar series was already in the coalition agreement. However, it entered on 1 January 2024, plus by the way 20 million. So pulling it forward will get you that $7 million one time. Otherwise, you'd have 160 million plus 140 million, so suddenly you'd have found 300 million over the entire term.
ParlaMint-NL_2022-03-23-tweedekamer-7.u103	It is a good thing that we are talking about this, because this indeed leads to confusion. The letter refers to additional coverage of 7 million p.a. It is therefore an additional cover.
ParlaMint-NL_2022-03-23-tweedekamer-7.u104	Yes. That is why it is just right that we should say that here. So we should have formulated this more carefully. We should have made the comparison as I explained it orally. I hope that will remove the misunderstanding.
ParlaMint-NL_2022-03-23-tweedekamer-7.u105	Mr Van Raan, finally.
ParlaMint-NL_2022-03-23-tweedekamer-7.u106	Thank you for the answers on the BES islands. Thanks for building up that $5 million. However, I could not find out one-two-three how that total amount was put together. I am asking precisely because the Secretary of State says that energy poverty is very high there. Maybe the Secretary of State can clarify that a little bit.
ParlaMint-NL_2022-03-23-tweedekamer-7.u107	This is actually based on a pro rata parte calculation. I think it is a good thing that we share the knowledge we have with the Chamber in writing. Then you can totally follow that.
ParlaMint-NL_2022-03-23-tweedekamer-7.u108	Mr Omtzigt also asked his last question.
ParlaMint-NL_2022-03-23-tweedekamer-7.u109	I don't know if I'm with the right ruler for the next question. I would like to know whether it can be arranged that if an energy company goes bankrupt, the energy company that takes over the customers will have to apply the same rates as it applies to its own contracts. Now a lot of people have entered the ship because their energy company went bankrupt and they suddenly had to pay the top price at the new company.
ParlaMint-NL_2022-03-23-tweedekamer-7.u110	So this is not in my portfolio; that is what Mr Omtzig actually said when he asked the question. But he asked the question, even in his term. I think it is just very important that there should be a written answer from the Minister of EZK to that question. The energy companies are covered by the Minister of EZK. I admit that that answer will be given by her on behalf of the cabinet.
ParlaMint-NL_2022-03-23-tweedekamer-7.u111	Thank you. This brings us to the end of the first term.
ParlaMint-NL_2022-03-23-tweedekamer-7.u112	We have agreed that we will keep the second term in the short term. The planning is equally dependent on the available information. I thank the rulers for their contribution. I would like to thank the spokesmen, the people in the public gallery and the people who have followed the debate in a different way. Now I'm just finishing up, and now Mr Klaver has something to say.
ParlaMint-NL_2022-03-23-tweedekamer-7.u113	You said that the moment we continue the debate depends on when that information is available. I would like to say here that I prefer to continue tomorrow. And I think that information should actually be in the House of Representatives tonight. These are questions that have already been asked yesterday. So I would like to point out that not all of these things are being asked for. This should have been there by now. So I wouldn't want to give the Cabinet too much time; I just want those answers tonight.
ParlaMint-NL_2022-03-23-tweedekamer-7.u114	I want them as soon as possible. This also has to do with the fact that a number of municipalities now indicate to me that they do not know the rules and have stopped implementing the benefit.
ParlaMint-NL_2022-03-23-tweedekamer-7.u115	Thank you. Yes. We're gonna go in consultation with the Cabinet and see when that information is available. But when we plan a debate, we also have to deal with the availability of directors and other debates that are planned, as you know. So everyone's doing their best. I thank everyone. I'm suspending the meeting. At 4 p.m., we will continue the debate on the European summit.
