ParlaMint-NL_2022-06-30-tweedekamer-8.u1	I call the Secretary of State.
ParlaMint-NL_2022-06-30-tweedekamer-8.u58	We are trying to see if we can set it up, in line with what we are trying to achieve in Europe, because we are trying to do so in parallel. At the end of the year, we want to provide more insight into that register. I cannot say that the whole register will be complete and complete, but we would like to take a few steps in the coming months to make sure that register becomes transparent. There is already a very small test on algorithmregister.nl, but it mainly refers to the algorithm registers of local authorities, among others.
ParlaMint-NL_2022-06-30-tweedekamer-8.u59	Mr Van Baarle has just come to this point and we are really going to move on to the following.
ParlaMint-NL_2022-06-30-tweedekamer-8.u60	The Secretary of State has already made a commitment to make matters that need to be done in order to prevent discrimination in algorithms binding a while ago in response to our questions. In my speech, I asked the Secretary of State if she had any idea how she would like to do that. We now have the manual non-discrimination by design, but DENK is a bit done with that hand-to-hand policy. Now we just have to agree that it happens, both in the government and in companies. I don't feel like waiting much longer. Can the Secretary of State, therefore, promise that we will simply get a bill here soon in which this can be done?
ParlaMint-NL_2022-06-30-tweedekamer-8.u61	I am still thinking about what is the best method for this and whether we should do so from a European perspective and whether we should include some of it in national legislation. But I'd be happy to tell you that I'll get back to you soon. For I agree with you that here is the adage: where there is a will, there is a way, and where there is no will, there is a law. So we really need to look carefully at how this is being applied, so that this is prevented. I hope to get back to you on that as soon as possible. I think that is best done within the framework of the work programme.
ParlaMint-NL_2022-06-30-tweedekamer-8.u62	Look, we've been waiting so long for this. This commitment was made a long time ago. I would like this to be made more urgent. Nor do I think that reference to European legislation is sufficient, because it is simply not sufficiently concrete in this respect. There are some nice principles in that, but no concrete guarantees. So why doesn't this Secretary of State simply take responsibility by saying: I'm just putting the concrete handles of these hand-outs into a law? Then it's clear to the government and to companies what to do. What's the objection to doing that as soon as possible?
ParlaMint-NL_2022-06-30-tweedekamer-8.u63	There is no objection at all to rushing, but we must also do it well and carefully. I'm working on that. I've already indicated that I'll get back to that soon. The principles for algorithms apply now, of course, even though I think that is also important when it comes to human rights and non-discrimination. That does not require a law, because we already have the GDPR, the ban on discrimination, etc., etc. Well, that's true anyway. But it is important that we also do it in a smart way, so that we achieve what you and I want to achieve together, namely that there is no discrimination and that there are no algorithms and risk models that take people out based on their background or any characteristics. Once again, I shall come back quickly to what we consider to be the best steps to achieve this as soon as possible.
ParlaMint-NL_2022-06-30-tweedekamer-8.u64	I have a question that is actually covered by the subject. But I have to go to another debate in a moment, and since I don't know how it's gonna work out in time, I'm gonna ask you my question. I'm curious about the tender process for that sample wallet. Has the Ministry of the Interior made any agreements or recommendations to specific parties?
ParlaMint-NL_2022-06-30-tweedekamer-8.u65	I don't think that question is in my folder, but I'd like to get back to that. I cannot answer that question for you at this time. As far as I know, we have not yet made any tenders in this area. But if that is the case, I would like to return to that in the second term.
ParlaMint-NL_2022-06-30-tweedekamer-8.u66	The tendering process is open and ends on 22 July. I was wondering if the Ministry had any involvement in that?
ParlaMint-NL_2022-06-30-tweedekamer-8.u67	I take it those tenders run the way they do. I do not have an answer to that at the moment. You are actually asking for two things, namely whether we are interfering and whether we have a preferential party. I'm going to answer those questions for you in the second term. I will continue with the issue of disinformation, on which several questions have been asked. I shall begin with Mrs Rajkowski's question on our actions against disinformation. It is incredibly important that we continue on this subject. All kinds of actions have already been taken. The former Minister of Foreign Affairs was already working on a policy strategy to address disinformation on behalf of the previous cabinet and the current Minister of Foreign Affairs is now working on it. That is much wider than the protection of our democracy. It is not just a question of elections being organised properly, but also of preventing people from receiving information that, for example, deliberately influences elections or actually leads to polarisation or hate-sowing. We must continue these actions. What are we doing? We are certainly working on it at European level, and we have also drawn up a code of conduct that has recently been renewed, which includes a number of themes, such as making it more difficult to make money from disinformation, ensuring that fact-checking is developed and, above all, extended in all EU Member States and combating manipulative behaviour, for example by tackling fake accounts, deep-fakes and bot networks in common. That is, moreover, a job that companies have to do. That's not government work, but that's what companies do. They'll have to report on that, too. Those are the big online platforms that signed this code. This is, of course, a very important step forward, but we want to continue to follow it. Moreover, this code of conduct, which is still voluntary and is now signed by a number of large networks, will be incorporated into the Digital Services Act in the near future. Mrs Rajkowski also asked whether we could talk to social media about disinformation and whether we could do so together with the European Commission. We'd be happy to. There is also a lot of discussion on this subject, of course with the European Commission, but certainly also with different platforms about their work in this area. For example, I myself recently had a conversation with Meta. This was not only about their work to ensure that their social media platform Facebook meets the requirements that apply to it in accordance with the agreed code or conduct, but also about how they want to use it in, for example, one of the new technologies they want to manifest themselves in, the so-called metaverse, an immersive technology that makes it possible to communicate with each other in another way. Mrs Bouchallichh has asked about the commitment to political advertisements.
ParlaMint-NL_2022-06-30-tweedekamer-8.u68	Before you move on to the next subject, I have one more question. Glad to hear that a policy strategy is being worked on. When are you coming to the Chamber with that? And you can promise...
ParlaMint-NL_2022-06-30-tweedekamer-8.u69	And the Secretary of State can promise.
ParlaMint-NL_2022-06-30-tweedekamer-8.u70	Can the Secretary of State undertake to include the issue of education, that of thinking critically from an early age and that of skills? That's where it starts, of course.
ParlaMint-NL_2022-06-30-tweedekamer-8.u71	Yeah, we sure can. We, the Minister for the Interior and myself, will come back together on this subject in the autumn, in the broad sense of the word: what should we do to combat disinformation? There is also the theme of how we can make people resistant to this issue in situations where it is not possible to combat disinformation sufficiently, to ensure that people are also more aware of what is going on there. By the way, we already have several programmes for this. This is also being further worked on. In the letter we will discuss this further.
ParlaMint-NL_2022-06-30-tweedekamer-8.u72	Finally, Mr Rajkowski.
ParlaMint-NL_2022-06-30-tweedekamer-8.u73	Yeah, I got another one, if you don't mind, Mr. Chairman. Thank you for that commitment. My second point was indeed about getting information to the Netherlands. Yesterday we had a debate on the intelligence and security services. That's where I brought this point. Big techs now share disinformation and further threat information with NATO or the European Commission but not with the Netherlands. We would really like that information in the Netherlands too, because this is an information war via the digital road that is also aimed at the Netherlands. Could the Secretary of State make an effort to ensure that the Netherlands receives information through this Code of Practice on Disinformation and everything she signs?
ParlaMint-NL_2022-06-30-tweedekamer-8.u74	I would very much like to look at the possibilities, because the theme that is playing is incredibly important. We know that around the war in Ukraine a lot of disinformation is being used as an offensive strategy, you might say, to a lot of parties. This also applies to all the bots and deep fakes and so on and so on and so on. We want to gather as much information as possible on this so that we and our services can work on it. As far as I am concerned, that is a very important subject.
ParlaMint-NL_2022-06-30-tweedekamer-8.u75	Mrs Van Weerdenburg also has a question.
ParlaMint-NL_2022-06-30-tweedekamer-8.u76	I was wondering if the Secretary of State could tell us something more concrete about the fact-checking obligation for social media platforms, such as Twitter, Facebook and so on. How are they supposed to do that fact-checking concretely?
ParlaMint-NL_2022-06-30-tweedekamer-8.u77	What European legislation says in this area is that these very large platforms, for example, should make sure that they monitor what is happening on their platform. One very important thing they have to do is make sure that everything that is illegal is removed as much as possible. Then, for example, it's about child pornography or other things that are illegal. The second is that they need to monitor what happens on their platforms, for example when it comes to disinformation. So I am talking about the very conscious use of mechanisms via social media to ensure that there is destabilization in a society, whether it is based on political information or otherwise. When it comes to fact-checking, they are asked to do so by institutions that can do so for them. That's also being monitored. So, in line with European legislation, they are also being tested: is this happening and are they doing it right? Fact-checking does not mean that something necessarily disappears if that is not true according to the fact-checkers. This applies only to criminal information, such as child pornography. But there is a label that says that there are other sources that say something different about this information. For example, reference can be made to a site of a government, a research institute or something like that.
ParlaMint-NL_2022-06-30-tweedekamer-8.u78	Okay. As a PVV'er I can expect a sticker on my tweets from now on. It says: "Watch out, this is the opinion of a minority or whatever." Just so we're clear, things that aren't allowed offline shouldn't be online either. That's where we can find each other. Especially in the second part the PVV is very concerned, because that is actually fact-checking on opinions. The social media platforms are not going to do that themselves, but they have to let institutions do that. That really sounds like some kind of ministry of truth. Which institutions should do that?
ParlaMint-NL_2022-06-30-tweedekamer-8.u79	Social media platforms can ask different groups to do so. They could be scientists. They could be people like Bellingcat. It's journalists' platforms and so on, and so on. They can do that. Next, the social media platform may ask them to refer to other types of information. I now move on to the point about the stakes on the political ads. GroenLinks asked a question about that. By the way, political advertisements are a subject that my colleague, the Minister for Foreign Affairs, deals with. The essence is that political advertisements are possible in accordance with the European regulations that we have on them. It is important, however, that safeguards apply. There's got to be some clarity about who owns that ad and who's behind it. It has to be clear that it's an ad. It is necessary to indicate the type of elections and so on, and so on, and so on. That is also the line we are now following. But once again, I think it is good to discuss this further with my colleague, the Minister for Foreign Affairs, because here we are working nationally on the Law on Political Parties, which also includes those advertisements. Then about the election evaluation in the field of disinformation, also a question from GroenLinks. We have now carried out the evaluation of the last Lower House elections. It also looked at the subject of disinformation. In June last year, a letter was sent to your Chamber. The evaluation of the last municipal elections will be completed in the coming weeks and will also be sent to your Chamber. That element of disinformation also plays a role in this. What we can already indicate is that there are no indications that large-scale disinformation campaigns have taken place in the Lower House elections or in the municipal elections. Then there is Mr Ceder's question as to whether there can be a separate letter to the Chamber about the public values that we want to assert within the digital world. I understand the point Mr Ceder is making about this. It might also be good to refer back to a code that we created, the code of good digital governance that was sent to the Chamber last year, in the context of a letter about algorithms and their progress. It also takes into account the different values that we take into account in the debate. They are classified under democracy, the rule of law and the power of administration. They are about non-discrimination, about freedom of expression, about privacy, about transparency, and so on, and so on. I think it is good to include the link with the values in that work agenda, but that letter has gone a little further on this issue. I also believe that you yourself specifically mentioned the subject of mercy. That is not literally what it says, but inclusiveness and ensuring that everyone can come along with it are, of course, issues that play a very important role in the values that we use as a cabinet. With your permission, Mr. Chairman, I would like to continue with the block of inclusion and citizenship. This concerns the issue of digital accessibility, a subject that Mr Bontenbal has also mentioned and which he has asked a question about, namely that, if we want people to be able to participate in our society, we must ensure that people with disabilities, including those with visual disabilities, have access to the digital infrastructure. That's exactly what we want. The agreement that has been made is that people who have a disability in their job can simply use digital information and services. To this end, a European directive has also been published. We have transposed them to Dutch law, in the Temporary Decree digital accessibility government. This means that governments, in the broad sense of the word, are obliged to provide digital information in services via websites and mobile apps. There is also the European Accessibility Act, which should ensure, for example, that various products, such as self-service terminals, passenger transport, banking services, web shops, etc., are accessible. Now it is certainly important that we continue to work on this, because we also know that it is not yet perfectly organized. That is one of the points that has been mentioned. In fact, there are apps and websites, including from the government, which are still not properly regulated. We will also pay a great deal of attention to this in the coming period. Because we know, apart from people with visual impairment or otherwise, that about 20% of Dutch people are not sufficiently digitally skilled and otherwise unable to participate in our society, and cannot provide them with the good help of the government. The second part also deals with a question raised by Mr Ceder on digital accessibility. It takes a lot to work on that. We have a dashboard in which we try to map which websites and apps may or may not have such an accessibility statement. Again, I would like to focus more on this and certainly also under the Digital Government Act to see whether that should be more explicitly laid down. I also think it is important to add something to that which we have also exchanged before, namely that it should always be possible for people who are not digitally skilled enough or who do not feel safe or good about it, to do things, even in the context of doing business with the government, offline, so just in the normal, physical domain. In this context, I would also like to return to Mr Bontenbal's question on technological citizenship. What do we do to make sure that people can take as much as possible? So we also do this by making sure that both children and people who are older are helped as well as possible to become digitally skilled if they are not already. We do that through City Deals and through the Alliance Digital Collaboration. We also work with a lot of people. By now, there are some 325,000 subscribers on the website of the Alliance Digital Collaboration and of products that the Alliance Digital Collaboration uses. But, of course, we will continue to work on this, for example in education. For example, our colleague Dennis Wiersma at the Ministry of Education in the curriculum indicated that digital skills are very important in education. Then it's not just about code and being able to deal with computers, but also about media skills. In our work programme, we will also develop this further, not least by continuing with the Digital Government Information Points, which are available in all libraries and where people who have problems doing business with the government or other parties in the digital domain can go with questions and for help. We would also like to see further development in the coming period. Then I get to the questions that are a little bit more in the other block. Then I will begin with the questions I have received from Mr Jansen about digital identity and the wallet. I think it is very important to point out that the very principles which Mr Jansen considers so important, namely that you do not need to use such a European digital identity and that it should not provide some sort of cumulation of data with the European Union, are all guaranteed. It is therefore quite possible and remains possible, even if there is a wallet, to continue to live your life without that wallet and to continue to take services, both with the government and otherwise. As far as the information you collect in such a wallet is concerned, it is also so important that you have control of it first of all and so you can choose what you record, but also that that information remains with the service providers for which that information is collected, for example with your passport or your driving licence. The idea of this identity is not to create a social credit system or to control behavior. It's not all that. It is mainly meant to ensure that we have as little data as possible from everyone in many places; remember, for example, that you have to leave your passport in copy in a hotel abroad. Well, then all that doesn't have to be anymore. Then it's just enough to put a check mark. So it's about data minimizement, the safe handling of data and the way you're able to do business very easily, without everyone knowing more about you than is necessary. Thus, it may also be possible to buy alcohol with your wallet, just on the basis of the check mark indicating that you are older than a certain age, or to rent a car with a check mark indicating that you have a valid driver's license, without that whole driving licence, whether or not in copy, going to a car rental company somewhere within or outside national borders. Then there is the question that Mr Ceder asked about that wallet. Before I conclude on this point, I would also like to say the following. Others have also asked questions about what should or should not be the basis of that identity. So that also applies that what we exchanged earlier was taken by us. Among other things, Mr Ceder and also in a motion asked whether we could ensure that the European Union does not exist. We also introduced that into the Telecoms Council. My colleague Adriaansens and I have been there. We have objected to this. I have now understood that it is now also intended to disappear, because there are more Member States who do not think this is a good idea. Then there will be no single European bsn number, which your Chamber did not want.
ParlaMint-NL_2022-06-30-tweedekamer-8.u80	That digital identity is to be able to identify you. We have had a long debate on this. It is also clear where the House of Representatives stands: you have to make this possible with decentralised storage, with only data needed for that identification and, above all, it should not become a data storage of those 450 million European residents. The Forum for Democracy was very clear about the fact that an app is being built and that those data are being stored. What exactly does it mean?
ParlaMint-NL_2022-06-30-tweedekamer-8.u81	I wouldn't know, because that app isn't being made, as far as I know. Nor does it say in European legislation that something is being produced using all the data of all European residents or people living in the European Union. The idea is to make it per country, to do it on a decentralised basis, for example via DigiD in the Netherlands, so that information about your person is very well protected and only made available if you want it, and then in a way that minimizes as much data as possible. So I would not know where that came from, because it is neither our wish nor the desire of the European Union to collect the data of all citizens together.
ParlaMint-NL_2022-06-30-tweedekamer-8.u82	Okay, so that online identity is for ID, if you want it, because you don't have to. It remains possible to do it offline. But are there not data from European citizens collected by the European Commission to carry out all kinds of analyses? This is, of course, also a fear expressed here by several people, that these data are collected and applied and are also paid for, as Mrs von der Leyen said. So that's not gonna happen?
ParlaMint-NL_2022-06-30-tweedekamer-8.u83	No, there is not going to be a European database containing all the data of all EU citizens, and not at all anything that makes them money. We're certainly not going to cooperate in that, if that were a concern. It is precisely the intention that no data of citizens, personal data, should be generated at all. In fact, in all European regulations, for example on online platforms, we also want to avoid, for example, making money from children's data. I'll go to the question...
ParlaMint-NL_2022-06-30-tweedekamer-8.u84	I have just heard that the Secretary of State says that unlike previously, there are more countries that are opposed to a European Bsn number and do not see the need to do so. I like that; I want to mark that. I believe that the Secretary of State has also played a role in this, so I would like to congratulate her on having carried out the motion of mine which has been supported more widely by the Chamber. Thank you for that.
ParlaMint-NL_2022-06-30-tweedekamer-8.u85	You're welcome. I would then like to address Mr Ceder's question about the child impact assessment for digital platforms. This is an issue that has also been very clearly highlighted in our work agenda that we want to focus on, because we consider children's rights to be an incredibly important part of the human rights that we want to guarantee. We have a code of children's rights. That helps developers to comply with legal obligations, such as the economic exploitation of children, so use children's data in such a way that you give them ads, for example, or use these children's data in other ways, or use their market influence. Not only do I think this is important, but it is a good thing that we should further develop this in the design and use of these digital platforms. The European Commission has produced a "Better Internet for Children" Communication. The Commission proposes to draw up a code of conduct. I think that's important, too. It is also a good commitment, but we must keep in mind that this is adequately incorporated into the various elements and regulations. Additional legal obligations have already been included in the Digital Services Act. For example, you should not profile children in advertisements and the services should be designed in such a way that they are safe for children. As far as I am concerned, this issue must remain high on the agenda in order to ensure that we continue to protect children very well. By the way, as I mentioned just now in replying to Mrs Rajkowski's questions, we also want to ensure that children are not only protected, but that we also help them to understand what the digital world is, how we can make it safe for them and how you can move safely into it. Then there was Mrs Leijten's request about the Council of State report that we should come up with a response from the government. I had hoped that I could have done that for this debate, but that has not yet been achieved. Nevertheless, my commitment is still here. I'm gonna try to send that to you in the next quarter. Then there is Mr Van Haga's question. It was about being able to say anything, and that should be possible as long as it's not a criminal offence. That is exactly what we want as a cabinet. Freedom of speech is at the top. What's offline is illegal, too, online. We have also exchanged this with each other before. It is, of course, important that we continue to steer that, that we also ask online platforms to send it. We're also going to ask if the online platforms will, of course, meditate on what's happening on the platforms in the framework of the Digital Services Act. But that also needs to be transparent, so that even if something happens, then it is clear to everyone what is there and that, for example, when you as a citizen are tagged by such a platform or otherwise you express your opinion, it is clear how you can resist it. Mr Van Baarle asked whether the government is prepared to introduce a policy that a computer never makes a decision. It is very complicated to say so, but what we have said is that under AI regulations and GDPR we will never let algorithms make decisions if there is no human test behind it. That is what we will continue to do. That is also very important to do. This is without prejudice to the fact that these algorithms must be correct, because we also know that it can be insufficient to have only one algorithm and then a human test; both must be well organized.
ParlaMint-NL_2022-06-30-tweedekamer-8.u86	What does that mean in practice? Does it mean that a person is involved in, for example, the objection phase, so if a citizen objects? Does it mean that there's always a human being involved when an algorithm makes a decision about a human being? Or does it mean that in the development phase people are always involved in making the decision model? What does it mean in practice and in what cases?
ParlaMint-NL_2022-06-30-tweedekamer-8.u87	It's all about it, really. When developing algorithms or decision-making tools to determine whether or not you receive a grant or benefit, the algorithms that are used will always have to be created by people, but also have to comply with the tests we talked about earlier. The second is that when decisions are made that can be very far-reaching for people, whether or not they have to repay a grant, whether or not they have to repay something, there is always an ex post check when it is done by an algorithm, so that we know that the decision is correct. By the way, we have said that the use of algorithms should continue to be tested for bias, not only at the beginning, but permanently. When decisions are made in terms of objection, it is almost impossible to let an algorithm do that. Of course, it must always have a human test.
ParlaMint-NL_2022-06-30-tweedekamer-8.u88	The Secretary of State is talking about "absolute cases." Is that definite? Is there a criterion to determine: this is profound, so a human test, and this is not profound, so no human test? Is there a clear, binding rule for that within the government?
ParlaMint-NL_2022-06-30-tweedekamer-8.u89	Yes, that's in the general principles of good governance. They also indicate when you have to take the test or not and when there must be a human intervention.
ParlaMint-NL_2022-06-30-tweedekamer-8.u90	Okay. I think the two ministers are also eager to say something, so if you could finish?
ParlaMint-NL_2022-06-30-tweedekamer-8.u91	I'm almost done. I've got three little things left.
ParlaMint-NL_2022-06-30-tweedekamer-8.u92	I've heard you twice, Mr. Van Baarle. But let's go, 'cause it's Thursday.
ParlaMint-NL_2022-06-30-tweedekamer-8.u93	So what exactly is in those principles of good governance? In what cases and in what cases not?
ParlaMint-NL_2022-06-30-tweedekamer-8.u94	You can't let any algorithm make a decision that eventually leads to someone getting something or not, for example when it comes to finances or benefits. There must always be a human intervention. So it's not just what's been decided. It is good to know, by the way, that we are mapping this out. For example, you want to apply for student funding. Then it will be mapped out what steps DUO takes with what information, on the basis of which it will be decided whether or not you receive study funding and, if so, of what level. We're not just mapping what steps DUO is taking. We also map what information is used for this and what legal basis exists for it. For example, if DUO is relevant to your parents' income, then there is also how it is checked, for example with the Tax Office, and according to which law that can be checked. In this way, it is constantly becoming clear to everyone how the decision is made and how that decision is ultimately made, so that you can follow it completely. I think that's very important myself. You are therefore able to object if you think that the decision has been taken incorrectly, because you know what you have to object to. I'm gonna go over the last questions I had left. I think I discussed it, because they were about protecting children online and about CO. That is further discussed by my colleague. Then I'm through, Mr. Chairman.
ParlaMint-NL_2022-06-30-tweedekamer-8.u95	Together with Mrs Leijten, I had called on the Secretary of State to take the lead with the Minister of EZK in relation to the data centres. Spatial planning is, of course, one of the aspects, but it should not be the most important aspect. So it really doesn't make any sense that the Minister for Spatial Planning is now in the lead. The Secretary of State just said that she had an explanation about the metaverse and about what might still be coming and what is possible in it. Then she is also the person who can develop a vision for the future of what is needed in ten or twenty years' time, what the data question is and what we need in terms of digital infrastructure? Can she comment on that for a moment?
ParlaMint-NL_2022-06-30-tweedekamer-8.u96	That is a very important question. A vision is being developed on this. Eventually, the entire cabinet is watching, but I certainly am watching. You're about to hear more about this from my colleague. It is, of course, about what will be the demand for data in the future, what we want, what will be the questions about spatial planning and so on.
ParlaMint-NL_2022-06-30-tweedekamer-8.u97	I had to take a look at what kind of answer the Secretary of State gave to Mr Van Baarle's question about the General Administrative Law Act. The opinion of the Council of State is precisely that the General Administrative Law Act does not now comply with the issues of the more digital government and automatic decision-making. This is exactly where we have the problem. I really regret that there is still no response to that. But the answer the Secretary of State just gave to Mr Van Baarle's question, namely that it is governed by the General Administrative Law Act, is simply incorrect.
ParlaMint-NL_2022-06-30-tweedekamer-8.u98	I'd like to get back to you on that. Two things. Number one: on the report comes a reaction and that indeed takes longer than should have been. But that reaction is coming. You also made a point about whether decision-making is made without human intervention, while it has great consequences for people. We have agreed on this that we always think that the human size should be valid and that an algorithm cannot determine whether you should pay back or that sort of thing. That's what we're trying to do. We didn't just mean to do that, but we also aim to do it. I would like to come back to this in that response to the Council of State paper when it comes specifically to the possible shortcomings in the General Administrative Law Act.
ParlaMint-NL_2022-06-30-tweedekamer-8.u99	If I drive too fast on the highway and I get flashed, there's an automatic decision that I get a fine. No one's gonna get in the way. If you say, "Hey, can I have the proof?', Then a person comes in and you can get the picture. That's how it's taken care of. But it hasn't been settled for a long time, for example, by the Tax Administration. We both know what that has had to do with it. The General Administrative Law Act is now not effective enough in protecting people in relation to government and administrative bodies. We hear this year in, for example, from the National Ombudsman. I therefore hope that we will get a very quick response from the government to that important report. I really think this is going to help us, especially that reaction, in building a government that makes reliable decisions and is also reachable when you have a question.
ParlaMint-NL_2022-06-30-tweedekamer-8.u100	Yes.
ParlaMint-NL_2022-06-30-tweedekamer-8.u101	I missed something about buying the Chinese cameras just to knock it down. That was about government policy and purchasing from the government. That is why I expected you to answer that question. There has been a commitment and there has been a motion. It's about the BIO Purchasing Directive. So I would like to hear some more about that.
ParlaMint-NL_2022-06-30-tweedekamer-8.u102	That's what my colleague's gonna tell me a little bit more about.
ParlaMint-NL_2022-06-30-tweedekamer-8.u103	Fine. Who can I give the floor to? The Minister for Economic Affairs and Climate. The floor is up to her.
ParlaMint-NL_2022-06-30-tweedekamer-8.u104	Mr President, thank you. I walk past the remaining questions that concern me. Thank you for the open debate. I shall begin with Mr Bontenbal's question on Europe's strategic autonomy. How can we give digitalization a place in it? I was actually happy with that question, because we are working very hard on it. How do we keep that in balance? We want to be an open economy. The Netherlands is a country that wants to have open borders and to benefit from trade, not only in Europe but also outside. Our companies benefit from this, including our citizens in the Netherlands. This openness also means that we are at the forefront in a lot of aspects. But it is also true, of course, that there can be too many dependencies that make us vulnerable. At this time, it is clear that we must be very vigilant about this. So we need to be very careful how we set up our infrastructure, how we protect our key technologies and how we deal with data. We must do so, of course, because certain interference could damage our international security or our fundamental rights, privacy and data protection and have a grip on it. So it's looking for a balance. The government's policy is to follow two lines, two tracks. On the one hand, there is the "promote." I always start with the positive approach. We want to strengthen and, in that sense, have the strategic position, which is open strategic autonomy. That's what you do most of all by investing in your own technology. We do that in different ways. For example, the AiNed project has been approved by the Growth Fund. For example, we are also active at European level with IPCEI. Funds have been allocated in the areas of cloud infrastructure and micro-electronics. In addition, that's a more exciting subject... there's regulation. How do you do that in a good way? You want to keep certain dependencies manageable. The whole repertoire of European regulation helps us regulate there. Those twelve laws, including the DMA and the DSA, have all passed. Nationally we also know the Act unwanted control telecommunications, the Wozt. We also have measures relating to the safety and integrity of telecommunications. We are gradually expanding this agenda, because we see that we must also learn to deal with this new reality. At the moment, for example, the Vifo Act is in the First Chamber and there will be other laws, because we want to keep an eye on what we want to monitor our structures.
ParlaMint-NL_2022-06-30-tweedekamer-8.u105	Have we, looking back, been too naive in recent years as politics, as Cabinets, as society, perhaps? I am thinking, for example, of the fact that we, as a Chamber, have pushed back on Chinese investments in vital wind farm infrastructure. There's a pushback now, but haven't we been too naive in the last few years?
ParlaMint-NL_2022-06-30-tweedekamer-8.u106	The developments are also moving very quickly. The Netherlands has a very open trade. It is therefore crucial to find a balance in this. That doesn't mean you're doing the right thing by closing and limiting everything. For the longer term, you could make it more complicated. You can see that the experience of the past period has helped to reflect on that legislative framework and that we have been able to intervene in a number of situations.
ParlaMint-NL_2022-06-30-tweedekamer-8.u107	What, then, would be the Minister's criterion of allowing or not allowing certain technologies? I imagine that in things that are not vital or easily replaceable or where it is easy to add another supplier, you say that there are plenty of alternatives and there is diversification possible. Then what are the things we really don't want?
ParlaMint-NL_2022-06-30-tweedekamer-8.u108	What we really don't want is, when I look at my own portfolio, that vital processes and sensitive technologies are being hit. The Vifo Act regulates a lot of that. With an AMvB, we're going to monitor those technologies and see if they're still up-to-date and up-to-date. That, in my opinion, gives us a very good repertoire to intervene in, also along the process. So this is not only the case with the takeover, but also in the interim we can monitor whether interests are shifting. This will create a new framework, but that legal framework is not yet in place. So we need to be more creative now if we want to intervene. Then I come to Mrs Rajkowski's question about the sea cables. It is very important that we also look at the sea cables. Mrs Rajkowski had a point entirely. Sea cables are crucial to our infrastructure. Mrs Rajkowski mentioned the number of one. That's on the move. Three new sea cables have been built and/or announced in the past year. I've been trying to verify what's already been built and what's going to happen. I didn't get a clear answer to that. At least they're in process. It is about three additional sea cables that are being realized in the short term. We see this as a very important step in broadening our infrastructure. In my exploratory letter on infrastructure, which has already been mentioned a few times in this debate, I will go into more detail on how we see developments in the field of, among other things, sea cables within the framework of infrastructure in the broad sense. We are talking to a number of parties to keep an eye on it and to have a good understanding of what is needed. For example, we talk to the Foundation Digital Infrastructure Netherlands, with SURF, with Amsterdam Internet Exchange about exactly what is needed. We also need all these explorations to be able to incorporate them into a good vision.
ParlaMint-NL_2022-06-30-tweedekamer-8.u109	I am pleased that the VVD colleague has raised this issue. It is also in line with the statement that the A2 is not Apple's, to which I referred in our contribution. I hear the Minister talking about "our" infrastructure when she talks about the cables, but it's not cables that the government is building. It's private companies that do that. With the image that Apple has the A2, in this case submarine cables, I wonder how the Minister sees the concept of "our infrastructure" in there. What kind of regulation does that include? How's that?
ParlaMint-NL_2022-06-30-tweedekamer-8.u110	Mr Van Raan has a sharp hearing. I did say "our" because it has something to do with how we want to regulate our infrastructure. In this case, it is not "our" in the sense of ownership. Mr Van Raan is quite right about that. Other parties own those cables. We will have to make good demands on the quality of these cables.
ParlaMint-NL_2022-06-30-tweedekamer-8.u111	That's exactly the analysis that was made in the book I quoted: the Internet is broken, but we can fix it. We did make a bit of the mistake at the time, either by giving away the infrastructure or by not thinking about it at all. We are now threatening to do the same to our hydrogen infrastructure, because it also goes to the Shells of this world. How does the Minister of Economic Affairs intend to keep a grip on this?
ParlaMint-NL_2022-06-30-tweedekamer-8.u112	That's a good question. As a government, we think you should do what you're good at. You should be careful not to be too easy on the field of expertise, such as exploiting, maintaining and managing sea cables. What you have to do is to ensure that the regulations we shape with each other are properly implemented and that you put the checks-and-balances on them. I would like to address this issue in the exploration we are going to do, because I understand that there could be some tension on this.
ParlaMint-NL_2022-06-30-tweedekamer-8.u113	Tension on the sea cable. I've heard you twice, Mr. Van Raan.
ParlaMint-NL_2022-06-30-tweedekamer-8.u114	Very briefly, then. The point that the Minister rightly calls upon, I am also an optimist, is that the government must do what it is good at. Yes, of course. The government is good at giving public infrastructure concessions to companies, and I would like to give it some thought. To what extent can we still implement that model?
