ParlaMint-NL_2022-06-16-tweedekamer-10.u1	We're gonna listen to the Secretary of State.
ParlaMint-NL_2022-06-16-tweedekamer-10.u61	Thank you. I have one more question. 35,000 households depend on propane for heating their homes. The prices of propane have also increased enormously. On propane, CH, no VAT reduction has been announced yet. Is the Secretary of State gonna do anything for that?
ParlaMint-NL_2022-06-16-tweedekamer-10.u62	I was reminded of this by Mr Grinwis in the debate on 22 March. That's what I communicated separately at the time. I let you know at that time that's what it's all about. It's also under the law. I'd like to confirm that here again. Mr Grinwis had asked for that, as did you. He asked whether it was necessary to table a separate amendment to that effect. That won't be necessary. This reduction also applies to liquid propane.
ParlaMint-NL_2022-06-16-tweedekamer-10.u63	Thank you.
ParlaMint-NL_2022-06-16-tweedekamer-10.u64	Mr Grinwis wants to ask another question. Then we really go to the second term.
ParlaMint-NL_2022-06-16-tweedekamer-10.u65	I also asked a question about cartel legislation. Did the Secretary of State mention that already? I don't think so.
ParlaMint-NL_2022-06-16-tweedekamer-10.u66	No, it's true that I haven't gone into that yet. Thank you. I want to make a commitment to that too. I'm gonna talk to the minister of EZK about what we talked about earlier, the ACM. Then I shall also take this point. This isn't in my wallet either. I can have all kinds of good ideas about that, but I'm not gonna ventilate them here.
ParlaMint-NL_2022-06-16-tweedekamer-10.u67	No, let's not. So much for the first term. Thank you to the Secretary of State for his contribution so far. We'll continue with the second term. I would like to give the floor to the first speaker in the second term, Mr Van Baarle of the DENK Group.
ParlaMint-NL_2022-06-16-tweedekamer-10.u68	Thank you, Mr President. A word of thanks towards the Secretary of State for answering the questions. The debate has focused on specific versus generic measures. We welcome the reaction of the cabinet, including the proposals made from the Chamber. I think it is the challenge for the coming time to specifically help those who are now really vulnerable, who have a really low income and who are in payment difficulties. Mr. Chairman. The debate has also focused on the reduction of VAT on energy and the ability of the government to ensure that the energy companies also fully benefit the people in the country. The Secretary of State will start the conversation with those power companies. It's important that he does and that he transmits that signal. To help him do that, I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[expresses the firm's strong commitment towards energy companies to ensure that the VAT reduction is fully beneficial to the people in the country;]] [[calls on the government to transfer this point of departure from the Court to the energy companies,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Baarle.]] [[She's getting No. kst-36088-13]]
ParlaMint-NL_2022-06-16-tweedekamer-10.u69	Mr. Chairman. Then I have a second motion. I have hardly heard the Secretary of State in his reply about fuel prices, about the current situation with Germany, about the fact that the reduction made by this State Secretary has already completely evaporated, and about the fact that prices are moving again until a new record is reached slowly but certainly almost again. We need to do something about that now. My question to the Secretary of State was whether he is prepared to do something now, to reduce excise duty to ensure that people have breathing space again. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to come forward with a proposal to substantially reduce the excise duty on fuel,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Baarle and Mr Van Haga.]] [[She's getting No. kst-36088-14]]
ParlaMint-NL_2022-06-16-tweedekamer-10.u70	You can always do that.
ParlaMint-NL_2022-06-16-tweedekamer-10.u71	Are you ready?
ParlaMint-NL_2022-06-16-tweedekamer-10.u72	Yeah, I always have to give voting advice. Mr Van Baarle did not say anything, not even in his first term, about the coverage of this proposal. I know what Mr Van Haga wants, but I am particularly curious to see what he sees as covering this proposal.
ParlaMint-NL_2022-06-16-tweedekamer-10.u73	A fair question from Mr Van der Lee. We have also tabled an amendment. That is where we found cover in the funds released for the Growth Fund. As far as we are concerned, cover for this could be found in, for example, an increase in bank taxes or an increase in the profits of large companies. In that context, you could see it.
ParlaMint-NL_2022-06-16-tweedekamer-10.u74	Thank you. Then Mr Van Haga of the Van Haga Group.
ParlaMint-NL_2022-06-16-tweedekamer-10.u75	Mr. Chairman. First of all, thanks to the Secretary of State. So you can see that a debate can suddenly go smoothly and efficiently if there is a ruler who simply gives a brief and concise answer to the questions. I appreciate that very much. My question on district heating will be answered in the second term. Then I have two more motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that excise duty on petrol and diesel has been higher than that of neighbouring countries for years;]] [[Whereas this has a detrimental effect, inter alia, on pumping stations in the border regions;]] [[calls on the Government to examine whether excise duty on petrol and diesel can be brought more into line with that of neighbouring countries,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas energy is a first need for life;]] [[calls on the Government to maintain the VAT rate on energy at a maximum of 9% after the end of the purchasing power package,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Haga and Mr Van Baarle.]] [[She's getting No. kst-36088-15]] [[This motion has been proposed by Members Van Haga and Smolders.]] [[She's getting No. kst-36088-16]]
ParlaMint-NL_2022-06-16-tweedekamer-10.u76	Thank you, Mr. Chairman.
ParlaMint-NL_2022-06-16-tweedekamer-10.u77	Thank you. Then Mr Eppink of the JA group21.
ParlaMint-NL_2022-06-16-tweedekamer-10.u78	Thank you, Mr. Chairman. I have no further motions. I just haven't heard an answer to a question I asked, but maybe I missed it. That was the Secretary of State's comment on the generic measures, which we can understand. The question was whether he could respond to the concerns expressed by the Council of State in terms of efficiency. Thank you.
ParlaMint-NL_2022-06-16-tweedekamer-10.u79	Thank you. Then Mr Stoffer of the SGP.
ParlaMint-NL_2022-06-16-tweedekamer-10.u80	Mr. Chairman. I thank the Secretary of State for answering the questions, but I am somewhat critical of this law. So how we are going to vote later on, I really need to discuss this in the group. That's what's in the VAT cut, which we didn't get out of the interruption either. That's tricky. The Secretary of State mentioned the walls of Jericho. I won't go around it seven times, because I wouldn't like to see this Secretary of State fall apart. For that, I have far too much appreciation for him as a professional in that place. We should have that much more. I will leave it at that in terms of content. Mr. Chairman. I have one motion. I'm not sure I should file it, but I'll do it. If the Secretary of State says 'that's exactly what I appointed', then as far as I am concerned, takeover is also excellent. But I'm filing the motion to make sure. It's like this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the Supplementary Tax Purchasing Power Act 2022 spends more than EUR 2 billion on compensation for increased energy and fuel prices;]] [[noting that no evaluation of the measures is foreseen and that the effects on prices are not monitored;]] [[Whereas the amount of compensation should be spent efficiently and effectively and should, as far as possible, reach households that really need it;]] [[calls on the Government to monitor the impact of the measures as closely as possible, including in any case how purchasing power measures fall among the different income groups and how excise and VAT reductions are reflected in consumer prices, and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Stoffer.]] [[She's getting No. kst-36088-17]]
ParlaMint-NL_2022-06-16-tweedekamer-10.u81	Thanks.
ParlaMint-NL_2022-06-16-tweedekamer-10.u82	Thank you. Mr Edgar Mulder from the Group of the Party for Freedom.
ParlaMint-NL_2022-06-16-tweedekamer-10.u83	Mr. Chairman. I see I only have two and a half minutes. Before I start my second term, I would like to make a comment on the discussion we have just had. It was promised last night that all the proposals would be appreciated by letter before the debate, so I assume that the Secretary of State will look not only at the coalition's proposals but also at the opposition's proposals. As far as that directive is concerned, there is a directive in Europe, 105, which opens the way for the Netherlands. You should then look at the fourth sentence. Apart from the fact that the Secretary of State may not advise against it, he has probably been far too early, as Article 105 makes that possible. Mr President, I shall now begin my second term. No one here today has refuted the PVV's arguments. Everyone says we're in trouble in the Netherlands. All the parties here today have declared that they want to do something. The PVV comes with three good proposals, all of which are covered. But suddenly something weird happens. It's getting quiet and there's not gonna be any support. That's weird. If there is a problem anywhere in the world, such as famine in Africa, then on the same day the planes go with help that way. When it was found this week that Ukrainian refugees in the Netherlands are not so broad, it was decided without any discussion and without consultation that there would be surcharges for these people. Somewhere yesterday it was decided that Italy and Spain, which we have already saved 100 times, need help again. All this happens on the spot, with the support of the Netherlands. But if Dutch people are in trouble, then suddenly they can't. Then we're gonna need heist sessions and investigations. We do everything for everyone in the world and there is 108 billion for nitrogen and climate. Then it can't be that we're not doing anything right now to help the Dutch who are in serious trouble? I hope that this Chamber, the Secretary of State and the Government will change their views and support us in the course of the debate on the Spring paper. It's covered. The proposals are there. The money's here. Let's help the people in the Netherlands. Thank you, Mr. Chairman.
ParlaMint-NL_2022-06-16-tweedekamer-10.u84	Thank you. Then Mr Alkaya of the SP Group.
ParlaMint-NL_2022-06-16-tweedekamer-10.u85	Thank you, Mr. Chairman. Thank you to the Secretary of State for answering our questions. I have one more motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that reductions in charges to reduce purchasing power also lead to lower revenues for public authorities;]] [[noting that the Alkaya motion for a resolution on not raising the burden on labour or consumption, despite a vote against only the VVD, was adopted by a large majority and carried out by the Cabinet in the spring paper 2022;]] [[calls on the government not to increase the burden on labour or consumption in 2023 nor to cut public services for budgetary reasons,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Alkaya.]] [[She's getting No. kst-36088-18]]
ParlaMint-NL_2022-06-16-tweedekamer-10.u86	Thank you, Mr. Chairman. I thank the Secretary of State for his clear answer. I asked another question about travel expenses. I asked him whether he could make one or two cents, whether he could not do it much sooner and better and whether he could not do it a little more next year. That is not really in the package yet, but perhaps it can be taken into account as one of the options that are being considered. Mr. Chairman. We're a little ahead of schedule today. I don't know how many debates we needed before we got the dividend tax off the table, so it's not always settled here in one day. I found the Secretary of State sympathetic to the €500. He responded one more degree than the cabinet yesterday. At least that was my aftertaste. So if it's possible and if it's covered, the cabinet intends to pay out that $500. That is what I think is profiting from this debate. I do not have any motions on this, because it was also debated yesterday. I see it with great interest and yet with some confidence, not so much for myself, but for all those people who will see it getting colder in the autumn, who will have to turn the heating up, but do not have the money for it. Thank you, Mr. Chairman.
ParlaMint-NL_2022-06-16-tweedekamer-10.u87	Thank you. Then Mr Idsinga of the VVD.
ParlaMint-NL_2022-06-16-tweedekamer-10.u88	Thank you, Mr. Chairman. I have a motion on the border effects in a moment, and I have another appeal to the Secretary of State. The Secretary of State has already met me somewhat, because he is going to look very closely at the prevention of these effects and the fact that these tax revenues must end up one-on-one with the citizen. I would like to make another appeal: please take everything out of the closet to make sure that it actually happens. If it requires emergency legislation or other measures, then we really need to take a very serious look at it. Because the amount is too high and the problems in this country are too exceptional. Then there's the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the temporary reduction of fuel excise duty in Germany, which goes much further than the temporary reduction of excise duty in the Netherlands, makes it financially interesting for more and more Dutch people to refuel in Germany;]] [[Whereas people often combine filling across borders with other purchases such as groceries;]] [[noting that this leads to less turnover for gas station operators and retailers in the border region and less revenue from excise duties and VAT for the Dutch Treasury;]] [[calls on the Government to identify these impacts, to examine the possibilities for strengthening alignment with neighbouring countries and to examine the overall price difference for fuels with neighbouring countries,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Idsinga.]] [[She's getting No. kst-36088-19]]
ParlaMint-NL_2022-06-16-tweedekamer-10.u89	Thank you, Mr President. I didn't bring a long motion or even a short one. So that's a fluke.
ParlaMint-NL_2022-06-16-tweedekamer-10.u90	Are you all right?
ParlaMint-NL_2022-06-16-tweedekamer-10.u91	Yeah, things are getting better, Mr. Chairman! Thank you to the Secretary of State for his proper response. Many people in the Netherlands skate on thin ice and we want no one to fall through the ice. The honest story is that it's hard to really get that done. But this bill contributes to that. I have listened to the debate in such a way that it is also the intention of the cabinet and the commitment of this Secretary of State to prevent people from sinking through the ice later in the year, especially when the winter starts again and energy demand increases, even considering the CPB's research, in which scenarios are outlined. If the darker scenario, which is becoming more realistic, is also going to happen, then 1.2 million households simply cannot afford it anymore. Mr. Chairman. I wish the Cabinet wisdom and speed to get this done properly and quickly. It must then be carefully examined in the Chamber so that, without recourse to Article 2.27 of the Compatibility Act, we can come to an orderly decision-making process, which indeed means that as few households as possible will sink through the ice this year. Thank you.
ParlaMint-NL_2022-06-16-tweedekamer-10.u92	The last speaker on the side of the Chamber is Mr Van der Lee van GroenLinks.
ParlaMint-NL_2022-06-16-tweedekamer-10.u93	Thank you, Mr. Chairman. As you can see, I have no motion on me.
ParlaMint-NL_2022-06-16-tweedekamer-10.u94	It's a pleasure for you.
ParlaMint-NL_2022-06-16-tweedekamer-10.u95	Thank you. Many thanks to the Secretary of State, who, as we are used to now, gives clear and clear answers. I appreciate that very much. He is also clear in the recognition that this second package is not very targeted. He was honest about that, too. We have criticised the fact that it was not targeted enough in the autumn and in this package, and I hope that three times is the charm. Like Mr Nijboer, I also have the clear explanation of the €500, which the Secretary of State is working on over the next few weeks, courage that we can take another important step forward for those people, many of whom had already fallen through the ice in September, especially at the bottom. They haven't all got the €800 yet, and that's not enough for them either. They're gonna get in more trouble if they don't. That group has grown even further with people who have more to a mode of income. It is therefore quite right that there is a great deal of attention to this. I would also ask the Secretary of State how he is going to plan the changes agreed on in the field of energy taxes, which are more structural in nature, all these discussions and perhaps even later adjustments in August, in such a way that we can ensure that these structural adjustments are made and not partially frustrated by the desire for sudden measures, which, frankly, are not sufficiently levelled and directed but can have a distorting effect on the transition, on how we intend to organise energy taxes for the future. That is what I am very curious about. I am going to speak in the group for a moment, but I wish the Secretary of State every success in what he has to say in the coming weeks. I also welcome the commitment on energy companies. I think it is very important that we have an insight into this and that it becomes transparent, for every Dutchman who has the choice at different times in the year: to whom do I enter into a contract under what conditions? Then it is very important to know which company fully passed that reduction on to the customer and which company did not. Thank you.
ParlaMint-NL_2022-06-16-tweedekamer-10.u96	Very good. So much for the Chamber's term. I'm gonna suspend for ten minutes and then we're gonna listen to the Secretary of State.
ParlaMint-NL_2022-06-16-tweedekamer-10.u97	I call the Secretary of State.
ParlaMint-NL_2022-06-16-tweedekamer-10.u98	Mr. Chairman. A number of questions were asked in the second period. I would like to deal with that first. Then I'll give you an appreciation of the motions. And I can assure you that there will be a letter on all the amendments that have been tabled. To Mr Van Haga's question, I replied that the reduction in the VAT rate from 21% to 9% also applies to butane and propane. That is not the case, because it does not fall within the definition of the Gas Act. It is true, however, of the reduction in excise duties. So I want to correct myself in second term.
ParlaMint-NL_2022-06-16-tweedekamer-10.u99	Then it will be interesting, because why wouldn't those 35,000 households burning on propane receive the same treatment?
ParlaMint-NL_2022-06-16-tweedekamer-10.u100	We follow the definition of natural gas in the Gas Act. That is so linked, also for VAT. That is the answer, and then there is a difference between those two categories. That's the answer.
ParlaMint-NL_2022-06-16-tweedekamer-10.u101	That's very technocratic. I also understand the difference between methane, ethane, propane, butane and so on, but the fact remains that these 35,000 families will not be treated equally. So I'm not sure what to do now. Will I be able to table an amendment or a motion for a resolution on that, of course, and that you will be sympathetic to it?
ParlaMint-NL_2022-06-16-tweedekamer-10.u102	I'm not going to agree to the latter, so I'm going to agree, but I see the point. I'm gonna think about how we might solve it.
ParlaMint-NL_2022-06-16-tweedekamer-10.u103	But do you invite me to table an amendment, or...
ParlaMint-NL_2022-06-16-tweedekamer-10.u104	You can always table an amendment.
ParlaMint-NL_2022-06-16-tweedekamer-10.u105	Well, that's possible.
ParlaMint-NL_2022-06-16-tweedekamer-10.u106	Yes. Well, I guess I should. In any case, I see the goodwill and that is a great deal, because these 35,000 consumers now have huge energy bills.
ParlaMint-NL_2022-06-16-tweedekamer-10.u107	We're gonna do our best to see if we can help.
ParlaMint-NL_2022-06-16-tweedekamer-10.u108	It can be submitted to the votes, but if you also want an appreciation from the Secretary of State, you need to do it faster. That's up to you.
ParlaMint-NL_2022-06-16-tweedekamer-10.u109	Mr. Chairman. Then there is Mr Nijboer's question about the unpaid travel allowance. That costs 130 million per cent; so does Mr Nijboer. He made a plea to raise it to €0.30. Well, we're going from €0,19 to €0,23 in two steps. So every penny up there costs 130 million. We did not propose it as a cabinet in the Spring Paper and we do not intend to do so. However, we would like to see whether this will be used in the future. That was also mentioned yesterday in the debate. That's really up to employers and employees. That is the answer to Mr Nijboer's question. Mr Mulder referred to Article 105 of the VAT Directive. I would nevertheless like to refer to Annex 5 to the letter I sent to the Chamber on the fiscal legislative and policy agenda. It really is all about this problem and it simply shows that it cannot be done now. So I do not want to repeat moves, but I would like to continue the debate. I have also said that I would like to raise it in the Ecofin context and also in the neighbouring countries. Then Mr Eppink had the question of whether I should like to comment on the Council of State's objections to efficiency. The Cabinet endorses the Council of State's remark that the VAT reduction is partly dependent on the extent to which the benefit is passed on to consumers, whether in advance or not. We have, of course, discussed this extensively in the first period. I have also expressly stated that I also believe that it should be passed on one-on-one and that I will talk to Energy-Netherlands and the energy suppliers about this. So I thought I had already answered Mr Eppink's question in that sense. But there are questions. We understand that the Council of State has come up with this point. It came out of this room, too. If it's all right, you've heard my answer in the first term. Mr President, then there are the motions. The motion in part No. 13, by Mr Van Baarle, we would like to give a ruling on Chambers.
ParlaMint-NL_2022-06-16-tweedekamer-10.u110	The district heating.
ParlaMint-NL_2022-06-16-tweedekamer-10.u111	Oh, yeah, district heating. Thank you. Indeed, I was still responsible for the answer to the question about district heating. I need a little more time for that. That's not so much on my turf. I really need to talk to the Minister of EZK about that. So first I would like to do my homework well in consultation with the colleague and the cabinet.
ParlaMint-NL_2022-06-16-tweedekamer-10.u112	Can we just get a letter about that?
ParlaMint-NL_2022-06-16-tweedekamer-10.u113	Yeah, you can. You'll just get a letter about that.
ParlaMint-NL_2022-06-16-tweedekamer-10.u114	Yes. Then the motion to part No. 14.
ParlaMint-NL_2022-06-16-tweedekamer-10.u115	The motion in part No. 14 belongs to Mr Van Baarle and Mr Van Haga. This motion calls on the government to come forward with a proposal to substantially reduce the excise duty on fuel. We dissuade that motion at this time. We are going to talk in detail about the purchasing power package and what we will and will not do when we deal with the Tax Plan. At the moment, we advise against this motion. The same applies to the motion in part No. 15 by Mr Van Haga and Mr Van Baarle. That motion is also not recommended. Then I come to the motion on part No. 16 on the VAT rate at a maximum of 9%. I would point out that it is a temporary measure to go from 21% to 9%, so we also advise against this motion. Then I'll come to the Stoffer motion in part No. 17 in terms of efficiency. I would like to make one comment on that. We are going to do our utmost to monitor this as accurately as possible, but of course we are dependent on the information, including on Energy Netherlands and public sources and often work with averages. With this addition, this motion gets judgment Chamber. The motion in part No. 18 Mr Alkaya asked the government not to increase the burden on labour or consumption by 2023 and not to cut public services for budgetary reasons. We must first have the Macro Economic Recognition, then the August decision-making and then the Millions Note. I'm not suggesting this motion right now. Mr Idsinga's motion for a resolution 19 is judged by the Chamber, but with the reservation of my part that it is really not possible to map the effect on retail sales of other shops, such as supermarkets and so on, for the whole border area. That's just gonna be a very complicated story. But we're going to do our best to put together what we can find on that in public resources. But we should not have too high expectations of that. We will, of course, start talking to entrepreneurs from the region. I would also like to take advantage of the offer made by Mr Omtzigt, who is not here at the moment, to go to the border region for once.
ParlaMint-NL_2022-06-16-tweedekamer-10.u116	Then we wish you a pleasant day.
ParlaMint-NL_2022-06-16-tweedekamer-10.u117	I'm sure we can do that. Thank you for that, by the way. Those were the motions.
ParlaMint-NL_2022-06-16-tweedekamer-10.u118	Yeah, I think so, too. So much for this debate. Thank you to the Secretary of State for his contribution to this. Thanks for his conciseness, too. Several speakers have already mentioned this. The President is happy to endorse this. It's always appreciated.
ParlaMint-NL_2022-06-16-tweedekamer-10.u119	On Tuesday we shall be voting on the law, the four amendments tabled so far, and perhaps also on Mr Van Haga's additional amendment. And we're also voting on the motions. So far.
